Latitude,Longitude,ConveyorBeltVelo,Alpha,Beta,P_2.5,P_50,P_97.5
-16.094,-172.301,238.830,3.855,2.903,0.217,0.578,0.885
-16.003,-172.304,228.940,3.855,2.903,0.217,0.578,0.885
-15.913,-172.313,230.490,3.855,2.903,0.217,0.578,0.885
-15.823,-172.322,232.040,3.855,2.903,0.217,0.578,0.885
-15.733,-172.331,229.350,3.855,2.903,0.217,0.578,0.885
-15.644,-172.343,229.090,3.855,2.903,0.217,0.578,0.885
-15.555,-172.357,206.750,3.855,2.903,0.217,0.578,0.885
-15.469,-172.387,194.410,3.855,2.903,0.217,0.578,0.885
-15.386,-172.423,156.520,3.855,2.903,0.217,0.578,0.885
-15.311,-172.476,153.040,3.855,2.903,0.217,0.578,0.885
-15.238,-172.531,139.180,3.855,2.903,0.217,0.578,0.885
-15.169,-172.591,135.640,3.855,2.903,0.217,0.578,0.885
-15.101,-172.652,125.980,3.855,2.903,0.217,0.578,0.885
-15.036,-172.717,115.450,3.855,2.903,0.217,0.578,0.885
-14.974,-172.785,97.380,3.855,2.903,0.217,0.578,0.885
-14.918,-172.858,77.140,3.855,2.903,0.217,0.578,0.885
-14.868,-172.935,71.450,3.855,2.903,0.217,0.578,0.885
-14.820,-173.013,67.640,3.855,2.903,0.217,0.578,0.885
-14.773,-173.093,55.780,3.855,2.903,0.217,0.578,0.885
-14.731,-173.175,58.230,3.855,2.903,0.217,0.578,0.885
-14.688,-173.257,45.900,3.855,2.903,0.217,0.578,0.885
-14.649,-173.341,34.760,3.855,2.903,0.217,0.578,0.885
-14.616,-173.422,35.220,3.855,2.903,0.217,0.578,0.885
