Latitude,Longitude,ConveyorBeltVelo,Alpha,Beta,P_2.5,P_50,P_97.5
-21.467,-173.794,155.500,7.601,10.902,0.204,0.408,0.635
-21.383,-173.759,157.110,7.601,10.902,0.204,0.408,0.635
-21.299,-173.724,158.700,7.601,10.902,0.204,0.408,0.635
-21.215,-173.689,160.390,7.601,10.902,0.204,0.408,0.635
-21.131,-173.653,161.990,7.601,10.902,0.204,0.408,0.635
-21.047,-173.617,163.580,7.601,10.902,0.204,0.408,0.635
-20.963,-173.581,165.180,7.601,10.902,0.204,0.408,0.635
-20.880,-173.545,166.910,7.601,10.902,0.204,0.408,0.635
-20.798,-173.505,168.500,7.601,10.902,0.204,0.408,0.635
-20.715,-173.465,170.090,7.601,10.902,0.204,0.408,0.635
-20.633,-173.426,171.680,7.601,10.902,0.204,0.408,0.635
-20.551,-173.386,173.260,7.601,10.902,0.204,0.408,0.635
-20.469,-173.346,174.850,7.601,10.902,0.204,0.408,0.635
-20.387,-173.306,176.440,7.601,10.902,0.204,0.408,0.635
-20.304,-173.267,178.020,7.601,10.902,0.204,0.408,0.635
-20.222,-173.227,179.610,7.601,10.902,0.204,0.408,0.635
-20.138,-173.192,180.780,7.601,10.902,0.204,0.408,0.635
-20.053,-173.160,182.370,7.601,10.902,0.204,0.408,0.635
-19.969,-173.127,183.970,7.601,10.902,0.204,0.408,0.635
-19.884,-173.094,185.560,7.601,10.902,0.204,0.408,0.635
-19.799,-173.061,187.150,7.601,10.902,0.204,0.408,0.635
-19.712,-173.036,186.320,7.601,10.902,0.204,0.408,0.635
-19.624,-173.013,187.910,7.601,10.902,0.204,0.408,0.635
-19.537,-172.990,189.520,7.601,10.902,0.204,0.408,0.635
-19.449,-172.967,190.670,7.601,10.902,0.204,0.408,0.635
-19.361,-172.945,192.270,7.601,10.902,0.204,0.408,0.635
-19.273,-172.924,193.860,7.601,10.902,0.204,0.408,0.635
-19.185,-172.902,195.460,7.601,10.902,0.204,0.408,0.635
-19.097,-172.880,197.060,7.601,10.902,0.204,0.408,0.635
-19.010,-172.856,200.060,7.601,10.902,0.204,0.408,0.635
-18.923,-172.830,201.660,7.601,10.902,0.204,0.408,0.635
-18.836,-172.804,203.240,7.601,10.902,0.204,0.408,0.635
-18.749,-172.778,204.840,7.601,10.902,0.204,0.408,0.635
-18.662,-172.752,206.420,7.601,10.902,0.204,0.408,0.635
-18.576,-172.726,208.020,8.015,8.600,0.254,0.482,0.714
-18.489,-172.700,209.600,8.015,8.600,0.254,0.482,0.714
-18.402,-172.672,211.660,8.015,8.600,0.254,0.482,0.714
-18.316,-172.644,213.260,8.015,8.600,0.254,0.482,0.714
-18.230,-172.616,214.840,8.015,8.600,0.254,0.482,0.714
-18.143,-172.589,214.210,8.015,8.600,0.254,0.482,0.714
-18.055,-172.568,215.790,8.015,8.600,0.254,0.482,0.714
-17.967,-172.547,217.390,8.015,8.600,0.254,0.482,0.714
-17.881,-172.520,221.740,8.015,8.600,0.254,0.482,0.714
-17.795,-172.489,223.320,8.015,8.600,0.254,0.482,0.714
-17.710,-172.457,224.900,8.015,8.600,0.254,0.482,0.714
-17.623,-172.436,221.310,8.015,8.600,0.254,0.482,0.714
-17.533,-172.420,222.950,8.015,8.600,0.254,0.482,0.714
-17.444,-172.404,224.490,8.015,8.600,0.254,0.482,0.714
-17.355,-172.389,226.120,8.015,8.600,0.254,0.482,0.714
-17.266,-172.373,225.240,8.015,8.600,0.254,0.482,0.714
-17.176,-172.362,226.820,8.015,8.600,0.254,0.482,0.714
-17.087,-172.351,228.410,8.015,8.600,0.254,0.482,0.714
-16.997,-172.339,229.980,8.015,8.600,0.254,0.482,0.714
-16.907,-172.330,229.830,8.015,8.600,0.254,0.482,0.714
-16.817,-172.321,231.410,8.015,8.600,0.254,0.482,0.714
-16.727,-172.312,232.980,8.015,8.600,0.254,0.482,0.714
-16.637,-172.310,228.320,8.015,8.600,0.254,0.482,0.714
-16.546,-172.309,229.890,8.015,8.600,0.254,0.482,0.714
-16.456,-172.308,231.460,8.015,8.600,0.254,0.482,0.714
-16.366,-172.307,233.030,8.015,8.600,0.254,0.482,0.714
-16.275,-172.306,235.700,8.015,8.600,0.254,0.482,0.714
-16.184,-172.303,237.270,8.015,8.600,0.254,0.482,0.714
-16.094,-172.301,238.830,8.015,8.600,0.254,0.482,0.714
-16.003,-172.304,228.940,8.015,8.600,0.254,0.482,0.714
-15.913,-172.313,230.490,8.015,8.600,0.254,0.482,0.714
-15.823,-172.322,232.040,8.015,8.600,0.254,0.482,0.714
-15.733,-172.331,229.350,8.015,8.600,0.254,0.482,0.714
-15.644,-172.343,229.090,8.015,8.600,0.254,0.482,0.714
-15.555,-172.357,206.750,8.015,8.600,0.254,0.482,0.714
-15.469,-172.387,194.410,8.015,8.600,0.254,0.482,0.714
-15.386,-172.423,156.520,8.015,8.600,0.254,0.482,0.714
-15.311,-172.476,153.040,8.015,8.600,0.254,0.482,0.714
-15.238,-172.531,139.180,8.015,8.600,0.254,0.482,0.714
-15.169,-172.591,135.640,8.015,8.600,0.254,0.482,0.714
-15.101,-172.652,125.980,8.015,8.600,0.254,0.482,0.714
-15.036,-172.717,115.450,8.015,8.600,0.254,0.482,0.714
-14.974,-172.785,97.380,8.015,8.600,0.254,0.482,0.714
-14.918,-172.858,77.140,8.015,8.600,0.254,0.482,0.714
-14.868,-172.935,71.450,8.015,8.600,0.254,0.482,0.714
-14.820,-173.013,67.640,8.015,8.600,0.254,0.482,0.714
-14.773,-173.093,55.780,8.015,8.600,0.254,0.482,0.714
-14.731,-173.175,58.230,8.015,8.600,0.254,0.482,0.714
-14.688,-173.257,45.900,8.015,8.600,0.254,0.482,0.714
-14.649,-173.341,34.760,8.015,8.600,0.254,0.482,0.714
-14.616,-173.422,35.220,8.015,8.600,0.254,0.482,0.714
