%GEOUNIT	LATITUDE	LONGITUDE
5550824	41.225	27.775
5550825	41.275	27.775
5550826	41.325	27.775
5550827	41.375	27.775
5550828	41.425	27.775
5550829	41.475	27.775
5550830	41.525	27.775
5550831	41.575	27.775
5560796	39.825	27.825
5560797	39.875	27.825
5560798	39.925	27.825
5560799	39.975	27.825
5560800	40.025	27.825
5560801	40.075	27.825
5560802	40.125	27.825
5560803	40.175	27.825
5560804	40.225	27.825
5560805	40.275	27.825
5560806	40.325	27.825
5560807	40.375	27.825
5560808	40.425	27.825
5560809	40.475	27.825
5560810	40.525	27.825
5560819	40.975	27.825
5560820	41.025	27.825
5560821	41.075	27.825
5560822	41.125	27.825
5560823	41.175	27.825
5560824	41.225	27.825
5560825	41.275	27.825
5560826	41.325	27.825
5560827	41.375	27.825
5560828	41.425	27.825
5560829	41.475	27.825
5560830	41.525	27.825
5560831	41.575	27.825
5570796	39.825	27.875
5570797	39.875	27.875
5570798	39.925	27.875
5570799	39.975	27.875
5570800	40.025	27.875
5570801	40.075	27.875
5570802	40.125	27.875
5570803	40.175	27.875
5570804	40.225	27.875
5570805	40.275	27.875
5570806	40.325	27.875
5570807	40.375	27.875
5570808	40.425	27.875
5570809	40.475	27.875
5570810	40.525	27.875
5570819	40.975	27.875
5570820	41.025	27.875
5570821	41.075	27.875
5570822	41.125	27.875
5570823	41.175	27.875
5570824	41.225	27.875
5570825	41.275	27.875
5570826	41.325	27.875
5570827	41.375	27.875
5570828	41.425	27.875
5570829	41.475	27.875
5570830	41.525	27.875
5570831	41.575	27.875
5580796	39.825	27.925
5580797	39.875	27.925
5580798	39.925	27.925
5580799	39.975	27.925
5580800	40.025	27.925
5580801	40.075	27.925
5580802	40.125	27.925
5580804	40.225	27.925
5580805	40.275	27.925
5580806	40.325	27.925
5580807	40.375	27.925
5580808	40.425	27.925
5580809	40.475	27.925
5580810	40.525	27.925
5580819	40.975	27.925
5580820	41.025	27.925
5580821	41.075	27.925
5580822	41.125	27.925
5580823	41.175	27.925
5580824	41.225	27.925
5580825	41.275	27.925
5580826	41.325	27.925
5580827	41.375	27.925
5580828	41.425	27.925
5580829	41.475	27.925
5580830	41.525	27.925
5580831	41.575	27.925
5590796	39.825	27.975
5590797	39.875	27.975
5590798	39.925	27.975
5590799	39.975	27.975
5590800	40.025	27.975
5590801	40.075	27.975
5590802	40.125	27.975
5590804	40.225	27.975
5590805	40.275	27.975
5590806	40.325	27.975
5590807	40.375	27.975
5590808	40.425	27.975
5590809	40.475	27.975
5590819	40.975	27.975
5590820	41.025	27.975
5590821	41.075	27.975
5590822	41.125	27.975
5590823	41.175	27.975
5590824	41.225	27.975
5590825	41.275	27.975
5590826	41.325	27.975
5590827	41.375	27.975
5590828	41.425	27.975
5590829	41.475	27.975
5590830	41.525	27.975
5590831	41.575	27.975
5600796	39.825	28.025
5600797	39.875	28.025
5600798	39.925	28.025
5600799	39.975	28.025
5600800	40.025	28.025
5600801	40.075	28.025
5600802	40.125	28.025
5600804	40.225	28.025
5600805	40.275	28.025
5600806	40.325	28.025
5600807	40.375	28.025
5600808	40.425	28.025
5600809	40.475	28.025
5600820	41.025	28.025
5600821	41.075	28.025
5600822	41.125	28.025
5600823	41.175	28.025
5600824	41.225	28.025
5600825	41.275	28.025
5600826	41.325	28.025
5600827	41.375	28.025
5600828	41.425	28.025
5600829	41.475	28.025
5600830	41.525	28.025
5600831	41.575	28.025
5610796	39.825	28.075
5610797	39.875	28.075
5610798	39.925	28.075
5610799	39.975	28.075
5610800	40.025	28.075
5610801	40.075	28.075
5610802	40.125	28.075
5610803	40.175	28.075
5610804	40.225	28.075
5610805	40.275	28.075
5610806	40.325	28.075
5610807	40.375	28.075
5610820	41.025	28.075
5610821	41.075	28.075
5610822	41.125	28.075
5610823	41.175	28.075
5610824	41.225	28.075
5610825	41.275	28.075
5610826	41.325	28.075
5610827	41.375	28.075
5610828	41.425	28.075
5610829	41.475	28.075
5610830	41.525	28.075
5610831	41.575	28.075
5620796	39.825	28.125
5620797	39.875	28.125
5620798	39.925	28.125
5620799	39.975	28.125
5620800	40.025	28.125
5620801	40.075	28.125
5620802	40.125	28.125
5620803	40.175	28.125
5620804	40.225	28.125
5620805	40.275	28.125
5620806	40.325	28.125
5620807	40.375	28.125
5620821	41.075	28.125
5620822	41.125	28.125
5620823	41.175	28.125
5620824	41.225	28.125
5620825	41.275	28.125
5620826	41.325	28.125
5620827	41.375	28.125
5620828	41.425	28.125
5620829	41.475	28.125
5620830	41.525	28.125
5620831	41.575	28.125
5630796	39.825	28.175
5630797	39.875	28.175
5630798	39.925	28.175
5630799	39.975	28.175
5630800	40.025	28.175
5630801	40.075	28.175
5630802	40.125	28.175
5630803	40.175	28.175
5630804	40.225	28.175
5630805	40.275	28.175
5630806	40.325	28.175
5630807	40.375	28.175
5630821	41.075	28.175
5630822	41.125	28.175
5630823	41.175	28.175
5630824	41.225	28.175
5630825	41.275	28.175
5630826	41.325	28.175
5630827	41.375	28.175
5630828	41.425	28.175
5630829	41.475	28.175
5630830	41.525	28.175
5630831	41.575	28.175
5640796	39.825	28.225
5640797	39.875	28.225
5640798	39.925	28.225
5640799	39.975	28.225
5640800	40.025	28.225
5640801	40.075	28.225
5640802	40.125	28.225
5640803	40.175	28.225
5640804	40.225	28.225
5640805	40.275	28.225
5640806	40.325	28.225
5640807	40.375	28.225
5640821	41.075	28.225
5640822	41.125	28.225
5640823	41.175	28.225
5640824	41.225	28.225
5640825	41.275	28.225
5640826	41.325	28.225
5640827	41.375	28.225
5640828	41.425	28.225
5640829	41.475	28.225
5640830	41.525	28.225
5650796	39.825	28.275
5650797	39.875	28.275
5650798	39.925	28.275
5650799	39.975	28.275
5650800	40.025	28.275
5650801	40.075	28.275
5650802	40.125	28.275
5650803	40.175	28.275
5650804	40.225	28.275
5650805	40.275	28.275
5650806	40.325	28.275
5650807	40.375	28.275
5650808	40.425	28.275
5650821	41.075	28.275
5650822	41.125	28.275
5650823	41.175	28.275
5650824	41.225	28.275
5650825	41.275	28.275
5650826	41.325	28.275
5650827	41.375	28.275
5650828	41.425	28.275
5650829	41.475	28.275
5650830	41.525	28.275
5660796	39.825	28.325
5660797	39.875	28.325
5660798	39.925	28.325
5660799	39.975	28.325
5660800	40.025	28.325
5660801	40.075	28.325
5660802	40.125	28.325
5660803	40.175	28.325
5660804	40.225	28.325
5660805	40.275	28.325
5660806	40.325	28.325
5660807	40.375	28.325
5660821	41.075	28.325
5660822	41.125	28.325
5660823	41.175	28.325
5660824	41.225	28.325
5660825	41.275	28.325
5660826	41.325	28.325
5660827	41.375	28.325
5660828	41.425	28.325
5660829	41.475	28.325
5670796	39.825	28.375
5670797	39.875	28.375
5670798	39.925	28.375
5670799	39.975	28.375
5670800	40.025	28.375
5670801	40.075	28.375
5670802	40.125	28.375
5670803	40.175	28.375
5670804	40.225	28.375
5670805	40.275	28.375
5670806	40.325	28.375
5670807	40.375	28.375
5670808	40.425	28.375
5670820	41.025	28.375
5670821	41.075	28.375
5670822	41.125	28.375
5670823	41.175	28.375
5670824	41.225	28.375
5670825	41.275	28.375
5670826	41.325	28.375
5670827	41.375	28.375
5670828	41.425	28.375
5670829	41.475	28.375
5680796	39.825	28.425
5680797	39.875	28.425
5680798	39.925	28.425
5680799	39.975	28.425
5680800	40.025	28.425
5680801	40.075	28.425
5680802	40.125	28.425
5680803	40.175	28.425
5680804	40.225	28.425
5680805	40.275	28.425
5680806	40.325	28.425
5680807	40.375	28.425
5680820	41.025	28.425
5680821	41.075	28.425
5680822	41.125	28.425
5680823	41.175	28.425
5680824	41.225	28.425
5680825	41.275	28.425
5680826	41.325	28.425
5680827	41.375	28.425
5680828	41.425	28.425
5690796	39.825	28.475
5690797	39.875	28.475
5690798	39.925	28.475
5690799	39.975	28.475
5690800	40.025	28.475
5690801	40.075	28.475
5690802	40.125	28.475
5690803	40.175	28.475
5690804	40.225	28.475
5690805	40.275	28.475
5690806	40.325	28.475
5690807	40.375	28.475
5690820	41.025	28.475
5690821	41.075	28.475
5690822	41.125	28.475
5690823	41.175	28.475
5690824	41.225	28.475
5690825	41.275	28.475
5690826	41.325	28.475
5690827	41.375	28.475
5690828	41.425	28.475
5700796	39.825	28.525
5700797	39.875	28.525
5700798	39.925	28.525
5700799	39.975	28.525
5700800	40.025	28.525
5700801	40.075	28.525
5700802	40.125	28.525
5700803	40.175	28.525
5700804	40.225	28.525
5700805	40.275	28.525
5700806	40.325	28.525
5700807	40.375	28.525
5700819	40.975	28.525
5700820	41.025	28.525
5700821	41.075	28.525
5700822	41.125	28.525
5700823	41.175	28.525
5700824	41.225	28.525
5700825	41.275	28.525
5700826	41.325	28.525
5700827	41.375	28.525
5710796	39.825	28.575
5710797	39.875	28.575
5710798	39.925	28.575
5710799	39.975	28.575
5710800	40.025	28.575
5710801	40.075	28.575
5710802	40.125	28.575
5710804	40.225	28.575
5710805	40.275	28.575
5710806	40.325	28.575
5710807	40.375	28.575
5710819	40.975	28.575
5710820	41.025	28.575
5710821	41.075	28.575
5710822	41.125	28.575
5710823	41.175	28.575
5710824	41.225	28.575
5710825	41.275	28.575
5710826	41.325	28.575
5710827	41.375	28.575
5720796	39.825	28.625
5720797	39.875	28.625
5720798	39.925	28.625
5720799	39.975	28.625
5720800	40.025	28.625
5720801	40.075	28.625
5720802	40.125	28.625
5720803	40.175	28.625
5720804	40.225	28.625
5720805	40.275	28.625
5720806	40.325	28.625
5720807	40.375	28.625
5720819	40.975	28.625
5720820	41.025	28.625
5720821	41.075	28.625
5720822	41.125	28.625
5720823	41.175	28.625
5720824	41.225	28.625
5720825	41.275	28.625
5720826	41.325	28.625
5720827	41.375	28.625
5730796	39.825	28.675
5730797	39.875	28.675
5730798	39.925	28.675
5730799	39.975	28.675
5730800	40.025	28.675
5730801	40.075	28.675
5730802	40.125	28.675
5730803	40.175	28.675
5730804	40.225	28.675
5730805	40.275	28.675
5730806	40.325	28.675
5730807	40.375	28.675
5730819	40.975	28.675
5730820	41.025	28.675
5730821	41.075	28.675
5730822	41.125	28.675
5730823	41.175	28.675
5730824	41.225	28.675
5730825	41.275	28.675
5730826	41.325	28.675
5740796	39.825	28.725
5740797	39.875	28.725
5740798	39.925	28.725
5740799	39.975	28.725
5740800	40.025	28.725
5740801	40.075	28.725
5740802	40.125	28.725
5740803	40.175	28.725
5740804	40.225	28.725
5740805	40.275	28.725
5740806	40.325	28.725
5740807	40.375	28.725
5740819	40.975	28.725
5740820	41.025	28.725
5740821	41.075	28.725
5740822	41.125	28.725
5740823	41.175	28.725
5740824	41.225	28.725
5740825	41.275	28.725
5740826	41.325	28.725
5750796	39.825	28.775
5750797	39.875	28.775
5750798	39.925	28.775
5750799	39.975	28.775
5750800	40.025	28.775
5750801	40.075	28.775
5750802	40.125	28.775
5750803	40.175	28.775
5750804	40.225	28.775
5750805	40.275	28.775
5750806	40.325	28.775
5750807	40.375	28.775
5750810	40.525	28.775
5750819	40.975	28.775
5750820	41.025	28.775
5750821	41.075	28.775
5750822	41.125	28.775
5750823	41.175	28.775
5750824	41.225	28.775
5750825	41.275	28.775
5750826	41.325	28.775
5760796	39.825	28.825
5760797	39.875	28.825
5760798	39.925	28.825
5760799	39.975	28.825
5760800	40.025	28.825
5760801	40.075	28.825
5760802	40.125	28.825
5760803	40.175	28.825
5760804	40.225	28.825
5760805	40.275	28.825
5760806	40.325	28.825
5760807	40.375	28.825
5760810	40.525	28.825
5760811	40.575	28.825
5760819	40.975	28.825
5760820	41.025	28.825
5760821	41.075	28.825
5760822	41.125	28.825
5760823	41.175	28.825
5760824	41.225	28.825
5760825	41.275	28.825
5770796	39.825	28.875
5770797	39.875	28.875
5770798	39.925	28.875
5770799	39.975	28.875
5770800	40.025	28.875
5770801	40.075	28.875
5770802	40.125	28.875
5770803	40.175	28.875
5770804	40.225	28.875
5770805	40.275	28.875
5770806	40.325	28.875
5770807	40.375	28.875
5770809	40.475	28.875
5770810	40.525	28.875
5770811	40.575	28.875
5770819	40.975	28.875
5770820	41.025	28.875
5770821	41.075	28.875
5770822	41.125	28.875
5770823	41.175	28.875
5770824	41.225	28.875
5770825	41.275	28.875
5780796	39.825	28.925
5780797	39.875	28.925
5780798	39.925	28.925
5780799	39.975	28.925
5780800	40.025	28.925
5780801	40.075	28.925
5780802	40.125	28.925
5780803	40.175	28.925
5780804	40.225	28.925
5780805	40.275	28.925
5780806	40.325	28.925
5780807	40.375	28.925
5780809	40.475	28.925
5780810	40.525	28.925
5780811	40.575	28.925
5780812	40.625	28.925
5780819	40.975	28.925
5780820	41.025	28.925
5780821	41.075	28.925
5780822	41.125	28.925
5780823	41.175	28.925
5780824	41.225	28.925
5780825	41.275	28.925
5790796	39.825	28.975
5790797	39.875	28.975
5790798	39.925	28.975
5790799	39.975	28.975
5790800	40.025	28.975
5790801	40.075	28.975
5790802	40.125	28.975
5790803	40.175	28.975
5790804	40.225	28.975
5790805	40.275	28.975
5790806	40.325	28.975
5790807	40.375	28.975
5790809	40.475	28.975
5790810	40.525	28.975
5790811	40.575	28.975
5790812	40.625	28.975
5790819	40.975	28.975
5790820	41.025	28.975
5790821	41.075	28.975
5790822	41.125	28.975
5790823	41.175	28.975
5790824	41.225	28.975
5790825	41.275	28.975
5800796	39.825	29.025
5800797	39.875	29.025
5800798	39.925	29.025
5800799	39.975	29.025
5800800	40.025	29.025
5800801	40.075	29.025
5800802	40.125	29.025
5800803	40.175	29.025
5800804	40.225	29.025
5800805	40.275	29.025
5800806	40.325	29.025
5800807	40.375	29.025
5800809	40.475	29.025
5800810	40.525	29.025
5800811	40.575	29.025
5800812	40.625	29.025
5800818	40.925	29.025
5800819	40.975	29.025
5800820	41.025	29.025
5800821	41.075	29.025
5800822	41.125	29.025
5800823	41.175	29.025
5800824	41.225	29.025
5800825	41.275	29.025
5810796	39.825	29.075
5810797	39.875	29.075
5810798	39.925	29.075
5810799	39.975	29.075
5810800	40.025	29.075
5810801	40.075	29.075
5810802	40.125	29.075
5810803	40.175	29.075
5810804	40.225	29.075
5810805	40.275	29.075
5810806	40.325	29.075
5810807	40.375	29.075
5810808	40.425	29.075
5810809	40.475	29.075
5810810	40.525	29.075
5810811	40.575	29.075
5810812	40.625	29.075
5810817	40.875	29.075
5810818	40.925	29.075
5810819	40.975	29.075
5810820	41.025	29.075
5810821	41.075	29.075
5810822	41.125	29.075
5810823	41.175	29.075
5810824	41.225	29.075
5810825	41.275	29.075
5820796	39.825	29.125
5820797	39.875	29.125
5820798	39.925	29.125
5820799	39.975	29.125
5820800	40.025	29.125
5820801	40.075	29.125
5820802	40.125	29.125
5820803	40.175	29.125
5820804	40.225	29.125
5820805	40.275	29.125
5820806	40.325	29.125
5820807	40.375	29.125
5820808	40.425	29.125
5820809	40.475	29.125
5820810	40.525	29.125
5820811	40.575	29.125
5820812	40.625	29.125
5820813	40.675	29.125
5820816	40.825	29.125
5820817	40.875	29.125
5820818	40.925	29.125
5820819	40.975	29.125
5820820	41.025	29.125
5820821	41.075	29.125
5820822	41.125	29.125
5820823	41.175	29.125
5820824	41.225	29.125
5830796	39.825	29.175
5830797	39.875	29.175
5830798	39.925	29.175
5830799	39.975	29.175
5830800	40.025	29.175
5830801	40.075	29.175
5830802	40.125	29.175
5830803	40.175	29.175
5830804	40.225	29.175
5830805	40.275	29.175
5830806	40.325	29.175
5830807	40.375	29.175
5830808	40.425	29.175
5830809	40.475	29.175
5830810	40.525	29.175
5830811	40.575	29.175
5830812	40.625	29.175
5830813	40.675	29.175
5830817	40.875	29.175
5830818	40.925	29.175
5830819	40.975	29.175
5830820	41.025	29.175
5830821	41.075	29.175
5830822	41.125	29.175
5830823	41.175	29.175
5830824	41.225	29.175
5840796	39.825	29.225
5840797	39.875	29.225
5840798	39.925	29.225
5840799	39.975	29.225
5840800	40.025	29.225
5840801	40.075	29.225
5840802	40.125	29.225
5840803	40.175	29.225
5840804	40.225	29.225
5840805	40.275	29.225
5840806	40.325	29.225
5840807	40.375	29.225
5840808	40.425	29.225
5840809	40.475	29.225
5840810	40.525	29.225
5840811	40.575	29.225
5840812	40.625	29.225
5840813	40.675	29.225
5840817	40.875	29.225
5840818	40.925	29.225
5840819	40.975	29.225
5840820	41.025	29.225
5840821	41.075	29.225
5840822	41.125	29.225
5840823	41.175	29.225
5840824	41.225	29.225
5850796	39.825	29.275
5850797	39.875	29.275
5850798	39.925	29.275
5850799	39.975	29.275
5850800	40.025	29.275
5850801	40.075	29.275
5850802	40.125	29.275
5850803	40.175	29.275
5850804	40.225	29.275
5850805	40.275	29.275
5850806	40.325	29.275
5850807	40.375	29.275
5850808	40.425	29.275
5850809	40.475	29.275
5850810	40.525	29.275
5850811	40.575	29.275
5850812	40.625	29.275
5850813	40.675	29.275
5850816	40.825	29.275
5850817	40.875	29.275
5850818	40.925	29.275
5850819	40.975	29.275
5850820	41.025	29.275
5850821	41.075	29.275
5850822	41.125	29.275
5850823	41.175	29.275
5850824	41.225	29.275
5860796	39.825	29.325
5860797	39.875	29.325
5860798	39.925	29.325
5860799	39.975	29.325
5860800	40.025	29.325
5860801	40.075	29.325
5860802	40.125	29.325
5860803	40.175	29.325
5860804	40.225	29.325
5860805	40.275	29.325
5860806	40.325	29.325
5860807	40.375	29.325
5860808	40.425	29.325
5860809	40.475	29.325
5860810	40.525	29.325
5860811	40.575	29.325
5860812	40.625	29.325
5860813	40.675	29.325
5860815	40.775	29.325
5860816	40.825	29.325
5860817	40.875	29.325
5860818	40.925	29.325
5860819	40.975	29.325
5860820	41.025	29.325
5860821	41.075	29.325
5860822	41.125	29.325
5860823	41.175	29.325
5860824	41.225	29.325
5870796	39.825	29.375
5870797	39.875	29.375
5870798	39.925	29.375
5870799	39.975	29.375
5870800	40.025	29.375
5870801	40.075	29.375
5870802	40.125	29.375
5870803	40.175	29.375
5870804	40.225	29.375
5870805	40.275	29.375
5870806	40.325	29.375
5870807	40.375	29.375
5870808	40.425	29.375
5870809	40.475	29.375
5870810	40.525	29.375
5870811	40.575	29.375
5870812	40.625	29.375
5870813	40.675	29.375
5870814	40.725	29.375
5870815	40.775	29.375
5870816	40.825	29.375
5870817	40.875	29.375
5870818	40.925	29.375
5870819	40.975	29.375
5870820	41.025	29.375
5870821	41.075	29.375
5870822	41.125	29.375
5870823	41.175	29.375
5870824	41.225	29.375
5880796	39.825	29.425
5880797	39.875	29.425
5880798	39.925	29.425
5880799	39.975	29.425
5880800	40.025	29.425
5880801	40.075	29.425
5880802	40.125	29.425
5880803	40.175	29.425
5880804	40.225	29.425
5880805	40.275	29.425
5880806	40.325	29.425
5880807	40.375	29.425
5880808	40.425	29.425
5880810	40.525	29.425
5880811	40.575	29.425
5880812	40.625	29.425
5880813	40.675	29.425
5880815	40.775	29.425
5880816	40.825	29.425
5880817	40.875	29.425
5880818	40.925	29.425
5880819	40.975	29.425
5880820	41.025	29.425
5880821	41.075	29.425
5880822	41.125	29.425
5880823	41.175	29.425
5880824	41.225	29.425
5890796	39.825	29.475
5890797	39.875	29.475
5890798	39.925	29.475
5890799	39.975	29.475
5890800	40.025	29.475
5890801	40.075	29.475
5890802	40.125	29.475
5890803	40.175	29.475
5890804	40.225	29.475
5890805	40.275	29.475
5890806	40.325	29.475
5890807	40.375	29.475
5890810	40.525	29.475
5890811	40.575	29.475
5890812	40.625	29.475
5890813	40.675	29.475
5890814	40.725	29.475
5890815	40.775	29.475
5890816	40.825	29.475
5890817	40.875	29.475
5890818	40.925	29.475
5890819	40.975	29.475
5890820	41.025	29.475
5890821	41.075	29.475
5890822	41.125	29.475
5890823	41.175	29.475
5900796	39.825	29.525
