segment Fiji
-17.518 -178.713
-17.521 -178.712
-17.531 -178.713
segment Fiji
-17.68 -178.831
-17.678 -178.83
-17.673 -178.835
-17.666 -178.836
-17.662 -178.84
-17.655 -178.835
-17.654 -178.823
-17.658 -178.812
-17.664 -178.808
-17.67 -178.81
-17.673 -178.809
-17.676 -178.805
-17.684 -178.802
-17.69 -178.797
-17.696 -178.799
-17.697 -178.807
-17.694 -178.814
-17.691 -178.816
-17.683 -178.822
-17.68 -178.831
segment Fiji
-17.742 -179.334
-17.729 -179.329
-17.722 -179.31
-17.727 -179.291
-17.732 -179.285
-17.733 -179.281
-17.74 -179.278
-17.753 -179.277
-17.756 -179.275
-17.767 -179.282
-17.773 -179.282
-17.778 -179.296
-17.781 -179.299
-17.781 -179.3
-17.773 -179.312
-17.772 -179.319
-17.774 -179.328
-17.769 -179.335
-17.765 -179.338
-17.759 -179.338
-17.752 -179.335
-17.742 -179.334
segment Fiji
-18.006 -179.04
-18.003 -179.047
-17.996 -179.057
-17.992 -179.061
-17.978 -179.074
-17.971 -179.076
-17.964 -179.074
-17.957 -179.068
-17.954 -179.06
-17.963 -179.044
-17.962 -179.039
-17.966 -179.036
-17.986 -179.029
-17.995 -179.031
-17.999 -179.027
-18.005 -179.035
-18.006 -179.04
segment Fiji
-18.214 -178.735
-18.22 -178.737
-18.226 -178.743
-18.227 -178.749
-18.232 -178.756
-18.234 -178.759
-18.239 -178.777
-18.249 -178.783
-18.253 -178.794
-18.252 -178.796
-18.246 -178.799
-18.239 -178.797
-18.237 -178.798
-18.237 -178.808
-18.227 -178.82
-18.226 -178.829
-18.219 -178.835
-18.215 -178.836
-18.202 -178.832
-18.2 -178.83
-18.197 -178.828
-18.191 -178.83
-18.186 -178.827
-18.185 -178.823
-18.177 -178.815
-18.177 -178.811
-18.179 -178.807
-18.176 -178.79
-18.177 -178.78
-18.18 -178.771
-18.184 -178.765
-18.186 -178.756
-18.191 -178.748
-18.198 -178.744
-18.201 -178.744
-18.203 -178.739
-18.214 -178.735
segment Fiji
-18.32 -178.698
-18.322 -178.688
-18.325 -178.686
-18.326 -178.695
-18.325 -178.7
-18.321 -178.701
-18.32 -178.698
segment Fiji
-18.385 -179.272
-18.38 -179.278
-18.371 -179.279
-18.366 -179.277
-18.363 -179.274
-18.362 -179.269
-18.365 -179.259
-18.376 -179.259
-18.384 -179.265
-18.385 -179.272
segment Fiji
-18.45 -178.467
-18.448 -178.487
-18.445 -178.491
-18.439 -178.482
-18.438 -178.471
-18.433 -178.468
-18.432 -178.465
-18.439 -178.45
-18.444 -178.463
-18.45 -178.467
segment Fiji
-18.669 -178.495
-18.674 -178.5
-18.658 -178.519
-18.653 -178.516
-18.646 -178.519
-18.638 -178.512
-18.637 -178.501
-18.643 -178.497
-18.638 -178.494
-18.639 -178.491
-18.655 -178.484
-18.658 -178.486
-18.659 -178.489
-18.663 -178.494
-18.666 -178.496
-18.669 -178.495
segment Fiji
-18.676 -178.611
-18.679 -178.61
-18.681 -178.611
-18.687 -178.619
-18.688 -178.635
-18.686 -178.637
-18.68 -178.631
-18.676 -178.611
segment Fiji
-18.862 -178.589
-18.861 -178.594
-18.867 -178.609
-18.872 -178.613
-18.868 -178.615
-18.864 -178.614
-18.861 -178.616
-18.858 -178.623
-18.86 -178.627
-18.863 -178.628
-18.867 -178.627
-18.869 -178.629
-18.865 -178.632
-18.864 -178.633
-18.864 -178.639
-18.861 -178.648
-18.862 -178.655
-18.86 -178.661
-18.855 -178.659
-18.848 -178.665
-18.849 -178.655
-18.847 -178.647
-18.849 -178.641
-18.848 -178.631
-18.85 -178.628
-18.85 -178.599
-18.852 -178.591
-18.856 -178.588
-18.862 -178.589
segment Fiji
-18.89 -178.919
-18.889 -178.921
-18.882 -178.919
-18.871 -178.913
-18.867 -178.909
-18.867 -178.903
-18.858 -178.893
-18.859 -178.885
-18.857 -178.88
-18.86 -178.879
-18.863 -178.88
-18.88 -178.898
-18.889 -178.914
-18.89 -178.919
segment Fiji
-18.995 -178.957
-18.991 -178.964
-18.983 -178.971
-18.978 -178.972
-18.975 -178.975
-18.967 -178.978
-18.962 -178.979
-18.955 -178.982
-18.946 -178.978
-18.944 -178.977
-18.938 -178.973
-18.931 -178.964
-18.925 -178.956
-18.924 -178.95
-18.926 -178.945
-18.932 -178.94
-18.945 -178.934
-18.951 -178.935
-18.958 -178.933
-18.977 -178.933
-18.984 -178.94
-18.991 -178.945
-18.992 -178.951
-18.995 -178.957
segment Fiji
-18.939 -178.514
-18.938 -178.525
-18.929 -178.521
-18.927 -178.517
-18.928 -178.513
-18.931 -178.512
-18.939 -178.514
segment Fiji
-19.01 -179.86
-19.01 -179.867
-19.01 -179.868
-19.007 -179.873
-19.002 -179.875
-18.956 -179.87
-18.951 -179.863
-18.938 -179.86
-18.935 -179.856
-18.928 -179.852
-18.928 -179.848
-18.93 -179.845
-18.929 -179.838
-18.934 -179.831
-18.932 -179.823
-18.935 -179.819
-18.94 -179.811
-18.942 -179.804
-18.941 -179.797
-18.95 -179.786
-18.957 -179.785
-18.962 -179.781
-18.967 -179.782
-18.982 -179.797
-18.989 -179.811
-18.972 -179.81
-18.968 -179.813
-18.962 -179.812
-18.954 -179.814
-18.946 -179.82
-18.947 -179.823
-18.946 -179.83
-18.947 -179.833
-18.951 -179.836
-18.952 -179.838
-18.947 -179.842
-18.948 -179.845
-18.954 -179.853
-18.958 -179.856
-18.964 -179.864
-18.982 -179.86
-18.987 -179.861
-18.99 -179.858
-18.995 -179.857
-19 -179.852
-19.001 -179.846
-19.006 -179.851
-19.01 -179.86
segment Fiji
-18.958 -178.444
-18.955 -178.446
-18.949 -178.444
-18.946 -178.441
-18.94 -178.441
-18.935 -178.435
-18.935 -178.433
-18.939 -178.429
-18.943 -178.431
-18.947 -178.436
-18.951 -178.436
-18.958 -178.444
segment Fiji
-18.979 -178.475
-18.975 -178.48
-18.975 -178.487
-18.973 -178.488
-18.966 -178.485
-18.964 -178.482
-18.964 -178.477
-18.972 -178.471
-18.976 -178.466
-18.978 -178.467
-18.979 -178.475
segment Fiji
-18.996 -178.826
-18.994 -178.83
-18.991 -178.831
-18.988 -178.827
-18.988 -178.818
-18.989 -178.817
-18.995 -178.82
-18.996 -178.826
segment Fiji
-19.178 -178.553
-19.178 -178.557
-19.171 -178.564
-19.162 -178.566
-19.158 -178.569
-19.159 -178.584
-19.166 -178.586
-19.166 -178.59
-19.163 -178.597
-19.16 -178.599
-19.153 -178.601
-19.136 -178.602
-19.132 -178.601
-19.13 -178.601
-19.118 -178.593
-19.115 -178.588
-19.105 -178.581
-19.104 -178.577
-19.108 -178.573
-19.109 -178.567
-19.112 -178.563
-19.116 -178.562
-19.119 -178.564
-19.118 -178.569
-19.114 -178.572
-19.114 -178.58
-19.123 -178.589
-19.138 -178.594
-19.146 -178.591
-19.148 -178.588
-19.144 -178.583
-19.146 -178.58
-19.148 -178.575
-19.146 -178.563
-19.152 -178.563
-19.155 -178.556
-19.165 -178.546
-19.165 -178.544
-19.157 -178.532
-19.153 -178.533
-19.142 -178.531
-19.144 -178.527
-19.15 -178.528
-19.155 -178.527
-19.159 -178.53
-19.166 -178.531
-19.168 -178.538
-19.172 -178.542
-19.178 -178.553
segment Fiji
-19.183 -178.418
-19.177 -178.424
-19.167 -178.42
-19.165 -178.421
-19.159 -178.419
-19.155 -178.413
-19.157 -178.41
-19.154 -178.408
-19.149 -178.411
-19.14 -178.407
-19.136 -178.408
-19.13 -178.406
-19.129 -178.402
-19.121 -178.395
-19.129 -178.391
-19.136 -178.392
-19.144 -178.389
-19.151 -178.391
-19.163 -178.391
-19.173 -178.397
-19.176 -178.395
-19.177 -178.397
-19.178 -178.405
-19.176 -178.408
-19.173 -178.406
-19.17 -178.406
-19.17 -178.409
-19.166 -178.412
-19.171 -178.418
-19.178 -178.415
-19.183 -178.418
segment Fiji
-19.221 -178.419
-19.213 -178.425
-19.203 -178.421
-19.201 -178.419
-19.203 -178.416
-19.201 -178.403
-19.203 -178.401
-19.209 -178.397
-19.213 -178.398
-19.216 -178.401
-19.217 -178.407
-19.22 -178.413
-19.221 -178.419
segment Fiji
-15.714 -179.991
-15.714 -179.989
-15.714 -179.987
-15.715 -179.985
-15.717 -179.975
-15.726 -179.956
-15.73 -179.94
-15.735 -179.931
-15.752 -179.904
-15.758 -179.901
-15.765 -179.902
-15.767 -179.908
-15.762 -179.919
-15.751 -179.929
-15.743 -179.945
-15.739 -179.95
-15.732 -179.98
-15.728 -179.983
-15.726 -179.985
-15.724 -179.986
-15.722 -179.988
-15.721 -179.989
-15.719 -179.99
-15.716 -179.993
-15.714 -179.991
segment Fiji
-16.146 -180
-16.146 -179.999
-16.146 -179.998
-16.146 -179.997
-16.146 -179.996
-16.145 -179.996
-16.145 -179.995
-16.144 -179.995
-16.144 -179.994
-16.143 -179.994
-16.143 -179.993
-16.142 -179.993
-16.141 -179.992
-16.14 -179.992
-16.139 -179.991
-16.138 -179.991
-16.138 -179.99
-16.137 -179.989
-16.137 -179.988
-16.136 -179.987
-16.136 -179.986
-16.135 -179.986
-16.135 -179.985
-16.134 -179.982
-16.132 -179.969
-16.135 -179.964
-16.129 -179.962
-16.127 -179.953
-16.129 -179.946
-16.137 -179.952
-16.14 -179.951
-16.145 -179.952
-16.146 -179.954
-16.144 -179.958
-16.158 -179.974
-16.159 -179.981
-16.163 -179.985
-16.163 -179.986
-16.164 -179.986
-16.164 -179.987
-16.165 -179.987
-16.165 -179.988
-16.167 -179.99
-16.168 -180
-16.146 -180
segment Fiji
-16.529 -180
-16.501 -180
-16.493 -180
-16.493 -179.999
-16.492 -179.999
-16.491 -179.998
-16.49 -179.997
-16.489 -179.997
-16.489 -179.996
-16.488 -179.996
-16.487 -179.995
-16.486 -179.995
-16.486 -179.994
-16.485 -179.994
-16.484 -179.994
-16.484 -179.993
-16.483 -179.993
-16.482 -179.992
-16.481 -179.992
-16.481 -179.991
-16.48 -179.991
-16.48 -179.99
-16.48 -179.989
-16.479 -179.988
-16.479 -179.987
-16.478 -179.987
-16.478 -179.986
-16.478 -179.985
-16.477 -179.985
-16.47 -179.981
-16.467 -179.977
-16.464 -179.972
-16.467 -179.963
-16.466 -179.959
-16.456 -179.956
-16.455 -179.95
-16.454 -179.948
-16.451 -179.942
-16.451 -179.931
-16.445 -179.926
-16.445 -179.921
-16.441 -179.918
-16.445 -179.905
-16.447 -179.904
-16.448 -179.906
-16.45 -179.914
-16.455 -179.916
-16.459 -179.915
-16.463 -179.911
-16.465 -179.915
-16.473 -179.918
-16.473 -179.921
-16.469 -179.925
-16.468 -179.93
-16.478 -179.93
-16.479 -179.932
-16.48 -179.939
-16.483 -179.943
-16.485 -179.943
-16.489 -179.935
-16.507 -179.928
-16.512 -179.928
-16.529 -179.929
-16.53 -179.938
-16.529 -179.942
-16.531 -179.945
-16.53 -179.949
-16.533 -179.953
-16.535 -179.962
-16.535 -179.967
-16.54 -179.972
-16.539 -179.978
-16.535 -179.984
-16.527 -179.983
-16.525 -179.981
-16.524 -179.982
-16.524 -179.985
-16.524 -179.986
-16.525 -179.987
-16.525 -179.988
-16.525 -179.989
-16.525 -179.99
-16.526 -179.991
-16.526 -179.992
-16.526 -179.993
-16.526 -179.994
-16.527 -179.995
-16.527 -179.996
-16.528 -179.997
-16.528 -179.998
-16.529 -179.999
-16.529 -180
segment Fiji
-16.973 -180
-16.918 -180
-16.835 -180
-16.797 -180
-16.797 -179.998
-16.796 -179.998
-16.796 -179.997
-16.795 -179.997
-16.795 -179.996
-16.794 -179.996
-16.794 -179.995
-16.793 -179.995
-16.793 -179.994
-16.792 -179.994
-16.791 -179.993
-16.79 -179.992
-16.789 -179.991
-16.789 -179.99
-16.788 -179.99
-16.788 -179.989
-16.788 -179.988
-16.787 -179.987
-16.787 -179.986
-16.787 -179.985
-16.786 -179.985
-16.784 -179.98
-16.775 -179.974
-16.764 -179.959
-16.751 -179.951
-16.748 -179.946
-16.74 -179.944
-16.733 -179.936
-16.721 -179.929
-16.718 -179.925
-16.71 -179.909
-16.709 -179.907
-16.698 -179.897
-16.696 -179.891
-16.695 -179.881
-16.689 -179.877
-16.686 -179.873
-16.688 -179.871
-16.688 -179.866
-16.692 -179.862
-16.705 -179.855
-16.717 -179.854
-16.73 -179.848
-16.735 -179.848
-16.742 -179.853
-16.747 -179.851
-16.754 -179.852
-16.757 -179.85
-16.77 -179.837
-16.772 -179.833
-16.771 -179.83
-16.779 -179.823
-16.785 -179.82
-16.788 -179.821
-16.79 -179.823
-16.79 -179.833
-16.793 -179.838
-16.795 -179.844
-16.801 -179.844
-16.802 -179.846
-16.803 -179.847
-16.804 -179.846
-16.803 -179.842
-16.804 -179.838
-16.809 -179.838
-16.81 -179.844
-16.817 -179.857
-16.825 -179.862
-16.836 -179.864
-16.841 -179.869
-16.857 -179.874
-16.866 -179.873
-16.872 -179.875
-16.87 -179.887
-16.871 -179.893
-16.878 -179.902
-16.881 -179.907
-16.886 -179.91
-16.89 -179.915
-16.894 -179.916
-16.896 -179.919
-16.896 -179.92
-16.902 -179.922
-16.906 -179.928
-16.91 -179.939
-16.914 -179.945
-16.923 -179.95
-16.927 -179.96
-16.928 -179.961
-16.931 -179.964
-16.939 -179.969
-16.94 -179.973
-16.949 -179.985
-16.949 -179.986
-16.95 -179.986
-16.951 -179.986
-16.952 -179.987
-16.953 -179.987
-16.954 -179.987
-16.954 -179.988
-16.955 -179.988
-16.956 -179.988
-16.957 -179.989
-16.958 -179.989
-16.959 -179.989
-16.959 -179.99
-16.96 -179.99
-16.961 -179.99
-16.962 -179.991
-16.963 -179.991
-16.964 -179.991
-16.964 -179.992
-16.965 -179.992
-16.965 -179.993
-16.966 -179.993
-16.967 -179.994
-16.968 -179.995
-16.969 -179.995
-16.969 -179.996
-16.97 -179.996
-16.971 -179.997
-16.973 -180
segment Fiji
-19.645 -175.022
-19.646 -175.02
-19.648 -175.017
-19.652 -175.014
-19.658 -175.01
-19.666 -175.011
-19.672 -175.013
-19.677 -175.017
-19.679 -175.02
-19.68 -175.025
-19.679 -175.03
-19.677 -175.032
-19.674 -175.034
-19.67 -175.036
-19.668 -175.037
-19.663 -175.037
-19.658 -175.036
-19.655 -175.036
-19.65 -175.034
-19.649 -175.032
-19.647 -175.028
-19.645 -175.022
segment Fiji
-16.164 179.936
-16.161 179.934
-16.16 179.94
-16.157 179.942
-16.157 179.949
-16.159 179.95
-16.162 179.947
-16.164 179.936
segment Fiji
-16.175 179.654
-16.182 179.666
-16.183 179.657
-16.18 179.655
-16.182 179.65
-16.175 179.65
-16.175 179.654
segment Fiji
-16.192 179.586
-16.193 179.58
-16.186 179.581
-16.181 179.584
-16.181 179.587
-16.192 179.586
segment Fiji
-16.208 179.624
-16.208 179.622
-16.202 179.618
-16.2 179.614
-16.197 179.611
-16.194 179.614
-16.189 179.613
-16.183 179.617
-16.182 179.62
-16.187 179.624
-16.186 179.627
-16.187 179.628
-16.207 179.629
-16.206 179.625
-16.208 179.624
segment Fiji
-16.21 179.758
-16.207 179.754
-16.205 179.754
-16.206 179.761
-16.203 179.765
-16.205 179.766
-16.209 179.762
-16.21 179.758
segment Fiji
-16.223 179.614
-16.222 179.609
-16.216 179.606
-16.213 179.606
-16.212 179.608
-16.216 179.613
-16.223 179.614
segment Fiji
-16.238 179.094
-16.237 179.092
-16.233 179.094
-16.225 179.092
-16.216 179.101
-16.221 179.102
-16.226 179.1
-16.229 179.102
-16.231 179.101
-16.235 179.104
-16.236 179.103
-16.235 179.099
-16.238 179.094
segment Fiji
-16.25 179.578
-16.244 179.577
-16.243 179.575
-16.237 179.573
-16.231 179.574
-16.225 179.578
-16.23 179.584
-16.24 179.586
-16.248 179.582
-16.25 179.578
segment Fiji
-16.355 179.341
-16.35 179.34
-16.345 179.334
-16.342 179.335
-16.338 179.343
-16.34 179.347
-16.336 179.349
-16.338 179.36
-16.337 179.372
-16.339 179.378
-16.337 179.383
-16.34 179.384
-16.347 179.38
-16.348 179.377
-16.353 179.371
-16.353 179.368
-16.35 179.364
-16.35 179.359
-16.349 179.352
-16.353 179.346
-16.355 179.341
segment Fiji
-16.348 179.328
-16.345 179.323
-16.345 179.314
-16.343 179.315
-16.34 179.322
-16.343 179.324
-16.346 179.33
-16.348 179.328
segment Fiji
-16.435 179.071
-16.433 179.066
-16.428 179.063
-16.424 179.063
-16.422 179.069
-16.416 179.076
-16.417 179.083
-16.419 179.084
-16.428 179.08
-16.431 179.075
-16.435 179.071
segment Fiji
-16.578 178.636
-16.585 178.616
-16.592 178.612
-16.602 178.594
-16.601 178.591
-16.596 178.583
-16.598 178.573
-16.597 178.564
-16.593 178.562
-16.586 178.575
-16.584 178.587
-16.578 178.593
-16.578 178.599
-16.578 178.601
-16.58 178.607
-16.577 178.611
-16.577 178.62
-16.575 178.634
-16.578 178.636
segment Fiji
-16.621 178.698
-16.614 178.689
-16.611 178.689
-16.608 178.695
-16.621 178.698
segment Fiji
-16.627 179.95
-16.633 179.946
-16.638 179.945
-16.641 179.941
-16.647 179.941
-16.648 179.936
-16.651 179.936
-16.655 179.934
-16.657 179.929
-16.672 179.918
-16.672 179.915
-16.67 179.906
-16.673 179.902
-16.675 179.894
-16.673 179.885
-16.67 179.88
-16.668 179.881
-16.658 179.892
-16.658 179.901
-16.656 179.903
-16.654 179.905
-16.645 179.902
-16.641 179.903
-16.635 179.907
-16.636 179.91
-16.634 179.916
-16.628 179.922
-16.633 179.933
-16.64 179.936
-16.641 179.938
-16.632 179.944
-16.623 179.94
-16.614 179.941
-16.613 179.943
-16.614 179.947
-16.624 179.947
-16.627 179.95
segment Fiji
-16.848 177.444
-16.842 177.441
-16.833 177.446
-16.82 177.442
-16.819 177.444
-16.816 177.446
-16.813 177.45
-16.832 177.456
-16.834 177.459
-16.827 177.467
-16.826 177.47
-16.82 177.474
-16.812 177.481
-16.81 177.486
-16.805 177.489
-16.801 177.493
-16.799 177.499
-16.793 177.502
-16.792 177.506
-16.78 177.515
-16.778 177.521
-16.776 177.524
-16.771 177.524
-16.764 177.541
-16.756 177.545
-16.756 177.546
-16.754 177.55
-16.745 177.552
-16.741 177.555
-16.74 177.558
-16.743 177.562
-16.738 177.568
-16.73 177.571
-16.722 177.58
-16.716 177.582
-16.706 177.576
-16.705 177.569
-16.703 177.567
-16.7 177.569
-16.701 177.578
-16.705 177.582
-16.705 177.587
-16.708 177.591
-16.711 177.59
-16.713 177.594
-16.718 177.592
-16.719 177.591
-16.726 177.585
-16.734 177.581
-16.737 177.576
-16.752 177.568
-16.753 177.562
-16.757 177.56
-16.763 177.562
-16.765 177.555
-16.771 177.547
-16.771 177.54
-16.78 177.53
-16.783 177.529
-16.786 177.531
-16.788 177.528
-16.792 177.528
-16.793 177.524
-16.797 177.522
-16.803 177.525
-16.804 177.522
-16.805 177.519
-16.811 177.513
-16.808 177.509
-16.806 177.5
-16.808 177.496
-16.816 177.492
-16.822 177.485
-16.824 177.487
-16.829 177.497
-16.833 177.5
-16.834 177.496
-16.83 177.491
-16.831 177.487
-16.843 177.475
-16.844 177.456
