segment Vanuatu
-16.478 167.81
-16.488 167.811
-16.489 167.809
-16.491 167.803
-16.491 167.8
-16.488 167.797
-16.487 167.794
-16.495 167.785
-16.503 167.787
-16.506 167.785
-16.511 167.781
-16.513 167.775
-16.52 167.769
-16.526 167.765
-16.537 167.763
-16.546 167.765
-16.552 167.762
-16.549 167.74
-16.537 167.732
-16.53 167.721
-16.527 167.719
-16.524 167.719
-16.52 167.718
-16.519 167.714
-16.52 167.709
-16.519 167.707
-16.515 167.689
-16.511 167.68
-16.508 167.668
-16.504 167.661
-16.507 167.651
-16.509 167.636
-16.507 167.63
-16.509 167.624
-16.508 167.62
-16.503 167.611
-16.494 167.603
-16.493 167.6
-16.494 167.597
-16.504 167.592
-16.503 167.588
-16.497 167.584
-16.503 167.584
-16.507 167.587
-16.508 167.591
-16.512 167.591
-16.518 167.585
-16.518 167.578
-16.521 167.574
-16.528 167.572
-16.531 167.573
-16.536 167.577
-16.54 167.584
-16.545 167.585
-16.553 167.582
-16.556 167.579
-16.563 167.562
-16.561 167.558
-16.554 167.561
-16.551 167.56
-16.549 167.557
-16.55 167.549
-16.545 167.544
-16.548 167.544
-16.552 167.539
-16.553 167.537
-16.557 167.539
-16.563 167.537
-16.572 167.538
-16.575 167.535
-16.576 167.529
-16.583 167.53
-16.586 167.528
-16.588 167.523
-16.587 167.517
-16.576 167.508
-16.576 167.498
-16.578 167.496
-16.592 167.496
-16.593 167.493
-16.591 167.487
-16.589 167.486
-16.582 167.489
-16.579 167.487
-16.576 167.489
-16.574 167.485
-16.572 167.476
-16.574 167.473
-16.573 167.46
-16.568 167.456
-16.566 167.458
-16.564 167.458
-16.561 167.453
-16.559 167.449
-16.544 167.436
-16.542 167.431
-16.539 167.426
-16.525 167.417
-16.52 167.415
-16.515 167.415
-16.511 167.416
-16.503 167.414
-16.496 167.417
-16.496 167.419
-16.502 167.426
-16.504 167.434
-16.506 167.436
-16.509 167.433
-16.512 167.438
-16.516 167.448
-16.515 167.451
-16.507 167.445
-16.501 167.443
-16.5 167.441
-16.501 167.436
-16.499 167.434
-16.481 167.443
-16.468 167.438
-16.462 167.436
-16.449 167.422
-16.442 167.417
-16.438 167.41
-16.428 167.397
-16.424 167.401
-16.41 167.403
-16.387 167.402
-16.381 167.399
-16.378 167.395
-16.379 167.389
-16.373 167.382
-16.358 167.381
-16.355 167.381
-16.355 167.377
-16.354 167.374
-16.351 167.375
-16.34 167.381
-16.338 167.382
-16.313 167.378
-16.303 167.382
-16.294 167.38
-16.29 167.382
-16.277 167.395
-16.271 167.394
-16.269 167.389
-16.26 167.382
-16.255 167.383
-16.25 167.387
-16.246 167.387
-16.239 167.381
-16.221 167.38
-16.21 167.382
-16.188 167.39
-16.186 167.388
-16.19 167.384
-16.189 167.378
-16.184 167.37
-16.17 167.356
-16.155 167.347
-16.149 167.341
-16.138 167.335
-16.118 167.33
-16.114 167.328
-16.119 167.316
-16.129 167.293
-16.135 167.288
-16.146 167.283
-16.152 167.277
-16.158 167.264
-16.169 167.25
-16.167 167.239
-16.149 167.223
-16.148 167.216
-16.141 167.2
-16.141 167.193
-16.144 167.19
-16.138 167.184
-16.125 167.174
-16.108 167.173
-16.105 167.172
-16.099 167.17
-16.092 167.156
-16.087 167.153
-16.045 167.16
-16.038 167.168
-16.01 167.177
-16 167.182
-15.979 167.183
-15.968 167.176
-15.941 167.171
-15.926 167.167
-15.913 167.169
-15.9 167.179
-15.897 167.184
-15.891 167.197
-15.882 167.209
-15.881 167.213
-15.886 167.24
-15.886 167.25
-15.893 167.267
-15.899 167.271
-15.899 167.276
-15.902 167.282
-15.911 167.298
-15.913 167.311
-15.917 167.322
-15.921 167.324
-15.925 167.324
-15.93 167.318
-15.935 167.317
-15.941 167.319
-15.951 167.328
-15.968 167.339
-15.973 167.344
-15.974 167.351
-15.977 167.355
-15.982 167.359
-15.987 167.366
-16 167.379
segment Vanuatu
-15.902 167.3
-15.901 167.295
-15.897 167.292
-15.893 167.293
-15.89 167.299
-15.893 167.304
-15.899 167.309
-15.902 167.309
-15.902 167.3
segment Vanuatu
-15.977 167.37
-15.972 167.367
-15.969 167.37
-15.97 167.373
-15.975 167.372
-15.977 167.37
segment Vanuatu
-15.991 167.382
-15.989 167.379
-15.981 167.375
-15.979 167.381
-15.986 167.387
-15.991 167.387
-15.991 167.382
segment Vanuatu
-16.102 168.158
-16.103 168.169
-16.107 168.177
-16.112 168.181
-16.124 168.189
-16.126 168.19
-16.131 168.189
-16.135 168.192
-16.164 168.195
-16.172 168.201
-16.185 168.2
-16.206 168.21
-16.224 168.215
-16.228 168.219
-16.237 168.215
-16.248 168.225
-16.252 168.243
-16.253 168.247
-16.261 168.257
-16.265 168.267
-16.274 168.278
-16.278 168.285
-16.295 168.304
-16.304 168.307
-16.312 168.313
-16.32 168.313
-16.325 168.309
-16.335 168.306
-16.336 168.302
-16.34 168.3
-16.348 168.292
-16.357 168.275
-16.359 168.254
-16.363 168.244
-16.358 168.205
-16.358 168.2
-16.362 168.194
-16.365 168.19
-16.365 168.184
-16.363 168.162
-16.364 168.158
-16.375 168.146
-16.379 168.132
-16.376 168.125
-16.367 168.114
-16.365 168.109
-16.357 168.093
-16.354 168.078
-16.351 168.07
-16.35 168.063
-16.342 168.047
-16.341 168.039
-16.331 168.034
-16.321 168.023
-16.322 168.02
-16.329 168.015
-16.33 168.011
-16.321 168.004
-16.32 167.998
-16.312 167.984
-16.307 167.979
-16.3 167.968
-16.292 167.962
-16.28 167.953
-16.275 167.937
