segment Mariana
17.608 145.847
17.602 145.849
17.596 145.848
17.592 145.845
17.587 145.839
17.584 145.831
17.584 145.824
17.587 145.822
17.591 145.82
17.598 145.818
17.603 145.819
17.609 145.821
17.614 145.826
17.618 145.83
segment Mariana
17.302 145.839
17.303 145.837
17.308 145.837
17.312 145.838
17.316 145.84
17.319 145.843
17.318 145.844
17.317 145.845
17.316 145.846
17.315 145.846
17.316 145.85
17.315 145.851
17.314 145.852
17.311 145.852
17.308 145.851
17.304 145.849
17.301 145.845
17.302 145.839
segment Mariana
16.888 145.851
16.882 145.852
16.879 145.849
16.877 145.844
16.878 145.841
16.881 145.839
16.886 145.841
16.889 145.844
16.888 145.851
segment Mariana
16.699 145.784
16.7 145.782
16.7 145.779
16.706 145.776
16.711 145.772
16.713 145.771
16.717 145.772
16.719 145.774
16.721 145.777
16.723 145.78
16.724 145.782
16.721 145.783
16.719 145.783
16.717 145.784
16.713 145.786
16.708 145.787
16.699 145.788
16.698 145.786
16.699 145.784
segment Mariana
16.372 145.668
16.374 145.68
16.374 145.688
16.37 145.695
16.368 145.703
16.365 145.708
16.361 145.71
16.354 145.708
16.35 145.704
16.346 145.702
16.343 145.698
16.342 145.692
16.343 145.685
16.344 145.679
16.344 145.674
16.343 145.666
16.34 145.662
16.342 145.662
16.342 145.655
16.34 145.65
16.34 145.644
16.341 145.641
16.344 145.636
16.347 145.63
16.349 145.625
16.352 145.623
16.359 145.623
16.366 145.624
16.371 145.626
16.374 145.63
16.375 145.645
16.374 145.661
16.372 145.668
segment Mariana
16.021 146.068
16.024 146.08
16.022 146.081
16.019 146.081
16.017 146.078
16.014 146.074
16.012 146.071
16.007 146.068
16.005 146.064
16.003 146.063
16.001 146.06
16.002 146.059
16.006 146.062
16.01 146.065
16.013 146.066
16.021 146.068
segment Mariana
15.213 145.788
15.208 145.786
15.201 145.788
15.195 145.784
15.187 145.784
15.181 145.79
15.173 145.791
15.171 145.792
15.168 145.8
15.162 145.8
15.157 145.795
15.154 145.794
15.149 145.793
15.152 145.779
15.161 145.773
15.162 145.77
15.161 145.764
15.156 145.754
15.145 145.748
15.136 145.749
15.129 145.753
15.124 145.761
15.11 145.759
15.102 145.755
15.098 145.755
15.096 145.753
15.096 145.751
15.103 145.747
15.105 145.744
15.108 145.726
15.106 145.718
15.107 145.714
15.112 145.71
15.122 145.696
15.125 145.695
15.146 145.703
15.163 145.706
15.173 145.714
15.19 145.719
15.201 145.721
15.208 145.719
15.217 145.719
15.221 145.722
15.22 145.724
15.223 145.73
15.221 145.731
15.233 145.744
15.238 145.748
15.241 145.752
15.242 145.756
15.246 145.758
15.25 145.77
15.257 145.78
15.26 145.785
15.27 145.79
15.285 145.803
15.288 145.807
15.289 145.808
15.291 145.815
15.286 145.824
15.278 145.829
15.276 145.835
15.27 145.835
15.261 145.833
15.26 145.831
15.261 145.828
15.26 145.817
15.247 145.814
15.242 145.816
15.24 145.815
15.237 145.808
15.231 145.804
15.226 145.794
15.213 145.788
segment Mariana
20.028 145.211
20.026 145.212
20.02 145.211
20.017 145.212
20.017 145.213
20.015 145.211
20.014 145.211
20.017 145.21
20.021 145.209
20.023 145.209
20.025 145.21
20.028 145.211
segment Mariana
20.012 145.228
20.017 145.228
20.021 145.229
20.024 145.229
20.026 145.233
20.022 145.234
20.018 145.234
20.015 145.233
20.014 145.231
20.012 145.228
segment Mariana
15 145.592
15.003 145.59
15.008 145.592
15.012 145.592
15.019 145.587
15.032 145.591
15.042 145.598
15.049 145.602
15.055 145.601
15.058 145.603
15.066 145.61
15.074 145.615
15.096 145.64
15.104 145.645
15.105 145.647
15.103 145.653
15.099 145.658
15.091 145.663
15.082 145.663
15.071 145.662
15.061 145.664
15.057 145.663
15.05 145.654
15.044 145.653
15.043 145.654
15.033 145.655
15.023 145.662
15.017 145.674
15.006 145.678
15 145.678
14.997 145.678
14.971 145.669
14.958 145.667
14.954 145.669
14.95 145.67
14.949 145.667
14.949 145.66
14.939 145.657
14.938 145.656
14.923 145.643
14.926 145.637
14.928 145.635
14.956 145.633
14.967 145.629
14.972 145.619
14.975 145.617
14.986 145.615
14.991 145.612
14.993 145.607
14.99 145.6
14.991 145.598
15 145.592
