lon,lat,velocity_trench_normal,coupling_low,coupling_pref,coupling_high,slip_def_low,slip_def_pref,slip_def_high
147.831367,17.47592,45,0.01,0.05,0.1,0.45,2.25,4.5
147.828234,17.566252,44.6,0.01,0.05,0.1,0.45,2.23,4.46
147.8251,17.656584,44.2,0.01,0.05,0.1,0.44,2.21,4.42
147.821963,17.746914,43.9,0.01,0.05,0.1,0.44,2.19,4.39
147.818828,17.837244,43.5,0.01,0.05,0.1,0.44,2.18,4.35
147.815695,17.927574,43.1,0.01,0.05,0.1,0.43,2.16,4.31
147.812504,18.0179,42.8,0.01,0.05,0.1,0.43,2.14,4.28
147.806401,18.108052,42.2,0.01,0.05,0.1,0.42,2.11,4.22
147.797781,18.198053,41.9,0.01,0.05,0.1,0.42,2.09,4.19
147.789159,18.288053,41.5,0.01,0.05,0.1,0.42,2.08,4.15
147.780534,18.378052,41.1,0.01,0.05,0.1,0.41,2.06,4.11
147.77191,18.468051,40.8,0.01,0.05,0.1,0.41,2.04,4.08
147.76329,18.558051,40.4,0.01,0.05,0.1,0.4,2.02,4.04
147.754133,18.647964,39,0.01,0.05,0.1,0.39,1.95,3.9
147.731515,18.735729,38.6,0.01,0.05,0.1,0.39,1.93,3.86
147.708883,18.823493,38.3,0.01,0.05,0.1,0.38,1.91,3.83
147.686239,18.911256,37.9,0.01,0.05,0.1,0.38,1.89,3.79
147.663619,18.999028,37.5,0.01,0.05,0.1,0.38,1.88,3.75
147.640985,19.086798,37.2,0.01,0.05,0.1,0.37,1.86,3.72
147.618292,19.174557,36.6,0.01,0.05,0.1,0.37,1.83,3.66
147.594071,19.261949,36.3,0.01,0.05,0.1,0.36,1.81,3.63
147.569825,19.349338,35.9,0.01,0.05,0.1,0.36,1.79,3.59
147.545553,19.436722,35.5,0.01,0.05,0.1,0.36,1.78,3.55
147.521329,19.524122,35.2,0.01,0.05,0.1,0.35,1.76,3.52
147.4971,19.611523,34.8,0.01,0.05,0.1,0.35,1.74,3.48
147.472817,19.698913,34.4,0.01,0.05,0.1,0.34,1.72,3.44
147.442204,19.784245,32.1,0.01,0.05,0.1,0.32,1.61,3.21
147.404521,19.867278,31.8,0.01,0.05,0.1,0.32,1.59,3.18
147.366887,19.950338,31.4,0.01,0.05,0.1,0.31,1.57,3.14
147.329239,20.0334,31.1,0.01,0.05,0.1,0.31,1.55,3.11
147.29156,20.116457,30.7,0.01,0.05,0.1,0.31,1.53,3.07
147.253891,20.199525,30.4,0.01,0.05,0.1,0.3,1.52,3.04
147.216245,20.28261,30,0.01,0.05,0.1,0.3,1.5,3
147.182931,20.367296,30.6,0.01,0.05,0.1,0.31,1.53,3.06
147.151018,20.452502,30.2,0.01,0.05,0.1,0.3,1.51,3.02
147.119104,20.537713,29.8,0.01,0.05,0.1,0.3,1.49,2.98
147.087195,20.622931,29.5,0.01,0.05,0.1,0.29,1.47,2.95
147.055277,20.708152,29.1,0.01,0.05,0.1,0.29,1.46,2.91
147.023357,20.793376,28.7,0.01,0.05,0.1,0.29,1.44,2.87
146.991468,20.878616,28.4,0.01,0.05,0.1,0.28,1.42,2.84
146.959553,20.963853,28,0.01,0.05,0.1,0.28,1.4,2.8
146.927598,21.049082,27.7,0.01,0.05,0.1,0.28,1.38,2.77
146.895694,21.134332,27.3,0.01,0.05,0.1,0.27,1.36,2.73
146.863777,21.219583,26.9,0.01,0.05,0.1,0.27,1.35,2.69
146.83182,21.304826,26.6,0.01,0.05,0.1,0.27,1.33,2.66
146.785542,21.383472,22.3,0.01,0.05,0.1,0.22,1.12,2.23
146.732939,21.459217,22,0.01,0.05,0.1,0.22,1.1,2.2
146.680376,21.535002,21.6,0.01,0.05,0.1,0.22,1.08,2.16
146.627768,21.610774,21.3,0.01,0.05,0.1,0.21,1.06,2.13
146.575163,21.686564,20.9,0.01,0.05,0.1,0.21,1.05,2.09
146.516456,21.757861,16.7,0.01,0.05,0.1,0.17,0.83,1.67
146.449545,21.823107,16.3,0.01,0.05,0.1,0.16,0.82,1.63
146.382626,21.888371,16,0.01,0.05,0.1,0.16,0.8,1.6
146.315679,21.953636,15.6,0.01,0.05,0.1,0.16,0.78,1.56
146.248717,22.018913,15.3,0.01,0.05,0.1,0.15,0.76,1.53
146.181707,22.084171,15,0.01,0.05,0.1,0.15,0.75,1.5
146.114777,22.149527,14.6,0.01,0.05,0.1,0.15,0.73,1.46
146.045254,22.212132,9.8,0.01,0.05,0.1,0.1,0.49,0.98
145.966264,22.264592,9.4,0.01,0.05,0.1,0.09,0.47,0.94
145.887196,22.316985,9.1,0.01,0.05,0.1,0.09,0.45,0.91
145.80814,22.369429,8.8,0.01,0.05,0.1,0.09,0.44,0.88
145.72909,22.421915,8.4,0.01,0.05,0.1,0.08,0.42,0.84
145.650023,22.474413,8.1,0.01,0.05,0.1,0.08,0.4,0.81
145.570916,22.526894,7.7,0.01,0.05,0.1,0.08,0.39,0.77
145.491783,22.579374,7.4,0.01,0.05,0.1,0.07,0.37,0.74
145.41265,22.631888,7.1,0.01,0.05,0.1,0.07,0.35,0.71
145.333518,22.684437,6.7,0.01,0.05,0.1,0.07,0.34,0.67
145.259108,22.742208,10.2,0.01,0.05,0.1,0.1,0.51,1.02
145.189908,22.805739,9.9,0.01,0.05,0.1,0.1,0.49,0.99
145.120697,22.869285,9.5,0.01,0.05,0.1,0.1,0.48,0.95
145.05147,22.932842,9.2,0.01,0.05,0.1,0.09,0.46,0.92
144.982227,22.996409,8.8,0.01,0.05,0.1,0.09,0.44,0.88
144.912973,23.059991,8.5,0.01,0.05,0.1,0.09,0.43,0.85
144.843696,23.123577,8.1,0.01,0.05,0.1,0.08,0.41,0.81
