Latitude,Longitude,ConveyorBeltVelo,Alpha,Beta,P_2.5,P_50,P_97.5
11.638,143.804,37.000,7.601,10.902,0.204,0.408,0.635
11.669,143.890,36.700,7.601,10.902,0.204,0.408,0.635
11.717,143.967,48.400,7.601,10.902,0.204,0.408,0.635
11.766,144.044,48.000,7.601,10.902,0.204,0.408,0.635
11.816,144.121,47.700,7.601,10.902,0.204,0.408,0.635
11.865,144.198,47.400,7.601,10.902,0.204,0.408,0.635
11.902,144.281,34.200,7.601,10.902,0.204,0.408,0.635
11.933,144.367,34.000,7.601,10.902,0.204,0.408,0.635
11.963,144.454,33.700,7.601,10.902,0.204,0.408,0.635
11.993,144.540,33.300,7.601,10.902,0.204,0.408,0.635
12.024,144.626,38.200,7.601,10.902,0.204,0.408,0.635
12.062,144.710,37.900,7.601,10.902,0.204,0.408,0.635
12.100,144.793,37.600,7.601,10.902,0.204,0.408,0.635
12.138,144.876,37.200,7.601,10.902,0.204,0.408,0.635
12.171,144.962,33.300,7.601,10.902,0.204,0.408,0.635
12.204,145.048,32.900,7.601,10.902,0.204,0.408,0.635
12.237,145.133,32.600,7.601,10.902,0.204,0.408,0.635
12.269,145.219,32.300,7.601,10.902,0.204,0.408,0.635
12.315,145.298,41.600,7.601,10.902,0.204,0.408,0.635
12.362,145.377,41.300,7.601,10.902,0.204,0.408,0.635
12.414,145.451,52.000,7.601,10.902,0.204,0.408,0.635
12.477,145.517,51.600,7.601,10.902,0.204,0.408,0.635
12.541,145.582,51.300,7.601,10.902,0.204,0.408,0.635
12.605,145.647,50.900,7.601,10.902,0.204,0.408,0.635
12.664,145.716,42.400,7.601,10.902,0.204,0.408,0.635
12.715,145.792,42.000,7.601,10.902,0.204,0.408,0.635
12.766,145.869,41.800,7.601,10.902,0.204,0.408,0.635
12.817,145.945,41.400,7.601,10.902,0.204,0.408,0.635
12.868,146.021,41.100,7.601,10.902,0.204,0.408,0.635
12.919,146.097,40.800,7.601,10.902,0.204,0.408,0.635
12.970,146.173,40.400,7.601,10.902,0.204,0.408,0.635
13.022,146.248,42.400,7.601,10.902,0.204,0.408,0.635
13.077,146.322,42.100,7.601,10.902,0.204,0.408,0.635
13.131,146.395,41.800,7.601,10.902,0.204,0.408,0.635
13.186,146.469,41.400,7.601,10.902,0.204,0.408,0.635
13.240,146.543,41.100,7.601,10.902,0.204,0.408,0.635
13.302,146.609,49.300,7.601,10.902,0.204,0.408,0.635
13.370,146.670,49.000,7.601,10.902,0.204,0.408,0.635
13.438,146.731,48.600,7.601,10.902,0.204,0.408,0.635
13.506,146.792,48.300,7.601,10.902,0.204,0.408,0.635
13.574,146.853,48.000,4.461,14.844,0.077,0.222,0.437
13.649,146.903,55.300,4.461,14.844,0.077,0.222,0.437
13.730,146.945,54.900,4.461,14.844,0.077,0.222,0.437
13.810,146.987,54.500,4.461,14.844,0.077,0.222,0.437
13.891,147.030,54.200,4.461,14.844,0.077,0.222,0.437
13.971,147.072,53.900,4.461,14.844,0.077,0.222,0.437
14.051,147.114,53.500,4.461,14.844,0.077,0.222,0.437
14.132,147.157,53.100,4.461,14.844,0.077,0.222,0.437
14.212,147.199,52.800,4.461,14.844,0.077,0.222,0.437
14.298,147.229,55.400,4.461,14.844,0.077,0.222,0.437
14.383,147.259,55.100,4.461,14.844,0.077,0.222,0.437
14.469,147.289,54.800,4.461,14.844,0.077,0.222,0.437
14.554,147.319,54.400,4.461,14.844,0.077,0.222,0.437
14.640,147.349,54.000,4.461,14.844,0.077,0.222,0.437
14.726,147.378,53.700,4.461,14.844,0.077,0.222,0.437
14.811,147.408,53.300,4.461,14.844,0.077,0.222,0.437
14.897,147.438,53.000,4.461,14.844,0.077,0.222,0.437
14.983,147.467,53.000,4.461,14.844,0.077,0.222,0.437
15.069,147.495,52.600,4.461,14.844,0.077,0.222,0.437
15.155,147.523,52.200,4.461,14.844,0.077,0.222,0.437
15.242,147.551,51.900,4.461,14.844,0.077,0.222,0.437
15.328,147.579,51.500,4.461,14.844,0.077,0.222,0.437
15.414,147.607,51.200,4.461,14.844,0.077,0.222,0.437
15.501,147.632,52.000,4.461,14.844,0.077,0.222,0.437
15.589,147.651,51.700,4.461,14.844,0.077,0.222,0.437
15.678,147.671,51.300,4.461,14.844,0.077,0.222,0.437
15.766,147.690,51.000,4.461,14.844,0.077,0.222,0.437
15.855,147.708,51.300,4.461,14.844,0.077,0.222,0.437
15.945,147.719,50.900,4.461,14.844,0.077,0.222,0.437
16.035,147.729,50.600,4.461,14.844,0.077,0.222,0.437
16.124,147.740,50.200,6.310,128.428,0.018,0.045,0.088
16.214,147.751,49.800,6.310,128.428,0.018,0.045,0.088
16.304,147.761,49.500,6.310,128.428,0.018,0.045,0.088
16.394,147.772,49.100,6.310,128.428,0.018,0.045,0.088
16.484,147.782,48.700,6.310,128.428,0.018,0.045,0.088
16.574,147.790,48.600,6.310,128.428,0.018,0.045,0.088
16.664,147.797,48.200,6.310,128.428,0.018,0.045,0.088
16.754,147.803,47.800,6.310,128.428,0.018,0.045,0.088
16.844,147.809,47.500,6.310,128.428,0.018,0.045,0.088
16.934,147.815,47.100,6.310,128.428,0.018,0.045,0.088
17.025,147.821,46.800,6.310,128.428,0.018,0.045,0.088
17.115,147.827,46.400,6.310,128.428,0.018,0.045,0.088
17.205,147.833,46.000,6.310,128.428,0.018,0.045,0.088
17.295,147.838,45.700,6.310,128.428,0.018,0.045,0.088
17.386,147.835,45.300,6.310,128.428,0.018,0.045,0.088
17.476,147.831,45.000,6.310,128.428,0.018,0.045,0.088
17.566,147.828,44.600,6.310,128.428,0.018,0.045,0.088
17.657,147.825,44.200,6.310,128.428,0.018,0.045,0.088
17.747,147.822,43.900,6.310,128.428,0.018,0.045,0.088
17.837,147.819,43.500,6.310,128.428,0.018,0.045,0.088
17.928,147.816,43.100,6.310,128.428,0.018,0.045,0.088
18.018,147.813,42.800,6.310,128.428,0.018,0.045,0.088
18.108,147.806,42.200,6.310,128.428,0.018,0.045,0.088
18.198,147.798,41.900,6.310,128.428,0.018,0.045,0.088
18.288,147.789,41.500,6.310,128.428,0.018,0.045,0.088
18.378,147.781,41.100,6.310,128.428,0.018,0.045,0.088
18.468,147.772,40.800,6.310,128.428,0.018,0.045,0.088
18.558,147.763,40.400,6.310,128.428,0.018,0.045,0.088
18.648,147.754,39.000,6.310,128.428,0.018,0.045,0.088
18.736,147.732,38.600,6.310,128.428,0.018,0.045,0.088
18.823,147.709,38.300,6.310,128.428,0.018,0.045,0.088
18.911,147.686,37.900,6.310,128.428,0.018,0.045,0.088
18.999,147.664,37.500,6.310,128.428,0.018,0.045,0.088
19.087,147.641,37.200,6.310,128.428,0.018,0.045,0.088
19.175,147.618,36.600,6.310,128.428,0.018,0.045,0.088
19.262,147.594,36.300,6.310,128.428,0.018,0.045,0.088
19.349,147.570,35.900,6.310,128.428,0.018,0.045,0.088
19.437,147.546,35.500,6.310,128.428,0.018,0.045,0.088
19.524,147.521,35.200,6.310,128.428,0.018,0.045,0.088
19.612,147.497,34.800,6.310,128.428,0.018,0.045,0.088
19.699,147.473,34.400,6.310,128.428,0.018,0.045,0.088
19.784,147.442,32.100,6.310,128.428,0.018,0.045,0.088
19.867,147.405,31.800,6.310,128.428,0.018,0.045,0.088
19.950,147.367,31.400,6.310,128.428,0.018,0.045,0.088
20.033,147.329,31.100,6.310,128.428,0.018,0.045,0.088
20.116,147.292,30.700,6.310,128.428,0.018,0.045,0.088
20.200,147.254,30.400,6.310,128.428,0.018,0.045,0.088
20.283,147.216,30.000,6.310,128.428,0.018,0.045,0.088
20.367,147.183,30.600,6.310,128.428,0.018,0.045,0.088
20.453,147.151,30.200,6.310,128.428,0.018,0.045,0.088
20.538,147.119,29.800,6.310,128.428,0.018,0.045,0.088
20.623,147.087,29.500,6.310,128.428,0.018,0.045,0.088
20.708,147.055,29.100,6.310,128.428,0.018,0.045,0.088
20.793,147.023,28.700,6.310,128.428,0.018,0.045,0.088
20.879,146.991,28.400,6.310,128.428,0.018,0.045,0.088
20.964,146.960,28.000,6.310,128.428,0.018,0.045,0.088
21.049,146.928,27.700,6.310,128.428,0.018,0.045,0.088
21.134,146.896,27.300,6.310,128.428,0.018,0.045,0.088
21.220,146.864,26.900,6.310,128.428,0.018,0.045,0.088
21.305,146.832,26.600,6.310,128.428,0.018,0.045,0.088
21.383,146.786,22.300,6.310,128.428,0.018,0.045,0.088
21.459,146.733,22.000,6.310,128.428,0.018,0.045,0.088
21.535,146.680,21.600,6.310,128.428,0.018,0.045,0.088
21.611,146.628,21.300,6.310,128.428,0.018,0.045,0.088
21.687,146.575,20.900,6.310,128.428,0.018,0.045,0.088
21.758,146.516,16.700,6.310,128.428,0.018,0.045,0.088
21.823,146.450,16.300,6.310,128.428,0.018,0.045,0.088
21.888,146.383,16.000,6.310,128.428,0.018,0.045,0.088
21.954,146.316,15.600,6.310,128.428,0.018,0.045,0.088
22.019,146.249,15.300,6.310,128.428,0.018,0.045,0.088
22.084,146.182,15.000,6.310,128.428,0.018,0.045,0.088
22.150,146.115,14.600,6.310,128.428,0.018,0.045,0.088
22.212,146.045,9.800,6.310,128.428,0.018,0.045,0.088
22.265,145.966,9.400,6.310,128.428,0.018,0.045,0.088
22.317,145.887,9.100,6.310,128.428,0.018,0.045,0.088
22.369,145.808,8.800,6.310,128.428,0.018,0.045,0.088
22.422,145.729,8.400,6.310,128.428,0.018,0.045,0.088
22.474,145.650,8.100,6.310,128.428,0.018,0.045,0.088
22.527,145.571,7.700,6.310,128.428,0.018,0.045,0.088
22.579,145.492,7.400,6.310,128.428,0.018,0.045,0.088
22.632,145.413,7.100,6.310,128.428,0.018,0.045,0.088
22.684,145.334,6.700,6.310,128.428,0.018,0.045,0.088
22.742,145.259,10.200,6.310,128.428,0.018,0.045,0.088
22.806,145.190,9.900,6.310,128.428,0.018,0.045,0.088
22.869,145.121,9.500,6.310,128.428,0.018,0.045,0.088
22.933,145.051,9.200,6.310,128.428,0.018,0.045,0.088
22.996,144.982,8.800,6.310,128.428,0.018,0.045,0.088
23.060,144.913,8.500,6.310,128.428,0.018,0.045,0.088
23.124,144.844,8.100,6.310,128.428,0.018,0.045,0.088
