segment Argentina
-38.878 -62.324
segment Argentina
-38.953 -62.289
-38.948 -62.296
-38.935 -62.291
-38.93 -62.284
-38.927 -62.275
-38.929 -62.258
-38.939 -62.265
-38.948 -62.287
-38.953 -62.289
segment Argentina
-38.966 -62.303
-38.965 -62.305
-38.954 -62.301
-38.963 -62.288
-38.966 -62.303
segment Argentina
-39 -62.138
-38.997 -62.146
-38.99 -62.149
-38.985 -62.157
-38.978 -62.157
-38.97 -62.164
-38.965 -62.165
-38.961 -62.157
-38.96 -62.15
-38.966 -62.144
-38.967 -62.141
-38.963 -62.132
-38.972 -62.121
-38.98 -62.117
-38.984 -62.119
-38.986 -62.129
-38.993 -62.131
-39 -62.138
segment Argentina
-38.975 -62.29
-38.973 -62.295
-38.971 -62.296
-38.97 -62.288
-38.966 -62.28
-38.972 -62.276
-38.975 -62.29
segment Argentina
-39.007 -62.304
-39.004 -62.308
-38.999 -62.304
-38.991 -62.301
-38.988 -62.293
-38.988 -62.279
-38.993 -62.281
-38.994 -62.292
-38.997 -62.297
-39.006 -62.302
-39.007 -62.304
segment Argentina
-39.056 -62
-39.057 -62.016
-39.054 -62.029
-39.052 -62.031
-39.047 -62.027
-39.046 -62.033
-39.037 -62.034
-39.034 -62.036
-39.041 -62.042
-39.042 -62.047
-39.033 -62.06
-39.029 -62.061
-39.025 -62.067
-39.022 -62.066
-39.019 -62.058
-39.016 -62.061
-39.015 -62.063
-39.015 -62.068
-39.012 -62.074
-39.017 -62.079
-39.017 -62.086
-39.021 -62.09
-39.026 -62.1
-39.026 -62.106
-39.021 -62.11
-39.022 -62.118
-39.006 -62.127
-39.003 -62.125
-39 -62.119
-38.993 -62.095
-38.992 -62.089
-38.995 -62.079
-38.993 -62.063
-38.993 -62.057
-39 -62.053
-39.008 -62.034
-39.006 -62.027
-39.015 -62.013
-39.017 -62.006
-39.018 -62
-39.023 -61.994
-39.024 -61.988
-39.021 -61.986
-39.022 -61.982
-39.024 -61.977
-39.031 -61.974
-39.035 -61.967
-39.039 -61.965
-39.057 -61.967
-39.059 -61.977
-39.057 -61.998
-39.056 -62
segment Argentina
-39.026 -62.29
-39.026 -62.296
-39.019 -62.301
-39.015 -62.302
-39.004 -62.269
-39.008 -62.268
-39.013 -62.275
-39.023 -62.281
-39.025 -62.284
-39.026 -62.29
segment Argentina
-39.042 -62.136
-39.039 -62.144
-39.035 -62.147
-39.03 -62.147
-39.025 -62.145
-39.024 -62.14
-39.018 -62.141
-39.02 -62.135
-39.014 -62.134
-39.011 -62.132
-39.011 -62.129
-39.016 -62.126
-39.031 -62.127
-39.039 -62.131
-39.042 -62.136
segment Argentina
-39.094 -62
-39.092 -61.997
-39.096 -61.985
-39.096 -61.968
-39.1 -61.957
-39.102 -61.948
-39.108 -61.941
-39.111 -61.939
-39.117 -61.936
-39.112 -61.929
-39.112 -61.926
-39.123 -61.927
-39.131 -61.921
-39.134 -61.917
-39.127 -61.909
-39.133 -61.907
-39.136 -61.902
-39.141 -61.901
-39.148 -61.903
-39.152 -61.902
-39.153 -61.899
-39.153 -61.896
-39.151 -61.892
-39.141 -61.889
-39.135 -61.882
-39.119 -61.891
-39.116 -61.89
-39.123 -61.883
-39.136 -61.875
-39.147 -61.873
-39.174 -61.866
-39.181 -61.868
-39.191 -61.878
-39.194 -61.878
-39.194 -61.874
-39.194 -61.871
-39.193 -61.867
-39.195 -61.861
-39.198 -61.858
-39.205 -61.857
-39.22 -61.86
-39.233 -61.86
-39.236 -61.862
-39.236 -61.868
-39.229 -61.869
-39.225 -61.873
-39.224 -61.876
-39.231 -61.882
-39.238 -61.885
-39.229 -61.902
-39.226 -61.904
-39.213 -61.903
-39.21 -61.909
-39.209 -61.913
-39.209 -61.922
-39.205 -61.929
-39.183 -61.96
-39.182 -61.965
-39.184 -61.978
-39.177 -61.987
-39.176 -61.992
-39.173 -62
-39.176 -62.004
-39.176 -62.008
-39.172 -62.015
-39.165 -62.021
-39.167 -62.029
-39.16 -62.048
-39.161 -62.056
-39.158 -62.058
-39.145 -62.056
-39.139 -62.052
-39.138 -62.044
-39.132 -62.042
-39.127 -62.043
-39.124 -62.042
-39.124 -62.041
-39.13 -62.036
-39.131 -62.032
-39.143 -62.031
-39.142 -62.026
-39.14 -62.026
-39.129 -62.024
-39.123 -62.019
-39.12 -62.019
-39.122 -62.035
-39.119 -62.041
-39.121 -62.046
-39.142 -62.061
-39.152 -62.064
-39.154 -62.067
-39.153 -62.075
-39.143 -62.078
-39.136 -62.077
-39.134 -62.075
-39.137 -62.063
-39.133 -62.064
-39.13 -62.069
-39.129 -62.07
-39.125 -62.074
-39.117 -62.074
-39.103 -62.086
-39.093 -62.084
-39.092 -62.09
-39.089 -62.09
-39.083 -62.088
-39.075 -62.09
-39.075 -62.089
-39.076 -62.079
-39.079 -62.075
-39.079 -62.068
-39.085 -62.05
-39.092 -62.039
-39.096 -62.04
-39.098 -62.039
-39.096 -62.036
-39.092 -62.034
-39.09 -62.03
-39.106 -62.019
-39.107 -62.017
-39.095 -62.015
-39.095 -62.004
-39.094 -62
segment Argentina
-39.206 -62.228
-39.206 -62.232
-39.204 -62.235
-39.191 -62.243
-39.186 -62.24
-39.184 -62.236
-39.2 -62.229
-39.206 -62.228
segment Argentina
-39.254 -62.087
-39.251 -62.098
-39.244 -62.117
-39.237 -62.13
-39.222 -62.149
-39.211 -62.158
-39.207 -62.16
-39.197 -62.16
-39.201 -62.152
-39.209 -62.122
-39.226 -62.087
-39.23 -62.082
-39.235 -62.082
-39.235 -62.076
-39.246 -62.067
-39.251 -62.07
-39.254 -62.087
segment Argentina
-39.255 -62
-39.265 -62.01
-39.267 -62.015
-39.262 -62.024
-39.256 -62.029
-39.248 -62.033
-39.246 -62.036
-39.238 -62.026
-39.241 -62.014
-39.242 -62.005
-39.243 -62
-39.255 -62
segment Argentina
-39.337 -62.252
-39.334 -62.265
-39.332 -62.264
-39.333 -62.259
-39.332 -62.251
-39.336 -62.25
-39.337 -62.252
segment Argentina
-33.045 -58.143
-33.039 -58.145
-33.035 -58.142
-33.037 -58.139
-33.039 -58.14
-33.045 -58.143
segment Argentina
-33.096 -58.248
-33.092 -58.26
-33.086 -58.269
-33.083 -58.262
-33.085 -58.253
-33.087 -58.249
-33.094 -58.245
-33.096 -58.248
segment Argentina
-33.102 -58.266
-33.101 -58.278
-33.099 -58.279
-33.096 -58.276
-33.094 -58.27
-33.093 -58.263
-33.098 -58.258
-33.102 -58.266
segment Argentina
-33.912 -58.486
-33.906 -58.495
-33.901 -58.499
-33.9 -58.497
-33.901 -58.492
-33.906 -58.487
-33.91 -58.485
-33.912 -58.486
segment Argentina
-34.047 -58.374
-34.024 -58.395
-34.021 -58.394
-34.02 -58.392
-34.026 -58.38
-34.03 -58.374
-34.042 -58.37
-34.046 -58.372
-34.047 -58.374
segment Argentina
-34.269 -58.42
-34.267 -58.422
-34.264 -58.421
-34.258 -58.417
-34.249 -58.411
-34.248 -58.408
-34.249 -58.405
-34.252 -58.403
-34.264 -58.41
-34.269 -58.415
-34.269 -58.42
segment Argentina
-34.312 -58.497
-34.311 -58.501
-34.307 -58.507
-34.295 -58.513
-34.296 -58.507
-34.303 -58.498
-34.312 -58.497
segment Argentina
-34.46 -58.504
-34.458 -58.51
-34.454 -58.515
-34.45 -58.514
-34.449 -58.51
-34.453 -58.505
-34.457 -58.503
-34.46 -58.504
segment Argentina
-21.787 -66.241
-21.786 -66.24
-21.786 -66.239
-21.787 -66.236
-21.787 -66.232
-21.787 -66.231
-21.787 -66.23
-21.784 -66.226
-21.781 -66.222
-21.803 -66.159
-21.807 -66.146
-21.816 -66.123
-21.82 -66.109
-21.831 -66.079
-21.852 -66.058
-21.862 -66.048
-21.872 -66.039
-21.877 -66.039
-21.89 -66.041
-21.908 -66.044
-21.916 -66.043
-21.917 -66.031
-21.918 -66.024
-21.926 -65.967
-21.928 -65.953
-21.932 -65.926
-21.933 -65.924
-21.938 -65.918
-21.952 -65.907
-21.962 -65.898
-22.017 -65.853
-22.026 -65.846
-22.052 -65.823
-22.058 -65.815
-22.066 -65.812
-22.07 -65.812
-22.07 -65.81
-22.074 -65.801
-22.082 -65.79
-22.087 -65.787
-22.092 -65.779
-22.099 -65.766
-22.107 -65.759
-22.109 -65.755
-22.109 -65.748
-22.108 -65.734
-22.098 -65.719
-22.098 -65.715
-22.098 -65.707
-22.1 -65.701
-22.106 -65.693
-22.11 -65.686
-22.111 -65.679
-22.111 -65.672
-22.112 -65.664
-22.111 -65.657
-22.106 -65.652
-22.105 -65.648
-22.106 -65.643
-22.103 -65.63
-22.098 -65.619
-22.096 -65.609
-22.098 -65.597
-22.097 -65.591
-22.091 -65.586
-22.09 -65.586
-22.077 -65.575
-22.081 -65.557
-22.084 -65.544
-22.088 -65.524
-22.094 -65.506
-22.099 -65.48
-22.092 -65.471
-22.092 -65.434
-22.092 -65.421
-22.091 -65.4
-22.091 -65.387
-22.091 -65.367
-22.09 -65.351
-22.089 -65.279
-22.089 -65.264
-22.089 -65.245
-22.089 -65.23
-22.089 -65.21
-22.088 -65.196
-22.087 -65.123
-22.087 -65.109
-22.086 -65.085
-22.086 -65.071
-22.086 -65.048
-22.086 -65.035
-22.086 -65
-22.086 -64.995
-22.086 -64.984
-22.1 -64.965
-22.104 -64.951
-22.114 -64.934
-22.117 -64.931
-22.12 -64.921
-22.121 -64.909
-22.126 -64.897
-22.126 -64.891
-22.123 -64.887
-22.119 -64.884
-22.119 -64.882
-22.118 -64.879
-22.12 -64.872
-22.126 -64.862
-22.134 -64.847
-22.14 -64.842
-22.142 -64.838
-22.143 -64.832
-22.145 -64.824
-22.156 -64.81
-22.162 -64.799
-22.174 -64.783
-22.178 -64.776
-22.18 -64.759
-22.183 -64.753
-22.191 -64.748
-22.195 -64.742
-22.195 -64.732
-22.194 -64.724
-22.191 -64.714
-22.19 -64.699
-22.188 -64.689
-22.191 -64.678
-22.192 -64.671
-22.192 -64.655
-22.195 -64.648
-22.2 -64.639
-22.211 -64.625
-22.224 -64.61
-22.241 -64.603
-22.246 -64.598
-22.251 -64.591
-22.254 -64.581
-22.263 -64.568
-22.271 -64.558
-22.279 -64.551
-22.291 -64.541
-22.294 -64.542
-22.307 -64.547
-22.315 -64.553
-22.318 -64.558
-22.319 -64.564
-22.321 -64.568
-22.328 -64.569
-22.34 -64.568
-22.363 -64.571
-22.37 -64.569
-22.38 -64.562
-22.389 -64.55
-22.395 -64.536
-22.405 -64.524
-22.414 -64.521
-22.426 -64.529
-22.431 -64.528
-22.436 -64.53
-22.44 -64.528
-22.443 -64.525
-22.445 -64.519
-22.445 -64.514
-22.44 -64.508
-22.437 -64.501
-22.436 -64.498
-22.437 -64.494
-22.441 -64.492
-22.446 -64.491
-22.456 -64.49
-22.454 -64.483
-22.458 -64.479
-22.459 -64.48
-22.467 -64.478
-22.473 -64.48
-22.477 -64.478
-22.494 -64.464
-22.497 -64.459
-22.505 -64.455
-22.507 -64.45
-22.511 -64.447
-22.516 -64.449
-22.519 -64.446
-22.52 -64.433
-22.522 -64.429
-22.533 -64.423
-22.537 -64.414
-22.539 -64.412
-22.544 -64.414
-22.55 -64.414
-22.559 -64.414
-22.573 -64.417
-22.575 -64.419
-22.579 -64.431
-22.581 -64.432
-22.585 -64.431
-22.585 -64.427
-22.588 -64.429
-22.601 -64.433
-22.61 -64.431
-22.623 -64.433
-22.626 -64.432
-22.629 -64.428
-22.631 -64.43
-22.635 -64.44
-22.638 -64.442
-22.641 -64.438
-22.648 -64.431
-22.656 -64.424
-22.662 -64.422
-22.669 -64.424
-22.674 -64.424
-22.677 -64.422
-22.68 -64.415
-22.681 -64.403
-22.686 -64.4
-22.705 -64.398
-22.71 -64.396
-22.713 -64.397
-22.714 -64.403
-22.717 -64.399
-22.72 -64.393
-22.716 -64.389
-22.716 -64.386
-22.722 -64.374
-22.723 -64.367
-22.723 -64.36
-22.726 -64.356
-22.737 -64.347
-22.746 -64.342
-22.753 -64.338
-22.762 -64.337
-22.768 -64.339
-22.773 -64.338
-22.777 -64.339
-22.79 -64.342
-22.795 -64.348
-22.802 -64.351
-22.806 -64.351
-22.809 -64.349
-22.811 -64.345
-22.804 -64.339
-22.805 -64.334
-22.81 -64.331
-22.811 -64.331
-22.816 -64.333
-22.822 -64.329
-22.827 -64.333
-22.839 -64.335
-22.842 -64.334
-22.846 -64.331
-22.852 -64.333
-22.856 -64.33
-22.862 -64.33
-22.866 -64.33
-22.869 -64.321
-22.858 -64.309
-22.858 -64.299
-22.855 -64.297
-22.852 -64.296
-22.847 -64.296
-22.846 -64.297
-22.842 -64.299
-22.838 -64.301
-22.836 -64.302
-22.833 -64.302
-22.829 -64.297
-22.828 -64.288
-22.822 -64.284
-22.82 -64.284
-22.815 -64.285
-22.805 -64.289
-22.796 -64.29
-22.793 -64.287
-22.793 -64.283
-22.79 -64.278
-22.783 -64.275
-22.78 -64.276
-22.776 -64.276
-22.772 -64.275
-22.761 -64.266
-22.754 -64.271
-22.751 -64.27
-22.744 -64.274
-22.739 -64.275
-22.733 -64.272
-22.73 -64.265
-22.727 -64.263
-22.722 -64.265
-22.711 -64.271
-22.708 -64.272
-22.705 -64.271
-22.704 -64.271
-22.695 -64.269
-22.681 -64.269
-22.672 -64.262
-22.666 -64.26
-22.659 -64.265
-22.651 -64.268
-22.647 -64.267
-22.637 -64.263
-22.63 -64.258
-22.631 -64.254
-22.63 -64.248
-22.629 -64.247
-22.627 -64.245
-22.614 -64.241
-22.604 -64.243
-22.588 -64.248
-22.585 -64.247
-22.562 -64.241
-22.556 -64.236
-22.556 -64.235
-22.553 -64.231
-22.542 -64.228
-22.541 -64.226
-22.54 -64.219
-22.536 -64.221
-22.532 -64.22
-22.524 -64.217
-22.515 -64.211
-22.5 -64.209
-22.495 -64.207
-22.489 -64.201
-22.488 -64.197
-22.49 -64.193
-22.49 -64.189
-22.487 -64.186
-22.475 -64.182
-22.468 -64.175
-22.468 -64.172
-22.47 -64.17
-22.453 -64.162
-22.445 -64.155
-22.435 -64.151
-22.424 -64.139
-22.421 -64.141
-22.417 -64.143
-22.414 -64.144
-22.408 -64.141
-22.401 -64.133
-22.404 -64.119
-22.397 -64.117
-22.389 -64.118
-22.382 -64.117
-22.378 -64.112
-22.373 -64.111
-22.368 -64.112
-22.364 -64.114
-22.36 -64.113
-22.355 -64.109
-22.34 -64.1
-22.336 -64.102
-22.335 -64.104
-22.328 -64.099
-22.326 -64.097
-22.322 -64.096
-22.319 -64.092
-22.316 -64.091
-22.312 -64.095
-22.309 -64.093
-22.308 -64.088
-22.305 -64.084
-22.298 -64.083
-22.293 -64.078
-22.286 -64.08
-22.281 -64.08
-22.269 -64.072
-22.265 -64.074
-22.262 -64.071
-22.261 -64.067
-22.259 -64.065
-22.255 -64.067
-22.251 -64.064
-22.242 -64.06
-22.242 -64.056
-22.245 -64.052
-22.246 -64.047
-22.245 -64.036
-22.239 -64.031
-22.237 -64.032
-22.234 -64.033
-22.233 -64.03
-22.229 -64.028
-22.227 -64.029
-22.224 -64.034
-22.218 -64.028
-22.21 -64.024
-22.208 -64.025
-22.201 -64.03
-22.196 -64.029
-22.193 -64.027
-22.189 -64.021
-22.184 -64.015
-22.179 -64.012
-22.177 -64.013
-22.177 -64.021
-22.175 -64.019
-22.168 -64.011
-22.158 -64.002
-22.149 -63.997
-22.131 -63.992
-22.125 -63.995
-22.121 -63.995
-22.116 -63.99
-22.11 -63.989
-22.106 -63.995
-22.103 -63.991
-22.104 -63.987
-22.103 -63.985
-22.094 -63.981
-22.091 -63.976
-22.087 -63.971
-22.083 -63.973
-22.079 -63.973
-22.079 -63.97
-22.09 -63.964
-22.091 -63.961
-22.089 -63.958
-22.081 -63.955
-22.07 -63.953
-22.063 -63.949
-22.062 -63.95
-22.058 -63.952
-22.054 -63.951
-22.048 -63.951
-22.043 -63.948
-22.037 -63.945
-22.03 -63.941
-22.029 -63.94
-22.022 -63.939
-22.02 -63.938
-22.009 -63.94
-22.003 -63.935
-22.003 -63.934
-22.003 -63.855
-22.003 -63.84
-22.003 -63.817
-22.003 -63.806
-22.003 -63.782
-22.003 -63.769
-22.003 -63.697
-22.003 -63.684
-22.003 -63.67
-22.003 -63.663
-22.003 -63.646
-22.003 -63.626
-22.003 -63.61
-22.003 -63.54
-22.003 -63.527
-22.003 -63.501
-22.003 -63.488
-22.003 -63.464
-22.003 -63.45
-22.003 -63.378
-22.003 -63.363
