segment Bolivia
-12.099 -64.683
-12.104 -64.676
-12.112 -64.674
-12.136 -64.679
-12.143 -64.68
-12.165 -64.674
-12.186 -64.654
-12.201 -64.629
-12.213 -64.612
-12.215 -64.603
-12.214 -64.594
-12.213 -64.585
-12.214 -64.577
-12.224 -64.562
-12.226 -64.545
-12.232 -64.529
-12.242 -64.519
-12.24 -64.511
-12.232 -64.499
-12.23 -64.486
-12.237 -64.481
-12.247 -64.474
-12.268 -64.469
-12.299 -64.469
-12.328 -64.477
-12.348 -64.487
-12.355 -64.494
-12.361 -64.495
-12.366 -64.493
-12.373 -64.481
-12.387 -64.463
-12.401 -64.447
-12.427 -64.423
-12.433 -64.42
-12.444 -64.408
-12.455 -64.394
-12.467 -64.373
-12.473 -64.344
-12.471 -64.305
-12.474 -64.293
-12.479 -64.292
-12.5 -64.287
-12.506 -64.283
-12.511 -64.278
-12.483 -64.243
-12.476 -64.227
-12.476 -64.215
-12.481 -64.2
-12.485 -64.189
-12.486 -64.175
-12.515 -64.169
-12.524 -64.161
-12.529 -64.152
-12.527 -64.137
-12.517 -64.133
-12.517 -64.134
-12.501 -64.132
-12.494 -64.13
-12.494 -64.129
-12.494 -64.127
-12.496 -64.121
-12.499 -64.118
-12.513 -64.114
-12.517 -64.11
-12.514 -64.105
-12.507 -64.097
-12.505 -64.092
-12.505 -64.086
-12.511 -64.073
-12.509 -64.059
-12.51 -64.047
-12.513 -64.043
-12.528 -64.033
-12.53 -64.029
-12.533 -64.025
-12.538 -64.002
-12.538 -63.993
-12.532 -63.98
-12.532 -63.967
-12.539 -63.958
-12.548 -63.952
-12.553 -63.949
-12.556 -63.944
-12.557 -63.937
-12.554 -63.929
-12.547 -63.918
-12.538 -63.904
-12.534 -63.899
-12.497 -63.874
-12.49 -63.864
-12.479 -63.877
-12.472 -63.878
-12.469 -63.875
-12.467 -63.864
-12.471 -63.856
-12.478 -63.841
-12.478 -63.833
-12.463 -63.812
-12.457 -63.792
-12.456 -63.785
-12.454 -63.774
-12.459 -63.745
-12.459 -63.736
-12.458 -63.726
-12.458 -63.712
-12.466 -63.693
-12.467 -63.675
-12.471 -63.66
-12.475 -63.654
-12.494 -63.639
-12.496 -63.629
-12.493 -63.62
-12.493 -63.618
-12.495 -63.612
-12.505 -63.607
-12.512 -63.595
-12.514 -63.585
-12.522 -63.575
-12.544 -63.557
-12.552 -63.545
-12.552 -63.534
-12.556 -63.518
-12.557 -63.514
-12.557 -63.482
-12.564 -63.473
-12.57 -63.469
-12.592 -63.461
-12.602 -63.468
-12.605 -63.464
-12.616 -63.443
-12.623 -63.437
-12.626 -63.435
-12.651 -63.427
-12.666 -63.41
-12.674 -63.395
-12.679 -63.38
-12.679 -63.367
-12.698 -63.345
-12.698 -63.344
-12.705 -63.327
-12.712 -63.278
-12.717 -63.267
-12.717 -63.263
-12.714 -63.247
-12.713 -63.245
-12.698 -63.241
-12.689 -63.235
-12.686 -63.233
-12.682 -63.227
-12.681 -63.221
-12.68 -63.207
-12.676 -63.19
-12.667 -63.184
-12.658 -63.183
-12.656 -63.178
-12.658 -63.163
-12.643 -63.145
-12.64 -63.134
-12.643 -63.13
-12.65 -63.121
-12.65 -63.101
-12.653 -63.082
-12.655 -63.078
-12.67 -63.068
-12.701 -63.063
-12.708 -63.059
-12.717 -63.048
-12.719 -63.046
-12.725 -63.045
-12.744 -63.058
-12.749 -63.056
-12.76 -63.045
-12.766 -63.035
-12.779 -63.025
-12.793 -63.017
-12.821 -63.008
-12.845 -63
-12.847 -62.998
-12.85 -62.996
-12.851 -62.992
-12.85 -62.988
-12.847 -62.983
-12.847 -62.975
-12.857 -62.97
-12.857 -62.953
-12.861 -62.946
-12.873 -62.939
-12.87 -62.934
-12.857 -62.93
-12.854 -62.927
-12.854 -62.925
-12.854 -62.923
-12.865 -62.91
-12.893 -62.893
-12.921 -62.87
-12.932 -62.852
-12.94 -62.853
-12.95 -62.853
-12.951 -62.853
-12.946 -62.844
-12.945 -62.836
-12.947 -62.826
-12.957 -62.818
-12.98 -62.81
-12.993 -62.8
-13.013 -62.781
-13.022 -62.766
-13.023 -62.764
-13.022 -62.762
-13.018 -62.76
-13.004 -62.767
-12.995 -62.767
-12.992 -62.764
-12.992 -62.758
-12.998 -62.751
-12.999 -62.747
-12.994 -62.742
-12.994 -62.737
-12.997 -62.732
-12.998 -62.727
-12.991 -62.724
-12.99 -62.722
-12.99 -62.721
-12.991 -62.714
-12.983 -62.709
-12.98 -62.699
-12.975 -62.691
-12.967 -62.681
-12.965 -62.674
-12.968 -62.672
-12.977 -62.672
-12.981 -62.669
-12.981 -62.658
-12.984 -62.654
-12.987 -62.652
-12.998 -62.657
-13.002 -62.657
-13.006 -62.653
-13.009 -62.64
-13.012 -62.634
-13.014 -62.631
-13.019 -62.631
-13.032 -62.642
-13.037 -62.641
-13.041 -62.637
-13.045 -62.629
-13.046 -62.614
-13.049 -62.598
-13.062 -62.578
-13.066 -62.571
-13.073 -62.554
-13.073 -62.549
-13.072 -62.532
-13.077 -62.509
-13.076 -62.501
-13.065 -62.486
-13.067 -62.482
-13.073 -62.479
-13.07 -62.464
-13.071 -62.461
-13.072 -62.46
-13.08 -62.46
-13.083 -62.457
-13.085 -62.449
-13.087 -62.441
-13.095 -62.441
-13.1 -62.439
-13.114 -62.421
-13.129 -62.414
-13.13 -62.408
-13.126 -62.4
-13.125 -62.395
-13.134 -62.394
-13.137 -62.389
-13.142 -62.377
-13.145 -62.368
-13.144 -62.354
-13.137 -62.345
-13.136 -62.341
-13.138 -62.339
-13.148 -62.336
-13.149 -62.334
-13.143 -62.328
-13.144 -62.318
-13.131 -62.309
-13.13 -62.305
-13.143 -62.298
-13.143 -62.295
-13.138 -62.291
-13.138 -62.288
-13.146 -62.283
-13.151 -62.28
-13.151 -62.277
-13.146 -62.274
-13.147 -62.27
-13.135 -62.251
-13.122 -62.244
-13.118 -62.222
-13.119 -62.207
-13.124 -62.193
-13.137 -62.182
-13.137 -62.173
-13.134 -62.169
-13.119 -62.169
-13.112 -62.165
-13.113 -62.16
-13.117 -62.155
-13.129 -62.154
-13.135 -62.152
-13.143 -62.139
-13.147 -62.127
-13.146 -62.114
-13.149 -62.109
-13.178 -62.103
-13.205 -62.101
-13.207 -62.101
-13.23 -62.105
-13.242 -62.109
-13.254 -62.108
-13.257 -62.108
-13.268 -62.095
-13.271 -62.086
-13.271 -62.076
-13.288 -62.064
-13.293 -62.058
-13.296 -62.049
-13.3 -62.045
-13.322 -62.036
-13.327 -62.031
-13.332 -62.017
-13.336 -62.012
-13.347 -62.013
-13.349 -62.011
-13.352 -62.009
-13.365 -61.982
-13.369 -61.971
-13.379 -61.964
-13.382 -61.958
-13.383 -61.946
-13.386 -61.941
-13.396 -61.932
-13.417 -61.921
-13.424 -61.915
-13.431 -61.905
-13.435 -61.894
-13.438 -61.884
-13.439 -61.871
-13.443 -61.866
-13.451 -61.862
-13.468 -61.858
-13.5 -61.853
-13.504 -61.852
-13.513 -61.846
-13.531 -61.833
-13.539 -61.824
-13.535 -61.809
-13.544 -61.798
-13.544 -61.795
-13.538 -61.789
-13.538 -61.786
-13.541 -61.781
-13.541 -61.777
-13.537 -61.775
-13.526 -61.779
-13.521 -61.778
-13.522 -61.773
-13.533 -61.763
-13.536 -61.758
-13.535 -61.751
-13.532 -61.748
-13.525 -61.746
-13.523 -61.744
-13.524 -61.74
-13.526 -61.738
-13.529 -61.736
-13.537 -61.731
-13.54 -61.727
-13.535 -61.725
-13.523 -61.722
-13.522 -61.717
-13.524 -61.71
-13.518 -61.692
-13.518 -61.688
-13.52 -61.681
-13.517 -61.676
-13.508 -61.675
-13.506 -61.674
-13.504 -61.67
-13.504 -61.662
-13.509 -61.647
-13.513 -61.641
-13.512 -61.635
-13.506 -61.63
-13.505 -61.625
-13.511 -61.622
-13.512 -61.62
-13.51 -61.616
-13.502 -61.612
-13.5 -61.606
-13.507 -61.602
-13.507 -61.599
-13.496 -61.585
-13.494 -61.578
-13.498 -61.574
-13.51 -61.576
-13.514 -61.575
-13.517 -61.569
-13.519 -61.563
-13.526 -61.555
-13.527 -61.55
-13.525 -61.549
-13.525 -61.542
-13.531 -61.533
-13.542 -61.519
-13.546 -61.512
-13.554 -61.496
-13.554 -61.486
-13.55 -61.477
-13.546 -61.471
-13.543 -61.458
-13.534 -61.435
-13.538 -61.421
-13.535 -61.419
-13.525 -61.42
-13.52 -61.418
-13.515 -61.401
-13.516 -61.384
-13.512 -61.38
-13.505 -61.377
-13.5 -61.373
-13.497 -61.366
-13.494 -61.348
-13.492 -61.343
-13.488 -61.341
-13.481 -61.342
-13.476 -61.34
-13.473 -61.33
-13.481 -61.32
-13.496 -61.314
-13.5 -61.309
-13.5 -61.305
-13.494 -61.292
-13.493 -61.286
-13.495 -61.282
-13.5 -61.278
-13.523 -61.254
-13.525 -61.249
-13.525 -61.244
-13.521 -61.232
-13.522 -61.228
-13.527 -61.219
-13.524 -61.217
-13.516 -61.219
-13.51 -61.217
-13.507 -61.214
-13.506 -61.211
-13.509 -61.202
-13.507 -61.193
-13.512 -61.188
-13.511 -61.184
-13.518 -61.178
-13.517 -61.171
-13.519 -61.167
-13.52 -61.163
-13.516 -61.159
-13.515 -61.155
-13.516 -61.151
-13.52 -61.143
-13.521 -61.139
-13.518 -61.137
-13.497 -61.133
-13.492 -61.131
-13.49 -61.127
-13.479 -61.128
-13.475 -61.127
-13.472 -61.121
-13.473 -61.117
-13.481 -61.108
-13.482 -61.1
-13.49 -61.095
-13.491 -61.088
-13.489 -61.076
-13.487 -61.076
-13.484 -61.074
-13.468 -61.081
-13.466 -61.081
-13.463 -61.075
-13.463 -61.069
-13.467 -61.059
-13.468 -61.047
-13.473 -61.04
-13.474 -61.031
-13.477 -61.028
-13.487 -61.026
-13.484 -61.04
-13.487 -61.046
-13.492 -61.047
-13.499 -61.045
-13.511 -61.032
-13.514 -61.031
-13.518 -61.034
-13.518 -61.042
-13.522 -61.045
-13.529 -61.042
-13.538 -61.044
-13.541 -61.044
-13.543 -61.04
-13.542 -61.031
-13.533 -61.014
-13.533 -61.01
-13.533 -61.009
-13.542 -60.993
-13.544 -60.987
-13.543 -60.981
-13.538 -60.969
-13.539 -60.962
-13.542 -60.958
-13.547 -60.957
-13.557 -60.959
-13.568 -60.953
-13.581 -60.95
-13.594 -60.928
-13.617 -60.907
-13.63 -60.888
-13.632 -60.88
-13.632 -60.868
-13.635 -60.863
-13.653 -60.846
-13.658 -60.835
-13.659 -60.823
-13.661 -60.816
-13.663 -60.812
-13.664 -60.811
-13.686 -60.793
-13.688 -60.785
-13.688 -60.777
-13.685 -60.772
-13.692 -60.752
-13.694 -60.737
-13.697 -60.733
-13.702 -60.732
-13.713 -60.732
-13.716 -60.729
-13.716 -60.723
-13.712 -60.717
-13.713 -60.711
-13.741 -60.683
-13.743 -60.68
-13.748 -60.671
-13.749 -60.666
-13.747 -60.658
-13.741 -60.65
-13.739 -60.649
-13.741 -60.622
-13.747 -60.616
-13.757 -60.615
-13.757 -60.61
-13.749 -60.6
-13.749 -60.597
-13.756 -60.594
-13.756 -60.59
-13.764 -60.593
-13.767 -60.592
-13.769 -60.589
-13.769 -60.574
-13.772 -60.574
-13.777 -60.577
-13.78 -60.576
-13.782 -60.57
