segment Uruguay
-30.199 -56.678
-30.203 -56.672
-30.203 -56.667
-30.2 -56.659
-30.206 -56.653
-30.205 -56.644
-30.209 -56.642
-30.215 -56.649
-30.217 -56.66
-30.222 -56.663
-30.224 -56.658
-30.222 -56.652
-30.224 -56.646
-30.234 -56.64
-30.243 -56.628
-30.251 -56.624
-30.259 -56.626
-30.26 -56.636
-30.263 -56.638
-30.266 -56.637
-30.268 -56.634
-30.269 -56.62
-30.267 -56.612
-30.27 -56.608
-30.278 -56.605
-30.286 -56.606
-30.295 -56.618
-30.299 -56.62
-30.303 -56.617
-30.303 -56.611
-30.299 -56.603
-30.298 -56.591
-30.293 -56.582
-30.293 -56.578
-30.294 -56.575
-30.298 -56.574
-30.304 -56.577
-30.308 -56.574
-30.31 -56.567
-30.318 -56.558
-30.318 -56.552
-30.312 -56.545
-30.312 -56.54
-30.33 -56.536
-30.336 -56.539
-30.342 -56.549
-30.344 -56.551
-30.346 -56.55
-30.347 -56.546
-30.354 -56.543
-30.36 -56.546
-30.364 -56.545
-30.364 -56.54
-30.36 -56.535
-30.359 -56.532
-30.359 -56.524
-30.361 -56.519
-30.362 -56.518
-30.365 -56.513
-30.379 -56.508
-30.382 -56.501
-30.394 -56.489
-30.395 -56.483
-30.39 -56.479
-30.389 -56.479
-30.388 -56.475
-30.389 -56.468
-30.386 -56.462
-30.387 -56.459
-30.4 -56.454
-30.407 -56.446
-30.409 -56.445
-30.415 -56.451
-30.419 -56.451
-30.42 -56.451
-30.425 -56.448
-30.426 -56.442
-30.429 -56.438
-30.433 -56.437
-30.435 -56.433
-30.429 -56.42
-30.43 -56.416
-30.444 -56.412
-30.447 -56.409
-30.449 -56.402
-30.453 -56.399
-30.456 -56.399
-30.458 -56.404
-30.462 -56.406
-30.468 -56.404
-30.471 -56.4
-30.471 -56.396
-30.473 -56.393
-30.479 -56.397
-30.483 -56.389
-30.492 -56.387
-30.495 -56.385
-30.495 -56.384
-30.502 -56.363
-30.497 -56.36
-30.493 -56.362
-30.49 -56.359
-30.49 -56.353
-30.491 -56.35
-30.502 -56.348
-30.505 -56.344
-30.507 -56.337
-30.51 -56.334
-30.516 -56.332
-30.524 -56.335
-30.527 -56.331
-30.531 -56.321
-30.529 -56.308
-30.523 -56.299
-30.522 -56.293
-30.524 -56.291
-30.533 -56.29
-30.535 -56.29
-30.54 -56.285
-30.547 -56.283
-30.551 -56.279
-30.556 -56.266
-30.558 -56.264
-30.56 -56.262
-30.566 -56.259
-30.574 -56.263
-30.58 -56.263
-30.585 -56.259
-30.585 -56.257
-30.575 -56.253
-30.573 -56.249
-30.575 -56.231
-30.577 -56.225
-30.581 -56.226
-30.585 -56.232
-30.587 -56.231
-30.601 -56.22
-30.601 -56.212
-30.604 -56.203
-30.604 -56.192
-30.604 -56.191
-30.606 -56.187
-30.614 -56.177
-30.617 -56.176
-30.626 -56.181
-30.634 -56.178
-30.641 -56.168
-30.644 -56.167
-30.653 -56.171
-30.663 -56.168
-30.67 -56.16
-30.679 -56.143
-30.682 -56.142
-30.692 -56.149
-30.697 -56.148
-30.701 -56.146
-30.705 -56.139
-30.707 -56.135
-30.711 -56.132
-30.719 -56.13
-30.735 -56.131
-30.739 -56.127
-30.739 -56.121
-30.734 -56.113
-30.734 -56.106
-30.737 -56.101
-30.752 -56.091
-30.752 -56.087
-30.742 -56.075
-30.741 -56.069
-30.744 -56.066
-30.749 -56.065
-30.762 -56.067
-30.772 -56.06
-30.773 -56.053
-30.777 -56.048
-30.772 -56.041
-30.772 -56.038
-30.782 -56.033
-30.784 -56.021
-30.786 -56.02
-30.793 -56.024
-30.797 -56.022
-30.802 -56.011
-30.804 -56.011
-30.811 -56.016
-30.814 -56.014
-30.818 -56.008
-30.823 -56.004
-30.834 -56.004
-30.846 -55.991
-30.86 -55.987
-30.862 -55.988
-30.9 -56.008
-30.909 -56.009
-30.916 -56.005
-30.921 -56.002
-30.926 -56.004
-30.94 -56.016
-30.942 -56.015
-30.944 -56.014
-30.947 -56.008
-30.963 -56.008
-30.968 -56.003
-30.978 -56.012
-30.98 -56.011
-30.981 -56.007
-30.983 -56.006
-30.988 -56.01
-30.994 -56.012
-31.023 -56.01
-31.036 -56.013
-31.046 -56.013
-31.056 -56.011
-31.063 -56.008
-31.065 -56.002
-31.068 -55.995
-31.069 -55.99
-31.072 -55.983
-31.077 -55.973
-31.083 -55.964
-31.085 -55.958
-31.088 -55.951
-31.089 -55.944
-31.089 -55.934
-31.088 -55.928
-31.085 -55.916
-31.082 -55.907
-31.082 -55.898
-31.082 -55.886
-31.081 -55.875
-31.08 -55.87
-31.074 -55.862
-31.062 -55.849
-31.059 -55.843
-31.057 -55.838
-31.052 -55.83
-31.048 -55.82
-31.044 -55.813
-31.035 -55.805
-31.028 -55.797
-31.021 -55.788
-31.017 -55.781
-31.014 -55.774
-31.01 -55.768
-31.005 -55.759
-30.998 -55.748
-30.989 -55.737
-30.984 -55.73
-30.978 -55.721
-30.971 -55.714
-30.961 -55.702
-30.958 -55.698
-30.958 -55.692
-30.959 -55.685
-30.961 -55.678
-30.962 -55.671
-30.96 -55.662
-30.956 -55.657
-30.951 -55.651
-30.946 -55.648
-30.937 -55.643
-30.929 -55.639
-30.92 -55.637
-30.911 -55.635
-30.904 -55.636
-30.894 -55.639
-30.888 -55.64
-30.879 -55.641
-30.873 -55.64
-30.865 -55.638
-30.857 -55.635
-30.854 -55.631
-30.85 -55.624
-30.848 -55.612
-30.847 -55.601
-30.848 -55.594
-30.851 -55.587
-30.854 -55.584
-30.855 -55.583
-30.859 -55.581
-30.866 -55.578
-30.874 -55.576
-30.881 -55.573
-30.886 -55.567
-30.889 -55.563
-30.894 -55.547
-30.907 -55.525
-30.91 -55.521
-30.914 -55.516
-30.923 -55.509
-30.938 -55.502
-30.946 -55.497
-30.95 -55.493
-30.954 -55.484
-30.958 -55.472
-30.964 -55.459
-30.968 -55.452
-30.972 -55.446
-30.978 -55.443
-30.985 -55.44
-30.992 -55.439
-30.998 -55.438
-31.003 -55.436
-31.009 -55.432
-31.012 -55.427
-31.015 -55.422
-31.019 -55.41
-31.023 -55.399
-31.027 -55.39
-31.031 -55.383
-31.038 -55.374
-31.045 -55.368
-31.055 -55.361
-31.066 -55.355
-31.075 -55.35
-31.087 -55.346
-31.099 -55.343
-31.108 -55.342
-31.118 -55.342
-31.126 -55.34
-31.132 -55.336
-31.137 -55.332
-31.139 -55.33
-31.15 -55.313
-31.156 -55.302
-31.16 -55.296
-31.167 -55.29
-31.172 -55.288
-31.178 -55.287
-31.184 -55.287
-31.19 -55.284
-31.194 -55.282
-31.201 -55.277
-31.206 -55.272
-31.213 -55.268
-31.22 -55.263
-31.229 -55.259
-31.236 -55.257
-31.245 -55.253
-31.252 -55.249
-31.257 -55.245
-31.261 -55.238
-31.266 -55.227
-31.267 -55.219
-31.27 -55.204
-31.273 -55.194
-31.277 -55.185
-31.284 -55.174
-31.289 -55.168
-31.294 -55.162
-31.303 -55.152
-31.309 -55.142
-31.316 -55.13
-31.322 -55.116
-31.323 -55.104
-31.326 -55.091
-31.326 -55.077
-31.324 -55.062
-31.32 -55.052
-31.312 -55.039
-31.304 -55.03
-31.297 -55.026
-31.292 -55.023
-31.287 -55.022
-31.285 -55.02
-31.284 -55.017
-31.285 -55.014
-31.288 -55.011
-31.298 -55.003
-31.302 -55
-31.308 -54.995
-31.319 -54.984
-31.328 -54.975
-31.334 -54.972
-31.339 -54.969
-31.343 -54.967
-31.348 -54.965
-31.355 -54.96
-31.358 -54.955
-31.362 -54.952
-31.368 -54.95
-31.373 -54.949
-31.381 -54.95
-31.386 -54.948
-31.392 -54.945
-31.393 -54.939
-31.395 -54.929
-31.396 -54.916
-31.397 -54.901
-31.401 -54.891
-31.407 -54.882
-31.414 -54.871
-31.423 -54.864
-31.431 -54.857
-31.438 -54.852
-31.442 -54.846
-31.446 -54.836
-31.448 -54.829
-31.447 -54.824
-31.445 -54.813
-31.443 -54.8
-31.441 -54.784
-31.441 -54.766
-31.44 -54.754
-31.44 -54.736
-31.441 -54.725
-31.442 -54.715
-31.448 -54.702
-31.452 -54.691
-31.455 -54.683
-31.458 -54.674
-31.46 -54.66
-31.46 -54.646
-31.46 -54.638
-31.462 -54.632
-31.465 -54.621
-31.47 -54.608
-31.476 -54.593
-31.479 -54.584
-31.485 -54.57
-31.491 -54.557
-31.495 -54.547
-31.498 -54.541
-31.498 -54.533
-31.501 -54.526
-31.516 -54.505
-31.535 -54.494
-31.54 -54.491
-31.562 -54.483
-31.569 -54.478
-31.575 -54.465
-31.583 -54.461
-31.59 -54.453
-31.598 -54.448
-31.613 -54.444
-31.619 -54.44
-31.623 -54.435
-31.624 -54.429
-31.629 -54.423
-31.632 -54.421
-31.636 -54.424
-31.639 -54.426
-31.642 -54.43
-31.645 -54.436
-31.648 -54.441
-31.652 -54.447
-31.655 -54.452
-31.66 -54.457
-31.661 -54.459
-31.663 -54.461
-31.665 -54.461
-31.668 -54.459
-31.672 -54.455
-31.675 -54.449
-31.679 -54.44
-31.683 -54.434
-31.689 -54.424
-31.702 -54.404
-31.724 -54.369
-31.733 -54.358
-31.753 -54.326
-31.769 -54.303
-31.776 -54.293
-31.797 -54.26
-31.816 -54.232
-31.827 -54.215
-31.836 -54.202
-31.843 -54.189
-31.855 -54.171
-31.862 -54.163
-31.866 -54.157
-31.871 -54.153
-31.875 -54.149
-31.877 -54.144
-31.879 -54.135
-31.883 -54.126
-31.886 -54.118
-31.89 -54.111
-31.895 -54.105
-31.901 -54.1
-31.906 -54.096
-31.907 -54.089
-31.906 -54.078
-31.905 -54.07
-31.901 -54.066
-31.895 -54.062
-31.89 -54.057
-31.888 -54.052
-31.887 -54.044
-31.887 -54.036
-31.89 -54.028
-31.893 -54.022
-31.902 -54.016
-31.911 -54.012
-31.914 -54.008
-31.916 -54.002
-31.917 -53.972
-31.919 -53.965
-31.923 -53.96
-31.927 -53.959
-31.941 -53.965
-31.951 -53.961
-31.957 -53.953
-31.957 -53.948
-31.951 -53.94
-31.958 -53.935
-31.961 -53.927
-31.962 -53.917
-31.974 -53.896
-31.993 -53.884
-31.997 -53.88
-31.998 -53.874
-31.995 -53.863
-31.996 -53.858
-32 -53.853
-32.001 -53.852
-32.01 -53.849
-32.019 -53.848
-32.028 -53.85
-32.031 -53.849
-32.03 -53.839
-32.041 -53.837
-32.043 -53.831
-32.054 -53.83
-32.058 -53.827
-32.06 -53.821
-32.061 -53.814
-32.068 -53.805
-32.071 -53.798
-32.07 -53.781
-32.075 -53.773
-32.076 -53.766
-32.079 -53.762
-32.082 -53.742
-32.085 -53.739
-32.1 -53.729
-32.104 -53.714
-32.11 -53.72
-32.111 -53.723
-32.107 -53.727
-32.109 -53.731
-32.115 -53.731
-32.125 -53.735
-32.131 -53.734
-32.147 -53.72
-32.15 -53.722
-32.157 -53.73
-32.158 -53.719
-32.164 -53.711
-32.174 -53.715
-32.183 -53.705
-32.187 -53.706
-32.191 -53.704
-32.192 -53.702
-32.193 -53.692
-32.197 -53.692
-32.2 -53.698
-32.203 -53.7
-32.209 -53.698
-32.211 -53.693
-32.21 -53.685
-32.22 -53.683
-32.236 -53.668
-32.241 -53.67
-32.25 -53.668
-32.261 -53.67
-32.265 -53.668
-32.269 -53.661
-32.275 -53.656
-32.278 -53.648
-32.292 -53.644
-32.295 -53.635
-32.303 -53.633
-32.311 -53.636
-32.314 -53.639
-32.314 -53.644
-32.32 -53.645
-32.332 -53.633
-32.344 -53.629
-32.351 -53.623
-32.359 -53.628
-32.364 -53.627
-32.371 -53.633
-32.385 -53.632
-32.389 -53.63
-32.392 -53.624
-32.395 -53.611
-32.402 -53.606
-32.407 -53.606
-32.418 -53.607
-32.423 -53.599
-32.432 -53.595
-32.433 -53.592
-32.436 -53.583
-32.442 -53.578
-32.452 -53.573
-32.462 -53.557
-32.47 -53.551
-32.473 -53.548
-32.474 -53.54
-32.481 -53.532
-32.482 -53.527
-32.487 -53.52
-32.487 -53.515
-32.483 -53.506
-32.486 -53.501
-32.485 -53.493
-32.481 -53.485
-32.481 -53.476
-32.482 -53.473
-32.48 -53.46
-32.485 -53.455
-32.489 -53.453
-32.496 -53.456
-32.513 -53.45
-32.515 -53.448
-32.534 -53.436
-32.564 -53.419
-32.565 -53.411
-32.57 -53.403
-32.583 -53.39
-32.584 -53.386
-32.583 -53.376
-32.576 -53.368
-32.576 -53.359
-32.588 -53.34
-32.588 -53.327
-32.593 -53.316
-32.599 -53.306
-32.617 -53.282
-32.617 -53.275
-32.613 -53.268
-32.609 -53.266
-32.605 -53.258
-32.605 -53.244
-32.612 -53.238
-32.632 -53.227
-32.639 -53.21
-32.642 -53.193
-32.643 -53.187
-32.651 -53.179
-32.664 -53.17
-32.666 -53.167
-32.712 -53.106
-32.727 -53.086
-32.739 -53.076
-32.746 -53.074
-32.763 -53.074
-32.774 -53.081
-32.784 -53.095
-32.786 -53.104
-32.786 -53.132
-32.79 -53.146
-32.801 -53.158
-32.816 -53.162
-32.831 -53.165
-32.842 -53.171
-32.842 -53.172
-32.85 -53.182
-32.86 -53.197
-32.87 -53.216
-32.895 -53.271
-32.899 -53.281
-32.911 -53.294
-32.915 -53.295
-32.921 -53.292
-32.929 -53.278
-32.934 -53.249
-32.936 -53.243
-32.946 -53.254
-32.951 -53.265
-32.96 -53.28
-32.982 -53.316
-33.001 -53.348
-33.003 -53.352
-33.011 -53.362
-33.01 -53.362
-33.034 -53.403
-33.054 -53.434
-33.069 -53.451
-33.107 -53.479
-33.149 -53.508
-33.163 -53.515
-33.179 -53.517
-33.244 -53.519
-33.271 -53.519
-33.273 -53.519
-33.313 -53.513
-33.355 -53.505
-33.382 -53.507
-33.396 -53.509
-33.414 -53.508
-33.495 -53.513
-33.562 -53.522
-33.564 -53.521
-33.595 -53.522
-33.613 -53.521
-33.636 -53.519
-33.644 -53.52
-33.659 -53.524
-33.668 -53.521
-33.67 -53.521
-33.689 -53.524
-33.692 -53.493
-33.69 -53.487
-33.692 -53.471
-33.694 -53.466
-33.696 -53.45
-33.701 -53.436
-33.704 -53.431
-33.712 -53.427
-33.724 -53.427
-33.737 -53.425
-33.741 -53.421
-33.743 -53.417
-33.743 -53.407
-33.75 -53.39
-33.751 -53.372
-33.753 -53.371
-33.768 -53.396
-33.781 -53.406
-33.804 -53.436
-33.844 -53.47
-33.849 -53.474
-33.885 -53.496
-33.904 -53.499
-33.932 -53.498
-33.944 -53.499
-33.951 -53.501
-33.959 -53.508
-33.962 -53.509
-33.973 -53.51
-33.993 -53.515
-34.017 -53.524
-34.026 -53.526
-34.041 -53.523
-34.05 -53.526
-34.062 -53.535
-34.072 -53.539
-34.075 -53.544
-34.08 -53.548
-34.089 -53.568
-34.094 -53.575
-34.116 -53.602
-34.122 -53.616
-34.137 -53.628
-34.163 -53.656
-34.165 -53.657
-34.177 -53.668
-34.182 -53.676
-34.201 -53.696
-34.205 -53.703
-34.216 -53.711
-34.242 -53.734
-34.263 -53.751
-34.266 -53.752
-34.306 -53.772
-34.327 -53.776
-34.346 -53.776
-34.356 -53.775
-34.359 -53.772
-34.361 -53.761
-34.367 -53.757
-34.377 -53.763
-34.386 -53.773
-34.402 -53.778
-34.411 -53.789
-34.416 -53.805
-34.426 -53.829
-34.456 -53.882
-34.471 -53.905
-34.474 -53.914
-34.496 -53.955
-34.511 -53.983
-34.523 -54
-34.551 -54.03
-34.577 -54.07
-34.591 -54.091
-34.614 -54.111
-34.628 -54.132
-34.648 -54.148
-34.653 -54.15
-34.662 -54.149
-34.664 -54.146
-34.663 -54.133
-34.665 -54.132
-34.669 -54.135
-34.672 -54.139
-34.674 -54.148
-34.679 -54.142
-34.681 -54.142
-34.681 -54.151
-34.678 -54.16
-34.677 -54.19
-34.678 -54.199
-34.683 -54.216
-34.697 -54.248
-34.696 -54.257
-34.698 -54.259
-34.702 -54.26
-34.705 -54.264
-34.712 -54.284
-34.713 -54.298
-34.72 -54.319
-34.732 -54.342
-34.746 -54.377
-34.749 -54.392
-34.75 -54.394
-34.762 -54.423
-34.764 -54.436
-34.766 -54.441
-34.784 -54.473
-34.793 -54.487
-34.803 -54.509
-34.809 -54.528
-34.824 -54.573
-34.835 -54.603
-34.857 -54.628
-34.854 -54.64
-34.86 -54.665
-34.869 -54.7
-34.876 -54.717
-34.884 -54.735
-34.901 -54.769
-34.906 -54.774
-34.911 -54.787
-34.917 -54.795
-34.931 -54.844
-34.931 -54.848
-34.929 -54.852
-34.931 -54.857
-34.934 -54.861
-34.943 -54.872
-34.948 -54.889
-34.962 -54.921
-34.977 -54.937
-34.981 -54.947
-34.98 -54.952
-34.975 -54.955
-34.969 -54.947
-34.959 -54.94
-34.957 -54.94
-34.951 -54.943
-34.951 -54.944
-34.948 -54.95
-34.939 -54.956
-34.932 -54.969
-34.921 -54.996
-34.917 -55
-34.915 -55.002
-34.914 -55.009
-34.918 -55.031
-34.922 -55.037
-34.921 -55.042
-34.91 -55.044
-34.899 -55.038
-34.896 -55.039
-34.893 -55.043
-34.891 -55.046
-34.888 -55.054
-34.883 -55.104
-34.885 -55.109
-34.885 -55.127
-34.888 -55.149
-34.889 -55.179
-34.89 -55.186
-34.892 -55.193
-34.896 -55.205
-34.905 -55.226
-34.909 -55.233
-34.907 -55.241
-34.909 -55.257
-34.908 -55.26
-34.901 -55.259
-34.897 -55.262
-34.896 -55.274
-34.893 -55.277
-34.887 -55.277
-34.883 -55.28
-34.877 -55.276
-34.871 -55.275
-34.867 -55.281
-34.862 -55.293
-34.859 -55.301
-34.856 -55.302
-34.85 -55.299
-34.847 -55.301
-34.844 -55.306
-34.832 -55.314
-34.823 -55.322
-34.818 -55.329
-34.814 -55.343
-34.814 -55.35
-34.809 -55.372
-34.809 -55.381
-34.801 -55.384
-34.796 -55.39
-34.786 -55.388
-34.78 -55.39
-34.768 -55.405
-34.757 -55.415
-34.755 -55.422
-34.753 -55.439
-34.75 -55.45
-34.747 -55.455
-34.735 -55.461
-34.743 -55.464
-34.746 -55.464
-34.751 -55.458
-34.754 -55.448
-34.757 -55.429
-34.759 -55.425
-34.77 -55.416
-34.785 -55.399
-34.794 -55.394
-34.797 -55.397
-34.799 -55.405
-34.799 -55.414
-34.799 -55.427
-34.805 -55.459
-34.805 -55.487
-34.803 -55.5
-34.798 -55.506
-34.803 -55.534
-34.794 -55.549
-34.794 -55.559
-34.789 -55.569
-34.788 -55.577
-34.78 -55.603
-34.78 -55.621
-34.785 -55.652
-34.771 -55.678
-34.77 -55.689
-34.772 -55.703
-34.786 -55.754
-34.784 -55.767
-34.781 -55.773
-34.781 -55.782
-34.787 -55.812
-34.801 -55.846
-34.806 -55.86
-34.807 -55.868
-34.81 -55.883
-34.816 -55.897
-34.839 -55.937
-34.856 -55.972
-34.859 -55.978
-34.884 -56.019
-34.903 -56.064
-34.902 -56.073
-34.904 -56.077
-34.902 -56.089
-34.902 -56.099
-34.903 -56.109
-34.904 -56.115
-34.906 -56.12
-34.911 -56.125
-34.91 -56.129
-34.917 -56.134
-34.916 -56.141
-34.921 -56.147
-34.928 -56.149
-34.936 -56.157
-34.939 -56.158
-34.933 -56.167
-34.931 -56.173
-34.922 -56.172
-34.918 -56.206
-34.917 -56.213
-34.915 -56.215
-34.913 -56.215
-34.91 -56.213
-34.909 -56.212
-34.904 -56.199
-34.9 -56.196
-34.888 -56.202
-34.882 -56.211
-34.882 -56.221
-34.879 -56.226
-34.88 -56.23
-34.884 -56.231
-34.887 -56.241
-34.889 -56.244
-34.901 -56.244
-34.913 -56.257
-34.912 -56.263
-34.909 -56.266
-34.907 -56.27
-34.908 -56.279
-34.904 -56.282
-34.904 -56.284
-34.905 -56.288
-34.9 -56.293
-34.902 -56.303
-34.913 -56.312
-34.905 -56.321
-34.903 -56.328
-34.9 -56.331
-34.881 -56.335
-34.879 -56.338
-34.877 -56.351
-34.869 -56.372
-34.856 -56.385
-34.854 -56.39
-34.852 -56.395
-34.846 -56.424
-34.844 -56.426
-34.839 -56.426
-34.835 -56.423
-34.825 -56.407
-34.814 -56.402
-34.81 -56.395
-34.804 -56.364
-34.8 -56.356
-34.789 -56.343
-34.786 -56.348
-34.789 -56.352
-34.791 -56.36
-34.791 -56.371
-34.789 -56.38
-34.773 -56.421
-34.763 -56.449
-34.759 -56.472
-34.758 -56.486
-34.764 -56.523
-34.768 -56.536
-34.771 -56.55
-34.77 -56.553
-34.761 -56.565
-34.747 -56.603
-34.73 -56.639
-34.727 -56.65
-34.719 -56.684
-34.716 -56.706
-34.715 -56.718
-34.707 -56.754
-34.703 -56.786
-34.697 -56.815
-34.682 -56.837
-34.677 -56.848
-34.677 -56.849
-34.67 -56.881
-34.667 -56.888
-34.66 -56.893
-34.654 -56.894
-34.643 -56.899
-34.634 -56.909
-34.617 -56.929
-34.602 -56.95
-34.598 -56.957
-34.593 -56.966
-34.574 -56.992
-34.562 -57.011
-34.548 -57.044
-34.543 -57.05
-34.532 -57.053
-34.52 -57.064
-34.515 -57.065
-34.503 -57.072
-34.483 -57.091
-34.466 -57.116
-34.461 -57.126
-34.46 -57.137
-34.461 -57.148
-34.46 -57.152
-34.453 -57.164
-34.45 -57.176
-34.45 -57.183
-34.449 -57.206
-34.447 -57.219
-34.447 -57.265
-34.446 -57.279
-34.452 -57.306
-34.454 -57.323
-34.451 -57.334
-34.451 -57.335
-34.451 -57.339
-34.445 -57.343
-34.443 -57.349
-34.439 -57.38
-34.441 -57.398
-34.454 -57.433
-34.452 -57.438
-34.444 -57.439
-34.441 -57.441
-34.44 -57.467
-34.452 -57.503
-34.466 -57.532
-34.462 -57.543
-34.458 -57.549
-34.446 -57.558
-34.441 -57.569
-34.438 -57.588
-34.438 -57.589
-34.438 -57.605
-34.44 -57.614
-34.452 -57.635
-34.453 -57.651
-34.462 -57.663
-34.463 -57.667
-34.46 -57.676
-34.46 -57.68
-34.473 -57.719
-34.473 -57.723
-34.47 -57.728
-34.469 -57.732
-34.472 -57.752
-34.484 -57.767
-34.484 -57.774
-34.478 -57.784
-34.478 -57.791
-34.484 -57.809
-34.484 -57.814
-34.486 -57.823
-34.485 -57.856
-34.483 -57.858
-34.475 -57.85
-34.471 -57.85
-34.466 -57.854
-34.462 -57.861
-34.458 -57.87
-34.449 -57.891
-34.445 -57.895
-34.438 -57.898
-34.397 -57.9
-34.39 -57.902
-34.351 -57.932
-34.324 -57.955
-34.308 -57.961
-34.285 -57.985
-34.278 -57.989
-34.272 -57.993
-34.261 -58.008
-34.256 -58.017
-34.252 -58.034
-34.245 -58.034
-34.241 -58.038
-34.238 -58.044
-34.232 -58.065
-34.231 -58.066
-34.223 -58.063
-34.218 -58.064
-34.21 -58.071
-34.194 -58.075
-34.193 -58.076
-34.183 -58.089
-34.174 -58.11
-34.167 -58.151
-34.165 -58.188
-34.167 -58.208
-34.162 -58.211
-34.159 -58.214
-34.153 -58.221
-34.148 -58.218
-34.141 -58.218
-34.136 -58.215
-34.126 -58.213
-34.117 -58.213
-34.098 -58.217
-34.085 -58.222
-34.071 -58.231
-34.046 -58.255
-34.033 -58.269
-34.026 -58.286
-34.021 -58.287
-33.998 -58.306
-33.956 -58.354
-33.949 -58.362
-33.947 -58.383
-33.939 -58.39
-33.933 -58.4
-33.927 -58.407
-33.911 -58.415
-33.859 -58.417
-33.858 -58.417
-33.853 -58.419
-33.836 -58.43
-33.816 -58.434
-33.812 -58.429
-33.802 -58.429
-33.779 -58.425
-33.774 -58.426
-33.77 -58.422
-33.767 -58.422
-33.757 -58.427
-33.748 -58.425
-33.739 -58.428
-33.733 -58.43
-33.732 -58.427
-33.732 -58.42
-33.729 -58.418
-33.725 -58.422
-33.707 -58.432
-33.693 -58.435
-33.677 -58.443
-33.672 -58.435
-33.658 -58.427
-33.645 -58.424
-33.627 -58.423
-33.602 -58.425
-33.59 -58.426
-33.551 -58.437
-33.529 -58.437
-33.523 -58.435
-33.52 -58.433
-33.514 -58.43
-33.483 -58.399
-33.484 -58.393
-33.486 -58.391
-33.484 -58.387
-33.48 -58.391
-33.475 -58.392
-33.465 -58.389
-33.448 -58.38
-33.438 -58.377
-33.416 -58.38
-33.415 -58.376
