lon,lat,depth,strike,dip
-61.95,15.20,159.6,158.3,44.5
-61.90,15.20,154.7,158.8,44.2
-61.85,15.20,149.9,159.2,43.9
-61.80,15.20,145.1,159.7,43.7
-61.75,15.20,140.3,160.2,43.5
-61.70,15.20,135.5,160.7,43.3
-62.45,15.25,178.4,147.4,48.4
-62.40,15.25,179.9,148.9,48.1
-62.35,15.25,177.9,149.6,47.8
-62.30,15.25,178.9,150.7,47.3
-62.25,15.25,179.6,152.2,46.8
-62.20,15.25,177.2,153.1,46.4
-62.15,15.25,174.8,154.3,45.9
-62.10,15.25,172.2,155.8,45.5
-62.05,15.25,167.3,156.0,45.2
-62.00,15.25,162.4,156.2,44.8
-61.95,15.25,157.5,156.5,44.5
-61.90,15.25,152.7,156.9,44.2
-61.85,15.25,147.9,157.3,44.0
-61.80,15.25,143.2,157.7,43.7
-61.75,15.25,138.4,158.2,43.5
-61.70,15.25,133.7,158.7,43.4
-62.45,15.30,178.4,147.4,48.4
-62.40,15.30,179.9,148.9,48.1
-62.35,15.30,177.9,149.6,47.8
-62.30,15.30,178.9,150.7,47.3
-62.25,15.30,179.6,152.2,46.8
-62.20,15.30,177.2,153.1,46.4
-62.15,15.30,174.8,154.3,45.9
-62.10,15.30,169.8,154.3,45.6
-62.05,15.30,164.9,154.5,45.3
-62.00,15.30,160.1,154.6,44.9
-61.95,15.30,155.3,154.9,44.6
-61.90,15.30,150.5,155.2,44.3
-61.85,15.30,145.8,155.5,44.0
-61.80,15.30,141.1,155.9,43.8
-61.75,15.30,136.4,156.4,43.6
-61.70,15.30,131.7,156.9,43.4
-62.50,15.35,180.1,146.4,48.6
-62.45,15.35,178.4,147.4,48.4
-62.40,15.35,179.9,148.9,48.1
-62.35,15.35,177.9,149.6,47.8
-62.30,15.35,178.9,150.7,47.3
-62.25,15.35,179.6,152.2,46.8
-62.20,15.35,177.2,153.1,46.4
-62.15,15.35,172.2,153.0,46.1
-62.10,15.35,167.3,153.1,45.7
-62.05,15.35,162.4,153.1,45.4
-62.00,15.35,157.6,153.2,45.0
-61.95,15.35,152.9,153.4,44.7
-61.90,15.35,148.1,153.6,44.4
-61.85,15.35,143.5,153.9,44.1
-61.80,15.35,138.8,154.3,43.9
-61.75,15.35,134.2,154.7,43.7
-61.70,15.35,129.6,155.1,43.5
-62.50,15.40,180.1,146.4,48.6
-62.45,15.40,178.4,147.4,48.4
-62.40,15.40,179.9,148.9,48.1
-62.35,15.40,177.9,149.6,47.8
-62.30,15.40,178.9,150.7,47.3
-62.25,15.40,179.6,152.2,46.8
-62.20,15.40,174.5,152.1,46.5
-62.15,15.40,169.6,152.0,46.2
-62.10,15.40,164.7,151.9,45.8
-62.05,15.40,159.8,151.9,45.5
-62.00,15.40,155.1,151.9,45.1
-61.95,15.40,150.3,152.0,44.8
-61.90,15.40,145.7,152.2,44.5
-61.85,15.40,141.0,152.4,44.2
-61.80,15.40,136.4,152.7,44.0
-61.75,15.40,131.8,153.1,43.7
-61.70,15.40,127.3,153.5,43.5
-62.50,15.45,180.1,146.4,48.6
-62.45,15.45,178.4,147.4,48.4
-62.40,15.45,179.9,148.9,48.1
-62.35,15.45,177.9,149.6,47.8
-62.30,15.45,178.9,150.7,47.3
-62.25,15.45,176.7,151.3,46.9
-62.20,15.45,171.7,151.2,46.6
-62.15,15.45,166.8,151.0,46.3
-62.10,15.45,161.9,150.9,45.9
-62.05,15.45,157.1,150.9,45.6
-62.00,15.45,152.4,150.8,45.2
-61.95,15.45,147.7,150.9,44.9
-61.90,15.45,143.1,151.0,44.6
-61.85,15.45,138.5,151.1,44.3
-61.80,15.45,133.9,151.4,44.0
-61.75,15.45,129.4,151.7,43.8
-61.70,15.45,124.9,152.1,43.6
-62.55,15.50,177.9,144.2,48.7
-62.50,15.50,180.1,146.4,48.6
-62.45,15.50,178.4,147.4,48.4
-62.40,15.50,179.9,148.9,48.1
-62.35,15.50,177.9,149.6,47.8
-62.30,15.50,178.9,150.7,47.3
-62.25,15.50,173.9,150.6,47.1
-62.20,15.50,168.9,150.4,46.8
-62.15,15.50,163.9,150.2,46.4
-62.10,15.50,159.1,150.1,46.0
-62.05,15.50,154.3,149.9,45.7
-62.00,15.50,149.6,149.9,45.3
-61.95,15.50,144.9,149.8,45.0
-61.90,15.50,140.3,149.9,44.7
-61.85,15.50,135.8,150.0,44.4
-61.80,15.50,131.3,150.2,44.1
-61.75,15.50,126.8,150.4,43.8
-61.70,15.50,122.3,150.8,43.6
-62.55,15.55,177.9,144.2,48.7
-62.50,15.55,180.1,146.4,48.6
-62.45,15.55,178.4,147.4,48.4
-62.40,15.55,179.9,148.9,48.1
-62.35,15.55,177.9,149.6,47.8
-62.30,15.55,175.9,150.1,47.5
-62.25,15.55,170.9,149.9,47.2
-62.20,15.55,165.9,149.7,46.9
-62.15,15.55,161.0,149.5,46.5
-62.10,15.55,156.2,149.3,46.1
-62.05,15.55,151.4,149.2,45.8
-62.00,15.55,146.7,149.0,45.4
-61.95,15.55,142.1,148.9,45.1
-61.90,15.55,137.5,148.9,44.7
-61.85,15.55,133.0,149.0,44.4
-61.80,15.55,128.5,149.1,44.1
-61.75,15.55,124.1,149.3,43.8
-61.70,15.55,119.7,149.6,43.5
-62.60,15.60,179.0,142.7,48.7
-62.55,15.60,177.9,144.2,48.7
-62.50,15.60,180.1,146.4,48.6
-62.45,15.60,178.4,147.4,48.4
-62.40,15.60,179.9,148.9,48.1
-62.35,15.60,177.9,149.6,47.8
-62.30,15.60,172.9,149.4,47.6
-62.25,15.60,167.8,149.3,47.3
-62.20,15.60,162.9,149.1,46.9
-62.15,15.60,158.0,148.9,46.6
-62.10,15.60,153.2,148.7,46.2
-62.05,15.60,148.5,148.5,45.8
-62.00,15.60,143.8,148.3,45.5
-61.95,15.60,139.2,148.2,45.1
-61.90,15.60,134.7,148.1,44.8
-61.85,15.60,130.2,148.1,44.5
-61.80,15.60,125.7,148.2,44.1
-61.75,15.60,121.3,148.4,43.8
-61.70,15.60,117.0,148.6,43.5
-62.60,15.65,179.0,142.7,48.7
-62.55,15.65,177.9,144.2,48.7
-62.50,15.65,180.1,146.4,48.6
-62.45,15.65,178.4,147.4,48.4
-62.40,15.65,179.9,148.9,48.1
-62.35,15.65,174.8,148.9,47.9
-62.30,15.65,169.7,148.8,47.7
-62.25,15.65,164.7,148.7,47.3
-62.20,15.65,159.8,148.5,47.0
-62.15,15.65,154.9,148.3,46.6
-62.10,15.65,150.2,148.1,46.3
-62.05,15.65,145.4,147.9,45.9
-62.00,15.65,140.8,147.7,45.5
-61.95,15.65,136.2,147.5,45.2
-61.90,15.65,131.7,147.4,44.8
-61.85,15.65,127.3,147.4,44.5
-61.80,15.65,122.9,147.5,44.1
-61.75,15.65,118.5,147.6,43.8
-61.70,15.65,114.2,147.8,43.4
-62.65,15.70,179.9,141.2,48.7
-62.60,15.70,179.0,142.7,48.7
-62.55,15.70,177.9,144.2,48.7
-62.50,15.70,180.1,146.4,48.6
-62.45,15.70,178.4,147.4,48.4
-62.40,15.70,176.6,148.3,48.2
-62.35,15.70,171.6,148.3,48.0
-62.30,15.70,166.5,148.3,47.7
-62.25,15.70,161.6,148.1,47.4
-62.20,15.70,156.7,148.0,47.0
-62.15,15.70,151.8,147.8,46.7
-62.10,15.70,147.1,147.6,46.3
-62.05,15.70,142.4,147.3,45.9
-62.00,15.70,137.7,147.1,45.5
-61.95,15.70,133.2,147.0,45.2
-61.90,15.70,128.7,146.9,44.8
-61.85,15.70,124.3,146.8,44.4
-61.80,15.70,119.9,146.8,44.1
-61.75,15.70,115.6,146.9,43.7
-61.70,15.70,111.4,147.0,43.2
-62.65,15.75,179.9,141.2,48.7
-62.60,15.75,179.0,142.7,48.7
-62.55,15.75,177.9,144.2,48.7
-62.50,15.75,180.1,146.4,48.6
-62.45,15.75,178.4,147.4,48.4
-62.40,15.75,173.3,147.6,48.2
-62.35,15.75,168.3,147.7,48.0
-62.30,15.75,163.3,147.7,47.7
-62.25,15.75,158.3,147.6,47.4
-62.20,15.75,153.5,147.5,47.1
-62.15,15.75,148.7,147.3,46.7
-62.10,15.75,143.9,147.1,46.3
-62.05,15.75,139.2,146.9,45.9
-62.00,15.75,134.7,146.7,45.5
-61.95,15.75,130.1,146.5,45.2
-61.90,15.75,125.7,146.4,44.8
-61.85,15.75,121.3,146.3,44.4
-61.80,15.75,117.0,146.3,44.0
-61.75,15.75,112.7,146.3,43.5
-61.70,15.75,108.5,146.4,43.0
-62.70,15.80,180.5,139.6,48.7
-62.65,15.80,179.9,141.2,48.7
-62.60,15.80,179.0,142.7,48.7
-62.55,15.80,177.9,144.2,48.7
-62.50,15.80,180.1,146.4,48.6
-62.45,15.80,175.0,146.7,48.4
-62.40,15.80,170.0,146.9,48.3
-62.35,15.80,165.0,147.0,48.0
-62.30,15.80,160.0,147.1,47.7
-62.25,15.80,155.1,147.0,47.4
-62.20,15.80,150.2,146.9,47.1
-62.15,15.80,145.4,146.8,46.7
-62.10,15.80,140.7,146.6,46.3
-62.05,15.80,136.1,146.4,45.9
-62.00,15.80,131.5,146.3,45.5
-61.95,15.80,127.0,146.1,45.1
-61.90,15.80,122.6,145.9,44.7
-61.85,15.80,118.3,145.9,44.3
-61.80,15.80,114.0,145.8,43.8
-61.75,15.80,109.8,145.8,43.3
-61.70,15.80,105.6,145.9,42.8
-62.70,15.85,180.5,139.6,48.7
-62.65,15.85,179.9,141.2,48.7
-62.60,15.85,179.0,142.7,48.7
-62.55,15.85,177.9,144.2,48.7
-62.50,15.85,176.5,145.5,48.6
-62.45,15.85,171.5,145.9,48.5
-62.40,15.85,166.5,146.2,48.3
-62.35,15.85,161.6,146.3,48.0
-62.30,15.85,156.6,146.4,47.7
-62.25,15.85,151.8,146.5,47.4
-62.20,15.85,146.9,146.4,47.0
-62.15,15.85,142.2,146.3,46.7
-62.10,15.85,137.5,146.2,46.3
-62.05,15.85,132.9,146.0,45.9
-62.00,15.85,128.4,145.9,45.5
-61.95,15.85,123.9,145.7,45.0
-61.90,15.85,119.5,145.6,44.6
-61.85,15.85,115.2,145.5,44.1
-61.80,15.85,111.0,145.4,43.6
-61.75,15.85,106.8,145.4,43.1
-61.70,15.85,102.7,145.5,42.5
-62.75,15.90,176.7,137.5,48.6
-62.70,15.90,180.5,139.6,48.7
-62.65,15.90,179.9,141.2,48.7
-62.60,15.90,179.0,142.7,48.7
-62.55,15.90,177.9,144.2,48.7
-62.50,15.90,172.9,144.7,48.6
-62.45,15.90,168.0,145.1,48.4
-62.40,15.90,163.0,145.4,48.2
-62.35,15.90,158.1,145.7,48.0
-62.30,15.90,153.2,145.8,47.7
-62.25,15.90,148.4,145.9,47.4
-62.20,15.90,143.6,145.9,47.0
-62.15,15.90,138.9,145.9,46.6
-62.10,15.90,134.3,145.8,46.2
-62.05,15.90,129.7,145.6,45.8
-62.00,15.90,125.2,145.5,45.4
-61.95,15.90,120.8,145.4,44.9
-61.90,15.90,116.4,145.3,44.4
-61.85,15.90,112.2,145.2,43.9
-61.80,15.90,108.0,145.1,43.3
-61.75,15.90,103.9,145.1,42.7
-61.70,15.90,99.9,145.1,42.1
-62.80,15.95,176.8,136.3,48.5
-62.75,15.95,176.7,137.5,48.6
-62.70,15.95,180.5,139.6,48.7
-62.65,15.95,179.9,141.2,48.7
-62.60,15.95,179.0,142.7,48.7
-62.55,15.95,174.1,143.3,48.7
-62.50,15.95,169.2,143.9,48.5
-62.45,15.95,164.4,144.3,48.4
-62.40,15.95,159.5,144.7,48.2
-62.35,15.95,154.6,145.0,47.9
-62.30,15.95,149.8,145.2,47.6
-62.25,15.95,145.0,145.3,47.3
-62.20,15.95,140.3,145.4,46.9
-62.15,15.95,135.6,145.4,46.5
-62.10,15.95,131.0,145.3,46.1
-62.05,15.95,126.4,145.3,45.7
-62.00,15.95,122.0,145.2,45.2
-61.95,15.95,117.6,145.1,44.7
-61.90,15.95,113.3,145.0,44.2
-61.85,15.95,109.1,144.9,43.6
-61.80,15.95,105.0,144.8,43.0
-61.75,15.95,100.9,144.8,42.4
-61.70,15.95,97.0,144.9,41.6
-62.85,16.00,176.8,135.3,48.4
-62.80,16.00,176.8,136.3,48.5
-62.75,16.00,176.7,137.5,48.6
-62.70,16.00,180.5,139.6,48.7
-62.65,16.00,179.9,141.2,48.7
-62.60,16.00,175.1,141.9,48.7
-62.55,16.00,170.3,142.5,48.6
-62.50,16.00,165.5,143.1,48.5
-62.45,16.00,160.7,143.5,48.3
-62.40,16.00,155.9,144.0,48.1
-62.35,16.00,151.1,144.3,47.8
-62.30,16.00,146.3,144.5,47.5
-62.25,16.00,141.5,144.7,47.2
-62.20,16.00,136.9,144.9,46.8
-62.15,16.00,132.2,144.9,46.4
-62.10,16.00,127.7,144.9,46.0
-62.05,16.00,123.2,144.9,45.5
-62.00,16.00,118.8,144.8,45.0
-61.95,16.00,114.5,144.8,44.5
-61.90,16.00,110.2,144.7,43.9
-61.85,16.00,106.1,144.6,43.3
-61.80,16.00,102.0,144.6,42.6
-61.75,16.00,98.0,144.6,41.9
-61.70,16.00,94.2,144.6,41.1
-62.90,16.05,176.6,134.6,48.3
-62.85,16.05,176.8,135.3,48.4
-62.80,16.05,176.8,136.3,48.5
-62.75,16.05,176.7,137.5,48.6
-62.70,16.05,180.5,139.6,48.7
-62.65,16.05,175.9,140.4,48.7
-62.60,16.05,171.2,141.0,48.6
-62.55,16.05,166.4,141.7,48.5
-62.50,16.05,161.7,142.3,48.4
-62.45,16.05,156.9,142.8,48.2
-62.40,16.05,152.2,143.2,47.9
-62.35,16.05,147.4,143.6,47.7
-62.30,16.05,142.7,143.9,47.4
-62.25,16.05,138.1,144.2,47.0
-62.20,16.05,133.4,144.3,46.6
-62.15,16.05,128.9,144.4,46.2
-62.10,16.05,124.4,144.5,45.8
-62.05,16.05,119.9,144.5,45.3
-62.00,16.05,115.6,144.5,44.8
-61.95,16.05,111.3,144.5,44.2
-61.90,16.05,107.1,144.5,43.6
-61.85,16.05,103.0,144.4,42.9
-61.80,16.05,99.1,144.4,42.2
-61.75,16.05,95.2,144.4,41.4
-61.70,16.05,91.4,144.4,40.6
-62.95,16.10,176.3,134.1,48.1
-62.90,16.10,176.6,134.6,48.3
-62.85,16.10,176.8,135.3,48.4
-62.80,16.10,176.8,136.3,48.5
-62.75,16.10,176.7,137.5,48.6
-62.70,16.10,176.4,138.9,48.7
-62.65,16.10,171.8,139.6,48.6
-62.60,16.10,167.2,140.3,48.5
-62.55,16.10,162.5,140.9,48.4
-62.50,16.10,157.8,141.5,48.2
-62.45,16.10,153.2,142.0,48.0
-62.40,16.10,148.5,142.5,47.8
-62.35,16.10,143.8,142.9,47.5
-62.30,16.10,139.2,143.3,47.2
-62.25,16.10,134.6,143.6,46.8
-62.20,16.10,130.0,143.8,46.4
-62.15,16.10,125.5,144.0,46.0
-62.10,16.10,121.1,144.1,45.5
-62.05,16.10,116.7,144.2,45.0
-62.00,16.10,112.4,144.2,44.5
-61.95,16.10,108.2,144.2,43.8
-61.90,16.10,104.1,144.2,43.2
-61.85,16.10,100.0,144.2,42.5
-61.80,16.10,96.1,144.2,41.7
-61.75,16.10,92.3,144.2,40.8
-61.70,16.10,88.6,144.3,39.9
-63.00,16.15,180.4,133.8,48.1
-62.95,16.15,176.3,134.1,48.1
-62.90,16.15,176.6,134.6,48.3
-62.85,16.15,176.8,135.3,48.4
-62.80,16.15,176.8,136.3,48.5
-62.75,16.15,176.7,137.5,48.6
-62.70,16.15,172.2,138.2,48.6
-62.65,16.15,167.7,138.9,48.5
-62.60,16.15,163.1,139.6,48.4
-62.55,16.15,158.5,140.2,48.3
-62.50,16.15,153.9,140.8,48.1
-62.45,16.15,149.3,141.4,47.9
-62.40,16.15,144.7,141.9,47.6
-62.35,16.15,140.1,142.3,47.3
-62.30,16.15,135.6,142.7,47.0
-62.25,16.15,131.0,143.0,46.6
-62.20,16.15,126.5,143.3,46.2
-62.15,16.15,122.1,143.5,45.7
-62.10,16.15,117.7,143.7,45.2
-62.05,16.15,113.4,143.8,44.7
-62.00,16.15,109.2,143.9,44.1
-61.95,16.15,105.1,144.0,43.4
-61.90,16.15,101.0,144.0,42.7
-61.85,16.15,97.1,144.0,41.9
-61.80,16.15,93.3,144.1,41.1
-61.75,16.15,89.5,144.1,40.2
-61.70,16.15,86.0,144.1,39.2
-63.05,16.20,180.1,133.6,48.0
-63.00,16.20,180.4,133.8,48.1
-62.95,16.20,176.3,134.1,48.1
-62.90,16.20,176.6,134.6,48.3
-62.85,16.20,176.8,135.3,48.4
-62.80,16.20,176.8,136.3,48.5
-62.75,16.20,172.4,137.0,48.5
-62.70,16.20,168.0,137.6,48.4
-62.65,16.20,163.6,138.3,48.4
-62.60,16.20,159.1,138.9,48.2
-62.55,16.20,154.5,139.5,48.1
-62.50,16.20,150.0,140.2,47.9
-62.45,16.20,145.5,140.7,47.6
-62.40,16.20,141.0,141.2,47.4
-62.35,16.20,136.4,141.7,47.1
-62.30,16.20,131.9,142.1,46.7
-62.25,16.20,127.5,142.5,46.3
-62.20,16.20,123.1,142.8,45.9
-62.15,16.20,118.7,143.1,45.4
-62.10,16.20,114.4,143.3,44.9
-62.05,16.20,110.2,143.5,44.3
-62.00,16.20,106.0,143.6,43.7
-61.95,16.20,102.0,143.7,43.0
-61.90,16.20,98.0,143.8,42.2
-61.85,16.20,94.2,143.9,41.4
-61.80,16.20,90.4,143.9,40.5
-61.75,16.20,86.8,144.0,39.5
-61.70,16.20,83.3,144.0,38.5
-63.10,16.25,179.7,133.6,47.9
-63.05,16.25,180.1,133.6,48.0
-63.00,16.25,180.4,133.8,48.1
-62.95,16.25,176.3,134.1,48.1
-62.90,16.25,176.6,134.6,48.3
-62.85,16.25,176.8,135.3,48.4
-62.80,16.25,172.5,135.9,48.4
-62.75,16.25,168.2,136.5,48.3
-62.70,16.25,163.8,137.1,48.3
-62.65,16.25,159.4,137.7,48.2
-62.60,16.25,155.0,138.4,48.0
-62.55,16.25,150.5,139.0,47.8
-62.50,16.25,146.1,139.6,47.6
-62.45,16.25,141.6,140.1,47.4
-62.40,16.25,137.2,140.7,47.1
-62.35,16.25,132.7,141.2,46.8
-62.30,16.25,128.3,141.6,46.4
-62.25,16.25,123.9,142.0,46.0
-62.20,16.25,119.6,142.4,45.5
-62.15,16.25,115.3,142.7,45.0
-62.10,16.25,111.1,142.9,44.5
-62.05,16.25,107.0,143.2,43.8
-62.00,16.25,102.9,143.3,43.2
-61.95,16.25,98.9,143.5,42.4
-61.90,16.25,95.1,143.6,41.6
-61.85,16.25,91.3,143.7,40.7
-61.80,16.25,87.7,143.8,39.8
-61.75,16.25,84.2,143.8,38.8
-61.70,16.25,80.8,143.9,37.7
-63.20,16.30,178.9,133.5,47.7
-63.15,16.30,179.3,133.5,47.8
-63.10,16.30,179.7,133.6,47.9
-63.05,16.30,180.1,133.6,48.0
-63.00,16.30,180.4,133.8,48.1
-62.95,16.30,176.3,134.1,48.1
-62.90,16.30,176.6,134.6,48.3
-62.85,16.30,172.4,135.1,48.3
-62.80,16.30,168.1,135.6,48.2
-62.75,16.30,163.8,136.1,48.2
-62.70,16.30,159.5,136.7,48.1
-62.65,16.30,155.2,137.3,47.9
-62.60,16.30,150.9,137.9,47.8
-62.55,16.30,146.5,138.5,47.6
-62.50,16.30,142.1,139.1,47.3
-62.45,16.30,137.7,139.6,47.1
-62.40,16.30,133.4,140.2,46.8
-62.35,16.30,129.0,140.7,46.4
-62.30,16.30,124.7,141.1,46.0
-62.25,16.30,120.4,141.6,45.6
-62.20,16.30,116.2,141.9,45.1
-62.15,16.30,112.0,142.3,44.6
-62.10,16.30,107.8,142.6,44.0
-62.05,16.30,103.8,142.8,43.3
-62.00,16.30,99.8,143.1,42.6
-61.95,16.30,95.9,143.2,41.8
-61.90,16.30,92.2,143.4,40.9
-61.85,16.30,88.5,143.5,40.0
-61.80,16.30,85.0,143.6,39.0
-61.75,16.30,81.6,143.7,37.9
-61.70,16.30,78.3,143.8,36.8
-63.25,16.35,178.5,133.4,47.7
-63.20,16.35,178.9,133.5,47.7
-63.15,16.35,179.3,133.5,47.8
-63.10,16.35,179.7,133.6,47.9
-63.05,16.35,180.1,133.6,48.0
-63.00,16.35,180.4,133.8,48.1
-62.95,16.35,176.3,134.1,48.1
-62.90,16.35,172.2,134.5,48.1
-62.85,16.35,168.0,134.9,48.1
-62.80,16.35,163.8,135.3,48.0
-62.75,16.35,159.5,135.8,47.9
-62.70,16.35,155.3,136.4,47.8
-62.65,16.35,151.0,136.9,47.6
-62.60,16.35,146.7,137.5,47.5
-62.55,16.35,142.5,138.1,47.3
-62.50,16.35,138.2,138.6,47.0
-62.45,16.35,133.9,139.2,46.7
-62.40,16.35,129.6,139.7,46.4
-62.35,16.35,125.3,140.2,46.0
-62.30,16.35,121.1,140.7,45.6
-62.25,16.35,116.9,141.1,45.2
-62.20,16.35,112.7,141.6,44.7
-62.15,16.35,108.6,141.9,44.1
-62.10,16.35,104.6,142.3,43.4
-62.05,16.35,100.6,142.6,42.7
-62.00,16.35,96.8,142.8,42.0
-61.95,16.35,93.0,143.0,41.1
-61.90,16.35,89.3,143.2,40.2
-61.85,16.35,85.8,143.4,39.2
-61.80,16.35,82.3,143.5,38.2
-61.75,16.35,79.0,143.7,37.1
-61.70,16.35,75.8,143.8,36.0
-63.30,16.40,178.1,133.1,47.8
-63.25,16.40,178.5,133.4,47.7
-63.20,16.40,178.9,133.5,47.7
-63.15,16.40,179.3,133.5,47.8
-63.10,16.40,179.7,133.6,47.9
-63.05,16.40,180.1,133.6,48.0
-63.00,16.40,176.0,133.8,48.0
-62.95,16.40,171.9,134.1,48.0
-62.90,16.40,167.7,134.4,47.9
-62.85,16.40,163.6,134.8,47.9
-62.80,16.40,159.4,135.2,47.8
-62.75,16.40,155.3,135.6,47.7
-62.70,16.40,151.1,136.1,47.5
-62.65,16.40,146.9,136.6,47.3
-62.60,16.40,142.7,137.2,47.1
-62.55,16.40,138.4,137.7,46.9
-62.50,16.40,134.2,138.2,46.6
-62.45,16.40,130.0,138.8,46.3
-62.40,16.40,125.8,139.3,46.0
-62.35,16.40,121.6,139.8,45.6
-62.30,16.40,117.5,140.3,45.2
-62.25,16.40,113.4,140.8,44.7
-62.20,16.40,109.3,141.2,44.1
-62.15,16.40,105.3,141.6,43.5
-62.10,16.40,101.4,142.0,42.8
-62.05,16.40,97.5,142.3,42.1
-62.00,16.40,93.8,142.6,41.3
-61.95,16.40,90.1,142.8,40.4
-61.90,16.40,86.5,143.1,39.4
-61.85,16.40,83.1,143.3,38.4
-61.80,16.40,79.8,143.4,37.3
-61.75,16.40,76.6,143.6,36.2
-61.70,16.40,73.5,143.7,35.0
-63.35,16.45,177.6,132.5,47.9
-63.30,16.45,178.1,133.1,47.8
-63.25,16.45,178.5,133.4,47.7
-63.20,16.45,178.9,133.5,47.7
-63.15,16.45,179.3,133.5,47.8
-63.10,16.45,179.7,133.6,47.9
-63.05,16.45,175.6,133.7,47.9
-63.00,16.45,171.5,133.9,47.9
-62.95,16.45,167.5,134.1,47.8
-62.90,16.45,163.4,134.4,47.7
-62.85,16.45,159.3,134.7,47.6
-62.80,16.45,155.1,135.0,47.5
-62.75,16.45,151.0,135.5,47.4
-62.70,16.45,146.9,135.9,47.2
-62.65,16.45,142.7,136.4,47.0
-62.60,16.45,138.6,136.9,46.8
-62.55,16.45,134.5,137.4,46.5
-62.50,16.45,130.3,137.9,46.2
-62.45,16.45,126.2,138.5,45.9
-62.40,16.45,122.1,139.0,45.5
-62.35,16.45,118.0,139.5,45.1
-62.30,16.45,113.9,140.0,44.6
-62.25,16.45,109.9,140.5,44.1
-62.20,16.45,106.0,140.9,43.5
-62.15,16.45,102.1,141.3,42.9
-62.10,16.45,98.2,141.7,42.2
-62.05,16.45,94.5,142.1,41.4
-62.00,16.45,90.8,142.4,40.5
-61.95,16.45,87.3,142.7,39.6
-61.90,16.45,83.8,142.9,38.6
-61.85,16.45,80.5,143.1,37.5
-61.80,16.45,77.3,143.3,36.4
-61.75,16.45,74.2,143.5,35.3
-61.70,16.45,71.2,143.7,34.1
-63.40,16.50,177.0,131.8,48.0
-63.35,16.50,177.6,132.5,47.9
-63.30,16.50,178.1,133.1,47.8
-63.25,16.50,178.5,133.4,47.7
-63.20,16.50,178.9,133.5,47.7
-63.15,16.50,179.3,133.5,47.8
-63.10,16.50,175.2,133.6,47.8
-63.05,16.50,171.2,133.7,47.8
-63.00,16.50,167.1,133.9,47.7
-62.95,16.50,163.1,134.1,47.6
-62.90,16.50,159.0,134.3,47.5
-62.85,16.50,154.9,134.6,47.4
-62.80,16.50,150.9,134.9,47.2
-62.75,16.50,146.8,135.3,47.0
-62.70,16.50,142.7,135.7,46.8
-62.65,16.50,138.6,136.2,46.6
-62.60,16.50,134.6,136.7,46.4
-62.55,16.50,130.5,137.2,46.1
-62.50,16.50,126.5,137.7,45.8
-62.45,16.50,122.4,138.2,45.4
-62.40,16.50,118.4,138.7,45.0
