lon,lat,az,bound,slab,depth
181.524,-34.5955,204.3571,PA/AU,ker,7.607
181.587,-34.485,205.1073,PA/AU,ker,7.437
181.6465,-34.363,203.5005,PA/AU,ker,8.022
181.706,-34.241,201.8937,PA/AU,ker,8.201
181.7369,-34.1456,200.1741,PA/AU,ker,7.679
181.7679,-34.0502,198.4545,PA/AU,ker,8.783
181.7989,-33.9548,196.7349,PA/AU,ker,8.299
181.8298,-33.8594,195.0153,PA/AU,ker,8.299
181.9244,-33.7192,202.1311,PA/AU,ker,8.503
182.019,-33.579,209.247,PA/AU,ker,8.772
182.0618,-33.482,206.9746,PA/AU,ker,8.952
182.1045,-33.385,204.7022,PA/AU,ker,8.762
182.1472,-33.288000000000004,202.4298,PA/AU,ker,8.611
182.19,-33.191,200.1573,PA/AU,ker,8.748
182.226,-33.0673,198.538,PA/AU,ker,8.674
182.262,-32.9435,196.9187,PA/AU,ker,8.623
182.298,-32.8197,195.2994,PA/AU,ker,9.141
182.334,-32.696,193.68,PA/AU,ker,9
182.3687,-32.6085,194.8724,PA/AU,ker,9.089
182.4033,-32.5211,196.0648,PA/AU,ker,8.784
182.438,-32.4337,197.2571,PA/AU,ker,9.132
182.4726,-32.3463,198.4495,PA/AU,ker,8.672
182.5263,-32.1797,196.8376,PA/AU,ker,9.749
182.58,-32.0132,195.2257,PA/AU,ker,9.547
182.6395,-31.9031,199.9204,PA/AU,ker,9.845
182.699,-31.793000000000006,204.6152,PA/AU,ker,10.187
182.7473,-31.7077,204.8814,PA/AU,ker,9.458
182.7955,-31.6225,205.1477,PA/AU,ker,9.493
182.8438,-31.5373,205.4139,PA/AU,ker,9.493
182.892,-31.452,205.6802,PA/AU,ker,8.706
182.9393,-31.3483,204.5664,PA/AU,ker,8.878
182.9865,-31.2445,203.4526,PA/AU,ker,8.963
183.0337,-31.1407,202.3388,PA/AU,ker,8.572
183.081,-31.037,201.225,PA/AU,ker,8.164
183.1264,-30.9525,202.0992,PA/AU,ker,8.66
183.1719,-30.868,202.9735,PA/AU,ker,8.66
183.2173,-30.7835,203.8477,PA/AU,ker,9.416
183.2627,-30.699,204.7219,PA/AU,ker,9.416
183.3042,-30.5831,202.8204,PA/AU,ker,9.722
183.3458,-30.4672,200.9189,PA/AU,ker,9.579
183.3873,-30.3513,199.0174,PA/AU,ker,9.832
183.4288,-30.2354,197.1159,PA/AU,ker,9.36
183.4783,-30.1471,199.29,PA/AU,ker,9.923
183.5277,-30.0587,201.46400000000003,PA/AU,ker,8.75
183.5772,-29.9704,203.6381,PA/AU,ker,9.132
183.6267,-29.882,205.8122,PA/AU,ker,9.737
183.6718,-29.7799,204.5965,PA/AU,ker,9.817
183.7168,-29.6779,203.3809,PA/AU,ker,9.88
183.7619,-29.5759,202.1653,PA/AU,ker,8.719
183.8069,-29.4738,200.9496,PA/AU,ker,9.387
183.8357,-29.3716,199.1532,PA/AU,ker,10.378
183.8645,-29.2694,197.3568,PA/AU,ker,9.392
183.8932,-29.1672,195.5603,PA/AU,ker,10.132
183.922,-29.065,193.7639,PA/AU,ker,10.256
183.9427,-28.973000000000006,193.1111,PA/AU,ker,8.906
183.9635,-28.881,192.4583,PA/AU,ker,8.347
183.9843,-28.789,191.8055,PA/AU,ker,9.661
184.005,-28.697,191.1527,PA/AU,ker,9.661
184.0325,-28.5887,191.5049,PA/AU,ker,8.82
184.06,-28.4805,191.8571,PA/AU,ker,8.63
184.0875,-28.3723,192.2092,PA/AU,ker,8.867
184.115,-28.264,192.5614,PA/AU,ker,8.934
184.14,-28.144,192.0201,PA/AU,ker,9.14
184.165,-28.024,191.4788,PA/AU,ker,8.535
184.19,-27.904,190.9375,PA/AU,ker,8.854
184.215,-27.784,190.3962,PA/AU,ker,9.69
184.2502,-27.6704,191.6236,PA/AU,ker,9.266
184.2853,-27.5568,192.851,PA/AU,ker,9.461
184.3204,-27.4432,194.0784,PA/AU,ker,9.692
184.3556,-27.3296,195.3057,PA/AU,ker,8.265
184.3899,-27.2239,195.49400000000003,PA/AU,ker,8.272
184.4241,-27.1182,195.6823,PA/AU,ker,8.146
184.4583,-27.0126,195.8706,PA/AU,ker,8.348
184.4926,-26.9069,196.0589,PA/AU,ker,7.707
184.5137,-26.7895,194.32,PA/AU,ker,7.348
184.5348,-26.672,192.5811,PA/AU,ker,7.353
184.5559,-26.5545,190.8422,PA/AU,ker,7.593
184.577,-26.437,189.1032,PA/AU,ker,8.308
184.579,-26.334,187.0768,PA/AU,ker,8.239
184.581,-26.231,185.0503,PA/AU,ker,7.849
184.583,-26.128,183.0239,PA/AU,ker,7.598
184.585,-26.025,180.9975,PA/AU,ker,7.017
184.6015,-25.877,183.3583,PA/AU,ker,6.392
184.618,-25.729,185.7191,PA/AU,ker,5.739
184.6605,-25.5775,189.9509,PA/AU,ker,6.436
184.703,-25.426,194.1827,PA/AU,ker,6.581
184.721,-25.284,190.3564,PA/AU,ker,6.724
184.739,-25.142,186.53,PA/AU,ker,6.515
184.755,-24.989,185.9688,PA/AU,ker,8.033
184.771,-24.836,185.4075,PA/AU,ker,8.073
184.776,-24.745,184.7694,PA/AU,ker,8.278
184.781,-24.654,184.1313,PA/AU,ker,8.636
184.786,-24.563,183.4932,PA/AU,ker,8.913
184.791,-24.472,182.8552,PA/AU,ker,9.031
184.8177,-24.3715,185.5455,PA/AU,ker,9.564
184.8445,-24.271,188.2357,PA/AU,ker,9.564
184.8713,-24.1705,190.926,PA/AU,ker,9.09
184.898,-24.07,193.6162,PA/AU,ker,9.399
184.9565,-23.91,196.0376,PA/AU,ker,9.464
185.015,-23.75,198.4591,PA/AU,ker,9.688
185.0865,-23.6315,203.6822,PA/AU,ker,9.542
185.158,-23.513,208.9052,PA/AU,ker,10.131
185.2475,-23.367,209.1189,PA/AU,ker,9.866
185.337,-23.221,209.3327,PA/AU,ker,9.869
185.424,-23.0635,208.1196,PA/AU,ker,9.92
185.511,-22.906,206.9064,PA/AU,ker,9.103
185.594,-22.7615,207.3914,PA/AU,ker,8.867
185.677,-22.617,207.8765,PA/AU,ker,9.63
185.723,-22.5352,207.7673,PA/AU,ker,9.432
185.769,-22.4535,207.6581,PA/AU,ker,9.432
185.815,-22.3717,207.5489,PA/AU,ker,9.355
185.861,-22.29,207.4397,PA/AU,ker,9.106
185.9077,-22.1962,206.7708,PA/AU,ker,9.106
185.9545,-22.1025,206.1019,PA/AU,ker,9.018
186.0012,-22.0087,205.433,PA/AU,ker,9.018
186.048,-21.915,204.7642,PA/AU,ker,9.401
186.0815,-21.8178,203.0034,PA/AU,ker,9.12
186.115,-21.7205,201.2426,PA/AU,ker,9.255
186.1485,-21.6232,199.4818,PA/AU,ker,8.626
186.182,-21.526,197.721,PA/AU,ker,8.626
186.2395,-21.387,199.3821,PA/AU,ker,9.042
186.297,-21.248,201.0433,PA/AU,ker,9.403
186.335,-21.1593,201.2206,PA/AU,ker,8.996
186.373,-21.0705,201.3979,PA/AU,ker,9.536
186.411,-20.9817,201.5752,PA/AU,ker,8.737
186.449,-20.893,201.7525,PA/AU,ker,9.516
186.523,-20.7395,202.9968,PA/AU,ker,9.81
186.597,-20.586,204.2412,PA/AU,ker,9.75
186.6433,-20.4905,204.2765,PA/AU,ker,8.999
186.6895,-20.395,204.3118,PA/AU,ker,9.525
186.7357,-20.2995,204.3471,PA/AU,ker,9.906
186.782,-20.204,204.3825,PA/AU,ker,9.915
186.8233,-20.0977,203.291,PA/AU,ker,9.722
186.8645,-19.9915,202.1996,PA/AU,ker,9.021
186.9058,-19.8852,201.1082,PA/AU,ker,9.025
186.947,-19.779,200.0168,PA/AU,ker,9.045
186.9885,-19.62,196.907,PA/AU,ker,9.32
187.03,-19.461,193.7973,PA/AU,ker,8.757
187.054,-19.3635,193.6147,PA/AU,ker,9.369
187.078,-19.266,193.4321,PA/AU,ker,9.554
187.102,-19.1685,193.2494,PA/AU,ker,8.976
187.126,-19.071,193.0668,PA/AU,ker,9.297
187.17,-18.924,194.4306,PA/AU,ker,8.9
187.21400000000003,-18.777,195.7944,PA/AU,ker,8.026
187.258,-18.63,195.8075,PA/AU,ker,6.82
187.302,-18.483,195.8207,PA/AU,ker,8.162
187.3555,-18.3175,196.4317,PA/AU,ker,8.887
187.409,-18.152,197.0428,PA/AU,ker,8.434
187.4345,-18.0435,194.817,PA/AU,ker,8.614
187.46,-17.935,192.5911,PA/AU,ker,8.575
187.5075,-17.805999999999994,195.9468,PA/AU,ker,8.377
187.555,-17.677,199.3025,PA/AU,ker,8.699
187.5727,-17.5755,196.8423,PA/AU,ker,8.692
187.5905,-17.474,194.382,PA/AU,ker,7.817
187.6082,-17.3725,191.9217,PA/AU,ker,8.308
187.626,-17.271,189.4614,PA/AU,ker,8.782
187.6455,-17.117,188.1766,PA/AU,ker,8.233
187.665,-16.963,186.8919,PA/AU,ker,7.577
187.677,-16.8395,186.101,PA/AU,ker,8.974
187.689,-16.715999999999998,185.3102,PA/AU,ker,9.138
187.69,-16.62,184.1255,PA/AU,ker,8.082
187.691,-16.524,182.9408,PA/AU,ker,7.942
187.692,-16.428,181.7561,PA/AU,ker,7.501
187.693,-16.332,180.5713,PA/AU,ker,7.491
187.6965,-16.1865,180.9472,PA/AU,ker,7.77
187.7,-16.041,181.3231,PA/AU,ker,7.701
187.6845,-15.8865,177.9087,PA/AU,ker,7.705
187.669,-15.732,174.4944,PA/AU,ker,7.085
187.645,-15.561,172.3057,PA/AU,ker,7.719
187.6085,-15.467,165.8992,PA/AU,ker,8.342
187.572,-15.373,159.4926,PA/AU,ker,7.499
187.485,-15.262,151.2097,PA/AU,ker,6.903
187.398,-15.151,142.9267,PA/AU,ker,6.659
187.312,-15.092,134.1727,PA/AU,ker,7.133
187.226,-15.033,125.4187,PA/AU,ker,7.556
187.1435,-14.95,122.5564,PA/AU,ker,7.232
187.061,-14.867,119.6941,PA/AU,ker,7.429
186.9655,-14.826,116.8318,PA/AU,ker,7.181
186.87,-14.785,113.9695,PA/AU,ker,7.143
186.727,-14.697,122.4898,PA/AU,ker,7.17
186.593,-14.584,122.4898,PA/AU,ker,6.343
