segment Kansas
37.13 -94.618
37.119 -94.618
37.113 -94.618
37.104 -94.618
37.097 -94.618
37.094 -94.618
37.093 -94.618
37.089 -94.618
37.086 -94.618
37.075 -94.618
37.07 -94.618
37.069 -94.618
37.063 -94.618
37.06 -94.618
37.057 -94.618
37.056 -94.618
37.041 -94.618
37.033 -94.618
37.009 -94.618
37.005 -94.618
36.998 -94.618
36.999 -94.625
36.999 -94.7
36.999 -94.702
36.999 -94.711
36.999 -94.713
36.999 -94.723
36.999 -94.733
36.999 -94.736
36.999 -94.737
36.999 -94.739
36.999 -94.746
36.999 -94.75
36.999 -94.777
36.999 -94.831
36.999 -94.832
36.999 -94.841
36.999 -94.847
36.999 -94.85
36.999 -94.853
36.999 -94.897
36.999 -94.905
36.999 -94.941
37 -94.995
37 -95.008
37 -95.011
37 -95.03
36.999 -95.038
37 -95.049
37 -95.074
37 -95.141
37 -95.155
37 -95.159
37 -95.177
37 -95.195
36.999 -95.268
36.999 -95.286
36.999 -95.323
36.999 -95.328
36.999 -95.331
36.999 -95.377
36.999 -95.382
36.999 -95.408
36.999 -95.512
36.999 -95.522
36.999 -95.534
36.999 -95.574
36.999 -95.602
36.999 -95.612
36.999 -95.616
36.999 -95.621
36.999 -95.624
36.999 -95.63
36.999 -95.638
36.999 -95.664
36.999 -95.674
36.999 -95.686
36.999 -95.697
36.999 -95.71
36.999 -95.711
36.999 -95.715
36.999 -95.718
36.999 -95.742
36.999 -95.746
36.999 -95.76
36.999 -95.769
36.999 -95.787
36.999 -95.808
36.999 -95.819
36.999 -95.867
36.999 -95.874
36.999 -95.875
36.999 -95.877
36.999 -95.91
36.999 -95.928
36.999 -95.937
36.999 -95.964
36.999 -96.001
36.999 -96.095
36.999 -96.141
36.999 -96.143
36.999 -96.147
36.999 -96.15
36.999 -96.152
36.999 -96.154
36.999 -96.185
36.999 -96.2
36.999 -96.218
36.999 -96.235
36.999 -96.275
36.999 -96.276
36.999 -96.279
36.999 -96.382
36.999 -96.394
36.999 -96.415
36.999 -96.5
36.999 -96.525
36.999 -96.551
36.999 -96.624
36.999 -96.705
36.999 -96.71
36.999 -96.732
36.999 -96.737
36.999 -96.741
36.999 -96.75
36.999 -96.792
36.999 -96.795
36.999 -96.823
36.999 -96.868
