segment Montana
45.431 -113.765
45.442 -113.774
45.452 -113.783
45.455 -113.784
45.466 -113.774
45.481 -113.76
45.488 -113.761
45.521 -113.766
45.523 -113.778
45.523 -113.797
45.523 -113.803
45.52 -113.809
45.521 -113.833
45.521 -113.835
45.524 -113.834
45.566 -113.82
45.574 -113.811
45.577 -113.808
45.58 -113.805
45.584 -113.803
45.592 -113.803
45.593 -113.803
45.602 -113.807
45.607 -113.814
45.612 -113.823
45.62 -113.849
45.624 -113.861
45.621 -113.873
45.617 -113.886
45.618 -113.89
45.622 -113.903
45.622 -113.905
45.624 -113.904
45.637 -113.903
45.644 -113.899
45.648 -113.901
45.651 -113.904
45.653 -113.908
45.659 -113.92
45.672 -113.93
45.674 -113.931
45.682 -113.934
45.686 -113.942
45.688 -113.947
45.691 -113.953
45.701 -113.972
45.703 -113.979
45.705 -113.987
45.702 -113.994
45.696 -114.016
45.693 -114.019
45.681 -114.021
45.67 -114.02
45.658 -114.014
45.654 -114.015
45.649 -114.019
45.649 -114.029
45.649 -114.033
45.647 -114.036
45.628 -114.068
45.611 -114.082
45.604 -114.083
45.597 -114.082
45.591 -114.087
45.589 -114.094
45.586 -114.1
45.586 -114.108
45.585 -114.116
45.585 -114.119
45.584 -114.122
45.574 -114.131
45.573 -114.132
45.569 -114.129
45.565 -114.129
45.557 -114.135
45.553 -114.155
45.552 -114.165
45.551 -114.18
45.546 -114.186
45.537 -114.193
45.536 -114.204
45.537 -114.206
45.541 -114.217
45.546 -114.228
45.546 -114.242
45.546 -114.248
45.538 -114.252
45.536 -114.251
45.533 -114.248
45.524 -114.248
45.518 -114.251
45.496 -114.262
45.486 -114.271
45.481 -114.279
45.459 -114.333
45.46 -114.345
45.474 -114.361
45.49 -114.366
45.493 -114.369
45.503 -114.389
45.51 -114.416
45.527 -114.431
45.53 -114.434
45.536 -114.439
45.543 -114.451
45.544 -114.457
45.558 -114.46
45.561 -114.461
45.562 -114.468
45.563 -114.474
45.561 -114.481
45.558 -114.49
45.555 -114.498
45.559 -114.506
45.566 -114.515
45.568 -114.518
45.571 -114.526
45.569 -114.529
45.561 -114.55
45.566 -114.559
45.584 -114.558
45.585 -114.558
45.591 -114.554
45.596 -114.549
45.601 -114.544
45.607 -114.538
45.617 -114.545
45.619 -114.554
45.632 -114.563
45.637 -114.564
45.64 -114.561
45.65 -114.538
45.651 -114.536
45.652 -114.53
45.651 -114.527
45.649 -114.522
45.659 -114.508
45.669 -114.5
45.703 -114.495
45.711 -114.498
45.722 -114.505
45.739 -114.536
45.751 -114.546
45.765 -114.558
45.774 -114.566
45.78 -114.563
45.786 -114.555
45.791 -114.545
45.827 -114.515
45.829 -114.513
45.831 -114.515
45.833 -114.517
45.836 -114.517
45.841 -114.515
45.846 -114.509
45.851 -114.499
45.851 -114.489
45.851 -114.484
45.851 -114.47
45.855 -114.456
45.859 -114.449
45.855 -114.423
45.852 -114.409
45.88 -114.39
45.882 -114.388
45.888 -114.387
45.889 -114.387
45.89 -114.387
45.892 -114.389
45.901 -114.395
45.903 -114.404
45.911 -114.413
45.936 -114.431
45.938 -114.431
45.949 -114.421
45.956 -114.42
45.973 -114.425
45.98 -114.431
45.988 -114.44
45.988 -114.441
45.992 -114.454
45.995 -114.468
45.996 -114.471
46.001 -114.477
46.009 -114.478
46.011 -114.477
46.017 -114.474
46.03 -114.48
46.03 -114.486
46.032 -114.491
46.037 -114.493
46.043 -114.495
46.047 -114.492
46.056 -114.479
46.062 -114.469
46.063 -114.468
46.066 -114.467
46.079 -114.462
46.096 -114.46
46.097 -114.46
46.098 -114.46
46.099 -114.462
46.104 -114.467
46.113 -114.474
46.113 -114.488
46.113 -114.489
46.114 -114.49
46.119 -114.503
46.125 -114.521
46.144 -114.527
46.146 -114.527
46.166 -114.516
46.168 -114.515
46.168 -114.497
46.168 -114.489
46.161 -114.478
46.162 -114.473
46.17 -114.458
46.174 -114.446
46.203 -114.443
46.211 -114.444
46.22 -114.446
46.237 -114.45
46.241 -114.452
46.242 -114.454
46.249 -114.468
46.262 -114.47
46.267 -114.47
46.273 -114.465
46.271 -114.453
46.274 -114.441
46.277 -114.435
46.284 -114.427
46.288 -114.426
46.306 -114.433
46.311 -114.432
46.32 -114.425
46.329 -114.418
46.336 -114.414
46.361 -114.411
46.367 -114.412
46.387 -114.422
46.4 -114.409
46.406 -114.397
46.41 -114.389
46.412 -114.385
46.435 -114.379
46.443 -114.376
46.457 -114.379
46.46 -114.379
46.466 -114.383
46.467 -114.384
46.47 -114.394
46.477 -114.4
46.498 -114.403
46.499 -114.403
46.502 -114.401
46.502 -114.4
46.503 -114.395
46.504 -114.386
46.502 -114.378
46.502 -114.377
46.502 -114.375
46.505 -114.359
46.508 -114.352
46.508 -114.351
46.52 -114.342
46.525 -114.346
46.53 -114.349
46.534 -114.349
46.548 -114.345
46.555 -114.343
46.564 -114.34
46.572 -114.332
46.576 -114.331
46.578 -114.331
46.579 -114.332
46.583 -114.334
46.588 -114.335
