segment Mississippi
30.669 -89.846
30.67 -89.847
30.672 -89.846
30.675 -89.845
30.684 -89.84
30.691 -89.837
30.691 -89.835
30.7 -89.836
30.704 -89.838
30.704 -89.839
30.703 -89.842
30.703 -89.844
30.704 -89.846
30.706 -89.847
30.707 -89.846
30.713 -89.84
30.716 -89.836
30.716 -89.835
30.715 -89.832
30.716 -89.83
30.725 -89.828
30.727 -89.833
30.727 -89.836
30.728 -89.837
30.734 -89.837
30.735 -89.837
30.735 -89.836
30.736 -89.836
30.736 -89.835
30.737 -89.834
30.737 -89.833
30.737 -89.826
30.737 -89.822
30.737 -89.817
30.738 -89.816
30.739 -89.816
30.74 -89.817
30.741 -89.82
30.741 -89.823
30.742 -89.826
30.747 -89.826
30.753 -89.827
30.756 -89.827
30.758 -89.828
30.76 -89.829
30.768 -89.832
30.768 -89.831
30.774 -89.828
30.78 -89.824
30.789 -89.821
30.79 -89.821
30.791 -89.821
30.793 -89.821
30.795 -89.819
30.796 -89.818
30.796 -89.816
30.794 -89.814
30.792 -89.814
30.791 -89.813
30.79 -89.813
30.788 -89.812
30.788 -89.811
30.789 -89.808
30.789 -89.807
30.789 -89.806
30.791 -89.805
30.792 -89.805
30.793 -89.805
30.793 -89.806
30.794 -89.807
30.795 -89.809
30.797 -89.811
30.798 -89.811
30.799 -89.811
30.8 -89.81
30.801 -89.808
30.803 -89.805
30.803 -89.804
30.81 -89.8
30.815 -89.8
30.819 -89.8
30.821 -89.799
30.821 -89.797
30.822 -89.797
30.82 -89.792
30.816 -89.786
30.817 -89.785
30.818 -89.783
30.818 -89.782
30.82 -89.781
30.827 -89.784
30.831 -89.787
30.831 -89.789
30.83 -89.789
30.831 -89.79
30.832 -89.791
30.838 -89.79
30.844 -89.787
30.845 -89.783
30.845 -89.782
30.846 -89.781
30.846 -89.78
30.847 -89.78
30.849 -89.781
30.852 -89.784
30.854 -89.784
30.855 -89.784
30.856 -89.783
30.857 -89.782
30.856 -89.779
30.853 -89.775
30.854 -89.773
30.855 -89.772
30.864 -89.768
30.866 -89.768
30.867 -89.769
30.873 -89.778
30.875 -89.779
30.876 -89.779
30.878 -89.779
30.879 -89.779
30.879 -89.778
30.881 -89.777
30.881 -89.776
30.881 -89.775
30.882 -89.77
30.89 -89.772
30.897 -89.774
30.898 -89.773
30.899 -89.772
30.899 -89.77
30.897 -89.765
30.896 -89.761
30.897 -89.759
30.899 -89.757
30.901 -89.757
30.904 -89.758
30.904 -89.759
30.906 -89.76
30.907 -89.762
30.908 -89.764
30.91 -89.764
30.912 -89.764
30.913 -89.764
30.914 -89.763
30.914 -89.762
30.915 -89.759
30.915 -89.757
30.913 -89.754
30.913 -89.75
