segment Alabama
31.159 -85.082
31.158 -85.078
31.157 -85.077
31.155 -85.075
31.151 -85.072
31.149 -85.07
31.142 -85.064
31.14 -85.062
31.134 -85.061
31.123 -85.056
31.121 -85.055
31.12 -85.053
31.119 -85.053
31.119 -85.05
31.117 -85.047
31.112 -85.041
31.11 -85.037
31.109 -85.037
31.109 -85.036
31.108 -85.036
31.101 -85.033
31.096 -85.03
31.084 -85.026
31.077 -85.028
31.076 -85.028
31.075 -85.029
31.074 -85.028
31.059 -85.018
31.056 -85.013
31.055 -85.013
31.054 -85.011
31.046 -85.009
31.045 -85.009
31.043 -85.009
31.032 -85.009
31.025 -85.005
31.019 -85.005
31.015 -85
31.014 -84.999
31.009 -85
31.005 -85.001
31.001 -85.002
31.001 -85.024
31.001 -85.028
31.001 -85.03
31.001 -85.031
31.001 -85.052
31.001 -85.055
31.001 -85.058
31.001 -85.146
31.001 -85.152
31.001 -85.154
31.001 -85.176
31.001 -85.24
31.001 -85.244
31 -85.302
31 -85.329
30.999 -85.349
30.998 -85.408
30.997 -85.479
30.997 -85.488
30.997 -85.498
30.996 -85.583
30.996 -85.6
30.996 -85.644
30.996 -85.69
30.995 -85.742
30.995 -85.75
30.995 -85.779
30.994 -85.831
30.993 -85.894
30.993 -85.936
30.993 -85.941
30.993 -85.966
30.993 -85.997
30.993 -85.999
30.993 -86.035
30.993 -86.052
30.993 -86.056
30.993 -86.117
30.994 -86.163
30.994 -86.169
30.994 -86.175
30.994 -86.18
30.994 -86.187
30.994 -86.238
30.994 -86.256
30.994 -86.27
30.994 -86.271
30.994 -86.289
30.994 -86.305
30.994 -86.334
30.994 -86.348
30.994 -86.349
30.994 -86.365
30.994 -86.369
30.994 -86.375
30.994 -86.389
30.994 -86.392
30.994 -86.405
30.994 -86.455
30.994 -86.458
30.993 -86.5
30.994 -86.513
30.993 -86.52
30.994 -86.543
30.995 -86.563
30.995 -86.568
30.995 -86.628
30.995 -86.665
30.995 -86.678
30.995 -86.688
30.995 -86.706
30.997 -86.725
30.997 -86.727
30.997 -86.728
30.996 -86.745
30.997 -86.786
30.997 -86.81
30.997 -86.83
30.997 -86.832
30.998 -86.873
30.998 -86.888
30.998 -86.928
30.998 -86.982
30.999 -86.998
30.999 -87.004
30.999 -87.027
30.999 -87.036
31 -87.04
30.999 -87.054
30.999 -87.064
30.999 -87.069
30.999 -87.119
30.999 -87.125
31 -87.141
30.999 -87.162
30.999 -87.163
30.999 -87.175
30.998 -87.184
30.997 -87.225
30.997 -87.234
30.996 -87.238
30.997 -87.242
30.998 -87.255
30.998 -87.256
30.998 -87.257
30.998 -87.258
30.998 -87.26
30.998 -87.261
30.998 -87.266
30.998 -87.276
30.998 -87.289
30.998 -87.291
30.998 -87.302
30.998 -87.304
30.998 -87.312
30.998 -87.334
30.998 -87.356
30.998 -87.364
30.998 -87.368
30.998 -87.426
30.998 -87.432
30.998 -87.45
30.998 -87.456
30.998 -87.459
30.998 -87.462
30.998 -87.467
30.998 -87.478
30.998 -87.479
30.998 -87.48
30.998 -87.499
30.998 -87.504
30.998 -87.516
30.998 -87.517
30.998 -87.52
30.998 -87.549
30.998 -87.571
30.997 -87.599
30.996 -87.599
30.988 -87.597
30.983 -87.593
30.98 -87.593
30.978 -87.594
30.976 -87.594
30.973 -87.593
30.969 -87.591
30.964 -87.589
30.951 -87.592
30.941 -87.597
30.939 -87.598
30.937 -87.601
30.934 -87.603
30.924 -87.608
30.922 -87.608
30.917 -87.61
30.915 -87.612
30.909 -87.614
30.904 -87.615
30.901 -87.616
30.899 -87.621
30.898 -87.622
30.894 -87.623
30.89 -87.621
30.887 -87.621
30.885 -87.622
30.885 -87.624
30.88 -87.629
30.878 -87.63
30.866 -87.635
30.86 -87.628
30.857 -87.626
30.854 -87.625
30.852 -87.626
30.849 -87.627
30.848 -87.627
30.847 -87.627
30.846 -87.626
30.846 -87.624
30.84 -87.617
30.837 -87.615
30.835 -87.616
30.833 -87.611
30.831 -87.606
30.829 -87.604
30.825 -87.602
30.821 -87.6
30.817 -87.594
30.815 -87.588
30.812 -87.582
30.808 -87.577
30.801 -87.572
30.799 -87.568
30.796 -87.564
30.792 -87.56
30.79 -87.559
30.787 -87.555
30.787 -87.553
30.786 -87.552
30.779 -87.545
30.774 -87.545
30.772 -87.546
30.768 -87.542
30.763 -87.537
30.761 -87.537
30.755 -87.535
30.75 -87.535
30.748 -87.535
30.743 -87.533
30.738 -87.524
30.734 -87.512
30.733 -87.511
30.726 -87.505
30.722 -87.502
30.72 -87.498
30.72 -87.497
30.719 -87.487
30.717 -87.481
