segment Nevada
36.843 -114.051
36.82 -114.051
36.818 -114.051
36.808 -114.051
36.8 -114.051
36.682 -114.051
36.656 -114.051
36.655 -114.051
36.625 -114.05
36.621 -114.05
36.5 -114.048
36.473 -114.046
36.468 -114.046
36.448 -114.046
36.443 -114.046
36.391 -114.046
36.326 -114.048
36.315 -114.047
36.29 -114.049
36.269 -114.048
36.251 -114.047
36.245 -114.047
36.194 -114.047
36.189 -114.06
36.181 -114.068
36.169 -114.075
36.144 -114.089
36.122 -114.1
36.12 -114.103
36.12 -114.111
36.115 -114.121
36.112 -114.123
36.107 -114.124
36.105 -114.123
36.102 -114.119
36.101 -114.117
36.097 -114.114
36.095 -114.115
36.074 -114.128
36.059 -114.137
36.053 -114.138
36.047 -114.137
36.041 -114.138
36.038 -114.14
36.028 -114.148
36.025 -114.152
36.024 -114.154
36.028 -114.166
36.028 -114.176
36.028 -114.177
36.027 -114.177
36.021 -114.192
36.016 -114.214
36.014 -114.233
36.014 -114.236
36.015 -114.238
36.015 -114.239
36.015 -114.24
36.019 -114.25
36.02 -114.253
36.026 -114.263
36.029 -114.267
36.036 -114.271
36.046 -114.28
36.058 -114.314
36.059 -114.316
36.063 -114.316
36.067 -114.314
36.071 -114.308
36.075 -114.306
36.082 -114.308
36.106 -114.329
36.107 -114.333
36.108 -114.337
36.127 -114.359
36.13 -114.363
36.143 -114.372
36.144 -114.376
36.144 -114.378
36.147 -114.405
36.147 -114.412
36.146 -114.417
36.136 -114.427
36.126 -114.447
36.126 -114.449
36.131 -114.453
36.139 -114.458
36.14 -114.464
36.139 -114.47
36.129 -114.487
36.128 -114.496
36.128 -114.497
36.129 -114.502
36.13 -114.504
36.131 -114.506
36.135 -114.506
36.137 -114.505
36.139 -114.505
36.142 -114.505
36.146 -114.505
36.148 -114.507
36.151 -114.512
36.152 -114.54
36.152 -114.546
36.152 -114.555
36.152 -114.56
36.152 -114.572
36.149 -114.578
36.142 -114.597
36.134 -114.608
36.13 -114.617
36.132 -114.622
36.141 -114.628
36.142 -114.632
36.131 -114.65
36.124 -114.66
36.12 -114.663
36.117 -114.667
36.116 -114.671
36.116 -114.674
36.112 -114.689
36.109 -114.702
36.108 -114.71
36.108 -114.717
36.104 -114.736
36.097 -114.747
36.091 -114.754
36.087 -114.756
36.082 -114.755
36.081 -114.755
36.08 -114.755
36.079 -114.754
36.077 -114.752
36.074 -114.748
36.071 -114.743
36.06 -114.737
36.058 -114.736
36.054 -114.737
36.049 -114.74
36.044 -114.74
36.041 -114.741
36.039 -114.74
36.038 -114.739
36.036 -114.734
36.031 -114.73
36.028 -114.73
36.022 -114.731
36.016 -114.738
36.014 -114.74
36.013 -114.741
36.011 -114.742
36.01 -114.743
36.009 -114.743
36.007 -114.743
35.985 -114.744
35.976 -114.741
35.968 -114.734
35.962 -114.73
35.956 -114.728
35.949 -114.73
35.944 -114.731
35.941 -114.729
35.935 -114.716
35.928 -114.708
35.921 -114.708
35.912 -114.709
35.902 -114.7
35.893 -114.69
35.885 -114.681
35.88 -114.679
35.876 -114.678
35.875 -114.677
35.872 -114.678
35.868 -114.679
35.863 -114.682
35.858 -114.692
35.855 -114.698
35.854 -114.698
35.848 -114.7
35.843 -114.7
35.834 -114.696
35.831 -114.696
35.825 -114.699
35.815 -114.704
35.81 -114.71
35.806 -114.712
35.79 -114.699
35.769 -114.701
35.756 -114.696
35.746 -114.696
35.734 -114.697
35.712 -114.705
35.708 -114.705
35.701 -114.701
35.695 -114.694
35.689 -114.683
35.686 -114.681
35.685 -114.681
35.678 -114.682
35.668 -114.688
35.665 -114.69
35.659 -114.69
35.651 -114.689
35.641 -114.677
35.619 -114.658
35.611 -114.653
35.598 -114.654
35.587 -114.66
35.58 -114.666
35.578 -114.666
35.564 -114.663
35.545 -114.662
35.539 -114.66
35.536 -114.657
35.534 -114.657
35.53 -114.658
35.524 -114.663
35.521 -114.668
35.518 -114.674
35.513 -114.677
35.5 -114.679
35.49 -114.678
35.482 -114.673
35.467 -114.666
35.449 -114.665
35.445 -114.663
35.444 -114.662
35.432 -114.654
35.429 -114.652
35.41 -114.627
35.391 -114.62
35.369 -114.611
35.354 -114.604
35.325 -114.596
35.314 -114.597
35.297 -114.597
35.262 -114.587
35.238 -114.583
35.23 -114.584
35.21 -114.58
35.206 -114.575
35.201 -114.572
35.2 -114.572
35.199 -114.572
35.187 -114.57
35.183 -114.569
35.172 -114.569
35.169 -114.569
35.163 -114.57
35.162 -114.57
35.161 -114.57
35.139 -114.573
35.129 -114.579
35.124 -114.588
35.121 -114.599
35.122 -114.617
35.122 -114.62
35.121 -114.621
35.119 -114.627
35.118 -114.63
35.106 -114.644
35.102 -114.647
35.098 -114.644
35.097 -114.643
35.096 -114.642
35.093 -114.634
35.089 -114.623
35.085 -114.616
35.083 -114.613
35.082 -114.612
35.075 -114.605
35.074 -114.605
35.069 -114.603
35.064 -114.604
35.059 -114.607
35.053 -114.615
35.051 -114.618
35.045 -114.627
35.034 -114.632
35.025 -114.633
35.017 -114.634
35.01 -114.634
35.008 -114.634
35.002 -114.633
35.018 -114.653
35.036 -114.675
35.043 -114.684
35.14 -114.804
35.14 -114.805
35.176 -114.849
35.177 -114.851
35.237 -114.925
35.25 -114.942
35.332 -115.044
35.375 -115.098
35.379 -115.103
35.397 -115.126
35.413 -115.146
35.414 -115.147
35.424 -115.16
35.424 -115.161
35.476 -115.225
35.513 -115.271
35.538 -115.304
35.607 -115.391
35.607 -115.392
35.609 -115.394
35.618 -115.405
35.619 -115.406
35.625 -115.413
35.693 -115.501
35.73 -115.548
35.732 -115.55
35.735 -115.553
35.765 -115.591
35.792 -115.626
35.794 -115.627
35.809 -115.647
35.809 -115.648
35.827 -115.669
35.842 -115.689
35.889 -115.751
35.893 -115.756
35.895 -115.758
35.949 -115.826
35.97 -115.853
35.973 -115.858
36 -115.893
36.004 -115.898
36.015 -115.913
36.054 -115.963
36.067 -115.979
36.08 -115.996
36.127 -116.056
36.145 -116.08
36.156 -116.094
36.158 -116.097
36.167 -116.108
36.23 -116.19
36.245 -116.21
36.277 -116.251
36.341 -116.335
36.373 -116.376
36.375 -116.38
36.459 -116.488
36.468 -116.501
36.5 -116.542
36.627 -116.71
36.793 -116.928
36.848 -117.001
36.896 -117.067
36.946 -117.132
36.971 -117.166
37.03 -117.245
37.045 -117.266
37.127 -117.376
37.22 -117.5
37.22 -117.501
37.25 -117.541
37.279 -117.581
37.353 -117.681
37.375 -117.712
37.465 -117.833
37.49 -117.867
37.497 -117.876
37.516 -117.905
37.569 -117.976
37.615 -118.04
37.625 -118.052
37.769 -118.251
37.896 -118.428
37.92 -118.461
37.949 -118.501
38 -118.572
38.034 -118.622
38.102 -118.714
38.125 -118.747
38.142 -118.772
38.161 -118.798
38.173 -118.815
38.205 -118.859
38.25 -118.923
38.269 -118.95
38.304 -119.001
38.325 -119.03
38.361 -119.082
38.373 -119.097
38.393 -119.126
38.413 -119.155
38.415 -119.157
38.469 -119.235
38.481 -119.251
38.5 -119.279
38.535 -119.328
38.536 -119.329
38.538 -119.333
38.563 -119.37
38.567 -119.376
38.62 -119.451
38.65 -119.494
38.713 -119.585
38.714 -119.587
38.715 -119.588
38.762 -119.657
38.789 -119.696
38.847 -119.779
38.892 -119.844
38.931 -119.901
38.933 -119.904
38.957 -119.939
38.959 -119.942
38.961 -119.945
38.964 -119.95
38.966 -119.951
38.975 -119.966
38.993 -119.992
39 -120.001
39.007 -120.001
39.036 -120.002
39.067 -120.002
39.113 -120.003
39.133 -120.004
39.166 -120.005
39.223 -120.006
39.225 -120.006
39.229 -120.006
39.236 -120.006
39.276 -120.005
39.279 -120.005
39.28 -120.005
39.291 -120.005
39.313 -120.005
39.314 -120.005
39.316 -120.005
39.33 -120.005
39.375 -120.004
39.38 -120.004
39.445 -120.003
39.457 -120.003
39.465 -120.003
39.502 -120.002
39.504 -120.002
39.505 -120.002
39.539 -120.002
39.579 -120.002
39.582 -120.002
39.645 -120.001
39.675 -120.001
39.722 -120.001
39.735 -120.001
39.78 -120.001
39.781 -120.001
39.851 -120
39.894 -119.999
39.904 -119.999
39.924 -119.998
39.939 -119.998
39.957 -119.998
39.974 -119.998
40.072 -119.997
40.077 -119.997
40.092 -119.997
40.126 -119.997
40.245 -119.996
40.262 -119.996
40.264 -119.996
40.321 -119.996
40.322 -119.996
40.5 -119.996
40.581 -119.997
40.721 -119.998
40.75 -119.998
40.866 -119.999
40.867 -119.999
40.873 -119.999
41.184 -120
41.5 -119.999
41.619 -119.998
41.625 -119.999
41.75 -119.998
41.875 -119.999
41.995 -119.999
41.996 -119.987
41.997 -119.876
41.998 -119.873
41.997 -119.849
41.998 -119.79
41.996 -119.726
41.995 -119.445
41.994 -119.36
41.994 -119.324
41.994 -119.251
41.994 -119.232
41.993 -119.208
41.994 -119.001
41.992 -118.796
41.993 -118.777
41.993 -118.776
41.992 -118.696
41.994 -118.602
41.995 -118.501
41.996 -118.417
41.996 -118.347
41.997 -118.197
41.997 -118.124
41.998 -117.887
41.998 -117.873
41.998 -117.863
41.998 -117.657
41.998 -117.632
41.998 -117.626
41.998 -117.625
41.998 -117.624
41.999 -117.617
41.999 -117.53
42 -117.443
41.999 -117.404
42 -117.218
42 -117.208
42 -117.198
42 -117.167
42 -117.081
42 -117.069
42 -117.055
41.999 -117.049
42 -117.041
42 -117.026
