segment Michigan
46.838 -89.468
46.839 -89.44
46.839 -89.438
46.84 -89.437
46.84 -89.436
46.844 -89.415
46.857 -89.372
46.858 -89.371
46.867 -89.345
46.871 -89.336
46.871 -89.335
46.875 -89.325
46.875 -89.324
46.878 -89.318
46.882 -89.307
46.887 -89.292
46.889 -89.288
46.89 -89.284
46.893 -89.276
46.903 -89.249
46.912 -89.23
46.913 -89.228
46.914 -89.226
46.931 -89.202
46.935 -89.198
46.947 -89.186
46.966 -89.168
46.985 -89.143
46.993 -89.129
46.993 -89.123
46.994 -89.123
46.994 -89.118
46.992 -89.116
46.989 -89.113
46.986 -89.106
46.986 -89.091
46.985 -89.087
46.986 -89.084
46.986 -89.08
46.988 -89.066
46.989 -89.063
46.989 -89.062
46.99 -89.061
46.991 -89.058
46.995 -89.05
46.999 -89.039
47.001 -89.029
47 -89.028
46.995 -89.023
46.995 -88.998
46.997 -88.987
47.002 -88.973
47.008 -88.959
47.02 -88.945
47.02 -88.944
47.021 -88.943
47.032 -88.933
47.042 -88.925
47.042 -88.924
47.059 -88.914
47.06 -88.914
47.064 -88.912
47.075 -88.908
47.086 -88.904
47.09 -88.9
47.101 -88.889
47.107 -88.873
47.114 -88.855
47.115 -88.848
47.116 -88.848
47.133 -88.826
47.141 -88.815
47.151 -88.79
47.15 -88.778
47.155 -88.767
47.155 -88.765
47.156 -88.764
47.168 -88.75
47.185 -88.731
47.186 -88.73
47.205 -88.7
47.219 -88.672
47.226 -88.656
47.226 -88.647
47.227 -88.64
47.228 -88.637
47.229 -88.634
47.231 -88.629
47.232 -88.625
47.232 -88.624
47.239 -88.61
47.242 -88.585
47.243 -88.584
47.246 -88.574
47.26 -88.552
47.276 -88.528
47.286 -88.512
47.287 -88.511
47.294 -88.501
47.295 -88.499
47.306 -88.486
47.313 -88.478
47.314 -88.478
47.326 -88.472
47.327 -88.471
47.328 -88.47
47.33 -88.469
47.337 -88.462
47.34 -88.459
47.341 -88.458
47.361 -88.432
47.371 -88.419
47.381 -88.397
47.384 -88.39
47.384 -88.389
47.387 -88.381
47.388 -88.378
47.393 -88.361
47.404 -88.324
47.412 -88.303
47.415 -88.299
47.422 -88.285
47.424 -88.274
47.43 -88.239
47.431 -88.237
47.435 -88.227
47.442 -88.218
47.445 -88.217
47.449 -88.218
47.451 -88.209
47.457 -88.183
47.458 -88.182
47.458 -88.181
47.459 -88.165
47.46 -88.151
47.463 -88.14
47.469 -88.085
47.468 -88.08
47.468 -88.076
47.47 -88.051
47.47 -88.049
47.47 -88.048
47.475 -88.048
47.476 -88.04
47.476 -88.035
47.477 -88.028
47.478 -87.998
47.479 -87.979
47.479 -87.957
47.479 -87.955
47.479 -87.929
47.478 -87.92
47.477 -87.902
47.475 -87.898
47.472 -87.817
47.473 -87.801
47.461 -87.757
47.449 -87.731
47.44 -87.716
47.406 -87.71
47.401 -87.712
47.401 -87.721
47.406 -87.742
47.405 -87.751
47.403 -87.759
47.399 -87.765
47.392 -87.8
47.385 -87.815
47.386 -87.827
47.39 -87.835
47.395 -87.848
47.395 -87.857
47.396 -87.882
47.39 -87.942
47.387 -87.957
47.374 -87.965
47.369 -87.966
47.363 -87.963
47.357 -87.955
47.355 -87.947
47.347 -87.939
47.342 -87.938
47.336 -87.943
47.334 -87.946
47.334 -87.958
47.333 -87.969
47.323 -87.989
47.306 -88.016
47.298 -88.055
47.296 -88.06
47.287 -88.071
47.261 -88.097
47.259 -88.107
47.259 -88.109
47.255 -88.117
47.24 -88.132
47.216 -88.163
47.209 -88.194
47.21 -88.205
47.209 -88.212
47.2 -88.228
47.199 -88.229
47.189 -88.237
47.176 -88.242
47.175 -88.242
47.172 -88.242
47.171 -88.242
47.158 -88.243
47.151 -88.239
47.149 -88.237
47.149 -88.235
47.15 -88.232
47.146 -88.232
47.139 -88.24
47.136 -88.248
47.136 -88.25
47.14 -88.251
47.144 -88.255
47.145 -88.263
47.144 -88.272
47.138 -88.282
47.13 -88.289
47.127 -88.29
47.125 -88.288
47.12 -88.287
47.115 -88.288
47.099 -88.298
47.08 -88.34
47.079 -88.347
47.076 -88.35
47.069 -88.353
47.058 -88.354
47.048 -88.357
47.04 -88.359
47.019 -88.368
47.012 -88.374
47.012 -88.375
47.01 -88.378
47.005 -88.386
46.983 -88.405
46.978 -88.411
46.977 -88.418
46.974 -88.434
46.972 -88.444
46.947 -88.449
46.94 -88.45
46.939 -88.451
46.931 -88.453
46.923 -88.455
46.89 -88.474
46.886 -88.476
46.882 -88.476
46.866 -88.477
46.852 -88.478
46.851 -88.478
46.846 -88.479
46.834 -88.483
46.832 -88.484
46.831 -88.483
46.828 -88.483
46.826 -88.483
46.806 -88.473
46.799 -88.469
46.787 -88.462
46.787 -88.446
46.787 -88.438
46.794 -88.434
46.812 -88.415
46.838 -88.381
46.844 -88.382
46.846 -88.382
46.848 -88.382
46.85 -88.381
46.852 -88.38
46.855 -88.378
46.857 -88.376
46.858 -88.372
46.857 -88.369
46.856 -88.361
46.857 -88.353
46.857 -88.352
46.86 -88.348
46.872 -88.332
46.89 -88.31
46.897 -88.298
46.907 -88.281
46.911 -88.271
46.916 -88.262
46.919 -88.257
46.93 -88.244
46.933 -88.235
46.949 -88.194
46.955 -88.178
46.959 -88.167
46.965 -88.155
46.967 -88.144
46.966 -88.141
46.962 -88.133
46.959 -88.135
46.947 -88.147
46.944 -88.15
46.943 -88.151
46.919 -88.188
46.913 -88.183
46.905 -88.175
46.905 -88.162
46.91 -88.127
46.917 -88.101
46.92 -88.082
46.919 -88.065
46.912 -88.045
46.909 -88.032
46.907 -88.004
46.906 -87.986
46.906 -87.982
46.907 -87.973
46.909 -87.956
46.91 -87.913
46.91 -87.9
46.901 -87.887
46.893 -87.875
46.884 -87.846
46.884 -87.841
46.89 -87.827
46.891 -87.817
46.888 -87.813
46.881 -87.793
46.88 -87.783
46.88 -87.782
46.877 -87.777
46.873 -87.776
46.87 -87.779
46.867 -87.777
46.867 -87.776
46.861 -87.766
46.86 -87.756
46.861 -87.755
46.865 -87.747
46.865 -87.741
46.851 -87.735
46.85 -87.735
46.847 -87.737
46.837 -87.734
46.832 -87.732
46.831 -87.732
46.831 -87.731
46.828 -87.727
46.828 -87.726
46.826 -87.714
46.827 -87.695
46.833 -87.686
46.839 -87.688
46.842 -87.687
46.842 -87.681
46.842 -87.68
46.837 -87.675
46.828 -87.673
46.824 -87.674
46.82 -87.672
46.816 -87.663
46.815 -87.662
46.815 -87.661
46.813 -87.653
46.812 -87.652
46.814 -87.642
46.812 -87.633
46.805 -87.628
46.791 -87.612
46.788 -87.608
46.788 -87.607
46.783 -87.595
46.777 -87.594
46.769 -87.593
46.753 -87.591
46.732 -87.583
46.731 -87.583
46.73 -87.582
46.72 -87.573
46.711 -87.558
46.707 -87.552
46.703 -87.546
46.695 -87.533
46.69 -87.526
46.688 -87.523
46.686 -87.524
46.679 -87.524
46.678 -87.524
46.669 -87.519
46.653 -87.507
46.647 -87.503
46.643 -87.493
46.636 -87.471
46.636 -87.468
46.632 -87.467
46.626 -87.468
46.615 -87.464
46.606 -87.451
46.603 -87.443
46.602 -87.411
46.597 -87.405
46.595 -87.403
46.593 -87.384
46.58 -87.382
46.573 -87.393
46.571 -87.393
46.557 -87.384
46.554 -87.382
46.549 -87.378
46.548 -87.376
46.547 -87.376
46.546 -87.379
46.546 -87.38
46.543 -87.39
46.539 -87.392
46.537 -87.393
46.534 -87.394
46.533 -87.394
46.527 -87.391
46.524 -87.389
46.519 -87.383
46.517 -87.381
46.517 -87.38
46.508 -87.368
46.507 -87.367
46.507 -87.366
46.506 -87.365
46.506 -87.364
46.501 -87.352
46.501 -87.351
46.492 -87.311
46.488 -87.259
46.491 -87.202
46.498 -87.175
46.495 -87.144
46.494 -87.127
46.495 -87.116
46.496 -87.108
46.504 -87.099
46.515 -87.077
46.52 -87.046
46.526 -87.03
46.534 -87.017
46.533 -87.009
46.527 -86.977
46.517 -86.965
46.51 -86.963
46.493 -86.952
46.485 -86.947
46.479 -86.946
46.477 -86.949
46.476 -86.95
46.476 -86.949
46.472 -86.947
46.465 -86.928
46.466 -86.913
46.466 -86.904
46.458 -86.889
46.451 -86.884
46.448 -86.884
46.442 -86.884
46.441 -86.882
46.438 -86.876
46.437 -86.875
46.437 -86.872
46.434 -86.85
46.434 -86.837
46.438 -86.816
46.45 -86.811
46.461 -86.809
46.467 -86.804
46.478 -86.788
46.479 -86.769
46.479 -86.75
46.475 -86.736
46.472 -86.731
46.468 -86.731
46.445 -86.711
46.439 -86.703
46.439 -86.699
46.439 -86.698
46.455 -86.686
46.463 -86.689
46.472 -86.686
46.498 -86.684
46.503 -86.696
46.512 -86.702
46.544 -86.709
46.555 -86.696
46.561 -86.678
46.557 -86.676
46.556 -86.671
46.558 -86.656
46.561 -86.653
46.534 -86.627
46.518 -86.629
46.509 -86.632
46.505 -86.635
46.5 -86.641
46.492 -86.646
46.486 -86.646
46.478 -86.637
46.478 -86.627
46.484 -86.621
46.489 -86.618
46.493 -86.612
46.493 -86.609
46.479 -86.607
46.47 -86.609
46.467 -86.598
46.467 -86.597
46.463 -86.586
46.487 -86.558
46.505 -86.525
46.525 -86.495
46.526 -86.494
46.536 -86.484
46.543 -86.482
46.551 -86.469
46.552 -86.46
46.548 -86.444
46.549 -86.437
46.563 -86.39
46.572 -86.365
46.578 -86.35
46.654 -86.188
46.669 -86.162
46.673 -86.138
46.657 -86.12
46.655 -86.112
46.655 -86.1
46.658 -86.074
46.668 -86.037
46.674 -85.995
46.677 -85.954
46.685 -85.924
46.691 -85.878
46.69 -85.864
46.689 -85.841
46.681 -85.795
46.678 -85.761
46.677 -85.751
46.677 -85.745
46.677 -85.714
46.68 -85.669
46.68 -85.647
46.679 -85.625
46.676 -85.595
46.675 -85.587
46.674 -85.543
46.676 -85.511
46.676 -85.51
46.676 -85.509
46.68 -85.482
46.714 -85.37
46.745 -85.29
46.745 -85.289
46.753 -85.257
46.756 -85.237
46.764 -85.173
46.758 -85.064
46.76 -85.036
46.769 -85.009
46.772 -84.989
46.773 -84.965
46.771 -84.954
46.769 -84.952
46.745 -84.988
46.728 -85.008
46.712 -85.02
46.697 -85.028
46.685 -85.03
46.675 -85.028
46.625 -85.035
46.601 -85.037
46.582 -85.035
46.569 -85.032
46.554 -85.03
46.554 -85.027
46.546 -85.025
46.543 -85.027
46.538 -85.046
46.533 -85.053
46.527 -85.056
46.515 -85.055
46.504 -85.05
46.488 -85.034
46.483 -85.026
46.48 -85.015
46.478 -84.989
46.476 -84.969
46.48 -84.955
46.487 -84.947
46.489 -84.937
46.48 -84.934
46.47 -84.922
46.468 -84.917
46.468 -84.915
46.467 -84.906
46.465 -84.893
46.467 -84.875
46.47 -84.861
46.46 -84.85
46.449 -84.844
46.444 -84.829
46.446 -84.8
46.454 -84.769
46.468 -84.723
46.484 -84.69
46.488 -84.678
46.482 -84.654
46.485 -84.631
46.472 -84.616
46.465 -84.613
46.457 -84.608
46.447 -84.595
46.439 -84.584
46.428 -84.574
46.428 -84.573
46.419 -84.552
46.419 -84.551
46.439 -84.504
46.44 -84.493
46.438 -84.489
46.433 -84.48
46.434 -84.472
46.441 -84.463
46.454 -84.456
46.463 -84.455
46.467 -84.463
46.489 -84.445
46.501 -84.42
46.5 -84.401
46.499 -84.395
46.5 -84.393
46.502 -84.388
46.509 -84.375
46.509 -84.374
46.508 -84.344
46.506 -84.338
46.502 -84.329
46.5 -84.325
46.496 -84.306
46.493 -84.293
46.493 -84.276
46.494 -84.265
46.495 -84.264
46.501 -84.254
46.534 -84.226
46.54 -84.194
46.527 -84.177
46.526 -84.166
46.528 -84.153
46.531 -84.147
46.532 -84.139
46.53 -84.129
46.521 -84.123
46.518 -84.118
46.504 -84.111
46.47 -84.125
46.419 -84.146
46.372 -84.139
46.337 -84.119
46.322 -84.106
46.315 -84.119
46.315 -84.12
46.268 -84.116
46.257 -84.098
46.241 -84.108
46.234 -84.118
46.233 -84.125
46.232 -84.135
46.225 -84.146
46.224 -84.147
46.224 -84.149
46.224 -84.151
46.224 -84.152
46.225 -84.152
46.226 -84.152
46.228 -84.153
46.233 -84.159
46.235 -84.175
46.235 -84.177
46.235 -84.182
46.235 -84.183
46.235 -84.188
46.232 -84.219
46.224 -84.233
46.206 -84.249
46.193 -84.245
46.18 -84.248
46.176 -84.251
46.17 -84.238
46.167 -84.229
46.163 -84.221
46.163 -84.218
46.166 -84.197
46.172 -84.191
46.184 -84.177
46.182 -84.172
46.182 -84.17
46.182 -84.169
46.181 -84.15
46.18 -84.125
46.179 -84.123
46.174 -84.115
46.169 -84.113
46.159 -84.106
46.151 -84.1
46.148 -84.096
46.146 -84.089
46.146 -84.06
46.132 -84.027
46.123 -84.031
46.126 -84.039
46.12 -84.052
46.113 -84.061
46.104 -84.069
46.097 -84.072
46.092 -84.072
46.087 -84.066
46.079 -84.052
46.071 -84.044
46.055 -84.028
46.045 -84.006
46.033 -83.99
46.028 -83.964
46.029 -83.951
46.031 -83.944
46.029 -83.939
46.02 -83.935
46.018 -83.931
46.016 -83.926
46.011 -83.909
45.999 -83.901
45.995 -83.88
45.993 -83.873
45.995 -83.868
46.026 -83.845
46.022 -83.83
46.002 -83.818
46.002 -83.815
45.997 -83.799
45.996 -83.794
46.004 -83.776
46.01 -83.772
46.018 -83.765
46.032 -83.765
46.051 -83.774
46.057 -83.797
46.073 -83.813
46.104 -83.824
46.109 -83.816
46.109 -83.812
46.102 -83.793
46.094 -83.78
46.091 -83.772
46.092 -83.756
46.091 -83.728
46.094 -83.723
46.101 -83.72
46.103 -83.704
46.1 -83.661
46.104 -83.635
46.102 -83.626
46.096 -83.615
46.09 -83.599
46.09 -83.581
46.084 -83.576
46.075 -83.573
46.07 -83.573
46.062 -83.565
46.059 -83.554
46.048 -83.547
46.037 -83.543
46.021 -83.541
46.011 -83.533
46 -83.495
46 -83.488
45.996 -83.481
45.989 -83.474
45.984 -83.473
45.972 -83.482
45.969 -83.489
45.929 -83.511
45.924 -83.517
45.919 -83.526
45.913 -83.562
45.916 -83.583
45.932 -83.632
45.945 -83.658
45.935 -83.688
45.935 -83.698
45.934 -83.719
45.938 -83.733
45.938 -83.743
45.935 -83.766
45.932 -83.769
45.933 -83.786
45.938 -83.801
45.943 -83.803
45.946 -83.808
45.944 -83.823
45.941 -83.828
45.942 -83.836
45.953 -83.841
45.953 -83.846
45.959 -83.865
45.966 -83.88
45.968 -83.881
45.968 -83.886
45.966 -83.911
45.958 -83.921
45.959 -83.927
45.965 -83.952
45.967 -83.985
45.961 -83.996
45.959 -84.018
45.97 -84.076
45.971 -84.08
45.967 -84.09
45.968 -84.091
45.973 -84.105
45.977 -84.107
45.979 -84.111
45.978 -84.113
45.978 -84.114
45.975 -84.14
45.975 -84.141
45.967 -84.169
45.966 -84.172
45.969 -84.178
45.969 -84.203
45.968 -84.238
45.956 -84.255
45.956 -84.262
45.956 -84.266
45.956 -84.282
45.956 -84.317
45.956 -84.33
45.949 -84.342
45.947 -84.345
45.942 -84.353
45.94 -84.357
45.932 -84.376
45.949 -84.41
45.958 -84.429
45.972 -84.436
45.972 -84.437
45.974 -84.438
45.978 -84.443
45.969 -84.463
45.974 -84.472
45.978 -84.48
45.982 -84.483
45.985 -84.482
45.988 -84.484
45.989 -84.489
45.991 -84.507
45.987 -84.514
45.971 -84.514
45.969 -84.525
45.969 -84.532
45.973 -84.534
45.978 -84.535
45.991 -84.53
46.006 -84.533
46.02 -84.541
46.023 -84.544
46.032 -84.563
46.032 -84.564
46.031 -84.581
46.027 -84.587
46.026 -84.609
46.029 -84.613
46.039 -84.63
46.05 -84.648
46.052 -84.655
46.053 -84.657
46.05 -84.667
46.047 -84.675
46.046 -84.676
46.045 -84.677
46.035 -84.687
46.027 -84.693
46.017 -84.693
46.014 -84.692
45.993 -84.689
45.979 -84.686
45.978 -84.684
45.973 -84.685
45.971 -84.688
45.971 -84.696
45.971 -84.704
45.967 -84.723
45.961 -84.73
45.946 -84.739
45.942 -84.739
45.934 -84.734
45.933 -84.733
45.927 -84.719
45.92 -84.714
45.916 -84.713
45.911 -84.725
45.907 -84.734
45.897 -84.73
45.895 -84.729
45.877 -84.723
45.874 -84.721
45.866 -84.715
45.861 -84.71
45.853 -84.701
45.85 -84.702
45.849 -84.705
45.849 -84.706
45.849 -84.708
45.848 -84.713
45.848 -84.717
45.848 -84.721
45.847 -84.723
45.842 -84.724
45.837 -84.726
45.836 -84.746
45.836 -84.747
45.838 -84.753
45.839 -84.754
45.842 -84.76
45.847 -84.769
45.85 -84.776
45.859 -84.793
45.868 -84.82
45.872 -84.831
45.872 -84.832
45.882 -84.838
45.887 -84.838
45.889 -84.838
45.893 -84.84
45.895 -84.841
45.898 -84.842
45.9 -84.853
45.903 -84.859
45.909 -84.871
45.91 -84.873
45.913 -84.877
45.916 -84.88
45.924 -84.903
45.931 -84.917
45.932 -84.919
45.955 -84.936
45.955 -84.937
45.956 -84.937
45.986 -84.974
45.998 -84.991
46.006 -85.004
46.011 -85.014
46.019 -85.042
46.023 -85.056
46.027 -85.081
46.028 -85.089
46.032 -85.103
46.037 -85.113
46.039 -85.116
46.046 -85.13
46.05 -85.141
46.051 -85.152
46.048 -85.191
46.045 -85.198
46.053 -85.21
46.056 -85.215
46.058 -85.218
46.061 -85.222
46.061 -85.223
46.061 -85.224
46.062 -85.237
46.064 -85.248
46.064 -85.254
46.066 -85.266
46.07 -85.279
46.072 -85.288
46.073 -85.29
46.076 -85.295
46.087 -85.316
46.092 -85.334
46.093 -85.336
46.093 -85.338
46.092 -85.343
46.092 -85.356
46.089 -85.362
46.087 -85.367
46.082 -85.381
46.091 -85.39
46.095 -85.394
46.096 -85.394
46.101 -85.412
46.102 -85.427
46.096 -85.442
46.094 -85.442
46.093 -85.44
46.091 -85.441
46.085 -85.447
46.088 -85.454
46.096 -85.478
46.096 -85.481
46.097 -85.499
46.097 -85.5
46.097 -85.502
46.095 -85.512
46.095 -85.513
46.093 -85.518
46.091 -85.521
46.091 -85.522
46.09 -85.523
46.087 -85.529
46.085 -85.532
46.084 -85.534
46.08 -85.541
46.065 -85.56
46.059 -85.567
46.038 -85.594
46.03 -85.604
46.025 -85.607
46.015 -85.613
46.008 -85.618
45.984 -85.649
45.974 -85.655
45.967 -85.664
45.962 -85.689
45.96 -85.697
45.965 -85.724
45.965 -85.732
45.965 -85.744
45.969 -85.758
45.971 -85.771
45.978 -85.791
45.98 -85.81
45.979 -85.818
45.976 -85.826
45.968 -85.833
45.965 -85.842
45.968 -85.859
45.968 -85.861
45.968 -85.865
45.969 -85.88
45.969 -85.881
45.969 -85.882
45.967 -85.893
45.966 -85.896
45.959 -85.909
45.948 -85.923
45.939 -85.926
45.938 -85.926
45.936 -85.926
45.932 -85.926
45.928 -85.917
45.922 -85.91
45.919 -85.914
45.921 -85.921
45.929 -85.938
45.937 -85.954
45.949 -85.992
45.95 -85.995
45.951 -85.999
45.952 -86.003
45.962 -86.051
45.965 -86.068
45.965 -86.072
45.966 -86.091
45.967 -86.094
45.967 -86.095
45.965 -86.117
45.965 -86.124
45.96 -86.136
45.957 -86.146
45.956 -86.148
45.954 -86.15
45.954 -86.158
45.954 -86.159
45.954 -86.16
45.955 -86.165
45.958 -86.175
45.963 -86.197
45.963 -86.207
45.963 -86.208
45.963 -86.209
45.959 -86.221
45.958 -86.222
45.957 -86.222
45.949 -86.229
45.948 -86.229
45.946 -86.233
45.946 -86.234
45.946 -86.235
45.945 -86.246
45.945 -86.248
45.949 -86.255
45.944 -86.272
45.942 -86.278
45.915 -86.316
45.914 -86.317
45.906 -86.324
45.9 -86.325
45.893 -86.326
45.888 -86.327
45.881 -86.328
45.861 -86.331
45.852 -86.333
45.844 -86.34
45.836 -86.347
45.834 -86.349
45.805 -86.355
45.803 -86.354
45.798 -86.352
45.793 -86.359
45.79 -86.364
45.789 -86.37
45.789 -86.373
45.79 -86.396
45.792 -86.398
45.795 -86.401
45.795 -86.402
45.794 -86.416
45.79 -86.425
45.786 -86.428
45.785 -86.428
45.784 -86.429
45.783 -86.429
45.782 -86.429
45.779 -86.427
45.776 -86.428
45.768 -86.432
45.761 -86.44
45.757 -86.453
45.757 -86.456
45.758 -86.46
45.76 -86.466
45.757 -86.479
45.747 -86.486
45.749 -86.496
45.754 -86.504
45.752 -86.515
45.748 -86.518
45.736 -86.523
45.721 -86.525
45.711 -86.533
45.708 -86.537
45.708 -86.541
45.716 -86.571
45.712 -86.581
45.707 -86.584
45.705 -86.586
45.682 -86.585
45.666 -86.588
45.666 -86.594
45.67 -86.611
45.667 -86.62
45.664 -86.625
45.659 -86.628
45.621 -86.617
45.607 -86.617
45.613 -86.624
45.618 -86.633
45.616 -86.648
45.622 -86.666
45.634 -86.687
45.64 -86.689
45.648 -86.695
45.649 -86.708
45.668 -86.718
45.677 -86.718
45.684 -86.716
45.691 -86.705
45.688 -86.689
45.692 -86.676
45.702 -86.666
45.709 -86.666
45.711 -86.669
45.721 -86.671
45.729 -86.663
45.733 -86.647
45.748 -86.633
45.764 -86.635
45.782 -86.631
45.784 -86.617
45.779 -86.612
45.775 -86.598
45.778 -86.585
45.778 -86.583
45.789 -86.577
45.792 -86.581
45.795 -86.582
45.801 -86.577
45.805 -86.571
45.804 -86.563
45.808 -86.557
45.813 -86.556
45.822 -86.559
45.832 -86.555
45.836 -86.55
45.836 -86.546
45.84 -86.539
45.853 -86.529
45.857 -86.528
45.875 -86.53
45.883 -86.533
45.89 -86.541
45.896 -86.554
45.901 -86.568
45.899 -86.583
45.897 -86.585
45.885 -86.593
45.877 -86.603
45.876 -86.614
45.868 -86.626
45.86 -86.633
45.843 -86.632
45.834 -86.646
45.845 -86.721
45.849 -86.729
45.865 -86.742
45.868 -86.75
45.867 -86.758
45.864 -86.77
45.86 -86.782
45.855 -86.784
45.83 -86.782
45.827 -86.777
45.825 -86.776
45.822 -86.775
45.811 -86.773
45.795 -86.786
45.78 -86.801
45.77 -86.822
45.765 -86.824
45.761 -86.821
45.757 -86.822
45.742 -86.839
45.736 -86.84
45.729 -86.842
45.722 -86.839
45.71 -86.87
45.712 -86.877
45.711 -86.895
45.71 -86.904
45.698 -86.921
45.696 -86.944
45.673 -86.964
45.675 -86.967
45.685 -86.967
45.692 -86.97
45.696 -86.981
45.706 -86.985
45.72 -86.982
45.729 -86.978
45.753 -86.975
45.766 -86.981
45.792 -86.982
45.811 -86.988
45.825 -87
45.832 -87.005
45.832 -87.006
45.839 -87.019
45.837 -87.031
45.835 -87.038
45.834 -87.04
45.83 -87.044
45.822 -87.052
45.812 -87.057
45.811 -87.058
45.81 -87.058
45.802 -87.059
45.801 -87.059
45.795 -87.059
45.788 -87.058
45.779 -87.058
45.778 -87.059
45.777 -87.059
45.767 -87.064
45.759 -87.064
45.753 -87.062
45.752 -87.056
45.75 -87.054
45.748 -87.053
45.747 -87.053
45.745 -87.054
45.738 -87.057
45.737 -87.057
45.733 -87.062
45.719 -87.07
45.714 -87.066
45.709 -87.06
45.708 -87.06
45.707 -87.068
45.704 -87.08
45.701 -87.095
45.7 -87.097
45.699 -87.099
45.698 -87.099
45.695 -87.1
45.686 -87.112
45.682 -87.129
45.674 -87.146
45.673 -87.148
45.666 -87.163
45.662 -87.172
45.657 -87.177
45.648 -87.185
45.646 -87.187
45.645 -87.189
45.642 -87.192
45.636 -87.197
45.622 -87.208
45.611 -87.215
45.601 -87.223
45.599 -87.224
45.59 -87.233
45.589 -87.235
45.569 -87.25
45.553 -87.263
45.552 -87.263
45.55 -87.264
45.517 -87.281
45.502 -87.289
45.501 -87.289
45.5 -87.289
45.476 -87.306
45.475 -87.306
45.466 -87.318
45.465 -87.319
45.465 -87.32
45.447 -87.333
45.442 -87.334
45.437 -87.333
45.432 -87.33
45.43 -87.326
45.425 -87.328
45.415 -87.336
45.408 -87.35
45.408 -87.351
45.4 -87.36
45.389 -87.364
45.384 -87.371
45.375 -87.385
45.371 -87.39
45.369 -87.392
45.369 -87.393
45.364 -87.395
45.349 -87.4
45.339 -87.41
45.323 -87.425
45.318 -87.43
45.317 -87.431
45.316 -87.432
45.306 -87.437
45.293 -87.439
45.274 -87.465
45.273 -87.465
45.24 -87.497
45.224 -87.512
45.208 -87.531
45.204 -87.535
45.192 -87.549
45.191 -87.55
45.184 -87.563
45.182 -87.567
45.181 -87.567
45.178 -87.57
45.172 -87.579
45.168 -87.583
45.167 -87.584
45.166 -87.586
45.164 -87.588
45.152 -87.597
45.151 -87.598
45.147 -87.601
45.144 -87.603
45.143 -87.603
45.142 -87.604
45.135 -87.608
45.132 -87.609
45.123 -87.612
45.117 -87.611
45.115 -87.61
45.114 -87.61
45.113 -87.609
45.108 -87.605
45.103 -87.6
45.096 -87.59
45.096 -87.589
45.097 -87.586
45.097 -87.585
45.097 -87.582
45.097 -87.584
45.095 -87.59
45.095 -87.592
45.1 -87.615
