segment Arizona
33.508 -114.574
33.509 -114.57
33.517 -114.561
33.518 -114.561
33.524 -114.561
33.531 -114.56
33.532 -114.559
33.542 -114.542
33.552 -114.525
33.553 -114.525
33.554 -114.524
33.557 -114.527
33.569 -114.536
33.581 -114.54
33.591 -114.541
33.602 -114.533
33.607 -114.529
33.609 -114.527
33.611 -114.525
33.614 -114.525
33.617 -114.526
33.619 -114.528
33.623 -114.53
33.627 -114.53
33.629 -114.529
33.63 -114.528
33.633 -114.527
33.638 -114.527
33.639 -114.527
33.641 -114.528
33.643 -114.529
33.644 -114.529
33.648 -114.53
33.65 -114.53
33.653 -114.528
33.655 -114.527
33.656 -114.527
33.657 -114.526
33.658 -114.525
33.66 -114.525
33.662 -114.525
33.663 -114.526
33.664 -114.527
33.666 -114.528
33.668 -114.53
33.671 -114.531
33.675 -114.532
33.679 -114.53
33.683 -114.528
33.686 -114.524
33.688 -114.519
33.691 -114.512
33.693 -114.505
33.697 -114.496
33.698 -114.496
33.708 -114.494
33.714 -114.495
33.719 -114.497
33.722 -114.501
33.725 -114.503
33.728 -114.504
33.731 -114.507
33.732 -114.51
33.734 -114.512
33.742 -114.508
33.746 -114.506
33.751 -114.504
33.756 -114.504
33.76 -114.505
33.768 -114.507
33.788 -114.517
33.799 -114.52
33.815 -114.528
33.816 -114.527
33.819 -114.523
33.822 -114.521
33.825 -114.52
33.828 -114.52
33.835 -114.523
33.839 -114.526
33.848 -114.53
33.852 -114.529
33.855 -114.528
33.857 -114.527
33.858 -114.525
33.858 -114.517
33.859 -114.515
33.864 -114.506
33.866 -114.504
33.868 -114.503
33.875 -114.503
33.877 -114.504
33.883 -114.512
33.886 -114.517
33.887 -114.517
33.888 -114.518
33.89 -114.519
33.892 -114.519
33.893 -114.519
33.895 -114.518
33.896 -114.516
33.898 -114.514
33.899 -114.511
33.901 -114.509
33.902 -114.508
33.904 -114.508
33.906 -114.509
33.911 -114.512
33.918 -114.518
33.922 -114.525
33.924 -114.528
33.926 -114.534
33.928 -114.535
33.935 -114.535
33.948 -114.529
33.955 -114.522
33.956 -114.522
33.958 -114.516
33.957 -114.511
33.957 -114.51
33.957 -114.509
33.962 -114.5
33.967 -114.495
33.976 -114.485
33.978 -114.483
33.98 -114.482
33.981 -114.481
33.984 -114.476
33.988 -114.471
33.993 -114.468
33.993 -114.466
33.994 -114.462
33.995 -114.461
33.997 -114.46
33.999 -114.46
34.001 -114.461
34.004 -114.463
34.007 -114.463
34.008 -114.463
34.01 -114.461
34.011 -114.459
34.011 -114.455
34.013 -114.45
34.014 -114.449
34.016 -114.444
34.019 -114.441
34.023 -114.438
34.028 -114.436
34.038 -114.435
34.043 -114.436
34.05 -114.439
34.054 -114.439
34.058 -114.439
34.072 -114.438
34.08 -114.435
34.086 -114.434
34.087 -114.434
34.088 -114.433
34.093 -114.428
34.097 -114.426
34.103 -114.42
34.108 -114.416
34.11 -114.412
34.112 -114.406
34.112 -114.401
34.11 -114.391
34.116 -114.379
34.118 -114.369
34.119 -114.367
34.124 -114.36
34.13 -114.356
34.133 -114.353
34.134 -114.348
34.134 -114.336
34.137 -114.325
34.139 -114.321
34.145 -114.312
34.156 -114.302
34.157 -114.301
34.159 -114.299
34.167 -114.293
34.171 -114.287
34.172 -114.275
34.17 -114.268
34.174 -114.255
34.174 -114.254
34.18 -114.244
34.183 -114.241
34.187 -114.23
34.187 -114.229
34.189 -114.227
34.194 -114.225
34.202 -114.226
34.204 -114.225
34.205 -114.223
34.209 -114.215
34.212 -114.212
34.216 -114.208
34.231 -114.191
34.24 -114.178
34.242 -114.176
34.243 -114.176
34.245 -114.174
34.247 -114.173
34.248 -114.171
34.25 -114.167
34.252 -114.164
34.253 -114.164
34.255 -114.163
34.257 -114.162
34.258 -114.16
34.258 -114.157
34.258 -114.153
34.26 -114.147
34.26 -114.145
34.26 -114.139
34.261 -114.136
34.264 -114.135
34.266 -114.134
34.269 -114.135
34.274 -114.137
34.277 -114.137
34.281 -114.136
34.289 -114.138
34.296 -114.14
34.301 -114.138
34.303 -114.138
34.306 -114.141
34.318 -114.157
34.329 -114.163
34.34 -114.169
34.345 -114.173
34.349 -114.177
34.352 -114.181
34.354 -114.186
34.356 -114.191
34.361 -114.199
34.362 -114.214
34.366 -114.226
34.369 -114.23
34.377 -114.234
34.386 -114.245
34.388 -114.249
34.39 -114.253
34.401 -114.264
34.402 -114.268
34.403 -114.28
34.405 -114.287
34.407 -114.289
34.408 -114.29
34.411 -114.292
34.418 -114.292
34.421 -114.295
34.425 -114.299
34.427 -114.301
34.433 -114.312
34.433 -114.314
34.435 -114.318
34.436 -114.319
34.436 -114.321
34.437 -114.326
34.438 -114.326
34.445 -114.331
34.447 -114.332
34.448 -114.333
34.45 -114.335
34.45 -114.336
34.451 -114.338
34.451 -114.34
34.451 -114.343
34.451 -114.347
34.45 -114.356
34.448 -114.363
34.447 -114.373
34.447 -114.374
34.448 -114.376
34.45 -114.379
34.451 -114.379
34.458 -114.387
34.46 -114.387
34.462 -114.387
34.47 -114.384
34.476 -114.382
34.478 -114.382
34.489 -114.383
34.495 -114.382
34.496 -114.382
34.499 -114.381
34.503 -114.38
34.507 -114.378
34.517 -114.378
34.527 -114.38
34.53 -114.381
34.543 -114.39
34.57 -114.405
34.581 -114.422
34.592 -114.43
34.596 -114.43
34.597 -114.43
34.599 -114.427
34.601 -114.425
34.602 -114.424
34.61 -114.424
34.615 -114.429
34.621 -114.439
34.63 -114.441
34.632 -114.442
34.638 -114.44
34.643 -114.441
34.647 -114.444
34.651 -114.45
34.654 -114.452
34.657 -114.452
34.66 -114.453
34.664 -114.452
34.665 -114.452
34.667 -114.452
34.669 -114.453
34.671 -114.454
34.673 -114.455
34.676 -114.455
34.678 -114.457
34.686 -114.462
34.691 -114.465
34.702 -114.468
34.708 -114.469
34.711 -114.47
34.713 -114.472
34.714 -114.474
34.715 -114.477
34.716 -114.482
34.717 -114.484
34.719 -114.487
34.725 -114.491
34.726 -114.492
34.728 -114.496
34.731 -114.503
34.734 -114.51
34.737 -114.517
34.741 -114.521
34.744 -114.523
34.747 -114.526
34.751 -114.53
34.757 -114.54
34.762 -114.547
34.767 -114.553
34.774 -114.559
34.783 -114.564
34.786 -114.566
34.794 -114.571
34.806 -114.575
34.807 -114.575
34.815 -114.576
34.825 -114.581
34.826 -114.581
34.827 -114.581
34.835 -114.587
34.836 -114.587
34.841 -114.592
34.845 -114.598
34.847 -114.6
34.847 -114.601
34.848 -114.602
34.849 -114.603
34.85 -114.604
34.857 -114.62
34.86 -114.624
34.861 -114.625
34.866 -114.63
34.866 -114.631
34.867 -114.631
34.872 -114.634
34.873 -114.634
34.875 -114.635
34.886 -114.637
34.889 -114.637
34.895 -114.635
34.896 -114.635
34.907 -114.631
34.911 -114.631
34.912 -114.631
34.917 -114.632
34.921 -114.633
34.923 -114.633
34.925 -114.633
34.927 -114.633
34.928 -114.633
34.931 -114.632
34.939 -114.63
34.943 -114.63
34.945 -114.63
34.951 -114.632
34.959 -114.635
34.964 -114.635
34.965 -114.635
34.969 -114.635
34.981 -114.63
34.986 -114.629
34.992 -114.629
34.995 -114.63
35.002 -114.633
35.01 -114.634
35.017 -114.634
35.025 -114.633
35.026 -114.633
35.034 -114.632
35.045 -114.627
35.051 -114.618
35.053 -114.615
35.059 -114.607
35.064 -114.604
35.068 -114.603
35.069 -114.603
35.075 -114.605
35.079 -114.609
35.083 -114.613
35.089 -114.623
35.092 -114.632
35.093 -114.634
35.094 -114.636
35.097 -114.643
35.102 -114.647
35.105 -114.645
35.106 -114.644
35.108 -114.642
35.11 -114.64
35.114 -114.635
35.118 -114.631
35.118 -114.63
35.119 -114.628
35.12 -114.624
35.121 -114.621
35.122 -114.62
35.122 -114.619
35.122 -114.618
35.121 -114.613
35.121 -114.604
35.121 -114.599
35.124 -114.588
35.127 -114.582
35.129 -114.579
35.139 -114.573
35.161 -114.57
35.162 -114.57
35.163 -114.57
35.169 -114.569
35.172 -114.569
35.183 -114.569
35.187 -114.57
35.194 -114.571
35.2 -114.572
35.201 -114.572
35.206 -114.575
35.21 -114.58
35.23 -114.584
35.238 -114.583
35.262 -114.587
35.297 -114.597
35.314 -114.597
35.325 -114.596
35.354 -114.604
35.369 -114.611
35.391 -114.62
35.41 -114.627
35.429 -114.652
35.43 -114.652
35.432 -114.654
35.444 -114.662
35.445 -114.663
35.449 -114.665
35.454 -114.665
35.455 -114.665
35.464 -114.666
35.467 -114.666
35.482 -114.673
35.49 -114.678
35.498 -114.679
35.5 -114.679
35.501 -114.679
35.502 -114.679
35.513 -114.677
35.514 -114.677
35.518 -114.674
35.521 -114.668
35.524 -114.663
35.53 -114.658
35.534 -114.657
35.536 -114.657
35.539 -114.66
35.545 -114.662
35.564 -114.663
35.578 -114.666
35.58 -114.666
35.587 -114.66
35.598 -114.654
35.611 -114.653
35.619 -114.658
35.641 -114.677
35.651 -114.689
35.659 -114.69
35.665 -114.69
35.668 -114.688
35.678 -114.682
35.685 -114.681
35.686 -114.681
35.689 -114.683
35.695 -114.694
35.701 -114.701
35.708 -114.705
35.712 -114.705
35.734 -114.697
35.746 -114.696
35.756 -114.696
35.769 -114.701
35.79 -114.699
35.806 -114.712
35.81 -114.71
35.815 -114.704
35.825 -114.699
35.831 -114.696
35.834 -114.696
35.843 -114.7
35.848 -114.7
35.854 -114.698
35.855 -114.698
35.858 -114.692
35.863 -114.682
35.868 -114.679
35.872 -114.678
35.875 -114.677
35.876 -114.678
35.88 -114.679
35.885 -114.681
35.893 -114.69
35.902 -114.7
35.912 -114.709
35.921 -114.708
35.928 -114.708
35.935 -114.716
35.941 -114.729
35.944 -114.731
35.949 -114.73
35.956 -114.728
35.962 -114.73
35.968 -114.734
35.976 -114.741
35.985 -114.744
36.007 -114.743
36.009 -114.743
36.01 -114.743
36.011 -114.742
36.013 -114.741
36.014 -114.74
36.016 -114.738
36.022 -114.731
36.028 -114.73
36.031 -114.73
36.036 -114.734
36.038 -114.739
36.039 -114.74
36.041 -114.741
36.044 -114.74
36.049 -114.74
36.054 -114.737
36.058 -114.736
36.06 -114.737
36.071 -114.743
36.074 -114.748
36.079 -114.754
36.082 -114.755
36.087 -114.756
36.091 -114.754
36.097 -114.747
36.104 -114.736
36.108 -114.717
36.108 -114.71
36.109 -114.702
36.112 -114.689
36.116 -114.674
36.116 -114.671
36.117 -114.667
36.12 -114.663
36.124 -114.66
36.131 -114.65
36.142 -114.632
36.141 -114.628
36.132 -114.622
36.13 -114.617
36.134 -114.608
36.142 -114.597
36.149 -114.578
36.152 -114.572
36.152 -114.56
36.152 -114.555
36.152 -114.546
36.152 -114.54
36.151 -114.516
36.151 -114.512
36.148 -114.507
36.146 -114.505
36.142 -114.505
36.139 -114.505
36.137 -114.505
36.135 -114.506
36.131 -114.506
36.13 -114.504
36.129 -114.502
36.128 -114.497
36.128 -114.496
36.129 -114.487
36.139 -114.47
36.14 -114.464
36.139 -114.458
36.131 -114.453
36.126 -114.449
36.126 -114.447
36.136 -114.427
36.146 -114.417
36.147 -114.412
36.147 -114.405
36.144 -114.378
36.143 -114.372
36.13 -114.363
36.127 -114.359
36.108 -114.337
36.107 -114.333
36.106 -114.329
36.082 -114.308
36.075 -114.306
36.071 -114.308
36.067 -114.314
36.063 -114.316
36.059 -114.316
36.058 -114.314
36.046 -114.28
36.036 -114.271
36.029 -114.267
36.026 -114.263
36.02 -114.253
36.019 -114.25
36.015 -114.239
36.014 -114.236
36.014 -114.235
36.014 -114.233
36.016 -114.214
36.021 -114.192
36.028 -114.177
36.028 -114.166
36.027 -114.163
36.024 -114.154
36.025 -114.152
36.028 -114.148
36.038 -114.14
36.041 -114.138
36.047 -114.137
36.053 -114.138
36.059 -114.137
36.074 -114.128
36.095 -114.115
36.097 -114.114
36.101 -114.117
36.102 -114.119
36.105 -114.123
36.107 -114.124
36.112 -114.123
36.115 -114.121
36.12 -114.111
36.12 -114.103
36.122 -114.1
36.144 -114.089
36.169 -114.075
36.181 -114.068
36.189 -114.06
36.194 -114.047
36.198 -114.047
36.245 -114.047
36.251 -114.047
36.269 -114.048
36.29 -114.049
36.315 -114.047
36.326 -114.048
36.391 -114.046
36.443 -114.046
36.473 -114.046
36.5 -114.048
36.621 -114.05
36.625 -114.05
36.656 -114.051
36.843 -114.051
36.958 -114.05
37 -114.051
37 -113.966
37 -113.121
37 -113.08
37 -113.01
37 -112.966
37 -112.953
37 -112.862
37 -112.83
37.001 -112.61
37.001 -112.559
37.001 -112.545
37.001 -112.54
37.001 -112.535
37.001 -112.461
37.001 -112.375
37.001 -112.369
37.001 -112.358
37.001 -112.033
37.001 -111.714
37.001 -111.64
37.001 -111.573
37.001 -111.412
37.001 -111.406
37.001 -111.405
37.001 -111.402
37.001 -111.4
37.001 -111.398
37.001 -111.397
37.001 -111.396
37.001 -111.395
37.001 -111.393
37.001 -111.391
37.001 -111.364
37.001 -111.316
37.001 -111.297
37 -111.278
37.001 -111.255
37.001 -111.253
37.001 -111.244
37.001 -111.235
37.001 -111.143
37.001 -111.142
37.001 -111.14
37.001 -111.134
37.002 -111.094
37.002 -111.066
37.002 -111.061
37.002 -111.06
37.003 -110.751
37.003 -110.702
37.004 -110.626
37.003 -110.626
37.003 -110.6
37.004 -110.501
37.004 -110.491
36.998 -110.47
36.998 -110.468
36.998 -110.276
36.998 -110.147
36.999 -110.022
36.999 -110.001
36.998 -110.001
36.998 -109.934
36.998 -109.891
36.999 -109.876
36.998 -109.779
36.998 -109.699
36.998 -109.626
36.999 -109.495
36.999 -109.472
36.999 -109.383
36.999 -109.381
