segment Missouri
39.372 -90.9
39.368 -90.895
39.367 -90.894
39.367 -90.893
39.366 -90.89
39.363 -90.884
39.356 -90.87
39.356 -90.868
39.351 -90.859
39.345 -90.847
39.341 -90.842
39.34 -90.84
39.324 -90.821
39.32 -90.817
39.313 -90.799
39.309 -90.793
39.307 -90.792
39.303 -90.791
39.297 -90.784
39.293 -90.776
39.291 -90.774
39.28 -90.768
39.265 -90.752
39.264 -90.749
39.262 -90.739
39.259 -90.734
39.258 -90.733
39.256 -90.73
39.251 -90.727
39.233 -90.722
39.23 -90.721
39.224 -90.722
39.214 -90.717
39.21 -90.717
39.207 -90.717
39.203 -90.717
39.197 -90.717
39.185 -90.714
39.176 -90.71
39.173 -90.71
39.155 -90.709
39.151 -90.708
39.143 -90.705
39.139 -90.703
39.135 -90.7
39.13 -90.695
39.119 -90.687
39.118 -90.686
39.116 -90.685
39.114 -90.685
39.101 -90.681
39.09 -90.682
39.088 -90.683
39.072 -90.7
39.07 -90.701
39.066 -90.702
39.057 -90.713
39.056 -90.714
39.054 -90.714
39.047 -90.712
39.042 -90.708
39.029 -90.701
39.017 -90.692
39.012 -90.69
39.007 -90.689
39.005 -90.688
39.003 -90.686
39.002 -90.685
39.001 -90.685
39 -90.684
38.999 -90.682
38.992 -90.678
38.984 -90.676
38.966 -90.676
38.965 -90.676
38.964 -90.676
38.962 -90.676
38.96 -90.675
38.958 -90.674
38.952 -90.672
38.948 -90.669
38.934 -90.666
38.928 -90.663
38.925 -90.661
38.92 -90.657
38.916 -90.653
38.912 -90.648
38.908 -90.64
38.904 -90.636
38.892 -90.628
38.889 -90.625
38.875 -90.595
38.87 -90.586
38.869 -90.584
38.869 -90.583
38.868 -90.577
38.869 -90.567
38.869 -90.565
38.87 -90.562
38.871 -90.556
38.871 -90.555
38.874 -90.546
38.875 -90.544
38.887 -90.531
38.899 -90.517
38.903 -90.507
38.91 -90.5
38.926 -90.487
38.934 -90.483
38.935 -90.483
38.939 -90.483
38.94 -90.483
38.942 -90.483
38.944 -90.482
38.948 -90.48
38.951 -90.478
38.959 -90.472
38.962 -90.468
38.964 -90.462
38.968 -90.451
38.967 -90.44
38.966 -90.434
38.964 -90.425
38.963 -90.413
38.963 -90.412
38.963 -90.41
38.963 -90.406
38.961 -90.402
38.96 -90.397
38.96 -90.396
38.96 -90.395
38.957 -90.388
38.955 -90.383
38.948 -90.363
38.947 -90.362
38.941 -90.346
38.934 -90.335
38.933 -90.334
38.93 -90.324
38.928 -90.318
38.924 -90.309
38.924 -90.306
38.923 -90.299
38.923 -90.297
38.924 -90.295
38.924 -90.284
38.924 -90.277
38.923 -90.27
38.92 -90.263
38.921 -90.257
38.92 -90.254
38.919 -90.25
38.915 -90.242
38.911 -90.23
38.907 -90.223
38.9 -90.214
38.888 -90.198
38.887 -90.195
38.886 -90.19
38.885 -90.187
38.883 -90.183
38.876 -90.166
38.867 -90.152
38.858 -90.132
38.849 -90.113
38.844 -90.109
38.837 -90.109
38.834 -90.11
38.815 -90.115
38.806 -90.118
38.798 -90.123
38.783 -90.147
38.773 -90.166
38.767 -90.171
38.76 -90.175
38.754 -90.176
38.747 -90.183
38.743 -90.191
38.732 -90.205
38.726 -90.21
38.721 -90.211
38.718 -90.212
38.712 -90.212
38.703 -90.209
38.693 -90.202
38.688 -90.195
38.68 -90.19
38.675 -90.186
38.673 -90.186
38.665 -90.183
38.66 -90.181
38.643 -90.178
38.641 -90.178
38.634 -90.178
38.629 -90.179
38.618 -90.182
38.612 -90.185
38.611 -90.185
38.599 -90.192
38.594 -90.196
38.59 -90.201
38.589 -90.203
38.584 -90.21
38.579 -90.217
38.577 -90.22
38.576 -90.222
38.576 -90.223
38.575 -90.224
38.558 -90.238
38.551 -90.244
38.545 -90.249
38.543 -90.25
38.532 -90.258
38.528 -90.26
38.521 -90.264
38.506 -90.269
38.496 -90.271
38.486 -90.275
38.48 -90.276
38.477 -90.277
38.472 -90.279
38.458 -90.282
38.456 -90.283
38.451 -90.284
38.443 -90.285
38.438 -90.289
38.427 -90.295
38.411 -90.313
38.402 -90.322
38.398 -90.329
38.385 -90.343
38.383 -90.345
38.382 -90.346
38.378 -90.349
38.378 -90.35
38.377 -90.35
38.364 -90.355
38.36 -90.356
38.34 -90.368
38.334 -90.371
38.323 -90.373
38.304 -90.372
38.294 -90.374
38.29 -90.374
38.286 -90.374
38.285 -90.374
38.282 -90.374
38.281 -90.374
38.274 -90.372
38.272 -90.372
38.269 -90.371
38.267 -90.371
38.262 -90.369
38.259 -90.369
38.257 -90.368
38.256 -90.368
38.252 -90.367
38.25 -90.367
38.248 -90.367
38.236 -90.364
38.225 -90.36
38.217 -90.356
38.216 -90.355
38.214 -90.354
38.213 -90.353
38.209 -90.35
38.199 -90.342
38.19 -90.334
38.188 -90.332
38.182 -90.322
38.179 -90.317
38.179 -90.311
38.175 -90.3
38.17 -90.291
38.164 -90.283
38.158 -90.275
38.128 -90.253
38.128 -90.252
38.125 -90.25
38.113 -90.243
38.094 -90.219
38.088 -90.207
38.07 -90.172
38.074 -90.163
38.075 -90.162
38.075 -90.16
38.075 -90.159
38.069 -90.145
38.062 -90.131
38.06 -90.129
38.06 -90.128
38.055 -90.126
38.051 -90.126
38.044 -90.127
38.041 -90.126
38.032 -90.118
38.032 -90.117
38.031 -90.117
38.029 -90.114
38.029 -90.113
38.027 -90.111
38.018 -90.094
38.016 -90.088
38.016 -90.087
38.015 -90.081
38.017 -90.072
38.017 -90.065
38.016 -90.059
38.014 -90.057
38.012 -90.055
38.008 -90.054
38.006 -90.053
38.004 -90.051
38.002 -90.049
38 -90.046
37.995 -90.032
37.979 -90.017
37.97 -90.008
37.965 -90
37.963 -89.997
37.962 -89.986
37.962 -89.984
37.963 -89.979
37.967 -89.955
37.97 -89.942
37.965 -89.938
37.961 -89.937
37.96 -89.936
37.959 -89.934
37.96 -89.925
37.956 -89.925
37.954 -89.925
37.948 -89.932
37.947 -89.932
37.947 -89.933
37.946 -89.938
37.94 -89.947
37.94 -89.96
37.934 -89.962
37.931 -89.968
37.927 -89.975
37.919 -89.974
37.918 -89.974
37.917 -89.973
37.915 -89.972
37.901 -89.963
37.898 -89.961
37.885 -89.954
37.883 -89.952
37.882 -89.951
37.876 -89.939
37.875 -89.938
37.875 -89.937
37.871 -89.923
37.87 -89.913
37.87 -89.902
37.872 -89.897
37.88 -89.881
37.883 -89.877
37.888 -89.872
37.894 -89.867
37.897 -89.863
37.904 -89.851
37.906 -89.845
37.905 -89.843
37.902 -89.836
37.888 -89.814
37.883 -89.804
37.882 -89.799
37.88 -89.798
37.874 -89.798
37.871 -89.8
37.869 -89.8
37.86 -89.796
37.857 -89.794
37.852 -89.786
37.855 -89.782
37.854 -89.78
37.852 -89.774
37.852 -89.765
37.851 -89.762
37.848 -89.757
37.846 -89.754
37.847 -89.75
37.847 -89.74
37.843 -89.736
37.839 -89.733
37.835 -89.729
37.834 -89.728
37.826 -89.717
37.817 -89.703
37.816 -89.701
37.814 -89.697
37.808 -89.683
37.805 -89.678
37.804 -89.676
37.8 -89.67
37.791 -89.664
37.788 -89.661
37.787 -89.661
37.786 -89.66
37.785 -89.66
37.783 -89.66
37.781 -89.66
37.78 -89.66
37.778 -89.661
37.776 -89.661
37.774 -89.662
37.769 -89.664
37.764 -89.666
37.759 -89.668
37.752 -89.666
37.75 -89.663
37.748 -89.658
37.745 -89.65
37.746 -89.645
37.746 -89.633
37.748 -89.628
37.749 -89.624
37.75 -89.617
37.749 -89.616
37.748 -89.616
37.744 -89.616
37.742 -89.616
37.741 -89.613
37.74 -89.612
37.74 -89.609
37.736 -89.602
37.733 -89.597
37.724 -89.591
37.718 -89.587
37.714 -89.584
37.713 -89.583
37.713 -89.582
37.709 -89.574
37.707 -89.567
37.701 -89.539
37.7 -89.531
37.698 -89.526
37.696 -89.522
37.693 -89.517
37.69 -89.514
37.686 -89.512
37.681 -89.512
37.677 -89.514
37.668 -89.516
37.656 -89.517
37.651 -89.516
37.646 -89.516
37.644 -89.517
37.641 -89.518
37.636 -89.516
37.632 -89.511
37.625 -89.507
37.614 -89.493
37.608 -89.487
37.607 -89.486
37.599 -89.478
37.596 -89.477
37.593 -89.476
37.59 -89.476
37.586 -89.478
37.584 -89.48
37.583 -89.481
37.582 -89.483
37.581 -89.485
37.581 -89.486
37.581 -89.487
37.58 -89.494
37.584 -89.51
37.584 -89.511
37.585 -89.512
37.585 -89.514
37.585 -89.515
37.585 -89.516
37.585 -89.517
37.584 -89.517
37.583 -89.52
37.581 -89.521
37.579 -89.521
37.573 -89.521
37.566 -89.522
37.561 -89.522
37.554 -89.521
37.537 -89.517
37.536 -89.516
37.53 -89.512
37.529 -89.512
37.524 -89.507
37.518 -89.503
37.513 -89.5
37.505 -89.498
37.494 -89.492
37.48 -89.482
37.471 -89.476
37.469 -89.474
37.467 -89.472
37.466 -89.471
37.465 -89.47
37.462 -89.465
37.453 -89.455
37.452 -89.453
37.45 -89.451
37.446 -89.447
37.444 -89.446
37.444 -89.445
37.442 -89.443
37.437 -89.44
37.427 -89.434
37.407 -89.426
37.404 -89.425
37.399 -89.423
37.397 -89.422
37.392 -89.421
37.388 -89.421
37.385 -89.421
37.381 -89.422
37.356 -89.428
37.353 -89.429
37.352 -89.43
37.347 -89.433
37.344 -89.436
37.34 -89.448
37.339 -89.455
37.338 -89.475
37.336 -89.483
37.336 -89.484
37.335 -89.485
37.335 -89.487
37.333 -89.489
37.332 -89.49
37.331 -89.491
37.325 -89.495
37.321 -89.499
37.316 -89.508
37.314 -89.51
37.313 -89.51
37.313 -89.511
37.312 -89.511
37.311 -89.512
37.31 -89.512
37.304 -89.514
37.299 -89.515
37.297 -89.515
37.295 -89.516
37.293 -89.517
37.292 -89.518
37.291 -89.518
37.289 -89.518
37.287 -89.518
37.286 -89.518
37.285 -89.518
37.282 -89.517
37.277 -89.514
37.269 -89.507
37.264 -89.502
37.258 -89.496
37.251 -89.49
37.252 -89.489
37.253 -89.479
37.253 -89.471
37.252 -89.464
37.252 -89.463
37.251 -89.461
37.25 -89.46
37.249 -89.459
37.247 -89.458
37.243 -89.458
37.24 -89.458
37.225 -89.466
37.222 -89.467
37.218 -89.468
37.203 -89.463
37.2 -89.462
37.191 -89.457
37.188 -89.456
37.18 -89.451
37.161 -89.438
37.152 -89.435
37.138 -89.426
37.125 -89.414
37.123 -89.412
37.119 -89.407
37.111 -89.393
37.109 -89.391
37.108 -89.389
37.107 -89.388
37.103 -89.384
37.095 -89.379
37.086 -89.376
37.081 -89.376
37.072 -89.378
37.071 -89.379
37.07 -89.379
37.058 -89.385
37.055 -89.385
37.05 -89.385
37.048 -89.385
37.046 -89.384
37.043 -89.382
37.042 -89.38
37.04 -89.379
37.04 -89.378
37.039 -89.378
37.03 -89.362
37.026 -89.346
37.02 -89.331
37.016 -89.323
37.013 -89.317
37.009 -89.313
36.992 -89.292
36.989 -89.279
36.99 -89.274
36.993 -89.27
36.996 -89.266
37 -89.264
37.015 -89.258
37.023 -89.26
37.029 -89.266
37.036 -89.278
37.04 -89.291
37.045 -89.301
37.048 -89.305
37.05 -89.307
37.054 -89.309
37.058 -89.311
37.068 -89.308
37.07 -89.308
37.067 -89.294
37.067 -89.284
37.066 -89.283
37.065 -89.28
37.065 -89.264
37.064 -89.26
37.065 -89.259
37.068 -89.258
37.072 -89.255
37.058 -89.246
37.043 -89.238
37.037 -89.234
37.031 -89.225
37.02 -89.205
37.016 -89.201
37.012 -89.198
37 -89.195
36.99 -89.195
36.98 -89.192
36.974 -89.185
36.971 -89.177
36.97 -89.17
36.973 -89.162
36.978 -89.15
36.979 -89.144
36.979 -89.141
36.982 -89.133
36.983 -89.129
36.983 -89.125
36.982 -89.118
36.98 -89.115
36.977 -89.109
36.97 -89.103
36.965 -89.1
36.961 -89.099
36.958 -89.099
36.944 -89.101
36.939 -89.102
36.92 -89.109
36.887 -89.118
36.883 -89.12
36.879 -89.122
36.875 -89.125
36.873 -89.126
36.872 -89.127
36.871 -89.127
36.857 -89.132
36.847 -89.138
36.847 -89.148
36.847 -89.154
36.843 -89.157
36.843 -89.159
36.843 -89.167
36.842 -89.17
36.84 -89.173
36.836 -89.177
36.835 -89.178
36.831 -89.179
36.817 -89.179
36.816 -89.179
36.813 -89.179
36.81 -89.179
36.807 -89.177
36.798 -89.171
36.796 -89.168
36.791 -89.161
36.789 -89.156
36.788 -89.144
36.788 -89.133
36.788 -89.129
36.785 -89.124
36.782 -89.12
36.776 -89.117
36.772 -89.116
36.768 -89.117
36.76 -89.119
36.755 -89.122
36.752 -89.126
36.752 -89.13
36.752 -89.136
36.755 -89.142
36.755 -89.143
36.756 -89.149
36.756 -89.152
36.756 -89.157
36.76 -89.167
36.759 -89.169
36.759 -89.17
36.758 -89.174
36.758 -89.175
36.756 -89.18
36.754 -89.185
36.747 -89.192
36.74 -89.197
36.739 -89.198
36.734 -89.2
36.727 -89.201
36.726 -89.201
36.725 -89.201
36.721 -89.201
36.72 -89.201
36.718 -89.2
36.716 -89.199
36.715 -89.199
36.713 -89.197
36.712 -89.196
36.701 -89.184
36.694 -89.175
36.689 -89.17
36.688 -89.169
36.686 -89.168
36.678 -89.168
36.675 -89.169
36.673 -89.172
36.672 -89.169
36.666 -89.159
36.66 -89.165
36.659 -89.166
36.65 -89.175
36.645 -89.183
36.641 -89.188
36.636 -89.193
36.629 -89.198
36.626 -89.199
36.618 -89.201
36.602 -89.203
36.58 -89.214
36.576 -89.217
36.569 -89.227
36.567 -89.237
36.565 -89.258
36.565 -89.26
36.569 -89.268
36.571 -89.272
36.578 -89.279
36.594 -89.295
36.604 -89.302
36.62 -89.313
36.625 -89.318
36.632 -89.327
36.632 -89.328
36.632 -89.334
36.631 -89.344
36.628 -89.357
36.625 -89.365
36.625 -89.366
36.621 -89.371
36.616 -89.375
36.614 -89.376
36.613 -89.376
36.608 -89.378
36.591 -89.381
36.584 -89.383
36.56 -89.396
36.556 -89.397
36.552 -89.397
36.542 -89.399
36.528 -89.406
36.499 -89.417
36.494 -89.42
36.489 -89.423
36.482 -89.429
36.474 -89.437
36.464 -89.448
36.461 -89.453
36.458 -89.46
36.457 -89.464
36.457 -89.472
36.458 -89.477
36.462 -89.486
36.466 -89.491
36.47 -89.493
36.473 -89.494
36.476 -89.494
36.479 -89.493
36.495 -89.487
36.498 -89.485
36.502 -89.482
36.507 -89.477
36.508 -89.476
36.512 -89.474
36.514 -89.472
36.515 -89.472
36.521 -89.469
36.529 -89.466
36.53 -89.466
36.532 -89.466
36.535 -89.465
36.536 -89.465
36.537 -89.466
36.54 -89.466
36.547 -89.468
36.552 -89.47
36.56 -89.473
36.561 -89.474
36.567 -89.478
36.568 -89.479
36.569 -89.481
36.57 -89.481
36.572 -89.485
36.576 -89.5
36.578 -89.514
36.579 -89.518
36.579 -89.519
36.58 -89.522
36.581 -89.526
36.581 -89.528
36.581 -89.542
36.58 -89.546
36.577 -89.553
36.576 -89.554
36.574 -89.558
36.569 -89.563
36.564 -89.567
36.558 -89.57
36.553 -89.572
36.547 -89.571
36.544 -89.57
36.537 -89.566
36.533 -89.564
36.525 -89.56
36.522 -89.558
36.517 -89.554
36.515 -89.552
36.505 -89.543
36.498 -89.539
36.497 -89.538
36.491 -89.535
36.481 -89.523
36.479 -89.521
36.475 -89.52
36.467 -89.52
36.462 -89.521
36.457 -89.523
36.454 -89.525
36.452 -89.527
36.442 -89.541
36.439 -89.543
36.435 -89.545
36.431 -89.546
36.427 -89.545
36.424 -89.544
36.42 -89.542
36.4 -89.525
36.385 -89.514
36.378 -89.51
36.375 -89.51
36.374 -89.51
36.36 -89.513
36.349 -89.519
36.345 -89.523
36.342 -89.527
36.339 -89.532
36.337 -89.538
36.337 -89.545
36.338 -89.56
36.342 -89.582
36.343 -89.601
36.342 -89.606
36.34 -89.611
36.336 -89.616
36.33 -89.62
36.323 -89.62
36.321 -89.619
36.309 -89.612
36.297 -89.59
36.293 -89.584
36.288 -89.578
36.278 -89.554
36.279 -89.549
36.28 -89.547
36.28 -89.545
36.277 -89.539
36.275 -89.538
36.271 -89.536
36.262 -89.535
36.253 -89.535
36.252 -89.535
36.249 -89.539
36.248 -89.542
36.247 -89.545
36.248 -89.549
36.25 -89.554
36.251 -89.558
36.251 -89.562
36.25 -89.565
36.244 -89.574
36.242 -89.578
36.239 -89.587
36.238 -89.602
36.238 -89.607
36.239 -89.611
36.243 -89.624
36.248 -89.637
36.249 -89.642
36.251 -89.653
36.248 -89.678
36.25 -89.686
36.252 -89.691
36.252 -89.694
36.253 -89.694
36.253 -89.695
36.251 -89.699
36.248 -89.7
36.244 -89.703
36.243 -89.704
36.242 -89.704
36.24 -89.705
36.239 -89.705
36.238 -89.706
36.237 -89.705
36.235 -89.704
36.231 -89.7
36.229 -89.698
36.227 -89.695
36.225 -89.693
36.22 -89.685
36.216 -89.68
36.212 -89.673
36.207 -89.664
36.203 -89.658
36.202 -89.655
36.194 -89.645
36.189 -89.637
36.185 -89.629
36.183 -89.624
36.18 -89.618
36.171 -89.607
36.165 -89.601
36.163 -89.6
36.157 -89.596
36.155 -89.594
36.15 -89.592
36.144 -89.592
36.137 -89.592
36.136 -89.592
36.13 -89.593
36.127 -89.594
36.122 -89.599
36.119 -89.602
36.115 -89.613
36.114 -89.615
36.112 -89.619
36.11 -89.621
36.108 -89.625
36.107 -89.628
36.104 -89.643
36.099 -89.658
36.096 -89.667
36.092 -89.672
36.085 -89.679
36.082 -89.68
36.072 -89.682
36.052 -89.684
36.046 -89.685
36.034 -89.687
36.029 -89.689
36.027 -89.69
36.021 -89.692
36.008 -89.704
36.005 -89.706
36.001 -89.707
36.001 -89.733
36.001 -89.738
36.001 -89.77
36 -89.842
36 -89.852
36 -89.86
36 -89.869
36 -89.875
36 -89.876
35.999 -89.897
35.999 -89.901
35.999 -89.959
35.999 -89.96
35.999 -89.961
35.999 -89.965
35.999 -89.973
35.999 -89.996
35.998 -90.071
35.998 -90.104
35.998 -90.109
35.998 -90.115
35.998 -90.126
35.998 -90.127
35.997 -90.159
35.997 -90.186
35.997 -90.195
35.997 -90.248
35.996 -90.289
35.996 -90.292
35.996 -90.339
35.996 -90.343
35.996 -90.369
35.996 -90.378
36.004 -90.372
36.01 -90.367
36.014 -90.364
36.018 -90.357
36.025 -90.352
36.027 -90.351
36.028 -90.352
36.032 -90.351
36.035 -90.348
36.04 -90.349
36.042 -90.348
36.047 -90.339
36.048 -90.337
36.062 -90.335
36.068 -90.333
36.071 -90.321
36.076 -90.318
36.077 -90.318
36.079 -90.319
36.081 -90.32
36.082 -90.32
36.087 -90.321
36.09 -90.319
36.095 -90.312
36.095 -90.306
36.098 -90.3
36.103 -90.298
36.105 -90.298
36.107 -90.298
36.113 -90.294
36.114 -90.294
36.114 -90.293
36.115 -90.292
36.117 -90.279
36.118 -90.272
36.121 -90.266
36.127 -90.261
36.128 -90.259
36.127 -90.256
36.127 -90.253
36.13 -90.249
36.133 -90.246
36.137 -90.244
36.137 -90.241
36.139 -90.236
36.147 -90.232
36.147 -90.231
36.154 -90.231
36.159 -90.235
36.167 -90.23
36.169 -90.231
36.174 -90.229
36.185 -90.22
36.185 -90.216
36.183 -90.214
36.183 -90.211
36.186 -90.206
36.187 -90.204
36.192 -90.201
36.193 -90.202
36.196 -90.202
36.197 -90.2
36.196 -90.197
36.2 -90.195
36.201 -90.195
36.201 -90.194
36.2 -90.193
36.201 -90.19
36.205 -90.188
36.205 -90.186
36.205 -90.183
36.208 -90.18
36.21 -90.173
36.213 -90.168
36.216 -90.161
36.215 -90.159
36.214 -90.157
36.214 -90.156
36.216 -90.152
36.219 -90.151
36.228 -90.142
36.227 -90.138
36.226 -90.135
36.226 -90.132
36.229 -90.126
36.234 -90.125
36.235 -90.125
36.236 -90.125
36.236 -90.126
36.236 -90.127
36.237 -90.127
36.24 -90.13
36.241 -90.13
36.242 -90.13
36.242 -90.131
36.242 -90.13
36.243 -90.13
36.243 -90.126
36.244 -90.124
36.253 -90.118
36.266 -90.115
36.267 -90.113
36.267 -90.11
36.267 -90.105
36.269 -90.1
36.271 -90.091
36.272 -90.086
36.272 -90.084
36.281 -90.076
36.288 -90.078
36.295 -90.07
36.303 -90.064
36.306 -90.066
36.309 -90.067
36.313 -90.069
36.319 -90.077
36.318 -90.079
36.319 -90.08
36.322 -90.082
36.326 -90.081
36.328 -90.079
36.331 -90.077
36.334 -90.076
36.335 -90.076
36.337 -90.078
36.341 -90.077
36.342 -90.075
36.343 -90.074
36.345 -90.075
36.348 -90.078
36.349 -90.078
36.35 -90.075
36.356 -90.071
36.359 -90.066
36.373 -90.064
36.382 -90.065
36.389 -90.069
36.393 -90.073
36.393 -90.074
36.396 -90.077
36.397 -90.077
36.399 -90.079
36.401 -90.08
36.401 -90.081
36.404 -90.094
36.405 -90.104
36.405 -90.105
36.404 -90.107
36.404 -90.109
36.406 -90.115
36.408 -90.116
36.411 -90.121
36.412 -90.129
36.415 -90.131
36.414 -90.135
36.414 -90.139
36.415 -90.139
36.415 -90.136
36.417 -90.135
36.423 -90.134
36.423 -90.135
36.423 -90.136
36.421 -90.138
36.421 -90.139
36.424 -90.144
36.426 -90.144
36.428 -90.144
36.431 -90.143
36.431 -90.139
36.432 -90.138
36.437 -90.134
36.438 -90.134
36.443 -90.136
36.455 -90.137
36.458 -90.14
36.46 -90.141
36.461 -90.142
36.462 -90.141
36.463 -90.142
36.464 -90.143
36.463 -90.144
36.463 -90.145
36.464 -90.156
36.466 -90.156
36.471 -90.153
36.47 -90.148
36.47 -90.146
36.471 -90.142
36.472 -90.142
36.476 -90.144
36.476 -90.145
36.477 -90.145
