segment Hawaii
21.416 -157.786
21.416 -157.783
21.417 -157.78
21.421 -157.774
21.429 -157.773
21.431 -157.772
21.434 -157.773
21.442 -157.773
21.454 -157.775
21.458 -157.772
21.461 -157.765
21.461 -157.759
21.461 -157.754
21.46 -157.746
21.46 -157.742
21.459 -157.738
21.456 -157.732
21.449 -157.732
21.445 -157.731
21.438 -157.736
21.437 -157.736
21.432 -157.738
21.429 -157.739
21.424 -157.741
21.415 -157.741
21.412 -157.741
21.408 -157.739
21.404 -157.739
21.402 -157.73
21.402 -157.728
21.403 -157.726
21.403 -157.724
21.403 -157.723
21.402 -157.722
21.401 -157.721
21.4 -157.721
21.396 -157.719
21.389 -157.713
21.383 -157.709
21.379 -157.709
21.369 -157.713
21.358 -157.711
21.353 -157.709
21.351 -157.707
21.345 -157.703
21.336 -157.697
21.333 -157.694
21.329 -157.688
21.327 -157.685
21.327 -157.684
21.326 -157.683
21.321 -157.674
21.315 -157.665
21.315 -157.664
21.314 -157.664
21.313 -157.662
21.314 -157.655
21.314 -157.652
21.312 -157.652
21.302 -157.654
21.293 -157.667
21.278 -157.689
21.274 -157.695
21.267 -157.694
21.264 -157.7
21.262 -157.71
21.264 -157.714
21.267 -157.714
21.272 -157.711
21.281 -157.712
21.285 -157.714
21.287 -157.721
21.287 -157.722
21.283 -157.736
21.282 -157.741
21.278 -157.757
21.279 -157.762
21.279 -157.765
21.276 -157.772
21.274 -157.778
21.272 -157.78
21.271 -157.781
21.266 -157.786
21.26 -157.793
21.26 -157.795
21.259 -157.8
21.258 -157.81
21.259 -157.813
21.261 -157.821
21.265 -157.824
21.271 -157.825
21.275 -157.828
21.28 -157.832
21.282 -157.835
21.29 -157.846
21.294 -157.858
21.296 -157.862
21.298 -157.868
21.3 -157.872
21.306 -157.89
21.317 -157.893
21.32 -157.895
21.322 -157.896
21.327 -157.899
21.329 -157.905
21.328 -157.906
21.327 -157.907
21.324 -157.912
21.319 -157.919
21.314 -157.918
21.311 -157.913
21.306 -157.911
21.307 -157.952
21.313 -157.951
21.317 -157.952
21.319 -157.952
21.328 -157.968
21.328 -157.97
21.328 -157.972
21.327 -157.973
21.32 -157.986
21.318 -157.989
21.317 -157.993
21.309 -158.025
21.308 -158.03
21.306 -158.047
21.299 -158.088
21.298 -158.103
21.302 -158.113
21.317 -158.121
21.322 -158.122
21.327 -158.112
21.331 -158.114
21.334 -158.119
21.335 -158.119
21.33 -158.125
21.353 -158.132
21.359 -158.133
21.371 -158.139
21.372 -158.139
21.374 -158.14
21.377 -158.143
21.378 -158.144
21.385 -158.15
21.39 -158.155
21.396 -158.162
21.404 -158.179
21.407 -158.18
21.41 -158.181
21.421 -158.181
21.43 -158.183
21.432 -158.184
21.433 -158.184
21.434 -158.185
21.437 -158.186
21.446 -158.191
21.448 -158.192
21.457 -158.202
21.46 -158.205
21.462 -158.208
21.47 -158.219
21.48 -158.227
21.486 -158.232
21.488 -158.233
21.524 -158.231
21.533 -158.232
21.54 -158.234
21.557 -158.251
21.573 -158.275
21.576 -158.28
21.579 -158.278
21.583 -158.254
21.586 -158.191
21.582 -158.17
21.586 -158.138
21.587 -158.126
21.588 -158.124
21.597 -158.107
21.598 -158.107
21.603 -158.107
21.606 -158.109
21.607 -158.108
21.612 -158.103
21.628 -158.08
21.643 -158.067
21.644 -158.067
21.652 -158.067
21.658 -158.064
21.661 -158.061
21.684 -158.037
21.694 -158.025
21.7 -158.018
21.708 -157.992
21.712 -157.987
21.713 -157.969
21.696 -157.953
segment Hawaii
21.668 -160.556
21.67 -160.551
21.667 -160.543
21.648 -160.542
21.645 -160.549
21.65 -160.554
21.668 -160.556
segment Hawaii
21.438 -157.79
21.436 -157.789
21.434 -157.791
21.435 -157.792
21.434 -157.793
21.436 -157.793
21.437 -157.792
21.438 -157.792
21.438 -157.793
21.438 -157.792
21.438 -157.791
21.439 -157.791
21.438 -157.79
segment Hawaii
21.204 -156.983
21.208 -156.982
21.21 -156.984
21.212 -156.984
21.219 -156.974
21.217 -156.969
21.212 -156.963
21.192 -156.952
21.183 -156.951
21.176 -156.946
21.168 -156.918
21.164 -156.903
21.166 -156.898
21.17 -156.896
21.172 -156.897
21.165 -156.868
21.168 -156.842
21.175 -156.822
21.18 -156.771
21.178 -156.756
21.176 -156.742
21.172 -156.738
21.162 -156.737
21.164 -156.719
21.162 -156.713
21.152 -156.714
21.132 -156.726
21.109 -156.749
21.09 -156.776
21.082 -156.791
21.076 -156.794
21.063 -156.835
21.058 -156.866
21.049 -156.877
21.052 -156.892
21.056 -156.895
21.056 -156.898
21.067 -156.952
21.068 -156.954
21.076 -156.98
21.078 -156.987
21.079 -156.988
21.082 -156.998
21.083 -157.003
21.084 -157.007
21.086 -157.012
21.086 -157.015
21.089 -157.026
21.091 -157.031
21.091 -157.032
21.098 -157.038
21.106 -157.08
21.106 -157.094
21.106 -157.095
21.105 -157.102
21.105 -157.107
21.103 -157.125
21.097 -157.143
21.091 -157.254
21.097 -157.298
21.106 -157.313
21.132 -157.299
21.136 -157.299
21.146 -157.294
21.158 -157.284
21.163 -157.276
21.163 -157.275
21.175 -157.26
21.181 -157.255
21.191 -157.251
21.208 -157.25
21.216 -157.257
21.218 -157.261
21.221 -157.263
21.226 -157.261
21.227 -157.257
21.221 -157.242
21.22 -157.226
21.222 -157.212
21.219 -157.202
21.208 -157.192
21.206 -157.186
21.201 -157.157
21.201 -157.148
21.202 -157.146
21.203 -157.145
21.201 -157.128
21.199 -157.118
21.197 -157.113
21.198 -157.098
21.192 -157.075
21.189 -157.064
21.189 -157.056
21.189 -157.055
21.189 -157.053
21.191 -157.048
21.191 -157.04
21.186 -157.015
21.184 -157.007
21.182 -156.999
21.186 -156.991
21.189 -156.988
21.204 -156.983
segment Hawaii
21.027 -156.587
21.02 -156.58
21.016 -156.563
21.005 -156.55
21.005 -156.546
20.968 -156.528
20.955 -156.519
20.951 -156.512
20.94 -156.51
20.938 -156.508
20.935 -156.499
20.928 -156.496
20.922 -156.494
20.919 -156.494
20.916 -156.493
20.911 -156.49
20.903 -156.484
20.902 -156.484
20.898 -156.481
20.895 -156.475
20.896 -156.471
20.899 -156.462
20.903 -156.45
20.912 -156.423
20.917 -156.397
20.917 -156.396
20.92 -156.386
20.928 -156.374
20.933 -156.371
20.935 -156.366
20.941 -156.353
20.942 -156.346
20.939 -156.342
20.941 -156.34
20.946 -156.333
20.95 -156.325
20.943 -156.307
20.948 -156.286
20.937 -156.275
20.941 -156.263
20.94 -156.259
20.938 -156.243
20.932 -156.23
20.918 -156.23
20.917 -156.227
20.918 -156.222
20.917 -156.218
20.907 -156.216
20.894 -156.197
20.877 -156.173
20.875 -156.17
20.866 -156.167
20.861 -156.133
20.848 -156.129
20.827 -156.116
20.829 -156.1
20.832 -156.09
20.811 -156.06
20.808 -156.033
20.796 -156.004
20.791 -156.003
20.789 -156.003
20.777 -155.988
20.767 -155.985
20.759 -155.987
20.744 -155.985
20.723 -155.987
20.714 -155.992
20.698 -156.002
20.686 -156.014
20.687 -156.02
20.682 -156.031
20.673 -156.04
20.665 -156.044
20.654 -156.053
20.652 -156.06
20.654 -156.081
20.649 -156.089
20.64 -156.108
20.638 -156.112
20.634 -156.121
20.628 -156.13
20.624 -156.143
20.624 -156.145
20.629 -156.148
20.63 -156.157
20.627 -156.17
20.624 -156.173
20.63 -156.185
20.632 -156.193
20.629 -156.21
20.624 -156.223
20.623 -156.225
20.616 -156.236
20.614 -156.239
20.611 -156.246
20.605 -156.259
20.602 -156.266
20.597 -156.282
20.596 -156.284
20.592 -156.288
20.589 -156.293
20.589 -156.294
20.586 -156.302
20.586 -156.303
20.587 -156.313
20.587 -156.314
20.588 -156.318
20.588 -156.323
20.587 -156.352
20.582 -156.36
20.579 -156.371
20.578 -156.378
20.58 -156.386
20.581 -156.388
20.586 -156.415
20.59 -156.418
20.594 -156.416
20.599 -156.418
20.602 -156.423
20.599 -156.428
20.598 -156.432
20.601 -156.438
20.608 -156.444
20.614 -156.443
20.642 -156.451
20.649 -156.446
20.656 -156.444
20.659 -156.444
20.66 -156.444
20.676 -156.446
20.705 -156.449
20.718 -156.45
20.725 -156.451
20.731 -156.453
20.737 -156.458
20.743 -156.46
20.75 -156.461
20.754 -156.462
20.773 -156.462
20.778 -156.463
20.782 -156.464
20.791 -156.474
20.798 -156.489
20.799 -156.491
20.8 -156.502
20.799 -156.506
20.794 -156.516
20.79 -156.519
20.787 -156.521
20.782 -156.524
20.781 -156.525
20.778 -156.538
20.783 -156.548
20.821 -156.632
20.858 -156.667
20.859 -156.667
20.871 -156.679
20.874 -156.681
20.88 -156.684
20.889 -156.689
20.891 -156.688
20.897 -156.688
20.906 -156.688
20.912 -156.691
20.914 -156.693
20.916 -156.697
20.921 -156.7
20.953 -156.694
20.954 -156.693
20.955 -156.693
20.98 -156.681
20.998 -156.671
21.007 -156.666
21.009 -156.652
21.014 -156.646
21.02 -156.643
21.022 -156.644
21.028 -156.643
21.028 -156.62
21.025 -156.612
21.027 -156.612
21.034 -156.606
21.033 -156.592
21.027 -156.587
segment Hawaii
20.93 -157.01
20.932 -156.99
20.926 -156.972
20.925 -156.938
20.923 -156.918
20.915 -156.897
20.864 -156.837
20.851 -156.825
20.826 -156.81
20.82 -156.808
20.809 -156.809
20.795 -156.817
20.765 -156.838
20.76 -156.846
20.76 -156.851
20.755 -156.87
20.745 -156.89
20.74 -156.909
20.739 -156.949
20.735 -156.968
20.757 -156.985
20.787 -156.994
20.815 -156.989
20.827 -156.992
20.85 -157.006
20.854 -157.011
20.877 -157.055
20.885 -157.06
20.891 -157.061
20.904 -157.063
20.913 -157.059
20.927 -157.036
20.93 -157.026
20.93 -157.01
segment Hawaii
20.605 -156.567
20.599 -156.559
20.595 -156.554
20.585 -156.547
20.58 -156.543
20.574 -156.543
20.569 -156.549
20.543 -156.556
20.539 -156.553
20.535 -156.54
20.528 -156.54
20.526 -156.541
20.523 -156.544
20.52 -156.55
20.522 -156.56
20.512 -156.586
20.524 -156.604
20.515 -156.631
20.508 -156.642
20.512 -156.647
20.509 -156.657
20.508 -156.66
20.505 -156.669
20.506 -156.675
20.507 -156.683
20.527 -156.704
20.532 -156.702
20.542 -156.697
20.548 -156.69
20.557 -156.68
20.561 -156.667
20.566 -156.652
20.57 -156.643
20.576 -156.634
20.587 -156.615
20.594 -156.611
20.596 -156.605
20.607 -156.577
20.605 -156.567
segment Hawaii
18.946 -155.635
18.942 -155.638
18.925 -155.658
18.917 -155.672
18.918 -155.674
18.919 -155.682
18.921 -155.685
18.923 -155.688
18.926 -155.688
18.932 -155.69
18.941 -155.693
18.954 -155.708
18.968 -155.724
18.969 -155.726
18.982 -155.764
19.014 -155.806
19.021 -155.839
19.024 -155.854
19.037 -155.882
19.039 -155.884
19.056 -155.886
19.081 -155.904
19.081 -155.908
19.121 -155.921
19.156 -155.917
19.218 -155.903
19.23 -155.905
19.258 -155.903
19.275 -155.895
19.299 -155.891
19.337 -155.887
19.348 -155.889
19.378 -155.899
19.401 -155.914
19.413 -155.91
19.415 -155.909
19.431 -155.922
19.439 -155.924
19.468 -155.925
19.479 -155.923
19.481 -155.924
19.485 -155.931
19.486 -155.936
19.483 -155.936
19.482 -155.936
19.482 -155.939
19.487 -155.951
19.489 -155.953
19.51 -155.954
19.528 -155.957
19.532 -155.958
19.547 -155.96
19.552 -155.962
19.555 -155.965
19.556 -155.969
19.586 -155.971
19.602 -155.976
19.608 -155.978
19.612 -155.98
19.629 -155.99
19.639 -155.996
19.643 -155.998
19.644 -156.003
19.65 -156.029
19.654 -156.033
19.659 -156.035
19.669 -156.033
19.671 -156.03
19.672 -156.027
19.679 -156.029
19.69 -156.036
19.699 -156.048
19.704 -156.052
19.719 -156.052
19.731 -156.064
19.743 -156.057
19.757 -156.052
19.78 -156.05
19.802 -156.022
19.818 -156.006
19.819 -156.005
19.82 -156.004
19.821 -156.003
19.846 -155.983
19.851 -155.977
19.855 -155.965
19.857 -155.949
19.853 -155.945
19.852 -155.94
19.859 -155.926
19.87 -155.927
19.875 -155.925
19.887 -155.916
19.897 -155.91
19.898 -155.91
19.899 -155.909
19.912 -155.902
19.923 -155.894
19.927 -155.894
19.932 -155.893
19.954 -155.867
19.956 -155.866
19.969 -155.857
19.977 -155.841
19.976 -155.839
19.976 -155.835
19.983 -155.832
19.986 -155.831
19.996 -155.829
20.026 -155.825
20.035 -155.828
20.045 -155.836
20.052 -155.841
20.053 -155.843
20.054 -155.843
20.058 -155.846
20.063 -155.85
20.064 -155.852
20.079 -155.867
20.107 -155.884
20.146 -155.899
20.205 -155.906
20.236 -155.901
20.255 -155.891
20.263 -155.883
20.268 -155.874
20.272 -155.853
20.261 -155.813
20.26 -155.811
20.255 -155.801
20.246 -155.783
20.246 -155.779
20.246 -155.778
20.245 -155.773
20.242 -155.766
20.232 -155.747
20.223 -155.737
20.212 -155.736
20.205 -155.733
20.191 -155.702
20.167 -155.654
20.147 -155.63
20.146 -155.625
20.138 -155.608
20.127 -155.601
20.125 -155.598
20.122 -155.591
20.123 -155.588
20.124 -155.582
20.131 -155.568
20.132 -155.559
20.13 -155.553
20.12 -155.524
20.115 -155.517
20.115 -155.511
20.114 -155.503
20.104 -155.468
20.095 -155.444
20.093 -155.439
20.079 -155.405
20.076 -155.402
20.074 -155.4
20.067 -155.388
20.055 -155.363
20.053 -155.359
20.039 -155.33
20.034 -155.32
20.024 -155.295
20.023 -155.287
20.022 -155.283
20.015 -155.271
20.015 -155.27
20.013 -155.268
20.01 -155.265
20.009 -155.264
20.007 -155.262
20 -155.252
19.998 -155.25
19.995 -155.246
19.99 -155.241
19.982 -155.226
19.976 -155.217
19.969 -155.204
19.961 -155.197
19.958 -155.195
19.949 -155.18
19.923 -155.149
19.921 -155.144
19.907 -155.131
19.905 -155.13
19.897 -155.125
19.886 -155.122
19.879 -155.114
19.873 -155.108
19.872 -155.108
19.868 -155.099
19.868 -155.095
19.855 -155.086
19.85 -155.084
19.839 -155.086
19.827 -155.089
19.823 -155.091
19.815 -155.094
19.807 -155.093
19.799 -155.092
19.781 -155.091
19.776 -155.091
19.772 -155.094
19.771 -155.094
19.759 -155.093
19.758 -155.093
19.738 -155.093
19.737 -155.093
19.736 -155.092
19.732 -155.09
19.728 -155.087
19.728 -155.086
19.726 -155.079
19.727 -155.074
19.729 -155.064
19.735 -155.053
19.74 -155.045
19.739 -155.006
19.729 -154.997
19.725 -154.995
19.72 -154.993
19.709 -154.987
19.691 -154.981
19.672 -154.985
19.647 -154.984
19.642 -154.984
19.633 -154.974
19.628 -154.964
19.626 -154.95
19.624 -154.948
19.622 -154.948
19.614 -154.951
19.605 -154.947
19.598 -154.934
19.594 -154.93
19.593 -154.928
19.587 -154.924
19.582 -154.919
19.58 -154.916
19.571 -154.904
19.564 -154.891
19.557 -154.875
19.549 -154.853
19.538 -154.837
19.538 -154.827
19.53 -154.814
19.522 -154.81
19.519 -154.809
19.481 -154.823
19.476 -154.828
19.464 -154.839
19.438 -154.869
19.435 -154.874
19.426 -154.888
19.398 -154.929
19.382 -154.944
19.366 -154.965
19.349 -154.981
19.348 -154.985
19.332 -155.019
19.331 -155.021
19.317 -155.062
19.291 -155.113
19.276 -155.134
19.268 -155.16
19.269 -155.172
19.266 -155.187
19.261 -155.196
19.261 -155.206
19.271 -155.244
19.274 -155.265
19.266 -155.297
19.262 -155.304
19.251 -155.313
19.234 -155.341
19.218 -155.349
19.209 -155.361
19.202 -155.379
19.201 -155.391
19.195 -155.403
19.188 -155.417
19.18 -155.427
19.171 -155.433
19.152 -155.454
19.147 -155.466
19.138 -155.505
19.138 -155.506
19.133 -155.515
19.128 -155.512
19.124 -155.512
19.117 -155.52
19.116 -155.526
19.114 -155.529
19.091 -155.545
19.089 -155.551
19.082 -155.558
19.069 -155.555
19.054 -155.555
19.047 -155.557
19.033 -155.566
19.027 -155.577
19.022 -155.582
18.999 -155.596
18.981 -155.597
18.972 -155.602
18.97 -155.614
18.962 -155.625
18.96 -155.625
18.958 -155.627
18.954 -155.63
18.946 -155.635
