segment Wisconsin
45.758 -87.954
45.757 -87.944
45.758 -87.935
45.76 -87.929
45.76 -87.927
45.758 -87.925
45.757 -87.922
45.757 -87.921
45.758 -87.914
45.758 -87.909
45.759 -87.908
45.759 -87.906
45.759 -87.905
45.758 -87.903
45.757 -87.901
45.753 -87.9
45.753 -87.898
45.752 -87.896
45.754 -87.892
45.755 -87.882
45.755 -87.88
45.754 -87.876
45.75 -87.873
45.749 -87.868
45.746 -87.864
45.743 -87.863
45.743 -87.864
45.737 -87.864
45.727 -87.856
45.727 -87.855
45.726 -87.854
45.719 -87.842
45.717 -87.838
45.717 -87.837
45.716 -87.834
45.715 -87.832
45.715 -87.831
45.711 -87.812
45.71 -87.81
45.707 -87.806
45.705 -87.805
45.704 -87.805
45.7 -87.809
45.696 -87.805
45.694 -87.802
45.687 -87.788
45.683 -87.782
45.68 -87.781
45.675 -87.781
45.674 -87.781
45.673 -87.782
45.671 -87.795
45.671 -87.796
45.67 -87.799
45.667 -87.803
45.666 -87.803
45.666 -87.804
45.663 -87.823
45.662 -87.824
45.66 -87.824
45.658 -87.822
45.656 -87.823
45.653 -87.825
45.647 -87.824
45.646 -87.822
45.644 -87.817
45.639 -87.81
45.629 -87.804
45.624 -87.797
45.622 -87.796
45.619 -87.796
45.617 -87.792
45.615 -87.781
45.609 -87.778
45.598 -87.776
45.595 -87.777
45.589 -87.777
45.586 -87.781
45.584 -87.786
45.583 -87.787
45.581 -87.788
45.579 -87.787
45.575 -87.787
45.568 -87.788
45.566 -87.789
45.564 -87.791
45.563 -87.792
45.562 -87.798
45.563 -87.806
45.565 -87.814
45.569 -87.829
45.568 -87.831
45.568 -87.832
45.563 -87.834
45.559 -87.833
45.559 -87.832
45.556 -87.827
45.552 -87.819
45.549 -87.814
45.544 -87.807
45.538 -87.803
45.537 -87.803
45.534 -87.805
45.531 -87.805
45.525 -87.804
45.514 -87.802
45.506 -87.799
45.505 -87.793
45.5 -87.793
45.498 -87.793
45.495 -87.796
45.491 -87.798
45.487 -87.798
45.485 -87.799
45.479 -87.807
45.477 -87.807
45.474 -87.806
45.473 -87.806
45.468 -87.811
45.466 -87.813
45.464 -87.813
45.46 -87.821
45.458 -87.827
45.455 -87.832
45.454 -87.833
45.452 -87.834
45.451 -87.836
45.448 -87.845
45.444 -87.847
45.441 -87.855
45.44 -87.856
45.434 -87.862
45.433 -87.862
45.43 -87.86
45.424 -87.86
45.418 -87.857
45.416 -87.856
45.413 -87.852
45.412 -87.851
45.41 -87.85
45.404 -87.849
45.402 -87.851
45.399 -87.859
45.397 -87.86
45.396 -87.86
45.393 -87.857
45.388 -87.859
45.385 -87.865
45.383 -87.871
45.381 -87.874
45.379 -87.875
45.377 -87.876
45.374 -87.872
45.372 -87.871
45.369 -87.877
45.363 -87.885
45.358 -87.888
45.355 -87.888
45.354 -87.888
45.353 -87.887
45.352 -87.885
45.351 -87.881
45.351 -87.88
45.354 -87.874
45.355 -87.872
45.356 -87.872
45.357 -87.871
45.359 -87.871
45.36 -87.871
45.361 -87.87
45.361 -87.869
45.36 -87.867
45.358 -87.866
45.356 -87.865
45.355 -87.865
45.353 -87.863
45.351 -87.861
45.35 -87.859
45.349 -87.853
45.347 -87.85
45.345 -87.85
45.342 -87.851
45.341 -87.851
45.34 -87.85
45.341 -87.848
45.345 -87.838
45.346 -87.837
45.351 -87.835
45.352 -87.833
45.352 -87.83
45.351 -87.827
45.351 -87.825
45.352 -87.824
45.353 -87.823
45.352 -87.815
45.351 -87.81
45.354 -87.8
45.353 -87.79
45.353 -87.788
45.35 -87.783
45.351 -87.774
45.351 -87.771
45.351 -87.769
45.348 -87.762
45.349 -87.754
45.352 -87.751
45.354 -87.752
45.355 -87.751
45.358 -87.738
45.36 -87.738
45.364 -87.733
45.377 -87.719
45.381 -87.708
45.384 -87.707
45.385 -87.704
45.388 -87.7
45.39 -87.694
45.39 -87.69
45.389 -87.686
45.385 -87.683
45.382 -87.675
45.378 -87.674
45.377 -87.674
45.369 -87.657
45.367 -87.657
45.363 -87.656
45.362 -87.656
45.361 -87.656
45.359 -87.657
45.354 -87.654
45.354 -87.652
45.354 -87.651
45.352 -87.648
45.351 -87.648
45.345 -87.647
45.339 -87.648
45.331 -87.656
45.329 -87.66
45.328 -87.662
45.326 -87.662
45.322 -87.662
45.321 -87.661
45.321 -87.662
45.319 -87.663
45.318 -87.664
45.318 -87.665
45.317 -87.665
45.316 -87.667
45.308 -87.675
45.306 -87.679
45.298 -87.688
45.296 -87.688
45.29 -87.69
45.288 -87.693
