segment Tennessee
36.598 -83.622
36.598 -83.595
36.598 -83.585
36.597 -83.557
36.597 -83.547
36.597 -83.544
36.597 -83.472
36.597 -83.375
36.598 -83.276
36.594 -83.261
36.594 -83.25
36.594 -83.249
36.594 -83.226
36.594 -83.175
36.594 -83.102
36.594 -83.028
36.594 -83.027
36.594 -82.985
36.593 -82.888
36.594 -82.83
36.594 -82.78
36.594 -82.72
36.594 -82.699
36.594 -82.696
36.594 -82.688
36.594 -82.68
36.594 -82.654
36.594 -82.651
36.594 -82.609
36.594 -82.594
36.594 -82.588
36.595 -82.572
36.595 -82.571
36.595 -82.561
36.595 -82.56
36.595 -82.554
36.595 -82.549
36.595 -82.545
36.595 -82.517
36.596 -82.487
36.596 -82.486
36.596 -82.479
36.595 -82.467
36.594 -82.467
36.594 -82.466
36.594 -82.465
36.595 -82.464
36.595 -82.417
36.595 -82.391
36.595 -82.387
36.596 -82.297
36.596 -82.272
36.596 -82.263
36.596 -82.243
36.596 -82.235
36.596 -82.227
36.596 -82.226
36.596 -82.223
36.596 -82.222
36.596 -82.211
36.596 -82.209
36.595 -82.198
36.595 -82.191
36.595 -82.19
36.595 -82.188
36.595 -82.181
36.595 -82.18
36.595 -82.177
36.595 -82.174
36.595 -82.151
36.595 -82.149
36.595 -82.102
36.595 -82.096
36.595 -82.083
36.594 -82.019
36.594 -81.934
36.616 -81.923
36.614 -81.827
36.613 -81.771
36.613 -81.759
36.612 -81.737
36.612 -81.647
36.588 -81.678
36.586 -81.68
36.579 -81.679
36.574 -81.677
36.571 -81.677
36.569 -81.68
36.568 -81.686
36.569 -81.69
36.566 -81.692
36.566 -81.693
36.563 -81.692
36.56 -81.69
36.556 -81.689
36.552 -81.69
36.549 -81.694
36.544 -81.698
36.54 -81.7
36.537 -81.7
36.536 -81.708
36.532 -81.708
36.526 -81.708
36.525 -81.706
36.522 -81.704
36.521 -81.703
36.52 -81.703
36.519 -81.702
36.515 -81.701
36.514 -81.7
36.513 -81.7
36.512 -81.699
36.508 -81.698
36.505 -81.697
36.504 -81.698
36.501 -81.7
36.5 -81.7
36.498 -81.7
36.497 -81.698
36.496 -81.697
36.493 -81.697
36.492 -81.696
36.485 -81.697
36.476 -81.696
36.474 -81.695
36.473 -81.695
36.468 -81.695
36.465 -81.698
36.464 -81.699
36.464 -81.701
36.462 -81.708
36.457 -81.715
36.453 -81.715
36.451 -81.714
36.447 -81.714
36.444 -81.715
36.442 -81.715
36.441 -81.716
36.439 -81.715
36.437 -81.715
36.433 -81.717
36.429 -81.718
36.424 -81.72
36.423 -81.721
36.415 -81.73
36.413 -81.734
36.411 -81.738
36.407 -81.74
36.402 -81.74
36.397 -81.738
36.395 -81.734
36.392 -81.732
36.39 -81.73
36.389 -81.73
36.388 -81.73
36.383 -81.731
36.38 -81.732
36.378 -81.733
36.377 -81.733
36.374 -81.731
36.369 -81.726
36.364 -81.724
36.361 -81.724
36.359 -81.724
36.355 -81.723
36.353 -81.721
36.35 -81.718
36.349 -81.714
36.346 -81.708
36.345 -81.707
36.342 -81.705
36.338 -81.706
36.335 -81.707
36.334 -81.713
36.336 -81.717
36.339 -81.721
36.34 -81.726
36.341 -81.731
36.341 -81.735
36.34 -81.739
36.338 -81.744
36.337 -81.748
36.337 -81.754
36.338 -81.758
36.338 -81.761
36.339 -81.762
36.339 -81.766
36.341 -81.769
36.346 -81.778
36.348 -81.781
36.348 -81.784
36.349 -81.787
36.352 -81.79
36.353 -81.791
36.355 -81.792
36.358 -81.795
36.358 -81.797
36.358 -81.8
36.358 -81.801
36.354 -81.808
36.351 -81.813
36.349 -81.822
36.347 -81.833
36.343 -81.841
36.341 -81.845
36.34 -81.846
36.338 -81.851
36.336 -81.854
36.335 -81.857
36.33 -81.863
36.323 -81.871
36.319 -81.874
36.316 -81.876
36.314 -81.879
36.309 -81.887
36.307 -81.895
36.307 -81.898
36.302 -81.908
36.265 -81.933
36.256 -81.939
36.228 -81.96
36.205 -81.976
36.185 -81.99
36.17 -81.999
36.13 -82.027
36.129 -82.026
36.125 -82.029
36.124 -82.029
36.12 -82.033
36.121 -82.037
36.121 -82.038
36.125 -82.044
36.127 -82.054
36.124 -82.056
36.121 -82.056
36.113 -82.061
36.112 -82.067
36.107 -82.08
36.106 -82.08
36.106 -82.086
36.106 -82.099
36.106 -82.102
36.108 -82.105
36.107 -82.109
36.105 -82.115
36.105 -82.116
36.104 -82.127
36.106 -82.131
36.12 -82.138
36.124 -82.137
36.129 -82.137
36.136 -82.141
36.137 -82.141
36.14 -82.142
36.144 -82.144
36.15 -82.148
36.149 -82.148
36.149 -82.149
36.149 -82.15
36.148 -82.156
36.147 -82.161
36.147 -82.169
36.146 -82.172
36.145 -82.174
36.144 -82.176
36.143 -82.179
36.144 -82.183
36.144 -82.184
36.145 -82.185
36.148 -82.188
36.149 -82.192
36.15 -82.195
36.153 -82.199
36.155 -82.202
36.157 -82.205
36.159 -82.211
36.159 -82.214
36.158 -82.218
36.157 -82.222
36.155 -82.223
36.15 -82.225
36.147 -82.228
36.142 -82.235
36.141 -82.235
36.14 -82.236
36.139 -82.238
36.137 -82.242
36.134 -82.243
36.133 -82.244
36.131 -82.247
36.131 -82.248
36.132 -82.252
36.134 -82.253
36.134 -82.256
36.134 -82.26
36.13 -82.263
36.128 -82.266
36.127 -82.268
36.127 -82.269
36.128 -82.271
36.129 -82.274
36.129 -82.279
36.129 -82.28
36.135 -82.288
36.136 -82.289
36.134 -82.298
36.131 -82.303
36.129 -82.307
36.127 -82.309
36.121 -82.318
36.12 -82.321
36.119 -82.325
36.117 -82.329
36.117 -82.332
36.115 -82.337
36.115 -82.347
36.116 -82.348
36.117 -82.35
36.116 -82.355
36.112 -82.36
36.111 -82.361
36.108 -82.367
36.106 -82.371
36.106 -82.374
36.106 -82.376
36.103 -82.378
36.103 -82.379
36.099 -82.38
36.097 -82.388
36.097 -82.39
36.088 -82.404
36.083 -82.409
36.073 -82.417
36.072 -82.417
36.063 -82.423
36.008 -82.461
36.007 -82.465
36 -82.474
35.998 -82.482
35.996 -82.483
35.994 -82.484
35.993 -82.485
35.992 -82.487
35.989 -82.491
35.988 -82.493
35.983 -82.5
35.978 -82.505
35.977 -82.507
35.976 -82.513
35.976 -82.516
35.976 -82.517
35.975 -82.518
35.975 -82.521
35.973 -82.523
35.972 -82.531
35.97 -82.535
35.969 -82.539
35.969 -82.54
35.968 -82.542
35.964 -82.55
35.961 -82.553
35.954 -82.558
35.956 -82.568
35.958 -82.575
35.959 -82.577
35.964 -82.578
35.966 -82.581
35.966 -82.592
35.965 -82.595
35.965 -82.6
35.966 -82.608
35.967 -82.611
35.971 -82.612
35.974 -82.611
35.984 -82.607
35.987 -82.604
35.992 -82.607
35.993 -82.613
35.994 -82.613
36 -82.615
36.004 -82.614
36.005 -82.614
36.006 -82.612
36.018 -82.604
36.022 -82.6
36.026 -82.596
36.029 -82.595
36.03 -82.595
36.032 -82.596
36.034 -82.599
36.037 -82.601
36.04 -82.603
36.041 -82.606
36.045 -82.61
36.046 -82.614
36.047 -82.618
36.051 -82.618
36.054 -82.617
36.056 -82.619
36.062 -82.628
36.066 -82.632
36.066 -82.637
36.063 -82.644
36.06 -82.647
36.058 -82.65
36.056 -82.655
36.057 -82.657
36.055 -82.663
36.053 -82.668
36.05 -82.673
36.046 -82.684
36.045 -82.685
36.042 -82.686
36.039 -82.689
36.034 -82.701
36.032 -82.703
36.03 -82.707
36.03 -82.708
36.03 -82.709
36.03 -82.71
36.029 -82.715
36.027 -82.716
36.024 -82.715
36.023 -82.716
36.018 -82.725
36.019 -82.728
36.018 -82.732
36.006 -82.75
36.004 -82.754
36.004 -82.759
36.003 -82.765
36 -82.776
35.999 -82.777
35.997 -82.779
35.993 -82.779
35.99 -82.782
35.988 -82.785
35.987 -82.785
35.978 -82.786
35.975 -82.782
35.974 -82.78
35.975 -82.779
35.974 -82.776
35.972 -82.775
35.967 -82.778
35.965 -82.783
35.964 -82.785
35.963 -82.785
35.959 -82.785
35.952 -82.787
35.944 -82.8
35.938 -82.806
35.937 -82.806
35.935 -82.806
35.93 -82.803
35.929 -82.803
35.927 -82.805
35.927 -82.809
35.927 -82.811
35.924 -82.816
35.922 -82.822
35.923 -82.823
35.93 -82.826
35.933 -82.829
35.933 -82.83
35.935 -82.833
35.94 -82.84
35.942 -82.841
35.948 -82.85
35.949 -82.853
35.947 -82.861
35.951 -82.869
35.952 -82.871
35.953 -82.874
35.949 -82.884
35.945 -82.893
35.945 -82.897
35.945 -82.899
35.938 -82.902
35.931 -82.902
35.93 -82.902
35.929 -82.903
35.927 -82.906
35.927 -82.909
35.927 -82.911
35.926 -82.911
35.922 -82.912
35.92 -82.912
35.918 -82.912
35.916 -82.912
35.915 -82.912
35.913 -82.911
35.907 -82.907
35.897 -82.905
35.893 -82.902
35.891 -82.902
35.89 -82.902
35.889 -82.903
35.888 -82.903
35.888 -82.904
35.885 -82.904
35.882 -82.901
35.881 -82.9
35.88 -82.9
35.878 -82.899
35.875 -82.9
35.873 -82.901
35.871 -82.905
35.869 -82.909
35.866 -82.916
35.864 -82.918
35.861 -82.919
35.851 -82.921
35.845 -82.919
35.842 -82.92
35.839 -82.923
35.839 -82.928
35.836 -82.932
35.833 -82.933
35.827 -82.937
35.826 -82.944
35.825 -82.945
35.825 -82.946
35.824 -82.946
35.816 -82.952
35.81 -82.956
35.809 -82.956
35.808 -82.956
35.804 -82.958
35.804 -82.959
35.803 -82.959
35.8 -82.962
35.795 -82.963
35.793 -82.962
35.79 -82.964
35.79 -82.97
35.787 -82.974
35.783 -82.978
35.778 -82.984
35.774 -82.992
35.773 -82.996
35.774 -83.001
35.778 -83.006
35.78 -83.012
35.781 -83.017
35.784 -83.025
35.786 -83.03
35.787 -83.036
35.787 -83.04
35.785 -83.043
35.785 -83.044
35.786 -83.046
35.788 -83.049
35.79 -83.053
35.788 -83.058
35.787 -83.062
35.787 -83.064
35.788 -83.072
35.79 -83.074
35.789 -83.079
35.786 -83.085
35.784 -83.086
35.776 -83.097
35.776 -83.098
35.775 -83.099
35.775 -83.1
35.775 -83.102
35.774 -83.105
35.773 -83.105
35.771 -83.11
35.77 -83.114
35.766 -83.12
35.768 -83.128
35.765 -83.147
35.764 -83.148
35.764 -83.154
35.765 -83.159
35.763 -83.162
35.76 -83.165
35.759 -83.165
35.755 -83.165
35.746 -83.17
35.746 -83.172
35.744 -83.177
35.739 -83.181
35.735 -83.182
35.73 -83.186
35.73 -83.188
35.725 -83.198
35.725 -83.2
35.727 -83.204
35.724 -83.215
35.726 -83.217
35.727 -83.22
35.726 -83.223
35.726 -83.232
35.727 -83.241
35.724 -83.242
35.723 -83.243
35.72 -83.251
35.716 -83.255
35.715 -83.255
35.712 -83.254
35.709 -83.254
35.707 -83.255
35.704 -83.256
35.701 -83.255
35.696 -83.256
35.694 -83.257
35.692 -83.258
35.689 -83.261
35.688 -83.265
35.685 -83.269
35.681 -83.271
35.679 -83.275
35.678 -83.281
35.675 -83.289
35.673 -83.291
35.667 -83.291
35.662 -83.294
35.658 -83.297
35.657 -83.301
35.656 -83.302
35.654 -83.31
35.655 -83.313
35.659 -83.318
35.663 -83.321
35.665 -83.335
35.663 -83.338
35.66 -83.347
35.661 -83.349
35.66 -83.352
35.657 -83.354
35.655 -83.356
35.652 -83.355
35.65 -83.356
35.647 -83.358
35.647 -83.359
35.646 -83.359
35.639 -83.367
35.638 -83.368
35.638 -83.37
35.639 -83.372
35.639 -83.374
35.637 -83.377
35.634 -83.378
35.635 -83.38
35.634 -83.389
35.632 -83.389
35.625 -83.393
35.623 -83.397
35.621 -83.404
35.62 -83.406
35.618 -83.411
35.617 -83.412
35.613 -83.42
35.612 -83.421
35.611 -83.422
35.61 -83.432
35.612 -83.441
35.612 -83.446
35.609 -83.447
35.603 -83.452
35.598 -83.456
35.593 -83.463
35.59 -83.471
35.589 -83.473
35.587 -83.473
35.585 -83.475
35.583 -83.479
35.579 -83.479
35.577 -83.481
35.568 -83.486
35.567 -83.492
35.563 -83.498
35.563 -83.518
35.566 -83.52
35.565 -83.534
35.566 -83.541
35.564 -83.552
35.565 -83.559
35.566 -83.566
35.566 -83.572
35.564 -83.576
35.563 -83.582
35.563 -83.586
35.564 -83.587
35.567 -83.588
35.573 -83.594
35.578 -83.602
35.579 -83.605
35.579 -83.609
35.574 -83.615
35.568 -83.63
35.569 -83.632
35.568 -83.636
35.567 -83.637
35.566 -83.64
35.566 -83.645
35.568 -83.653
35.569 -83.658
35.568 -83.661
35.569 -83.663
35.569 -83.666
35.569 -83.673
35.57 -83.676
35.569 -83.684
35.568 -83.698
35.568 -83.701
35.568 -83.702
35.568 -83.704
35.569 -83.707
35.563 -83.721
35.562 -83.723
35.563 -83.733
35.565 -83.736
35.561 -83.75
35.564 -83.757
35.562 -83.76
35.562 -83.765
35.562 -83.772
35.557 -83.773
35.55 -83.78
35.547 -83.787
35.542 -83.802
35.536 -83.809
35.534 -83.81
35.524 -83.826
35.525 -83.827
35.525 -83.832
35.522 -83.84
35.519 -83.849
35.521 -83.854
35.521 -83.856
35.522 -83.858
35.522 -83.859
35.521 -83.866
35.521 -83.873
35.519 -83.88
35.517 -83.883
35.513 -83.884
35.503 -83.892
35.502 -83.893
35.502 -83.896
35.497 -83.901
35.495 -83.901
35.494 -83.9
35.493 -83.9
35.491 -83.902
35.489 -83.906
35.484 -83.908
35.48 -83.909
35.476 -83.912
35.474 -83.917
35.473 -83.92
35.474 -83.921
35.474 -83.925
35.473 -83.928
35.473 -83.93
35.472 -83.937
35.467 -83.942
35.465 -83.943
35.461 -83.949
35.461 -83.953
35.463 -83.955
35.464 -83.958
35.464 -83.961
35.463 -83.961
35.459 -83.961
35.455 -83.965
35.455 -83.967
35.455 -83.97
35.455 -83.971
35.453 -83.973
35.449 -83.973
35.448 -83.978
35.442 -83.983
35.438 -83.993
35.434 -83.997
35.431 -83.998
35.426 -83.999
35.425 -84
35.423 -84.002
35.421 -84.005
35.415 -84.012
35.412 -84.015
35.411 -84.018
35.41 -84.021
35.407 -84.022
35.404 -84.022
35.4 -84.019
35.399 -84.018
35.398 -84.015
35.398 -84.014
35.39 -84.008
35.386 -84.011
35.385 -84.011
35.384 -84.011
35.383 -84.01
35.382 -84.01
35.379 -84.008
35.372 -84.008
35.365 -84.015
35.36 -84.019
35.358 -84.02
35.354 -84.023
35.354 -84.025
35.351 -84.035
35.35 -84.037
35.348 -84.038
35.337 -84.032
35.336 -84.031
35.333 -84.029
35.33 -84.03
35.329 -84.032
35.327 -84.032
35.325 -84.032
35.318 -84.036
35.313 -84.036
35.312 -84.035
35.31 -84.029
35.309 -84.027
35.301 -84.021
35.296 -84.024
35.293 -84.028
35.289 -84.036
35.278 -84.043
35.27 -84.053
35.268 -84.056
35.267 -84.064
35.264 -84.071
35.263 -84.075
35.261 -84.081
35.259 -84.083
35.257 -84.083
35.251 -84.091
35.25 -84.092
35.249 -84.093
35.248 -84.097
35.247 -84.098
35.248 -84.102
35.249 -84.103
35.25 -84.108
35.249 -84.113
35.249 -84.114
35.25 -84.115
35.251 -84.121
35.25 -84.125
35.249 -84.126
35.246 -84.127
35.244 -84.127
35.244 -84.129
35.243 -84.131
35.244 -84.133
35.245 -84.136
35.246 -84.14
35.247 -84.143
35.247 -84.15
35.246 -84.155
35.246 -84.159
35.244 -84.16
35.243 -84.161
35.246 -84.169
35.246 -84.17
35.242 -84.177
35.241 -84.179
35.24 -84.188
35.243 -84.192
35.244 -84.199
35.245 -84.2
35.248 -84.202
35.256 -84.203
35.258 -84.205
35.26 -84.206
35.266 -84.211
35.266 -84.212
35.268 -84.216
35.269 -84.224
35.268 -84.228
35.265 -84.232
35.255 -84.24
35.253 -84.243
35.249 -84.253
35.246 -84.258
35.242 -84.26
35.235 -84.275
35.228 -84.283
35.227 -84.283
35.224 -84.288
35.225 -84.29
35.226 -84.29
35.207 -84.292
35.182 -84.295
35.167 -84.298
35.122 -84.305
35.093 -84.308
35.093 -84.309
35.079 -84.31
35.027 -84.317
35.022 -84.317
35.02 -84.318
34.988 -84.322
34.988 -84.343
34.988 -84.347
34.988 -84.383
34.988 -84.392
34.988 -84.394
34.988 -84.395
34.988 -84.509
34.988 -84.51
34.988 -84.568
34.988 -84.621
34.988 -84.625
34.988 -84.683
34.988 -84.727
34.988 -84.731
34.988 -84.776
34.988 -84.808
34.988 -84.809
34.988 -84.811
34.988 -84.817
34.988 -84.82
34.988 -84.824
34.988 -84.832
34.988 -84.858
34.988 -84.861
34.988 -84.888
34.988 -84.939
34.988 -84.944
34.988 -84.956
34.988 -84.977
34.988 -84.98
34.987 -85.038
34.987 -85.045
34.987 -85.063
34.987 -85.065
34.987 -85.096
34.987 -85.103
34.986 -85.127
34.986 -85.14
34.986 -85.148
34.986 -85.175
34.986 -85.181
34.986 -85.186
34.986 -85.202
34.986 -85.217
34.986 -85.218
34.986 -85.221
34.985 -85.222
34.985 -85.228
34.985 -85.23
34.985 -85.236
34.985 -85.242
34.985 -85.255
34.985 -85.265
34.985 -85.273
34.985 -85.276
34.985 -85.278
34.985 -85.281
34.985 -85.283
34.985 -85.287
34.985 -85.295
34.984 -85.301
34.984 -85.305
34.984 -85.308
34.984 -85.327
34.984 -85.342
34.984 -85.344
34.984 -85.346
34.983 -85.364
34.983 -85.365
34.983 -85.385
34.983 -85.393
34.983 -85.395
34.983 -85.408
34.983 -85.409
34.983 -85.426
34.983 -85.451
34.983 -85.467
34.983 -85.47
34.983 -85.474
34.983 -85.498
34.984 -85.553
34.985 -85.605
34.985 -85.611
34.986 -85.695
34.986 -85.7
34.986 -85.702
34.987 -85.722
34.987 -85.727
34.987 -85.732
34.987 -85.77
34.988 -85.797
34.988 -85.808
34.988 -85.809
34.988 -85.824
34.988 -85.829
34.988 -85.864
34.99 -86.067
34.99 -86.152
34.991 -86.311
34.991 -86.319
34.992 -86.397
34.991 -86.428
34.991 -86.434
34.991 -86.468
34.991 -86.523
34.991 -86.528
34.991 -86.555
34.991 -86.556
34.991 -86.571
34.991 -86.589
34.991 -86.6
34.992 -86.641
34.992 -86.66
34.992 -86.671
34.992 -86.674
34.992 -86.677
34.992 -86.678
34.992 -86.722
34.992 -86.729
34.992 -86.784
34.992 -86.816
34.992 -86.821
34.992 -86.836
34.992 -86.846
34.992 -86.85
34.992 -86.862
34.992 -86.879
34.993 -86.9
34.994 -86.938
34.994 -86.967
34.995 -86.97
34.995 -86.973
34.995 -86.974
34.995 -87
34.995 -87.011
34.997 -87.09
34.997 -87.095
34.997 -87.12
34.997 -87.126
34.999 -87.211
34.999 -87.215
34.999 -87.217
34.999 -87.22
34.999 -87.223
34.999 -87.231
35 -87.27
35.001 -87.299
35.002 -87.349
35.002 -87.359
35.002 -87.381
35.002 -87.391
35.003 -87.417
35.003 -87.422
35.003 -87.429
35.003 -87.461
35.003 -87.493
35.003 -87.495
35.003 -87.523
35.004 -87.606
35.004 -87.619
35.004 -87.625
35.004 -87.664
35.004 -87.671
35.004 -87.697
35.004 -87.701
35.004 -87.702
35.004 -87.709
35.005 -87.759
35.005 -87.768
35.005 -87.774
35.005 -87.821
35.006 -87.852
35.006 -87.853
35.006 -87.854
35.006 -87.873
35.006 -87.878
35.005 -87.878
35.006 -87.927
35.006 -87.985
35.006 -88
35.008 -88.203
35.005 -88.202
34.998 -88.201
34.996 -88.2
34.996 -88.252
34.996 -88.254
34.995 -88.258
34.996 -88.346
34.996 -88.381
34.996 -88.463
34.996 -88.47
34.996 -88.505
34.996 -88.514
34.996 -88.564
34.996 -88.585
34.995 -88.754
34.995 -88.787
34.995 -88.851
34.995 -88.854
34.995 -88.858
34.996 -88.887
34.996 -88.889
34.996 -88.894
34.995 -88.925
34.995 -88.994
34.995 -89.008
34.995 -89.024
34.995 -89.027
34.995 -89.031
34.995 -89.104
34.994 -89.139
34.994 -89.157
34.994 -89.159
34.994 -89.198
34.995 -89.217
34.994 -89.335
34.994 -89.422
34.994 -89.435
34.994 -89.441
34.994 -89.454
34.994 -89.461
34.994 -89.485
34.994 -89.487
34.994 -89.494
34.995 -89.511
34.995 -89.565
34.995 -89.595
34.995 -89.618
34.995 -89.644
34.995 -89.707
34.995 -89.742
34.995 -89.76
34.994 -89.795
34.994 -89.83
34.994 -89.848
34.994 -89.861
34.994 -89.878
34.994 -89.883
34.994 -89.893
34.994 -89.937
34.995 -89.956
34.995 -89.979
34.995 -89.99
34.995 -90.003
34.995 -90.008
34.995 -90.011
34.995 -90.025
34.995 -90.032
34.995 -90.043
34.995 -90.056
34.995 -90.061
34.995 -90.096
34.995 -90.127
34.995 -90.138
34.996 -90.259
34.996 -90.304
34.996 -90.309
35.004 -90.31
35.01 -90.31
35.018 -90.307
35.029 -90.301
35.038 -90.297
35.04 -90.296
35.042 -90.292
35.04 -90.265
35.04 -90.264
35.037 -90.263
35.036 -90.262
35.034 -90.256
35.031 -90.231
35.03 -90.225
35.026 -90.216
35.026 -90.214
35.027 -90.209
35.033 -90.2
35.037 -90.196
35.042 -90.193
35.051 -90.193
35.056 -90.194
35.062 -90.194
35.076 -90.188
35.091 -90.181
35.112 -90.177
35.118 -90.174
35.125 -90.165
35.129 -90.16
35.131 -90.156
35.135 -90.145
35.135 -90.143
35.134 -90.139
35.119 -90.109
35.117 -90.101
35.118 -90.091
35.12 -90.087
35.122 -90.083
35.128 -90.076
35.128 -90.075
35.132 -90.071
35.136 -90.067
35.138 -90.065
35.141 -90.065
35.142 -90.065
35.151 -90.066
35.152 -90.067
35.153 -90.068
35.154 -90.069
35.157 -90.089
35.158 -90.093
35.16 -90.098
35.163 -90.103
35.167 -90.107
35.169 -90.109
35.175 -90.109
35.178 -90.109
35.179 -90.111
35.182 -90.114
35.188 -90.117
35.191 -90.118
35.198 -90.116
35.199 -90.109
35.195 -90.097
35.195 -90.096
35.203 -90.093
35.211 -90.089
35.212 -90.089
35.214 -90.087
35.214 -90.084
35.214 -90.082
35.215 -90.08
35.216 -90.079
35.217 -90.078
35.22 -90.078
35.223 -90.079
35.228 -90.081
35.232 -90.083
35.236 -90.086
35.242 -90.091
35.25 -90.098
35.251 -90.099
35.254 -90.105
35.255 -90.11
35.256 -90.116
35.255 -90.124
35.253 -90.132
35.252 -90.14
35.256 -90.152
35.263 -90.159
35.275 -90.167
35.279 -90.169
35.282 -90.169
35.293 -90.165
35.296 -90.164
35.299 -90.161
35.301 -90.159
35.303 -90.153
35.303 -90.15
35.299 -90.14
35.3 -90.132
35.305 -90.124
35.305 -90.122
35.303 -90.117
35.305 -90.109
35.325 -90.107
35.332 -90.104
35.333 -90.104
35.343 -90.11
35.343 -90.109
35.343 -90.107
35.352 -90.1
35.357 -90.097
35.36 -90.093
35.361 -90.09
35.363 -90.088
35.369 -90.084
35.384 -90.075
35.384 -90.078
35.385 -90.08
35.391 -90.088
35.393 -90.094
35.395 -90.097
35.401 -90.105
35.403 -90.107
35.409 -90.111
35.41 -90.113
35.412 -90.117
35.414 -90.13
35.413 -90.135
35.412 -90.138
35.409 -90.142
35.407 -90.143
35.404 -90.145
35.399 -90.146
35.395 -90.146
35.388 -90.143
35.377 -90.136
35.375 -90.145
35.375 -90.166
35.378 -90.172
35.382 -90.178
35.385 -90.179
35.41 -90.171
35.418 -90.171
35.422 -90.169
35.442 -90.129
35.46 -90.123
35.466 -90.121
35.469 -90.118
35.472 -90.114
35.477 -90.108
35.477 -90.102
35.479 -90.099
35.479 -90.085
35.477 -90.08
35.473 -90.075
35.471 -90.072
35.466 -90.068
35.465 -90.067
35.461 -90.067
35.45 -90.071
35.44 -90.074
35.434 -90.074
35.423 -90.071
35.415 -90.062
35.411 -90.062
35.408 -90.06
35.407 -90.058
35.407 -90.055
35.408 -90.053
35.408 -90.052
35.41 -90.049
35.413 -90.047
35.415 -90.045
35.419 -90.044
35.421 -90.043
35.423 -90.041
35.428 -90.032
35.435 -90.029
35.438 -90.027
35.44 -90.027
35.445 -90.027
35.448 -90.027
35.454 -90.024
35.457 -90.022
35.465 -90.019
35.468 -90.019
35.47 -90.02
35.481 -90.035
35.492 -90.044
35.497 -90.046
35.504 -90.049
35.515 -90.05
35.522 -90.049
35.53 -90.046
35.532 -90.045
35.537 -90.042
35.548 -90.04
35.55 -90.038
35.553 -90.033
35.555 -90.029
35.556 -90.024
35.556 -90.017
35.559 -90.011
35.56 -90.008
35.561 -89.999
35.561 -89.993
35.56 -89.989
35.554 -89.976
35.542 -89.959
35.539 -89.957
35.535 -89.956
35.533 -89.956
35.53 -89.958
35.527 -89.958
35.526 -89.956
35.523 -89.952
35.522 -89.951
35.52 -89.948
35.519 -89.945
35.519 -89.934
35.518 -89.933
35.514 -89.923
35.514 -89.919
35.515 -89.915
35.517 -89.912
35.521 -89.909
35.523 -89.908
35.524 -89.907
35.534 -89.904
35.536 -89.904
35.537 -89.906
35.538 -89.909
35.539 -89.911
35.541 -89.911
35.543 -89.91
35.544 -89.91
35.548 -89.911
35.55 -89.914
35.55 -89.917
35.551 -89.924
35.552 -89.929
35.557 -89.941
35.56 -89.945
35.564 -89.947
35.576 -89.954
35.581 -89.957
35.585 -89.958
35.587 -89.958
35.591 -89.957
35.594 -89.954
35.597 -89.951
35.602 -89.945
35.608 -89.933
35.612 -89.92
35.617 -89.912
35.618 -89.911
35.616 -89.906
35.615 -89.9
35.615 -89.899
35.615 -89.897
35.616 -89.894
35.622 -89.885
35.626 -89.877
35.627 -89.877
35.631 -89.864
35.634 -89.857
35.638 -89.854
35.644 -89.852
35.65 -89.851
