segment Nebraska
42.726 -96.93
42.73 -96.924
42.731 -96.92
42.734 -96.907
42.733 -96.906
42.732 -96.902
42.73 -96.899
42.725 -96.887
42.724 -96.873
42.721 -96.86
42.715 -96.85
42.712 -96.843
42.708 -96.83
42.708 -96.826
42.708 -96.819
42.706 -96.813
42.704 -96.806
42.699 -96.802
42.692 -96.8
42.684 -96.8
42.672 -96.802
42.67 -96.801
42.668 -96.799
42.666 -96.793
42.664 -96.781
42.663 -96.78
42.663 -96.778
42.663 -96.777
42.662 -96.764
42.664 -96.751
42.666 -96.749
42.666 -96.748
42.666 -96.747
42.666 -96.744
42.667 -96.742
42.667 -96.74
42.667 -96.735
42.667 -96.733
42.667 -96.73
42.667 -96.728
42.666 -96.725
42.659 -96.698
42.656 -96.691
42.653 -96.688
42.652 -96.687
42.65 -96.687
42.646 -96.688
42.645 -96.688
42.644 -96.689
42.642 -96.693
42.638 -96.697
42.625 -96.707
42.622 -96.709
42.617 -96.711
42.615 -96.712
42.608 -96.711
42.604 -96.709
42.599 -96.706
42.59 -96.697
42.578 -96.686
42.575 -96.682
42.574 -96.681
42.572 -96.676
42.567 -96.66
42.566 -96.659
42.566 -96.657
42.564 -96.654
42.561 -96.648
42.56 -96.647
42.559 -96.646
42.558 -96.644
42.554 -96.64
42.553 -96.639
42.552 -96.638
42.551 -96.637
42.548 -96.636
42.548 -96.635
42.546 -96.635
42.54 -96.633
42.532 -96.633
42.529 -96.633
42.524 -96.631
42.517 -96.628
42.514 -96.626
42.506 -96.611
42.505 -96.609
42.504 -96.603
42.505 -96.596
42.505 -96.595
42.505 -96.594
42.505 -96.591
42.506 -96.589
42.508 -96.585
42.508 -96.584
42.516 -96.573
42.516 -96.572
42.517 -96.57
42.518 -96.568
42.519 -96.565
42.52 -96.559
42.52 -96.558
42.52 -96.557
42.521 -96.55
42.521 -96.549
42.52 -96.548
42.519 -96.541
42.518 -96.538
42.515 -96.532
42.513 -96.529
42.51 -96.525
42.505 -96.521
