segment Oregon
45.706 -120.724
45.716 -120.689
45.73 -120.669
45.737 -120.654
45.746 -120.635
45.747 -120.591
45.738 -120.559
45.71 -120.522
45.7 -120.506
45.694 -120.482
45.699 -120.404
45.711 -120.329
45.72 -120.289
45.721 -120.282
45.726 -120.211
45.762 -120.17
45.773 -120.141
45.785 -120.07
45.812 -120.001
45.812 -120
45.824 -119.966
45.828 -119.907
45.835 -119.876
45.836 -119.868
45.848 -119.803
45.846 -119.773
45.85 -119.73
45.857 -119.672
45.857 -119.67
45.906 -119.623
45.92 -119.601
45.925 -119.572
45.913 -119.537
45.909 -119.525
45.906 -119.488
45.917 -119.45
45.918 -119.432
45.922 -119.364
45.924 -119.357
45.933 -119.323
45.934 -119.313
45.94 -119.257
45.933 -119.226
45.928 -119.196
45.928 -119.169
45.931 -119.141
45.933 -119.126
45.943 -119.093
45.959 -119.061
45.969 -119.027
45.979 -119.009
46 -118.987
46.001 -118.941
46.001 -118.82
46.001 -118.788
46.001 -118.678
46.001 -118.659
46.001 -118.639
46.001 -118.638
46.001 -118.591
46.001 -118.58
46.001 -118.576
46.001 -118.569
46.001 -118.537
46.001 -118.497
46.001 -118.471
46.001 -118.424
46.001 -118.387
46.001 -118.378
46.001 -118.368
46.001 -118.341
46 -118.315
46.001 -118.284
46 -118.256
46 -118.253
46 -118.237
46 -118.229
46.001 -118.146
46 -118.131
46 -118.126
46.001 -117.997
46.001 -117.978
46 -117.718
45.999 -117.603
45.998 -117.505
45.998 -117.48
45.998 -117.475
45.999 -117.44
45.999 -117.391
45.996 -117.354
45.999 -117.338
45.998 -117.217
45.998 -117.215
45.998 -117.213
45.998 -117.09
45.998 -117.07
45.997 -117.051
45.997 -116.986
45.996 -116.941
45.995 -116.916
45.989 -116.911
45.974 -116.893
45.959 -116.887
45.945 -116.876
45.941 -116.875
45.924 -116.87
45.917 -116.867
45.915 -116.866
45.911 -116.862
45.907 -116.86
45.904 -116.857
45.892 -116.844
45.886 -116.83
45.881 -116.819
45.878 -116.814
45.858 -116.796
45.85 -116.79
45.844 -116.788
45.84 -116.788
45.837 -116.789
45.833 -116.789
45.832 -116.788
45.825 -116.783
45.817 -116.763
45.816 -116.76
45.817 -116.755
45.818 -116.753
45.819 -116.751
45.82 -116.748
45.821 -116.747
45.821 -116.745
45.823 -116.743
45.824 -116.74
45.825 -116.74
45.826 -116.738
45.826 -116.736
45.827 -116.716
45.826 -116.712
45.826 -116.711
45.825 -116.709
45.825 -116.708
45.821 -116.698
45.82 -116.697
45.806 -116.687
45.794 -116.68
45.782 -116.665
45.78 -116.66
45.78 -116.646
45.781 -116.64
45.784 -116.636
45.785 -116.632
45.781 -116.605
45.779 -116.594
45.779 -116.593
45.768 -116.577
45.755 -116.559
45.753 -116.554
45.753 -116.55
45.753 -116.549
45.752 -116.548
45.751 -116.547
45.737 -116.537
45.734 -116.536
45.715 -116.538
45.697 -116.536
45.692 -116.535
45.691 -116.535
45.681 -116.528
45.678 -116.524
45.67 -116.512
45.656 -116.495
45.653 -116.492
45.65 -116.488
45.649 -116.488
45.64 -116.482
45.632 -116.478
45.631 -116.477
45.625 -116.473
45.621 -116.47
45.618 -116.465
45.616 -116.464
45.603 -116.464
45.6 -116.466
45.578 -116.482
45.577 -116.483
45.574 -116.49
45.567 -116.503
45.557 -116.513
45.547 -116.524
45.525 -116.535
45.514 -116.544
45.51 -116.549
45.499 -116.553
45.481 -116.559
45.48 -116.559
45.473 -116.555
45.463 -116.555
45.461 -116.562
45.46 -116.564
45.453 -116.576
45.449 -116.581
45.443 -116.588
45.427 -116.592
45.413 -116.597
45.398 -116.619
45.388 -116.627
45.368 -116.641
45.351 -116.653
45.322 -116.674
45.314 -116.675
45.298 -116.673
45.289 -116.672
45.283 -116.673
45.276 -116.674
45.275 -116.676
45.271 -116.681
45.268 -116.687
45.264 -116.691
45.255 -116.696
45.24 -116.704
45.219 -116.709
45.217 -116.71
45.207 -116.709
45.203 -116.71
45.172 -116.724
45.163 -116.724
45.144 -116.729
45.142 -116.73
45.14 -116.731
45.114 -116.755
45.106 -116.775
45.096 -116.782
45.094 -116.784
45.088 -116.784
45.079 -116.784
45.077 -116.784
45.075 -116.785
45.06 -116.797
45.051 -116.809
45.038 -116.825
45.035 -116.83
45.031 -116.841
45.023 -116.848
45.022 -116.848
45.018 -116.846
45.015 -116.845
45.001 -116.845
45 -116.846
44.984 -116.857
44.98 -116.858
44.979 -116.858
44.978 -116.858
44.977 -116.858
44.96 -116.851
44.958 -116.851
44.952 -116.846
44.941 -116.836
44.933 -116.832
44.931 -116.832
44.929 -116.834
44.924 -116.838
44.915 -116.842
44.905 -116.846
44.894 -116.851
44.888 -116.852
44.881 -116.857
44.871 -116.865
44.858 -116.884
44.848 -116.896
44.835 -116.906
44.814 -116.921
44.808 -116.928
44.805 -116.931
44.799 -116.934
44.797 -116.934
44.794 -116.933
44.791 -116.931
44.79 -116.931
44.787 -116.932
44.784 -116.935
44.783 -116.937
44.778 -116.949
44.775 -116.967
44.774 -116.971
44.773 -116.973
44.768 -116.978
44.762 -116.987
44.761 -116.989
44.76 -116.991
44.759 -116.992
44.759 -116.993
44.757 -116.997
44.756 -116.999
44.756 -117.006
44.757 -117.013
44.757 -117.014
44.756 -117.015
44.748 -117.038
44.745 -117.044
44.742 -117.047
44.727 -117.062
44.722 -117.06
44.707 -117.062
44.704 -117.064
44.701 -117.072
44.692 -117.079
44.687 -117.081
44.684 -117.081
44.669 -117.091
44.665 -117.096
44.657 -117.097
44.652 -117.095
44.641 -117.098
44.627 -117.108
44.625 -117.115
44.62 -117.118
44.615 -117.121
44.594 -117.125
44.584 -117.125
44.582 -117.126
44.575 -117.134
44.573 -117.138
44.571 -117.142
44.569 -117.146
44.564 -117.148
44.562 -117.148
44.557 -117.143
44.546 -117.144
44.536 -117.149
44.532 -117.152
44.525 -117.161
44.523 -117.167
44.523 -117.182
44.519 -117.185
44.513 -117.19
44.51 -117.192
44.507 -117.191
44.503 -117.192
44.5 -117.194
44.492 -117.2
44.486 -117.209
44.485 -117.211
44.486 -117.216
44.485 -117.221
44.484 -117.224
44.482 -117.225
44.479 -117.226
44.477 -117.226
44.474 -117.224
44.47 -117.222
44.459 -117.217
44.454 -117.216
44.448 -117.215
44.427 -117.215
44.421 -117.218
44.408 -117.225
44.406 -117.227
44.4 -117.235
44.397 -117.243
44.391 -117.243
44.374 -117.235
44.368 -117.228
44.36 -117.217
44.358 -117.211
44.355 -117.207
44.347 -117.197
44.346 -117.196
44.337 -117.19
44.335 -117.19
44.33 -117.192
44.329 -117.192
44.313 -117.203
44.312 -117.205
44.309 -117.215
44.308 -117.217
44.307 -117.218
44.301 -117.22
44.299 -117.222
44.298 -117.223
44.288 -117.217
44.274 -117.198
44.271 -117.193
44.259 -117.17
44.257 -117.157
44.258 -117.143
44.259 -117.139
44.263 -117.134
44.264 -117.133
44.267 -117.133
44.269 -117.131
44.278 -117.121
44.279 -117.118
44.281 -117.112
44.281 -117.108
44.28 -117.104
44.279 -117.102
44.276 -117.099
44.271 -117.095
44.269 -117.094
44.26 -117.091
44.258 -117.09
44.25 -117.078
44.244 -117.067
44.237 -117.059
44.231 -117.057
44.229 -117.053
44.229 -117.052
44.229 -117.05
44.23 -117.047
44.232 -117.046
44.243 -117.042
44.247 -117.036
44.249 -117.032
44.249 -117.028
44.249 -117.025
44.246 -117.02
44.245 -117.017
44.245 -117.001
44.245 -116.987
44.243 -116.977
44.243 -116.976
44.24 -116.974
44.236 -116.972
44.227 -116.974
44.226 -116.974
44.208 -116.974
44.197 -116.972
44.195 -116.967
44.194 -116.965
44.191 -116.948
44.192 -116.945
44.194 -116.941
44.194 -116.939
44.194 -116.935
44.192 -116.925
44.18 -116.904
44.18 -116.903
44.179 -116.903
44.177 -116.9
44.171 -116.896
44.161 -116.894
44.16 -116.894
44.158 -116.894
44.154 -116.896
44.13 -116.913
44.125 -116.917
44.109 -116.928
44.107 -116.928
44.1 -116.934
44.097 -116.938
44.096 -116.939
44.095 -116.942
44.094 -116.943
44.094 -116.944
44.092 -116.957
44.091 -116.967
44.089 -116.972
44.088 -116.974
44.085 -116.977
44.081 -116.977
44.069 -116.976
44.064 -116.975
44.059 -116.975
44.054 -116.974
44.053 -116.974
44.049 -116.973
44.049 -116.972
44.043 -116.956
44.036 -116.943
44.029 -116.937
44.024 -116.935
44.021 -116.934
44.011 -116.937
44.002 -116.939
43.997 -116.94
43.989 -116.942
43.988 -116.943
43.984 -116.946
43.972 -116.958
43.969 -116.966
43.968 -116.97
43.965 -116.971
43.963 -116.972
43.96 -116.971
43.959 -116.97
43.957 -116.969
43.957 -116.968
43.956 -116.966
43.953 -116.964
43.946 -116.963
43.933 -116.963
43.928 -116.962
43.921 -116.964
43.919 -116.966
43.917 -116.968
43.907 -116.977
43.906 -116.977
43.901 -116.976
43.896 -116.976
43.894 -116.976
43.877 -116.98
43.869 -116.982
43.868 -116.983
43.866 -116.987
43.864 -116.99
43.864 -116.991
43.865 -116.997
43.865 -116.999
43.863 -117.005
43.863 -117.009
43.862 -117.011
43.859 -117.014
43.856 -117.016
43.853 -117.017
43.842 -117.023
43.834 -117.026
43.832 -117.027
43.83 -117.027
43.826 -117.027
43.812 -117.027
43.808 -117.027
43.761 -117.027
43.734 -117.027
43.733 -117.027
43.715 -117.027
43.706 -117.027
43.683 -117.027
43.676 -117.027
43.664 -117.027
43.632 -117.027
43.625 -117.027
43.621 -117.027
43.618 -117.027
43.611 -117.027
43.602 -117.027
43.6 -117.027
43.596 -117.027
43.594 -117.027
43.579 -117.027
43.578 -117.027
43.565 -117.027
43.025 -117.027
42.807 -117.026
42.625 -117.027
42.379 -117.027
42.357 -117.026
42.166 -117.026
42.133 -117.027
42.118 -117.026
42 -117.026
42 -117.041
41.999 -117.049
42 -117.055
42 -117.069
42 -117.081
42 -117.167
42 -117.198
42 -117.208
42 -117.218
41.999 -117.404
42 -117.443
41.999 -117.507
41.999 -117.591
41.999 -117.613
41.998 -117.624
41.998 -117.625
41.998 -117.626
41.998 -117.631
41.998 -117.657
41.998 -117.863
41.998 -117.873
41.998 -117.887
41.997 -118.197
41.995 -118.501
41.994 -118.602
41.992 -118.696
41.993 -118.776
41.993 -118.777
41.992 -118.796
41.994 -119.001
41.993 -119.208
41.994 -119.232
41.994 -119.251
41.994 -119.36
41.995 -119.445
41.996 -119.726
41.998 -119.79
41.997 -119.849
41.998 -119.873
41.997 -119.876
41.996 -119.987
41.995 -119.999
41.995 -120.001
41.995 -120.159
41.995 -120.182
41.994 -120.191
41.993 -120.286
41.993 -120.326
41.994 -120.501
41.994 -120.506
41.994 -120.508
41.994 -120.516
41.993 -120.622
41.993 -120.647
41.994 -120.692
41.994 -120.694
41.994 -120.812
41.994 -120.879
41.993 -121.035
41.995 -121.095
41.996 -121.126
41.997 -121.248
41.998 -121.251
41.998 -121.31
41.997 -121.316
41.997 -121.317
41.997 -121.334
41.997 -121.336
41.996 -121.341
41.997 -121.36
41.997 -121.376
41.997 -121.428
41.997 -121.435
41.997 -121.44
41.998 -121.519
41.998 -121.52
41.999 -121.581
41.999 -121.6
42 -121.675
42.001 -121.689
42.001 -121.705
42.001 -121.708
42.003 -121.825
42.003 -121.829
42.003 -121.847
42.004 -122
42.006 -122.102
42.007 -122.155
42.007 -122.157
42.008 -122.16
42.008 -122.161
42.007 -122.261
42.008 -122.29
42.01 -122.378
42.009 -122.398
42.008 -122.501
42.005 -122.616
42.005 -122.635
42.004 -122.713
42.004 -122.8
42.003 -122.876
42.003 -122.894
42.003 -122.942
42.003 -122.962
42.003 -123.045
42.005 -123.066
42.005 -123.084
42.009 -123.146
42.008 -123.155
42.005 -123.192
42.004 -123.231
41.999 -123.348
41.999 -123.352
41.999 -123.382
42.002 -123.435
42.001 -123.499
42 -123.499
42.001 -123.502
42.001 -123.525
42.001 -123.53
42 -123.553
42 -123.625
41.999 -123.632
41.995 -123.657
41.997 -123.728
41.996 -123.789
41.995 -123.814
41.995 -123.821
41.996 -123.834
41.996 -124.001
41.997 -124.087
41.997 -124.088
41.997 -124.1
41.997 -124.101
41.997 -124.126
41.998 -124.212
42.006 -124.214
42.023 -124.238
42.027 -124.245
42.042 -124.265
42.045 -124.27
42.046 -124.27
42.046 -124.28
42.046 -124.282
42.046 -124.287
42.047 -124.289
42.05 -124.295
42.052 -124.3
42.068 -124.314
42.069 -124.315
42.072 -124.318
42.093 -124.341
42.115 -124.356
42.118 -124.357
42.13 -124.352
42.135 -124.352
42.142 -124.356
42.144 -124.362
42.152 -124.366
42.158 -124.367
42.159 -124.363
42.162 -124.36
42.181 -124.361
42.188 -124.368
42.19 -124.373
42.193 -124.375
42.196 -124.376
42.209 -124.376
42.214 -124.377
42.219 -124.378
42.227 -124.384
42.234 -124.392
42.251 -124.411
42.254 -124.412
42.261 -124.409
42.278 -124.405
42.307 -124.411
42.317 -124.418
42.332 -124.429
42.335 -124.427
42.352 -124.426
42.377 -124.424
42.378 -124.424
42.395 -124.425
42.396 -124.425
42.398 -124.425
42.413 -124.427
42.42 -124.428
42.421 -124.429
42.435 -124.435
42.44 -124.435
42.461 -124.422
42.479 -124.423
42.492 -124.421
42.513 -124.411
42.54 -124.399
42.567 -124.391
42.575 -124.39
42.586 -124.395
42.598 -124.401
42.618 -124.399
42.627 -124.401
42.658 -124.413
42.661 -124.416
42.662 -124.417
42.667 -124.43
42.672 -124.441
42.676 -124.451
42.678 -124.451
42.685 -124.448
42.685 -124.447
42.685 -124.448
42.686 -124.448
42.688 -124.448
42.69 -124.448
42.708 -124.459
42.733 -124.474
42.735 -124.478
42.741 -124.49
42.741 -124.491
42.742 -124.492
42.742 -124.493
42.741 -124.498
42.739 -124.499
42.735 -124.509
42.735 -124.51
42.735 -124.512
42.735 -124.513
42.737 -124.515
42.74 -124.515
42.741 -124.515
42.754 -124.516
42.755 -124.517
42.79 -124.524
42.806 -124.532
42.814 -124.536
42.823 -124.544
42.841 -124.552
42.848 -124.548
42.856 -124.542
42.865 -124.536
42.918 -124.5
42.949 -124.482
42.951 -124.481
42.955 -124.479
42.96 -124.477
42.989 -124.464
42.991 -124.463
43 -124.457
43.071 -124.436
43.09 -124.433
43.093 -124.433
43.097 -124.432
43.101 -124.433
43.111 -124.434
43.116 -124.434
43.117 -124.434
43.121 -124.429
43.123 -124.428
43.124 -124.427
43.126 -124.425
43.127 -124.424
43.139 -124.42
43.183 -124.402
43.185 -124.402
43.189 -124.401
43.206 -124.397
43.211 -124.395
43.224 -124.396
43.232 -124.393
43.27 -124.382
43.291 -124.389
43.299 -124.394
43.302 -124.4
43.306 -124.403
43.307 -124.402
43.311 -124.399
43.318 -124.394
43.32 -124.392
43.326 -124.388
43.327 -124.386
43.333 -124.38
43.336 -124.376
43.339 -124.374
43.339 -124.373
43.343 -124.354
43.343 -124.353
43.35 -124.344
43.351 -124.342
43.359 -124.336
43.388 -124.315
43.436 -124.287
43.455 -124.278
43.502 -124.256
43.536 -124.242
43.557 -124.234
43.562 -124.232
43.61 -124.219
43.635 -124.212
43.658 -124.206
43.668 -124.203
43.671 -124.204
43.674 -124.205
43.689 -124.198
43.706 -124.193
43.747 -124.183
43.803 -124.17
43.809 -124.168
43.84 -124.163
43.853 -124.161
43.862 -124.159
43.864 -124.159
43.877 -124.156
43.879 -124.156
43.911 -124.15
43.958 -124.143
43.98 -124.14
44.017 -124.136
44.018 -124.136
44.021 -124.135
44.036 -124.134
44.039 -124.133
44.067 -124.129
44.092 -124.124
44.095 -124.124
44.104 -124.122
44.105 -124.122
44.105 -124.123
44.121 -124.125
44.125 -124.126
44.126 -124.126
44.135 -124.124
44.142 -124.123
44.172 -124.117
44.198 -124.114
44.207 -124.116
44.235 -124.111
44.265 -124.109
44.271 -124.11
44.273 -124.115
44.275 -124.116
44.276 -124.116
44.286 -124.115
44.287 -124.115
44.288 -124.115
44.299 -124.111
44.304 -124.109
44.31 -124.108
44.314 -124.11
44.315 -124.11
44.315 -124.109
44.325 -124.104
44.332 -124.101
44.37 -124.092
44.371 -124.092
44.416 -124.084
44.419 -124.082
44.419 -124.081
44.42 -124.081
44.422 -124.076
44.422 -124.075
44.424 -124.072
44.429 -124.068
44.431 -124.07
44.434 -124.074
44.431 -124.079
44.442 -124.082
44.462 -124.082
44.478 -124.082
44.487 -124.084
44.501 -124.084
44.524 -124.078
44.531 -124.076
44.572 -124.072
44.589 -124.07
44.592 -124.069
44.608 -124.067
44.611 -124.069
44.613 -124.069
44.613 -124.07
44.609 -124.082
44.61 -124.083
44.611 -124.084
44.622 -124.065
44.633 -124.065
44.639 -124.063
44.644 -124.062
44.659 -124.058
44.669 -124.06
44.67 -124.061
44.672 -124.062
44.684 -124.07
44.695 -124.066
44.703 -124.063
44.707 -124.063
44.738 -124.059
44.763 -124.066
44.766 -124.069
44.767 -124.071
44.771 -124.075
44.777 -124.075
44.779 -124.075
44.784 -124.075
44.785 -124.075
44.788 -124.075
44.798 -124.074
44.807 -124.072
44.813 -124.071
44.826 -124.068
44.831 -124.067
44.834 -124.065
44.835 -124.063
44.837 -124.06
44.838 -124.054
44.839 -124.054
44.85 -124.049
44.859 -124.046
44.901 -124.032
44.926 -124.026
44.928 -124.025
44.937 -124.026
44.942 -124.025
44.95 -124.024
44.976 -124.017
44.983 -124.015
44.987 -124.014
45.001 -124.012
45.002 -124.012
45.004 -124.012
45.016 -124.01
45.037 -124.006
45.044 -124.005
45.045 -124.005
45.046 -124.004
45.048 -124.005
45.047 -124.01
45.05 -124.018
45.061 -124.016
45.065 -124.016
45.067 -124.015
45.077 -124.012
45.085 -124.006
45.084 -124.005
45.094 -123.99
45.095 -123.989
45.1 -123.988
45.101 -123.988
45.142 -123.976
45.145 -123.975
45.159 -123.974
45.16 -123.974
45.195 -123.969
45.201 -123.968
45.217 -123.973
45.235 -123.97
45.246 -123.968
45.264 -123.965
45.265 -123.965
45.28 -123.963
45.289 -123.963
45.317 -123.964
45.329 -123.969
45.337 -123.973
45.339 -123.978
45.339 -123.979
45.338 -123.985
45.338 -123.986
45.337 -124.008
45.34 -124.007
45.344 -123.992
45.345 -123.989
45.348 -123.98
45.348 -123.979
45.349 -123.979
45.355 -123.973
45.357 -123.973
45.368 -123.97
45.386 -123.966
45.412 -123.963
45.417 -123.962
45.431 -123.961
45.436 -123.961
45.449 -123.964
45.451 -123.965
45.468 -123.973
45.472 -123.974
45.473 -123.974
45.49 -123.977
45.49 -123.976
45.494 -123.971
45.493 -123.966
45.51 -123.958
45.525 -123.955
45.553 -123.95
45.558 -123.949
45.565 -123.948
45.567 -123.951
45.571 -123.957
45.586 -123.951
45.599 -123.949
45.611 -123.947
45.645 -123.942
45.657 -123.94
45.662 -123.939
45.707 -123.939
45.709 -123.939
45.711 -123.94
45.718 -123.941
45.725 -123.943
45.727 -123.943
45.733 -123.946
45.742 -123.954
45.752 -123.964
45.757 -123.969
45.76 -123.978
45.762 -123.983
45.768 -123.982
45.782 -123.969
45.783 -123.969
45.837 -123.962
45.855 -123.962
45.856 -123.962
45.858 -123.962
45.859 -123.962
45.87 -123.963
45.88 -123.964
45.889 -123.965
45.901 -123.967
45.908 -123.968
45.911 -123.969
45.93 -123.979
45.939 -123.993
45.946 -123.994
45.969 -123.97
45.973 -123.961
45.974 -123.959
45.974 -123.957
45.975 -123.956
45.976 -123.942
45.976 -123.941
45.977 -123.937
45.979 -123.937
45.981 -123.937
45.989 -123.934
46.002 -123.93
46.004 -123.93
46.01 -123.928
46.011 -123.928
46.016 -123.928
46.02 -123.928
46.028 -123.929
46.033 -123.929
46.042 -123.929
46.047 -123.93
46.072 -123.933
46.099 -123.942
46.107 -123.945
46.114 -123.947
46.116 -123.948
46.125 -123.952
46.136 -123.957
46.142 -123.959
46.146 -123.961
46.15 -123.964
46.169 -123.974
46.172 -123.976
46.174 -123.977
46.189 -123.987
46.204 -123.997
46.216 -124.005
46.223 -124.01
46.224 -124.01
46.229 -124.024
46.236 -124.011
46.237 -124.002
46.235 -123.998
46.224 -123.988
46.218 -123.99
46.212 -123.987
46.21 -123.982
46.208 -123.962
46.205 -123.953
46.204 -123.95
46.192 -123.927
46.19 -123.925
46.179 -123.912
46.169 -123.904
46.165 -123.891
46.158 -123.858
46.158 -123.857
46.157 -123.855
46.161 -123.843
46.169 -123.842
46.17 -123.842
46.171 -123.844
46.176 -123.852
46.182 -123.863
46.188 -123.867
46.19 -123.864
46.191 -123.85
46.192 -123.839
46.191 -123.824
46.19 -123.822
46.196 -123.794
46.198 -123.788
46.204 -123.771
46.207 -123.76
46.205 -123.752
46.201 -123.737
46.199 -123.713
46.2 -123.707
46.209 -123.684
46.212 -123.675
46.215 -123.674
46.218 -123.667
46.218 -123.655
46.214 -123.636
46.217 -123.632
46.226 -123.626
46.234 -123.625
46.237 -123.623
46.239 -123.613
46.239 -123.605
46.235 -123.6
46.233 -123.596
46.229 -123.586
46.248 -123.548
46.259 -123.548
