segment Maine
45.152 -67.384
45.142 -67.371
45.142 -67.37
45.132 -67.357
45.129 -67.353
45.126 -67.346
45.126 -67.342
45.125 -67.341
45.126 -67.34
45.132 -67.33
45.139 -67.318
45.145 -67.305
45.147 -67.298
45.148 -67.296
45.15 -67.295
45.154 -67.294
45.155 -67.297
45.157 -67.302
45.161 -67.303
45.169 -67.299
45.17 -67.296
45.171 -67.291
45.174 -67.292
45.176 -67.293
45.177 -67.294
45.178 -67.294
45.181 -67.293
45.188 -67.291
45.188 -67.29
45.189 -67.29
45.19 -67.287
45.192 -67.284
45.192 -67.277
45.191 -67.272
45.191 -67.271
45.191 -67.27
45.189 -67.266
45.188 -67.262
45.188 -67.261
45.185 -67.258
45.181 -67.247
45.178 -67.244
45.172 -67.242
45.171 -67.241
45.169 -67.233
45.166 -67.23
45.164 -67.227
45.164 -67.223
45.171 -67.204
45.168 -67.196
45.166 -67.191
45.165 -67.168
45.163 -67.161
45.162 -67.159
45.161 -67.158
45.147 -67.146
45.133 -67.129
45.132 -67.129
45.127 -67.125
45.125 -67.123
45.112 -67.112
45.075 -67.095
45.069 -67.091
45.066 -67.106
45.057 -67.118
45.047 -67.102
45.045 -67.1
45.03 -67.082
45.019 -67.075
45.008 -67.073
45.001 -67.068
44.987 -67.055
44.969 -67.048
44.96 -67.044
44.954 -67.042
44.948 -67.039
44.945 -67.038
44.94 -67.033
44.919 -67.002
44.918 -66.991
44.913 -66.984
44.903 -66.984
44.901 -66.985
44.897 -66.986
44.896 -66.989
44.883 -66.99
44.873 -66.986
44.869 -66.984
44.863 -66.981
44.857 -66.978
44.849 -66.993
44.845 -66.997
44.843 -66.996
44.821 -66.986
44.815 -66.975
44.819 -66.966
44.82 -66.952
44.817 -66.95
44.815 -66.951
44.807 -66.961
44.806 -66.97
44.808 -66.976
44.807 -66.98
44.799 -66.989
44.791 -66.995
44.788 -66.999
44.771 -67.02
44.768 -67.026
44.768 -67.028
44.765 -67.043
44.771 -67.055
44.77 -67.062
44.768 -67.062
44.758 -67.063
44.75 -67.069
44.742 -67.073
44.742 -67.074
44.741 -67.078
44.74 -67.083
44.74 -67.084
44.743 -67.093
44.741 -67.099
44.728 -67.102
44.72 -67.103
44.717 -67.104
44.713 -67.109
44.705 -67.118
44.702 -67.121
44.695 -67.129
44.694 -67.139
44.684 -67.148
44.669 -67.155
44.668 -67.154
44.666 -67.16
44.664 -67.165
44.662 -67.17
44.664 -67.182
44.663 -67.187
44.656 -67.192
44.65 -67.192
44.648 -67.191
44.646 -67.189
44.643 -67.197
44.641 -67.206
44.639 -67.213
44.638 -67.222
44.637 -67.234
44.642 -67.247
44.641 -67.251
44.626 -67.274
44.618 -67.277
44.611 -67.273
44.607 -67.279
44.604 -67.284
44.599 -67.293
44.597 -67.302
44.598 -67.309
44.598 -67.315
44.609 -67.323
44.612 -67.322
44.613 -67.311
44.634 -67.294
44.648 -67.292
44.654 -67.298
44.659 -67.31
44.691 -67.308
44.697 -67.3
44.705 -67.299
44.706 -67.299
44.707 -67.309
44.704 -67.327
44.699 -67.348
44.699 -67.356
44.682 -67.377
44.669 -67.381
44.665 -67.379
44.663 -67.374
44.652 -67.367
44.632 -67.363
44.625 -67.368
44.62 -67.378
44.627 -67.387
44.627 -67.389
44.613 -67.396
44.603 -67.399
44.594 -67.405
44.597 -67.412
44.603 -67.419
44.608 -67.421
44.608 -67.424
44.609 -67.428
44.606 -67.444
44.603 -67.447
44.6 -67.449
44.598 -67.458
44.618 -67.492
44.629 -67.494
44.637 -67.506
44.633 -67.523
44.627 -67.524
44.622 -67.531
44.622 -67.534
44.626 -67.54
44.626 -67.541
44.627 -67.543
44.622 -67.551
44.62 -67.552
44.561 -67.575
44.557 -67.57
44.539 -67.562
44.531 -67.568
44.526 -67.645
44.525 -67.649
44.526 -67.653
44.536 -67.657
44.538 -67.661
44.537 -67.686
44.534 -67.696
44.528 -67.703
44.516 -67.699
44.505 -67.703
44.495 -67.714
44.496 -67.716
44.499 -67.723
44.496 -67.734
44.497 -67.743
44.506 -67.743
44.509 -67.74
44.526 -67.743
44.544 -67.754
44.547 -67.759
44.547 -67.763
44.548 -67.767
44.547 -67.774
44.544 -67.779
44.534 -67.782
44.521 -67.782
44.521 -67.797
44.524 -67.803
44.53 -67.805
44.537 -67.805
44.544 -67.809
44.558 -67.83
44.559 -67.84
44.556 -67.845
44.552 -67.846
44.543 -67.843
44.524 -67.857
44.497 -67.854
44.492 -67.851
44.485 -67.852
44.479 -67.856
44.478 -67.861
44.472 -67.867
44.465 -67.869
44.457 -67.869
44.429 -67.852
44.424 -67.852
44.419 -67.855
44.42 -67.856
44.425 -67.869
44.436 -67.879
44.435 -67.881
44.433 -67.887
44.426 -67.887
44.417 -67.89
44.41 -67.892
44.402 -67.896
44.394 -67.9
44.419 -67.912
44.43 -67.913
44.433 -67.921
44.432 -67.926
44.429 -67.931
44.421 -67.928
44.412 -67.931
44.411 -67.937
44.416 -67.947
44.416 -67.956
44.416 -67.957
44.412 -67.962
44.399 -67.962
44.387 -67.979
44.387 -67.986
44.391 -67.99
44.4 -67.997
44.407 -68.001
44.41 -68.006
44.407 -68.011
44.4 -68.017
44.397 -68.02
44.39 -68.014
44.384 -68.018
44.373 -68.026
44.36 -68.034
44.361 -68.037
44.361 -68.04
44.358 -68.044
44.351 -68.045
44.344 -68.043
44.331 -68.049
44.332 -68.06
44.332 -68.061
44.336 -68.067
44.348 -68.076
44.373 -68.078
44.376 -68.086
44.371 -68.09
44.371 -68.093
44.385 -68.104
44.402 -68.112
44.415 -68.113
44.421 -68.113
44.429 -68.116
44.446 -68.12
44.46 -68.119
44.468 -68.115
44.475 -68.118
44.479 -68.123
44.482 -68.151
44.482 -68.152
44.479 -68.159
44.477 -68.163
44.473 -68.163
44.47 -68.171
44.472 -68.195
44.479 -68.19
44.485 -68.19
44.487 -68.192
44.492 -68.213
44.492 -68.214
44.487 -68.224
44.48 -68.227
44.464 -68.224
44.463 -68.229
44.471 -68.244
44.483 -68.252
44.484 -68.26
44.484 -68.262
44.471 -68.268
44.46 -68.271
44.451 -68.281
44.449 -68.298
44.444 -68.299
44.438 -68.299
44.433 -68.295
44.436 -68.285
44.44 -68.268
44.433 -68.247
44.43 -68.244
44.421 -68.244
44.418 -68.25
44.415 -68.25
44.414 -68.248
44.401 -68.231
44.401 -68.23
44.39 -68.216
44.391 -68.215
44.393 -68.21
44.393 -68.207
44.393 -68.206
44.392 -68.204
44.391 -68.202
44.388 -68.199
44.387 -68.198
44.387 -68.197
44.386 -68.197
44.382 -68.194
44.381 -68.193
44.369 -68.185
44.369 -68.184
44.344 -68.175
44.328 -68.174
44.308 -68.191
44.307 -68.192
44.305 -68.197
44.289 -68.233
44.289 -68.275
44.288 -68.277
44.284 -68.289
44.282 -68.292
44.276 -68.298
44.267 -68.299
44.263 -68.298
44.262 -68.295
44.248 -68.291
44.225 -68.318
44.225 -68.32
44.223 -68.34
44.23 -68.343
44.238 -68.365
44.243 -68.37
44.248 -68.378
44.247 -68.382
44.247 -68.39
44.252 -68.401
44.275 -68.42
44.284 -68.421
44.295 -68.426
44.299 -68.431
44.313 -68.431
44.322 -68.412
44.326 -68.409
44.328 -68.409
44.329 -68.41
44.336 -68.422
44.338 -68.421
44.356 -68.41
44.357 -68.406
44.364 -68.397
44.37 -68.396
44.374 -68.397
44.376 -68.398
44.391 -68.368
44.389 -68.364
44.39 -68.36
44.392 -68.358
44.403 -68.359
44.422 -68.371
44.424 -68.372
44.43 -68.379
44.431 -68.388
44.427 -68.391
44.418 -68.393
44.398 -68.416
44.396 -68.422
44.397 -68.428
44.402 -68.434
44.427 -68.433
44.439 -68.43
44.448 -68.439
44.449 -68.443
44.449 -68.448
44.447 -68.455
44.443 -68.46
44.437 -68.464
44.412 -68.459
44.398 -68.464
44.391 -68.464
44.386 -68.461
44.379 -68.461
44.377 -68.466
44.378 -68.478
44.388 -68.483
44.397 -68.481
44.404 -68.473
44.433 -68.48
44.434 -68.484
44.434 -68.485
44.43 -68.495
44.414 -68.5
44.412 -68.506
44.413 -68.515
44.399 -68.53
44.398 -68.535
44.404 -68.555
44.403 -68.561
44.399 -68.565
44.394 -68.566
44.385 -68.565
44.374 -68.559
44.372 -68.55
44.355 -68.545
44.346 -68.554
44.334 -68.562
44.333 -68.563
44.318 -68.567
44.313 -68.566
44.308 -68.564
44.301 -68.556
44.3 -68.539
44.29 -68.532
44.286 -68.532
44.276 -68.529
44.265 -68.52
44.26 -68.52
44.25 -68.53
44.241 -68.528
44.236 -68.523
44.228 -68.525
44.229 -68.535
44.237 -68.551
44.238 -68.551
44.248 -68.563
44.253 -68.573
44.275 -68.603
44.275 -68.616
44.28 -68.626
44.284 -68.628
44.285 -68.628
44.286 -68.63
44.299 -68.683
44.306 -68.696
44.322 -68.726
44.328 -68.733
44.331 -68.746
44.33 -68.757
44.33 -68.762
44.327 -68.766
44.321 -68.771
44.308 -68.795
44.312 -68.827
44.317 -68.828
44.335 -68.825
44.35 -68.821
44.353 -68.818
44.356 -68.817
44.362 -68.815
44.375 -68.819
44.409 -68.822
44.428 -68.815
44.435 -68.802
44.456 -68.79
44.463 -68.786
44.474 -68.784
44.471 -68.796
44.469 -68.81
44.462 -68.829
44.445 -68.859
44.44 -68.865
44.428 -68.88
44.431 -68.886
44.438 -68.891
44.443 -68.893
44.445 -68.892
44.449 -68.895
44.451 -68.897
44.452 -68.901
44.448 -68.927
44.445 -68.929
44.439 -68.932
44.429 -68.947
44.428 -68.958
44.426 -68.982
44.424 -68.984
44.415 -68.991
44.397 -68.984
44.394 -68.983
44.386 -68.979
44.381 -68.967
44.375 -68.961
44.356 -68.948
44.324 -68.954
44.317 -68.958
44.314 -68.959
44.296 -68.979
44.295 -68.994
44.295 -69.004
44.274 -69.005
44.257 -69.017
44.249 -69.029
44.234 -69.04
44.225 -69.044
44.224 -69.043
44.222 -69.043
44.215 -69.043
44.205 -69.047
44.196 -69.052
44.194 -69.052
44.191 -69.052
44.172 -69.055
44.165 -69.061
44.165 -69.078
44.161 -69.08
44.158 -69.081
44.157 -69.081
44.144 -69.08
44.13 -69.076
44.118 -69.08
44.116 -69.083
44.105 -69.101
44.104 -69.101
44.094 -69.101
44.093 -69.101
44.086 -69.092
44.085 -69.089
44.091 -69.076
44.095 -69.056
44.095 -69.051
44.092 -69.043
44.079 -69.032
44.063 -69.049
44.063 -69.051
44.068 -69.051
44.069 -69.056
44.07 -69.064
44.068 -69.068
44.06 -69.075
44.055 -69.08
44.046 -69.074
44.041 -69.081
44.039 -69.094
44.03 -69.11
44.029 -69.113
44.02 -69.126
44.017 -69.128
44.007 -69.124
44.006 -69.129
43.999 -69.149
43.999 -69.163
43.996 -69.17
43.981 -69.187
43.976 -69.194
43.968 -69.198
43.964 -69.196
43.96 -69.194
43.951 -69.196
43.942 -69.204
43.936 -69.214
43.932 -69.237
43.925 -69.243
43.921 -69.26
43.933 -69.265
43.944 -69.268
43.957 -69.281
43.958 -69.283
43.959 -69.284
43.958 -69.289
43.943 -69.308
43.943 -69.314
43.945 -69.32
43.957 -69.305
43.962 -69.304
43.97 -69.322
43.974 -69.331
43.975 -69.351
43.975 -69.352
43.965 -69.367
43.965 -69.375
43.964 -69.388
43.972 -69.398
43.977 -69.416
43.958 -69.429
43.965 -69.432
43.967 -69.436
43.964 -69.442
43.942 -69.451
43.903 -69.46
43.88 -69.483
43.875 -69.485
43.869 -69.486
43.838 -69.503
43.831 -69.515
43.837 -69.516
43.845 -69.513
43.868 -69.52
43.876 -69.525
43.876 -69.527
43.881 -69.543
43.882 -69.544
43.88 -69.549
43.878 -69.551
43.873 -69.551
43.861 -69.545
43.841 -69.553
43.841 -69.558
43.844 -69.568
43.844 -69.571
43.844 -69.573
43.842 -69.575
43.823 -69.579
43.818 -69.589
43.814 -69.604
43.815 -69.606
43.826 -69.605
43.826 -69.598
43.831 -69.592
43.851 -69.589
43.859 -69.595
43.858 -69.6
43.858 -69.605
43.845 -69.613
43.844 -69.613
43.837 -69.613
43.832 -69.615
43.827 -69.621
43.837 -69.63
43.843 -69.63
43.844 -69.631
43.846 -69.635
43.845 -69.636
43.836 -69.65
43.817 -69.653
43.804 -69.651
43.791 -69.653
43.791 -69.665
43.816 -69.685
43.821 -69.686
43.824 -69.692
43.825 -69.697
43.825 -69.698
43.823 -69.706
43.81 -69.715
43.801 -69.718
43.792 -69.717
43.787 -69.72
43.778 -69.729
43.777 -69.73
43.774 -69.733
43.771 -69.737
43.77 -69.738
43.761 -69.747
43.756 -69.753
43.757 -69.762
43.755 -69.78
43.755 -69.781
43.754 -69.782
43.751 -69.782
43.747 -69.778
43.745 -69.778
43.721 -69.835
43.705 -69.839
43.704 -69.851
43.704 -69.854
43.705 -69.855
43.724 -69.858
43.733 -69.856
43.741 -69.859
43.743 -69.869
43.759 -69.862
43.761 -69.863
43.763 -69.864
43.776 -69.87
43.778 -69.884
43.777 -69.887
43.772 -69.903
43.775 -69.916
43.78 -69.927
43.778 -69.93
43.766 -69.949
43.768 -69.952
43.769 -69.953
43.768 -69.958
43.754 -69.978
43.751 -69.983
43.743 -69.989
43.728 -69.994
43.727 -69.992
43.725 -69.993
43.718 -70.002
43.717 -70.007
43.728 -70.005
43.733 -70.001
43.74 -69.999
43.744 -70.002
43.738 -70.041
43.745 -70.041
43.759 -70.034
43.76 -70.033
43.77 -70.026
43.788 -70.005
43.799 -69.998
43.805 -69.999
43.812 -70.003
43.811 -70.011
43.82 -70.023
43.823 -70.026
43.829 -70.026
43.834 -70.023
43.844 -70.007
43.848 -70.003
43.853 -70.003
43.856 -70.007
43.859 -70.01
43.859 -70.019
43.856 -70.023
43.85 -70.032
43.828 -70.054
43.821 -70.053
43.813 -70.065
43.82 -70.066
43.82 -70.081
43.809 -70.107
43.803 -70.12
43.793 -70.139
43.793 -70.14
43.792 -70.143
43.781 -70.154
43.78 -70.154
43.778 -70.154
43.775 -70.154
43.774 -70.155
43.774 -70.156
43.765 -70.169
43.762 -70.175
43.761 -70.176
43.762 -70.176
43.765 -70.178
43.774 -70.173
43.775 -70.173
43.777 -70.175
43.776 -70.178
43.772 -70.19
43.766 -70.195
43.753 -70.198
43.746 -70.194
43.742 -70.195
43.739 -70.198
43.732 -70.205
43.72 -70.218
43.717 -70.219
43.716 -70.219
43.708 -70.216
43.705 -70.217
43.702 -70.228
43.705 -70.232
43.696 -70.24
43.69 -70.245
43.69 -70.246
43.689 -70.246
43.687 -70.248
43.684 -70.252
43.683 -70.252
43.678 -70.254
43.677 -70.254
43.675 -70.253
43.672 -70.247
43.67 -70.243
43.67 -70.242
43.666 -70.24
43.665 -70.24
43.663 -70.242
43.659 -70.241
43.652 -70.235
43.643 -70.226
43.639 -70.223
43.634 -70.219
43.626 -70.211
43.614 -70.214
43.597 -70.217
43.59 -70.214
43.59 -70.212
43.587 -70.201
43.565 -70.197
43.558 -70.206
43.557 -70.217
43.562 -70.22
43.561 -70.232
43.552 -70.244
43.554 -70.262
43.562 -70.272
43.563 -70.272
43.551 -70.299
43.544 -70.308
43.543 -70.315
43.543 -70.323
43.542 -70.328
43.54 -70.342
43.536 -70.353
43.535 -70.353
43.529 -70.361
43.507 -70.379
43.497 -70.385
43.496 -70.385
43.487 -70.386
43.471 -70.383
43.47 -70.383
43.469 -70.383
43.464 -70.38
43.461 -70.378
43.455 -70.372
43.446 -70.357
43.442 -70.35
43.439 -70.362
43.435 -70.369
43.434 -70.37
43.434 -70.371
43.427 -70.378
43.425 -70.379
43.419 -70.385
43.413 -70.384
43.407 -70.388
43.403 -70.391
43.4 -70.4
43.4 -70.401
43.401 -70.402
43.401 -70.405
43.401 -70.406
43.4 -70.409
43.396 -70.421
43.395 -70.422
43.394 -70.423
43.389 -70.428
43.388 -70.427
43.38 -70.424
43.376 -70.425
43.356 -70.442
43.354 -70.445
43.353 -70.448
43.352 -70.449
43.348 -70.454
43.347 -70.456
43.345 -70.459
43.343 -70.461
43.34 -70.466
43.344 -70.473
43.345 -70.477
43.346 -70.485
43.344 -70.515
43.344 -70.518
43.337 -70.535
43.335 -70.537
43.333 -70.54
43.323 -70.553
43.322 -70.554
43.321 -70.555
43.319 -70.556
43.319 -70.557
43.318 -70.557
43.312 -70.562
43.311 -70.563
43.306 -70.565
43.288 -70.575
43.27 -70.585
43.269 -70.585
43.268 -70.586
43.253 -70.592
43.251 -70.593
43.249 -70.594
43.248 -70.594
43.238 -70.591
43.23 -70.584
43.222 -70.576
43.218 -70.577
43.209 -70.582
43.203 -70.586
43.2 -70.588
43.185 -70.601
43.184 -70.602
43.183 -70.603
43.173 -70.611
43.164 -70.619
43.163 -70.619
43.161 -70.62
43.15 -70.625
43.147 -70.626
43.144 -70.627
43.137 -70.63
43.13 -70.634
43.128 -70.634
43.122 -70.634
43.114 -70.638
43.104 -70.649
43.104 -70.65
43.1 -70.653
43.098 -70.655
43.096 -70.656
43.093 -70.656
43.076 -70.666
43.07 -70.673
43.068 -70.679
43.065 -70.688
43.06 -70.704
43.071 -70.705
43.073 -70.706
43.075 -70.709
43.075 -70.72
43.073 -70.733
43.073 -70.738
43.076 -70.741
43.077 -70.742
43.079 -70.753
43.08 -70.756
43.081 -70.758
43.086 -70.761
43.089 -70.763
43.093 -70.766
43.094 -70.768
43.096 -70.779
43.101 -70.784
43.107 -70.794
43.108 -70.796
43.11 -70.799
43.117 -70.809
43.123 -70.82
43.127 -70.827
43.129 -70.828
43.132 -70.829
43.138 -70.83
43.143 -70.833
43.147 -70.834
43.158 -70.829
43.166 -70.828
43.169 -70.828
43.172 -70.826
43.173 -70.824
43.175 -70.824
43.18 -70.825
43.187 -70.828
43.189 -70.828
43.189 -70.827
43.191 -70.824
43.192 -70.821
43.192 -70.82
43.193 -70.819
43.195 -70.819
43.198 -70.82
43.199 -70.821
43.2 -70.821
43.202 -70.82
43.215 -70.817
43.216 -70.816
43.216 -70.815
43.217 -70.813
43.218 -70.813
43.219 -70.813
43.225 -70.81
43.226 -70.81
43.227 -70.811
43.228 -70.812
43.229 -70.813
43.229 -70.814
43.229 -70.815
43.233 -70.816
