segment Connecticut
41.03 -73.517
41.029 -73.517
41.019 -73.523
41.016 -73.529
41.022 -73.531
41.029 -73.53
41.032 -73.533
41.032 -73.535
41.031 -73.537
41.03 -73.54
41.024 -73.551
41.023 -73.553
41.017 -73.562
41.014 -73.564
41.011 -73.568
41.002 -73.57
41.001 -73.584
41.009 -73.585
41.011 -73.585
41.016 -73.596
41.015 -73.604
41.009 -73.621
41.003 -73.642
41.002 -73.643
41.002 -73.644
40.995 -73.651
40.985 -73.657
40.988 -73.66
40.993 -73.659
40.999 -73.659
41.003 -73.658
41.004 -73.657
41.008 -73.656
41.009 -73.655
41.011 -73.655
41.012 -73.655
41.013 -73.655
41.02 -73.663
41.025 -73.666
41.03 -73.67
41.032 -73.672
41.036 -73.675
41.042 -73.68
41.051 -73.687
41.053 -73.689
41.059 -73.694
41.088 -73.717
41.094 -73.723
41.101 -73.728
41.115 -73.696
41.121 -73.683
41.128 -73.669
41.132 -73.661
41.141 -73.64
41.144 -73.634
41.145 -73.632
41.161 -73.597
41.162 -73.594
41.166 -73.586
41.169 -73.579
41.175 -73.565
41.18 -73.555
41.184 -73.546
41.194 -73.524
41.198 -73.515
41.201 -73.509
41.203 -73.504
41.204 -73.502
41.207 -73.496
41.212 -73.485
41.213 -73.483
41.237 -73.503
41.242 -73.506
41.256 -73.517
41.257 -73.518
41.283 -73.541
41.295 -73.551
41.302 -73.55
41.306 -73.549
41.308 -73.549
41.316 -73.55
41.317 -73.55
41.326 -73.549
41.33 -73.549
41.366 -73.545
41.377 -73.543
41.39 -73.542
41.406 -73.541
41.434 -73.538
41.436 -73.537
41.438 -73.537
41.441 -73.537
41.451 -73.536
41.453 -73.536
41.455 -73.536
41.456 -73.536
41.457 -73.536
41.471 -73.535
41.476 -73.534
41.477 -73.534
41.478 -73.534
41.479 -73.534
41.48 -73.534
41.499 -73.532
41.52 -73.531
41.527 -73.53
41.557 -73.527
41.572 -73.526
41.62 -73.521
41.641 -73.52
41.667 -73.518
41.688 -73.517
41.69 -73.517
41.693 -73.516
41.696 -73.516
41.741 -73.512
41.759 -73.511
41.792 -73.508
41.824 -73.505
41.859 -73.502
41.868 -73.501
41.893 -73.498
41.922 -73.497
41.927 -73.496
41.953 -73.493
41.956 -73.493
41.959 -73.493
42 -73.49
42.05 -73.487
42.051 -73.433
42.05 -73.428
42.05 -73.426
42.048 -73.341
42.048 -73.326
42.047 -73.294
