segment Indiana
38.052 -86.26
38.053 -86.261
38.057 -86.267
38.058 -86.267
38.065 -86.272
38.067 -86.274
38.089 -86.279
38.099 -86.279
38.099 -86.278
38.1 -86.278
38.105 -86.277
38.119 -86.274
38.125 -86.272
38.13 -86.271
38.131 -86.271
38.138 -86.272
38.146 -86.278
38.158 -86.288
38.167 -86.305
38.166 -86.308
38.166 -86.313
38.163 -86.319
38.158 -86.325
38.154 -86.326
38.147 -86.323
38.139 -86.323
38.134 -86.328
38.133 -86.328
38.132 -86.329
38.129 -86.335
38.128 -86.352
38.131 -86.375
38.129 -86.38
38.125 -86.387
38.113 -86.393
38.108 -86.396
38.105 -86.402
38.106 -86.405
38.116 -86.417
38.118 -86.419
38.123 -86.427
38.126 -86.431
38.126 -86.432
38.127 -86.45
38.125 -86.457
38.12 -86.462
38.119 -86.463
38.114 -86.466
38.107 -86.466
38.101 -86.464
38.096 -86.459
38.092 -86.446
38.087 -86.434
38.079 -86.43
38.067 -86.433
38.06 -86.438
38.05 -86.452
38.046 -86.472
38.046 -86.48
38.046 -86.5
38.044 -86.512
38.043 -86.517
38.041 -86.519
38.038 -86.522
38.029 -86.525
38.028 -86.525
38.019 -86.524
38.013 -86.525
38.007 -86.526
37.998 -86.526
37.982 -86.525
37.969 -86.525
37.968 -86.525
37.962 -86.524
37.954 -86.521
37.952 -86.519
37.947 -86.513
37.943 -86.51
37.942 -86.509
37.941 -86.509
37.936 -86.507
37.931 -86.507
37.929 -86.508
37.928 -86.508
37.927 -86.51
37.926 -86.511
37.926 -86.512
37.922 -86.519
37.919 -86.528
37.917 -86.534
37.917 -86.541
37.917 -86.543
37.918 -86.549
37.922 -86.566
37.923 -86.58
37.922 -86.587
37.921 -86.589
37.915 -86.596
37.914 -86.596
37.911 -86.598
37.907 -86.6
37.902 -86.6
37.901 -86.6
37.885 -86.598
37.88 -86.598
37.875 -86.599
37.871 -86.597
37.87 -86.597
37.867 -86.598
37.858 -86.605
37.855 -86.609
37.853 -86.615
37.847 -86.626
37.844 -86.634
37.843 -86.638
37.841 -86.648
37.842 -86.653
37.843 -86.655
37.844 -86.658
37.85 -86.662
37.857 -86.662
37.863 -86.661
37.869 -86.658
37.886 -86.649
37.895 -86.645
37.898 -86.644
37.902 -86.644
37.903 -86.644
37.905 -86.645
37.907 -86.646
37.908 -86.647
37.909 -86.647
37.911 -86.65
37.913 -86.661
37.915 -86.672
37.915 -86.673
37.915 -86.681
37.913 -86.686
37.909 -86.692
37.901 -86.703
37.898 -86.708
37.894 -86.716
37.893 -86.718
37.893 -86.72
37.893 -86.722
37.894 -86.731
37.896 -86.734
37.897 -86.735
37.9 -86.738
37.901 -86.74
37.908 -86.746
37.913 -86.751
37.919 -86.755
37.922 -86.757
37.933 -86.765
37.933 -86.766
37.947 -86.774
37.949 -86.775
37.957 -86.78
37.964 -86.783
37.973 -86.788
37.98 -86.791
37.989 -86.795
37.992 -86.801
37.994 -86.805
37.996 -86.808
37.997 -86.811
37.998 -86.814
37.999 -86.815
37.999 -86.817
37.999 -86.819
37.999 -86.82
37.999 -86.823
37.994 -86.835
37.99 -86.849
37.987 -86.856
37.982 -86.863
37.979 -86.867
37.975 -86.87
37.971 -86.876
37.968 -86.881
37.964 -86.885
37.956 -86.892
37.946 -86.902
37.944 -86.906
37.943 -86.907
37.937 -86.919
37.935 -86.926
37.935 -86.928
37.935 -86.933
37.934 -86.945
37.932 -86.964
