segment Idaho
44.82 -113.257
44.823 -113.248
44.823 -113.247
44.814 -113.239
44.809 -113.21
44.802 -113.194
44.794 -113.183
44.787 -113.179
44.779 -113.164
44.78 -113.161
44.781 -113.158
44.777 -113.141
44.773 -113.131
44.765 -113.131
44.76 -113.138
44.753 -113.135
44.751 -113.132
44.738 -113.117
44.729 -113.102
44.721 -113.102
44.709 -113.101
44.697 -113.098
44.691 -113.082
44.679 -113.068
44.673 -113.068
44.668 -113.07
44.656 -113.068
44.649 -113.066
44.637 -113.052
44.629 -113.049
44.621 -113.054
44.619 -113.057
44.617 -113.066
44.614 -113.074
44.604 -113.082
44.602 -113.084
44.595 -113.077
44.582 -113.066
44.577 -113.061
44.574 -113.056
44.565 -113.042
44.557 -113.043
44.547 -113.043
44.537 -113.033
44.529 -113.02
44.52 -113.019
44.502 -113.02
44.494 -113.021
44.479 -113.015
44.463 -113.009
44.451 -113.004
44.434 -112.982
44.431 -112.975
44.424 -112.963
44.417 -112.951
44.403 -112.916
44.399 -112.9
44.396 -112.886
44.38 -112.882
44.378 -112.879
44.374 -112.874
44.371 -112.869
44.36 -112.855
44.358 -112.845
44.364 -112.833
44.371 -112.82
44.375 -112.816
44.378 -112.814
44.378 -112.813
44.387 -112.813
44.392 -112.813
44.399 -112.816
44.407 -112.822
44.423 -112.836
44.429 -112.834
44.442 -112.828
44.452 -112.816
44.456 -112.811
44.466 -112.798
44.485 -112.781
44.488 -112.763
44.489 -112.762
44.491 -112.749
44.499 -112.735
44.504 -112.719
44.503 -112.708
44.499 -112.697
44.496 -112.687
44.491 -112.671
44.487 -112.666
44.486 -112.664
44.486 -112.661
44.489 -112.63
44.491 -112.602
44.486 -112.594
44.481 -112.584
44.481 -112.574
44.485 -112.551
44.484 -112.542
44.476 -112.519
44.47 -112.512
44.466 -112.512
44.463 -112.5
44.471 -112.487
44.48 -112.473
44.479 -112.469
44.476 -112.46
44.468 -112.446
44.462 -112.435
44.455 -112.413
44.448 -112.387
44.464 -112.372
44.467 -112.369
44.475 -112.365
44.486 -112.359
44.493 -112.357
44.529 -112.359
44.536 -112.354
44.539 -112.349
44.539 -112.319
44.542 -112.315
44.545 -112.315
44.549 -112.315
44.55 -112.315
44.554 -112.313
44.556 -112.31
44.558 -112.308
44.567 -112.29
44.568 -112.286
44.57 -112.259
44.569 -112.248
44.568 -112.243
44.563 -112.23
44.555 -112.227
44.549 -112.229
44.544 -112.222
44.533 -112.184
44.533 -112.18
44.542 -112.165
44.54 -112.136
44.536 -112.129
44.529 -112.125
44.521 -112.107
44.521 -112.102
44.523 -112.096
44.53 -112.093
44.534 -112.081
44.537 -112.069
44.536 -112.062
44.535 -112.053
44.53 -112.037
44.538 -112.034
44.543 -112.035
44.547 -112.033
44.542 -112.014
44.535 -111.995
44.537 -111.981
44.542 -111.97
44.545 -111.963
44.55 -111.952
44.555 -111.949
44.557 -111.948
44.557 -111.92
44.557 -111.904
44.561 -111.895
44.563 -111.888
44.564 -111.871
44.558 -111.865
44.549 -111.857
44.54 -111.849
44.526 -111.843
44.516 -111.83
44.509 -111.821
44.512 -111.808
44.516 -111.807
44.528 -111.767
44.53 -111.762
44.534 -111.759
44.541 -111.746
44.543 -111.737
44.543 -111.736
44.543 -111.73
44.543 -111.72
44.544 -111.715
44.55 -111.71
44.56 -111.704
44.56 -111.685
44.56 -111.682
44.555 -111.652
44.553 -111.641
44.553 -111.637
44.549 -111.617
44.549 -111.614
44.554 -111.601
44.562 -111.592
44.563 -111.586
44.562 -111.584
44.559 -111.574
44.555 -111.563
44.554 -111.557
44.557 -111.547
44.548 -111.524
44.544 -111.518
44.54 -111.501
44.541 -111.472
44.545 -111.468
44.552 -111.469
44.555 -111.476
44.561 -111.492
