segment Illinois
38.59 -87.629
38.59 -87.63
38.589 -87.632
38.589 -87.638
38.585 -87.64
38.568 -87.652
38.56 -87.651
38.556 -87.651
38.541 -87.661
38.521 -87.656
38.517 -87.654
38.512 -87.654
38.507 -87.657
38.503 -87.664
38.498 -87.678
38.488 -87.693
38.48 -87.714
38.479 -87.731
38.477 -87.735
38.475 -87.74
38.468 -87.744
38.466 -87.743
38.459 -87.743
38.453 -87.736
38.447 -87.73
38.443 -87.731
38.437 -87.739
38.436 -87.741
38.433 -87.742
38.423 -87.743
38.422 -87.743
38.417 -87.744
38.409 -87.745
38.401 -87.753
38.398 -87.755
38.396 -87.757
38.389 -87.763
38.373 -87.778
38.371 -87.78
38.365 -87.799
38.363 -87.806
38.362 -87.807
38.347 -87.823
38.342 -87.825
38.329 -87.831
38.325 -87.833
38.309 -87.832
38.307 -87.832
38.299 -87.834
38.294 -87.838
38.291 -87.845
38.289 -87.853
38.292 -87.86
38.296 -87.865
38.299 -87.869
38.301 -87.875
38.3 -87.88
38.293 -87.883
38.288 -87.886
38.285 -87.888
38.281 -87.892
38.276 -87.899
38.276 -87.901
38.274 -87.908
38.277 -87.914
38.282 -87.916
38.285 -87.917
38.29 -87.922
38.292 -87.929
38.289 -87.938
38.289 -87.939
38.277 -87.949
38.274 -87.952
38.269 -87.951
38.257 -87.946
38.255 -87.947
38.247 -87.951
38.239 -87.958
38.238 -87.959
38.237 -87.96
38.237 -87.961
38.237 -87.969
38.233 -87.975
38.233 -87.976
38.228 -87.98
38.227 -87.98
38.222 -87.983
38.216 -87.983
38.21 -87.984
38.198 -87.976
38.184 -87.959
38.172 -87.937
38.169 -87.929
38.163 -87.925
38.16 -87.923
38.154 -87.922
38.148 -87.922
38.145 -87.925
38.141 -87.93
38.127 -87.945
38.127 -87.946
38.123 -87.965
38.122 -87.974
38.111 -87.991
38.108 -87.993
38.101 -88
38.09 -87.998
38.087 -87.997
38.083 -87.995
38.076 -87.987
38.069 -87.985
38.056 -87.99
38.051 -88.005
38.049 -88.01
38.047 -88.02
38.039 -88.025
38.038 -88.025
38.037 -88.026
38.032 -88.027
38.025 -88.03
38.007 -88.026
37.977 -88.013
37.967 -88.013
37.96 -88.019
37.951 -88.028
37.943 -88.036
37.927 -88.044
37.925 -88.043
37.915 -88.038
37.913 -88.037
37.902 -88.032
37.894 -88.033
37.893 -88.035
37.887 -88.043
37.883 -88.05
37.88 -88.053
37.877 -88.054
37.872 -88.057
37.865 -88.059
37.855 -88.057
37.848 -88.053
37.846 -88.051
37.844 -88.049
37.841 -88.045
37.837 -88.043
37.831 -88.044
37.826 -88.049
37.822 -88.05
37.822 -88.051
37.818 -88.052
37.814 -88.052
37.811 -88.05
37.81 -88.048
37.808 -88.046
37.807 -88.046
37.806 -88.039
37.804 -88.029
37.799 -88.028
37.796 -88.032
37.792 -88.036
37.791 -88.036
37.784 -88.039
37.776 -88.04
37.774 -88.041
37.772 -88.041
37.771 -88.041
37.768 -88.042
37.767 -88.043
37.754 -88.05
37.743 -88.06
37.739 -88.064
37.733 -88.073
37.73 -88.082
37.729 -88.086
37.728 -88.087
37.723 -88.096
37.718 -88.102
37.716 -88.107
37.713 -88.118
37.71 -88.122
37.707 -88.125
37.699 -88.131
37.697 -88.132
37.696 -88.133
37.695 -88.133
37.691 -88.134
37.689 -88.137
37.688 -88.138
37.683 -88.145
37.675 -88.152
37.665 -88.158
37.664 -88.159
37.663 -88.159
37.662 -88.159
37.661 -88.16
37.659 -88.16
37.658 -88.16
37.657 -88.16
37.656 -88.16
37.654 -88.16
37.649 -88.159
37.64 -88.158
37.633 -88.157
37.623 -88.153
37.604 -88.142
37.599 -88.141
37.595 -88.14
37.591 -88.141
37.586 -88.14
37.58 -88.136
37.574 -88.133
37.573 -88.132
37.568 -88.122
37.562 -88.114
37.556 -88.106
37.551 -88.101
37.54 -88.093
37.535 -88.088
37.534 -88.086
37.532 -88.078
37.529 -88.072
37.525 -88.069
37.516 -88.063
37.514 -88.063
37.508 -88.063
37.505 -88.061
37.496 -88.063
37.492 -88.064
37.489 -88.063
37.489 -88.062
37.488 -88.062
37.485 -88.064
37.482 -88.068
37.482 -88.069
37.484 -88.072
37.48 -88.078
37.473 -88.084
37.471 -88.088
37.471 -88.09
37.472 -88.091
37.473 -88.091
37.473 -88.096
37.472 -88.109
37.471 -88.128
37.472 -88.133
37.472 -88.134
37.472 -88.135
37.468 -88.152
37.468 -88.153
37.467 -88.157
37.467 -88.159
37.467 -88.16
37.466 -88.172
37.464 -88.175
37.462 -88.189
37.462 -88.192
37.46 -88.207
37.458 -88.221
37.458 -88.222
37.457 -88.225
37.457 -88.238
37.457 -88.255
37.453 -88.281
37.453 -88.282
37.452 -88.283
37.448 -88.295
37.447 -88.298
37.446 -88.3
37.441 -88.313
37.438 -88.315
37.436 -88.318
37.436 -88.319
37.435 -88.319
37.435 -88.321
37.429 -88.331
37.427 -88.333
37.424 -88.337
37.422 -88.338
37.42 -88.34
37.418 -88.342
37.411 -88.348
37.405 -88.358
37.404 -88.361
37.403 -88.361
37.403 -88.362
37.402 -88.365
37.403 -88.371
37.404 -88.373
37.41 -88.378
37.416 -88.388
37.421 -88.397
37.422 -88.397
37.424 -88.404
37.425 -88.409
37.425 -88.412
37.424 -88.413
37.424 -88.414
37.424 -88.415
37.422 -88.419
37.419 -88.426
37.418 -88.433
37.416 -88.439
37.412 -88.45
37.408 -88.456
37.401 -88.466
37.396 -88.47
37.387 -88.477
37.375 -88.479
37.368 -88.481
37.365 -88.482
37.364 -88.482
37.355 -88.483
37.346 -88.484
37.34 -88.487
37.335 -88.49
37.328 -88.494
37.318 -88.501
37.309 -88.505
37.308 -88.505
37.303 -88.509
37.299 -88.511
37.291 -88.515
37.284 -88.516
37.273 -88.51
37.267 -88.507
37.262 -88.509
37.26 -88.508
37.26 -88.507
37.254 -88.501
37.248 -88.492
37.245 -88.488
37.244 -88.487
37.241 -88.485
37.23 -88.48
37.227 -88.478
37.22 -88.472
37.217 -88.467
37.214 -88.459
37.207 -88.451
37.204 -88.448
37.189 -88.442
37.182 -88.44
37.18 -88.438
37.166 -88.433
37.164 -88.434
37.16 -88.431
37.159 -88.43
37.158 -88.428
37.152 -88.424
37.15 -88.425
37.126 -88.435
37.125 -88.436
37.109 -88.444
37.108 -88.443
37.099 -88.445
37.074 -88.459
37.068 -88.476
37.067 -88.483
37.068 -88.49
37.067 -88.496
37.065 -88.504
37.065 -88.514
37.065 -88.517
37.065 -88.519
37.066 -88.521
37.067 -88.532
37.07 -88.545
37.076 -88.56
37.082 -88.569
37.084 -88.574
37.086 -88.577
37.091 -88.582
37.1 -88.589
37.102 -88.594
37.107 -88.601
37.108 -88.603
37.111 -88.608
37.113 -88.611
37.113 -88.612
37.118 -88.622
37.119 -88.626
37.12 -88.627
37.121 -88.631
37.121 -88.634
37.121 -88.638
37.123 -88.645
37.133 -88.67
37.135 -88.675
37.135 -88.676
37.135 -88.677
37.137 -88.681
37.139 -88.687
37.139 -88.688
37.141 -88.694
37.142 -88.696
37.143 -88.703
37.141 -88.714
37.141 -88.72
37.141 -88.723
37.142 -88.726
37.142 -88.727
37.143 -88.728
37.144 -88.732
37.145 -88.733
37.145 -88.734
37.146 -88.738
37.147 -88.738
37.147 -88.739
37.148 -88.74
37.148 -88.741
37.149 -88.742
37.15 -88.744
37.152 -88.746
37.152 -88.748
37.155 -88.753
37.163 -88.765
37.169 -88.776
37.172 -88.779
37.179 -88.787
37.185 -88.797
37.189 -88.806
37.192 -88.819
37.192 -88.821
37.192 -88.822
37.195 -88.83
37.196 -88.835
37.198 -88.84
37.202 -88.85
37.204 -88.854
37.21 -88.87
37.219 -88.903
37.224 -88.917
37.225 -88.921
37.227 -88.928
37.228 -88.932
37.229 -88.942
37.23 -88.967
37.229 -88.983
37.226 -88.993
37.224 -89.001
37.221 -89.009
37.221 -89.006
37.216 -89.014
37.211 -89.03
37.204 -89.038
37.203 -89.041
37.201 -89.044
37.2 -89.045
37.189 -89.058
37.185 -89.064
37.184 -89.065
37.175 -89.076
37.174 -89.078
37.167 -89.085
37.166 -89.087
37.165 -89.087
37.156 -89.093
37.15 -89.096
37.146 -89.097
37.141 -89.099
37.129 -89.106
37.119 -89.111
37.116 -89.116
37.114 -89.12
37.113 -89.12
37.113 -89.121
37.111 -89.122
37.109 -89.125
37.103 -89.135
37.102 -89.136
37.097 -89.138
37.094 -89.141
37.091 -89.147
37.09 -89.15
37.09 -89.151
37.09 -89.153
37.089 -89.153
37.089 -89.155
37.078 -89.165
37.074 -89.168
37.068 -89.172
37.062 -89.176
37.055 -89.179
37.053 -89.179
37.046 -89.181
37.037 -89.182
37.037 -89.183
37.027 -89.181
37.026 -89.181
37.022 -89.179
37.021 -89.179
37.017 -89.177
37.016 -89.176
37.011 -89.174
37.008 -89.171
37.005 -89.168
37.003 -89.166
37 -89.161
36.985 -89.138
36.982 -89.133
36.979 -89.141
36.979 -89.144
36.978 -89.15
36.973 -89.162
36.97 -89.17
36.971 -89.177
36.974 -89.185
36.979 -89.191
36.98 -89.192
36.99 -89.195
37 -89.195
37.001 -89.195
37.005 -89.196
37.009 -89.198
37.012 -89.198
37.013 -89.199
37.015 -89.2
37.016 -89.201
37.017 -89.201
37.02 -89.205
37.023 -89.211
37.027 -89.217
37.031 -89.225
37.037 -89.234
37.043 -89.238
37.058 -89.246
37.072 -89.255
37.071 -89.255
37.068 -89.258
37.065 -89.259
37.064 -89.26
37.065 -89.264
37.065 -89.28
37.066 -89.283
37.067 -89.284
37.067 -89.294
37.07 -89.308
37.068 -89.308
37.058 -89.311
37.054 -89.309
37.05 -89.307
37.048 -89.305
37.045 -89.301
37.04 -89.291
37.036 -89.278
37.029 -89.266
37.023 -89.26
37.015 -89.258
37 -89.264
36.996 -89.266
36.993 -89.27
36.99 -89.274
36.989 -89.279
36.992 -89.292
37.013 -89.317
37.016 -89.323
37.02 -89.331
37.026 -89.346
37.03 -89.362
37.039 -89.378
37.04 -89.378
37.04 -89.379
37.043 -89.382
37.046 -89.384
37.048 -89.385
37.055 -89.385
37.058 -89.385
37.069 -89.38
37.07 -89.379
37.073 -89.378
37.081 -89.376
37.086 -89.376
37.095 -89.379
37.103 -89.384
37.107 -89.388
37.11 -89.392
37.111 -89.393
37.115 -89.401
37.119 -89.407
37.12 -89.408
37.12 -89.409
37.123 -89.412
37.125 -89.414
37.126 -89.415
37.138 -89.426
37.152 -89.435
37.161 -89.438
37.187 -89.455
37.188 -89.456
37.2 -89.462
37.203 -89.463
37.218 -89.468
37.222 -89.467
37.227 -89.465
37.232 -89.462
37.238 -89.459
37.24 -89.458
37.242 -89.458
37.243 -89.458
37.247 -89.458
37.248 -89.459
37.249 -89.459
37.25 -89.46
37.251 -89.461
37.252 -89.463
37.253 -89.471
37.253 -89.479
37.251 -89.49
37.258 -89.496
37.264 -89.502
37.269 -89.507
37.277 -89.514
37.282 -89.517
37.285 -89.518
37.289 -89.518
37.292 -89.518
37.295 -89.516
37.299 -89.515
37.304 -89.514
37.311 -89.512
37.314 -89.51
37.316 -89.508
37.321 -89.499
37.325 -89.495
37.331 -89.491
37.333 -89.489
37.334 -89.489
37.335 -89.486
37.335 -89.485
37.336 -89.484
37.336 -89.483
37.338 -89.475
37.339 -89.455
37.34 -89.449
37.34 -89.448
37.344 -89.436
37.347 -89.433
37.352 -89.43
37.356 -89.428
37.381 -89.422
37.385 -89.421
37.388 -89.421
37.392 -89.421
37.397 -89.422
37.401 -89.424
37.403 -89.425
37.405 -89.425
37.407 -89.426
37.427 -89.434
37.437 -89.439
37.437 -89.44
37.438 -89.44
37.44 -89.442
37.442 -89.443
37.444 -89.445
37.449 -89.45
37.45 -89.451
37.466 -89.471
37.471 -89.476
37.482 -89.483
37.493 -89.491
37.494 -89.492
37.495 -89.493
37.505 -89.498
37.513 -89.5
37.518 -89.503
37.524 -89.507
37.529 -89.512
37.53 -89.512
37.536 -89.516
37.537 -89.517
37.554 -89.521
37.561 -89.522
37.572 -89.522
37.573 -89.521
37.579 -89.521
37.581 -89.521
37.583 -89.52
37.585 -89.517
37.585 -89.514
37.584 -89.51
37.58 -89.494
37.581 -89.487
37.581 -89.486
37.581 -89.485
37.583 -89.481
37.586 -89.478
37.589 -89.476
37.59 -89.476
37.593 -89.476
37.596 -89.477
37.599 -89.478
37.607 -89.486
37.608 -89.487
37.614 -89.493
37.62 -89.501
37.621 -89.502
37.622 -89.503
37.625 -89.507
37.632 -89.511
37.636 -89.516
37.641 -89.518
37.644 -89.517
37.646 -89.516
37.651 -89.516
37.656 -89.517
37.668 -89.516
37.677 -89.514
37.681 -89.512
37.686 -89.512
37.69 -89.514
37.693 -89.517
37.696 -89.522
37.698 -89.526
37.7 -89.531
37.701 -89.539
37.707 -89.567
37.709 -89.574
37.713 -89.583
37.717 -89.587
37.718 -89.587
37.724 -89.591
37.733 -89.596
37.733 -89.597
37.735 -89.601
37.736 -89.601
37.736 -89.602
37.74 -89.609
37.74 -89.612
37.742 -89.616
37.744 -89.616
37.748 -89.616
37.749 -89.616
37.75 -89.617
37.749 -89.624
37.748 -89.628
37.746 -89.633
37.746 -89.645
37.745 -89.65
37.748 -89.658
37.748 -89.659
37.749 -89.662
37.75 -89.663
37.751 -89.664
37.752 -89.666
37.759 -89.668
37.764 -89.666
37.769 -89.664
37.776 -89.661
37.781 -89.66
37.786 -89.66
37.788 -89.661
37.791 -89.664
37.8 -89.67
37.803 -89.674
37.804 -89.676
37.805 -89.678
37.808 -89.683
37.81 -89.687
37.813 -89.694
37.814 -89.695
37.814 -89.697
37.817 -89.703
37.826 -89.717
37.835 -89.729
37.839 -89.733
37.843 -89.736
37.847 -89.74
37.847 -89.75
37.846 -89.754
37.848 -89.757
37.851 -89.762
37.852 -89.765
37.852 -89.774
37.854 -89.78
37.855 -89.782
37.852 -89.786
37.857 -89.794
37.86 -89.796
37.869 -89.8
37.871 -89.8
37.874 -89.798
37.88 -89.798
37.882 -89.799
37.883 -89.804
37.888 -89.814
37.902 -89.836
37.902 -89.837
37.902 -89.838
37.905 -89.843
37.905 -89.844
37.906 -89.845
37.904 -89.851
37.897 -89.863
37.894 -89.867
37.883 -89.877
37.88 -89.881
37.872 -89.897
37.87 -89.902
37.87 -89.913
37.871 -89.923
37.875 -89.937
37.875 -89.938
37.877 -89.942
37.88 -89.948
37.882 -89.951
37.883 -89.952
37.898 -89.961
37.915 -89.972
37.917 -89.973
37.918 -89.974
37.919 -89.974
37.927 -89.975
37.931 -89.968
37.934 -89.962
37.94 -89.96
37.94 -89.947
37.946 -89.938
37.947 -89.933
37.947 -89.932
37.948 -89.932
37.954 -89.925
37.956 -89.925
37.96 -89.925
37.959 -89.934
37.96 -89.936
37.961 -89.937
37.965 -89.938
37.97 -89.942
37.967 -89.955
37.963 -89.979
37.962 -89.986
37.963 -89.997
37.965 -90
37.97 -90.008
37.995 -90.032
38 -90.046
38.002 -90.049
38.004 -90.051
38.006 -90.053
38.008 -90.054
38.012 -90.055
38.014 -90.057
38.015 -90.059
38.016 -90.059
38.017 -90.065
38.017 -90.072
38.015 -90.081
38.016 -90.088
38.016 -90.09
38.018 -90.094
38.027 -90.111
38.03 -90.116
38.032 -90.117
38.036 -90.121
38.04 -90.126
38.041 -90.126
38.043 -90.126
38.044 -90.127
38.051 -90.126
38.055 -90.126
38.06 -90.128
38.062 -90.13
38.062 -90.131
38.067 -90.141
38.069 -90.144
38.069 -90.145
38.075 -90.159
38.075 -90.16
38.075 -90.162
38.074 -90.163
38.07 -90.172
38.088 -90.207
