segment Maryland
38.27 -76.032
38.263 -76.035
38.256 -76.038
38.255 -76.039
38.249 -76.044
38.242 -76.044
38.231 -76.036
38.222 -76.033
38.217 -76.032
38.218 -76.034
38.227 -76.058
38.238 -76.07
38.24 -76.07
38.244 -76.072
38.248 -76.073
38.252 -76.075
38.253 -76.087
38.254 -76.099
38.254 -76.1
38.258 -76.103
38.262 -76.107
38.263 -76.108
38.277 -76.103
38.287 -76.111
38.285 -76.119
38.284 -76.127
38.283 -76.131
38.282 -76.137
38.281 -76.139
38.285 -76.15
38.289 -76.158
38.291 -76.16
38.291 -76.161
38.291 -76.164
38.29 -76.166
38.285 -76.174
38.283 -76.175
38.277 -76.18
38.262 -76.176
38.257 -76.172
38.249 -76.163
38.25 -76.146
38.245 -76.134
38.243 -76.128
38.243 -76.127
38.242 -76.126
38.238 -76.126
38.233 -76.131
38.231 -76.14
38.234 -76.149
38.234 -76.151
38.235 -76.152
38.247 -76.173
38.247 -76.174
38.25 -76.176
38.263 -76.185
38.267 -76.189
38.277 -76.191
38.285 -76.197
38.291 -76.202
38.293 -76.203
38.293 -76.204
38.303 -76.211
38.31 -76.226
38.31 -76.242
38.31 -76.244
38.311 -76.246
38.315 -76.254
38.315 -76.255
38.318 -76.258
38.326 -76.261
38.34 -76.267
38.344 -76.265
38.346 -76.264
38.342 -76.259
38.348 -76.238
38.349 -76.238
38.35 -76.239
38.353 -76.241
38.359 -76.246
38.364 -76.25
38.367 -76.257
38.366 -76.273
38.369 -76.274
38.372 -76.275
38.375 -76.276
38.393 -76.282
38.403 -76.281
38.414 -76.283
38.419 -76.287
38.42 -76.287
38.42 -76.286
38.42 -76.288
38.423 -76.29
38.44 -76.301
38.46 -76.321
38.474 -76.332
38.486 -76.335
38.491 -76.336
38.492 -76.336
38.499 -76.329
38.5 -76.327
38.498 -76.318
38.504 -76.29
38.504 -76.284
38.502 -76.282
38.503 -76.267
38.503 -76.264
38.505 -76.262
38.506 -76.26
38.524 -76.247
38.533 -76.245
38.537 -76.244
38.539 -76.249
38.539 -76.254
38.531 -76.274
38.532 -76.278
38.536 -76.281
38.542 -76.277
38.549 -76.276
38.557 -76.28
38.569 -76.29
38.572 -76.308
38.575 -76.305
38.58 -76.296
38.583 -76.29
38.591 -76.273
38.594 -76.271
38.598 -76.269
38.602 -76.272
38.607 -76.278
38.61 -76.28
38.611 -76.278
38.612 -76.277
38.616 -76.272
38.615 -76.265
38.615 -76.264
38.618 -76.26
38.621 -76.254
38.626 -76.247
38.629 -76.237
38.628 -76.237
38.623 -76.235
38.614 -76.231
38.607 -76.213
38.607 -76.212
38.609 -76.206
38.611 -76.203
38.613 -76.203
38.621 -76.191
38.629 -76.175
38.629 -76.17
38.625 -76.16
38.632 -76.153
38.637 -76.147
38.658 -76.156
38.662 -76.16
38.666 -76.165
38.667 -76.167
38.668 -76.169
38.672 -76.173
38.673 -76.175
38.673 -76.185
38.673 -76.197
38.671 -76.199
38.671 -76.2
38.682 -76.213
38.698 -76.226
38.713 -76.239
38.718 -76.24
38.72 -76.24
38.721 -76.239
38.725 -76.237
38.735 -76.239
38.736 -76.242
38.736 -76.255
38.731 -76.262
38.726 -76.268
38.724 -76.27
38.717 -76.271
38.713 -76.272
38.713 -76.275
38.713 -76.276
38.717 -76.293
38.718 -76.298
38.718 -76.299
38.719 -76.299
38.724 -76.296
38.726 -76.298
38.727 -76.299
38.73 -76.309
38.731 -76.313
38.73 -76.316
38.724 -76.321
38.719 -76.326
38.718 -76.327
38.717 -76.328
38.713 -76.331
38.703 -76.334
38.69 -76.322
38.679 -76.322
38.679 -76.324
38.672 -76.338
38.671 -76.34
38.674 -76.342
38.678 -76.344
38.686 -76.348
38.692 -76.347
38.706 -76.345
38.71 -76.344
38.726 -76.341
38.729 -76.341
38.73 -76.341
38.737 -76.341
38.745 -76.341
38.746 -76.341
38.752 -76.341
38.755 -76.34
38.772 -76.335
