segment Louisiana
31.67 -91.399
31.663 -91.398
31.644 -91.396
31.639 -91.396
31.626 -91.398
31.62 -91.401
31.613 -91.416
31.612 -91.421
31.611 -91.43
31.613 -91.437
31.62 -91.464
31.625 -91.474
31.629 -91.48
31.632 -91.483
31.637 -91.488
31.641 -91.49
31.644 -91.493
31.645 -91.494
31.645 -91.498
31.645 -91.499
31.639 -91.507
31.635 -91.512
31.63 -91.515
31.629 -91.516
31.628 -91.516
31.627 -91.517
31.625 -91.517
31.619 -91.518
31.613 -91.517
31.612 -91.517
31.612 -91.516
31.609 -91.515
31.607 -91.513
31.596 -91.503
31.59 -91.494
31.59 -91.493
31.589 -91.492
31.587 -91.489
31.587 -91.488
31.586 -91.486
31.586 -91.485
31.586 -91.482
31.585 -91.479
31.586 -91.476
31.586 -91.467
31.586 -91.466
31.588 -91.458
31.588 -91.456
31.595 -91.436
31.596 -91.434
31.596 -91.432
31.596 -91.431
31.597 -91.428
31.597 -91.424
31.597 -91.423
31.597 -91.42
31.596 -91.418
31.596 -91.417
31.595 -91.413
31.59 -91.404
31.578 -91.405
31.576 -91.405
31.572 -91.407
31.569 -91.408
31.565 -91.412
31.564 -91.413
31.562 -91.415
31.559 -91.419
31.555 -91.426
31.547 -91.437
31.546 -91.438
31.542 -91.444
31.54 -91.45
31.533 -91.473
31.53 -91.479
31.53 -91.48
31.531 -91.481
31.533 -91.484
31.534 -91.49
31.533 -91.5
31.533 -91.507
31.533 -91.511
31.532 -91.514
31.531 -91.516
31.528 -91.518
31.527 -91.519
31.524 -91.521
31.522 -91.523
31.52 -91.523
31.517 -91.523
31.513 -91.521
31.512 -91.517
31.51 -91.515
31.503 -91.515
31.498 -91.517
31.483 -91.518
31.461 -91.517
31.449 -91.515
31.444 -91.513
31.439 -91.51
31.433 -91.505
31.429 -91.501
31.419 -91.489
31.41 -91.48
31.398 -91.471
31.391 -91.467
31.387 -91.465
31.384 -91.465
31.381 -91.465
31.375 -91.468
31.365 -91.479
31.365 -91.504
31.366 -91.506
31.366 -91.508
31.37 -91.516
31.374 -91.521
31.375 -91.522
31.377 -91.523
31.38 -91.526
31.381 -91.527
31.382 -91.528
31.39 -91.532
31.414 -91.539
31.418 -91.54
31.423 -91.537
31.424 -91.537
31.431 -91.541
31.432 -91.542
31.433 -91.545
31.433 -91.548
31.431 -91.553
31.429 -91.555
31.423 -91.565
31.419 -91.57
31.41 -91.576
31.404 -91.578
31.399 -91.578
31.391 -91.574
31.385 -91.571
31.378 -91.569
31.383 -91.563
31.385 -91.561
31.386 -91.556
31.386 -91.552
31.382 -91.546
31.381 -91.547
31.377 -91.549
31.376 -91.55
31.375 -91.55
31.364 -91.551
31.361 -91.551
31.354 -91.549
31.349 -91.549
31.347 -91.549
31.345 -91.547
31.344 -91.546
31.343 -91.544
31.338 -91.536
31.333 -91.533
31.332 -91.532
31.324 -91.52
31.323 -91.519
31.317 -91.51
31.315 -91.509
31.313 -91.508
31.296 -91.508
31.292 -91.509
31.284 -91.512
31.278 -91.516
31.275 -91.519
31.268 -91.536
31.267 -91.538
31.267 -91.541
31.263 -91.552
31.263 -91.554
31.263 -91.555
31.262 -91.563
31.262 -91.564
31.262 -91.566
31.261 -91.574
31.263 -91.588
31.266 -91.607
31.268 -91.621
31.268 -91.638
31.267 -91.641
31.262 -91.649
31.26 -91.651
31.256 -91.654
31.252 -91.655
31.25 -91.655
31.243 -91.652
31.234 -91.644
31.226 -91.625
31.218 -91.614
31.209 -91.602
31.202 -91.595
31.194 -91.59
31.189 -91.589
31.181 -91.589
31.179 -91.589
31.174 -91.591
31.173 -91.591
31.163 -91.597
31.16 -91.6
31.155 -91.604
31.154 -91.605
31.137 -91.622
31.134 -91.624
31.132 -91.625
31.129 -91.626
31.119 -91.626
31.117 -91.626
31.11 -91.622
31.107 -91.619
31.104 -91.615
31.102 -91.61
31.091 -91.595
31.081 -91.582
31.074 -91.573
31.07 -91.568
31.067 -91.564
31.061 -91.561
31.054 -91.56
31.05 -91.56
31.046 -91.561
31.044 -91.562
31.039 -91.564
31.03 -91.572
31.024 -91.578
31.017 -91.59
31.011 -91.606
31.005 -91.625
30.999 -91.637
30.999 -91.625
30.999 -91.539
30.999 -91.509
30.999 -91.508
30.999 -91.5
30.999 -91.499
30.999 -91.497
30.999 -91.426
30.999 -91.424
30.999 -91.396
30.999 -91.348
30.999 -91.246
30.999 -91.225
30.999 -91.224
30.999 -91.176
30.999 -91.108
30.999 -91.081
30.999 -91.068
30.999 -91.042
30.999 -90.981
30.999 -90.971
31 -90.895
30.999 -90.826
30.999 -90.784
30.999 -90.78
30.999 -90.776
30.999 -90.769
31 -90.759
30.999 -90.735
30.999 -90.734
30.999 -90.668
31 -90.651
30.999 -90.65
30.999 -90.649
31 -90.589
31 -90.587
31 -90.584
31 -90.567
31 -90.487
31 -90.486
31 -90.477
31 -90.476
31 -90.474
31 -90.457
31 -90.442
31 -90.437
31 -90.427
31 -90.422
31 -90.381
31 -90.369
31 -90.347
31 -90.346
31.001 -90.295
31.001 -90.25
31.001 -90.194
31.001 -90.165
31.001 -90.164
31.001 -90.148
31.001 -90.131
31.001 -90.128
31.001 -90.097
31.001 -90.073
31.001 -90.051
31.001 -90.03
31.001 -90.022
31.001 -90.009
31.001 -90.005
31.002 -89.975
31.001 -89.973
31.001 -89.941
31.001 -89.93
31.001 -89.929
31.001 -89.927
31.001 -89.923
31.002 -89.898
31.002 -89.893
31.002 -89.864
31.002 -89.857
31.002 -89.836
31.002 -89.825
31.002 -89.816
31.002 -89.8
31.002 -89.753
31 -89.752
31 -89.751
31 -89.75
31 -89.749
31 -89.748
31 -89.747
31.002 -89.745
31.003 -89.742
31.005 -89.733
31.004 -89.73
31.002 -89.728
31.001 -89.728
31 -89.73
31 -89.736
30.996 -89.734
30.994 -89.732
30.994 -89.729
30.993 -89.728
30.982 -89.73
30.98 -89.73
30.978 -89.732
30.978 -89.736
30.977 -89.737
30.976 -89.737
30.974 -89.736
30.971 -89.728
30.97 -89.727
30.967 -89.727
30.967 -89.728
30.966 -89.729
30.966 -89.731
30.967 -89.734
30.967 -89.736
30.96 -89.743
30.958 -89.744
30.951 -89.751
30.943 -89.756
30.942 -89.757
30.94 -89.756
30.936 -89.75
30.934 -89.749
30.933 -89.749
30.93 -89.75
30.923 -89.748
30.922 -89.745
30.921 -89.744
30.919 -89.745
30.916 -89.747
30.913 -89.75
30.913 -89.754
30.915 -89.757
30.915 -89.759
30.914 -89.763
30.912 -89.764
30.91 -89.764
30.908 -89.764
30.907 -89.762
30.906 -89.76
30.901 -89.757
30.899 -89.757
30.897 -89.759
30.896 -89.761
30.897 -89.765
30.899 -89.77
30.899 -89.771
30.899 -89.772
30.898 -89.773
30.897 -89.773
30.897 -89.774
30.89 -89.772
30.882 -89.77
30.881 -89.775
30.881 -89.776
30.881 -89.777
30.88 -89.778
30.879 -89.778
30.879 -89.779
30.878 -89.779
30.876 -89.779
30.875 -89.779
30.874 -89.778
30.873 -89.778
30.867 -89.769
30.866 -89.768
30.865 -89.768
30.864 -89.768
30.855 -89.772
30.854 -89.773
30.853 -89.775
30.856 -89.779
30.857 -89.782
30.856 -89.783
30.855 -89.784
30.854 -89.784
30.852 -89.784
30.849 -89.781
30.846 -89.78
30.846 -89.781
30.845 -89.783
30.844 -89.787
30.838 -89.79
30.832 -89.791
30.831 -89.79
30.83 -89.789
30.831 -89.789
30.831 -89.787
30.828 -89.784
30.827 -89.784
30.826 -89.783
30.82 -89.781
30.818 -89.782
30.816 -89.786
30.82 -89.792
30.822 -89.797
30.821 -89.797
30.821 -89.799
30.819 -89.8
30.815 -89.8
30.81 -89.8
30.803 -89.804
30.803 -89.805
30.801 -89.808
30.8 -89.81
30.799 -89.811
30.798 -89.811
30.797 -89.811
30.795 -89.809
30.794 -89.807
30.793 -89.806
30.793 -89.805
30.792 -89.805
30.791 -89.805
30.789 -89.806
30.789 -89.807
30.789 -89.808
30.788 -89.811
30.788 -89.812
30.79 -89.813
30.791 -89.813
30.792 -89.814
30.794 -89.814
30.796 -89.816
30.796 -89.818
30.795 -89.819
30.793 -89.821
30.791 -89.821
30.79 -89.821
30.789 -89.821
30.78 -89.824
30.774 -89.828
30.768 -89.831
30.768 -89.832
30.766 -89.831
30.762 -89.829
30.76 -89.829
30.758 -89.828
30.756 -89.827
30.753 -89.827
30.747 -89.826
30.742 -89.826
30.741 -89.823
30.741 -89.82
30.74 -89.817
30.739 -89.816
30.738 -89.816
30.737 -89.817
30.737 -89.822
30.737 -89.826
30.737 -89.834
30.736 -89.835
30.735 -89.837
30.728 -89.837
30.727 -89.836
30.727 -89.833
30.725 -89.828
30.716 -89.83
30.715 -89.832
30.716 -89.836
30.712 -89.84
30.707 -89.846
30.706 -89.846
30.706 -89.847
30.706 -89.846
30.705 -89.846
30.704 -89.846
30.704 -89.845
30.703 -89.844
30.703 -89.842
30.704 -89.839
30.704 -89.838
30.7 -89.836
30.691 -89.835
30.691 -89.837
30.684 -89.84
30.675 -89.845
30.672 -89.846
30.67 -89.847
30.669 -89.846
30.669 -89.844
30.67 -89.842
30.672 -89.841
30.673 -89.841
30.674 -89.839
30.673 -89.838
30.669 -89.839
30.666 -89.841
30.664 -89.843
30.664 -89.846
30.664 -89.847
30.665 -89.849
30.665 -89.851
30.663 -89.852
30.661 -89.852
30.659 -89.841
30.657 -89.836
30.658 -89.833
30.649 -89.825
30.644 -89.822
30.634 -89.818
30.623 -89.823
30.62 -89.821
30.619 -89.821
30.618 -89.821
30.614 -89.822
30.608 -89.823
30.607 -89.821
30.608 -89.819
30.609 -89.817
30.609 -89.816
30.609 -89.815
30.608 -89.815
30.608 -89.814
30.606 -89.815
30.601 -89.817
30.597 -89.819
30.597 -89.82
30.595 -89.82
30.593 -89.819
30.592 -89.816
30.591 -89.812
30.587 -89.807
30.586 -89.808
30.585 -89.81
30.574 -89.807
30.572 -89.807
30.569 -89.808
30.568 -89.808
30.568 -89.806
30.568 -89.804
30.569 -89.8
30.57 -89.794
30.568 -89.79
30.567 -89.79
30.565 -89.79
30.563 -89.792
30.562 -89.797
30.564 -89.8
30.564 -89.801
30.563 -89.803
30.561 -89.804
30.559 -89.804
30.558 -89.803
30.557 -89.795
30.552 -89.792
30.549 -89.792
30.548 -89.794
30.548 -89.795
30.547 -89.795
30.546 -89.794
30.545 -89.792
30.545 -89.791
30.544 -89.789
30.544 -89.784
30.545 -89.78
30.544 -89.78
30.539 -89.775
30.53 -89.772
30.528 -89.771
30.522 -89.77
30.515 -89.768
30.516 -89.761
30.513 -89.759
30.506 -89.759
30.506 -89.758
30.505 -89.758
30.505 -89.757
30.502 -89.753
30.503 -89.746
30.499 -89.743
30.497 -89.742
30.495 -89.735
30.493 -89.726
30.492 -89.725
30.489 -89.721
30.483 -89.72
30.478 -89.716
30.478 -89.712
30.478 -89.71
30.472 -89.706
30.465 -89.702
30.463 -89.696
30.46 -89.69
30.452 -89.683
30.446 -89.683
30.44 -89.685
30.435 -89.684
30.434 -89.682
30.429 -89.681
30.414 -89.679
30.411 -89.68
30.411 -89.681
30.413 -89.682
30.413 -89.684
30.412 -89.684
30.406 -89.684
30.404 -89.682
30.403 -89.682
30.403 -89.681
30.4 -89.679
30.389 -89.673
30.382 -89.67
30.371 -89.662
30.363 -89.66
30.357 -89.657
30.356 -89.653
30.353 -89.647
30.351 -89.646
30.348 -89.645
30.344 -89.636
30.339 -89.63
30.333 -89.63
30.327 -89.63
30.321 -89.63
30.315 -89.627
30.314 -89.626
30.309 -89.632
30.308 -89.634
30.307 -89.64
30.305 -89.641
30.304 -89.642
30.303 -89.642
30.293 -89.643
30.288 -89.643
30.285 -89.638
30.28 -89.631
30.277 -89.631
30.267 -89.63
30.262 -89.631
30.26 -89.632
30.257 -89.632
30.252 -89.627
30.25 -89.624
30.248 -89.617
30.247 -89.616
30.246 -89.615
30.245 -89.614
30.244 -89.614
30.242 -89.614
30.241 -89.614
30.239 -89.615
30.235 -89.616
30.227 -89.617
30.226 -89.617
30.223 -89.616
30.219 -89.613
30.218 -89.611
30.217 -89.608
30.216 -89.601
30.212 -89.597
30.2 -89.589
30.195 -89.587
30.192 -89.586
30.186 -89.581
30.183 -89.576
30.182 -89.574
30.181 -89.572
30.18 -89.571
30.18 -89.57
30.181 -89.568
30.182 -89.564
30.182 -89.562
30.186 -89.555
30.189 -89.551
30.192 -89.549
30.193 -89.547
30.193 -89.546
30.195 -89.541
30.196 -89.539
30.195 -89.533
30.192 -89.53
30.189 -89.528
30.181 -89.524
30.177 -89.531
30.172 -89.537
30.171 -89.555
30.169 -89.563
30.164 -89.568
30.16 -89.572
30.151 -89.587
30.15 -89.595
30.152 -89.598
30.153 -89.601
30.154 -89.608
30.156 -89.618
30.152 -89.623
30.151 -89.625
30.15 -89.627
30.139 -89.641
30.134 -89.644
30.126 -89.651
30.118 -89.657
30.111 -89.669
30.11 -89.673
30.11 -89.675
30.108 -89.678
30.107 -89.679
30.095 -89.681
30.092 -89.682
30.09 -89.682
30.086 -89.683
30.076 -89.684
30.071 -89.698
30.07 -89.698
30.07 -89.699
30.07 -89.7
30.069 -89.712
30.069 -89.713
30.069 -89.714
30.063 -89.727
30.058 -89.731
30.056 -89.731
30.051 -89.731
30.05 -89.732
30.049 -89.731
30.028 -89.716
30.026 -89.716
30.026 -89.717
30.022 -89.725
30.022 -89.733
30.027 -89.74
30.032 -89.746
30.033 -89.747
30.037 -89.754
30.042 -89.763
30.043 -89.769
30.045 -89.783
30.045 -89.784
30.044 -89.814
30.043 -89.819
30.042 -89.82
30.031 -89.832
30.024 -89.84
30.004 -89.858
29.978 -89.852
29.959 -89.846
29.956 -89.844
29.946 -89.839
29.945 -89.837
29.939 -89.829
29.934 -89.818
29.933 -89.804
29.937 -89.775
29.946 -89.748
29.95 -89.742
29.959 -89.728
29.954 -89.719
29.946 -89.713
29.942 -89.722
29.936 -89.736
29.936 -89.743
29.928 -89.746
29.922 -89.745
29.908 -89.742
29.907 -89.742
29.907 -89.741
29.902 -89.736
29.882 -89.714
29.88 -89.712
29.879 -89.711
29.872 -89.698
29.869 -89.692
29.869 -89.691
29.868 -89.672
29.863 -89.661
29.864 -89.638
29.872 -89.613
29.881 -89.598
29.897 -89.591
29.917 -89.592
29.932 -89.583
29.946 -89.583
29.959 -89.575
29.984 -89.574
29.995 -89.581
30 -89.572
30.006 -89.551
30.034 -89.502
30.041 -89.494
30.051 -89.495
30.059 -89.499
30.072 -89.493
30.079 -89.482
30.063 -89.459
30.061 -89.445
30.052 -89.429
30.05 -89.418
30.055 -89.372
30.047 -89.369
30.037 -89.372
30.03 -89.381
30.03 -89.394
30.02 -89.416
30.015 -89.423
30.008 -89.433
29.991 -89.433
29.979 -89.433
29.966 -89.405
29.966 -89.394
29.964 -89.379
29.92 -89.379
29.911 -89.368
29.916 -89.332
29.923 -89.315
29.973 -89.284
29.994 -89.273
30.002 -89.251
29.997 -89.244
29.976 -89.25
29.973 -89.218
29.962 -89.224
29.925 -89.231
29.93 -89.245
29.929 -89.263
29.925 -89.28
29.898 -89.318
29.887 -89.322
29.882 -89.311
29.881 -89.289
29.887 -89.272
29.89 -89.241
29.887 -89.236
29.877 -89.236
29.865 -89.255
29.86 -89.27
29.857 -89.295
29.851 -89.318
29.846 -89.363
29.839 -89.384
29.83 -89.383
29.825 -89.373
29.82 -89.346
29.798 -89.343
29.791 -89.332
29.789 -89.318
29.803 -89.293
29.808 -89.277
29.8 -89.277
29.796 -89.284
29.77 -89.285
29.761 -89.269
29.756 -89.271
29.757 -89.305
29.761 -89.316
29.772 -89.325
29.779 -89.338
29.781 -89.354
29.775 -89.367
29.789 -89.386
29.785 -89.395
29.771 -89.399
29.752 -89.415
29.742 -89.428
29.704 -89.425
29.698 -89.424
29.703 -89.448
29.719 -89.472
29.726 -89.487
29.732 -89.506
29.744 -89.53
29.744 -89.54
29.735 -89.56
29.747 -89.573
29.748 -89.598
29.753 -89.634
29.749 -89.651
29.72 -89.65
29.711 -89.645
29.701 -89.618
29.705 -89.599
29.702 -89.593
29.69 -89.6
29.684 -89.597
29.674 -89.574
29.67 -89.557
29.67 -89.534
