segment Arkansas
36.399 -90.079
36.397 -90.077
36.396 -90.077
36.393 -90.074
36.393 -90.073
36.389 -90.069
36.382 -90.065
36.373 -90.064
36.367 -90.065
36.366 -90.065
36.359 -90.066
36.359 -90.067
36.356 -90.071
36.35 -90.075
36.349 -90.078
36.348 -90.078
36.345 -90.075
36.343 -90.074
36.342 -90.075
36.341 -90.077
36.337 -90.078
36.336 -90.078
36.335 -90.076
36.334 -90.076
36.331 -90.077
36.328 -90.079
36.326 -90.081
36.322 -90.082
36.32 -90.081
36.319 -90.08
36.318 -90.079
36.319 -90.079
36.319 -90.077
36.313 -90.069
36.303 -90.064
36.295 -90.07
36.294 -90.071
36.293 -90.072
36.288 -90.078
36.281 -90.076
36.272 -90.084
36.272 -90.086
36.271 -90.091
36.269 -90.1
36.267 -90.105
36.267 -90.11
36.267 -90.113
36.266 -90.115
36.259 -90.117
36.253 -90.118
36.244 -90.124
36.243 -90.126
36.243 -90.13
36.242 -90.131
36.24 -90.13
36.236 -90.127
36.236 -90.125
36.234 -90.125
36.229 -90.126
36.226 -90.132
36.226 -90.135
36.227 -90.138
36.228 -90.142
36.219 -90.151
36.216 -90.152
36.214 -90.156
36.214 -90.157
36.215 -90.159
36.216 -90.161
36.213 -90.168
36.21 -90.173
36.208 -90.18
36.205 -90.183
36.205 -90.186
36.205 -90.188
36.201 -90.19
36.2 -90.193
36.201 -90.194
36.201 -90.195
36.2 -90.195
36.196 -90.197
36.197 -90.2
36.196 -90.202
36.193 -90.202
36.192 -90.201
36.187 -90.204
36.183 -90.211
36.183 -90.214
36.185 -90.216
36.185 -90.22
36.174 -90.229
36.169 -90.231
36.167 -90.23
36.159 -90.235
36.154 -90.231
36.147 -90.231
36.142 -90.234
36.139 -90.236
36.137 -90.241
36.137 -90.244
36.133 -90.246
36.13 -90.249
36.127 -90.253
36.127 -90.254
36.127 -90.255
36.127 -90.256
36.127 -90.257
36.128 -90.259
36.127 -90.261
36.121 -90.266
36.118 -90.272
36.117 -90.279
36.115 -90.292
36.114 -90.293
36.114 -90.294
36.113 -90.294
36.107 -90.298
36.105 -90.298
36.103 -90.298
36.098 -90.3
36.095 -90.306
36.095 -90.312
36.09 -90.319
36.087 -90.321
36.082 -90.32
36.081 -90.32
36.079 -90.319
36.077 -90.318
36.076 -90.318
36.071 -90.321
36.068 -90.333
36.062 -90.335
36.06 -90.336
36.059 -90.336
36.052 -90.337
36.048 -90.337
36.047 -90.339
36.045 -90.343
36.045 -90.344
36.042 -90.348
36.041 -90.349
36.04 -90.349
36.039 -90.349
36.035 -90.348
36.032 -90.351
36.028 -90.352
36.027 -90.351
36.025 -90.352
36.018 -90.357
36.014 -90.364
36.01 -90.367
36.004 -90.372
35.996 -90.378
35.996 -90.369
35.996 -90.343
35.996 -90.339
35.996 -90.292
35.996 -90.289
35.997 -90.247
35.997 -90.159
35.998 -90.127
35.998 -90.126
35.998 -90.119
35.998 -90.111
35.998 -90.104
35.998 -90.071
35.998 -90.054
35.999 -89.996
35.999 -89.973
35.999 -89.965
35.999 -89.961
35.999 -89.96
35.999 -89.959
35.999 -89.946
35.999 -89.901
35.999 -89.897
36 -89.876
36 -89.875
36 -89.869
36 -89.805
36.001 -89.77
36.001 -89.738
36.001 -89.733
35.997 -89.731
35.994 -89.728
35.986 -89.719
35.985 -89.719
35.975 -89.72
35.971 -89.72
35.968 -89.719
35.963 -89.715
35.96 -89.71
35.954 -89.7
35.948 -89.687
35.941 -89.677
35.936 -89.671
35.926 -89.656
35.921 -89.652
35.918 -89.65
35.908 -89.647
35.904 -89.645
35.895 -89.647
35.891 -89.651
35.887 -89.655
35.886 -89.658
35.883 -89.666
35.883 -89.67
35.886 -89.677
35.89 -89.682
35.897 -89.688
35.906 -89.715
35.905 -89.734
35.898 -89.754
35.897 -89.756
35.896 -89.758
35.891 -89.766
35.887 -89.769
35.88 -89.772
35.879 -89.772
35.878 -89.772
35.876 -89.773
35.872 -89.774
35.867 -89.773
35.865 -89.772
35.862 -89.77
35.862 -89.769
35.861 -89.769
35.858 -89.764
35.853 -89.749
35.851 -89.743
35.848 -89.73
35.839 -89.709
35.836 -89.704
35.834 -89.703
35.833 -89.702
35.831 -89.701
35.828 -89.701
35.824 -89.702
35.82 -89.704
35.818 -89.706
35.812 -89.72
35.809 -89.723
35.806 -89.734
35.806 -89.743
35.81 -89.758
35.811 -89.765
35.81 -89.765
35.805 -89.782
35.793 -89.796
35.789 -89.799
35.783 -89.797
35.78 -89.797
35.775 -89.799
35.764 -89.809
35.761 -89.813
35.76 -89.814
35.757 -89.821
35.756 -89.825
35.755 -89.833
35.755 -89.834
35.756 -89.846
35.755 -89.847
35.75 -89.858
35.748 -89.864
35.741 -89.873
35.741 -89.874
35.741 -89.877
35.745 -89.884
35.75 -89.888
35.759 -89.906
35.759 -89.908
35.759 -89.91
35.757 -89.913
35.755 -89.915
35.741 -89.945
35.738 -89.95
35.736 -89.954
35.733 -89.956
35.728 -89.959
35.724 -89.959
35.719 -89.958
35.712 -89.957
35.695 -89.957
35.691 -89.956
35.687 -89.954
35.686 -89.953
35.682 -89.95
35.675 -89.943
35.666 -89.937
35.661 -89.933
35.66 -89.931
35.66 -89.93
35.655 -89.923
35.653 -89.915
35.651 -89.906
35.651 -89.899
35.652 -89.891
35.654 -89.887
35.654 -89.886
35.655 -89.885
35.656 -89.884
35.657 -89.883
35.665 -89.879
35.666 -89.877
35.667 -89.875
35.668 -89.872
35.669 -89.869
35.67 -89.866
35.67 -89.865
35.67 -89.861
35.669 -89.859
35.663 -89.854
35.658 -89.851
35.657 -89.851
35.656 -89.851
35.65 -89.851
35.644 -89.852
35.64 -89.853
35.639 -89.854
35.638 -89.854
35.637 -89.855
35.635 -89.856
35.634 -89.857
35.634 -89.858
35.631 -89.864
35.627 -89.877
35.616 -89.894
35.615 -89.897
35.615 -89.9
35.616 -89.906
35.618 -89.911
35.617 -89.912
35.612 -89.92
35.608 -89.933
35.602 -89.945
35.597 -89.951
35.594 -89.954
35.591 -89.957
35.587 -89.958
35.585 -89.958
35.581 -89.957
35.576 -89.954
35.564 -89.947
35.56 -89.945
35.557 -89.941
35.552 -89.929
35.551 -89.924
35.55 -89.917
35.55 -89.914
35.548 -89.911
35.544 -89.91
35.543 -89.91
35.541 -89.911
35.539 -89.911
35.538 -89.909
35.537 -89.906
35.536 -89.904
35.534 -89.904
35.523 -89.908
35.521 -89.909
35.517 -89.912
35.515 -89.915
35.514 -89.919
35.514 -89.923
35.519 -89.934
35.519 -89.945
35.52 -89.948
35.522 -89.951
35.526 -89.956
35.527 -89.958
35.53 -89.958
35.533 -89.956
35.535 -89.956
35.539 -89.957
35.542 -89.959
35.554 -89.976
35.56 -89.989
35.561 -89.993
35.561 -89.999
35.561 -90
35.56 -90.008
35.559 -90.011
35.556 -90.017
35.556 -90.019
35.556 -90.024
35.555 -90.029
35.553 -90.033
35.55 -90.038
35.548 -90.04
35.537 -90.042
35.532 -90.045
35.53 -90.046
35.522 -90.049
35.515 -90.05
35.504 -90.049
35.497 -90.046
35.492 -90.044
35.481 -90.035
35.47 -90.02
35.468 -90.019
35.466 -90.019
35.465 -90.019
35.457 -90.022
35.454 -90.024
35.448 -90.027
35.445 -90.027
35.44 -90.027
35.438 -90.027
35.435 -90.029
35.428 -90.032
35.423 -90.041
35.421 -90.043
35.419 -90.044
35.415 -90.045
35.413 -90.047
35.41 -90.049
35.408 -90.052
35.408 -90.053
35.407 -90.055
35.407 -90.058
35.408 -90.06
35.411 -90.062
35.415 -90.062
35.423 -90.071
35.434 -90.074
35.44 -90.074
35.45 -90.071
35.461 -90.067
35.465 -90.067
35.466 -90.068
35.471 -90.072
35.473 -90.075
35.477 -90.08
35.479 -90.085
35.479 -90.09
35.479 -90.099
35.477 -90.102
35.477 -90.108
35.472 -90.114
35.469 -90.118
35.466 -90.121
35.46 -90.123
35.442 -90.129
35.437 -90.14
35.422 -90.169
35.418 -90.171
35.41 -90.171
35.385 -90.179
35.382 -90.178
35.378 -90.172
35.375 -90.166
35.375 -90.145
35.377 -90.136
35.388 -90.143
35.395 -90.146
35.399 -90.146
35.404 -90.145
35.407 -90.143
35.409 -90.142
35.412 -90.138
35.413 -90.135
35.414 -90.13
35.412 -90.117
35.41 -90.113
35.409 -90.111
35.403 -90.107
35.401 -90.105
35.395 -90.097
35.393 -90.094
35.391 -90.088
35.385 -90.08
35.384 -90.078
35.384 -90.075
35.369 -90.084
35.363 -90.088
35.361 -90.09
35.36 -90.093
35.357 -90.097
35.352 -90.1
35.343 -90.107
35.343 -90.109
35.343 -90.11
35.332 -90.104
35.325 -90.107
35.305 -90.109
35.303 -90.117
35.305 -90.122
35.305 -90.124
35.3 -90.132
35.299 -90.14
35.303 -90.15
35.303 -90.153
35.301 -90.159
35.299 -90.161
35.296 -90.164
35.293 -90.165
35.282 -90.169
35.279 -90.169
35.275 -90.167
35.263 -90.159
35.256 -90.152
35.252 -90.14
35.253 -90.132
35.255 -90.124
35.256 -90.116
35.255 -90.11
35.254 -90.105
35.251 -90.099
35.25 -90.098
35.242 -90.091
35.236 -90.086
35.232 -90.083
35.228 -90.081
35.223 -90.079
35.22 -90.078
35.217 -90.078
35.216 -90.079
35.215 -90.08
35.214 -90.082
35.214 -90.084
35.214 -90.087
35.212 -90.089
35.203 -90.093
35.195 -90.096
35.195 -90.097
35.199 -90.109
35.198 -90.116
35.191 -90.118
35.188 -90.117
35.182 -90.114
35.179 -90.111
35.178 -90.109
35.175 -90.109
35.169 -90.109
35.169 -90.108
35.167 -90.108
35.167 -90.107
35.166 -90.106
35.165 -90.105
35.163 -90.103
35.16 -90.098
35.158 -90.093
35.157 -90.089
35.154 -90.069
35.153 -90.068
35.152 -90.067
35.151 -90.066
35.141 -90.065
35.138 -90.065
35.136 -90.067
35.132 -90.071
35.122 -90.083
35.12 -90.087
35.118 -90.091
35.117 -90.101
35.119 -90.109
35.134 -90.139
35.135 -90.143
35.135 -90.145
35.131 -90.156
35.129 -90.16
35.125 -90.165
35.124 -90.166
35.124 -90.167
35.12 -90.171
35.119 -90.172
35.119 -90.173
35.118 -90.174
35.117 -90.174
35.112 -90.177
35.091 -90.181
35.062 -90.194
35.056 -90.194
35.051 -90.193
35.042 -90.193
35.037 -90.196
35.033 -90.2
35.032 -90.201
35.027 -90.209
35.026 -90.214
35.026 -90.216
35.03 -90.225
35.031 -90.231
35.034 -90.256
35.036 -90.262
35.037 -90.263
35.04 -90.264
35.04 -90.265
35.042 -90.292
35.041 -90.294
35.04 -90.296
35.038 -90.297
35.029 -90.301
35.018 -90.307
35.01 -90.31
35.004 -90.31
35.002 -90.31
35.001 -90.31
34.996 -90.309
34.985 -90.304
34.982 -90.302
34.976 -90.296
34.975 -90.293
34.973 -90.287
34.968 -90.282
34.965 -90.278
34.958 -90.26
34.956 -90.257
34.955 -90.254
34.951 -90.25
34.948 -90.248
34.946 -90.247
34.945 -90.247
34.944 -90.246
34.938 -90.244
34.921 -90.245
34.914 -90.247
34.91 -90.248
34.907 -90.25
34.89 -90.279
34.88 -90.302
34.875 -90.31
34.872 -90.313
34.862 -90.305
34.86 -90.304
34.856 -90.303
34.854 -90.303
34.851 -90.304
34.846 -90.307
34.844 -90.311
34.845 -90.319
34.846 -90.323
34.853 -90.332
34.86 -90.34
34.855 -90.348
34.853 -90.352
34.846 -90.38
34.836 -90.4
34.835 -90.402
34.833 -90.407
34.833 -90.408
34.832 -90.411
34.832 -90.415
34.834 -90.422
34.835 -90.424
34.841 -90.429
34.849 -90.431
34.855 -90.432
34.859 -90.432
34.865 -90.429
34.867 -90.429
34.868 -90.429
34.871 -90.43
34.881 -90.435
34.883 -90.437
34.885 -90.438
34.886 -90.441
34.888 -90.445
34.891 -90.454
34.892 -90.46
34.891 -90.466
34.886 -90.476
34.883 -90.48
34.877 -90.484
34.875 -90.485
34.869 -90.485
34.861 -90.484
34.858 -90.482
34.857 -90.481
34.849 -90.474
34.835 -90.464
34.823 -90.457
34.82 -90.457
34.814 -90.459
34.811 -90.465
34.806 -90.469
34.805 -90.471
34.802 -90.472
34.798 -90.474
34.795 -90.474
34.793 -90.475
34.793 -90.474
34.791 -90.474
34.789 -90.474
34.781 -90.47
34.764 -90.459
34.754 -90.454
34.753 -90.453
34.748 -90.451
34.744 -90.451
34.743 -90.452
34.741 -90.452
34.74 -90.452
34.739 -90.453
34.736 -90.455
34.733 -90.458
34.727 -90.47
34.725 -90.48
34.724 -90.489
34.724 -90.502
34.73 -90.515
34.733 -90.518
34.739 -90.521
34.744 -90.522
34.748 -90.522
34.753 -90.521
34.758 -90.517
34.765 -90.505
34.769 -90.502
34.77 -90.501
34.771 -90.501
34.775 -90.502
34.78 -90.504
34.796 -90.513
34.802 -90.515
34.802 -90.517
34.802 -90.523
34.801 -90.53
34.801 -90.531
34.8 -90.532
34.799 -90.537
34.796 -90.54
34.791 -90.544
34.785 -90.548
34.782 -90.548
34.779 -90.548
34.773 -90.546
34.764 -90.543
34.753 -90.543
34.749 -90.544
34.746 -90.546
34.744 -90.548
34.743 -90.55
34.742 -90.553
34.742 -90.556
34.741 -90.56
34.739 -90.564
34.737 -90.565
34.733 -90.567
34.728 -90.568
34.727 -90.568
34.725 -90.568
34.723 -90.567
34.721 -90.566
34.711 -90.556
34.702 -90.546
34.699 -90.539
34.697 -90.531
34.697 -90.529
34.697 -90.527
34.697 -90.525
34.697 -90.522
34.697 -90.52
34.698 -90.51
34.701 -90.497
34.701 -90.487
34.702 -90.48
34.701 -90.475
34.699 -90.471
34.696 -90.467
34.691 -90.464
34.688 -90.463
34.684 -90.463
34.674 -90.466
34.669 -90.47
34.66 -90.48
34.655 -90.488
34.648 -90.497
34.641 -90.503
34.637 -90.508
34.631 -90.517
34.629 -90.524
34.627 -90.532
34.628 -90.537
34.63 -90.544
34.632 -90.548
34.636 -90.552
34.641 -90.554
34.646 -90.555
34.655 -90.554
34.66 -90.553
34.663 -90.55
34.671 -90.539
34.673 -90.538
34.682 -90.539
34.685 -90.54
34.689 -90.543
34.693 -90.548
34.695 -90.55
34.697 -90.552
34.698 -90.556
34.696 -90.562
34.696 -90.563
34.693 -90.567
34.686 -90.573
34.684 -90.579
34.68 -90.582
34.671 -90.588
34.669 -90.589
34.665 -90.587
34.652 -90.586
34.647 -90.585
34.644 -90.583
34.643 -90.583
34.642 -90.583
34.641 -90.583
34.636 -90.585
34.627 -90.588
34.616 -90.587
34.604 -90.582
34.595 -90.575
34.587 -90.57
34.583 -90.565
34.577 -90.558
34.568 -90.549
34.563 -90.546
34.551 -90.541
34.548 -90.541
34.545 -90.541
34.54 -90.544
34.538 -90.546
34.531 -90.555
34.525 -90.569
34.516 -90.578
34.516 -90.579
34.515 -90.58
34.513 -90.581
34.512 -90.581
34.504 -90.584
34.5 -90.586
34.5 -90.587
34.497 -90.587
34.491 -90.589
34.485 -90.59
34.471 -90.588
34.47 -90.588
34.461 -90.585
34.459 -90.584
34.454 -90.577
34.452 -90.574
34.441 -90.568
34.44 -90.567
34.438 -90.567
34.437 -90.567
34.435 -90.566
34.434 -90.566
34.43 -90.567
34.425 -90.568
34.42 -90.571
34.415 -90.575
34.411 -90.581
34.391 -90.614
34.389 -90.618
34.387 -90.632
34.386 -90.635
34.384 -90.641
34.376 -90.659
34.372 -90.655
34.356 -90.667
34.349 -90.667
34.336 -90.66
34.327 -90.657
34.322 -90.657
34.315 -90.661
34.313 -90.669
34.313 -90.678
34.316 -90.686
34.319 -90.69
34.323 -90.693
34.33 -90.694
34.339 -90.692
34.353 -90.682
34.363 -90.681
34.366 -90.682
34.369 -90.683
34.369 -90.69
34.366 -90.7
34.364 -90.712
34.364 -90.725
34.364 -90.729
34.365 -90.734
34.367 -90.742
34.368 -90.75
34.367 -90.756
34.365 -90.762
34.362 -90.766
34.36 -90.767
34.353 -90.768
34.347 -90.768
34.345 -90.767
34.343 -90.765
34.333 -90.752
34.332 -90.75
34.331 -90.749
34.328 -90.747
34.326 -90.745
34.325 -90.745
34.32 -90.743
34.314 -90.741
34.313 -90.741
34.307 -90.741
34.302 -90.743
34.302 -90.744
34.289 -90.753
34.287 -90.755
34.285 -90.758
34.281 -90.765
34.28 -90.772
34.281 -90.78
34.281 -90.782
34.282 -90.798
34.282 -90.799
34.282 -90.802
34.282 -90.803
34.282 -90.804
34.279 -90.813
34.278 -90.821
34.276 -90.824
34.274 -90.828
34.273 -90.829
34.272 -90.83
34.271 -90.831
34.268 -90.832
34.267 -90.832
34.264 -90.833
34.263 -90.834
34.262 -90.834
34.259 -90.835
34.25 -90.837
34.248 -90.837
34.236 -90.84
34.23 -90.84
34.226 -90.84
34.223 -90.84
34.22 -90.841
34.219 -90.841
34.217 -90.842
34.211 -90.845
34.207 -90.848
34.209 -90.853
34.212 -90.857
34.212 -90.867
34.215 -90.879
34.224 -90.895
34.227 -90.898
34.23 -90.9
34.241 -90.904
34.244 -90.906
34.244 -90.907
34.246 -90.912
34.247 -90.923
34.245 -90.929
34.24 -90.934
34.237 -90.936
34.234 -90.937
34.227 -90.937
34.219 -90.935
34.215 -90.933
34.197 -90.916
34.194 -90.912
34.185 -90.892
34.182 -90.888
34.184 -90.883
34.186 -90.877
34.183 -90.874
34.183 -90.87
34.184 -90.865
34.186 -90.859
34.187 -90.856
34.186 -90.847
34.184 -90.838
34.185 -90.828
34.183 -90.817
34.181 -90.812
34.178 -90.81
34.176 -90.809
34.167 -90.807
34.161 -90.808
34.156 -90.811
34.15 -90.816
34.144 -90.823
34.142 -90.826
34.14 -90.83
34.138 -90.836
34.137 -90.847
34.138 -90.853
34.141 -90.865
34.142 -90.868
34.148 -90.877
34.152 -90.883
34.161 -90.894
34.164 -90.904
34.166 -90.91
34.149 -90.938
34.138 -90.954
34.13 -90.959
34.125 -90.958
34.12 -90.956
34.119 -90.955
34.111 -90.949
34.109 -90.946
34.094 -90.921
34.093 -90.918
34.093 -90.914
34.095 -90.901
34.098 -90.894
34.098 -90.888
34.097 -90.883
34.095 -90.879
34.093 -90.877
34.087 -90.872
34.083 -90.87
34.081 -90.871
34.076 -90.872
34.072 -90.875
34.064 -90.882
34.059 -90.886
34.055 -90.888
34.052 -90.889
34.046 -90.889
34.04 -90.887
34.035 -90.887
34.033 -90.887
34.03 -90.889
34.027 -90.892
34.024 -90.899
34.022 -90.915
34.023 -90.922
34.023 -90.924
34.019 -90.935
34.018 -90.943
34.018 -90.95
34.02 -90.958
34.022 -90.971
34.021 -90.977
34.02 -90.983
34.019 -90.988
34 -90.98
33.997 -90.977
33.992 -90.971
33.98 -90.962
33.976 -90.961
33.968 -90.964
33.965 -90.965
33.963 -90.968
33.962 -90.971
33.961 -90.977
33.96 -90.983
33.961 -90.988
33.963 -90.995
33.966 -91
33.971 -91.003
33.977 -91.005
33.994 -91.014
34.003 -91.019
33.995 -91.034
33.989 -91.04
33.987 -91.043
33.985 -91.048
33.985 -91.062
33.984 -91.071
33.984 -91.075
33.982 -91.079
33.98 -91.083
33.975 -91.088
33.973 -91.089
33.97 -91.09
33.969 -91.09
33.966 -91.09
33.963 -91.089
33.961 -91.089
33.961 -91.088
33.958 -91.087
33.956 -91.084
33.954 -91.079
33.954 -91.078
33.947 -91.047
33.944 -91.036
33.937 -91.02
33.932 -91.013
33.929 -91.01
33.927 -91.01
33.926 -91.011
33.919 -91.017
33.908 -91.026
33.899 -91.037
33.883 -91.055
33.878 -91.061
33.867 -91.071
33.862 -91.073
33.857 -91.073
33.85 -91.071
33.84 -91.068
33.837 -91.065
33.829 -91.057
33.824 -91.053
33.819 -91.05
33.815 -91.047
33.813 -91.042
33.806 -91.025
33.804 -91.02
33.803 -91.008
33.8 -91
33.793 -90.992
33.788 -90.989
33.785 -90.988
33.781 -90.989
33.777 -90.991
33.774 -90.994
33.769 -91
33.765 -91.013
33.763 -91.023
33.764 -91.027
33.779 -91.054
33.778 -91.061
33.776 -91.086
33.776 -91.089
33.771 -91.107
33.775 -91.111
33.776 -91.114
33.777 -91.115
33.779 -91.118
33.782 -91.123
33.783 -91.128
33.783 -91.129
33.783 -91.132
33.783 -91.134
33.781 -91.136
33.78 -91.137
33.777 -91.14
33.774 -91.142
33.767 -91.145
33.764 -91.145
33.762 -91.144
33.761 -91.141
33.76 -91.141
33.756 -91.142
33.752 -91.145
33.75 -91.145
33.749 -91.145
33.747 -91.143
33.737 -91.147
33.732 -91.147
33.729 -91.146
33.727 -91.145
33.714 -91.132
33.709 -91.126
33.705 -91.118
33.705 -91.108
33.705 -91.106
33.705 -91.104
33.705 -91.101
33.705 -91.099
33.707 -91.09
33.714 -91.075
33.716 -91.068
33.716 -91.065
33.716 -91.064
33.716 -91.063
33.715 -91.061
33.715 -91.06
33.714 -91.058
33.713 -91.057
33.712 -91.056
33.706 -91.047
33.7 -91.041
33.697 -91.039
33.693 -91.037
33.689 -91.036
33.689 -91.033
33.688 -91.03
33.682 -91.03
33.678 -91.031
33.674 -91.034
33.673 -91.035
33.671 -91.037
33.668 -91.046
33.668 -91.051
33.666 -91.059
33.663 -91.067
33.658 -91.079
33.657 -91.084
33.657 -91.086
33.657 -91.087
33.657 -91.088
33.658 -91.094
33.661 -91.101
33.675 -91.13
33.677 -91.133
33.69 -91.144
33.693 -91.147
33.706 -91.16
33.707 -91.161
33.707 -91.162
33.705 -91.166
33.703 -91.176
33.702 -91.19
33.702 -91.201
33.701 -91.205
33.7 -91.207
33.699 -91.21
33.698 -91.212
33.698 -91.213
33.693 -91.221
33.688 -91.225
33.683 -91.228
33.678 -91.229
33.671 -91.228
33.669 -91.227
33.665 -91.223
33.664 -91.222
33.662 -91.22
33.662 -91.219
33.661 -91.217
33.659 -91.211
33.654 -91.187
33.654 -91.185
33.653 -91.184
33.652 -91.18
33.651 -91.178
33.648 -91.171
33.643 -91.164
33.633 -91.15
33.626 -91.139
33.62 -91.134
33.611 -91.131
33.606 -91.13
33.599 -91.132
33.597 -91.132
33.594 -91.134
33.591 -91.138
33.583 -91.152
33.581 -91.157
33.581 -91.161
33.583 -91.176
33.583 -91.178
33.582 -91.181
33.576 -91.189
33.572 -91.198
33.571 -91.203
33.568 -91.22
33.568 -91.221
33.567 -91.224
33.565 -91.228
33.561 -91.231
33.557 -91.233
33.553 -91.232
33.548 -91.23
33.547 -91.23
33.541 -91.226
33.532 -91.219
33.529 -91.216
33.511 -91.187
33.507 -91.187
33.505 -91.185
33.501 -91.185
33.496 -91.186
33.493 -91.189
33.488 -91.196
33.483 -91.2
33.474 -91.206
33.47 -91.207
33.469 -91.209
33.465 -91.216
33.463 -91.22
33.463 -91.223
33.457 -91.232
33.454 -91.233
33.444 -91.233
33.444 -91.234
33.443 -91.234
33.442 -91.234
33.441 -91.236
33.439 -91.235
33.436 -91.222
33.435 -91.217
33.434 -91.21
33.434 -91.207
33.434 -91.205
33.435 -91.199
33.436 -91.195
33.439 -91.187
33.441 -91.182
33.444 -91.177
33.453 -91.169
