segment Massachusetts
41.943 -70.624
41.94 -70.616
41.941 -70.608
41.948 -70.598
41.95 -70.584
41.947 -70.579
41.934 -70.56
41.931 -70.554
41.93 -70.553
41.922 -70.549
41.917 -70.546
41.912 -70.547
41.91 -70.547
41.907 -70.546
41.892 -70.534
41.89 -70.532
41.878 -70.53
41.859 -70.526
41.841 -70.535
41.839 -70.535
41.831 -70.542
41.824 -70.543
41.816 -70.541
41.811 -70.537
41.805 -70.533
41.793 -70.519
41.791 -70.517
41.776 -70.497
41.774 -70.494
41.773 -70.492
41.768 -70.484
41.768 -70.483
41.764 -70.476
41.763 -70.474
41.762 -70.472
41.755 -70.447
41.749 -70.428
41.744 -70.412
41.74 -70.383
41.74 -70.38
41.739 -70.375
41.738 -70.368
41.736 -70.32
41.734 -70.291
41.733 -70.288
41.727 -70.276
41.726 -70.275
41.725 -70.274
41.724 -70.274
41.721 -70.272
41.714 -70.264
41.714 -70.262
41.714 -70.261
41.714 -70.259
41.716 -70.257
41.72 -70.251
41.724 -70.247
41.727 -70.243
41.732 -70.236
41.734 -70.235
41.739 -70.224
41.74 -70.221
41.743 -70.216
41.752 -70.189
41.751 -70.182
41.751 -70.181
41.752 -70.176
41.756 -70.159
41.76 -70.142
41.759 -70.129
41.759 -70.123
41.759 -70.122
41.761 -70.115
41.763 -70.109
41.765 -70.102
41.766 -70.098
41.767 -70.096
41.768 -70.087
41.769 -70.082
41.772 -70.068
41.772 -70.066
41.773 -70.066
41.773 -70.064
41.774 -70.06
41.779 -70.048
41.78 -70.044
41.784 -70.033
41.787 -70.025
41.788 -70.023
41.789 -70.022
41.799 -70.01
41.8 -70.009
41.801 -70.008
41.808 -70.004
41.809 -70.004
41.815 -70.004
41.839 -70.004
41.852 -70.006
41.864 -70.008
41.877 -70.009
41.881 -70.005
41.887 -70
41.89 -70.003
41.892 -70.012
41.899 -70.024
41.903 -70.025
41.912 -70.026
41.928 -70.03
41.929 -70.031
41.93 -70.045
41.927 -70.054
41.912 -70.066
41.9 -70.066
41.896 -70.066
41.888 -70.065
41.886 -70.065
41.879 -70.064
41.877 -70.066
41.878 -70.068
41.883 -70.071
41.9 -70.073
41.939 -70.074
41.958 -70.075
41.985 -70.077
41.992 -70.079
42.01 -70.083
42.012 -70.084
42.025 -70.09
42.033 -70.096
42.044 -70.108
42.052 -70.123
42.062 -70.147
42.062 -70.148
42.062 -70.155
42.06 -70.17
42.057 -70.177
42.056 -70.178
42.052 -70.185
42.05 -70.187
42.045 -70.19
42.039 -70.194
42.035 -70.195
42.034 -70.195
42.028 -70.193
42.021 -70.186
42.02 -70.187
42.02 -70.191
42.022 -70.197
42.031 -70.208
42.046 -70.219
42.058 -70.233
42.06 -70.239
42.061 -70.244
42.064 -70.245
42.073 -70.238
42.079 -70.226
42.082 -70.207
42.082 -70.189
42.079 -70.16
42.077 -70.154
42.068 -70.116
42.055 -70.083
42.04 -70.059
42.035 -70.053
42.019 -70.034
42.018 -70.034
42.017 -70.033
42.002 -70.022
41.99 -70.012
41.967 -69.997
41.95 -69.986
41.944 -69.984
41.912 -69.969
41.88 -69.957
41.859 -69.95
41.845 -69.945
41.81 -69.936
41.809 -69.936
41.772 -69.932
41.77 -69.932
41.741 -69.929
41.727 -69.929
41.722 -69.929
41.692 -69.928
41.677 -69.932
41.67 -69.933
41.654 -69.942
41.649 -69.945
41.645 -69.948
41.643 -69.95
41.641 -69.951
41.641 -69.952
41.64 -69.956
41.639 -69.958
41.634 -69.963
41.628 -69.968
41.604 -69.976
41.582 -69.983
41.556 -69.988
41.555 -69.988
41.554 -69.988
41.544 -69.998
41.542 -70.004
41.543 -70.012
41.546 -70.014
41.551 -70.017
41.553 -70.015
41.553 -70.013
41.553 -70.011
41.562 -70.002
41.577 -69.994
41.59 -69.991
41.608 -69.987
41.609 -69.987
41.617 -69.983
41.618 -69.983
41.624 -69.98
41.626 -69.979
41.632 -69.977
41.641 -69.973
41.647 -69.973
41.654 -69.976
41.657 -69.981
41.667 -69.996
41.669 -70
41.672 -70.007
41.672 -70.013
41.672 -70.014
41.668 -70.029
41.667 -70.037
41.667 -70.038
41.665 -70.056
41.664 -70.065
41.663 -70.086
41.663 -70.089
41.656 -70.118
41.655 -70.122
41.653 -70.131
41.65 -70.141
41.65 -70.149
41.65 -70.158
41.65 -70.159
41.645 -70.191
41.644 -70.194
41.636 -70.22
41.632 -70.235
41.628 -70.246
41.621 -70.256
41.618 -70.255
41.611 -70.26
41.609 -70.265
41.611 -70.268
41.618 -70.27
41.626 -70.269
41.628 -70.271
41.633 -70.275
41.635 -70.281
41.635 -70.291
41.633 -70.305
41.631 -70.322
41.635 -70.33
41.635 -70.333
41.635 -70.334
41.636 -70.338
41.635 -70.352
41.631 -70.36
41.627 -70.365
41.624 -70.365
41.616 -70.37
41.611 -70.379
41.606 -70.401
41.607 -70.406
41.607 -70.409
41.607 -70.411
41.607 -70.412
41.606 -70.433
41.605 -70.437
41.592 -70.445
41.589 -70.448
41.585 -70.451
41.575 -70.458
41.574 -70.46
41.572 -70.461
41.571 -70.463
41.57 -70.463
41.564 -70.47
41.563 -70.471
41.559 -70.476
41.554 -70.485
41.554 -70.486
41.552 -70.493
41.551 -70.5
41.549 -70.522
41.549 -70.528
41.549 -70.532
41.549 -70.547
41.548 -70.56
41.547 -70.57
41.547 -70.574
41.546 -70.581
41.545 -70.589
41.545 -70.594
41.544 -70.597
41.543 -70.607
41.543 -70.611
41.542 -70.615
41.542 -70.616
41.541 -70.618
41.541 -70.623
41.538 -70.634
41.533 -70.642
41.533 -70.643
41.532 -70.644
41.531 -70.645
41.528 -70.647
41.519 -70.654
41.517 -70.659
41.514 -70.664
41.513 -70.67
41.513 -70.675
41.497 -70.705
41.486 -70.734
41.47 -70.757
41.466 -70.756
41.461 -70.761
41.446 -70.79
41.446 -70.817
41.442 -70.835
41.442 -70.836
41.432 -70.85
41.426 -70.858
41.422 -70.867
41.422 -70.89
41.421 -70.903
41.416 -70.928
41.412 -70.937
41.409 -70.948
41.412 -70.951
41.415 -70.95
41.431 -70.928
41.431 -70.924
41.425 -70.919
41.424 -70.912
41.426 -70.906
41.432 -70.883
41.449 -70.855
41.456 -70.829
41.461 -70.802
41.475 -70.788
41.477 -70.775
41.492 -70.754
41.501 -70.745
41.526 -70.695
41.53 -70.687
41.532 -70.682
41.539 -70.667
41.54 -70.665
41.542 -70.661
41.543 -70.659
41.546 -70.657
41.55 -70.654
41.557 -70.655
41.565 -70.654
41.57 -70.649
41.572 -70.643
41.574 -70.642
41.577 -70.641
41.583 -70.642
41.584 -70.642
41.593 -70.647
41.597 -70.649
41.605 -70.652
41.607 -70.652
41.61 -70.652
41.617 -70.646
41.622 -70.642
41.624 -70.641
41.625 -70.64
41.632 -70.645
41.634 -70.645
41.634 -70.646
41.638 -70.653
41.643 -70.651
41.644 -70.65
41.646 -70.645
41.649 -70.64
41.649 -70.639
41.655 -70.638
41.658 -70.639
41.673 -70.644
41.678 -70.646
41.681 -70.649
41.682 -70.661
41.694 -70.646
41.699 -70.625
41.701 -70.625
41.702 -70.625
41.707 -70.624
41.713 -70.627
41.714 -70.63
41.718 -70.643
41.719 -70.645
41.716 -70.651
41.715 -70.657
41.722 -70.67
41.724 -70.68
41.725 -70.682
41.726 -70.689
41.731 -70.708
41.735 -70.717
41.736 -70.719
41.734 -70.724
41.733 -70.725
41.733 -70.726
41.725 -70.728
41.723 -70.729
41.713 -70.721
41.694 -70.717
41.685 -70.72
41.688 -70.729
41.696 -70.743
41.697 -70.744
41.695 -70.752
41.694 -70.755
41.694 -70.756
41.693 -70.756
41.692 -70.756
41.689 -70.757
41.677 -70.761
41.668 -70.762
41.661 -70.758
41.654 -70.758
41.642 -70.765
41.641 -70.769
41.645 -70.774
41.649 -70.776
41.651 -70.777
41.651 -70.778
41.653 -70.789
41.655 -70.802
41.656 -70.809
41.656 -70.813
41.653 -70.816
41.646 -70.816
41.641 -70.805
41.636 -70.802
41.632 -70.8
41.63 -70.801
41.629 -70.802
41.625 -70.81
41.625 -70.835
41.629 -70.843
41.629 -70.844
41.627 -70.853
41.624 -70.855
41.62 -70.855
41.614 -70.854
41.594 -70.85
41.593 -70.85
41.593 -70.851
41.587 -70.853
41.588 -70.857
41.592 -70.859
41.594 -70.86
41.598 -70.862
41.614 -70.869
41.615 -70.869
41.616 -70.869
41.619 -70.869
41.623 -70.868
41.626 -70.87
41.628 -70.873
41.629 -70.878
41.631 -70.882
41.633 -70.889
41.629 -70.895
41.624 -70.905
41.623 -70.906
41.619 -70.913
41.618 -70.912
41.616 -70.91
41.613 -70.907
41.611 -70.905
41.61 -70.905
41.607 -70.904
41.594 -70.9
41.593 -70.901
41.596 -70.911
41.598 -70.912
41.607 -70.917
41.608 -70.917
41.609 -70.919
41.611 -70.92
41.611 -70.923
41.611 -70.925
41.611 -70.926
41.611 -70.927
41.609 -70.93
41.601 -70.93
41.6 -70.93
41.595 -70.928
41.594 -70.927
41.594 -70.928
41.593 -70.928
41.584 -70.931
41.577 -70.938
41.581 -70.942
41.581 -70.946
41.581 -70.947
41.579 -70.948
41.579 -70.949
41.575 -70.948
41.574 -70.947
41.573 -70.947
41.565 -70.938
41.54 -70.932
41.54 -70.942
41.531 -70.978
41.53 -70.979
41.521 -70.983
41.512 -71.003
41.509 -71.019
41.506 -71.024
41.499 -71.036
41.506 -71.058
41.507 -71.069
41.509 -71.086
41.497 -71.121
41.522 -71.122
41.556 -71.127
41.592 -71.131
41.594 -71.132
41.603 -71.137
41.603 -71.138
41.604 -71.139
41.605 -71.141
41.607 -71.141
41.616 -71.142
41.624 -71.14
41.628 -71.136
41.641 -71.134
41.659 -71.133
41.66 -71.133
41.661 -71.135
41.663 -71.146
41.664 -71.154
41.666 -71.162
41.668 -71.176
41.669 -71.176
41.671 -71.176
41.673 -71.181
41.673 -71.185
41.674 -71.191
41.675 -71.194
41.675 -71.196
41.682 -71.201
41.69 -71.208
41.691 -71.208
41.708 -71.222
41.712 -71.226
41.734 -71.246
41.737 -71.248
41.742 -71.252
41.752 -71.261
41.776 -71.318
41.781 -71.328
41.783 -71.329
41.787 -71.329
41.788 -71.33
41.789 -71.33
41.792 -71.332
41.794 -71.334
41.795 -71.336
41.796 -71.339
41.798 -71.341
41.8 -71.341
41.804 -71.339
41.806 -71.339
41.808 -71.339
41.809 -71.339
41.823 -71.347
41.828 -71.345
41.829 -71.343
41.832 -71.34
41.834 -71.338
41.835 -71.335
41.844 -71.342
41.845 -71.342
41.862 -71.334
41.868 -71.336
41.873 -71.338
41.882 -71.341
41.89 -71.34
41.893 -71.339
41.894 -71.339
41.898 -71.339
41.898 -71.34
41.897 -71.353
41.896 -71.355
41.896 -71.363
41.895 -71.365
41.895 -71.371
41.894 -71.374
41.894 -71.377
41.893 -71.382
41.903 -71.382
41.916 -71.382
41.923 -71.382
41.953 -71.381
41.965 -71.381
41.967 -71.382
41.985 -71.381
42.019 -71.381
42.018 -71.458
42.017 -71.483
42.017 -71.494
42.017 -71.498
42.017 -71.5
42.017 -71.501
42.017 -71.502
42.015 -71.527
42.015 -71.528
42.015 -71.536
42.014 -71.559
42.014 -71.563
42.014 -71.577
42.014 -71.591
42.012 -71.681
42.01 -71.766
42.008 -71.799
42.024 -71.801
42.024 -71.805
42.024 -71.839
42.024 -71.841
42.024 -71.846
42.024 -71.859
42.024 -71.862
42.024 -71.866
42.024 -71.872
42.024 -71.877
42.024 -71.883
42.024 -71.891
42.025 -71.901
42.025 -71.903
42.025 -71.921
42.026 -71.952
42.027 -71.987
42.027 -71.992
42.027 -71.993
42.027 -71.996
42.027 -72.01
42.027 -72.026
42.027 -72.035
42.027 -72.063
42.028 -72.067
42.029 -72.1
42.03 -72.136
42.03 -72.143
42.03 -72.15
42.031 -72.199
42.031 -72.204
42.032 -72.25
42.032 -72.271
42.032 -72.288
42.032 -72.317
42.032 -72.321
42.033 -72.367
42.033 -72.408
42.034 -72.441
42.034 -72.45
42.034 -72.457
42.034 -72.458
42.034 -72.46
42.034 -72.469
42.034 -72.512
42.034 -72.522
42.034 -72.528
42.034 -72.531
42.034 -72.532
42.032 -72.553
42.031 -72.562
42.03 -72.573
42.025 -72.582
42.025 -72.59
42.025 -72.607
42.031 -72.608
42.031 -72.617
42.032 -72.643
42.036 -72.686
42.036 -72.692
42.037 -72.696
42.037 -72.698
42.037 -72.699
42.037 -72.714
42.037 -72.719
42.036 -72.756
42.033 -72.758
42.032 -72.754
42.03 -72.752
42.025 -72.754
42.021 -72.757
42.021 -72.758
42.022 -72.761
42.022 -72.762
42.02 -72.762
42.019 -72.762
42.018 -72.761
42.017 -72.76
42.015 -72.761
42.013 -72.763
42.01 -72.763
42.008 -72.766
42.003 -72.767
42.003 -72.77
41.998 -72.817
42.036 -72.814
42.037 -72.835
42.037 -72.836
42.037 -72.847
42.038 -72.864
42.039 -72.979
42.039 -72.985
42.039 -73
42.039 -73.008
42.04 -73.053
42.043 -73.172
42.045 -73.23
42.045 -73.231
42.045 -73.234
42.047 -73.293
42.047 -73.294
42.047 -73.296
42.048 -73.328
42.049 -73.373
42.051 -73.433
42.051 -73.436
42.051 -73.437
42.05 -73.487
42.05 -73.497
42.086 -73.508
42.155 -73.483
42.217 -73.46
42.296 -73.431
42.352 -73.411
42.379 -73.401
42.406 -73.391
42.426 -73.384
42.51 -73.353
42.633 -73.307
42.704 -73.28
42.724 -73.273
42.746 -73.265
42.746 -73.245
42.745 -73.214
42.745 -73.213
42.744 -73.164
42.743 -73.124
42.742 -73.09
42.742 -73.073
42.742 -73.071
42.742 -73.061
42.742 -73.048
42.741 -73.023
42.739 -72.927
42.738 -72.864
42.737 -72.841
42.737 -72.809
42.736 -72.791
42.736 -72.782
42.736 -72.779
42.733 -72.675
42.731 -72.599
42.73 -72.57
42.728 -72.517
42.727 -72.459
42.726 -72.429
42.726 -72.416
42.725 -72.412
42.723 -72.338
42.722 -72.286
42.722 -72.285
42.722 -72.283
42.718 -72.125
42.717 -72.111
42.716 -72.078
42.716 -72.077
42.713 -71.981
42.713 -71.956
42.712 -71.929
42.711 -71.899
42.711 -71.897
42.709 -71.824
42.708 -71.783
42.708 -71.773
42.708 -71.768
42.707 -71.746
42.707 -71.727
42.706 -71.669
42.705 -71.652
42.705 -71.636
42.705 -71.632
42.705 -71.62
42.703 -71.553
42.703 -71.547
42.703 -71.542
42.701 -71.488
42.701 -71.486
42.701 -71.458
42.7 -71.432
42.7 -71.42
42.699 -71.369
42.699 -71.367
42.698 -71.365
42.698 -71.352
42.698 -71.345
42.697 -71.33
42.697 -71.317
42.697 -71.313
42.697 -71.294
42.702 -71.289
42.711 -71.279
42.716 -71.275
42.726 -71.268
42.736 -71.256
42.743 -71.246
42.745 -71.233
42.747 -71.224
42.745 -71.216
42.743 -71.208
42.742 -71.2
42.74 -71.195
42.74 -71.194
42.738 -71.182
42.751 -71.183
42.753 -71.183
42.791 -71.186
42.794 -71.182
42.798 -71.179
42.802 -71.174
42.807 -71.168
42.809 -71.166
42.815 -71.15
42.816 -71.148
42.821 -71.133
42.818 -71.116
42.815 -71.102
42.809 -71.078
42.806 -71.065
42.806 -71.064
42.833 -71.054
42.844 -71.048
42.849 -71.044
42.859 -71.031
42.863 -71.004
42.864 -70.997
42.866 -70.989
42.868 -70.975
42.869 -70.966
42.871 -70.963
42.873 -70.956
42.874 -70.955
42.876 -70.949
42.884 -70.932
42.885 -70.931
42.885 -70.928
42.887 -70.915
segment Massachusetts
41.606 -70.831
41.599 -70.824
41.588 -70.821
41.584 -70.822
41.583 -70.822
41.585 -70.83
41.586 -70.83
41.595 -70.838
41.596 -70.838
41.605 -70.833
41.607 -70.832
41.606 -70.831
segment Massachusetts
41.468 -70.634
41.482 -70.604
41.481 -70.598
41.472 -70.596
41.47 -70.586
41.468 -70.575
41.471 -70.568
41.471 -70.567
41.469 -70.563
41.46 -70.558
41.456 -70.555
41.453 -70.553
41.452 -70.553
41.443 -70.553
41.431 -70.556
41.424 -70.553
41.417 -70.548
41.416 -70.548
41.409 -70.538
41.405 -70.529
41.404 -70.518
41.404 -70.517
41.4 -70.507
41.392 -70.502
41.389 -70.502
41.385 -70.501
41.384 -70.499
41.384 -70.493
41.384 -70.491
41.384 -70.49
41.386 -70.485
41.39 -70.481
41.399 -70.473
41.408 -70.473
41.409 -70.473
41.413 -70.471
41.419 -70.464
41.421 -70.45
41.396 -70.446
41.38 -70.449
41.354 -70.448
41.348 -70.451
41.348 -70.452
41.347 -70.47
41.346 -70.496
41.347 -70.512
41.348 -70.52
41.348 -70.529
41.349 -70.533
41.349 -70.538
41.349 -70.556
41.349 -70.584
41.349 -70.599
41.349 -70.604
41.349 -70.607
41.346 -70.651
41.342 -70.709
41.342 -70.71
41.341 -70.711
41.337 -70.732
41.336 -70.733
41.336 -70.735
41.33 -70.748
41.323 -70.758
41.319 -70.764
41.312 -70.768
41.309 -70.766
41.304 -70.769
41.301 -70.776
41.305 -70.785
41.307 -70.788
41.313 -70.8
41.314 -70.802
41.327 -70.819
41.341 -70.833
41.347 -70.839
41.348 -70.839
41.353 -70.834
41.354 -70.825
41.356 -70.812
41.354 -70.8
41.352 -70.795
41.348 -70.784
41.348 -70.783
41.349 -70.775
41.353 -70.769
41.354 -70.768
41.398 -70.729
41.399 -70.724
41.409 -70.712
41.415 -70.711
41.431 -70.701
41.441 -70.687
41.459 -70.654
41.461 -70.649
41.468 -70.634
segment Massachusetts
41.316 -70.054
41.322 -70.046
41.339 -70.031
41.36 -70.029
41.367 -70.031
41.372 -70.035
41.376 -70.038
41.384 -70.046
41.388 -70.05
41.392 -70.049
41.386 -70.034
41.369 -70.018
41.301 -69.975
41.279 -69.96
41.265 -69.96
41.255 -69.964
41.252 -69.966
41.247 -69.975
41.244 -69.985
41.239 -70.002
41.238 -70.015
41.241 -70.037
41.243 -70.053
41.244 -70.079
41.244 -70.083
41.241 -70.097
41.242 -70.117
41.242 -70.119
41.254 -70.164
41.256 -70.171
41.269 -70.203
41.283 -70.237
41.284 -70.243
41.288 -70.256
41.294 -70.267
41.302 -70.273
41.31 -70.276
41.31 -70.261
41.306 -70.249
41.303 -70.244
41.295 -70.24
41.293 -70.235
41.29 -70.23
41.29 -70.209
41.295 -70.196
41.294 -70.124
41.294 -70.123
41.297 -70.094
41.298 -70.092
41.299 -70.082
41.309 -70.063
41.316 -70.054
