segment Utah
40.104 -114.047
40.114 -114.047
40.232 -114.046
40.398 -114.046
40.425 -114.046
40.43 -114.045
40.494 -114.046
40.496 -114.046
40.507 -114.045
40.628 -114.044
40.699 -114.044
40.726 -114.044
40.732 -114.044
40.747 -114.044
40.759 -114.044
40.772 -114.043
40.78 -114.043
41 -114.042
41.208 -114.041
41.211 -114.043
41.22 -114.041
41.492 -114.04
41.5 -114.041
41.615 -114.04
41.625 -114.04
41.754 -114.04
41.851 -114.041
41.885 -114.04
41.994 -114.042
41.993 -113.994
41.988 -113.893
41.988 -113.864
41.988 -113.822
41.989 -113.796
41.989 -113.765
41.993 -113.501
41.993 -113.497
41.994 -113.432
41.994 -113.421
41.994 -113.402
41.994 -113.396
41.994 -113.358
41.995 -113.34
41.996 -113.251
41.996 -113.249
41.997 -113.192
41.998 -113.001
41.998 -112.979
41.999 -112.91
41.999 -112.902
41.999 -112.882
41.999 -112.881
41.999 -112.833
42 -112.789
42 -112.709
42 -112.648
42.001 -112.509
42.001 -112.451
42.001 -112.441
42.001 -112.386
42.001 -112.265
42.001 -112.244
42.001 -112.239
42.001 -112.236
42.001 -112.193
41.997 -112.173
41.997 -112.164
41.998 -112.11
41.998 -112.041
41.998 -112.027
41.998 -112.012
41.998 -111.974
41.998 -111.945
41.998 -111.941
41.998 -111.933
41.999 -111.916
41.998 -111.916
41.999 -111.896
41.999 -111.876
41.999 -111.837
41.999 -111.823
41.999 -111.813
41.999 -111.751
41.999 -111.74
42 -111.507
42 -111.471
42.001 -111.426
42.001 -111.421
42.001 -111.416
42.001 -111.347
42.001 -111.148
42.002 -111.047
