segment Washington
45.779 -122.769
45.781 -122.77
45.782 -122.771
45.81 -122.796
45.825 -122.796
45.844 -122.786
45.851 -122.786
45.868 -122.785
45.884 -122.798
45.913 -122.812
45.932 -122.806
45.954 -122.812
45.961 -122.814
45.977 -122.833
45.981 -122.838
46.014 -122.856
46.016 -122.858
46.031 -122.878
46.046 -122.881
46.06 -122.884
46.084 -122.904
46.093 -122.931
46.105 -122.963
46.134 -123.004
46.136 -123.009
46.139 -123.021
46.139 -123.022
46.139 -123.023
46.144 -123.034
46.146 -123.041
46.154 -123.051
46.178 -123.105
46.185 -123.116
46.186 -123.12
46.189 -123.166
46.173 -123.213
46.166 -123.231
46.156 -123.251
46.145 -123.28
46.145 -123.301
46.145 -123.302
46.146 -123.332
46.146 -123.371
46.182 -123.431
46.225 -123.428
46.229 -123.428
46.236 -123.434
46.25 -123.448
46.262 -123.465
46.265 -123.469
46.268 -123.475
46.269 -123.48
46.271 -123.501
46.266 -123.516
46.263 -123.526
46.261 -123.538
46.259 -123.548
46.266 -123.548
46.266 -123.549
46.265 -123.552
46.265 -123.554
46.265 -123.556
46.265 -123.56
46.262 -123.564
46.262 -123.569
46.261 -123.582
46.26 -123.586
46.26 -123.588
46.26 -123.614
46.261 -123.624
46.267 -123.669
46.273 -123.679
46.278 -123.68
46.286 -123.678
46.291 -123.679
46.296 -123.681
46.299 -123.688
46.305 -123.701
46.303 -123.717
46.301 -123.724
46.295 -123.724
46.29 -123.728
46.289 -123.729
46.29 -123.741
46.275 -123.759
46.275 -123.76
46.273 -123.767
46.275 -123.775
46.28 -123.783
46.285 -123.796
46.284 -123.806
46.283 -123.806
46.28 -123.812
46.279 -123.814
46.27 -123.828
46.269 -123.829
46.263 -123.838
46.262 -123.841
46.256 -123.85
46.253 -123.855
46.251 -123.857
46.249 -123.86
46.249 -123.861
46.244 -123.869
46.242 -123.872
46.241 -123.873
46.241 -123.874
46.24 -123.875
46.24 -123.876
46.243 -123.892
46.245 -123.909
46.251 -123.92
46.252 -123.92
46.255 -123.925
46.259 -123.929
46.267 -123.941
46.277 -123.954
46.291 -123.969
46.293 -123.971
46.294 -123.971
46.295 -123.971
46.299 -123.97
46.301 -123.972
46.303 -123.975
46.306 -123.979
46.309 -123.985
46.309 -123.986
46.313 -124
46.313 -124.001
46.314 -124.008
46.316 -124.021
46.308 -124.03
46.303 -124.033
46.297 -124.036
46.293 -124.036
46.284 -124.039
46.276 -124.044
46.279 -124.061
46.267 -124.081
46.269 -124.082
46.275 -124.082
46.284 -124.079
46.296 -124.076
46.297 -124.076
46.304 -124.072
46.305 -124.072
46.306 -124.071
46.31 -124.07
46.315 -124.068
46.318 -124.068
46.318 -124.067
46.324 -124.066
46.327 -124.065
46.33 -124.064
46.331 -124.064
46.339 -124.063
46.36 -124.061
46.368 -124.06
46.373 -124.06
46.387 -124.058
46.395 -124.058
46.409 -124.057
46.465 -124.057
46.473 -124.057
46.491 -124.057
46.493 -124.057
46.5 -124.058
46.501 -124.058
46.513 -124.059
46.529 -124.06
46.536 -124.06
46.551 -124.062
46.556 -124.062
46.559 -124.062
46.601 -124.068
46.628 -124.069
46.63 -124.07
46.631 -124.07
46.632 -124.069
46.634 -124.069
46.635 -124.069
46.636 -124.068
46.642 -124.063
46.643 -124.063
46.643 -124.062
46.646 -124.057
46.646 -124.056
46.646 -124.048
46.644 -124.047
46.637 -124.041
46.631 -124.036
46.627 -124.044
46.624 -124.049
46.623 -124.053
46.617 -124.051
46.605 -124.04
46.592 -124.03
46.592 -124.029
46.591 -124.029
46.583 -124.024
46.564 -124.023
46.539 -124.025
46.532 -124.026
46.514 -124.029
46.513 -124.029
46.512 -124.029
46.51 -124.029
46.498 -124.032
46.497 -124.032
46.496 -124.032
46.492 -124.031
46.491 -124.031
46.486 -124.03
46.484 -124.03
46.463 -124.026
46.461 -124.007
46.46 -124.003
46.46 -124.001
46.463 -123.991
46.466 -123.991
46.469 -123.994
46.472 -123.994
46.478 -123.993
46.489 -123.993
46.497 -123.988
46.498 -123.985
46.499 -123.984
46.498 -123.983
46.497 -123.979
46.49 -123.979
46.477 -123.972
46.476 -123.971
46.475 -123.971
46.473 -123.968
46.477 -123.944
46.493 -123.932
46.499 -123.928
46.507 -123.921
46.508 -123.921
46.517 -123.906
46.523 -123.897
46.528 -123.897
46.537 -123.894
46.552 -123.903
46.558 -123.912
46.563 -123.917
46.567 -123.92
46.577 -123.922
46.587 -123.928
46.589 -123.929
46.596 -123.939
46.6 -123.948
46.604 -123.956
46.614 -123.959
46.62 -123.96
46.63 -123.96
46.636 -123.961
46.637 -123.959
46.641 -123.941
46.649 -123.925
46.65 -123.922
46.654 -123.921
46.658 -123.922
46.672 -123.923
46.673 -123.923
46.679 -123.916
46.679 -123.913
46.684 -123.896
46.684 -123.895
46.699 -123.865
46.703 -123.851
46.707 -123.85
46.713 -123.848
46.717 -123.846
46.72 -123.849
46.724 -123.856
46.728 -123.862
46.728 -123.871
46.73 -123.876
46.731 -123.877
46.732 -123.878
46.746 -123.89
46.75 -123.893
46.75 -123.894
46.75 -123.899
46.747 -123.91
46.747 -123.911
46.746 -123.911
46.741 -123.916
46.737 -123.916
46.732 -123.914
46.731 -123.913
46.727 -123.917
46.726 -123.922
46.725 -123.929
46.725 -123.949
46.732 -123.961
46.736 -123.969
46.733 -123.975
46.725 -123.98
46.722 -123.979
46.718 -123.977
46.714 -123.975
46.707 -123.968
46.705 -123.967
46.703 -123.974
46.706 -123.984
46.707 -123.987
46.708 -123.988
46.708 -123.994
46.704 -124
46.703 -124.003
46.702 -124.003
46.705 -124.01
46.706 -124.015
46.709 -124.022
46.711 -124.027
46.712 -124.028
46.718 -124.038
46.72 -124.042
46.723 -124.042
46.726 -124.046
46.734 -124.063
46.735 -124.081
46.742 -124.092
46.746 -124.097
46.757 -124.095
46.784 -124.097
46.794 -124.098
46.811 -124.101
46.836 -124.108
46.859 -124.116
46.87 -124.12
46.872 -124.12
46.88 -124.123
46.885 -124.126
46.904 -124.137
46.906 -124.138
46.906 -124.137
46.906 -124.136
46.912 -124.119
46.912 -124.118
46.913 -124.111
46.91 -124.106
46.906 -124.101
46.901 -124.093
46.896 -124.09
46.892 -124.09
46.891 -124.09
46.89 -124.09
46.868 -124.089
46.863 -124.076
46.861 -124.073
46.862 -124.071
46.863 -124.068
46.864 -124.066
46.865 -124.061
46.87 -124.055
46.891 -124.049
46.894 -124.046
46.898 -124.036
46.901 -124.023
46.903 -124.016
46.904 -124.014
46.904 -124.013
46.91 -124.01
46.913 -124.003
46.922 -123.985
46.923 -123.979
46.922 -123.962
46.922 -123.961
46.921 -123.958
46.921 -123.957
46.933 -123.915
46.937 -123.894
46.939 -123.885
46.94 -123.883
46.941 -123.879
46.942 -123.878
46.949 -123.86
46.951 -123.863
46.952 -123.864
46.952 -123.865
46.961 -123.876
46.967 -123.885
46.969 -123.889
46.969 -123.89
46.971 -123.894
46.972 -123.897
46.972 -123.898
46.972 -123.899
46.972 -123.901
46.972 -123.902
46.972 -123.903
46.972 -123.914
46.972 -123.922
46.97 -123.939
46.972 -123.948
46.975 -123.951
46.976 -123.952
46.981 -123.959
46.982 -123.959
46.982 -123.961
46.98 -123.992
46.984 -124.005
46.984 -124.009
46.985 -124.012
46.991 -124.02
46.995 -124.014
46.997 -124.011
46.998 -124.01
47.003 -124.006
47.004 -124.005
47.012 -124.017
47.015 -124.017
47.03 -124.026
47.036 -124.047
47.04 -124.061
47.041 -124.066
47.041 -124.075
47.042 -124.079
47.042 -124.087
47.043 -124.106
47.042 -124.122
47.035 -124.142
47.029 -124.149
47.021 -124.151
47.02 -124.151
47.017 -124.15
47.015 -124.149
47.013 -124.148
46.988 -124.14
46.974 -124.138
46.972 -124.138
46.971 -124.138
46.969 -124.137
46.966 -124.135
46.962 -124.134
46.954 -124.129
46.952 -124.128
46.946 -124.125
46.944 -124.124
46.943 -124.129
46.942 -124.134
46.94 -124.14
46.94 -124.141
46.929 -124.159
46.926 -124.18
46.927 -124.18
46.931 -124.178
46.942 -124.175
46.958 -124.171
46.963 -124.171
46.983 -124.17
46.994 -124.169
46.995 -124.169
47.018 -124.171
47.044 -124.172
47.065 -124.173
47.066 -124.174
47.069 -124.174
47.086 -124.176
47.089 -124.176
47.091 -124.176
47.093 -124.177
47.105 -124.179
47.115 -124.182
47.125 -124.184
47.132 -124.183
47.134 -124.183
47.136 -124.186
47.145 -124.189
47.147 -124.19
47.158 -124.192
47.16 -124.193
47.174 -124.196
47.175 -124.196
47.177 -124.197
47.19 -124.201
47.191 -124.201
47.218 -124.209
47.245 -124.219
47.245 -124.22
47.283 -124.234
47.284 -124.235
47.285 -124.235
47.287 -124.236
47.295 -124.242
47.301 -124.251
47.301 -124.252
47.302 -124.254
47.304 -124.256
47.304 -124.257
47.304 -124.258
47.305 -124.271
47.325 -124.286
47.327 -124.287
47.33 -124.289
47.339 -124.293
47.346 -124.299
47.348 -124.3
47.349 -124.302
47.351 -124.304
47.352 -124.308
47.356 -124.319
47.368 -124.324
47.387 -124.326
47.389 -124.327
47.391 -124.327
47.4 -124.331
47.416 -124.337
47.438 -124.339
47.444 -124.34
47.459 -124.342
47.462 -124.342
47.463 -124.342
47.471 -124.343
47.488 -124.345
47.489 -124.345
47.534 -124.354
47.546 -124.356
47.548 -124.359
47.56 -124.362
47.563 -124.362
47.582 -124.366
47.583 -124.367
47.6 -124.372
47.604 -124.375
47.632 -124.382
47.648 -124.389
47.666 -124.396
47.677 -124.403
47.691 -124.412
47.712 -124.417
47.713 -124.417
47.725 -124.42
47.733 -124.423
47.738 -124.425
47.746 -124.43
47.746 -124.431
47.75 -124.435
47.765 -124.454
47.766 -124.465
47.767 -124.472
47.77 -124.477
47.783 -124.479
47.797 -124.482
47.798 -124.482
47.817 -124.49
47.822 -124.498
47.823 -124.498
47.823 -124.499
47.824 -124.507
47.823 -124.511
47.823 -124.513
47.825 -124.518
47.833 -124.533
47.837 -124.54
47.848 -124.55
47.849 -124.551
47.856 -124.558
47.863 -124.559
47.866 -124.562
47.878 -124.588
47.88 -124.61
47.881 -124.611
47.888 -124.625
47.888 -124.626
47.892 -124.63
47.896 -124.63
47.897 -124.63
47.904 -124.633
47.914 -124.637
47.917 -124.638
47.92 -124.639
47.924 -124.641
47.935 -124.645
47.942 -124.651
47.943 -124.652
47.951 -124.662
47.958 -124.667
47.964 -124.672
47.982 -124.671
47.983 -124.671
48.002 -124.676
48.016 -124.679
48.019 -124.68
48.035 -124.682
48.036 -124.682
48.049 -124.685
48.055 -124.688
48.059 -124.694
48.061 -124.694
48.069 -124.697
48.075 -124.696
48.08 -124.696
48.087 -124.695
48.091 -124.691
48.092 -124.689
48.099 -124.687
48.112 -124.694
48.114 -124.695
48.115 -124.695
48.116 -124.696
48.118 -124.697
48.153 -124.722
48.16 -124.732
48.163 -124.733
