segment Kentucky
37.203 -82.546
37.204 -82.55
37.203 -82.554
37.2 -82.558
37.196 -82.565
37.189 -82.578
37.188 -82.579
37.186 -82.586
37.186 -82.587
37.185 -82.587
37.183 -82.592
37.182 -82.593
37.18 -82.593
37.177 -82.597
37.177 -82.598
37.175 -82.604
37.173 -82.608
37.168 -82.617
37.167 -82.619
37.163 -82.625
37.155 -82.633
37.154 -82.633
37.152 -82.652
37.151 -82.653
37.151 -82.655
37.145 -82.657
37.144 -82.662
37.142 -82.668
37.138 -82.672
37.137 -82.674
37.135 -82.677
37.136 -82.679
37.136 -82.685
37.132 -82.696
37.125 -82.708
37.122 -82.716
37.122 -82.718
37.12 -82.722
37.116 -82.726
37.115 -82.726
37.113 -82.726
37.112 -82.726
37.106 -82.722
37.101 -82.722
37.094 -82.722
37.093 -82.724
37.092 -82.725
37.085 -82.723
37.082 -82.721
37.081 -82.718
37.08 -82.717
37.077 -82.717
37.076 -82.718
37.075 -82.722
37.076 -82.724
37.073 -82.727
37.067 -82.726
37.063 -82.724
37.058 -82.722
37.052 -82.723
37.048 -82.723
37.045 -82.722
37.043 -82.725
37.042 -82.726
37.043 -82.732
37.045 -82.734
37.043 -82.742
37.041 -82.744
37.03 -82.746
37.025 -82.748
37.024 -82.751
37.026 -82.752
37.027 -82.754
37.027 -82.759
37.023 -82.766
37.021 -82.767
37.016 -82.772
37.015 -82.777
37.013 -82.778
37.008 -82.782
37.008 -82.789
37.007 -82.79
37.007 -82.791
37.005 -82.793
37.006 -82.795
37.007 -82.796
37.009 -82.796
37.01 -82.797
37.008 -82.801
37.005 -82.814
37.007 -82.816
37.006 -82.818
37.006 -82.82
37.004 -82.822
37.004 -82.823
37.006 -82.825
37.006 -82.829
37.004 -82.83
37.001 -82.831
36.998 -82.829
36.993 -82.831
36.992 -82.834
36.989 -82.836
36.987 -82.839
36.987 -82.84
36.987 -82.841
36.984 -82.845
36.983 -82.849
36.984 -82.851
36.985 -82.853
36.985 -82.854
36.982 -82.856
36.979 -82.857
36.978 -82.858
36.978 -82.861
36.98 -82.863
36.979 -82.865
36.978 -82.866
36.978 -82.867
36.978 -82.868
36.976 -82.868
36.974 -82.869
36.972 -82.869
36.966 -82.87
36.965 -82.87
36.963 -82.867
36.958 -82.865
36.958 -82.864
36.958 -82.863
36.956 -82.861
36.954 -82.858
36.954 -82.856
36.952 -82.856
36.949 -82.86
36.946 -82.861
36.945 -82.861
36.939 -82.862
36.937 -82.861
36.933 -82.859
36.933 -82.858
36.93 -82.858
36.928 -82.859
36.925 -82.86
36.924 -82.862
36.922 -82.863
36.921 -82.865
36.918 -82.867
36.913 -82.872
36.912 -82.874
36.91 -82.876
36.908 -82.877
36.903 -82.873
36.902 -82.87
36.897 -82.873
36.896 -82.876
36.894 -82.879
36.892 -82.878
36.89 -82.879
36.889 -82.879
36.888 -82.885
36.887 -82.888
36.884 -82.89
36.882 -82.895
36.88 -82.906
36.879 -82.908
36.877 -82.908
36.876 -82.907
36.875 -82.908
36.874 -82.91
36.874 -82.912
36.874 -82.922
36.867 -82.938
36.866 -82.952
36.863 -82.961
36.858 -82.97
36.858 -82.972
36.859 -82.973
36.86 -82.979
36.859 -82.989
36.857 -82.998
36.852 -83.004
36.848 -83.006
36.847 -83.009
36.847 -83.013
36.85 -83.022
36.852 -83.024
36.855 -83.026
36.855 -83.027
36.854 -83.042
36.853 -83.044
36.852 -83.048
36.852 -83.052
36.854 -83.06
36.852 -83.064
36.852 -83.066
36.854 -83.069
36.855 -83.073
36.854 -83.073
36.851 -83.076
36.845 -83.074
36.841 -83.075
36.841 -83.08
36.838 -83.087
36.836 -83.089
36.834 -83.091
36.832 -83.099
36.83 -83.101
36.829 -83.102
36.828 -83.102
36.827 -83.102
36.825 -83.1
36.823 -83.099
36.814 -83.098
36.813 -83.099
36.807 -83.103
36.802 -83.108
36.8 -83.111
36.796 -83.115
36.791 -83.118
36.79 -83.119
36.787 -83.123
36.785 -83.129
36.781 -83.132
36.78 -83.131
36.776 -83.129
36.776 -83.128
36.77 -83.129
36.769 -83.13
36.768 -83.131
36.767 -83.131
36.766 -83.132
36.764 -83.132
36.763 -83.13
36.762 -83.126
36.761 -83.126
36.761 -83.127
36.758 -83.129
36.756 -83.128
36.751 -83.128
36.75 -83.131
36.747 -83.134
36.743 -83.136
36.742 -83.146
36.742 -83.157
36.74 -83.161
36.739 -83.167
36.74 -83.176
36.739 -83.195
36.737 -83.2
36.731 -83.22
36.727 -83.236
36.727 -83.239
36.725 -83.246
36.722 -83.256
36.721 -83.264
36.718 -83.269
36.718 -83.272
36.718 -83.276
36.715 -83.286
36.714 -83.287
36.714 -83.288
36.713 -83.291
36.711 -83.307
36.711 -83.309
36.711 -83.31
36.71 -83.311
36.71 -83.312
36.709 -83.313
36.708 -83.316
36.701 -83.343
36.698 -83.35
36.697 -83.351
36.697 -83.354
36.696 -83.355
36.695 -83.356
36.694 -83.359
36.694 -83.36
36.695 -83.362
36.695 -83.364
36.693 -83.368
36.687 -83.386
36.685 -83.389
36.679 -83.395
36.679 -83.396
36.678 -83.395
36.677 -83.396
36.671 -83.412
36.668 -83.42
36.667 -83.424
36.666 -83.432
36.666 -83.437
36.667 -83.441
36.665 -83.448
36.665 -83.455
36.666 -83.458
36.665 -83.461
36.665 -83.466
36.666 -83.483
36.668 -83.489
36.67 -83.494
36.67 -83.498
36.67 -83.499
36.67 -83.5
36.669 -83.501
36.669 -83.507
36.669 -83.512
36.668 -83.516
36.666 -83.527
36.666 -83.53
36.665 -83.532
36.664 -83.533
36.663 -83.533
36.662 -83.533
36.657 -83.542
36.654 -83.547
36.654 -83.554
36.651 -83.563
36.648 -83.566
36.646 -83.57
36.642 -83.577
36.641 -83.585
36.637 -83.601
36.637 -83.603
36.638 -83.604
36.638 -83.606
36.637 -83.608
36.634 -83.615
36.631 -83.616
36.628 -83.62
36.625 -83.625
36.624 -83.629
36.623 -83.635
36.625 -83.64
36.624 -83.645
36.623 -83.648
36.617 -83.65
36.612 -83.658
36.607 -83.664
36.606 -83.666
36.605 -83.673
36.604 -83.673
36.604 -83.674
36.603 -83.675
36.601 -83.675
36.599 -83.676
36.597 -83.677
36.594 -83.68
36.592 -83.683
36.587 -83.688
36.584 -83.689
36.583 -83.691
36.583 -83.715
36.584 -83.789
36.585 -83.84
36.586 -83.894
36.588 -83.928
36.588 -83.931
36.59 -83.988
36.59 -84.051
36.591 -84.105
36.591 -84.114
36.591 -84.128
36.592 -84.145
36.592 -84.201
36.592 -84.227
36.592 -84.261
36.592 -84.271
36.596 -84.439
36.596 -84.44
36.596 -84.443
36.597 -84.5
36.596 -84.543
36.599 -84.605
36.6 -84.625
36.6 -84.662
36.603 -84.778
36.603 -84.785
36.604 -84.804
36.605 -84.843
36.606 -84.86
36.61 -84.913
36.613 -84.944
36.616 -84.975
36.617 -84.986
36.619 -85.025
36.622 -85.086
36.622 -85.096
36.625 -85.187
36.625 -85.19
36.625 -85.195
36.626 -85.204
36.626 -85.209
36.626 -85.264
36.627 -85.276
36.626 -85.291
36.626 -85.296
36.624 -85.3
36.625 -85.325
36.623 -85.334
36.62 -85.412
36.619 -85.43
36.619 -85.437
36.615 -85.488
36.616 -85.551
36.616 -85.552
36.618 -85.665
36.618 -85.678
36.62 -85.732
36.621 -85.745
36.622 -85.789
36.622 -85.801
36.622 -85.832
36.624 -85.874
36.628 -85.96
36.628 -85.972
36.629 -85.977
36.63 -86.033
36.631 -86.038
36.634 -86.081
36.634 -86.082
36.638 -86.165
36.639 -86.198
