segment Delaware
38.543 -75.7
38.561 -75.702
38.585 -75.703
38.592 -75.704
38.615 -75.706
38.616 -75.706
38.621 -75.706
38.626 -75.707
38.635 -75.707
38.705 -75.713
38.802 -75.72
38.822 -75.722
38.83 -75.723
38.833 -75.723
38.847 -75.724
38.848 -75.724
38.868 -75.726
38.869 -75.726
38.896 -75.728
38.958 -75.733
39.03 -75.739
39.071 -75.742
39.074 -75.742
39.08 -75.743
39.095 -75.744
39.115 -75.746
39.12 -75.746
39.143 -75.748
39.165 -75.749
39.178 -75.751
39.199 -75.753
39.246 -75.756
39.258 -75.757
39.273 -75.758
39.297 -75.76
39.344 -75.764
39.358 -75.765
39.367 -75.766
39.377 -75.767
39.416 -75.77
39.466 -75.774
39.481 -75.775
39.535 -75.78
39.55 -75.781
39.572 -75.782
39.586 -75.783
39.606 -75.785
39.622 -75.786
39.631 -75.787
39.637 -75.787
39.639 -75.788
39.643 -75.788
39.649 -75.788
39.653 -75.788
39.655 -75.788
39.656 -75.789
39.658 -75.789
39.66 -75.789
39.671 -75.789
39.676 -75.789
39.678 -75.789
39.679 -75.789
39.681 -75.789
39.682 -75.789
39.694 -75.788
39.695 -75.788
39.7 -75.788
39.719 -75.788
39.722 -75.788
39.722 -75.774
39.738 -75.766
39.747 -75.76
39.758 -75.753
39.766 -75.746
39.768 -75.744
39.771 -75.741
39.773 -75.739
39.774 -75.738
39.776 -75.736
39.784 -75.727
39.785 -75.725
39.786 -75.725
39.787 -75.723
39.788 -75.722
39.792 -75.717
39.798 -75.708
39.8 -75.706
39.8 -75.704
39.803 -75.701
39.806 -75.694
39.81 -75.687
39.811 -75.686
39.812 -75.683
39.813 -75.681
39.815 -75.676
39.821 -75.663
39.822 -75.659
39.823 -75.658
39.828 -75.642
39.83 -75.635
39.834 -75.617
39.837 -75.596
39.837 -75.594
39.839 -75.58
39.839 -75.57
39.838 -75.539
39.836 -75.518
39.835 -75.512
39.833 -75.499
39.829 -75.481
39.827 -75.473
39.824 -75.463
39.822 -75.46
39.82 -75.454
39.82 -75.453
39.819 -75.45
39.813 -75.437
39.812 -75.434
39.809 -75.428
39.802 -75.415
segment Delaware
39.606 -75.556
39.605 -75.562
39.606 -75.562
39.614 -75.568
39.624 -75.572
39.627 -75.571
39.63 -75.56
39.63 -75.559
39.629 -75.559
39.624 -75.56
39.617 -75.558
39.612 -75.557
39.609 -75.558
39.607 -75.557
39.606 -75.556
segment Delaware
39.583 -75.565
39.588 -75.576
39.592 -75.579
39.599 -75.58
39.591 -75.566
39.583 -75.565
