segment Minnesota
47.874 -89.854
47.874 -89.857
47.874 -89.867
47.874 -89.868
47.874 -89.869
47.874 -89.872
47.863 -89.92
47.862 -89.922
47.862 -89.924
47.858 -89.93
47.858 -89.931
47.856 -89.93
47.851 -89.928
47.85 -89.929
47.847 -89.934
47.846 -89.935
47.843 -89.944
47.831 -89.974
47.829 -89.981
47.821 -90.014
47.818 -90.043
47.817 -90.047
47.816 -90.051
47.812 -90.068
47.811 -90.072
47.808 -90.072
47.803 -90.076
47.804 -90.082
47.803 -90.088
47.8 -90.099
47.795 -90.117
47.796 -90.132
47.796 -90.133
47.793 -90.156
47.793 -90.161
47.792 -90.162
47.786 -90.179
47.778 -90.188
47.777 -90.213
47.776 -90.229
47.773 -90.249
47.77 -90.26
47.769 -90.261
47.765 -90.274
47.759 -90.296
47.757 -90.306
47.757 -90.313
47.757 -90.314
47.756 -90.318
47.754 -90.321
47.754 -90.323
47.753 -90.324
47.751 -90.329
47.751 -90.33
47.746 -90.333
47.746 -90.341
47.745 -90.342
47.745 -90.345
47.745 -90.347
47.744 -90.356
47.743 -90.365
47.741 -90.386
47.738 -90.394
47.735 -90.421
47.732 -90.438
47.726 -90.442
47.721 -90.458
47.721 -90.46
47.713 -90.495
47.708 -90.518
47.707 -90.522
47.705 -90.53
47.703 -90.537
47.69 -90.551
47.681 -90.585
47.671 -90.61
47.66 -90.638
47.659 -90.64
47.659 -90.642
47.656 -90.648
47.644 -90.686
47.634 -90.712
47.63 -90.721
47.624 -90.736
47.609 -90.766
47.597 -90.789
47.583 -90.818
47.58 -90.823
47.577 -90.829
47.573 -90.836
47.562 -90.858
47.557 -90.868
47.554 -90.873
47.548 -90.883
47.533 -90.907
47.53 -90.91
47.526 -90.91
47.523 -90.914
47.52 -90.919
47.52 -90.921
47.519 -90.925
47.519 -90.928
47.515 -90.939
47.513 -90.942
47.499 -90.965
47.494 -90.974
47.492 -90.977
47.481 -90.996
47.478 -91.001
47.467 -91.019
47.465 -91.023
47.458 -91.033
47.457 -91.043
47.457 -91.045
47.457 -91.046
47.456 -91.046
47.454 -91.048
47.444 -91.06
47.439 -91.066
47.429 -91.077
47.429 -91.078
47.417 -91.093
47.414 -91.098
47.412 -91.106
47.4 -91.128
47.394 -91.131
47.381 -91.147
47.38 -91.151
47.38 -91.153
47.379 -91.156
47.379 -91.157
47.375 -91.16
47.366 -91.17
47.358 -91.176
47.347 -91.184
47.345 -91.185
47.34 -91.189
47.329 -91.206
47.323 -91.214
47.305 -91.239
47.303 -91.241
47.302 -91.241
47.297 -91.245
47.292 -91.249
47.29 -91.25
47.284 -91.257
47.279 -91.263
47.279 -91.266
47.277 -91.271
47.269 -91.284
47.266 -91.288
47.264 -91.291
47.251 -91.309
47.239 -91.326
47.229 -91.336
47.226 -91.34
47.225 -91.341
47.217 -91.349
47.213 -91.354
47.212 -91.354
47.207 -91.358
47.199 -91.371
47.198 -91.374
47.193 -91.38
47.187 -91.387
47.184 -91.398
47.18 -91.406
47.177 -91.41
47.172 -91.419
47.161 -91.433
47.154 -91.442
47.146 -91.451
47.145 -91.452
47.141 -91.456
47.139 -91.457
47.126 -91.477
47.123 -91.498
47.119 -91.505
47.118 -91.507
47.108 -91.518
47.108 -91.519
47.102 -91.536
47.099 -91.546
47.093 -91.563
47.09 -91.574
47.074 -91.587
47.069 -91.592
47.063 -91.601
47.063 -91.604
47.063 -91.605
47.062 -91.607
47.059 -91.613
47.05 -91.627
47.045 -91.632
47.044 -91.633
47.042 -91.636
47.041 -91.637
47.04 -91.637
47.04 -91.638
47.026 -91.645
47.019 -91.66
47.018 -91.662
47.014 -91.666
47.011 -91.682
47.009 -91.688
47.007 -91.697
47.005 -91.705
46.986 -91.732
46.983 -91.737
46.964 -91.761
46.962 -91.764
46.952 -91.777
46.946 -91.78
46.946 -91.781
46.941 -91.792
46.94 -91.794
46.934 -91.807
46.927 -91.826
46.927 -91.835
46.925 -91.841
46.908 -91.871
46.906 -91.883
46.902 -91.889
46.891 -91.906
46.884 -91.915
46.881 -91.921
46.881 -91.922
46.867 -91.953
46.85 -91.985
46.839 -91.998
46.836 -92.006
46.834 -92.013
46.828 -92.025
46.827 -92.026
46.826 -92.028
46.822 -92.035
46.819 -92.042
46.814 -92.051
46.81 -92.059
46.808 -92.06
46.804 -92.062
46.802 -92.068
46.799 -92.076
46.798 -92.076
46.798 -92.078
46.797 -92.079
46.795 -92.085
46.794 -92.086
46.789 -92.093
46.788 -92.094
46.779 -92.091
46.774 -92.088
46.745 -92.064
46.711 -92.026
46.706 -92.015
46.704 -92.02
46.709 -92.034
46.749 -92.089
46.749 -92.108
46.749 -92.117
46.748 -92.117
46.745 -92.125
46.74 -92.138
46.735 -92.143
46.728 -92.143
46.725 -92.141
46.718 -92.145
46.716 -92.146
46.715 -92.149
46.716 -92.155
46.72 -92.167
46.718 -92.173
46.717 -92.174
46.717 -92.179
46.718 -92.189
46.716 -92.191
46.711 -92.193
46.708 -92.197
46.706 -92.202
46.704 -92.205
46.703 -92.206
46.698 -92.205
46.696 -92.198
46.695 -92.183
46.692 -92.178
46.69 -92.176
46.686 -92.176
46.683 -92.178
46.68 -92.181
46.679 -92.188
46.677 -92.192
46.67 -92.199
46.667 -92.204
46.665 -92.205
46.659 -92.202
46.657 -92.202
46.655 -92.202
46.652 -92.207
46.65 -92.212
46.65 -92.216
46.653 -92.223
46.653 -92.226
46.653 -92.228
46.65 -92.236
46.649 -92.242
46.659 -92.257
46.657 -92.26
46.651 -92.266
46.651 -92.271
46.653 -92.273
46.657 -92.274
46.659 -92.278
46.659 -92.284
46.66 -92.286
46.663 -92.287
46.667 -92.287
46.668 -92.291
46.666 -92.292
46.663 -92.292
46.655 -92.292
46.625 -92.292
46.605 -92.292
46.595 -92.292
46.591 -92.292
46.504 -92.292
46.496 -92.292
46.479 -92.293
46.432 -92.293
46.421 -92.293
46.417 -92.293
46.331 -92.293
46.322 -92.293
46.319 -92.293
46.315 -92.293
46.314 -92.293
46.307 -92.293
46.304 -92.293
46.298 -92.293
46.295 -92.293
46.244 -92.294
46.225 -92.294
46.18 -92.294
46.167 -92.294
46.157 -92.294
46.114 -92.294
46.078 -92.294
46.074 -92.294
46.073 -92.299
46.072 -92.307
46.07 -92.317
46.069 -92.319
46.066 -92.327
46.066 -92.328
46.065 -92.33
46.064 -92.331
46.064 -92.332
46.063 -92.333
46.061 -92.334
46.06 -92.335
46.059 -92.335
46.052 -92.338
46.05 -92.339
46.045 -92.341
46.043 -92.343
46.041 -92.344
46.035 -92.342
46.029 -92.344
46.027 -92.344
46.025 -92.346
46.024 -92.349
46.022 -92.35
46.019 -92.35
46.017 -92.35
46.016 -92.352
46.013 -92.358
46.013 -92.362
46.014 -92.372
46.014 -92.373
46.017 -92.382
46.02 -92.393
46.027 -92.408
46.027 -92.409
46.027 -92.411
46.027 -92.412
46.027 -92.421
46.024 -92.429
46.021 -92.436
46.016 -92.442
46.012 -92.444
46.009 -92.444
46.002 -92.45
46 -92.452
45.998 -92.453
45.996 -92.454
45.993 -92.453
45.99 -92.456
45.988 -92.462
45.985 -92.465
45.984 -92.464
45.983 -92.464
45.982 -92.464
45.982 -92.463
45.98 -92.461
45.979 -92.461
45.976 -92.464
45.974 -92.469
45.973 -92.473
45.974 -92.479
45.976 -92.485
45.976 -92.491
45.977 -92.494
45.98 -92.503
