segment Vermont
44.162 -72.048
44.162 -72.047
44.161 -72.042
44.157 -72.04
44.156 -72.04
44.152 -72.043
44.151 -72.043
44.143 -72.042
44.139 -72.042
44.137 -72.042
44.134 -72.038
44.133 -72.034
44.132 -72.034
44.125 -72.038
44.125 -72.039
44.126 -72.041
44.126 -72.042
44.124 -72.046
44.12 -72.052
44.112 -72.055
44.11 -72.055
44.104 -72.053
44.103 -72.053
44.102 -72.053
44.101 -72.052
44.099 -72.051
44.097 -72.048
44.096 -72.045
44.097 -72.045
44.097 -72.044
44.097 -72.043
44.098 -72.043
44.101 -72.043
44.102 -72.041
44.103 -72.041
44.103 -72.04
44.103 -72.039
44.103 -72.037
44.102 -72.033
44.1 -72.031
44.098 -72.031
44.093 -72.032
44.091 -72.033
44.091 -72.034
44.09 -72.034
44.089 -72.036
44.089 -72.04
44.089 -72.041
44.09 -72.046
44.089 -72.048
44.087 -72.049
44.085 -72.047
44.081 -72.04
44.079 -72.034
44.077 -72.032
44.076 -72.032
44.075 -72.033
44.074 -72.037
44.075 -72.039
44.077 -72.041
44.077 -72.042
44.076 -72.051
44.075 -72.052
44.074 -72.051
44.071 -72.049
44.069 -72.048
44.065 -72.053
44.06 -72.056
44.059 -72.057
44.058 -72.059
44.058 -72.065
44.058 -72.068
44.055 -72.069
44.054 -72.069
44.054 -72.068
44.052 -72.063
44.05 -72.062
44.049 -72.066
44.046 -72.075
44.045 -72.077
44.044 -72.078
44.043 -72.079
44.041 -72.08
44.04 -72.079
44.035 -72.075
44.033 -72.075
44.032 -72.076
44.03 -72.08
44.029 -72.08
44.029 -72.081
44.028 -72.081
44.027 -72.082
44.024 -72.082
44.022 -72.082
44.022 -72.083
44.021 -72.085
44.024 -72.09
44.024 -72.092
44.023 -72.094
44.022 -72.095
44.02 -72.096
44.017 -72.095
44.013 -72.091
44.011 -72.09
44.01 -72.09
44.009 -72.091
44.009 -72.093
44.01 -72.093
44.014 -72.095
44.015 -72.099
44.015 -72.102
44.013 -72.105
44.012 -72.105
44.011 -72.105
44.009 -72.105
44.004 -72.104
44.003 -72.104
44.001 -72.109
43.996 -72.116
43.994 -72.117
43.992 -72.117
43.988 -72.113
43.985 -72.112
43.978 -72.112
43.976 -72.112
43.973 -72.113
43.969 -72.115
43.968 -72.115
43.968 -72.114
43.967 -72.111
43.97 -72.107
43.97 -72.105
43.968 -72.096
43.966 -72.091
43.966 -72.09
43.965 -72.09
43.965 -72.091
43.964 -72.099
43.962 -72.101
43.961 -72.101
43.959 -72.099
43.958 -72.099
43.957 -72.099
43.951 -72.104
43.949 -72.106
43.948 -72.111
43.948 -72.115
43.947 -72.117
43.947 -72.118
43.946 -72.118
43.945 -72.119
43.944 -72.119
43.943 -72.119
43.937 -72.117
43.936 -72.117
43.935 -72.117
43.934 -72.117
43.923 -72.118
43.921 -72.119
43.919 -72.121
43.91 -72.135
43.905 -72.145
43.902 -72.151
43.897 -72.156
43.893 -72.159
43.888 -72.159
43.887 -72.161
43.886 -72.167
43.886 -72.171
43.885 -72.172
43.884 -72.173
43.88 -72.174
43.876 -72.172
43.873 -72.17
43.871 -72.168
43.869 -72.167
43.866 -72.175
43.866 -72.179
43.866 -72.18
43.866 -72.181
43.865 -72.183
43.863 -72.185
43.856 -72.188
43.854 -72.187
43.845 -72.183
43.834 -72.182
43.831 -72.183
43.827 -72.186
43.823 -72.188
43.821 -72.189
43.816 -72.186
43.813 -72.184
43.808 -72.183
43.805 -72.185
43.801 -72.191
43.795 -72.193
43.791 -72.196
43.79 -72.197
43.786 -72.204
43.784 -72.205
43.782 -72.206
43.777 -72.205
43.771 -72.205
43.77 -72.206
43.769 -72.208
43.768 -72.211
43.767 -72.216
43.766 -72.218
43.764 -72.22
43.76 -72.222
43.758 -72.224
43.757 -72.224
43.756 -72.226
43.751 -72.23
43.748 -72.233
43.748 -72.234
43.745 -72.241
43.743 -72.245
43.734 -72.264
43.734 -72.271
43.727 -72.276
43.725 -72.28
43.72 -72.285
43.717 -72.287
43.711 -72.292
43.709 -72.295
43.707 -72.3
43.703 -72.303
43.701 -72.303
43.696 -72.305
43.693 -72.306
43.69 -72.306
43.684 -72.306
