segment Iowa
42.131 -90.201
42.128 -90.197
42.127 -90.195
42.126 -90.19
42.125 -90.187
42.125 -90.171
42.122 -90.168
42.117 -90.163
42.114 -90.162
42.107 -90.161
42.106 -90.161
42.101 -90.161
42.099 -90.161
42.098 -90.162
42.088 -90.163
42.076 -90.168
42.075 -90.168
42.063 -90.166
42.055 -90.165
42.051 -90.165
42.042 -90.164
42.04 -90.163
42.038 -90.159
42.033 -90.154
42.031 -90.152
42.029 -90.151
42.027 -90.15
42.023 -90.149
42.02 -90.148
42.017 -90.146
42.016 -90.144
42.015 -90.144
42.013 -90.143
42.009 -90.141
42.003 -90.14
41.996 -90.141
41.988 -90.146
41.981 -90.146
41.978 -90.149
41.974 -90.154
41.961 -90.162
41.956 -90.164
41.949 -90.165
41.945 -90.164
41.941 -90.161
41.938 -90.157
41.936 -90.155
41.933 -90.153
41.931 -90.152
41.916 -90.153
41.909 -90.154
41.907 -90.154
41.906 -90.154
41.898 -90.157
41.884 -90.165
41.878 -90.169
41.876 -90.17
41.871 -90.171
41.868 -90.172
41.866 -90.173
41.865 -90.173
41.857 -90.173
41.854 -90.175
41.85 -90.178
41.849 -90.179
41.846 -90.18
41.845 -90.181
41.843 -90.182
41.842 -90.182
41.838 -90.183
41.836 -90.184
41.833 -90.184
41.829 -90.183
41.823 -90.182
41.812 -90.181
41.809 -90.181
41.807 -90.182
41.803 -90.188
41.798 -90.206
41.797 -90.21
41.795 -90.217
41.793 -90.222
41.783 -90.242
41.78 -90.249
41.779 -90.25
41.775 -90.259
41.772 -90.263
41.772 -90.264
41.767 -90.279
41.766 -90.28
41.75 -90.303
41.742 -90.31
41.742 -90.311
41.734 -90.315
41.729 -90.316
41.723 -90.318
41.718 -90.317
41.709 -90.313
41.708 -90.313
41.707 -90.313
41.704 -90.313
41.702 -90.313
41.699 -90.313
41.698 -90.313
41.697 -90.314
41.696 -90.314
41.695 -90.315
41.694 -90.315
41.692 -90.317
41.691 -90.318
41.691 -90.319
41.69 -90.32
41.684 -90.33
41.682 -90.332
41.681 -90.333
41.68 -90.334
41.68 -90.335
41.678 -90.335
41.665 -90.337
41.657 -90.34
41.656 -90.34
41.648 -90.343
41.647 -90.343
41.646 -90.343
41.644 -90.343
41.641 -90.343
41.622 -90.342
41.614 -90.341
41.611 -90.341
41.599 -90.34
41.597 -90.34
41.592 -90.341
41.591 -90.342
41.588 -90.343
41.58 -90.364
41.577 -90.379
41.577 -90.381
41.572 -90.398
41.569 -90.406
41.565 -90.413
41.563 -90.416
41.554 -90.422
41.553 -90.425
41.552 -90.427
41.55 -90.433
41.548 -90.434
41.544 -90.438
41.536 -90.445
41.524 -90.461
41.52 -90.474
41.518 -90.49
41.518 -90.501
41.52 -90.513
41.525 -90.533
41.526 -90.541
41.526 -90.545
41.524 -90.555
41.524 -90.556
41.523 -90.558
41.523 -90.559
41.518 -90.566
41.518 -90.567
41.516 -90.571
41.515 -90.582
41.513 -90.591
41.511 -90.595
41.506 -90.602
41.497 -90.604
41.494 -90.606
41.485 -90.619
41.48 -90.631
41.479 -90.632
41.479 -90.633
41.473 -90.64
41.465 -90.65
41.462 -90.656
41.461 -90.666
41.461 -90.669
41.461 -90.676
41.457 -90.691
41.455 -90.701
41.452 -90.724
41.45 -90.738
41.45 -90.75
41.451 -90.772
41.451 -90.778
41.453 -90.786
41.454 -90.807
41.454 -90.824
41.454 -90.825
41.455 -90.836
41.456 -90.837
41.455 -90.84
41.455 -90.845
41.455 -90.847
41.454 -90.854
41.453 -90.858
41.448 -90.867
41.447 -90.87
41.446 -90.871
41.441 -90.88
41.436 -90.89
41.435 -90.891
41.431 -90.9
41.431 -90.901
41.429 -90.908
41.426 -90.919
41.423 -90.924
41.421 -90.93
41.424 -90.95
41.425 -90.953
