segment California
34.108 -114.416
34.103 -114.42
34.097 -114.426
34.093 -114.428
34.088 -114.433
34.087 -114.434
34.08 -114.435
34.072 -114.438
34.058 -114.439
34.054 -114.439
34.05 -114.439
34.043 -114.436
34.038 -114.435
34.028 -114.436
34.023 -114.438
34.019 -114.441
34.016 -114.444
34.013 -114.45
34.011 -114.455
34.011 -114.459
34.01 -114.461
34.008 -114.463
34.007 -114.463
34.004 -114.463
34.002 -114.461
33.999 -114.46
33.997 -114.46
33.995 -114.461
33.994 -114.462
33.993 -114.466
33.993 -114.468
33.988 -114.471
33.984 -114.476
33.981 -114.481
33.98 -114.482
33.978 -114.483
33.976 -114.485
33.967 -114.495
33.962 -114.5
33.957 -114.509
33.957 -114.51
33.957 -114.511
33.958 -114.516
33.956 -114.522
33.955 -114.522
33.948 -114.529
33.936 -114.535
33.935 -114.535
33.934 -114.535
33.928 -114.535
33.926 -114.534
33.924 -114.528
33.922 -114.525
33.919 -114.52
33.918 -114.518
33.916 -114.517
33.911 -114.512
33.908 -114.509
33.906 -114.509
33.905 -114.508
33.904 -114.508
33.903 -114.508
33.902 -114.508
33.901 -114.509
33.9 -114.509
33.899 -114.51
33.899 -114.511
33.898 -114.514
33.896 -114.516
33.895 -114.518
33.893 -114.519
33.892 -114.519
33.89 -114.519
33.888 -114.518
33.887 -114.517
33.886 -114.517
33.883 -114.512
33.877 -114.504
33.875 -114.503
33.868 -114.503
33.866 -114.504
33.864 -114.506
33.861 -114.51
33.859 -114.515
33.858 -114.516
33.858 -114.517
33.858 -114.525
33.857 -114.527
33.855 -114.528
33.852 -114.529
33.848 -114.53
33.839 -114.526
33.835 -114.523
33.828 -114.52
33.825 -114.52
33.822 -114.521
33.819 -114.523
33.816 -114.527
33.815 -114.528
33.799 -114.52
33.788 -114.517
33.768 -114.507
33.76 -114.505
33.756 -114.504
33.751 -114.504
33.746 -114.506
33.742 -114.508
33.735 -114.512
33.734 -114.512
33.732 -114.51
33.731 -114.507
33.728 -114.504
33.725 -114.503
33.722 -114.501
33.719 -114.497
33.714 -114.495
33.708 -114.494
33.698 -114.496
33.697 -114.496
33.693 -114.505
33.692 -114.51
33.691 -114.512
33.688 -114.519
33.686 -114.524
33.683 -114.528
33.679 -114.53
33.677 -114.531
33.675 -114.532
33.674 -114.531
33.671 -114.531
33.668 -114.53
33.666 -114.528
33.664 -114.527
33.663 -114.526
33.662 -114.525
33.66 -114.525
33.658 -114.525
33.657 -114.526
33.656 -114.527
33.655 -114.527
33.653 -114.528
33.65 -114.53
33.648 -114.53
33.644 -114.529
33.643 -114.529
33.641 -114.528
33.639 -114.527
33.638 -114.527
33.633 -114.527
33.63 -114.528
33.629 -114.529
33.627 -114.53
33.623 -114.53
33.619 -114.528
33.617 -114.526
33.614 -114.525
33.611 -114.525
33.609 -114.527
33.607 -114.529
33.605 -114.53
33.605 -114.531
33.591 -114.541
33.585 -114.54
33.581 -114.54
33.569 -114.536
33.557 -114.527
33.554 -114.524
33.552 -114.525
33.542 -114.542
33.532 -114.559
33.531 -114.56
33.524 -114.561
33.518 -114.561
33.517 -114.561
33.509 -114.57
33.508 -114.574
33.506 -114.58
33.502 -114.588
33.502 -114.589
33.499 -114.592
33.491 -114.597
33.487 -114.599
33.484 -114.6
33.481 -114.602
33.475 -114.608
33.471 -114.612
33.457 -114.623
33.454 -114.623
33.448 -114.622
33.434 -114.627
33.428 -114.63
33.423 -114.635
33.417 -114.643
33.414 -114.65
33.413 -114.653
33.413 -114.658
33.418 -114.674
33.418 -114.688
33.415 -114.696
33.414 -114.697
33.412 -114.697
33.411 -114.698
33.408 -114.702
33.407 -114.711
33.408 -114.72
33.407 -114.724
33.405 -114.725
33.404 -114.726
33.402 -114.725
33.399 -114.723
33.388 -114.714
33.384 -114.708
33.383 -114.707
33.381 -114.707
33.377 -114.707
33.361 -114.699
33.357 -114.698
33.352 -114.698
33.337 -114.701
33.328 -114.705
33.323 -114.708
33.321 -114.711
33.312 -114.724
33.306 -114.73
33.304 -114.731
33.302 -114.731
33.288 -114.723
33.287 -114.722
33.285 -114.718
33.283 -114.711
33.282 -114.703
33.28 -114.694
33.276 -114.684
33.274 -114.681
33.27 -114.677
33.26 -114.672
33.258 -114.672
33.256 -114.674
33.248 -114.688
33.246 -114.69
33.245 -114.689
33.235 -114.683
33.23 -114.678
33.226 -114.674
33.223 -114.674
33.219 -114.674
33.211 -114.676
33.203 -114.679
33.2 -114.678
33.188 -114.675
33.185 -114.675
33.182 -114.676
33.175 -114.679
33.17 -114.68
33.163 -114.679
33.16 -114.679
33.155 -114.682
33.148 -114.684
33.142 -114.687
33.138 -114.69
33.131 -114.697
33.114 -114.704
33.105 -114.706
33.097 -114.708
33.091 -114.708
33.088 -114.706
33.087 -114.705
33.086 -114.701
33.086 -114.695
33.086 -114.693
33.084 -114.689
33.083 -114.689
33.079 -114.689
33.076 -114.689
33.071 -114.687
33.057 -114.674
33.048 -114.675
33.042 -114.674
33.038 -114.671
33.034 -114.665
33.033 -114.662
33.033 -114.66
33.034 -114.658
33.037 -114.655
33.047 -114.649
33.049 -114.646
33.047 -114.642
33.045 -114.64
33.039 -114.634
33.031 -114.628
33.029 -114.626
33.027 -114.619
33.025 -114.601
33.026 -114.59
33.027 -114.587
33.028 -114.585
33.033 -114.581
33.035 -114.578
33.037 -114.575
33.037 -114.572
33.034 -114.553
33.034 -114.541
33.033 -114.538
33.033 -114.535
33.032 -114.528
33.031 -114.524
33.03 -114.52
33.027 -114.516
33.027 -114.515
33.023 -114.511
33.018 -114.507
33.017 -114.506
33.016 -114.505
33.013 -114.504
33.011 -114.503
33.009 -114.502
33.004 -114.5
32.991 -114.497
32.98 -114.496
32.974 -114.494
32.972 -114.493
32.97 -114.49
32.97 -114.489
32.972 -114.481
32.971 -114.479
32.969 -114.476
32.966 -114.473
32.964 -114.473
32.962 -114.472
32.959 -114.472
32.957 -114.472
32.954 -114.472
32.95 -114.472
32.945 -114.474
32.941 -114.478
32.937 -114.481
32.935 -114.481
32.928 -114.479
32.924 -114.477
32.921 -114.474
32.913 -114.464
32.912 -114.464
32.908 -114.463
32.903 -114.463
32.902 -114.463
32.883 -114.465
32.879 -114.466
32.875 -114.466
32.845 -114.469
32.839 -114.476
32.833 -114.483
32.827 -114.49
32.823 -114.494
32.822 -114.496
32.822 -114.497
32.82 -114.502
32.816 -114.51
32.813 -114.514
32.811 -114.515
32.806 -114.52
32.804 -114.52
32.802 -114.522
32.796 -114.529
32.793 -114.531
32.791 -114.532
32.783 -114.532
32.777 -114.532
32.774 -114.532
32.767 -114.528
32.757 -114.527
32.757 -114.539
32.75 -114.539
32.75 -114.551
32.75 -114.564
32.742 -114.565
32.742 -114.582
32.735 -114.582
32.735 -114.583
32.735 -114.613
32.734 -114.615
32.729 -114.616
32.728 -114.616
32.728 -114.618
32.729 -114.624
32.729 -114.625
32.731 -114.633
32.732 -114.646
32.734 -114.658
32.734 -114.659
32.734 -114.667
32.736 -114.677
32.737 -114.679
32.738 -114.684
32.738 -114.689
32.745 -114.699
32.746 -114.701
32.746 -114.702
32.742 -114.706
32.73 -114.715
32.728 -114.716
32.722 -114.718
32.719 -114.72
32.718 -114.726
32.718 -114.737
32.7 -115.001
32.676 -115.336
32.667 -115.465
32.666 -115.474
32.666 -115.479
32.665 -115.49
32.665 -115.497
32.665 -115.499
32.662 -115.533
32.652 -115.662
32.629 -115.978
32.623 -116.047
32.619 -116.106
32.618 -116.115
32.617 -116.126
32.61 -116.211
32.605 -116.271
32.597 -116.377
32.596 -116.391
32.594 -116.414
32.591 -116.455
32.584 -116.535
32.584 -116.541
32.581 -116.576
32.576 -116.627
32.566 -116.757
32.557 -116.857
32.551 -116.928
32.55 -116.946
32.542 -117.026
32.542 -117.029
32.542 -117.03
32.541 -117.04
32.54 -117.063
32.535 -117.119
32.534 -117.125
32.538 -117.126
32.551 -117.128
32.576 -117.133
32.584 -117.133
32.586 -117.133
32.597 -117.133
32.619 -117.137
32.627 -117.139
32.637 -117.145
32.661 -117.16
32.672 -117.169
32.673 -117.171
32.674 -117.171
32.676 -117.174
32.677 -117.175
32.679 -117.177
32.682 -117.18
32.683 -117.183
32.686 -117.19
32.688 -117.193
32.689 -117.197
32.688 -117.213
32.683 -117.224
32.671 -117.236
32.669 -117.246
32.682 -117.25
32.685 -117.251
32.7 -117.255
32.708 -117.256
32.713 -117.256
32.726 -117.258
32.734 -117.257
32.737 -117.256
32.738 -117.256
32.742 -117.256
32.745 -117.255
32.746 -117.255
32.747 -117.255
32.748 -117.255
32.753 -117.253
32.754 -117.253
32.759 -117.253
32.766 -117.254
32.768 -117.254
32.784 -117.255
32.787 -117.255
32.788 -117.255
32.791 -117.256
32.801 -117.26
32.803 -117.261
32.804 -117.262
32.808 -117.266
32.813 -117.272
32.814 -117.272
32.815 -117.273
