segment Mexico
20.581 -86.735
20.571 -86.739
20.554 -86.748
20.517 -86.77
20.51 -86.768
20.504 -86.771
20.477 -86.789
20.473 -86.794
20.455 -86.808
20.443 -86.815
20.438 -86.829
20.429 -86.837
20.419 -86.844
20.392 -86.867
20.373 -86.878
20.356 -86.885
20.349 -86.89
20.344 -86.895
20.343 -86.904
20.338 -86.91
20.331 -86.914
20.312 -86.926
20.296 -86.945
20.287 -86.95
20.285 -86.955
20.277 -86.962
20.274 -86.969
20.269 -86.973
20.265 -86.981
20.262 -86.984
20.263 -86.992
20.27 -86.993
20.277 -86.999
20.282 -86.996
20.287 -87
20.294 -87.009
20.296 -87.013
20.302 -87.014
20.318 -87.012
20.323 -87.016
20.34 -87.022
20.346 -87.019
20.353 -87.022
20.363 -87.023
20.383 -87.021
20.404 -87.016
20.411 -87.016
20.413 -87.014
20.419 -87.009
20.431 -87.008
20.437 -87.003
20.444 -86.993
20.45 -86.988
20.47 -86.978
20.475 -86.971
20.497 -86.958
20.506 -86.957
20.538 -86.936
20.544 -86.934
20.552 -86.93
20.557 -86.909
20.566 -86.895
20.566 -86.89
20.555 -86.874
20.549 -86.85
20.558 -86.823
20.559 -86.816
20.558 -86.816
segment Mexico
20.558 -86.816
20.559 -86.805
20.566 -86.785
20.556 -86.785
20.552 -86.787
20.552 -86.791
20.556 -86.795
20.555 -86.801
20.552 -86.81
20.543 -86.825
20.541 -86.834
20.543 -86.837
20.545 -86.836
20.549 -86.82
20.555 -86.814
20.558 -86.816
segment Mexico
32.432 -117.293
32.434 -117.296
32.44 -117.299
32.445 -117.298
32.445 -117.295
32.435 -117.291
32.432 -117.293
segment Mexico
32.39 -117.237
32.39 -117.24
32.397 -117.244
32.4 -117.243
32.405 -117.243
32.407 -117.246
32.417 -117.249
32.419 -117.246
32.416 -117.244
32.414 -117.241
32.408 -117.24
32.394 -117.236
32.39 -117.237
segment Mexico
31.807 -116.801
31.81 -116.806
31.817 -116.809
31.821 -116.809
31.82 -116.807
31.814 -116.804
31.811 -116.798
31.806 -116.798
31.807 -116.801
segment Mexico
31.789 -116.778
31.8 -116.789
31.803 -116.788
31.803 -116.785
31.794 -116.778
31.789 -116.778
segment Mexico
30.481 -116.098
30.478 -116.099
30.479 -116.109
30.482 -116.121
30.487 -116.124
30.491 -116.122
30.494 -116.115
30.495 -116.109
30.486 -116.104
30.481 -116.098
segment Mexico
28.873 -118.362
28.877 -118.366
28.88 -118.365
28.887 -118.357
28.896 -118.355
28.903 -118.359
28.927 -118.371
28.936 -118.368
28.947 -118.372
28.953 -118.369
28.964 -118.367
28.968 -118.371
28.968 -118.381
28.976 -118.39
28.987 -118.385
28.997 -118.387
29.003 -118.386
29.01 -118.388
29.011 -118.389
29.015 -118.394
29.028 -118.396
29.035 -118.399
29.046 -118.408
29.05 -118.414
29.05 -118.423
29.063 -118.434
29.07 -118.447
29.075 -118.449
29.085 -118.446
29.099 -118.445
29.112 -118.446
29.121 -118.446
29.13 -118.449
29.141 -118.454
29.148 -118.448
29.158 -118.438
29.168 -118.422
29.169 -118.415
29.168 -118.406
29.169 -118.398
29.184 -118.381
29.188 -118.373
29.186 -118.369
29.184 -118.368
29.181 -118.366
29.177 -118.367
29.157 -118.38
29.148 -118.383
29.141 -118.382
29.112 -118.368
29.104 -118.362
29.103 -118.353
29.098 -118.341
29.084 -118.327
29.081 -118.324
29.071 -118.315
29.064 -118.311
29.045 -118.304
29.018 -118.3
28.982 -118.304
28.964 -118.298
28.958 -118.296
28.925 -118.297
28.919 -118.299
28.904 -118.313
28.886 -118.318
28.882 -118.322
28.879 -118.328
28.881 -118.34
28.875 -118.353
28.873 -118.362
segment Mexico
28.856 -118.361
28.857 -118.366
28.862 -118.369
28.865 -118.369
28.869 -118.367
28.867 -118.362
28.857 -118.36
28.856 -118.361
segment Mexico
28.037 -115.183
28.044 -115.197
28.044 -115.209
28.037 -115.224
28.038 -115.228
28.038 -115.231
28.043 -115.236
28.045 -115.248
28.048 -115.251
28.066 -115.254
28.076 -115.259
28.089 -115.269
28.096 -115.277
28.105 -115.299
28.106 -115.307
28.102 -115.324
28.103 -115.329
28.104 -115.34
28.102 -115.344
28.095 -115.347
28.095 -115.353
28.099 -115.359
28.137 -115.343
28.139 -115.34
28.14 -115.325
28.145 -115.317
28.165 -115.297
28.18 -115.282
28.19 -115.275
28.207 -115.269
28.22 -115.255
28.227 -115.25
28.239 -115.248
28.265 -115.254
28.276 -115.259
28.289 -115.263
28.3 -115.273
28.306 -115.275
28.318 -115.269
28.327 -115.266
28.335 -115.267
28.349 -115.266
28.364 -115.264
28.368 -115.262
28.372 -115.257
28.372 -115.241
28.375 -115.235
28.375 -115.232
28.376 -115.231
28.366 -115.217
28.362 -115.214
28.339 -115.208
28.334 -115.204
28.326 -115.189
28.323 -115.187
28.315 -115.19
28.31 -115.189
28.286 -115.175
28.276 -115.173
28.27 -115.173
28.239 -115.177
28.233 -115.174
28.213 -115.159
28.188 -115.157
28.175 -115.151
28.167 -115.15
28.152 -115.154
28.151 -115.154
28.129 -115.17
28.122 -115.171
28.083 -115.167
28.071 -115.175
28.061 -115.179
28.055 -115.18
28.044 -115.174
28.038 -115.177
28.037 -115.183
segment Mexico
28.296 -115.579
28.297 -115.583
28.296 -115.592
28.299 -115.596
28.305 -115.596
28.308 -115.594
28.312 -115.597
28.316 -115.593
28.314 -115.581
28.307 -115.576
28.308 -115.569
28.307 -115.567
28.303 -115.57
28.299 -115.568
28.299 -115.574
28.296 -115.579
segment Mexico
28.309 -115.555
28.308 -115.562
28.312 -115.563
28.313 -115.565
28.316 -115.564
28.316 -115.558
28.313 -115.554
28.313 -115.549
28.31 -115.548
28.309 -115.555
segment Mexico
28.291 -115.535
28.296 -115.539
28.308 -115.542
28.312 -115.54
28.314 -115.536
28.31 -115.533
28.305 -115.527
28.301 -115.528
28.299 -115.532
28.293 -115.533
28.291 -115.535
segment Mexico
28.107 -115.381
28.109 -115.384
28.111 -115.382
28.118 -115.372
28.116 -115.369
28.108 -115.376
28.107 -115.381
segment Mexico
27.855 -115.174
27.858 -115.179
27.869 -115.183
27.877 -115.186
27.885 -115.195
27.892 -115.21
27.894 -115.212
27.898 -115.212
27.899 -115.21
27.9 -115.205
27.897 -115.196
27.893 -115.19
27.883 -115.183
27.879 -115.176
27.876 -115.163
27.874 -115.16
27.869 -115.157
27.858 -115.163
27.855 -115.168
27.855 -115.174
segment Mexico
29.813 -114.368
29.818 -114.385
29.822 -114.387
29.827 -114.391
29.83 -114.391
29.833 -114.387
29.834 -114.382
29.832 -114.377
29.813 -114.367
29.813 -114.368
segment Mexico
29.564 -113.591
29.579 -113.592
29.585 -113.585
29.587 -113.581
29.579 -113.579
29.579 -113.574
29.577 -113.573
29.57 -113.578
29.564 -113.591
segment Mexico
29.466 -113.408
29.459 -113.399
29.448 -113.397
29.439 -113.392
29.434 -113.385
29.425 -113.383
29.416 -113.376
29.404 -113.373
29.401 -113.37
29.4 -113.365
29.397 -113.363
29.382 -113.376
29.375 -113.378
29.377 -113.381
29.376 -113.385
29.37 -113.387
29.368 -113.386
29.369 -113.383
29.368 -113.381
29.361 -113.389
29.355 -113.392
29.336 -113.391
29.328 -113.393
29.324 -113.39
29.32 -113.391
29.315 -113.388
29.305 -113.365
29.3 -113.345
29.296 -113.329
29.299 -113.324
29.297 -113.322
29.29 -113.315
29.289 -113.31
29.295 -113.3
29.295 -113.294
29.293 -113.29
29.296 -113.288
29.296 -113.283
29.292 -113.283
29.29 -113.279
29.294 -113.271
29.294 -113.262
29.297 -113.255
29.297 -113.247
29.294 -113.241
29.292 -113.229
29.298 -113.212
29.299 -113.202
29.297 -113.2
29.295 -113.196
29.289 -113.193
29.288 -113.188
29.285 -113.187
29.281 -113.191
29.273 -113.196
29.264 -113.201
29.256 -113.202
29.242 -113.202
29.23 -113.197
29.222 -113.198
29.205 -113.197
29.2 -113.191
29.195 -113.195
29.178 -113.199
29.16 -113.198
29.153 -113.199
29.145 -113.201
29.137 -113.199
29.129 -113.19
29.117 -113.187
29.11 -113.183
29.102 -113.174
29.089 -113.178
29.08 -113.175
29.074 -113.169
29.071 -113.16
29.072 -113.149
29.064 -113.141
29.065 -113.131
29.065 -113.128
29.062 -113.124
29.046 -113.133
29.031 -113.138
29.021 -113.135
29.013 -113.139
29.002 -113.137
29 -113.14
29.001 -113.146
29.012 -113.158
29.016 -113.166
29.025 -113.178
29.026 -113.183
29.03 -113.188
29.031 -113.191
29.036 -113.207
29.039 -113.212
29.052 -113.221
29.054 -113.224
29.06 -113.24
29.067 -113.246
29.068 -113.254
29.073 -113.259
29.074 -113.266
29.079 -113.27
29.086 -113.271
29.102 -113.286
29.109 -113.287
29.11 -113.287
29.117 -113.295
29.13 -113.301
29.141 -113.312
29.146 -113.321
29.155 -113.325
29.161 -113.34
29.165 -113.343
29.173 -113.354
29.172 -113.361
29.182 -113.377
29.192 -113.383
29.195 -113.383
29.198 -113.385
29.205 -113.4
29.219 -113.424
29.235 -113.433
29.238 -113.438
29.245 -113.44
29.258 -113.453
29.262 -113.449
29.272 -113.449
29.27 -113.455
29.276 -113.456
29.284 -113.461
29.291 -113.466
29.29 -113.474
29.293 -113.478
29.293 -113.484
29.289 -113.492
29.293 -113.494
29.294 -113.497
29.295 -113.513
29.304 -113.516
29.311 -113.523
29.324 -113.522
29.335 -113.524
29.343 -113.532
29.346 -113.54
29.35 -113.544
29.354 -113.546
29.366 -113.549
29.371 -113.554
29.379 -113.556
29.386 -113.56
29.394 -113.574
29.399 -113.575
29.407 -113.584
29.417 -113.588
29.421 -113.598
29.424 -113.604
29.433 -113.607
29.441 -113.605
29.453 -113.609
29.456 -113.607
29.459 -113.605
29.466 -113.604
29.477 -113.599
29.485 -113.591
29.496 -113.589
29.501 -113.584
29.524 -113.578
29.529 -113.581
29.535 -113.581
29.538 -113.583
29.544 -113.58
29.549 -113.582
29.555 -113.587
29.556 -113.583
29.56 -113.58
29.563 -113.571
29.561 -113.568
29.555 -113.575
29.552 -113.573
29.55 -113.57
29.554 -113.565
29.549 -113.563
29.55 -113.557
29.553 -113.555
29.558 -113.542
29.567 -113.54
29.566 -113.527
29.558 -113.527
29.553 -113.523
29.549 -113.497
29.549 -113.494
29.542 -113.489
29.542 -113.486
29.538 -113.483
29.535 -113.476
29.518 -113.457
29.512 -113.454
29.503 -113.444
29.489 -113.44
29.485 -113.437
29.484 -113.433
29.479 -113.428
29.474 -113.419
29.475 -113.408
29.466 -113.408
segment Mexico
29.267 -112.457
29.268 -112.46
29.275 -112.454
29.275 -112.451
29.27 -112.446
29.267 -112.457
segment Mexico
29.231 -112.284
29.234 -112.28
29.239 -112.272
29.239 -112.268
29.234 -112.272
29.229 -112.282
29.219 -112.287
29.216 -112.285
29.216 -112.282
29.22 -112.277
29.217 -112.276
29.212 -112.278
29.203 -112.275
29.205 -112.27
29.196 -112.267
29.191 -112.261
29.182 -112.268
29.179 -112.268
29.178 -112.265
29.174 -112.265
29.172 -112.269
29.167 -112.272
29.161 -112.27
29.156 -112.269
29.146 -112.271
29.138 -112.271
29.13 -112.266
29.106 -112.24
29.099 -112.238
29.094 -112.23
29.085 -112.23
29.082 -112.225
29.072 -112.22
29.067 -112.221
29.053 -112.213
29.046 -112.207
29.035 -112.201
29.027 -112.199
29.022 -112.194
29.019 -112.193
29.014 -112.194
29.009 -112.193
29.002 -112.196
29.004 -112.199
29.003 -112.201
28.986 -112.204
28.972 -112.202
28.977 -112.191
28.977 -112.187
28.974 -112.186
28.968 -112.198
28.966 -112.2
28.958 -112.208
28.946 -112.21
28.908 -112.223
28.905 -112.225
28.903 -112.228
28.89 -112.238
28.888 -112.232
28.884 -112.23
28.872 -112.235
28.862 -112.251
28.854 -112.253
28.846 -112.252
28.835 -112.258
28.83 -112.265
28.802 -112.273
28.8 -112.269
28.797 -112.268
28.789 -112.271
28.782 -112.267
28.781 -112.259
28.773 -112.25
28.771 -112.251
28.769 -112.263
28.77 -112.269
28.771 -112.27
28.769 -112.275
28.755 -112.3
28.746 -112.306
28.748 -112.309
28.753 -112.31
28.755 -112.312
28.754 -112.318
28.762 -112.324
28.764 -112.33
28.764 -112.346
28.76 -112.352
28.76 -112.356
28.761 -112.358
28.773 -112.362
28.775 -112.366
28.774 -112.377
28.775 -112.378
28.777 -112.383
28.786 -112.388
28.789 -112.394
28.795 -112.398
28.798 -112.402
28.798 -112.416
28.797 -112.425
28.804 -112.435
28.803 -112.44
28.804 -112.446
28.802 -112.451
28.803 -112.457
28.806 -112.46
28.814 -112.462
28.819 -112.464
28.822 -112.468
28.824 -112.474
28.823 -112.483
28.823 -112.488
28.832 -112.491
28.836 -112.496
28.851 -112.535
28.858 -112.54
28.861 -112.546
28.87 -112.552
28.871 -112.557
28.869 -112.573
28.873 -112.576
28.876 -112.581
28.88 -112.576
28.881 -112.567
28.883 -112.567
28.885 -112.567
28.889 -112.563
28.891 -112.56
28.889 -112.556
28.89 -112.553
28.918 -112.512
28.929 -112.502
28.94 -112.497
28.946 -112.489
28.956 -112.483
28.96 -112.482
28.968 -112.487
28.971 -112.487
28.981 -112.484
28.985 -112.486
28.991 -112.494
28.994 -112.496
28.999 -112.496
29.005 -112.496
29.014 -112.505
29.026 -112.5
29.04 -112.502
29.052 -112.498
29.061 -112.502
29.064 -112.502
29.067 -112.496
29.073 -112.492
29.112 -112.485
29.116 -112.486
29.119 -112.487
29.129 -112.485
29.138 -112.476
29.142 -112.474
29.147 -112.475
29.158 -112.473
29.165 -112.474
29.172 -112.468
29.189 -112.455
29.197 -112.448
29.197 -112.443
29.195 -112.438
29.197 -112.432
29.197 -112.429
29.187 -112.421
29.186 -112.416
29.188 -112.414
29.186 -112.41
29.185 -112.406
29.193 -112.39
29.201 -112.378
29.206 -112.375
29.218 -112.359
29.22 -112.337
29.217 -112.327
29.219 -112.321
29.218 -112.314
29.222 -112.308
29.222 -112.292
29.228 -112.286
29.231 -112.284
segment Mexico
29.041 -113.498
29.042 -113.499
29.05 -113.5
29.052 -113.504
29.057 -113.508
29.062 -113.509
29.065 -113.507
29.068 -113.506
29.073 -113.509
29.083 -113.512
29.089 -113.521
29.099 -113.521
29.101 -113.517
29.101 -113.506
29.097 -113.502
29.089 -113.501
29.081 -113.498
29.065 -113.5
29.06 -113.499
29.043 -113.486
29.041 -113.498
segment Mexico
29.069 -113.116
29.07 -113.117
29.075 -113.115
29.075 -113.104
29.071 -113.107
29.069 -113.116
segment Mexico
29.017 -113.459
29.02 -113.466
29.025 -113.469
29.028 -113.468
29.023 -113.461
29.02 -113.459
29.017 -113.459
segment Mexico
29.016 -113.511
29.02 -113.512
29.022 -113.51
29.019 -113.507
29.014 -113.508
29.009 -113.51
29.009 -113.512
29.016 -113.511
segment Mexico
29.007 -113.512
29.008 -113.501
29.001 -113.502
28.998 -113.501
28.995 -113.508
28.995 -113.512
29 -113.51
29.005 -113.513
29.007 -113.512
segment Mexico
28.97 -113.479
28.981 -113.484
28.983 -113.483
28.983 -113.479
28.981 -113.475
28.976 -113.474
28.972 -113.475
28.97 -113.479
segment Mexico
28.9 -113.046
28.904 -113.048
28.912 -113.045
28.913 -113.043
28.912 -113.038
28.907 -113.038
28.904 -113.034
28.9 -113.037
28.9 -113.046
segment Mexico
28.88 -113.005
28.881 -113.008
28.888 -113.002
28.889 -112.997
28.888 -112.995
28.885 -112.997
28.88 -113.005
segment Mexico
28.865 -113.04
28.869 -113.043
28.873 -113.042
28.876 -113.038
28.881 -113.037
28.884 -113.035
28.883 -113.031
28.874 -113.029
28.865 -113.035
28.865 -113.04
segment Mexico
28.802 -112.978
28.804 -112.984
28.809 -112.988
28.811 -112.986
28.809 -112.973
28.805 -112.972
28.802 -112.978
segment Mexico
28.735 -112.979
28.743 -112.986
28.745 -112.983
28.744 -112.98
28.739 -112.975
28.736 -112.977
28.735 -112.979
segment Mexico
28.668 -112.599
28.67 -112.601
28.677 -112.598
28.682 -112.598
28.689 -112.605
28.698 -112.606
28.706 -112.609
28.715 -112.606
28.721 -112.609
28.724 -112.607
28.726 -112.609
28.735 -112.584
28.735 -112.577
28.73 -112.57
28.73 -112.564
28.731 -112.563
28.734 -112.556
28.733 -112.551
28.73 -112.545
28.725 -112.543
28.719 -112.544
28.711 -112.538
28.702 -112.542
28.695 -112.54
28.691 -112.544
28.687 -112.542
28.673 -112.55
28.673 -112.555
28.669 -112.564
28.669 -112.571
28.672 -112.593
28.668 -112.599
segment Mexico
28.712 -112.284
28.712 -112.287
28.717 -112.289
28.721 -112.295
28.723 -112.295
28.725 -112.289
28.73 -112.294
28.733 -112.295
28.733 -112.291
28.725 -112.284
28.72 -112.283
28.715 -112.279
28.712 -112.284
segment Mexico
28.686 -112.908
28.69 -112.914
28.692 -112.924
28.699 -112.933
28.702 -112.942
28.705 -112.945
28.716 -112.945
28.717 -112.943
28.715 -112.939
28.707 -112.935
28.705 -112.931
28.709 -112.926
28.704 -112.923
28.704 -112.913
28.698 -112.912
28.688 -112.907
28.686 -112.908
segment Mexico
28.682 -112.905
28.683 -112.893
28.677 -112.883
28.678 -112.868
28.67 -112.859
28.668 -112.856
28.667 -112.848
28.658 -112.84
28.657 -112.833
28.652 -112.83
28.648 -112.824
28.643 -112.813
28.629 -112.803
28.626 -112.797
28.626 -112.79
28.625 -112.789
28.624 -112.787
28.617 -112.784
28.615 -112.782
28.614 -112.776
28.603 -112.762
28.601 -112.755
28.599 -112.754
28.595 -112.755
28.583 -112.77
28.584 -112.781
28.58 -112.787
28.581 -112.789
28.582 -112.79
28.587 -112.786
28.592 -112.793
28.598 -112.794
28.61 -112.804
28.615 -112.809
28.617 -112.812
28.619 -112.817
28.626 -112.821
28.631 -112.835
28.644 -112.85
28.645 -112.854
28.644 -112.859
28.649 -112.863
28.649 -112.875
28.657 -112.876
28.663 -112.883
28.67 -112.886
28.673 -112.894
28.679 -112.898
28.682 -112.905
segment Mexico
28.365 -112.338
28.367 -112.339
28.373 -112.339
28.378 -112.335
28.378 -112.33
28.374 -112.327
28.371 -112.328
28.367 -112.332
28.365 -112.338
segment Mexico
27.956 -111.362
27.956 -111.365
27.962 -111.37
27.963 -111.375
27.965 -111.379
27.982 -111.385
27.987 -111.385
27.987 -111.381
27.978 -111.372
27.956 -111.362
segment Mexico
27.906 -114.154
27.907 -114.162
27.914 -114.172
27.916 -114.18
27.919 -114.182
27.932 -114.173
27.947 -114.167
27.947 -114.163
27.944 -114.16
27.931 -114.167
27.925 -114.164
27.915 -114.164
27.913 -114.16
27.917 -114.151
27.913 -114.149
27.906 -114.154
segment Mexico
27.896 -114.182
27.898 -114.186
27.911 -114.194
27.911 -114.19
27.907 -114.184
27.9 -114.18
27.896 -114.18
27.896 -114.182
segment Mexico
27.884 -110.847
27.886 -110.849
27.892 -110.847
27.896 -110.84
27.899 -110.841
27.901 -110.839
27.905 -110.832
27.903 -110.831
27.9 -110.832
27.884 -110.844
27.884 -110.847
segment Mexico
27.887 -114.176
27.9 -114.173
27.901 -114.172
27.899 -114.17
27.891 -114.17
27.888 -114.172
27.887 -114.176
segment Mexico
27.825 -114.234
27.829 -114.234
27.842 -114.224
27.843 -114.219
27.839 -114.218
27.832 -114.222
27.83 -114.227
27.827 -114.229
27.825 -114.234
segment Mexico
27.726 -114.152
27.728 -114.156
27.74 -114.165
27.747 -114.172
27.751 -114.18
27.767 -114.181
27.771 -114.179
27.77 -114.171
27.767 -114.164
27.757 -114.16
27.74 -114.158
27.728 -114.151
27.726 -114.152
segment Mexico
27.726 -114.187
27.734 -114.206
27.737 -114.211
27.743 -114.214
27.745 -114.216
27.745 -114.223
27.741 -114.225
27.741 -114.229
27.743 -114.239
27.746 -114.244
27.75 -114.245
27.754 -114.244
27.756 -114.241
27.756 -114.237
27.753 -114.231
27.752 -114.225
27.755 -114.224
27.763 -114.229
27.765 -114.228
27.766 -114.225
27.764 -114.22
27.757 -114.212
27.742 -114.202
27.733 -114.189
27.729 -114.186
27.726 -114.187
segment Mexico
27.703 -114.152
27.705 -114.164
27.711 -114.169
27.714 -114.169
27.714 -114.166
27.709 -114.152
27.705 -114.149
27.703 -114.152
segment Mexico
27.427 -111.968
27.427 -111.978
27.431 -111.988
27.44 -111.999
27.446 -112.001
27.449 -112
27.451 -111.996
27.452 -111.983
27.456 -111.976
27.455 -111.972
27.448 -111.968
27.438 -111.959
27.434 -111.957
27.429 -111.961
27.427 -111.968
segment Mexico
27.288 -110.528
27.289 -110.533
27.298 -110.544
27.3 -110.553
27.301 -110.569
27.308 -110.586
27.311 -110.59
27.327 -110.602
27.362 -110.604
27.373 -110.602
27.408 -110.595
27.412 -110.594
27.415 -110.591
27.415 -110.588
27.41 -110.588
27.392 -110.593
27.365 -110.599
27.357 -110.596
27.347 -110.581
27.344 -110.58
27.334 -110.576
27.332 -110.58
27.321 -110.584
27.306 -110.552
27.304 -110.528
27.288 -110.528
segment Mexico
27.179 -112.074
27.185 -112.083
27.188 -112.084
27.193 -112.083
27.201 -112.084
27.226 -112.094
27.235 -112.104
