segment Nicaragua
14.191 -83.259
14.153 -83.282
14.141 -83.287
14.134 -83.292
14.13 -83.297
14.121 -83.302
14.116 -83.303
14.099 -83.323
14.092 -83.329
14.088 -83.333
14.069 -83.348
14.058 -83.352
14.047 -83.358
14.044 -83.362
14.038 -83.366
14.033 -83.37
14.03 -83.376
14.016 -83.386
14.015 -83.388
14.016 -83.395
14.008 -83.406
13.998 -83.415
13.998 -83.416
13.983 -83.426
13.972 -83.429
13.967 -83.432
13.965 -83.438
13.958 -83.435
13.947 -83.439
13.928 -83.452
13.908 -83.455
13.886 -83.463
13.879 -83.463
13.875 -83.459
13.871 -83.459
13.852 -83.471
13.818 -83.486
13.787 -83.493
13.734 -83.505
13.689 -83.513
13.672 -83.512
13.662 -83.514
13.638 -83.519
13.578 -83.529
13.552 -83.53
13.555 -83.537
13.556 -83.544
13.553 -83.546
13.542 -83.53
13.537 -83.527
13.534 -83.528
13.528 -83.534
13.518 -83.536
13.488 -83.549
13.465 -83.552
13.469 -83.555
13.467 -83.562
13.46 -83.557
13.452 -83.56
13.437 -83.56
13.407 -83.563
13.4 -83.574
13.398 -83.566
13.395 -83.565
13.361 -83.568
13.336 -83.57
13.315 -83.574
13.298 -83.575
13.276 -83.576
13.235 -83.572
13.233 -83.573
13.22 -83.57
13.191 -83.568
13.19 -83.568
13.18 -83.566
13.153 -83.564
13.148 -83.564
13.144 -83.562
13.121 -83.56
13.102 -83.556
13.073 -83.554
13.047 -83.55
13.029 -83.546
13.002 -83.539
12.994 -83.537
12.96 -83.527
12.934 -83.524
12.914 -83.516
12.906 -83.518
12.902 -83.517
12.902 -83.51
12.895 -83.507
12.887 -83.509
12.862 -83.519
12.855 -83.52
12.731 -83.539
12.717 -83.542
12.671 -83.547
12.633 -83.551
12.616 -83.55
12.605 -83.549
12.572 -83.547
12.546 -83.54
12.521 -83.53
12.501 -83.525
12.492 -83.519
12.486 -83.513
12.478 -83.504
12.466 -83.496
12.459 -83.494
12.448 -83.491
12.428 -83.492
12.384 -83.497
12.377 -83.503
12.377 -83.508
12.377 -83.511
12.381 -83.528
12.384 -83.539
12.385 -83.558
12.38 -83.578
12.379 -83.582
12.375 -83.593
12.372 -83.608
12.361 -83.616
12.358 -83.62
12.358 -83.625
12.36 -83.63
12.356 -83.632
12.356 -83.63
12.343 -83.619
12.328 -83.628
12.311 -83.645
12.299 -83.651
12.278 -83.659
12.253 -83.671
12.25 -83.672
12.219 -83.683
12.199 -83.685
12.176 -83.684
12.174 -83.685
12.173 -83.689
12.169 -83.69
12.15 -83.69
12.131 -83.694
12.129 -83.694
12.098 -83.695
12.06 -83.688
12.045 -83.687
12.028 -83.69
12.018 -83.69
12.009 -83.687
12.007 -83.689
12.01 -83.692
11.997 -83.695
11.993 -83.706
11.992 -83.712
11.968 -83.727
11.958 -83.73
11.922 -83.734
11.889 -83.73
11.878 -83.725
11.873 -83.721
11.868 -83.717
11.864 -83.715
11.861 -83.716
11.856 -83.715
11.855 -83.711
11.846 -83.708
11.825 -83.704
11.814 -83.702
11.778 -83.689
11.765 -83.686
11.751 -83.679
11.742 -83.68
11.732 -83.677
11.712 -83.676
11.704 -83.675
11.683 -83.668
11.674 -83.664
11.658 -83.665
11.648 -83.662
11.644 -83.663
11.623 -83.657
11.62 -83.659
11.616 -83.654
11.615 -83.649
11.611 -83.649
11.607 -83.65
11.603 -83.648
11.597 -83.651
11.592 -83.651
11.59 -83.653
11.589 -83.654
11.595 -83.664
11.594 -83.671
11.601 -83.678
11.6 -83.684
11.597 -83.69
11.592 -83.695
11.583 -83.7
11.58 -83.707
11.561 -83.719
11.564 -83.728
11.561 -83.743
11.558 -83.747
11.559 -83.755
11.558 -83.757
11.544 -83.765
11.524 -83.771
11.511 -83.778
11.509 -83.779
11.509 -83.782
11.502 -83.783
11.493 -83.781
11.48 -83.784
11.472 -83.788
11.472 -83.793
11.463 -83.798
11.444 -83.804
11.439 -83.807
11.442 -83.811
11.441 -83.812
11.443 -83.822
11.441 -83.826
11.443 -83.83
11.442 -83.835
11.436 -83.836
11.426 -83.85
11.425 -83.85
11.414 -83.854
11.41 -83.857
11.409 -83.862
11.407 -83.863
11.4 -83.863
11.394 -83.865
11.388 -83.871
11.373 -83.874
11.322 -83.878
11.307 -83.877
11.295 -83.876
11.287 -83.878
11.281 -83.875
11.274 -83.874
11.24 -83.869
11.225 -83.864
11.207 -83.856
11.175 -83.85
11.164 -83.851
11.154 -83.847
11.145 -83.843
11.132 -83.838
11.071 -83.818
11.029 -83.798
11.027 -83.797
10.994 -83.775
10.958 -83.749
10.942 -83.734
10.938 -83.727
10.938 -83.718
10.939 -83.714
10.941 -83.71
10.94 -83.703
10.938 -83.694
10.936 -83.695
10.932 -83.694
10.916 -83.68
10.911 -83.677
10.896 -83.681
10.891 -83.676
10.885 -83.672
10.878 -83.671
10.859 -83.674
10.847 -83.674
10.825 -83.666
10.82 -83.665
10.81 -83.667
10.796 -83.677
10.794 -83.678
10.79 -83.686
10.787 -83.697
10.786 -83.704
10.789 -83.71
10.79 -83.713
10.789 -83.719
10.784 -83.726
10.783 -83.739
10.778 -83.749
10.769 -83.76
10.768 -83.765
10.767 -83.785
10.768 -83.793
10.766 -83.796
10.76 -83.8
10.758 -83.802
10.754 -83.804
10.749 -83.81
10.745 -83.815
10.746 -83.832
10.746 -83.836
10.743 -83.844
10.735 -83.847
10.73 -83.853
10.725 -83.861
10.718 -83.867
10.717 -83.876
10.72 -83.883
10.72 -83.893
10.721 -83.901
10.715 -83.908
10.71 -83.92
10.708 -83.928
10.708 -83.936
10.714 -83.941
10.718 -83.941
10.722 -83.943
10.725 -83.948
10.726 -83.96
10.729 -83.968
10.734 -83.973
10.743 -83.975
10.746 -83.977
10.75 -83.982
10.752 -83.989
10.754 -83.993
10.758 -83.996
10.764 -84.008
10.771 -84.011
10.775 -84.014
10.783 -84.019
10.786 -84.022
10.789 -84.025
10.79 -84.032
10.788 -84.036
10.782 -84.038
10.775 -84.039
10.779 -84.048
10.78 -84.052
10.779 -84.057
10.774 -84.061
10.765 -84.064
10.763 -84.07
10.764 -84.08
10.765 -84.082
10.773 -84.096
10.774 -84.103
10.774 -84.107
10.768 -84.118
10.77 -84.127
10.787 -84.133
10.789 -84.134
10.787 -84.139
10.785 -84.15
10.786 -84.163
10.784 -84.175
10.787 -84.185
10.787 -84.192
10.785 -84.196
10.779 -84.202
10.786 -84.207
10.794 -84.208
10.797 -84.213
10.799 -84.217
10.8 -84.224
10.802 -84.229
10.807 -84.231
10.809 -84.234
10.811 -84.239
10.817 -84.241
10.821 -84.226
10.824 -84.222
10.83 -84.223
10.837 -84.218
10.843 -84.219
10.851 -84.223
10.857 -84.22
10.864 -84.222
10.869 -84.227
10.872 -84.235
10.875 -84.244
10.882 -84.251
10.884 -84.256
10.886 -84.264
10.889 -84.277
10.889 -84.284
10.891 -84.288
10.897 -84.288
10.905 -84.295
10.909 -84.299
10.912 -84.306
10.913 -84.317
10.913 -84.327
10.918 -84.332
10.928 -84.335
10.94 -84.342
10.943 -84.346
10.947 -84.352
10.952 -84.352
10.957 -84.349
10.968 -84.345
10.973 -84.345
10.989 -84.354
10.993 -84.358
10.994 -84.361
10.993 -84.364
10.978 -84.379
10.973 -84.399
10.972 -84.401
10.971 -84.404
10.962 -84.412
10.957 -84.419
10.955 -84.426
10.955 -84.432
10.956 -84.44
10.964 -84.454
11.001 -84.488
11.009 -84.503
11.011 -84.507
11.023 -84.542
11.032 -84.562
11.038 -84.567
11.05 -84.572
11.038 -84.608
11.041 -84.612
11.079 -84.678
11.079 -84.681
11.054 -84.723
11.011 -84.795
10.989 -84.832
10.941 -84.914
10.954 -84.945
10.972 -84.989
10.976 -85
10.999 -85.064
11.042 -85.185
11.05 -85.207
11.071 -85.247
11.094 -85.298
11.095 -85.301
11.124 -85.358
11.124 -85.415
11.126 -85.421
11.163 -85.521
11.166 -85.526
11.176 -85.532
11.179 -85.534
11.201 -85.551
11.208 -85.559
11.21 -85.566
11.217 -85.61
11.217 -85.615
11.214 -85.619
11.201 -85.622
11.193 -85.626
11.188 -85.629
11.138 -85.661
11.129 -85.665
11.104 -85.682
11.074 -85.698
11.073 -85.708
11.075 -85.711
11.075 -85.713
11.083 -85.72
11.086 -85.725
11.087 -85.747
11.094 -85.751
11.095 -85.754
11.094 -85.76
11.095 -85.762
11.103 -85.768
11.103 -85.771
11.101 -85.773
11.105 -85.779
11.102 -85.781
11.111 -85.793
11.117 -85.794
11.124 -85.802
11.127 -85.803
11.132 -85.801
11.134 -85.8
11.14 -85.802
11.14 -85.804
11.143 -85.805
11.147 -85.804
11.156 -85.809
11.159 -85.809
11.163 -85.813
11.178 -85.821
11.2 -85.841
11.2 -85.846
11.208 -85.848
11.214 -85.852
11.215 -85.857
11.221 -85.861
11.227 -85.867
11.228 -85.872
11.234 -85.876
11.237 -85.878
11.237 -85.882
11.244 -85.883
11.245 -85.879
11.248 -85.877
11.251 -85.878
11.253 -85.883
11.252 -85.888
11.254 -85.892
11.258 -85.896
11.261 -85.895
11.262 -85.891
11.265 -85.892
11.264 -85.901
11.266 -85.906
11.269 -85.908
11.272 -85.907
11.277 -85.91
11.28 -85.908
11.287 -85.912
11.29 -85.919
11.295 -85.92
11.3 -85.925
11.301 -85.928
11.298 -85.93
11.302 -85.938
11.308 -85.938
11.309 -85.943
11.325 -85.956
11.331 -85.968
11.337 -85.975
11.339 -85.981
11.336 -85.985
11.342 -85.991
11.342 -85.994
11.338 -85.997
11.339 -85.999
11.346 -86
11.353 -86.007
11.357 -86.012
11.361 -86.013
11.364 -86.013
11.368 -86.017
11.368 -86.022
11.37 -86.024
11.369 -86.029
11.372 -86.035
11.378 -86.039
11.378 -86.042
11.383 -86.037
11.389 -86.039
11.401 -86.052
11.406 -86.063
11.408 -86.071
11.412 -86.075
11.422 -86.08
11.428 -86.086
11.436 -86.089
11.438 -86.093
11.445 -86.104
11.467 -86.132
11.468 -86.141
11.471 -86.146
11.472 -86.15
11.475 -86.155
11.476 -86.161
11.479 -86.164
11.492 -86.172
11.497 -86.172
11.506 -86.17
11.511 -86.172
11.517 -86.178
11.535 -86.2
11.543 -86.207
11.548 -86.212
11.549 -86.218
11.555 -86.225
11.564 -86.243
11.569 -86.25
11.576 -86.254
11.577 -86.255
11.587 -86.283
11.618 -86.337
11.626 -86.349
11.631 -86.35
11.634 -86.352
11.641 -86.361
11.665 -86.378
11.671 -86.384
11.674 -86.39
11.69 -86.405
11.699 -86.415
11.704 -86.423
11.706 -86.43
11.713 -86.437
11.716 -86.443
11.721 -86.448
11.744 -86.484
11.756 -86.496
11.775 -86.519
11.793 -86.522
11.804 -86.526
11.805 -86.527
11.819 -86.536
11.864 -86.574
11.871 -86.583
11.876 -86.587
11.897 -86.614
11.911 -86.62
11.925 -86.622
11.953 -86.638
11.975 -86.66
11.982 -86.667
11.987 -86.667
11.989 -86.674
11.993 -86.679
12.017 -86.69
12.038 -86.703
12.051 -86.709
12.089 -86.735
12.091 -86.736
12.094 -86.737
12.1 -86.735
12.111 -86.744
12.115 -86.745
12.12 -86.743
12.129 -86.748
12.136 -86.75
12.139 -86.756
12.143 -86.758
12.153 -86.758
12.164 -86.762
12.175 -86.77
12.176 -86.765
12.194 -86.772
12.196 -86.777
12.195 -86.779
12.202 -86.786
12.213 -86.808
12.229 -86.828
12.241 -86.847
12.252 -86.869
12.263 -86.883
12.282 -86.915
12.298 -86.941
12.325 -86.981
12.34 -87.001
12.347 -87.016
12.35 -87.019
12.353 -87.018
12.356 -87.025
12.372 -87.046
12.379 -87.054
12.402 -87.092
12.422 -87.12
12.423 -87.121
12.442 -87.16
12.444 -87.164
12.452 -87.177
12.455 -87.18
12.46 -87.172
12.455 -87.162
12.45 -87.164
12.448 -87.161
12.44 -87.148
12.439 -87.143
12.429 -87.121
12.429 -87.115
12.423 -87.105
12.425 -87.102
12.424 -87.099
12.417 -87.092
12.419 -87.09
12.427 -87.095
12.445 -87.117
12.448 -87.118
12.452 -87.116
12.456 -87.119
12.455 -87.123
12.45 -87.132
12.457 -87.146
12.461 -87.147
12.464 -87.145
12.466 -87.141
12.464 -87.131
12.465 -87.127
12.468 -87.125
12.47 -87.137
12.47 -87.148
12.478 -87.156
12.481 -87.156
12.481 -87.132
12.483 -87.129
12.489 -87.135
12.492 -87.136
12.493 -87.14
12.489 -87.142
12.486 -87.16
12.489 -87.161
12.493 -87.158
12.496 -87.151
12.5 -87.149
12.5 -87.155
12.504 -87.158
12.507 -87.158
12.511 -87.162
12.517 -87.163
12.517 -87.167
12.514 -87.169
12.509 -87.166
12.502 -87.168
12.503 -87.173
12.51 -87.186
12.512 -87.187
12.524 -87.196
12.531 -87.21
12.544 -87.22
12.545 -87.223
12.547 -87.225
12.547 -87.23
12.546 -87.232
12.543 -87.23
12.54 -87.224
12.526 -87.214
12.522 -87.209
12.521 -87.204
12.517 -87.198
12.501 -87.183
12.496 -87.172
12.488 -87.169
12.482 -87.168
12.473 -87.171
12.471 -87.172
12.47 -87.174
12.473 -87.179
12.488 -87.189
12.506 -87.205
12.528 -87.221
12.535 -87.231
12.544 -87.242
12.552 -87.239
12.554 -87.242
12.55 -87.246
12.558 -87.26
12.569 -87.281
12.575 -87.287
12.578 -87.288
12.579 -87.286
12.573 -87.277
12.575 -87.274
12.578 -87.273
12.585 -87.276
12.589 -87.286
12.586 -87.29
12.594 -87.297
12.602 -87.308
12.602 -87.314
12.597 -87.307
12.584 -87.297
12.581 -87.297
12.581 -87.298
12.586 -87.306
12.594 -87.312
12.601 -87.321
12.605 -87.335
12.61 -87.338
12.612 -87.334
12.614 -87.334
12.615 -87.332
12.611 -87.325
12.608 -87.314
12.619 -87.317
12.618 -87.32
12.618 -87.322
12.619 -87.328
12.626 -87.329
12.627 -87.326
12.626 -87.316
12.626 -87.313
12.629 -87.311
12.629 -87.306
12.637 -87.308
12.632 -87.314
12.634 -87.316
12.646 -87.315
12.647 -87.312
12.646 -87.308
12.65 -87.307
12.653 -87.319
12.652 -87.322
12.639 -87.321
12.636 -87.323
12.636 -87.326
12.643 -87.333
12.639 -87.336
12.635 -87.331
12.63 -87.328
12.628 -87.334
12.62 -87.341
12.612 -87.342
12.621 -87.352
12.625 -87.363
12.642 -87.37
12.65 -87.375
12.676 -87.395
12.687 -87.403
12.695 -87.415
12.717 -87.436
12.73 -87.444
12.749 -87.466
12.757 -87.48
12.759 -87.481
12.76 -87.479
12.76 -87.474
12.76 -87.465
12.757 -87.462
12.754 -87.464
12.751 -87.459
12.746 -87.458
12.744 -87.448
12.747 -87.445
12.742 -87.431
12.745 -87.429
12.749 -87.435
12.752 -87.444
12.753 -87.445
12.756 -87.443
12.758 -87.444
12.762 -87.449
12.759 -87.452
12.763 -87.459
12.766 -87.459
12.772 -87.456
12.777 -87.451
12.779 -87.445
12.781 -87.443
12.783 -87.441
12.785 -87.444
12.784 -87.45
12.781 -87.455
12.771 -87.463
12.772 -87.466
12.786 -87.474
12.791 -87.481
12.792 -87.481
12.795 -87.475
12.797 -87.476
12.803 -87.485
12.796 -87.485
12.792 -87.487
12.793 -87.493
12.795 -87.496
12.804 -87.502
12.813 -87.506
12.818 -87.502
12.821 -87.508
12.822 -87.509
12.829 -87.502
12.837 -87.5
12.841 -87.501
12.847 -87.504
12.845 -87.506
12.852 -87.513
12.852 -87.516
12.845 -87.516
12.845 -87.526
12.843 -87.527
12.84 -87.525
12.836 -87.527
12.83 -87.52
12.821 -87.514
12.812 -87.51
12.808 -87.51
12.806 -87.512
12.807 -87.516
12.82 -87.522
12.821 -87.522
12.823 -87.528
12.828 -87.534
12.836 -87.541
12.837 -87.547
12.834 -87.548
12.834 -87.547
12.825 -87.539
12.819 -87.529
12.816 -87.527
12.81 -87.526
12.807 -87.525
12.803 -87.521
12.797 -87.51
12.775 -87.488
12.769 -87.483
12.763 -87.484
12.763 -87.486
12.78 -87.502
12.794 -87.521
12.8 -87.531
12.803 -87.537
12.814 -87.552
12.842 -87.604
12.856 -87.621
12.866 -87.64
12.87 -87.648
12.904 -87.687
12.911 -87.69
12.921 -87.69
12.922 -87.687
12.924 -87.686
12.931 -87.688
12.939 -87.686
12.961 -87.677
12.963 -87.674
12.963 -87.673
12.97 -87.67
12.973 -87.666
12.987 -87.661
12.989 -87.655
12.992 -87.652
12.995 -87.638
13.001 -87.628
13.018 -87.609
13.04 -87.597
13.052 -87.594
13.058 -87.592
13.069 -87.588
13.079 -87.583
13.083 -87.577
13.079 -87.574
13.071 -87.576
13.069 -87.581
13.066 -87.582
13.06 -87.582
13.05 -87.588
13.047 -87.587
13.047 -87.583
13.05 -87.581
13.051 -87.573
13.048 -87.556
13.039 -87.544
13.02 -87.516
12.989 -87.486
12.979 -87.483
12.966 -87.474
12.966 -87.481
12.969 -87.485
12.966 -87.488
12.958 -87.49
12.957 -87.49
12.955 -87.49
12.949 -87.484
12.941 -87.479
12.939 -87.476
12.931 -87.469
12.929 -87.455
12.917 -87.43
12.916 -87.416
12.911 -87.405
12.934 -87.384
12.936 -87.385
12.941 -87.382
12.945 -87.375
12.959 -87.34
12.963 -87.329
12.966 -87.321
12.974 -87.315
12.975 -87.311
12.967 -87.298
12.966 -87.297
12.967 -87.291
12.964 -87.286
12.964 -87.279
12.965 -87.274
12.966 -87.273
12.962 -87.262
12.964 -87.259
12.969 -87.265
12.971 -87.277
12.969 -87.284
12.97 -87.288
12.982 -87.315
12.993 -87.18
12.998 -87.123
12.999 -87.085
12.997 -87.063
12.988 -87.055
12.986 -87.054
12.985 -87.049
12.987 -87.031
12.989 -87.028
13.005 -87.024
13.006 -87.022
13.003 -87.012
13.004 -87.008
13.016 -86.994
13.018 -86.991
13.015 -86.982
13.016 -86.977
13.018 -86.979
13.02 -86.978
13.026 -86.968
13.03 -86.966
13.031 -86.96
13.032 -86.959
13.051 -86.956
13.059 -86.953
13.064 -86.948
13.072 -86.937
13.079 -86.928
13.089 -86.918
13.092 -86.918
13.102 -86.926
13.112 -86.927
13.121 -86.933
13.125 -86.931
13.129 -86.926
13.134 -86.923
13.142 -86.926
13.145 -86.922
13.146 -86.917
13.15 -86.918
13.162 -86.926
13.171 -86.929
13.173 -86.929
13.182 -86.929
13.203 -86.916
13.204 -86.916
13.209 -86.915
13.215 -86.916
13.222 -86.911
13.237 -86.908
13.246 -86.905
13.254 -86.909
13.256 -86.908
13.263 -86.899
13.275 -86.877
13.289 -86.871
13.294 -86.865
13.296 -86.86
13.3 -86.84
13.305 -86.829
13.306 -86.819
13.294 -86.796
13.275 -86.771
13.269 -86.762
13.267 -86.756
13.267 -86.75
13.271 -86.741
13.281 -86.728
13.295 -86.707
13.3 -86.705
13.308 -86.703
13.325 -86.703
13.347 -86.706
13.369 -86.71
13.372 -86.713
13.377 -86.731
13.38 -86.736
13.393 -86.743
13.403 -86.74
13.414 -86.729
13.425 -86.722
13.434 -86.722
13.447 -86.724
13.452 -86.725
13.478 -86.737
13.5 -86.739
13.551 -86.746
13.563 -86.751
13.566 -86.757
13.57 -86.767
13.573 -86.768
13.584 -86.767
13.636 -86.751
13.639 -86.753
13.642 -86.756
13.647 -86.766
13.651 -86.779
13.653 -86.783
13.657 -86.785
13.663 -86.785
13.665 -86.785
13.669 -86.784
13.694 -86.77
13.715 -86.763
13.721 -86.762
13.75 -86.768
13.754 -86.768
13.765 -86.764
13.773 -86.763
13.775 -86.757
13.774 -86.753
13.773 -86.749
13.774 -86.742
13.785 -86.724
13.787 -86.715
13.783 -86.667
13.778 -86.654
13.779 -86.642
13.783 -86.632
13.783 -86.629
13.781 -86.611
13.782 -86.605
13.789 -86.577
13.792 -86.57
13.799 -86.565
13.801 -86.561
13.801 -86.551
13.8 -86.54
13.798 -86.534
13.781 -86.523
13.776 -86.516
13.769 -86.499
13.768 -86.491
13.771 -86.474
13.775 -86.464
13.783 -86.451
13.782 -86.448
13.779 -86.445
13.762 -86.439
13.76 -86.436
13.759 -86.433
13.762 -86.419
13.76 -86.408
13.759 -86.394
13.761 -86.387
13.77 -86.376
13.769 -86.372
13.763 -86.368
13.761 -86.365
13.76 -86.352
13.762 -86.346
13.773 -86.329
13.781 -86.321
13.801 -86.313
13.805 -86.309
13.814 -86.301
13.827 -86.298
13.842 -86.303
13.845 -86.3
13.848 -86.298
13.853 -86.283
13.855 -86.28
13.869 -86.276
13.884 -86.252
13.899 -86.244
13.902 -86.242
13.911 -86.23
13.927 -86.222
13.93 -86.219
13.938 -86.202
13.95 -86.195
13.955 -86.186
13.961 -86.186
13.973 -86.19
13.979 -86.188
13.982 -86.186
13.983 -86.172
13.983 -86.17
13.986 -86.159
13.988 -86.155
13.995 -86.149
13.998 -86.14
14.001 -86.137
14.004 -86.136
14.008 -86.136
14.013 -86.142
14.015 -86.147
14.021 -86.152
14.032 -86.15
14.039 -86.139
14.044 -86.122
14.055 -86.108
14.059 -86.103
14.064 -86.092
14.065 -86.072
14.069 -86.064
14.068 -86.048
14.069 -86.034
14.076 -86.018
14.077 -86.012
14.075 -86.009
14.071 -86.007
14.059 -86.005
14.053 -86.007
14.044 -86.009
14.023 -86.021
14.008 -86.023
14 -86.022
13.99 -86.015
13.954 -85.968
13.939 -85.948
13.921 -85.928
13.908 -85.92
13.904 -85.91
13.9 -85.901
13.904 -85.896
13.908 -85.894
13.914 -85.895
13.922 -85.888
13.922 -85.883
13.919 -85.875
13.919 -85.864
13.913 -85.851
13.903 -85.844
13.877 -85.844
13.867 -85.833
13.854 -85.828
13.852 -85.822
13.843 -85.818
13.84 -85.811
13.839 -85.791
13.844 -85.777
13.845 -85.771
13.842 -85.763
13.837 -85.758
13.832 -85.755
13.835 -85.749
13.84 -85.744
13.854 -85.739
13.862 -85.74
13.867 -85.743
13.873 -85.75
13.879 -85.764
13.882 -85.765
13.895 -85.761
13.913 -85.758
13.945 -85.76
13.958 -85.759
13.965 -85.754
13.966 -85.741
13.97 -85.733
13.984 -85.72
13.988 -85.713
13.988 -85.706
13.986 -85.699
13.978 -85.682
13.984 -85.674
13.99 -85.668
13.995 -85.665
14.011 -85.664
14.013 -85.662
14.015 -85.653
14.012 -85.636
14.011 -85.632
14.021 -85.622
14.023 -85.613
14.025 -85.608
14.037 -85.598
14.041 -85.597
14.043 -85.595
14.042 -85.588
14.046 -85.582
14.062 -85.576
14.065 -85.561
14.062 -85.56
14.056 -85.563
14.052 -85.562
