segment Belize
17.501 -87.836
17.504 -87.84
17.51 -87.842
17.516 -87.841
17.521 -87.837
17.539 -87.83
17.544 -87.827
17.545 -87.823
17.54 -87.816
17.536 -87.803
17.533 -87.793
17.53 -87.788
17.518 -87.783
17.516 -87.778
17.507 -87.777
17.485 -87.793
17.474 -87.797
17.442 -87.813
17.433 -87.815
17.426 -87.817
17.406 -87.838
17.404 -87.844
17.404 -87.847
17.42 -87.863
17.418 -87.87
17.413 -87.874
17.407 -87.873
17.402 -87.875
17.403 -87.891
17.399 -87.897
17.387 -87.903
17.384 -87.904
17.375 -87.907
17.367 -87.906
17.35 -87.903
17.344 -87.903
17.317 -87.912
17.305 -87.924
17.3 -87.926
17.283 -87.927
17.274 -87.921
17.27 -87.924
segment Belize
17.531 -87.771
17.533 -87.778
17.539 -87.781
17.542 -87.78
17.543 -87.775
17.541 -87.773
17.533 -87.769
17.531 -87.771
segment Belize
17.531 -88.173
17.532 -88.178
17.533 -88.179
17.536 -88.179
17.541 -88.174
17.54 -88.171
17.536 -88.169
17.533 -88.17
17.531 -88.173
segment Belize
17.502 -88.138
17.503 -88.142
17.508 -88.147
17.516 -88.151
17.519 -88.15
17.52 -88.148
17.519 -88.141
17.507 -88.135
17.503 -88.137
17.502 -88.138
segment Belize
17.503 -88.085
17.503 -88.09
17.507 -88.091
17.511 -88.089
17.516 -88.075
17.513 -88.073
17.51 -88.075
17.503 -88.085
segment Belize
17.493 -88.082
17.497 -88.083
17.5 -88.082
17.503 -88.078
17.504 -88.071
17.5 -88.067
17.495 -88.062
17.492 -88.061
17.487 -88.06
17.481 -88.065
17.476 -88.066
17.467 -88.066
17.459 -88.071
17.459 -88.074
17.462 -88.076
17.464 -88.079
17.473 -88.081
17.483 -88.082
17.493 -88.082
segment Belize
17.465 -88.038
17.467 -88.04
17.488 -88.045
17.494 -88.043
17.495 -88.039
17.488 -88.036
17.471 -88.034
17.465 -88.036
17.465 -88.038
segment Belize
17.442 -87.473
17.447 -87.481
17.448 -87.49
17.454 -87.496
17.458 -87.495
17.464 -87.486
17.464 -87.482
17.459 -87.476
17.445 -87.468
17.442 -87.47
17.442 -87.473
segment Belize
17.398 -88.071
17.4 -88.074
17.411 -88.065
17.411 -88.06
17.408 -88.058
17.404 -88.061
17.4 -88.066
17.398 -88.071
segment Belize
17.286 -87.828
17.29 -87.829
17.299 -87.827
17.309 -87.827
17.314 -87.828
17.325 -87.826
17.333 -87.829
17.339 -87.827
17.344 -87.821
17.349 -87.82
17.379 -87.827
17.38 -87.835
17.383 -87.837
17.388 -87.836
17.395 -87.831
17.395 -87.828
17.392 -87.822
17.378 -87.816
17.377 -87.815
17.351 -87.811
17.328 -87.797
17.318 -87.796
17.286 -87.807
17.288 -87.81
17.295 -87.812
17.294 -87.817
17.286 -87.823
17.286 -87.828
segment Belize
17.365 -88.054
17.368 -88.06
17.375 -88.065
17.379 -88.064
17.38 -88.058
17.378 -88.056
17.369 -88.053
17.365 -88.054
segment Belize
17.307 -87.872
17.307 -87.875
17.31 -87.877
17.313 -87.876
17.316 -87.871
17.315 -87.868
17.313 -87.866
17.31 -87.868
17.307 -87.872
segment Belize
17.276 -87.909
17.283 -87.91
17.288 -87.907
17.288 -87.904
17.284 -87.902
17.279 -87.904
17.276 -87.906
17.276 -87.909
segment Belize
17.255 -88.088
17.266 -88.091
17.275 -88.091
17.279 -88.088
17.281 -88.083
17.278 -88.079
17.27 -88.077
17.258 -88.083
17.255 -88.088
segment Belize
17.265 -87.838
17.255 -87.841
17.249 -87.845
17.246 -87.854
17.246 -87.857
17.26 -87.861
17.262 -87.86
17.263 -87.857
17.259 -87.854
17.261 -87.853
17.265 -87.852
17.27 -87.853
17.273 -87.85
