segment Honduras
16.436 -86.334
16.435 -86.324
16.435 -86.323
16.437 -86.297
16.436 -86.287
16.427 -86.269
16.426 -86.261
16.431 -86.236
16.427 -86.226
16.428 -86.212
16.426 -86.21
16.424 -86.211
16.419 -86.221
segment Honduras
16.419 -85.905
16.422 -85.906
16.426 -85.903
16.43 -85.897
16.429 -85.894
16.426 -85.894
16.42 -85.901
16.419 -85.905
segment Honduras
16 -85.906
15.99 -85.819
15.99 -85.813
15.987 -85.797
15.985 -85.789
15.981 -85.784
15.98 -85.784
15.982 -85.782
15.981 -85.781
15.975 -85.753
15.972 -85.748
15.972 -85.743
15.969 -85.734
15.966 -85.732
15.962 -85.727
15.964 -85.726
15.964 -85.715
15.957 -85.7
15.951 -85.693
15.948 -85.685
15.949 -85.683
15.942 -85.674
15.914 -85.636
15.909 -85.625
15.889 -85.586
15.882 -85.569
15.883 -85.563
15.866 -85.516
15.865 -85.505
15.86 -85.455
15.863 -85.443
15.866 -85.437
15.872 -85.431
15.874 -85.414
15.878 -85.404
15.88 -85.38
15.88 -85.37
15.878 -85.357
15.876 -85.315
15.884 -85.25
15.884 -85.248
15.889 -85.235
15.899 -85.203
15.91 -85.177
15.926 -85.153
15.941 -85.136
15.955 -85.121
15.969 -85.097
15.984 -85.064
15.988 -85.05
15.99 -85.038
15.988 -85.02
15.987 -85.015
15.983 -85
15.981 -84.99
15.964 -84.944
15.958 -84.931
15.956 -84.929
15.954 -84.929
15.955 -84.936
15.963 -84.96
15.964 -84.963
15.963 -84.966
15.961 -84.965
15.954 -84.95
15.949 -84.952
15.941 -84.96
15.939 -84.959
15.938 -84.956
15.943 -84.95
15.943 -84.947
15.939 -84.942
15.942 -84.941
15.948 -84.945
15.951 -84.944
15.952 -84.94
15.948 -84.929
15.948 -84.925
15.951 -84.923
15.951 -84.917
15.944 -84.907
15.941 -84.899
15.937 -84.89
15.925 -84.858
15.913 -84.83
15.91 -84.811
15.896 -84.768
15.891 -84.751
15.881 -84.725
15.878 -84.705
15.872 -84.692
15.868 -84.678
15.867 -84.665
15.864 -84.655
15.861 -84.65
15.859 -84.65
15.858 -84.644
15.858 -84.627
15.855 -84.621
15.846 -84.58
15.84 -84.55
15.835 -84.523
15.834 -84.512
15.829 -84.497
15.826 -84.466
15.823 -84.456
15.822 -84.438
15.819 -84.422
15.818 -84.416
15.815 -84.328
15.815 -84.304
15.808 -84.294
15.8 -84.282
15.764 -84.247
15.747 -84.228
15.732 -84.207
15.723 -84.198
15.711 -84.186
15.697 -84.166
15.692 -84.162
15.687 -84.159
15.686 -84.155
15.672 -84.135
15.663 -84.126
15.657 -84.115
15.609 -84.063
15.608 -84.06
15.607 -84.06
15.58 -84.033
15.561 -84.009
15.55 -83.998
15.547 -83.99
15.523 -83.964
15.509 -83.947
15.499 -83.934
15.463 -83.891
15.455 -83.879
15.45 -83.873
15.447 -83.866
15.444 -83.863
15.432 -83.848
15.423 -83.829
15.409 -83.789
15.403 -83.777
15.401 -83.767
15.395 -83.758
15.393 -83.745
15.391 -83.734
15.389 -83.732
15.389 -83.722
15.391 -83.721
15.391 -83.718
15.383 -83.709
15.364 -83.679
15.328 -83.612
15.324 -83.606
15.292 -83.495
15.289 -83.488
15.267 -83.423
15.255 -83.399
15.249 -83.393
15.245 -83.388
15.244 -83.386
15.201 -83.356
15.195 -83.355
15.146 -83.343
15.134 -83.336
15.123 -83.333
15.11 -83.324
15.081 -83.303
15.075 -83.297
15.061 -83.282
15.03 -83.234
15.022 -83.217
15.015 -83.194
15.012 -83.185
15.005 -83.167
15 -83.158
14.999 -83.156
14.996 -83.155
14.996 -83.156
14.992 -83.158
14.99 -83.172
14.993 -83.2
14.993 -83.209
14.984 -83.226
14.981 -83.237
14.984 -83.253
14.984 -83.274
14.982 -83.277
14.981 -83.277
14.974 -83.28
14.974 -83.284
14.978 -83.292
14.98 -83.293
14.983 -83.291
14.991 -83.279
14.997 -83.278
14.999 -83.281
14.999 -83.287
14.995 -83.298
14.995 -83.303
15 -83.315
15.001 -83.317
15.008 -83.331
15.011 -83.345
15.01 -83.348
15 -83.349
14.997 -83.35
14.996 -83.356
15 -83.36
15.006 -83.362
15.01 -83.367
15.015 -83.377
15.015 -83.389
15.025 -83.397
15.026 -83.405
15.021 -83.407
15.007 -83.406
15.003 -83.409
15 -83.413
14.998 -83.416
14.994 -83.42
14.989 -83.425
14.987 -83.428
14.989 -83.434
14.988 -83.44
14.984 -83.447
14.978 -83.456
14.975 -83.468
14.985 -83.48
14.987 -83.484
14.993 -83.482
15 -83.484
15 -83.485
15.004 -83.492
15.003 -83.498
15 -83.504
14.999 -83.507
14.991 -83.514
14.98 -83.518
14.987 -83.525
14.99 -83.529
14.986 -83.532
14.976 -83.53
14.967 -83.526
14.966 -83.53
14.972 -83.535
14.974 -83.542
14.967 -83.545
14.962 -83.545
14.952 -83.542
14.944 -83.535
14.942 -83.538
14.949 -83.55
14.947 -83.553
14.942 -83.551
14.935 -83.545
14.931 -83.547
14.934 -83.559
14.931 -83.563
14.926 -83.565
14.919 -83.565
14.91 -83.564
14.905 -83.565
14.905 -83.569
14.909 -83.575
14.909 -83.579
14.904 -83.584
14.905 -83.587
14.909 -83.592
14.91 -83.598
14.908 -83.602
14.905 -83.603
14.902 -83.602
14.899 -83.598
14.896 -83.599
14.892 -83.61
14.89 -83.619
14.886 -83.619
14.88 -83.615
14.876 -83.617
14.867 -83.625
14.857 -83.622
14.855 -83.625
14.86 -83.631
14.869 -83.63
14.873 -83.634
14.873 -83.641
14.875 -83.647
14.875 -83.654
14.871 -83.659
14.871 -83.671
14.868 -83.679
14.864 -83.684
14.861 -83.69
14.867 -83.697
14.866 -83.701
14.859 -83.701
14.853 -83.7
14.849 -83.706
14.848 -83.714
14.843 -83.718
14.842 -83.716
14.841 -83.714
14.84 -83.706
14.838 -83.703
14.831 -83.706
14.826 -83.705
14.826 -83.711
14.83 -83.715
14.832 -83.72
14.83 -83.728
14.831 -83.739
14.83 -83.742
14.826 -83.741
14.823 -83.737
14.818 -83.735
14.816 -83.736
14.815 -83.74
14.823 -83.752
14.823 -83.757
14.816 -83.763
14.807 -83.761
14.802 -83.763
14.804 -83.774
14.81 -83.781
14.815 -83.785
14.812 -83.788
14.802 -83.788
14.799 -83.792
14.798 -83.795
14.803 -83.808
14.806 -83.815
14.804 -83.82
14.801 -83.818
14.792 -83.801
14.787 -83.796
14.785 -83.799
14.786 -83.807
14.787 -83.817
14.786 -83.825
14.785 -83.828
14.784 -83.836
14.773 -83.845
14.767 -83.851
14.768 -83.863
14.762 -83.877
14.763 -83.879
14.772 -83.88
14.776 -83.881
14.778 -83.882
14.781 -83.886
14.78 -83.889
14.767 -83.892
14.762 -83.89
14.759 -83.899
14.761 -83.902
14.772 -83.918
14.771 -83.92
14.768 -83.924
14.768 -83.936
14.765 -83.939
14.747 -83.93
14.743 -83.932
14.743 -83.94
14.748 -83.946
14.75 -83.95
14.751 -83.955
14.749 -83.96
14.741 -83.975
14.74 -83.98
14.742 -83.989
14.749 -84.003
14.749 -84.007
14.746 -84.013
14.742 -84.02
14.738 -84.027
14.74 -84.034
14.741 -84.041
14.743 -84.044
14.748 -84.046
14.753 -84.047
14.76 -84.046
14.764 -84.048
14.765 -84.052
14.76 -84.061
14.757 -84.065
14.752 -84.078
14.753 -84.082
14.756 -84.085
14.767 -84.086
14.771 -84.086
14.778 -84.085
14.782 -84.087
14.783 -84.092
14.785 -84.099
14.784 -84.108
14.784 -84.114
14.778 -84.118
14.77 -84.118
14.76 -84.115
14.743 -84.107
14.738 -84.099
14.734 -84.1
14.728 -84.1
14.722 -84.099
14.721 -84.102
14.724 -84.111
14.726 -84.124
14.726 -84.129
14.721 -84.14
14.714 -84.146
14.712 -84.154
14.709 -84.17
14.708 -84.18
14.709 -84.19
14.712 -84.197
14.716 -84.206
14.724 -84.214
14.727 -84.219
14.729 -84.225
14.731 -84.229
14.742 -84.223
14.748 -84.222
14.752 -84.226
14.753 -84.229
14.755 -84.234
14.754 -84.239
14.746 -84.252
14.738 -84.264
14.732 -84.268
14.724 -84.269
14.719 -84.269
14.707 -84.264
14.698 -84.259
14.693 -84.259
14.685 -84.263
14.682 -84.262
14.675 -84.254
14.67 -84.257
14.661 -84.271
14.655 -84.279
14.658 -84.289
14.66 -84.296
14.664 -84.3
14.668 -84.301
14.677 -84.303
14.682 -84.309
14.679 -84.317
14.673 -84.321
14.671 -84.327
14.672 -84.341
14.676 -84.348
14.679 -84.351
14.686 -84.351
14.694 -84.348
14.702 -84.343
14.704 -84.354
14.712 -84.365
14.709 -84.368
14.702 -84.368
14.697 -84.371
14.691 -84.377
14.677 -84.383
14.672 -84.388
14.654 -84.408
14.643 -84.41
14.638 -84.422
14.632 -84.433
14.63 -84.458
14.625 -84.462
14.616 -84.466
14.615 -84.469
14.621 -84.498
14.623 -84.501
14.624 -84.502
14.627 -84.506
14.633 -84.507
14.634 -84.511
14.632 -84.516
14.63 -84.521
14.631 -84.527
14.63 -84.529
14.629 -84.534
14.633 -84.536
14.637 -84.538
14.642 -84.537
14.643 -84.533
14.644 -84.528
14.647 -84.525
14.65 -84.523
14.654 -84.525
14.654 -84.53
14.654 -84.535
14.651 -84.542
14.651 -84.55
14.651 -84.554
14.646 -84.56
14.65 -84.565
14.653 -84.569
14.652 -84.574
14.65 -84.579
14.65 -84.582
14.658 -84.59
14.655 -84.599
14.656 -84.605
14.659 -84.61
14.661 -84.615
14.66 -84.628
14.662 -84.633
14.668 -84.634
14.672 -84.637
14.673 -84.643
14.67 -84.649
14.668 -84.654
14.668 -84.66
14.67 -84.665
14.674 -84.671
14.677 -84.674
14.68 -84.676
14.685 -84.675
14.687 -84.681
14.671 -84.689
14.661 -84.696
14.66 -84.699
14.662 -84.705
14.665 -84.706
14.671 -84.706
14.678 -84.709
14.683 -84.711
14.689 -84.712
14.691 -84.723
14.696 -84.729
14.706 -84.74
14.712 -84.747
14.726 -84.751
14.732 -84.749
14.737 -84.746
14.74 -84.746
14.745 -84.749
14.74 -84.757
14.739 -84.761
14.74 -84.766
14.747 -84.771
14.751 -84.769
14.753 -84.765
14.751 -84.756
14.757 -84.752
14.762 -84.753
14.766 -84.755
14.771 -84.764
14.778 -84.773
14.784 -84.782
14.794 -84.789
14.809 -84.793
14.811 -84.798
14.818 -84.803
14.818 -84.81
14.823 -84.82
14.821 -84.828
14.821 -84.831
14.82 -84.839
14.808 -84.858
14.807 -84.86
14.807 -84.868
14.81 -84.881
14.808 -84.887
14.809 -84.899
14.808 -84.903
14.797 -84.912
14.786 -84.916
14.772 -84.926
14.768 -84.928
14.761 -84.927
14.758 -84.929
14.754 -84.94
14.753 -84.952
14.751 -84.962
14.745 -84.968
14.743 -84.971
14.737 -84.977
14.735 -84.988
14.722 -84.998
14.721 -85
14.714 -85.012
14.707 -85.017
14.698 -85.028
14.693 -85.03
14.689 -85.029
14.687 -85.024
14.684 -85.023
14.669 -85.032
14.67 -85.043
14.665 -85.05
14.66 -85.052
14.652 -85.049
14.648 -85.046
14.64 -85.031
14.636 -85.028
14.631 -85.026
14.624 -85.029
14.615 -85.04
14.611 -85.042
14.607 -85.04
14.606 -85.027
14.602 -85.025
14.591 -85.033
14.572 -85.045
14.565 -85.06
14.557 -85.066
14.554 -85.069
14.556 -85.076
14.555 -85.081
14.549 -85.09
14.55 -85.095
14.558 -85.103
14.574 -85.114
14.577 -85.123
14.58 -85.127
14.58 -85.128
14.58 -85.13
14.571 -85.138
14.57 -85.149
14.567 -85.151
14.562 -85.148
14.548 -85.141
14.538 -85.144
14.528 -85.139
14.517 -85.138
14.513 -85.139
14.506 -85.145
14.489 -85.151
14.483 -85.156
14.469 -85.172
14.461 -85.178
14.439 -85.185
14.429 -85.188
14.424 -85.193
14.419 -85.195
14.409 -85.198
14.402 -85.203
14.39 -85.207
14.389 -85.207
14.379 -85.214
14.372 -85.223
14.367 -85.225
14.363 -85.224
14.359 -85.22
14.359 -85.21
14.356 -85.204
14.353 -85.202
14.341 -85.202
14.336 -85.201
14.333 -85.199
14.331 -85.194
14.325 -85.19
14.328 -85.183
14.328 -85.181
14.322 -85.18
14.313 -85.18
14.306 -85.178
14.303 -85.176
14.301 -85.164
14.298 -85.16
14.293 -85.158
14.267 -85.175
14.251 -85.184
14.248 -85.187
14.248 -85.192
14.257 -85.197
14.253 -85.21
14.257 -85.222
14.253 -85.229
14.253 -85.232
14.257 -85.242
14.258 -85.247
14.257 -85.278
14.255 -85.286
14.249 -85.293
14.249 -85.297
14.255 -85.307
14.255 -85.317
14.251 -85.325
14.247 -85.328
14.245 -85.339
14.241 -85.34
14.238 -85.341
14.232 -85.341
14.225 -85.349
14.218 -85.352
14.214 -85.357
14.213 -85.364
14.215 -85.368
14.221 -85.371
14.225 -85.371
14.224 -85.374
14.223 -85.38
14.217 -85.382
14.211 -85.375
14.209 -85.375
14.203 -85.377
14.195 -85.376
14.189 -85.381
14.18 -85.378
14.176 -85.379
14.171 -85.385
14.156 -85.4
14.141 -85.396
14.136 -85.397
14.132 -85.403
14.129 -85.405
14.125 -85.405
14.124 -85.408
14.121 -85.415
14.115 -85.418
14.115 -85.425
14.106 -85.428
14.107 -85.437
14.104 -85.443
14.113 -85.451
14.112 -85.456
14.105 -85.458
14.104 -85.465
14.101 -85.467
14.092 -85.47
14.093 -85.479
14.086 -85.479
14.081 -85.482
14.093 -85.493
14.078 -85.495
14.079 -85.501
14.086 -85.505
14.082 -85.509
14.062 -85.513
14.06 -85.52
14.046 -85.523
14.048 -85.533
14.047 -85.541
14.048 -85.545
14.047 -85.551
14.048 -85.556
14.052 -85.562
14.056 -85.563
14.062 -85.56
14.065 -85.561
14.062 -85.576
14.046 -85.582
14.042 -85.588
14.043 -85.595
14.041 -85.597
14.037 -85.598
14.025 -85.608
14.023 -85.613
14.021 -85.622
14.011 -85.632
14.012 -85.636
14.015 -85.653
14.013 -85.662
14.011 -85.664
13.995 -85.665
13.99 -85.668
13.984 -85.674
13.978 -85.682
13.986 -85.699
13.988 -85.706
13.988 -85.713
13.984 -85.72
13.97 -85.733
13.966 -85.741
13.965 -85.754
13.958 -85.759
13.945 -85.76
13.913 -85.758
13.895 -85.761
13.882 -85.765
13.879 -85.764
13.873 -85.75
13.867 -85.743
13.862 -85.74
13.854 -85.739
13.84 -85.744
13.835 -85.749
13.832 -85.755
13.837 -85.758
13.842 -85.763
13.845 -85.771
13.844 -85.777
13.839 -85.791
13.84 -85.811
13.843 -85.818
13.852 -85.822
13.854 -85.828
13.867 -85.833
13.877 -85.844
13.903 -85.844
13.913 -85.851
13.919 -85.864
13.919 -85.875
13.922 -85.883
13.922 -85.888
13.914 -85.895
13.908 -85.894
13.904 -85.896
13.9 -85.901
13.904 -85.91
13.908 -85.92
13.921 -85.928
13.939 -85.948
13.954 -85.968
13.99 -86.015
14 -86.022
14.008 -86.023
14.023 -86.021
14.044 -86.009
14.053 -86.007
14.059 -86.005
14.071 -86.007
14.075 -86.009
14.077 -86.012
14.076 -86.018
14.069 -86.034
14.068 -86.048
14.069 -86.064
14.065 -86.072
14.064 -86.092
14.059 -86.103
14.055 -86.108
14.044 -86.122
14.039 -86.139
14.032 -86.15
14.021 -86.152
14.015 -86.147
14.013 -86.142
14.008 -86.136
14.004 -86.136
14.001 -86.137
13.998 -86.14
13.995 -86.149
13.988 -86.155
13.986 -86.159
13.983 -86.17
13.983 -86.172
13.982 -86.186
13.979 -86.188
13.973 -86.19
13.961 -86.186
13.955 -86.186
13.95 -86.195
13.938 -86.202
13.93 -86.219
13.927 -86.222
13.911 -86.23
13.902 -86.242
13.899 -86.244
13.884 -86.252
13.869 -86.276
13.855 -86.28
13.853 -86.283
13.848 -86.298
13.845 -86.3
13.842 -86.303
13.827 -86.298
13.814 -86.301
13.805 -86.309
13.801 -86.313
13.781 -86.321
13.773 -86.329
13.762 -86.346
13.76 -86.352
13.761 -86.365
13.763 -86.368
13.769 -86.372
13.77 -86.376
13.761 -86.387
13.759 -86.394
13.76 -86.408
13.762 -86.419
13.759 -86.433
13.76 -86.436
13.762 -86.439
13.779 -86.445
13.782 -86.448
13.783 -86.451
13.775 -86.464
13.771 -86.474
13.768 -86.491
13.769 -86.499
13.776 -86.516
13.781 -86.523
13.798 -86.534
13.8 -86.54
13.801 -86.551
13.801 -86.561
13.799 -86.565
13.792 -86.57
13.789 -86.577
13.782 -86.605
13.781 -86.611
13.783 -86.629
13.783 -86.632
13.779 -86.642
13.778 -86.654
13.783 -86.667
13.787 -86.715
13.785 -86.724
13.774 -86.742
13.773 -86.749
13.774 -86.753
13.775 -86.757
13.773 -86.763
13.765 -86.764
13.754 -86.768
13.75 -86.768
13.721 -86.762
13.715 -86.763
13.694 -86.77
13.669 -86.784
13.665 -86.785
13.663 -86.785
13.657 -86.785
13.653 -86.783
13.651 -86.779
13.647 -86.766
13.642 -86.756
13.639 -86.753
13.636 -86.751
13.584 -86.767
13.573 -86.768
13.57 -86.767
13.566 -86.757
13.563 -86.751
13.551 -86.746
13.5 -86.739
13.478 -86.737
13.452 -86.725
13.447 -86.724
13.434 -86.722
13.425 -86.722
13.414 -86.729
13.403 -86.74
13.393 -86.743
13.38 -86.736
13.377 -86.731
13.372 -86.713
13.369 -86.71
13.347 -86.706
13.325 -86.703
13.308 -86.703
13.3 -86.705
13.295 -86.707
13.281 -86.728
13.271 -86.741
13.267 -86.75
13.267 -86.756
13.269 -86.762
13.275 -86.771
13.294 -86.796
13.306 -86.819
13.305 -86.829
13.3 -86.84
13.296 -86.86
13.294 -86.865
13.289 -86.871
13.275 -86.877
13.263 -86.899
13.256 -86.908
13.254 -86.909
13.246 -86.905
13.237 -86.908
13.222 -86.911
13.215 -86.916
13.209 -86.915
13.204 -86.916
13.203 -86.916
13.182 -86.929
13.173 -86.929
13.171 -86.929
13.162 -86.926
13.15 -86.918
13.146 -86.917
13.145 -86.922
13.142 -86.926
13.134 -86.923
13.129 -86.926
13.125 -86.931
13.121 -86.933
13.112 -86.927
13.102 -86.926
13.092 -86.918
13.089 -86.918
13.079 -86.928
13.072 -86.937
13.064 -86.948
13.059 -86.953
13.051 -86.956
13.032 -86.959
13.031 -86.96
13.03 -86.966
13.026 -86.968
13.02 -86.978
13.018 -86.979
13.016 -86.977
13.015 -86.982
13.018 -86.991
13.016 -86.994
13.004 -87.008
13.003 -87.012
13.006 -87.022
13.005 -87.024
12.989 -87.028
12.987 -87.031
12.985 -87.049
12.986 -87.054
12.988 -87.055
12.997 -87.063
12.999 -87.085
12.998 -87.123
12.993 -87.18
12.982 -87.315
12.984 -87.317
12.989 -87.319
12.994 -87.317
13.007 -87.307
13.016 -87.293
13.018 -87.288
13.016 -87.274
13.015 -87.272
13.017 -87.264
13.021 -87.256
13.023 -87.258
13.025 -87.257
13.021 -87.261
13.021 -87.266
13.022 -87.269
13.027 -87.273
13.031 -87.271
13.034 -87.267
13.04 -87.252
13.042 -87.254
13.039 -87.258
13.039 -87.268
13.035 -87.275
13.026 -87.28
13.02 -87.3
13.02 -87.309
13.028 -87.325
13.039 -87.339
13.059 -87.357
13.063 -87.36
13.075 -87.366
13.079 -87.366
13.082 -87.353
13.085 -87.348
13.086 -87.338
13.085 -87.335
13.087 -87.331
13.083 -87.311
13.081 -87.298
13.082 -87.291
13.09 -87.281
13.103 -87.277
13.104 -87.277
13.109 -87.277
13.109 -87.28
13.089 -87.292
13.088 -87.294
13.094 -87.323
13.098 -87.329
13.112 -87.318
13.113 -87.322
13.105 -87.332
13.098 -87.335
13.095 -87.341
13.096 -87.345
13.1 -87.351
13.106 -87.354
13.107 -87.357
13.105 -87.362
13.109 -87.385
13.111 -87.389
13.107 -87.394
13.108 -87.396
13.107 -87.399
13.111 -87.41
13.108 -87.42
13.096 -87.431
13.099 -87.432
13.108 -87.431
13.128 -87.427
13.143 -87.431
13.165 -87.435
13.166 -87.436
13.173 -87.436
13.188 -87.442
13.195 -87.445
13.208 -87.458
13.209 -87.459
13.217 -87.463
13.221 -87.457
13.212 -87.452
13.223 -87.449
13.22 -87.438
13.223 -87.436
13.224 -87.441
13.227 -87.444
13.227 -87.448
13.229 -87.45
13.239 -87.452
13.236 -87.454
13.225 -87.456
13.224 -87.459
13.23 -87.459
13.23 -87.463
13.244 -87.472
13.254 -87.483
13.259 -87.482
13.26 -87.483
13.257 -87.493
13.265 -87.502
13.265 -87.507
13.26 -87.513
13.256 -87.517
13.261 -87.517
13.27 -87.515
13.289 -87.506
13.295 -87.501
13.294 -87.496
13.299 -87.489
13.297 -87.484
13.271 -87.468
13.269 -87.464
13.271 -87.459
13.278 -87.454
13.288 -87.451
13.288 -87.45
13.293 -87.447
13.299 -87.446
13.308 -87.44
13.304 -87.436
13.302 -87.431
13.304 -87.429
13.314 -87.424
13.313 -87.417
13.316 -87.416
13.319 -87.417
13.321 -87.422
13.32 -87.433
13.317 -87.442
13.309 -87.449
13.286 -87.46
13.28 -87.462
13.275 -87.463
13.276 -87.467
13.301 -87.473
13.308 -87.473
13.32 -87.467
13.327 -87.467
13.332 -87.466
13.334 -87.463
13.328 -87.452
13.331 -87.446
13.328 -87.433
13.33 -87.425
13.329 -87.422
13.33 -87.416
13.326 -87.41
13.324 -87.405
13.327 -87.404
13.332 -87.407
13.334 -87.411
13.336 -87.424
13.334 -87.43
13.337 -87.441
13.337 -87.446
13.336 -87.449
13.337 -87.452
13.341 -87.453
13.347 -87.451
13.349 -87.449
13.346 -87.433
13.346 -87.426
13.348 -87.42
13.361 -87.412
13.361 -87.409
13.361 -87.404
13.36 -87.393
13.363 -87.388
13.371 -87.383
13.384 -87.381
13.385 -87.378
13.394 -87.374
13.394 -87.376
13.392 -87.379
13.393 -87.383
13.399 -87.389
13.4 -87.394
13.397 -87.399
13.405 -87.4
13.41 -87.404
13.412 -87.411
13.411 -87.421
13.409 -87.423
13.404 -87.422
13.4 -87.423
13.399 -87.423
13.396 -87.425
13.393 -87.429
13.393 -87.432
13.4 -87.437
13.403 -87.443
13.407 -87.446
13.412 -87.446
13.419 -87.443
13.421 -87.444
13.421 -87.446
13.41 -87.451
13.411 -87.458
13.41 -87.462
13.401 -87.466
13.404 -87.468
13.409 -87.467
13.412 -87.471
13.398 -87.474
13.396 -87.473
13.391 -87.477
13.39 -87.48
13.396 -87.481
13.398 -87.483
13.393 -87.486
13.388 -87.486
13.36 -87.477
13.351 -87.48
13.35 -87.483
13.352 -87.487
13.368 -87.5
13.37 -87.508
13.374 -87.506
13.375 -87.506
13.378 -87.509
13.377 -87.511
13.374 -87.513
13.369 -87.512
13.366 -87.511
13.36 -87.506
13.35 -87.508
13.348 -87.51
13.351 -87.511
