segment Guatemala
16.293 -90.436
16.297 -90.437
16.301 -90.435
16.304 -90.431
16.305 -90.409
16.31 -90.406
16.325 -90.41
16.328 -90.408
16.33 -90.4
16.339 -90.396
16.34 -90.392
16.343 -90.394
16.346 -90.397
16.353 -90.399
16.353 -90.402
16.34 -90.403
16.341 -90.406
16.348 -90.41
16.359 -90.409
16.37 -90.4
16.373 -90.395
16.373 -90.386
16.369 -90.38
16.358 -90.374
16.358 -90.37
16.363 -90.368
16.367 -90.369
16.37 -90.372
16.375 -90.383
16.377 -90.388
16.382 -90.394
16.389 -90.399
16.395 -90.399
16.4 -90.389
16.404 -90.386
16.408 -90.386
16.41 -90.393
16.4 -90.399
16.399 -90.404
16.402 -90.408
16.414 -90.411
16.418 -90.414
16.418 -90.434
16.416 -90.447
16.415 -90.453
16.418 -90.462
16.418 -90.483
16.421 -90.484
16.425 -90.484
16.437 -90.477
16.452 -90.474
16.456 -90.475
16.449 -90.485
16.448 -90.49
16.45 -90.491
16.451 -90.493
16.458 -90.495
16.462 -90.498
16.464 -90.502
16.463 -90.51
16.46 -90.514
16.453 -90.518
16.452 -90.521
16.458 -90.536
16.459 -90.537
16.463 -90.543
16.467 -90.545
16.474 -90.542
16.476 -90.543
16.464 -90.578
16.464 -90.585
16.466 -90.588
16.47 -90.591
16.484 -90.593
16.481 -90.606
16.471 -90.615
16.471 -90.623
16.473 -90.626
16.477 -90.631
16.481 -90.634
16.484 -90.634
16.486 -90.632
16.488 -90.628
16.489 -90.614
16.491 -90.609
16.495 -90.606
16.505 -90.605
16.514 -90.608
16.516 -90.61
16.516 -90.616
16.508 -90.632
16.509 -90.638
16.512 -90.643
16.525 -90.642
16.531 -90.642
16.536 -90.644
16.542 -90.646
16.552 -90.645
16.56 -90.643
16.565 -90.638
16.572 -90.628
16.574 -90.626
16.577 -90.627
16.586 -90.636
16.581 -90.636
16.576 -90.638
16.575 -90.64
16.571 -90.659
16.573 -90.663
16.581 -90.667
16.589 -90.664
16.585 -90.675
16.588 -90.677
16.591 -90.674
16.593 -90.67
16.593 -90.668
16.591 -90.653
16.594 -90.652
16.609 -90.654
16.619 -90.659
16.625 -90.659
16.633 -90.656
16.637 -90.657
16.639 -90.659
16.653 -90.673
16.683 -90.68
16.683 -90.684
16.688 -90.689
16.691 -90.692
16.694 -90.7
16.697 -90.704
16.703 -90.706
16.712 -90.705
16.721 -90.712
16.723 -90.722
16.742 -90.749
16.752 -90.754
16.755 -90.757
16.762 -90.782
16.769 -90.797
16.771 -90.798
16.772 -90.799
16.777 -90.8
16.786 -90.798
16.791 -90.799
16.792 -90.803
16.791 -90.81
16.789 -90.814
16.79 -90.819
16.788 -90.844
16.79 -90.849
16.794 -90.853
16.804 -90.856
16.813 -90.868
16.815 -90.874
16.816 -90.879
16.815 -90.902
16.813 -90.912
16.813 -90.916
16.816 -90.92
16.824 -90.923
16.834 -90.928
16.837 -90.93
16.849 -90.929
16.853 -90.933
16.856 -90.943
16.855 -90.951
16.852 -90.96
16.852 -90.965
16.855 -90.968
16.859 -90.969
16.865 -90.967
16.877 -90.953
16.883 -90.952
16.886 -90.953
16.89 -90.956
16.893 -90.962
16.893 -90.971
16.889 -90.978
16.885 -90.978
16.883 -90.979
16.866 -90.973
16.856 -90.976
16.854 -90.98
16.855 -90.984
16.856 -90.985
16.857 -90.987
16.867 -90.989
16.875 -90.998
16.878 -91.005
16.889 -91.045
16.894 -91.059
16.902 -91.067
16.909 -91.07
16.913 -91.068
16.915 -91.062
16.919 -91.063
16.929 -91.072
16.937 -91.077
16.944 -91.09
16.956 -91.096
16.965 -91.104
16.968 -91.114
16.971 -91.118
16.986 -91.121
16.997 -91.124
16.999 -91.124
17.002 -91.123
17.005 -91.121
17.01 -91.125
17.011 -91.13
17.009 -91.145
17.01 -91.153
17.015 -91.165
17.02 -91.172
17.047 -91.201
17.057 -91.21
17.065 -91.217
17.076 -91.223
17.093 -91.226
17.102 -91.23
17.106 -91.234
17.11 -91.241
17.111 -91.255
17.115 -91.261
17.127 -91.27
17.14 -91.276
17.147 -91.276
17.153 -91.275
17.165 -91.272
17.172 -91.275
17.176 -91.283
17.179 -91.292
17.184 -91.312
17.183 -91.322
17.18 -91.328
17.168 -91.338
17.167 -91.342
17.17 -91.346
17.187 -91.353
17.196 -91.359
17.199 -91.362
17.208 -91.373
