segment Jamaica
17.784 -77.202
17.777 -77.21
17.774 -77.211
17.766 -77.209
17.767 -77.2
17.766 -77.187
17.762 -77.183
17.757 -77.177
17.757 -77.173
17.76 -77.165
17.758 -77.159
17.762 -77.152
17.762 -77.146
17.766 -77.145
17.765 -77.139
17.762 -77.138
17.755 -77.144
17.747 -77.139
17.742 -77.131
17.737 -77.125
17.732 -77.125
17.721 -77.126
17.708 -77.141
17.706 -77.146
17.706 -77.148
17.704 -77.177
17.705 -77.184
17.71 -77.192
17.714 -77.205
17.719 -77.211
17.721 -77.217
17.734 -77.23
17.736 -77.232
17.739 -77.238
17.74 -77.247
17.755 -77.257
17.766 -77.264
17.77 -77.269
17.776 -77.284
segment Jamaica
17.872 -77.065
17.878 -77.071
17.878 -77.075
17.882 -77.078
17.884 -77.077
17.884 -77.068
17.887 -77.066
17.886 -77.063
17.881 -77.061
17.872 -77.065
segment Jamaica
17.857 -77.048
17.86 -77.052
17.87 -77.056
17.873 -77.055
17.878 -77.056
17.879 -77.055
17.877 -77.051
17.865 -77.041
17.857 -77.044
17.857 -77.048
