segment Latvia
56.41 22.318
56.41 22.287
56.404 22.259
56.405 22.245
56.411 22.226
56.418 22.203
56.421 22.175
56.426 22.144
56.426 22.115
56.422 22.091
56.417 22.053
56.415 22
56.404 22
56.401 21.994
56.39 21.989
56.382 21.98
56.378 21.972
56.377 21.958
56.367 21.936
56.361 21.904
56.361 21.886
56.368 21.857
56.362 21.84
56.36 21.83
56.356 21.82
56.343 21.8
56.337 21.776
56.328 21.752
56.321 21.739
56.315 21.725
56.311 21.698
56.312 21.685
56.317 21.66
56.318 21.649
56.322 21.606
56.304 21.561
56.296 21.548
56.291 21.531
56.291 21.525
56.292 21.501
56.289 21.489
56.287 21.482
56.277 21.473
56.266 21.465
56.257 21.462
56.251 21.457
56.242 21.428
56.238 21.414
56.234 21.398
56.229 21.381
56.226 21.355
56.213 21.33
56.169 21.273
56.163 21.26
56.163 21.259
56.161 21.239
56.157 21.232
56.15 21.228
56.144 21.228
56.123 21.241
56.119 21.24
56.086 21.215
56.082 21.21
56.076 21.194
56.079 21.168
56.081 21.154
56.082 21.14
56.081 21.129
56.076 21.111
56.069 21.092
56.063 21.071
56.112 21.051
56.149 21.032
56.154 21.029
56.228 20.981
56.239 20.988
56.261 20.988
56.27 20.992
56.274 20.992
56.286 20.993
56.307 20.989
56.335 20.98
56.369 20.974
56.378 20.982
56.397 20.989
56.408 20.992
56.42 21
56.42 21.005
56.426 21.012
56.447 21.009
56.457 21.016
56.466 21.016
56.49 21.007
56.509 20.995
56.512 21
56.517 21.007
56.519 21.004
56.529 21.005
56.542 21.006
56.559 21.004
56.597 21.022
56.612 21.036
56.618 21.035
56.633 21.045
56.643 21.045
56.651 21.048
56.672 21.057
56.68 21.058
56.691 21.065
56.739 21.066
56.755 21.065
56.772 21.068
56.789 21.065
56.803 21.063
56.813 21.058
56.833 21.066
56.851 21.108
56.859 21.115
56.868 21.132
56.885 21.177
56.89 21.191
56.908 21.242
56.917 21.257
56.94 21.281
56.958 21.32
56.971 21.338
56.978 21.35
56.986 21.366
57.014 21.386
57.036 21.41
57.05 21.417
57.094 21.42
57.114 21.421
57.133 21.416
57.153 21.413
57.163 21.415
57.173 21.412
57.189 21.418
57.219 21.421
57.239 21.424
57.247 21.424
57.268 21.418
57.275 21.419
57.284 21.429
57.292 21.43
57.317 21.463
57.336 21.48
57.347 21.494
57.359 21.508
57.375 21.516
57.384 21.527
57.397 21.538
57.393 21.559
57.397 21.561
57.427 21.582
57.442 21.602
57.445 21.605
57.462 21.621
57.504 21.663
57.522 21.677
57.533 21.683
57.545 21.685
57.56 21.694
57.562 21.696
57.571 21.711
57.582 21.76
57.583 21.785
57.588 21.804
57.595 21.851
57.598 21.909
57.598 21.921
57.597 21.968
57.6 21.989
57.603 22
57.604 22.003
57.607 22.022
57.617 22.054
57.625 22.074
57.625 22.086
57.626 22.095
57.632 22.106
57.64 22.132
57.64 22.136
57.639 22.14
57.641 22.15
57.651 22.177
57.654 22.199
57.666 22.231
57.674 22.265
57.684 22.297
57.698 22.342
57.715 22.41
57.728 22.454
57.741 22.487
57.745 22.501
57.749 22.521
57.757 22.569
57.762 22.59
57.763 22.603
57.762 22.609
57.76 22.611
57.751 22.608
57.744 22.597
57.714 22.582
57.701 22.577
57.692 22.575
57.631 22.591
57.622 22.599
57.605 22.624
57.585 22.645
57.575 22.66
57.552 22.71
57.534 22.751
57.518 22.797
57.513 22.809
57.502 22.83
57.497 22.847
57.484 22.863
57.475 22.883
57.46 22.898
57.454 22.911
57.433 22.925
57.419 22.951
57.418 22.953
57.403 23.005
57.398 23.019
57.387 23.029
57.382 23.041
57.369 23.099
57.367 23.126
57.365 23.133
57.363 23.138
57.359 23.138
57.355 23.135
57.345 23.128
57.339 23.128
57.312 23.16
57.295 23.169
57.284 23.168
57.277 23.175
57.274 23.177
57.264 23.182
57.248 23.181
57.237 23.186
57.196 23.218
57.184 23.224
57.176 23.231
57.169 23.234
57.162 23.241
57.159 23.241
57.14 23.238
57.112 23.242
57.092 23.264
57.079 23.284
57.072 23.298
57.057 23.341
57.055 23.346
57.046 23.381
57.038 23.421
57.036 23.443
57.037 23.462
57.036 23.499
57.033 23.507
57.026 23.511
57.005 23.53
56.992 23.542
56.979 23.57
56.977 23.578
56.976 23.598
56.966 23.636
56.964 23.656
56.966 23.73
56.967 23.741
56.969 23.77
56.988 23.869
57 23.905
57.007 23.933
57.008 23.943
57.007 23.943
57.01 23.949
57.019 23.976
57.03 24
57.047 24.022
57.057 24.026
57.059 24.029
57.06 24.04
57.062 24.045
57.065 24.046
57.067 24.048
57.07 24.067
57.077 24.086
57.081 24.102
57.081 24.104
57.085 24.114
57.093 24.15
57.1 24.162
57.111 24.195
57.126 24.221
57.139 24.236
57.144 24.247
57.154 24.258
57.156 24.264
57.154 24.268
57.154 24.276
57.161 24.273
57.182 24.32
57.192 24.333
57.203 24.351
57.216 24.374
57.229 24.383
57.241 24.399
57.254 24.409
57.273 24.414
57.285 24.415
57.318 24.407
57.328 24.404
57.384 24.405
57.441 24.389
57.443 24.389
57.465 24.387
57.475 24.383
57.502 24.386
57.53 24.374
57.542 24.365
57.564 24.371
57.566 24.371
57.581 24.368
57.62 24.383
57.637 24.373
57.687 24.357
57.695 24.35
57.7 24.341
57.753 24.344
57.753 24.378
57.749 24.393
57.757 24.426
57.758 24.435
57.76 24.425
57.758 24.414
57.752 24.4
57.752 24.392
57.756 24.383
57.756 24.375
57.76 24.35
57.768 24.345
57.797 24.344
57.809 24.34
57.816 24.341
57.828 24.336
57.832 24.34
57.833 24.34
57.846 24.342
57.855 24.35
57.864 24.343
57.878 24.356
57.877 24.373
57.874 24.389
57.867 24.413
57.873 24.426
57.88 24.457
57.886 24.458
57.907 24.46
57.916 24.465
57.923 24.486
57.933 24.513
57.939 24.524
57.947 24.542
57.951 24.557
57.956 24.575
57.959 24.591
57.956 24.606
57.946 24.619
57.942 24.631
57.945 24.638
57.948 24.642
57.954 24.65
57.958 24.655
57.962 24.673
57.956 24.685
57.951 24.697
57.95 24.701
57.953 24.707
57.96 24.715
57.961 24.724
57.963 24.743
57.969 24.747
57.978 24.756
57.985 24.773
57.987 24.798
57.983 24.827
57.98 24.845
57.98 24.858
57.987 24.887
58.003 24.933
58.007 24.957
58.008 24.987
58.008 25
58.008 25.003
58.014 25.015
58.029 25.032
58.04 25.049
58.057 25.068
58.063 25.077
58.064 25.093
58.074 25.11
58.082 25.117
58.082 25.13
58.077 25.146
58.072 25.162
58.072 25.181
58.072 25.193
58.078 25.198
58.077 25.203
58.071 25.21
58.066 25.205
58.057 25.219
58.046 25.219
58.034 25.216
58.026 25.222
58.023 25.237
58.014 25.25
58.004 25.257
57.994 25.27
57.991 25.288
57.993 25.297
58 25.302
58.021 25.299
58.041 25.296
58.053 25.275
58.059 25.265
58.07 25.281
58.075 25.286
58.078 25.294
58.068 25.309
58.058 25.324
58.034 25.36
58.031 25.374
58.029 25.395
58.024 25.416
58.014 25.448
58.005 25.456
57.998 25.453
57.988 25.456
57.981 25.463
57.977 25.475
57.974 25.49
57.973 25.499
57.976 25.506
57.98 25.514
57.981 25.522
57.97 25.523
57.966 25.525
57.966 25.535
57.971 25.55
57.971 25.569
57.962 25.585
57.948 25.58
57.941 25.583
57.941 25.593
57.942 25.608
57.931 25.63
57.907 25.666
57.903 25.679
57.905 25.698
57.907 25.713
57.916 25.723
57.921 25.726
57.923 25.735
57.921 25.75
57.91 25.775
57.892 25.793
57.878 25.819
57.87 25.835
57.862 25.859
57.857 25.884
57.853 25.91
57.852 25.94
57.852 25.972
57.861 26
57.851 26.018
57.851 26.031
57.849 26.05
57.835 26.05
57.825 26.037
57.79 26.022
57.78 26.021
57.77 26.038
57.767 26.049
57.756 26.077
57.746 26.097
57.742 26.132
57.732 26.165
57.73 26.185
57.719 26.195
57.708 26.189
57.7 26.18
57.692 26.189
57.682 26.206
57.67 26.217
57.664 26.224
57.656 26.242
57.651 26.24
57.647 26.244
57.641 26.243
57.639 26.241
57.633 26.247
57.624 26.254
57.603 26.277
57.599 26.305
57.592 26.318
57.585 26.354
57.575 26.387
57.575 26.422
57.573 26.458
57.567 26.476
57.545 26.48
57.528 26.484
57.52 26.505
57.516 26.522
57.525 26.557
57.529 26.571
57.524 26.591
57.52 26.605
57.525 26.62
57.545 26.631
57.562 26.677
57.568 26.752
57.577 26.767
57.588 26.784
57.591 26.811
57.596 26.829
57.605 26.846
57.614 26.856
57.628 26.873
57.64 26.894
57.641 26.909
57.635 26.921
57.629 26.935
57.621 26.953
57.619 26.971
57.618 27.003
57.607 27.025
57.595 27.048
57.583 27.072
57.57 27.092
57.563 27.118
57.553 27.156
57.548 27.189
57.544 27.206
57.544 27.228
57.546 27.259
57.551 27.286
57.551 27.302
57.548 27.322
57.545 27.341
57.541 27.363
57.536 27.375
57.532 27.386
57.528 27.399
57.529 27.422
57.529 27.445
57.541 27.513
57.541 27.536
57.539 27.551
57.535 27.55
57.522 27.547
57.519 27.549
57.518 27.558
57.514 27.567
57.503 27.565
57.493 27.56
57.484 27.556
57.476 27.553
57.474 27.546
57.471 27.53
57.467 27.517
57.457 27.512
57.447 27.514
57.441 27.521
57.434 27.54
57.43 27.559
57.424 27.575
57.42 27.593
57.416 27.62
57.41 27.64
57.405 27.65
57.39 27.668
57.378 27.68
57.371 27.701
57.359 27.743
57.353 27.762
57.343 27.777
57.328 27.793
57.324 27.809
57.317 27.839
57.305 27.851
57.285 27.862
57.267 27.867
57.242 27.864
57.215 27.85
57.183 27.833
57.16 27.821
57.151 27.813
57.14 27.79
57.134 27.771
57.127 27.759
57.112 27.748
57.105 27.737
57.1 27.727
57.093 27.723
57.088 27.727
57.088 27.746
57.082 27.752
57.07 27.75
57.057 27.747
57.046 27.745
57.041 27.732
57.03 27.728
57.022 27.723
57.013 27.717
57.003 27.719
56.995 27.735
56.987 27.741
56.977 27.739
56.967 27.731
56.956 27.733
56.942 27.73
56.931 27.723
56.925 27.71
56.922 27.696
56.916 27.681
56.911 27.672
56.896 27.668
56.881 27.67
56.864 27.675
56.856 27.67
56.845 27.667
56.837 27.667
56.838 27.688
56.847 27.699
56.855 27.709
56.857 27.718
56.858 27.731
56.857 27.754
56.862 27.762
56.865 27.77
56.865 27.78
56.864 27.792
56.868 27.797
56.873 27.8
56.877 27.8
56.875 27.809
56.876 27.82
56.876 27.846
56.87 27.858
56.864 27.868
56.856 27.877
56.848 27.885
56.84 27.892
56.832 27.902
56.83 27.909
56.827 27.923
56.828 27.949
56.827 27.961
56.824 27.972
56.817 27.975
56.808 27.972
56.805 27.954
56.8 27.95
56.788 27.95
56.777 27.951
56.774 27.942
56.769 27.928
56.765 27.918
56.758 27.912
56.747 27.908
56.744 27.913
56.736 27.92
56.727 27.943
56.722 27.955
56.715 27.962
56.711 27.974
56.708 27.983
56.696 27.982
56.687 27.982
56.678 27.997
56.669 28.009
56.657 28.016
56.643 28.016
56.637 28.017
56.628 28.023
56.61 28.034
56.595 28.04
56.589 28.057
56.588 28.079
56.583 28.11
56.577 28.134
56.566 28.139
56.557 28.141
56.548 28.139
56.54 28.109
56.534 28.1
56.523 28.103
56.518 28.111
56.516 28.12
56.509 28.127
56.498 28.12
56.493 28.123
56.466 28.156
56.452 28.173
56.441 28.184
56.42 28.187
56.406 28.192
56.394 28.184
56.387 28.174
56.38 28.165
56.367 28.178
56.347 28.198
56.335 28.204
56.318 28.213
56.303 28.224
56.283 28.241
56.276 28.241
56.234 28.193
56.223 28.189
56.218 28.197
56.213 28.203
56.208 28.191
56.198 28.181
56.172 28.175
56.166 28.151
56.161 28.129
56.158 28.117
56.146 28.107
56.133 28.087
56.128 28.05
56.12 28.041
56.121 28.029
56.125 28.015
56.127 28.006
56.124 27.99
56.12 27.978
56.118 27.969
56.113 27.964
56.101 27.955
56.088 27.954
56.077 27.945
56.065 27.936
56.059 27.923
56.053 27.905
56.049 27.877
56.041 27.863
56.039 27.822
56.036 27.807
56.033 27.808
56.028 27.813
56.02 27.824
56.015 27.819
56.007 27.811
56 27.82
55.987 27.805
55.975 27.757
55.95 27.696
55.935 27.665
55.912 27.653
55.89 27.625
55.873 27.628
55.836 27.634
55.8 27.615
55.786 27.603
55.784 27.587
55.788 27.522
55.791 27.467
55.796 27.435
55.803 27.408
55.813 27.388
55.813 27.372
55.805 27.361
55.793 27.323
55.791 27.3
55.794 27.285
55.806 27.257
55.826 27.225
55.833 27.204
55.844 27.194
55.853 27.176
55.852 27.133
55.845 27.118
55.834 27.098
55.829 27.083
55.832 27.066
55.834 27.044
55.833 27.022
55.832 27.008
55.825 26.995
55.813 26.984
55.792 26.937
55.782 26.922
55.762 26.906
55.733 26.887
55.717 26.879
55.706 26.861
55.703 26.836
55.696 26.814
55.688 26.803
55.686 26.78
55.689 26.748
55.701 26.702
55.706 26.668
55.697 26.646
55.674 26.62
55.67 26.615
55.671 26.572
55.669 26.54
55.674 26.527
55.689 26.481
55.698 26.463
55.703 26.424
55.701 26.401
55.704 26.379
55.711 26.377
55.722 26.369
55.742 26.347
55.746 26.308
55.759 26.279
55.784 26.255
55.797 26.247
55.836 26.23
55.856 26.207
55.869 26.169
55.898 26.106
55.943 26.052
55.969 26.02
55.979 25.984
55.992 25.953
55.999 25.917
56 25.915
