segment Oman
20.696 58.894
20.69 58.908
20.685 58.912
20.672 58.914
20.669 58.912
20.65 58.905
20.619 58.899
20.594 58.903
20.586 58.91
20.573 58.933
20.559 58.93
20.551 58.935
20.543 58.932
20.542 58.935
20.523 58.944
20.522 58.946
20.519 58.956
20.515 58.959
20.512 58.959
20.502 58.948
20.494 58.944
20.489 58.934
20.483 58.919
20.477 58.904
20.471 58.9
20.459 58.871
20.449 58.856
20.438 58.841
20.434 58.839
20.43 58.84
20.418 58.823
20.402 58.815
20.394 58.818
20.379 58.812
20.357 58.794
20.356 58.797
20.347 58.796
20.341 58.797
20.332 58.793
20.323 58.793
20.308 58.783
20.3 58.775
20.294 58.772
20.287 58.778
20.281 58.776
20.277 58.781
20.274 58.779
20.268 58.768
20.261 58.764
20.26 58.757
20.254 58.75
20.248 58.737
20.239 58.733
20.234 58.727
20.213 58.719
20.21 58.712
20.202 58.703
20.202 58.701
20.189 58.668
20.187 58.665
20.176 58.662
20.165 58.654
20.165 58.651
20.168 58.643
20.164 58.636
20.166 58.633
20.185 58.626
20.195 58.63
20.207 58.629
segment Oman
20.561 58.173
20.563 58.169
20.569 58.163
20.576 58.16
20.581 58.171
20.573 58.172
20.565 58.176
20.561 58.173
segment Oman
20.544 58.261
20.542 58.256
20.545 58.253
20.561 58.256
20.567 58.26
20.567 58.263
20.564 58.266
20.544 58.261
segment Oman
20.483 58.751
20.464 58.749
20.46 58.753
20.457 58.754
20.453 58.751
20.447 58.741
20.447 58.738
20.46 58.739
20.483 58.751
segment Oman
23.775 57.786
23.775 57.79
23.764 57.796
23.752 57.785
23.751 57.789
23.745 57.795
23.746 57.798
23.751 57.795
23.757 57.798
23.752 57.804
23.748 57.806
23.745 57.811
23.735 57.822
23.733 57.829
23.719 57.849
23.716 57.86
23.711 57.867
23.712 57.869
23.706 57.887
23.705 57.897
23.704 57.953
23.707 57.972
23.709 58.014
23.712 58.031
23.711 58.077
23.712 58.083
23.708 58.093
23.706 58.114
23.703 58.128
23.69 58.161
23.686 58.17
23.681 58.184
23.671 58.202
23.669 58.203
23.667 58.208
23.652 58.227
23.644 58.236
23.641 58.243
23.637 58.244
23.633 58.252
23.626 58.261
23.611 58.295
23.608 58.297
23.603 58.344
23.606 58.346
23.603 58.386
23.604 58.402
23.611 58.448
23.624 58.476
23.632 58.481
23.636 58.486
23.643 58.489
23.643 58.492
23.644 58.503
23.641 58.508
23.632 58.515
23.628 58.521
23.628 58.527
23.63 58.533
23.63 58.539
23.628 58.544
23.628 58.551
23.633 58.564
23.631 58.566
23.627 58.567
23.621 58.564
23.618 58.565
23.617 58.568
23.619 58.57
23.619 58.574
23.618 58.576
23.62 58.579
23.618 58.584
23.618 58.589
23.614 58.595
23.614 58.598
23.602 58.606
23.597 58.599
23.588 58.608
23.584 58.608
23.581 58.606
23.577 58.608
23.575 58.612
23.566 58.617
23.56 58.632
23.561 58.64
23.559 58.644
23.553 58.647
23.549 58.647
23.547 58.65
23.546 58.653
23.554 58.66
23.541 58.669
23.535 58.67
23.533 58.681
23.53 58.687
23.53 58.692
23.532 58.7
23.531 58.703
23.519 58.706
23.53 58.711
23.529 58.722
23.525 58.726
23.515 58.725
23.512 58.724
23.505 58.734
23.514 58.731
23.517 58.732
23.513 58.742
23.52 58.745
23.518 58.753
23.511 58.755
23.507 58.762
23.503 58.757
23.486 58.774
23.476 58.78
23.469 58.779
23.447 58.783
23.445 58.783
23.432 58.782
23.418 58.787
23.409 58.796
23.396 58.801
23.386 58.812
23.385 58.813
23.379 58.825
23.371 58.836
23.367 58.845
23.359 58.85
23.353 58.858
23.34 58.88
23.333 58.885
23.327 58.893
23.325 58.901
23.317 58.914
23.31 58.912
23.302 58.918
23.284 58.917
23.279 58.917
23.274 58.918
23.272 58.921
23.269 58.922
23.258 58.923
23.245 58.935
23.229 58.958
23.227 58.964
23.216 58.974
23.209 58.985
23.208 58.988
23.198 58.991
23.196 58.994
23.185 58.994
23.18 58.993
23.168 58.991
23.156 58.994
23.119 59.014
23.107 59.022
23.085 59.052
23.081 59.054
23.048 59.064
23.02 59.092
23.005 59.114
22.994 59.125
22.987 59.14
22.986 59.145
22.977 59.155
22.973 59.166
22.97 59.179
22.964 59.187
22.957 59.194
22.951 59.197
22.932 59.209
22.909 59.216
22.897 59.223
22.883 59.223
22.878 59.224
22.871 59.232
22.864 59.235
22.85 59.238
22.837 59.248
22.821 59.26
22.815 59.264
22.794 59.27
22.78 59.281
22.769 59.283
22.757 59.291
22.748 59.31
22.75 59.318
22.747 59.323
22.746 59.334
22.742 59.339
22.718 59.346
22.708 59.354
22.703 59.361
22.697 59.376
22.694 59.378
22.68 59.381
22.675 59.384
22.667 59.393
22.664 59.399
22.657 59.408
22.65 59.425
22.627 59.444
22.606 59.468
22.601 59.479
22.596 59.483
22.595 59.487
22.593 59.492
22.573 59.525
22.563 59.531
22.558 59.527
22.557 59.52
22.564 59.519
22.567 59.52
22.569 59.519
22.563 59.513
22.549 59.506
22.543 59.514
22.547 59.519
22.547 59.527
22.549 59.529
22.552 59.537
22.558 59.538
22.566 59.54
22.568 59.544
22.562 59.57
22.561 59.597
22.557 59.616
22.556 59.646
22.551 59.669
22.542 59.688
22.534 59.723
22.529 59.728
22.522 59.724
22.516 59.725
22.513 59.723
22.504 59.713
22.501 59.712
22.498 59.714
22.496 59.72
22.49 59.727
22.487 59.733
22.481 59.738
22.48 59.744
22.482 59.752
22.486 59.762
22.489 59.763
22.493 59.759
22.494 59.748
22.499 59.743
22.51 59.739
22.519 59.731
22.525 59.731
22.527 59.734
22.531 59.736
22.528 59.753
22.523 59.754
22.521 59.758
22.515 59.762
22.514 59.774
22.516 59.779
22.52 59.781
22.523 59.78
22.524 59.772
22.522 59.765
22.524 59.759
22.528 59.761
22.53 59.764
22.533 59.782
22.533 59.791
22.531 59.795
22.526 59.796
22.498 59.802
22.487 59.813
22.465 59.825
22.429 59.836
22.424 59.837
22.411 59.828
22.394 59.818
22.371 59.818
22.364 59.824
22.361 59.824
22.35 59.818
22.341 59.816
22.334 59.817
22.323 59.822
22.313 59.821
22.298 59.825
22.293 59.824
22.235 59.807
22.229 59.808
22.223 59.806
22.204 59.784
22.196 59.772
22.189 59.77
22.184 59.77
22.175 59.767
22.173 59.764
22.163 59.756
22.153 59.741
22.139 59.734
22.114 59.714
22.102 59.71
22.09 59.693
22.085 59.69
22.063 59.673
22.039 59.673
22.038 59.674
22.021 59.672
22 59.66
21.989 59.657
21.977 59.65
21.97 59.647
21.967 59.646
21.96 59.644
21.953 59.649
21.947 59.65
21.933 59.644
21.922 59.633
21.915 59.621
21.902 59.605
21.891 59.595
21.871 59.581
21.857 59.571
21.85 59.569
21.838 59.574
21.835 59.572
21.798 59.533
21.772 59.509
21.759 59.497
21.74 59.486
21.731 59.482
21.723 59.481
21.708 59.485
21.701 59.484
21.683 59.475
21.67 59.465
21.656 59.457
21.65 59.456
21.64 59.458
21.632 59.455
21.612 59.442
21.589 59.423
21.568 59.414
21.558 59.408
21.54 59.397
21.54 59.396
21.526 59.383
21.517 59.378
21.51 59.379
21.504 59.376
21.483 59.357
21.469 59.347
21.453 59.341
21.448 59.342
21.443 59.35
21.44 59.35
21.435 59.348
21.431 59.345
21.423 59.336
21.415 59.32
21.405 59.299
21.397 59.274
21.39 59.263
21.385 59.25
21.385 59.246
21.378 59.227
21.377 59.222
21.367 59.197
21.357 59.181
21.312 59.12
21.299 59.102
21.261 59.046
21.233 59.015
21.225 59.007
21.204 58.989
21.185 58.977
21.172 58.966
21.162 58.954
21.145 58.929
21.141 58.925
21.13 58.913
21.101 58.89
21.061 58.851
21.044 58.839
21.038 58.834
21.01 58.818
20.987 58.8
20.97 58.798
20.956 58.802
20.953 58.807
20.949 58.804
20.936 58.799
20.935 58.797
20.896 58.76
20.875 58.748
20.851 58.739
20.844 58.729
20.843 58.722
20.839 58.717
20.832 58.709
20.814 58.684
20.812 58.682
20.801 58.685
20.798 58.676
20.796 58.673
20.781 58.665
20.777 58.666
20.778 58.672
20.777 58.678
20.773 58.678
20.769 58.672
20.761 58.671
20.755 58.673
20.754 58.672
20.747 58.666
20.729 58.661
20.723 58.662
20.723 58.67
20.713 58.673
20.712 58.683
20.696 58.662
20.687 58.644
20.675 58.628
20.662 58.612
20.629 58.585
20.62 58.581
20.609 58.582
20.594 58.581
20.59 58.574
20.582 58.571
20.57 58.571
20.569 58.57
20.557 58.561
20.552 58.56
20.546 58.558
20.538 58.55
20.525 58.542
20.514 58.538
20.496 58.534
20.478 58.537
20.463 58.53
20.453 58.529
20.433 58.527
20.423 58.523
20.413 58.517
20.41 58.51
20.4 58.502
20.397 58.49
20.391 58.48
20.39 58.475
20.387 58.473
20.38 58.472
20.376 58.464
20.364 58.457
20.362 58.453
20.358 58.448
20.35 58.442
20.349 58.433
20.35 58.403
20.356 58.399
20.363 58.388
20.362 58.384
20.364 58.376
20.373 58.356
20.377 58.353
20.378 58.337
20.379 58.319
20.373 58.302
20.368 58.292
20.365 58.281
20.367 58.273
20.37 58.27
20.371 58.271
20.372 58.288
20.376 58.299
20.377 58.3
20.379 58.296
20.374 58.278
20.375 58.271
20.376 58.265
20.382 58.256
20.382 58.253
20.38 58.253
20.372 58.261
20.369 58.261
20.369 58.253
20.383 58.244
20.387 58.236
20.391 58.211
20.394 58.205
20.402 58.198
20.409 58.194
20.419 58.194
20.426 58.195
20.44 58.204
20.46 58.218
20.456 58.226
20.469 58.225
20.483 58.232
20.488 58.232
20.494 58.234
20.497 58.239
20.504 58.239
20.516 58.243
20.516 58.245
20.521 58.245
20.526 58.245
20.532 58.248
20.532 58.251
20.531 58.252
20.523 58.251
20.517 58.248
20.517 58.255
20.54 58.264
20.555 58.274
20.571 58.277
20.57 58.273
20.575 58.266
20.578 58.264
20.584 58.266
20.588 58.265
20.589 58.261
20.602 58.237
20.603 58.226
20.607 58.219
20.608 58.211
20.606 58.2
20.611 58.195
20.612 58.191
20.608 58.18
20.607 58.174
20.603 58.165
20.592 58.156
20.59 58.152
20.588 58.144
20.586 58.138
20.582 58.134
20.583 58.129
20.577 58.126
20.575 58.114
20.57 58.109
20.567 58.097
20.563 58.087
20.556 58.077
20.551 58.074
20.536 58.071
20.527 58.075
20.518 58.071
20.512 58.071
20.508 58.069
20.502 58.065
20.497 58.065
20.486 58.065
20.477 58.063
20.465 58.063
20.462 58.065
20.459 58.062
20.457 58.056
20.447 58.046
20.432 57.995
20.425 57.984
20.425 57.98
20.401 57.951
20.391 57.944
20.377 57.938
20.366 57.941
20.353 57.946
20.345 57.954
20.343 57.962
20.345 57.963
20.346 57.965
20.344 57.97
20.34 57.971
20.328 57.963
20.313 57.958
20.309 57.954
20.287 57.912
20.286 57.905
20.271 57.883
20.259 57.865
20.249 57.857
20.244 57.85
20.24 57.848
20.232 57.849
20.225 57.847
20.221 57.845
20.209 57.828
20.194 57.821
20.186 57.82
20.161 57.816
20.14 57.818
20.133 57.827
20.13 57.832
20.119 57.832
20.093 57.829
20.073 57.823
20.06 57.82
20.052 57.821
20.047 57.819
20.045 57.821
20.033 57.816
20.006 57.81
20 57.81
19.992 57.811
19.989 57.811
19.983 57.809
19.974 57.802
19.959 57.794
19.949 57.789
19.928 57.786
19.9 57.769
19.889 57.767
19.883 57.771
19.876 57.768
19.845 57.754
19.839 57.754
19.822 57.74
19.815 57.738
19.809 57.74
19.798 57.733
19.764 57.702
19.754 57.694
19.753 57.69
19.748 57.69
19.742 57.685
19.74 57.685
19.738 57.682
19.73 57.681
19.713 57.676
19.698 57.676
19.677 57.68
19.671 57.684
19.675 57.688
19.673 57.692
19.667 57.7
19.668 57.705
19.665 57.706
19.66 57.712
19.659 57.716
19.661 57.722
19.657 57.723
19.642 57.721
19.622 57.712
19.608 57.714
19.604 57.715
19.601 57.714
19.597 57.712
19.592 57.712
19.582 57.707
19.555 57.699
19.538 57.697
19.529 57.697
19.516 57.7
19.51 57.704
19.505 57.71
19.499 57.713
19.494 57.719
19.492 57.718
19.488 57.721
19.468 57.727
19.465 57.732
19.449 57.741
19.446 57.746
19.439 57.748
19.433 57.747
19.421 57.756
19.394 57.761
19.383 57.762
19.36 57.759
19.327 57.745
19.305 57.74
19.298 57.741
19.29 57.74
19.272 57.741
19.271 57.741
19.262 57.74
19.248 57.742
19.23 57.745
19.223 57.752
19.202 57.754
19.183 57.761
19.175 57.766
19.169 57.773
19.168 57.778
19.169 57.789
19.169 57.793
19.159 57.802
19.151 57.802
19.124 57.796
19.092 57.794
19.071 57.797
19.067 57.801
19.063 57.811
19.054 57.813
19.034 57.814
19.018 57.821
19.008 57.83
19.006 57.838
19.008 57.845
19.003 57.843
18.993 57.83
18.991 57.825
18.982 57.816
18.983 57.81
18.973 57.807
18.97 57.794
18.97 57.781
18.97 57.776
18.968 57.76
18.965 57.741
18.963 57.736
18.952 57.725
18.948 57.714
18.943 57.707
18.942 57.695
18.942 57.69
18.939 57.684
18.941 57.63
18.939 57.626
18.94 57.563
18.94 57.546
18.94 57.538
18.94 57.535
18.941 57.48
18.939 57.471
18.938 57.434
18.936 57.405
18.937 57.403
18.935 57.398
18.931 57.35
18.929 57.339
18.924 57.296
18.917 57.265
18.907 57.232
18.906 57.223
18.904 57.219
18.902 57.203
18.889 57.158
18.88 57.119
18.871 57.081
18.862 57.051
18.863 57.046
18.862 57.041
18.862 57.037
18.859 57.033
18.842 56.991
18.819 56.937
18.817 56.932
18.807 56.901
18.797 56.877
18.796 56.872
18.779 56.839
18.763 56.82
18.761 56.817
18.755 56.81
18.749 56.799
18.729 56.777
18.705 56.757
18.704 56.753
18.692 56.742
18.686 56.74
18.648 56.705
18.638 56.693
18.63 56.691
18.601 56.664
18.582 56.644
18.577 56.647
18.554 56.638
18.538 56.628
18.522 56.627
18.449 56.633
18.439 56.63
18.416 56.619
18.405 56.613
18.4 56.613
18.392 56.611
18.357 56.607
18.338 56.609
18.327 56.605
18.294 56.599
18.282 56.59
18.274 56.588
18.259 56.58
18.238 56.566
18.237 56.564
18.226 56.558
18.195 56.549
18.184 56.548
18.179 56.545
18.167 56.544
18.153 56.549
18.133 56.551
18.126 56.55
18.123 56.548
18.115 56.527
18.111 56.522
18.095 56.511
18.09 56.505
18.089 56.501
18.089 56.493
18.072 56.468
18.055 56.442
18.049 56.435
18.038 56.429
18.023 56.43
18.017 56.428
18.01 56.421
18.004 56.413
17.995 56.404
17.989 56.393
17.982 56.386
17.978 56.383
17.976 56.373
17.968 56.361
17.961 56.355
17.946 56.352
17.94 56.353
17.935 56.356
17.923 56.355
17.919 56.35
17.919 56.337
17.918 56.332
17.919 56.315
17.922 56.305
17.93 56.279
17.932 56.277
17.933 56.276
17.935 56.254
17.936 56.249
17.939 56.213
17.941 56.207
17.939 56.202
17.94 56.187
17.939 56.164
17.933 56.156
17.931 56.154
17.927 56.145
17.926 56.14
17.928 56.13
17.926 56.126
17.925 56.112
17.921 56.107
17.922 56.09
17.927 56.06
17.926 56.05
17.93 56.035
17.93 56.03
17.93 56.02
17.928 56.006
17.929 55.999
17.929 55.977
17.925 55.973
17.925 55.966
17.923 55.963
17.919 55.951
17.915 55.947
17.915 55.944
17.906 55.935
17.902 55.923
17.896 55.915
17.899 55.909
17.895 55.904
17.894 55.887
17.894 55.877
17.9 55.848
17.899 55.842
17.9 55.813
17.902 55.809
17.903 55.793
17.902 55.791
17.902 55.732
17.897 55.694
17.896 55.688
17.889 55.631
17.883 55.603
17.882 55.6
17.875 55.567
17.868 55.54
17.866 55.529
17.86 55.518
17.852 55.499
17.844 55.479
17.838 55.467
17.833 55.455
17.825 55.442
17.821 55.431
17.819 55.427
17.806 55.421
17.798 55.421
17.782 55.415
17.775 55.419
17.77 55.419
17.763 55.416
17.756 55.409
17.75 55.397
17.744 55.39
17.731 55.383
17.719 55.382
17.71 55.383
17.704 55.387
17.698 55.384
17.689 55.381
17.68 55.377
17.673 55.359
17.664 55.347
17.657 55.33
17.651 55.32
17.643 55.313
17.636 55.305
17.629 55.302
17.624 55.294
17.617 55.286
17.614 55.28
17.607 55.267
17.6 55.261
17.589 55.26
17.567 55.243
17.551 55.234
17.533 55.227
17.518 55.225
17.509 55.226
17.499 55.23
17.493 55.232
17.477 55.231
17.467 55.234
17.456 55.242
17.448 55.253
17.45 55.256
17.449 55.264
17.45 55.272
17.449 55.275
17.44 55.28
17.415 55.291
17.408 55.296
17.4 55.299
17.396 55.305
17.389 55.298
17.381 55.3
17.37 55.294
17.364 55.294
17.359 55.295
17.353 55.289
17.35 55.283
17.339 55.281
17.33 55.281
17.316 55.268
17.297 55.263
17.295 55.261
17.294 55.255
17.289 55.25
17.283 55.246
17.268 55.242
17.26 55.249
17.253 55.254
17.248 55.255
17.243 55.262
17.238 55.263
17.219 55.251
17.212 55.24
17.206 55.236
17.199 55.228
17.196 55.218
17.195 55.216
17.181 55.206
17.173 55.204
17.165 55.197
17.153 55.194
17.143 55.195
17.14 55.193
17.137 55.171
17.131 55.15
17.126 55.144
17.109 55.134
17.103 55.129
17.094 55.124
17.093 55.122
17.089 55.12
17.068 55.102
17.065 55.1
17.061 55.097
17.061 55.091
17.058 55.088
17.049 55.086
17.046 55.083
17.045 55.076
17.039 55.073
17.035 55.062
17.022 55.046
17.023 55.043
17.017 55.037
17.015 55.031
17.009 55.028
17.006 55.023
17.015 55.019
17.018 55.015
17.022 55.003
17.022 55
17.022 54.995
17.019 54.992
17.004 54.985
17.001 54.986
16.994 54.979
16.993 54.972
16.989 54.968
16.988 54.962
16.986 54.96
16.99 54.946
16.983 54.946
16.98 54.944
16.977 54.94
16.975 54.93
16.981 54.926
16.983 54.922
16.99 54.915
16.987 54.914
16.978 54.914
16.975 54.913
16.971 54.907
16.965 54.906
16.963 54.898
16.966 54.894
16.963 54.887
16.966 54.883
16.967 54.877
16.961 54.876
16.959 54.872
16.963 54.862
16.959 54.836
16.96 54.829
16.957 54.827
16.956 54.82
16.954 54.819
16.949 54.82
16.945 54.815
16.945 54.808
16.94 54.8
16.944 54.798
16.945 54.792
16.952 54.786
16.954 54.782
16.956 54.781
16.948 54.769
16.955 54.765
16.96 54.756
16.958 54.752
16.951 54.742
16.953 54.74
16.954 54.734
16.96 54.731
16.96 54.725
16.965 54.722
16.968 54.707
16.967 54.701
16.974 54.698
16.974 54.693
16.977 54.688
16.979 54.687
16.99 54.692
16.995 54.693
17.006 54.689
17.014 54.681
17.022 54.657
17.027 54.627
17.028 54.587
17.032 54.556
17.032 54.552
17.031 54.546
17.033 54.524
17.034 54.516
17.03 54.456
17.029 54.45
17.025 54.445
17.027 54.442
17.026 54.434
17.03 54.427
17.03 54.412
17.032 54.407
17.032 54.396
17.033 54.382
17.03 54.331
17.026 54.282
17.022 54.255
17.009 54.179
16.996 54.097
16.994 54.08
16.995 54.076
16.992 54.069
16.989 54.052
16.985 54.04
16.987 54.037
16.975 54.012
16.959 53.996
16.954 53.999
16.95 54
16.945 53.998
16.941 53.997
16.937 54.002
16.936 54.009
16.934 54.011
16.929 54.008
16.931 53.999
16.93 53.991
16.923 53.981
16.918 53.979
16.911 53.969
16.913 53.96
16.912 53.953
16.909 53.95
16.901 53.947
16.898 53.913
16.897 53.909
16.896 53.904
16.896 53.9
16.9 53.894
16.894 53.866
16.89 53.861
16.888 53.848
16.888 53.836
16.89 53.829
16.889 53.821
16.882 53.783
16.882 53.782
16.874 53.757
16.865 53.754
16.854 53.739
16.844 53.731
16.841 53.725
16.835 53.715
16.83 53.713
16.829 53.709
16.82 53.696
16.818 53.687
16.805 53.677
16.797 53.674
16.787 53.676
16.783 53.673
16.783 53.664
16.773 53.646
16.77 53.628
16.765 53.622
16.764 53.612
16.757 53.592
16.75 53.586
16.754 53.577
16.755 53.559
16.759 53.55
16.759 53.536
16.761 53.53
16.764 53.512
16.759 53.473
16.755 53.449
16.749 53.442
16.75 53.436
16.747 53.425
16.744 53.404
16.739 53.386
16.736 53.343
16.724 53.317
16.722 53.293
16.719 53.287
16.717 53.279
16.715 53.272
16.708 53.256
16.696 53.212
16.696 53.202
16.693 53.192
16.675 53.156
16.671 53.15
16.667 53.136
16.649 53.096
16.648 53.086
16.646 53.078
17.08 52.713
17.335 52.748
18.579 51.882
19.002 52.001
19.015 52.04
19.018 52.044
19.021 52.054
19.023 52.063
19.026 52.067
19.03 52.084
19.033 52.089
19.038 52.107
19.041 52.111
19.046 52.13
19.049 52.133
19.049 52.138
19.054 52.152
19.057 52.156
19.059 52.167
19.064 52.177
19.064 52.178
19.064 52.182
19.069 52.197
19.072 52.2
19.072 52.204
19.078 52.221
19.077 52.227
19.087 52.246
19.087 52.25
19.093 52.265
19.095 52.268
19.1 52.286
19.103 52.29
19.116 52.332
19.118 52.335
19.122 52.349
19.122 52.35
19.164 52.469
19.166 52.475
19.207 52.6
19.249 52.726
19.259 52.756
19.262 52.761
19.292 52.851
19.333 52.977
19.341 53.002
19.36 53.054
19.376 53.102
19.417 53.228
19.449 53.325
19.456 53.343
19.459 53.354
19.462 53.363
19.464 53.366
19.465 53.375
19.475 53.402
19.5 53.479
19.509 53.508
19.512 53.511
19.534 53.581
19.542 53.6
19.543 53.604
19.571 53.691
19.577 53.71
19.579 53.713
19.578 53.713
19.582 53.727
19.594 53.758
19.599 53.777
19.602 53.781
19.601 53.781
19.604 53.792
19.609 53.803
19.609 53.807
19.611 53.814
19.614 53.823
19.617 53.825
19.616 53.829
19.621 53.845
19.624 53.848
19.624 53.852
19.631 53.871
19.633 53.879
19.639 53.893
19.638 53.896
19.644 53.912
19.646 53.916
19.646 53.92
19.653 53.936
19.654 53.938
19.666 53.98
19.669 53.983
19.668 53.987
19.676 54.005
19.681 54.025
19.684 54.029
19.683 54.032
19.691 54.05
19.69 54.053
19.693 54.061
19.699 54.075
19.735 54.187
19.751 54.235
19.758 54.254
19.757 54.256
19.77 54.295
19.773 54.299
19.776 54.312
19.777 54.317
19.78 54.322
19.786 54.342
19.817 54.438
19.859 54.564
19.867 54.588
19.876 54.611
19.901 54.69
19.942 54.817
19.983 54.943
20 54.997
20 54.998
20.001 55
20.002 55
20.068 55.022
20.188 55.062
20.309 55.102
20.408 55.135
20.499 55.165
20.62 55.206
20.74 55.246
20.817 55.272
20.861 55.286
20.981 55.326
21.102 55.366
21.168 55.387
21.222 55.406
21.267 55.422
21.27 55.421
21.274 55.424
21.343 55.447
21.463 55.487
21.583 55.528
21.624 55.542
21.704 55.569
21.825 55.609
21.945 55.649
21.997 55.667
22.022 55.652
22.059 55.628
22.168 55.558
22.222 55.523
22.276 55.49
22.327 55.456
22.435 55.385
22.543 55.314
22.65 55.243
22.698 55.212
22.709 55.211
22.715 55.209
22.724 55.207
22.73 55.208
22.742 55.211
22.775 55.218
22.791 55.22
22.811 55.224
22.82 55.223
22.84 55.222
22.857 55.221
22.867 55.221
22.886 55.219
22.9 55.219
22.911 55.218
22.921 55.216
22.929 55.215
22.941 55.216
22.95 55.218
22.961 55.22
22.968 55.219
22.977 55.219
22.989 55.219
22.998 55.219
23.012 55.219
23.022 55.221
23.039 55.228
23.054 55.235
23.065 55.243
23.074 55.241
23.087 55.241
23.093 55.244
23.104 55.245
23.111 55.247
23.119 55.25
23.128 55.256
23.138 55.261
23.147 55.27
23.163 55.28
23.185 55.292
23.2 55.303
23.211 55.314
23.221 55.318
23.233 55.322
23.242 55.328
23.251 55.335
23.259 55.342
23.268 55.347
23.276 55.351
23.288 55.355
23.301 55.36
23.314 55.365
23.335 55.373
23.358 55.378
23.379 55.384
23.408 55.392
23.432 55.396
23.447 55.399
23.458 55.402
23.472 55.404
23.482 55.41
23.49 55.417
23.5 55.426
23.51 55.436
23.521 55.449
23.531 55.464
23.54 55.472
23.549 55.477
