segment Kuwait
28.991 48.171
28.953 48.188
28.948 48.198
28.938 48.207
28.926 48.211
28.92 48.213
28.913 48.218
28.904 48.228
28.901 48.236
28.898 48.235
28.892 48.241
28.888 48.248
28.883 48.265
28.88 48.287
28.875 48.293
28.858 48.286
28.845 48.284
28.844 48.283
28.834 48.285
28.804 48.284
28.776 48.299
28.766 48.307
28.756 48.323
28.744 48.347
28.744 48.348
28.739 48.362
28.737 48.379
28.74 48.394
28.739 48.398
28.738 48.399
28.721 48.389
28.707 48.384
28.688 48.382
28.679 48.385
28.673 48.391
28.665 48.391
28.66 48.396
28.653 48.394
28.644 48.393
28.633 48.396
28.627 48.395
28.619 48.389
28.613 48.389
28.608 48.393
28.603 48.391
28.593 48.401
28.586 48.402
28.581 48.402
28.576 48.404
28.57 48.404
28.559 48.412
28.543 48.425
28.537 48.428
28.536 48.431
segment Kuwait
30 48.049
30.005 48.055
30.012 48.077
30.014 48.1
30.005 48.155
30.009 48.156
30.01 48.16
30.007 48.163
30.006 48.163
30.002 48.159
30.001 48.154
30 48.15
29.996 48.139
29.996 48.129
29.991 48.118
29.985 48.099
29.983 48.094
29.975 48.078
29.965 48.068
29.959 48.055
29.957 48.041
29.959 48.037
29.955 48.031
29.949 48.028
29.95 48.022
29.955 48.019
29.97 48.022
29.978 48.033
29.985 48.04
29.993 48.044
29.998 48.047
30 48.049
segment Kuwait
29.913 48.207
29.917 48.202
29.917 48.198
29.92 48.195
29.929 48.195
29.931 48.192
29.93 48.189
29.927 48.188
29.921 48.19
29.918 48.189
29.919 48.186
29.928 48.185
29.928 48.183
29.922 48.182
29.911 48.18
29.908 48.18
29.902 48.187
29.9 48.188
29.896 48.186
29.895 48.175
29.893 48.172
29.892 48.165
29.888 48.16
29.888 48.155
29.891 48.153
29.897 48.152
29.899 48.154
29.901 48.16
29.902 48.16
29.904 48.157
29.9 48.148
29.903 48.145
29.914 48.145
29.925 48.15
29.934 48.146
29.933 48.139
29.934 48.135
29.943 48.123
29.946 48.12
29.949 48.122
29.955 48.121
29.958 48.11
29.971 48.11
29.974 48.121
29.978 48.137
29.978 48.162
29.976 48.17
29.962 48.206
29.953 48.214
29.947 48.228
29.937 48.235
29.929 48.245
29.903 48.277
29.883 48.295
29.828 48.328
29.803 48.343
29.798 48.349
29.792 48.361
29.793 48.364
29.798 48.364
29.799 48.366
29.798 48.369
29.79 48.376
29.787 48.377
29.77 48.377
29.764 48.378
29.758 48.382
29.752 48.382
29.735 48.377
29.732 48.377
29.705 48.366
29.683 48.352
29.662 48.334
29.643 48.316
29.629 48.301
29.599 48.267
29.585 48.246
29.58 48.237
29.577 48.225
29.58 48.213
29.58 48.201
29.588 48.188
29.592 48.185
29.614 48.171
29.626 48.172
29.636 48.168
29.637 48.163
29.646 48.159
29.656 48.158
29.67 48.153
29.679 48.153
29.682 48.145
29.689 48.142
29.692 48.137
29.7 48.129
29.702 48.127
29.708 48.128
29.716 48.121
29.719 48.12
29.736 48.123
29.739 48.121
29.742 48.112
29.745 48.11
29.751 48.11
29.759 48.105
29.76 48.102
29.76 48.099
29.764 48.091
29.765 48.075
29.767 48.07
29.77 48.067
29.784 48.065
29.789 48.067
29.81 48.081
29.814 48.08
29.817 48.082
29.818 48.091
29.821 48.101
29.818 48.111
29.818 48.12
29.814 48.131
29.818 48.139
29.821 48.138
29.822 48.116
29.825 48.101
29.821 48.088
29.822 48.081
29.826 48.079
29.834 48.08
29.841 48.101
29.844 48.105
29.845 48.111
29.838 48.117
29.836 48.122
29.84 48.127
29.832 48.132
29.832 48.139
29.83 48.147
29.833 48.147
29.836 48.14
29.845 48.143
29.85 48.138
29.847 48.134
29.847 48.129
29.845 48.125
29.852 48.122
29.852 48.111
29.852 48.11
29.86 48.121
29.862 48.13
29.866 48.134
29.861 48.14
29.859 48.146
29.861 48.151
29.855 48.158
29.85 48.159
29.848 48.161
29.841 48.162
29.835 48.168
29.834 48.172
29.827 48.171
29.824 48.173
29.822 48.178
29.828 48.182
29.832 48.179
29.837 48.182
29.839 48.181
29.838 48.176
29.841 48.169
29.846 48.168
29.851 48.17
29.853 48.172
29.86 48.174
29.863 48.169
29.866 48.152
29.866 48.144
29.87 48.141
29.874 48.132
29.877 48.136
29.876 48.154
29.875 48.159
29.88 48.159
29.885 48.169
29.869 48.174
29.864 48.177
29.863 48.177
29.862 48.179
29.861 48.188
29.864 48.19
29.868 48.186
29.869 48.181
29.878 48.178
29.879 48.179
29.877 48.182
29.876 48.189
29.878 48.191
29.881 48.188
29.882 48.185
29.887 48.182
29.891 48.196
29.897 48.196
29.904 48.199
29.907 48.2
29.91 48.206
29.913 48.207
