segment Aleutian180
51.792 178.299
51.794 178.295
51.793 178.291
51.799 178.289
51.807 178.279
51.808 178.27
51.809 178.261
51.813 178.261
51.814 178.258
51.815 178.239
51.822 178.23
51.826 178.229
51.828 178.217
51.835 178.217
segment Aleutian180
51.662 178.674
51.657 178.69
51.651 178.696
51.644 178.698
51.641 178.709
51.642 178.72
51.645 178.724
51.643 178.729
51.638 178.732
51.634 178.741
51.637 178.756
51.645 178.764
51.636 178.773
51.625 178.792
51.628 178.796
51.635 178.791
51.634 178.806
51.634 178.808
51.636 178.811
51.627 178.828
51.625 178.839
51.627 178.849
51.621 178.855
51.619 178.859
51.624 178.87
51.621 178.897
51.618 178.908
51.613 178.914
51.611 178.92
51.61 178.927
51.605 178.93
51.596 178.924
51.591 178.924
51.587 178.928
51.582 178.946
51.58 178.952
51.578 178.963
51.579 178.968
51.585 178.978
51.586 178.985
51.584 178.99
51.581 178.996
51.577 178.997
51.574 179
51.57 178.998
51.567 179.001
51.554 179.005
51.551 179.009
51.547 179.021
51.543 179.027
51.534 179.029
51.525 179.041
51.524 179.058
51.519 179.068
51.516 179.071
51.503 179.083
51.492 179.097
51.485 179.11
51.485 179.121
51.481 179.132
51.468 179.157
51.466 179.164
51.466 179.174
51.465 179.183
51.468 179.194
51.455 179.2
51.45 179.194
51.447 179.203
51.444 179.207
51.441 179.22
51.433 179.228
51.428 179.223
51.425 179.223
51.423 179.234
51.421 179.237
51.416 179.238
51.414 179.248
51.409 179.255
51.409 179.272
51.415 179.284
51.419 179.308
51.415 179.308
51.41 179.303
51.402 179.284
51.399 179.281
51.395 179.282
51.395 179.284
51.393 179.293
51.396 179.324
51.405 179.348
51.407 179.363
51.405 179.371
51.403 179.375
51.403 179.381
51.405 179.387
51.411 179.394
51.412 179.398
51.408 179.408
51.4 179.407
51.388 179.41
51.384 179.41
51.386 179.424
51.385 179.433
51.385 179.443
51.382 179.45
51.378 179.454
51.375 179.471
51.371 179.472
51.371 179.465
51.367 179.46
51.365 179.454
51.367 179.445
51.361 179.424
51.36 179.392
51.362 179.386
51.367 179.387
51.373 179.396
51.376 179.395
51.376 179.39
51.371 179.364
51.369 179.354
51.361 179.333
51.36 179.327
51.363 179.323
51.364 179.312
51.362 179.295
51.362 179.286
51.356 179.269
51.358 179.264
51.353 179.256
51.35 179.246
51.355 179.223
51.363 179.215
51.378 179.222
51.379 179.226
51.382 179.237
51.386 179.222
51.392 179.21
51.393 179.194
51.396 179.177
51.399 179.172
51.402 179.175
51.407 179.168
51.412 179.168
51.425 179.127
51.437 179.103
51.444 179.095
51.445 179.094
51.445 179.083
51.456 179.059
51.461 179.056
51.466 179.057
51.468 179.049
51.474 179.045
51.475 179.039
