segment Afghanistan
33.233 70.164
33.221 70.156
33.213 70.131
33.21 70.104
33.208 70.094
33.216 70.079
33.214 70.067
33.143 70.023
33.141 70.006
33.14 70
33.138 69.987
33.136 69.977
33.131 69.965
33.129 69.946
33.118 69.929
33.104 69.917
33.101 69.901
33.102 69.892
33.096 69.876
33.096 69.856
33.105 69.829
33.124 69.799
33.128 69.787
33.12 69.773
33.114 69.767
33.114 69.746
33.11 69.737
33.1 69.731
33.093 69.723
33.09 69.705
33.094 69.689
33.098 69.679
33.098 69.667
33.095 69.655
33.098 69.617
33.098 69.58
33.082 69.567
33.059 69.543
33.029 69.507
33.002 69.5
32.966 69.493
32.943 69.492
32.886 69.515
32.874 69.531
32.866 69.535
32.861 69.531
32.854 69.512
32.848 69.501
32.851 69.474
32.847 69.464
32.833 69.458
32.815 69.441
32.793 69.412
32.782 69.395
32.774 69.392
32.761 69.393
32.749 69.403
32.74 69.415
32.732 69.431
32.728 69.441
32.72 69.442
32.71 69.44
32.7 69.439
32.694 69.437
32.686 69.437
32.677 69.443
32.671 69.448
32.663 69.451
32.652 69.444
32.637 69.434
32.616 69.416
32.59 69.4
32.567 69.385
32.55 69.343
32.543 69.326
32.541 69.301
32.533 69.285
32.506 69.27
32.461 69.241
32.444 69.239
32.414 69.25
32.374 69.271
32.356 69.281
32.292 69.28
32.272 69.27
32.21 69.274
32.194 69.276
32.172 69.274
32.151 69.273
32.093 69.289
32.071 69.286
32 69.298
31.992 69.3
31.986 69.312
31.976 69.313
31.969 69.315
31.944 69.323
31.941 69.323
31.928 69.318
31.925 69.313
31.919 69.299
31.912 69.278
31.906 69.272
31.895 69.267
31.887 69.263
31.863 69.231
31.854 69.211
31.853 69.203
31.848 69.198
31.83 69.192
31.823 69.186
31.809 69.181
31.8 69.175
31.784 69.156
31.759 69.149
31.748 69.135
31.736 69.132
31.724 69.127
31.72 69.12
31.71 69.121
31.703 69.118
31.7 69.11
31.694 69.096
31.693 69.096
31.681 69.081
31.667 69.066
31.66 69.047
31.65 69.031
31.642 69.024
31.627 69.021
31.625 69.011
31.628 69.001
31.627 68.993
31.628 68.986
31.636 68.978
31.636 68.969
31.64 68.962
31.646 68.949
31.642 68.944
31.621 68.934
31.613 68.928
31.605 68.917
31.601 68.901
31.602 68.872
31.598 68.859
31.597 68.848
31.599 68.842
31.606 68.832
31.605 68.822
31.61 68.812
31.61 68.805
31.619 68.798
31.635 68.783
31.655 68.778
31.661 68.774
31.67 68.752
31.679 68.743
31.697 68.717
31.702 68.714
31.716 68.716
31.751 68.709
31.77 68.702
31.771 68.698
31.774 68.682
31.773 68.678
31.776 68.64
