segment Ukraine
46.613 31.069
46.61 31.055
46.602 31.03
46.599 31.012
46.593 30.996
46.59 30.978
46.583 30.953
46.582 30.947
46.582 30.936
46.581 30.927
46.563 30.874
46.551 30.829
46.551 30.822
46.559 30.815
46.562 30.808
46.557 30.783
46.557 30.782
46.552 30.771
46.54 30.751
46.516 30.737
46.51 30.738
46.502 30.742
46.497 30.748
46.49 30.764
46.485 30.769
46.48 30.771
46.469 30.768
46.453 30.772
46.443 30.774
46.423 30.771
46.376 30.748
46.377 30.742
46.375 30.738
46.36 30.721
46.345 30.703
46.341 30.698
46.323 30.68
46.319 30.677
46.31 30.671
46.297 30.667
46.279 30.65
46.223 30.613
46.209 30.594
46.19 30.576
46.184 30.573
46.182 30.573
46.173 30.566
46.152 30.547
46.139 30.526
46.127 30.515
46.116 30.51
46.102 30.499
46.086 30.482
46.091 30.47
46.083 30.472
46.08 30.472
46.076 30.472
46.075 30.471
46.066 30.453
46.05 30.431
46.027 30.406
46.008 30.376
45.984 30.348
45.982 30.346
45.948 30.312
45.921 30.281
45.895 30.259
45.886 30.247
45.883 30.242
45.867 30.217
45.858 30.197
45.836 30.169
45.826 30.145
45.804 30.103
45.797 30.085
45.773 30.052
45.764 30.035
45.741 30
45.722 29.97
45.721 29.968
45.678 29.89
45.663 29.869
45.658 29.859
45.651 29.841
45.643 29.829
45.633 29.814
45.615 29.774
45.587 29.728
45.587 29.724
45.589 29.722
45.597 29.731
45.611 29.753
45.613 29.757
45.629 29.791
45.649 29.824
45.657 29.845
45.678 29.881
45.68 29.877
45.68 29.871
45.679 29.866
45.677 29.864
45.669 29.851
45.66 29.841
45.656 29.833
45.653 29.821
45.65 29.803
45.655 29.802
45.657 29.787
45.65 29.785
45.65 29.791
45.644 29.79
45.64 29.788
45.639 29.783
45.634 29.782
45.629 29.778
45.625 29.77
45.626 29.751
45.624 29.75
45.623 29.748
45.618 29.755
45.613 29.748
45.613 29.745
45.616 29.74
45.626 29.735
45.66 29.729
45.673 29.723
45.691 29.703
45.707 29.68
45.708 29.68
45.713 29.681
45.727 29.692
45.738 29.695
45.743 29.694
45.744 29.686
45.748 29.685
45.755 29.691
45.775 29.691
45.778 29.693
45.781 29.699
45.805 29.697
45.809 29.695
45.811 29.691
45.811 29.687
45.809 29.685
45.809 29.681
45.809 29.671
45.813 29.667
45.811 29.657
45.813 29.655
45.822 29.652
45.826 29.645
45.832 29.639
45.828 29.637
45.817 29.644
45.809 29.646
45.804 29.647
45.8 29.65
45.799 29.654
45.797 29.654
45.794 29.653
45.788 29.644
45.771 29.637
45.76 29.628
45.74 29.626
45.732 29.629
45.723 29.645
45.72 29.642
45.716 29.631
45.707 29.614
45.705 29.611
45.7 29.606
45.69 29.603
45.669 29.605
45.646 29.611
45.618 29.613
45.612 29.606
45.604 29.608
45.586 29.603
45.573 29.599
45.567 29.6
45.562 29.602
45.553 29.612
45.547 29.628
45.543 29.647
45.543 29.654
45.567 29.688
45.581 29.713
45.581 29.715
45.581 29.716
45.579 29.718
45.576 29.715
45.559 29.692
45.549 29.674
45.533 29.662
45.523 29.645
45.519 29.64
45.501 29.629
45.489 29.62
45.484 29.612
45.482 29.608
45.465 29.632
45.459 29.635
45.456 29.631
45.454 29.633
45.445 29.653
45.445 29.658
45.447 29.661
45.456 29.658
45.464 29.667
45.472 29.662
45.476 29.665
45.475 29.674
45.471 29.678
45.468 29.675
45.464 29.678
45.459 29.677
45.459 29.682
45.459 29.69
45.461 29.691
45.465 29.689
45.473 29.701
45.473 29.711
45.471 29.716
45.473 29.73
45.476 29.733
45.48 29.728
45.484 29.731
45.484 29.735
45.478 29.739
45.478 29.745
45.467 29.749
45.461 29.759
45.457 29.759
45.449 29.763
45.432 29.765
45.424 29.762
45.415 29.758
45.416 29.747
45.422 29.744
45.426 29.737
45.421 29.734
45.413 29.734
45.412 29.744
45.41 29.754
45.405 29.756
45.397 29.752
45.395 29.759
45.392 29.761
45.379 29.758
45.372 29.757
45.36 29.758
45.345 29.764
45.334 29.768
45.306 29.754
45.3 29.755
45.27 29.736
45.243 29.739
45.237 29.745
45.236 29.741
45.235 29.729
45.235 29.723
45.234 29.718
45.231 29.719
45.225 29.71
45.225 29.704
45.23 29.702
45.234 29.7
45.239 29.702
45.241 29.696
45.228 29.687
45.222 29.679
45.217 29.676
45.227 29.675
45.235 29.672
45.241 29.669
45.255 29.661
45.262 29.666
45.265 29.67
45.271 29.681
45.283 29.68
45.29 29.679
45.299 29.674
45.304 29.675
45.312 29.674
45.327 29.665
45.337 29.66
45.344 29.657
45.351 29.648
45.355 29.643
45.359 29.64
45.374 29.62
45.39 29.599
45.4 29.582
45.407 29.571
45.411 29.562
45.413 29.545
45.42 29.507
45.424 29.487
45.431 29.464
45.439 29.443
45.444 29.43
45.439 29.397
45.44 29.371
45.444 29.346
45.445 29.344
45.445 29.337
45.442 29.328
45.436 29.318
45.433 29.316
45.433 29.314
45.432 29.286
45.432 29.271
45.431 29.261
45.43 29.249
45.42 29.228
45.415 29.209
45.411 29.198
45.403 29.189
45.4 29.183
45.398 29.172
45.392 29.162
45.39 29.154
45.387 29.149
45.385 29.141
45.384 29.131
45.388 29.114
45.388 29.099
45.387 29.091
45.383 29.079
45.374 29.062
45.368 29.055
45.365 29.05
45.364 29.043
45.364 29.03
45.363 29.02
45.36 29.007
45.356 28.997
45.347 28.985
45.332 28.967
45.319 28.958
45.31 28.957
45.296 28.96
45.29 28.957
45.287 28.953
45.286 28.947
45.285 28.931
45.287 28.927
45.303 28.905
45.306 28.902
45.308 28.9
