segment Bangladesh
25.163 91.407
25.148 91.432
25.145 91.457
25.135 91.476
25.134 91.492
25.136 91.505
25.145 91.519
25.145 91.527
25.144 91.536
25.142 91.543
25.143 91.551
25.149 91.562
25.166 91.584
25.167 91.595
25.166 91.599
25.158 91.603
25.142 91.598
25.138 91.601
25.138 91.619
25.135 91.623
25.133 91.625
25.123 91.632
25.126 91.65
25.127 91.683
25.131 91.69
25.153 91.698
25.155 91.701
25.155 91.709
25.147 91.733
25.145 91.735
25.145 91.742
25.147 91.745
25.165 91.753
25.169 91.76
25.165 91.785
25.168 91.798
25.169 91.836
25.172 91.848
25.172 91.855
25.172 91.879
25.179 91.915
25.18 91.95
25.177 91.96
25.172 91.965
25.165 91.979
25.165 91.982
25.168 91.985
25.175 91.991
25.18 92.012
25.185 92.02
25.185 92.055
25.168 92.116
25.166 92.122
25.156 92.134
25.141 92.136
25.137 92.139
25.135 92.143
25.146 92.157
25.132 92.16
25.124 92.167
25.12 92.176
25.12 92.184
25.13 92.18
25.133 92.183
25.132 92.19
25.123 92.21
25.121 92.211
25.113 92.215
25.106 92.215
25.101 92.219
25.096 92.239
25.082 92.261
25.078 92.27
25.073 92.288
25.071 92.303
25.072 92.312
25.08 92.328
25.078 92.334
25.073 92.341
25.052 92.334
25.047 92.338
25.045 92.345
25.045 92.373
25.033 92.399
25.032 92.401
25.021 92.413
25.008 92.417
25 92.418
24.975 92.421
24.967 92.43
24.965 92.435
24.966 92.452
24.964 92.46
24.96 92.463
24.946 92.449
24.94 92.451
24.938 92.457
24.94 92.48
24.936 92.486
24.933 92.487
24.93 92.485
24.92 92.491
24.897 92.494
24.886 92.491
24.877 92.491
24.868 92.49
24.865 92.485
24.868 92.475
24.871 92.469
24.87 92.46
24.868 92.45
24.853 92.434
24.853 92.428
24.856 92.415
24.852 92.401
24.852 92.396
24.858 92.383
24.859 92.362
24.856 92.348
24.856 92.347
24.857 92.333
24.85 92.297
24.855 92.289
24.855 92.281
24.83 92.26
24.807 92.277
24.802 92.276
24.785 92.274
24.772 92.266
24.734 92.251
24.683 92.234
24.679 92.232
24.675 92.229
24.626 92.204
24.611 92.198
24.593 92.197
24.573 92.194
24.565 92.189
24.557 92.184
24.547 92.172
24.535 92.146
24.53 92.14
24.523 92.134
24.513 92.129
24.498 92.129
24.488 92.133
24.466 92.132
24.461 92.132
24.452 92.138
24.437 92.143
24.42 92.144
24.399 92.138
24.392 92.132
24.382 92.12
24.375 92.106
24.374 92.088
24.374 92.087
24.38 92.048
24.38 92.036
24.383 92.024
24.383 92.011
24.381 92
24.376 91.988
24.377 91.971
24.375 91.964
24.37 91.965
24.366 91.97
24.355 91.981
24.343 91.99
24.326 91.996
24.319 91.994
24.319 91.988
24.328 91.978
24.349 91.966
24.352 91.959
24.349 91.947
24.342 91.939
24.326 91.92
24.318 91.92
24.293 91.932
24.279 91.933
24.239 91.928
24.226 91.924
24.203 91.916
24.155 91.91
24.145 91.906
24.143 91.902
24.141 91.894
24.143 91.883
24.148 91.877
24.157 91.871
24.159 91.87
24.178 91.862
24.185 91.855
24.189 91.844
24.195 91.838
24.199 91.838
24.217 91.847
24.225 91.841
24.224 91.834
24.212 91.817
24.211 91.81
24.215 91.799
24.219 91.79
24.236 91.757
24.236 91.751
24.236 91.748
24.232 91.744
24.212 91.744
24.18 91.755
24.175 91.755
24.166 91.757
24.159 91.76
24.144 91.758
24.138 91.753
24.134 91.745
24.136 91.734
24.159 91.693
24.168 91.685
24.188 91.676
24.228 91.659
24.227 91.652
24.217 91.648
24.188 91.653
24.166 91.641
24.154 91.638
24.149 91.638
24.116 91.639
24.105 91.638
24.096 91.63
24.093 91.616
24.077 91.594
24.074 91.586
24.074 91.558
24.071 91.547
24.071 91.537
24.093 91.489
24.096 91.477
24.095 91.464
24.095 91.451
24.098 91.436
24.108 91.413
24.11 91.397
24.108 91.388
24.1 91.378
24.096 91.377
24.058 91.392
24.044 91.396
24.034 91.392
24.017 91.378
24.006 91.368
24.004 91.369
24 91.372
23.987 91.372
23.978 91.37
23.984 91.34
23.988 91.302
23.971 91.289
23.967 91.281
23.959 91.262
23.952 91.266
23.942 91.264
23.93 91.268
23.925 91.267
23.924 91.263
23.919 91.242
23.913 91.242
23.904 91.241
23.893 91.229
23.881 91.227
23.866 91.234
23.845 91.245
23.833 91.246
23.823 91.242
23.81 91.232
23.787 91.226
23.771 91.228
23.764 91.227
23.746 91.219
23.739 91.213
23.739 91.209
23.748 91.2
23.747 91.176
23.745 91.168
23.742 91.163
23.734 91.159
23.716 91.151
23.702 91.151
23.69 91.156
23.687 91.164
23.687 91.181
23.688 91.196
23.685 91.198
23.675 91.2
23.668 91.198
23.648 91.197
23.646 91.194
23.645 91.182
23.652 91.174
23.661 91.169
23.667 91.164
23.651 91.158
23.641 91.151
23.637 91.152
23.61 91.158
23.595 91.163
23.592 91.165
23.586 91.175
23.578 91.176
23.565 91.19
23.559 91.193
23.545 91.197
23.542 91.202
23.542 91.207
23.538 91.208
23.52 91.197
23.513 91.205
23.508 91.214
23.503 91.218
23.495 91.218
23.495 91.231
23.492 91.232
23.488 91.233
23.485 91.238
23.484 91.243
23.436 91.251
23.428 91.265
23.421 91.259
23.414 91.266
23.401 91.271
23.386 91.274
23.38 91.274
23.376 91.279
23.374 91.287
23.366 91.282
23.355 91.289
23.349 91.29
23.356 91.307
23.356 91.313
23.349 91.314
23.346 91.306
23.339 91.304
23.33 91.294
23.328 91.29
23.319 91.288
23.313 91.296
23.311 91.303
23.302 91.308
23.298 91.306
23.296 91.298
23.288 91.299
23.28 91.308
23.275 91.309
23.269 91.307
23.26 91.311
23.247 91.32
23.239 91.316
