segment Turkmenistan
42.489 57.994
42.492 57.999
42.493 58.004
42.5 58.016
42.502 58.026
42.504 58.047
42.505 58.047
42.504 58.053
42.502 58.068
42.49 58.086
42.471 58.092
42.465 58.098
42.459 58.112
42.454 58.118
42.443 58.122
42.441 58.126
42.443 58.135
42.449 58.154
42.467 58.201
42.468 58.218
42.464 58.244
42.448 58.323
42.441 58.34
42.435 58.35
42.419 58.37
42.41 58.377
42.397 58.385
42.383 58.392
42.371 58.397
42.351 58.403
42.334 58.405
42.302 58.402
42.291 58.406
42.292 58.416
42.297 58.447
42.296 58.459
42.289 58.492
42.289 58.502
42.294 58.51
42.297 58.514
42.31 58.521
42.322 58.518
42.335 58.497
42.34 58.482
42.355 58.453
42.366 58.429
42.364 58.418
42.371 58.408
42.39 58.409
42.405 58.405
42.416 58.392
42.449 58.364
42.481 58.347
42.498 58.334
42.514 58.327
42.519 58.325
42.548 58.306
42.557 58.297
42.558 58.293
42.561 58.268
42.567 58.246
42.574 58.228
42.588 58.195
42.596 58.182
42.601 58.171
42.61 58.155
42.622 58.148
42.633 58.152
42.638 58.161
42.639 58.174
42.654 58.196
42.67 58.224
42.68 58.247
42.689 58.278
42.689 58.297
42.685 58.324
42.68 58.36
42.673 58.392
42.664 58.418
42.661 58.444
42.654 58.459
42.65 58.473
42.651 58.496
42.658 58.534
42.659 58.553
42.654 58.573
42.653 58.578
42.658 58.589
42.666 58.595
42.701 58.605
42.707 58.599
42.717 58.584
42.719 58.584
42.726 58.59
42.729 58.595
42.729 58.609
42.724 58.621
42.724 58.63
42.728 58.637
42.736 58.641
42.74 58.64
42.747 58.633
42.751 58.624
42.755 58.62
42.763 58.618
42.782 58.625
42.796 58.626
42.789 58.636
42.769 58.657
42.727 58.703
42.679 58.762
42.654 58.791
42.65 58.798
42.641 58.807
42.588 58.873
42.568 58.897
42.559 58.91
42.544 58.935
42.539 58.949
42.536 58.968
42.53 58.987
42.528 58.998
42.525 59.001
42.514 59.033
42.511 59.048
42.51 59.075
42.51 59.076
42.508 59.093
42.508 59.104
42.512 59.117
42.524 59.137
42.528 59.154
42.529 59.161
42.528 59.169
42.522 59.184
42.517 59.194
42.51 59.204
42.49 59.222
42.46 59.257
42.452 59.265
42.439 59.277
42.431 59.28
42.425 59.28
42.419 59.28
42.399 59.27
42.393 59.271
42.371 59.301
42.355 59.321
42.35 59.33
42.329 59.357
42.328 59.358
42.321 59.367
42.311 59.377
42.306 59.391
42.296 59.399
42.284 59.407
42.277 59.419
42.276 59.442
42.277 59.465
42.277 59.482
42.277 59.485
42.277 59.49
42.277 59.497
42.278 59.531
42.279 59.543
42.278 59.566
42.278 59.579
42.279 59.582
42.279 59.589
42.281 59.608
42.281 59.641
42.282 59.651
42.283 59.659
42.287 59.675
42.286 59.718
42.283 59.729
42.284 59.734
42.283 59.739
42.28 59.748
42.277 59.754
42.269 59.793
42.269 59.804
42.274 59.811
42.297 59.821
42.306 59.828
42.293 59.851
42.288 59.87
42.283 59.893
42.274 59.907
42.252 59.922
42.234 59.939
42.222 59.957
42.218 59.97
42.215 60
42.215 60.007
42.213 60.014
42.205 60.029
42.196 60.039
42.187 60.046
42.177 60.05
42.167 60.049
42.16 60.044
42.153 60.034
42.151 60.024
42.153 60.006
42.155 60
42.156 59.997
42.153 59.987
42.147 59.973
42.139 59.969
42.128 59.97
42.125 59.973
42.118 59.98
42.108 59.993
42.102 59.997
42.09 59.999
42.082 60
42.065 60.001
42.052 60.005
42.05 60.006
42.034 60.015
42.023 60.026
42.01 60.03
42.007 60.027
42.002 60.022
42.002 60.016
42.001 60
42.001 59.999
42 59.981
42 59.977
41.999 59.961
41.992 59.949
41.987 59.945
41.974 59.949
41.967 59.958
41.954 59.976
41.956 59.986
41.957 59.996
41.953 60
41.951 60.003
41.952 60.007
41.916 60.045
41.908 60.063
41.898 60.105
41.895 60.115
41.888 60.127
41.879 60.138
41.858 60.149
41.85 60.158
41.845 60.166
41.835 60.184
41.831 60.196
41.825 60.231
41.815 60.258
41.813 60.263
41.794 60.284
41.78 60.308
41.768 60.319
41.761 60.319
41.759 60.313
41.759 60.297
41.752 60.291
41.757 60.274
41.767 60.257
41.766 60.239
41.766 60.231
41.783 60.204
41.787 60.191
41.792 60.18
41.791 60.18
41.795 60.165
41.797 60.157
41.798 60.152
41.801 60.146
41.804 60.137
41.803 60.13
41.803 60.115
41.811 60.096
41.812 60.089
41.809 60.084
41.804 60.082
41.801 60.081
41.79 60.078
41.773 60.072
41.766 60.067
41.753 60.06
41.747 60.063
41.74 60.066
41.728 60.069
41.708 60.085
41.682 60.109
41.679 60.113
41.673 60.118
41.657 60.133
41.642 60.143
41.624 60.158
41.61 60.164
41.591 60.164
41.581 60.158
41.576 60.152
41.559 60.126
41.548 60.112
41.535 60.104
41.505 60.098
41.473 60.096
41.456 60.097
41.443 60.093
41.432 60.094
41.412 60.106
41.409 60.11
41.395 60.131
41.381 60.16
41.363 60.204
41.33 60.27
41.326 60.277
41.324 60.283
41.317 60.295
41.312 60.306
41.295 60.336
41.253 60.399
41.246 60.414
41.241 60.424
41.239 60.429
41.228 60.453
41.221 60.469
41.217 60.485
41.216 60.506
41.223 60.562
41.223 60.581
41.225 60.623
41.228 60.684
41.228 60.716
41.228 60.769
41.229 60.769
41.233 60.805
41.231 60.861
41.232 60.877
41.236 60.908
41.235 60.931
41.237 60.937
41.238 60.94
41.238 60.948
41.236 60.972
41.238 60.993
41.237 61
41.234 61.025
41.234 61.035
41.235 61.046
41.229 61.052
41.224 61.057
41.223 61.058
41.219 61.062
41.209 61.075
41.209 61.088
41.212 61.102
41.212 61.105
41.212 61.118
41.21 61.125
41.205 61.132
41.2 61.138
41.199 61.14
41.198 61.141
41.183 61.158
41.181 61.161
41.173 61.171
41.17 61.178
41.167 61.185
41.162 61.205
41.149 61.239
41.146 61.254
41.148 61.26
41.146 61.264
41.145 61.287
41.147 61.293
41.145 61.3
41.147 61.317
41.148 61.336
41.15 61.339
41.15 61.345
41.153 61.362
41.159 61.372
41.165 61.38
41.171 61.384
41.18 61.389
41.191 61.393
41.205 61.395
41.21 61.398
41.219 61.405
41.228 61.406
41.251 61.403
41.262 61.404
41.274 61.411
41.286 61.422
41.291 61.432
41.292 61.443
41.287 61.481
41.282 61.494
41.272 61.516
41.269 61.532
41.266 61.57
41.276 61.598
41.275 61.609
41.27 61.62
41.265 61.627
41.253 61.635
41.238 61.641
41.231 61.65
41.226 61.661
41.222 61.675
41.22 61.702
41.215 61.713
41.194 61.737
41.184 61.746
41.176 61.757
41.163 61.781
41.159 61.789
41.154 61.813
41.121 61.854
41.109 61.88
41.095 61.891
41.078 61.899
41.075 61.898
41.07 61.898
41.063 61.894
41.058 61.897
41.053 61.901
41.049 61.911
41.047 61.923
41.037 61.947
41.034 61.955
41.027 61.964
41.019 61.971
41.006 61.977
41 61.977
40.995 61.977
40.984 61.981
40.98 61.992
40.977 61.994
40.974 61.996
40.966 61.995
40.947 61.991
40.931 61.993
40.924 61.995
40.923 61.996
40.917 61.996
40.9 61.997
40.892 62
40.872 62.001
40.868 62.001
40.86 62.001
40.851 62
40.848 62
40.841 61.998
40.834 61.999
40.825 62.001
40.82 62
40.818 62.002
40.811 62.007
40.802 62.014
40.787 62.026
40.77 62.032
40.758 62.042
40.712 62.045
40.699 62.052
40.691 62.062
40.689 62.067
40.676 62.078
40.672 62.081
40.657 62.091
40.643 62.098
40.641 62.099
40.629 62.105
40.612 62.107
40.602 62.11
40.596 62.113
40.579 62.126
40.574 62.128
40.565 62.135
40.556 62.144
40.531 62.189
40.521 62.196
40.509 62.208
40.494 62.236
40.485 62.264
40.478 62.272
40.456 62.297
40.448 62.314
40.446 62.329
40.438 62.349
40.433 62.35
40.409 62.344
40.383 62.333
40.375 62.335
40.358 62.35
40.348 62.366
40.34 62.375
40.327 62.386
40.318 62.391
40.311 62.393
40.301 62.392
40.286 62.384
40.276 62.383
40.263 62.388
40.245 62.39
40.238 62.392
40.211 62.402
40.19 62.405
40.174 62.414
40.152 62.414
40.13 62.412
40.11 62.397
40.099 62.396
40.093 62.401
40.083 62.411
40.065 62.427
40.036 62.43
40.024 62.436
40.015 62.435
40 62.439
39.991 62.443
39.97 62.462
39.951 62.488
39.776 62.798
39.696 62.949
39.574 63.17
39.528 63.262
39.504 63.304
39.475 63.358
39.445 63.42
39.431 63.453
39.401 63.508
39.388 63.529
39.384 63.539
39.347 63.583
39.289 63.66
39.269 63.677
39.262 63.686
39.252 63.692
39.228 63.717
39.207 63.745
39.189 63.777
39.182 63.787
39.176 63.799
39.149 63.847
39.129 63.886
39.102 63.932
39.07 63.984
39.041 64.033
39.03 64.056
39.007 64.095
38.987 64.126
38.966 64.159
38.959 64.177
38.956 64.207
38.957 64.23
38.961 64.251
38.981 64.297
38.986 64.322
38.986 64.331
38.953 64.37
38.925 64.403
38.901 64.437
38.877 64.47
38.838 64.523
38.822 64.552
38.806 64.582
38.773 64.653
38.759 64.675
38.73 64.738
38.712 64.776
38.701 64.789
38.696 64.797
38.679 64.827
38.669 64.851
38.656 64.89
38.641 64.94
38.634 64.966
38.621 64.998
38.621 65
38.612 65.025
38.606 65.037
38.567 65.089
38.477 65.202
38.434 65.26
38.408 65.301
38.376 65.362
38.338 65.439
38.319 65.481
38.304 65.526
38.291 65.565
38.271 65.637
38.261 65.665
38.252 65.696
38.241 65.756
38.236 65.797
38.236 65.809
38.239 65.817
38.25 65.82
38.251 65.823
38.251 65.831
38.25 65.836
38.263 65.842
38.274 65.851
38.279 65.872
38.279 65.896
38.275 65.915
38.259 65.937
38.241 65.956
38.231 65.976
38.226 65.994
38.227 66.001
38.228 66.023
38.225 66.034
38.214 66.045
38.211 66.05
38.211 66.059
38.209 66.069
38.207 66.075
38.204 66.084
38.202 66.094
38.195 66.1
38.185 66.105
38.179 66.119
38.172 66.144
38.161 66.194
38.16 66.219
38.159 66.235
38.154 66.246
38.136 66.258
38.114 66.274
38.102 66.287
38.088 66.302
38.079 66.313
38.073 66.325
38.069 66.337
38.064 66.347
38.059 66.357
38.051 66.373
38.047 66.38
38.032 66.4
38.029 66.417
38.027 66.427
38.028 66.44
38.038 66.481
38.042 66.497
38.038 66.551
38.036 66.566
38.03 66.581
38.027 66.594
38.024 66.602
38.014 66.62
38.005 66.63
37.991 66.644
37.962 66.677
37.948 66.684
37.933 66.684
37.919 66.679
37.912 66.67
37.892 66.624
37.881 66.611
37.855 66.597
37.842 66.58
37.822 66.564
37.8 66.553
37.792 66.548
37.75 66.539
37.738 66.539
37.728 66.538
37.702 66.545
37.681 66.542
37.662 66.539
37.605 66.533
37.579 66.538
37.571 66.545
37.484 66.637
37.465 66.646
37.452 66.646
37.44 66.64
37.432 66.615
37.424 66.574
37.414 66.549
37.403 66.531
37.392 66.521
37.381 66.518
37.369 66.521
37.348 66.526
37.346 66.521
37.34 66.499
37.334 66.484
37.334 66.475
37.334 66.474
37.331 66.418
37.332 66.39
37.328 66.37
37.323 66.348
37.318 66.33
37.32 66.31
37.323 66.3
37.331 66.286
37.339 66.274
37.349 66.256
37.356 66.246
37.365 66.239
37.368 66.23
37.366 66.213
37.364 66.188
37.368 66.172
37.377 66.148
37.388 66.133
37.394 66.13
37.405 66.127
37.415 66.12
37.429 66.099
37.438 66.068
37.449 66.031
37.454 65.994
37.459 65.939
37.466 65.907
37.473 65.877
37.493 65.836
37.512 65.817
37.53 65.808
37.538 65.798
37.543 65.777
37.545 65.766
37.541 65.758
37.532 65.742
37.528 65.698
37.431 65.644
37.352 65.641
37.335 65.638
37.32 65.624
37.305 65.607
37.258 65.549
37.234 65.524
37.234 65.503
37.233 65.385
37.233 65.263
37.244 65.241
37.25 65.228
37.249 65.222
37.244 65.209
37.236 65.192
37.235 65.185
37.237 65.174
37.242 65.144
37.241 65.137
37.24 65.131
37.236 65.102
37.226 65.055
37.216 65
37.213 64.983
37.209 64.973
37.203 64.96
37.192 64.935
37.166 64.878
37.116 64.77
37.106 64.757
37.091 64.759
37.007 64.779
36.959 64.788
36.936 64.795
36.929 64.79
36.853 64.738
36.806 64.708
36.746 64.673
36.686 64.636
36.649 64.618
36.634 64.607
36.627 64.605
36.566 64.612
36.509 64.618
36.473 64.623
36.445 64.621
36.423 64.615
36.403 64.604
36.373 64.581
36.351 64.563
36.326 64.538
36.304 64.511
36.282 64.483
36.248 64.458
36.237 64.449
36.24 64.43
36.237 64.415
36.226 64.374
36.207 64.33
36.199 64.318
36.166 64.297
36.154 64.289
36.153 64.283
36.158 64.271
36.163 64.266
36.162 64.261
36.157 64.245
36.155 64.239
36.158 64.235
36.163 64.227
36.166 64.222
36.165 64.197
36.162 64.172
36.155 64.168
36.147 64.167
36.143 64.148
36.138 64.136
36.132 64.129
36.124 64.107
36.113 64.082
36.105 64.073
36.085 64.062
36.069 64.062
36.05 64.064
36.02 64.074
36.008 64.074
36.003 64.071
36.002 64.065
36.008 64.052
36.015 64.039
36.028 64.016
36.037 63.994
36.042 63.976
36.042 63.963
36.04 63.935
36.026 63.869
36.02 63.845
36.005 63.826
35.999 63.815
35.99 63.777
35.967 63.674
35.962 63.632
35.96 63.585
35.956 63.574
35.936 63.559
35.913 63.547
35.907 63.533
35.907 63.523
35.906 63.515
35.902 63.49
35.885 63.406
35.87 63.331
35.865 63.3
35.866 63.231
35.867 63.182
35.869 63.14
35.869 63.129
35.862 63.121
35.848 63.114
35.833 63.109
35.827 63.112
35.818 63.127
35.803 63.14
35.792 63.14
35.776 63.141
35.767 63.15
35.758 63.165
35.752 63.174
35.741 63.184
35.725 63.198
35.717 63.21
35.716 63.225
35.713 63.234
35.703 63.244
35.692 63.248
35.687 63.244
35.672 63.2
35.661 63.165
35.645 63.12
35.629 63.101
35.619 63.095
35.612 63.096
35.603 63.103
35.593 63.106
35.583 63.104
35.574 63.103
35.567 63.105
35.562 63.11
35.555 63.124
35.55 63.127
35.538 63.125
35.524 63.118
35.52 63.112
35.516 63.113
35.51 63.119
35.505 63.12
35.488 63.115
35.465 63.111
35.428 63.096
35.424 63.074
35.422 63.047
35.424 63.035
35.429 63.015
35.428 63.011
35.425 63.011
35.416 63.02
35.41 63.02
35.406 63.017
35.408 63.013
35.411 63.005
35.412 62.998
35.409 62.989
35.394 62.956
35.382 62.926
35.365 62.902
35.365 62.895
35.362 62.889
35.355 62.887
35.35 62.887
35.349 62.887
35.349 62.873
35.347 62.867
35.341 62.864
35.327 62.854
35.316 62.836
35.312 62.826
35.308 62.807
35.303 62.778
35.296 62.765
35.29 62.756
35.277 62.752
35.265 62.748
35.255 62.723
35.244 62.687
35.242 62.664
35.238 62.656
35.218 62.63
35.214 62.623
35.214 62.62
35.216 62.616
35.229 62.61
35.239 62.607
35.24 62.605
35.236 62.582
35.234 62.57
35.24 62.559
35.25 62.539
35.26 62.536
35.265 62.534
35.273 62.521
35.278 62.512
35.277 62.501
35.278 62.496
35.283 62.488
35.285 62.476
35.284 62.467
35.278 62.459
35.254 62.434
35.155 62.325
35.143 62.31
35.141 62.302
35.144 62.3
35.255 62.283
35.276 62.274
35.3 62.261
35.305 62.256
35.309 62.248
35.324 62.199
35.345 62.143
35.36 62.131
35.371 62.122
35.416 62.077
35.437 62.057
35.446 62.021
35.45 61.99
35.454 61.964
35.449 61.936
35.437 61.88
35.425 61.817
35.416 61.779
35.414 61.767
35.416 61.753
35.42 61.736
35.429 61.666
35.432 61.639
35.435 61.614
35.436 61.6
35.445 61.581
35.451 61.567
35.486 61.512
35.503 61.486
35.514 61.467
35.522 61.452
35.534 61.445
35.54 61.439
35.543 61.433
35.545 61.422
35.551 61.413
35.555 61.411
35.556 61.409
35.557 61.403
35.559 61.394
35.562 61.387
35.57 61.385
35.578 61.39
35.586 61.4
35.592 61.4
35.596 61.394
35.597 61.382
35.596 61.374
35.601 61.372
35.613 61.371
35.624 61.369
35.625 61.317
35.623 61.306
35.613 61.277
35.617 61.274
35.625 61.26
35.633 61.252
35.65 61.241
35.651 61.242
35.658 61.232
35.654 61.227
35.66 61.223
35.668 61.223
35.68 61.223
35.692 61.219
35.695 61.22
35.702 61.229
35.707 61.234
35.706 61.242
35.719 61.246
35.728 61.25
35.736 61.251
35.749 61.25
35.758 61.252
35.762 61.255
35.766 61.255
35.768 61.252
35.77 61.247
35.773 61.249
35.778 61.25
35.786 61.253
35.796 61.255
35.8 61.257
35.804 61.263
35.806 61.265
35.808 61.264
35.813 61.26
35.816 61.26
35.822 61.258
35.826 61.258
35.83 61.257
35.835 61.26
35.84 61.256
35.843 61.252
35.849 61.255
35.854 61.254
35.855 61.25
35.858 61.244
35.867 61.242
35.87 61.243
35.873 61.243
35.883 61.238
35.884 61.24
35.889 61.245
35.893 61.248
35.894 61.247
35.896 61.242
35.895 61.237
35.893 61.231
35.895 61.229
35.9 61.232
35.907 61.234
35.916 61.234
35.918 61.227
35.922 61.223
35.929 61.218
35.936 61.211
35.95 61.179
35.953 61.16
35.959 61.129
35.963 61.124
35.968 61.123
35.975 61.134
35.99 61.159
36.003 61.168
36.019 61.173
36.031 61.179
36.065 61.198
36.12 61.226
36.146 61.233
36.172 61.229
36.195 61.223
36.242 61.209
36.26 61.206
36.268 61.2
36.303 61.185
36.34 61.17
36.381 61.164
36.393 61.164
36.448 61.175
36.468 61.178
36.481 61.175
36.493 61.173
36.499 61.172
36.514 61.179
36.53 61.189
36.549 61.193
36.568 61.191
36.588 61.181
36.641 61.153
36.649 61.148
36.65 61.15
36.656 61.148
36.662 61.14
36.651 60.957
36.644 60.864
36.643 60.83
36.635 60.721
36.628 60.635
36.628 60.567
36.627 60.483
36.624 60.371
36.628 60.367
36.642 60.352
36.648 60.34
36.656 60.331
36.681 60.316
36.714 60.295
36.751 60.271
36.777 60.249
36.81 60.214
36.842 60.177
36.863 60.161
36.906 60.127
36.936 60.103
36.949 60.097
36.971 60.089
36.979 60.084
37.012 60.051
37.033 60.021
37.04 60.004
37.04 60
37.031 60
37.033 59.995
37.033 59.991
37.034 59.985
37.034 59.979
37.033 59.972
37.033 59.967
37.032 59.962
37.03 59.958
37.029 59.953
37.029 59.948
37.028 59.944
37.028 59.939
37.029 59.933
37.03 59.927
37.032 59.921
37.034 59.917
37.037 59.911
37.04 59.906
37.044 59.899
37.047 59.895
37.05 59.892
37.053 59.89
37.054 59.887
37.055 59.881
37.056 59.876
37.069 59.861
37.085 59.845
37.089 59.84
37.092 59.833
37.094 59.826
37.096 59.819
37.099 59.81
37.102 59.798
37.105 59.791
37.112 59.778
37.113 59.774
37.113 59.77
37.113 59.767
37.112 59.762
37.11 59.76
37.107 59.76
37.105 59.76
37.103 59.759
37.102 59.755
37.102 59.749
37.102 59.744
37.104 59.738
37.108 59.733
37.112 59.729
37.115 59.726
37.118 59.722
37.122 59.716
37.125 59.711
37.126 59.705
37.128 59.7
37.129 59.688
37.13 59.682
37.129 59.676
37.13 59.67
37.129 59.665
37.127 59.662
37.126 59.66
37.124 59.658
37.118 59.655
37.112 59.653
37.109 59.651
37.108 59.648
37.107 59.642
37.109 59.637
37.109 59.631
37.108 59.625
37.114 59.614
37.118 59.606
37.119 59.599
37.12 59.593
37.121 59.585
37.121 59.577
37.121 59.57
37.122 59.563
37.122 59.558
37.123 59.554
37.127 59.551
37.13 59.55
37.135 59.549
37.139 59.549
37.143 59.549
37.148 59.551
37.152 59.552
37.156 59.553
37.159 59.554
37.163 59.554
37.166 59.552
37.167 59.548
37.169 59.543
37.17 59.536
37.172 59.531
37.174 59.527
37.177 59.524
37.18 59.52
37.183 59.514
37.186 59.508
37.188 59.503
37.19 59.498
37.194 59.491
37.197 59.486
37.199 59.483
37.202 59.479
37.204 59.475
37.206 59.476
37.209 59.477
37.212 59.48
37.215 59.483
37.217 59.486
37.219 59.488
37.22 59.49
37.223 59.491
37.227 59.487
37.229 59.484
37.237 59.479
37.243 59.473
37.252 59.463
37.256 59.459
37.262 59.453
37.268 59.448
37.272 59.444
37.277 59.438
37.28 59.434
37.283 59.431
37.287 59.43
37.289 59.429
37.292 59.427
37.296 59.422
37.298 59.418
37.3 59.412
37.303 59.407
37.306 59.402
37.311 59.398
37.32 59.396
37.327 59.392
