segment Syria
33.822 36.384
33.832 36.394
33.84 36.397
33.844 36.397
33.853 36.39
33.868 36.368
33.872 36.349
33.88 36.328
33.891 36.316
33.897 36.305
33.902 36.297
33.911 36.296
33.926 36.303
33.946 36.322
33.967 36.336
33.985 36.356
33.991 36.374
33.993 36.375
34.003 36.377
34.01 36.389
34.028 36.412
34.034 36.415
34.04 36.414
34.043 36.42
34.046 36.432
34.052 36.444
34.052 36.449
34.042 36.475
34.042 36.481
34.044 36.486
34.053 36.503
34.065 36.518
34.072 36.52
34.084 36.519
34.093 36.521
34.107 36.536
34.12 36.546
34.128 36.558
34.133 36.575
34.134 36.578
34.137 36.58
34.156 36.584
34.166 36.597
34.182 36.603
34.194 36.629
34.206 36.639
34.209 36.637
34.213 36.629
34.22 36.609
34.221 36.608
34.223 36.605
34.232 36.6
34.247 36.598
34.267 36.591
34.277 36.596
34.284 36.606
34.29 36.611
34.296 36.612
34.305 36.608
34.307 36.607
34.309 36.6
34.312 36.577
34.315 36.573
34.332 36.567
34.341 36.559
34.351 36.556
34.366 36.546
34.372 36.544
34.383 36.545
34.401 36.564
34.408 36.569
34.411 36.569
34.415 36.566
34.42 36.562
34.423 36.556
34.427 36.539
34.432 36.526
34.437 36.523
34.444 36.521
34.447 36.518
34.458 36.487
34.463 36.48
34.487 36.463
34.495 36.462
34.5 36.462
34.502 36.46
34.503 36.449
34.501 36.428
34.494 36.417
34.497 36.407
34.498 36.4
34.502 36.388
34.5 36.38
34.494 36.373
34.496 36.363
34.501 36.354
34.512 36.346
34.518 36.345
34.52 36.347
34.524 36.35
34.542 36.398
34.551 36.412
34.559 36.416
34.567 36.41
34.576 36.41
34.592 36.415
34.609 36.424
34.61 36.425
34.61 36.426
34.608 36.432
34.593 36.447
34.591 36.453
34.594 36.464
34.627 36.473
34.63 36.471
34.632 36.461
34.623 36.446
34.622 36.439
34.625 36.42
34.627 36.418
34.638 36.399
34.638 36.395
34.644 36.383
34.657 36.367
34.66 36.364
34.663 36.362
34.669 36.364
34.682 36.354
34.689 36.346
34.691 36.34
34.691 36.332
34.685 36.324
34.682 36.322
34.666 36.32
34.652 36.317
34.646 36.308
34.638 36.3
34.635 36.295
34.636 36.285
34.634 36.277
34.638 36.25
34.632 36.239
34.632 36.233
34.634 36.226
34.643 36.214
34.644 36.207
34.644 36.197
34.637 36.178
34.638 36.169
34.642 36.148
34.647 36.137
34.647 36.131
34.641 36.107
34.637 36.101
34.637 36.095
34.638 36.091
34.636 36.085
34.638 36.077
34.638 36.065
34.636 36.055
34.636 36.037
34.649 36.02
34.651 36.014
34.65 35.998
34.655 35.992
34.645 35.98
34.697 35.961
34.723 35.947
34.741 35.941
34.755 35.939
34.758 35.939
34.775 35.939
34.787 35.934
34.842 35.905
34.874 35.893
34.91 35.88
34.92 35.886
34.926 35.888
34.938 35.885
34.946 35.886
34.968 35.883
34.992 35.888
34.995 35.891
34.997 35.892
35 35.898
35.004 35.903
35.011 35.904
35.05 35.898
35.059 35.892
35.064 35.892
35.074 35.898
35.086 35.9
35.099 35.896
35.108 35.897
35.112 35.902
35.119 35.905
35.12 35.91
35.131 35.917
35.143 35.92
35.154 35.931
35.16 35.933
35.169 35.931
35.175 35.933
35.188 35.957
35.194 35.962
35.201 35.963
35.216 35.96
35.233 35.955
35.245 35.949
35.263 35.936
35.265 35.936
35.268 35.938
35.272 35.948
35.271 35.956
35.269 35.959
35.259 35.965
35.258 35.97
35.259 35.972
35.261 35.971
35.262 35.967
35.271 35.963
35.275 35.954
35.274 35.945
35.27 35.932
35.275 35.929
35.277 35.928
35.285 35.928
35.312 35.932
35.354 35.927
35.37 35.928
35.384 35.926
35.402 35.922
35.413 35.92
35.417 35.921
35.421 35.925
35.424 35.924
35.462 35.883
35.473 35.866
35.493 35.832
35.496 35.827
35.498 35.824
35.501 35.825
35.504 35.83
35.506 35.83
35.506 35.827
35.504 35.82
35.507 35.798
35.5 35.788
35.501 35.785
35.507 35.778
35.507 35.773
35.512 35.77
35.52 35.779
35.53 35.783
35.54 35.781
35.544 35.779
35.548 35.764
35.549 35.764
35.553 35.762
35.565 35.743
35.568 35.744
35.58 35.754
35.586 35.75
35.586 35.746
35.583 35.738
35.582 35.729
35.584 35.727
35.588 35.728
35.588 35.739
35.592 35.745
35.593 35.75
35.591 35.755
35.591 35.759
35.597 35.763
35.599 35.77
35.603 35.772
35.609 35.771
35.612 35.773
35.613 35.773
35.614 35.776
35.609 35.783
35.613 35.786
35.619 35.782
35.626 35.788
35.635 35.79
35.642 35.79
35.656 35.784
35.663 35.774
35.673 35.778
35.679 35.784
35.682 35.79
35.683 35.799
35.686 35.807
35.693 35.809
35.697 35.814
35.7 35.816
35.707 35.82
35.709 35.825
35.715 35.829
35.722 35.84
35.74 35.843
35.748 35.853
35.756 35.854
35.771 35.847
35.784 35.847
35.794 35.841
35.806 35.838
35.811 35.835
35.819 35.828
35.824 35.829
35.83 35.826
35.837 35.817
35.843 35.817
35.85 35.82
35.853 35.818
35.852 35.807
35.854 35.805
35.856 35.808
35.859 35.824
35.853 35.833
35.854 35.839
35.851 35.844
35.853 35.855
35.857 35.862
35.865 35.872
35.866 35.875
35.869 35.881
35.874 35.887
35.919 35.905
35.925 35.91
35.93 35.922
35.919 35.936
35.922 35.951
35.928 35.967
35.939 35.994
35.941 36.001
35.94 36.009
35.934 36.016
35.924 36.023
35.909 36.022
35.89 36.015
35.884 36.016
35.881 36.019
35.88 36.023
35.879 36.049
35.879 36.05
35.869 36.096
35.866 36.116
35.855 36.134
35.846 36.142
35.82 36.155
35.816 36.163
35.815 36.169
35.836 36.183
35.861 36.186
35.874 36.188
35.884 36.189
35.9 36.183
35.902 36.181
35.919 36.188
35.936 36.199
35.951 36.213
35.96 36.229
35.964 36.244
35.964 36.255
35.962 36.263
35.955 36.279
35.954 36.29
35.956 36.298
35.957 36.303
35.961 36.306
35.98 36.295
35.992 36.298
35.996 36.303
36.004 36.317
35.992 36.344
35.992 36.357
35.995 36.368
35.998 36.374
36.001 36.379
36.01 36.382
36.026 36.381
36.031 36.383
36.04 36.392
36.046 36.395
36.052 36.395
36.068 36.389
36.084 36.398
36.091 36.394
36.095 36.389
36.099 36.386
36.103 36.386
36.108 36.385
36.119 36.381
36.143 36.392
36.152 36.388
36.169 36.377
36.181 36.382
36.188 36.389
36.19 36.399
36.191 36.401
36.2 36.403
36.213 36.398
36.223 36.398
36.226 36.403
36.223 36.413
36.215 36.427
36.211 36.435
36.208 36.458
36.202 36.471
36.203 36.477
36.205 36.482
36.219 36.489
36.225 36.491
36.233 36.492
36.234 36.495
36.23 36.509
36.236 36.517
36.238 36.523
36.238 36.543
36.228 36.557
36.232 36.578
36.232 36.584
36.218 36.609
36.217 36.618
36.217 36.622
36.218 36.627
36.229 36.641
36.229 36.675
36.237 36.684
36.244 36.701
36.25 36.705
36.255 36.706
36.266 36.696
36.272 36.693
36.276 36.692
36.287 36.699
36.291 36.7
36.292 36.7
36.297 36.695
36.302 36.671
36.309 36.669
36.326 36.669
36.33 36.666
36.334 36.659
36.336 36.65
36.336 36.639
36.329 36.621
36.328 36.612
36.33 36.608
36.333 36.608
36.341 36.612
36.346 36.618
36.354 36.628
36.36 36.628
36.375 36.62
36.388 36.624
36.391 36.623
36.393 36.616
36.391 36.607
36.392 36.599
36.394 36.593
36.398 36.589
36.402 36.587
36.412 36.585
36.425 36.577
36.439 36.576
36.442 36.574
36.445 36.569
36.468 36.568
36.486 36.555
36.492 36.557
36.497 36.553
36.501 36.553
36.512 36.573
36.523 36.583
36.538 36.591
36.549 36.594
36.556 36.596
36.562 36.6
36.579 36.604
36.591 36.603
36.601 36.601
36.631 36.588
36.636 36.588
36.65 36.592
36.672 36.606
36.672 36.609
36.68 36.619
36.695 36.628
36.705 36.637
36.712 36.639
36.728 36.635
36.743 36.625
36.747 36.624
36.758 36.627
36.766 36.633
36.778 36.646
36.8 36.67
36.811 36.678
36.817 36.679
36.819 36.679
36.821 36.678
36.836 36.668
36.843 36.671
36.846 36.676
36.835 36.685
36.824 36.739
36.821 36.746
36.799 36.804
36.781 36.88
36.779 36.893
36.778 36.903
36.781 36.944
36.762 36.989
36.755 36.999
36.743 37.009
36.737 37.02
36.734 37.029
36.727 37.052
36.724 37.056
36.721 37.058
36.713 37.057
36.678 37.033
36.666 37.028
36.661 37.028
36.658 37.031
36.653 37.048
36.644 37.062
36.642 37.065
36.629 37.08
36.624 37.091
36.624 37.096
36.627 37.104
36.646 37.113
36.659 37.122
36.662 37.127
36.663 37.145
36.663 37.151
36.655 37.174
36.654 37.178
36.654 37.185
36.654 37.196
36.663 37.226
36.665 37.266
36.662 37.303
36.656 37.331
36.655 37.335
36.654 37.373
36.646 37.427
36.638 37.461
36.638 37.473
36.641 37.485
36.649 37.502
36.667 37.521
36.676 37.534
36.69 37.561
36.699 37.578
36.707 37.603
36.721 37.636
36.731 37.655
36.737 37.674
36.738 37.694
36.741 37.702
36.745 37.71
36.749 37.727
36.749 37.734
36.747 37.767
36.749 37.791
36.759 37.814
36.77 37.85
36.774 37.862
36.786 37.908
36.794 37.929
36.81 37.958
36.818 37.977
36.822 37.992
36.824 37.998
36.829 38.041
36.836 38.052
36.844 38.054
36.849 38.058
36.859 38.071
36.88 38.123
36.881 38.126
36.895 38.173
36.905 38.188
36.907 38.194
36.908 38.2
36.906 38.23
36.912 38.245
36.913 38.253
36.913 38.265
36.913 38.269
36.907 38.296
36.905 38.316
36.9 38.343
36.897 38.382
36.897 38.399
36.895 38.408
36.891 38.423
36.882 38.449
36.863 38.493
36.854 38.522
36.839 38.563
36.838 38.565
36.836 38.568
36.824 38.58
36.817 38.591
36.806 38.601
36.79 38.623
36.774 38.639
36.748 38.673
36.728 38.697
36.71 38.724
36.707 38.731
36.7 38.773
36.699 38.777
36.697 38.801
36.698 38.815
36.697 38.847
36.698 38.918
36.698 38.93
36.699 38.97
36.703 38.999
36.703 39.02
36.697 39.085
36.684 39.148
36.683 39.15
36.666 39.216
36.665 39.227
36.674 39.276
36.679 39.299
36.69 39.345
36.694 39.398
36.695 39.43
36.695 39.439
36.7 39.453
36.698 39.467
36.701 39.498
36.705 39.526
36.708 39.546
36.72 39.597
36.723 39.626
36.726 39.665
36.731 39.679
36.742 39.712
36.744 39.723
36.75 39.807
36.754 39.832
36.755 39.842
36.761 39.856
36.771 39.878
36.777 39.89
36.787 39.929
36.798 39.963
36.816 40
36.824 40.016
36.825 40.018
36.836 40.052
36.849 40.073
36.856 40.08
36.861 40.087
36.872 40.133
36.875 40.158
36.879 40.181
36.888 40.208
36.9 40.233
36.903 40.238
36.92 40.26
36.926 40.278
36.952 40.326
36.966 40.365
36.967 40.37
36.975 40.386
36.981 40.398
36.999 40.419
37.009 40.438
37.015 40.462
37.02 40.503
37.024 40.533
37.027 40.546
37.041 40.582
37.054 40.602
37.063 40.635
37.068 40.646
37.078 40.675
37.081 40.678
37.088 40.688
37.098 40.708
37.101 40.721
37.102 40.741
37.106 40.753
37.121 40.782
37.12 40.823
37.116 40.828
37.109 40.834
37.107 40.85
37.108 40.858
37.118 40.87
37.124 40.886
37.127 40.921
37.124 40.95
37.12 40.965
37.117 40.972
37.112 41.001
37.107 41.032
37.105 41.06
37.095 41.115
37.095 41.119
37.093 41.132
37.092 41.17
37.079 41.204
37.077 41.208
37.067 41.212
37.064 41.218
37.065 41.237
37.069 41.249
37.075 41.257
37.079 41.271
37.08 41.286
37.08 41.387
37.08 41.501
37.084 41.544
37.085 41.558
37.092 41.59
37.105 41.626
37.112 41.657
37.114 41.687
37.114 41.696
37.114 41.728
37.117 41.759
37.135 41.85
37.16 41.975
37.171 42
37.177 42.016
37.189 42.057
37.202 42.079
37.213 42.106
37.219 42.113
37.235 42.122
37.239 42.126
37.249 42.139
37.26 42.154
37.275 42.184
37.282 42.194
37.3 42.208
37.315 42.216
37.318 42.22
37.319 42.225
37.317 42.232
37.316 42.235
37.314 42.234
