segment Yemen
15.4 42.635
15.395 42.63
15.388 42.627
15.384 42.628
15.382 42.627
15.382 42.622
15.378 42.621
15.371 42.624
15.368 42.623
15.359 42.612
15.352 42.61
15.342 42.614
15.34 42.613
15.339 42.608
15.338 42.607
15.332 42.614
15.322 42.617
15.321 42.612
15.317 42.61
15.318 42.605
15.311 42.6
15.307 42.601
15.308 42.606
15.305 42.608
15.315 42.617
15.313 42.618
15.307 42.616
15.296 42.6
15.289 42.595
15.287 42.591
15.285 42.591
15.283 42.596
15.28 42.595
15.278 42.59
15.268 42.586
15.266 42.586
15.264 42.583
15.265 42.574
15.27 42.563
15.283 42.55
15.302 42.534
15.308 42.533
15.311 42.535
15.314 42.539
15.317 42.552
15.32 42.555
15.324 42.558
15.345 42.561
15.352 42.561
15.371 42.551
15.375 42.55
15.38 42.554
15.386 42.553
15.393 42.555
15.402 42.564
15.421 42.579
15.431 42.589
15.431 42.592
15.429 42.593
15.425 42.589
15.425 42.592
15.428 42.596
15.432 42.598
15.442 42.596
15.446 42.608
15.456 42.623
15.457 42.63
15.456 42.636
15.454 42.636
15.447 42.633
15.441 42.638
15.439 42.636
15.433 42.618
15.435 42.614
15.435 42.611
15.421 42.601
15.417 42.596
15.414 42.598
segment Yemen
15.409 42.617
15.41 42.616
15.413 42.617
15.418 42.623
15.413 42.625
15.411 42.625
15.409 42.617
segment Yemen
15.179 42.045
15.18 42.043
15.186 42.042
15.208 42.041
15.218 42.042
15.222 42.045
15.222 42.049
15.217 42.053
15.203 42.059
15.193 42.061
15.186 42.06
15.187 42.057
15.18 42.052
15.179 42.045
segment Yemen
15.176 42.029
15.181 42.024
15.197 42.019
15.204 42.021
15.207 42.024
15.205 42.026
15.179 42.034
15.176 42.032
15.176 42.029
segment Yemen
15.082 42.148
15.082 42.145
15.085 42.142
15.092 42.146
15.094 42.149
15.086 42.154
15.084 42.152
15.082 42.148
segment Yemen
13.986 48.324
13.989 48.321
13.993 48.322
13.995 48.325
13.995 48.329
13.991 48.331
13.987 48.328
13.986 48.324
segment Yemen
13.972 48.46
13.977 48.46
13.98 48.462
13.98 48.466
13.977 48.468
13.975 48.467
13.974 48.465
13.972 48.46
segment Yemen
12.642 54.22
12.646 54.233
12.641 54.255
12.632 54.26
12.625 54.274
12.617 54.286
12.616 54.297
12.611 54.303
12.612 54.314
12.608 54.322
12.61 54.33
12.608 54.335
12.605 54.344
12.606 54.351
12.606 54.359
12.588 54.385
12.58 54.402
12.58 54.408
12.583 54.413
12.582 54.417
12.569 54.43
12.559 54.446
12.545 54.466
12.546 54.489
12.548 54.494
12.559 54.505
12.559 54.508
12.554 54.516
12.553 54.527
12.552 54.529
12.547 54.531
12.544 54.529
12.543 54.525
12.544 54.517
12.537 54.506
12.534 54.497
12.53 54.477
12.529 54.468
12.523 54.451
12.518 54.445
12.5 54.435
12.497 54.436
12.493 54.44
12.489 54.439
12.485 54.431
12.478 54.424
12.476 54.414
12.473 54.409
12.468 54.406
12.466 54.404
12.465 54.39
12.46 54.377
12.46 54.367
12.458 54.359
12.453 54.351
12.447 54.327
12.447 54.307
12.452 54.3
12.446 54.295
12.445 54.279
12.441 54.261
12.426 54.234
12.42 54.227
12.414 54.224
12.401 54.222
12.397 54.22
12.395 54.209
