segment Bhutan
28.052 90.808
28.05 90.817
28.042 90.84
28.041 90.85
28.043 90.873
28.046 90.896
28.046 90.922
28.041 90.944
28.039 90.946
28.027 90.968
28.013 90.985
27.978 91.015
27.974 91.037
27.972 91.058
27.972 91.061
27.974 91.07
27.97 91.101
27.97 91.117
27.974 91.128
27.983 91.139
28.012 91.164
28.022 91.174
28.032 91.189
28.042 91.199
28.057 91.209
28.063 91.214
28.068 91.222
28.069 91.232
28.065 91.284
28.066 91.292
28.067 91.296
28.073 91.301
28.076 91.307
28.089 91.316
28.089 91.323
28.06 91.34
28.049 91.351
28.037 91.391
28.035 91.393
28.016 91.424
28.013 91.434
28.008 91.443
27.991 91.467
27.98 91.48
27.977 91.492
27.984 91.512
27.985 91.528
27.98 91.549
27.977 91.56
27.968 91.588
27.965 91.604
27.965 91.626
27.962 91.637
27.952 91.657
27.943 91.668
27.932 91.679
27.919 91.688
27.911 91.687
27.898 91.683
27.887 91.677
27.863 91.659
27.857 91.654
27.843 91.653
27.823 91.657
27.803 91.659
27.76 91.657
27.735 91.66
27.716 91.659
27.701 91.652
27.692 91.643
27.692 91.642
27.689 91.633
27.673 91.612
27.663 91.604
27.654 91.602
27.601 91.612
27.587 91.618
27.585 91.619
27.544 91.628
27.537 91.634
27.521 91.657
27.507 91.669
27.494 91.677
27.486 91.686
27.483 91.692
27.481 91.696
27.47 91.732
27.464 91.746
27.455 91.759
27.451 91.776
27.445 91.781
27.44 91.782
27.432 91.78
27.425 91.768
27.42 91.765
27.417 91.77
27.417 91.771
27.42 91.799
27.42 91.81
27.436 91.873
27.447 91.897
27.447 91.906
27.447 91.907
27.443 91.923
27.442 91.933
27.444 91.948
27.466 91.988
27.475 92.002
27.477 92.01
27.474 92.013
27.457 92.022
27.387 92.068
27.349 92.096
27.338 92.101
27.319 92.103
27.304 92.109
27.28 92.125
27.275 92.125
27.27 92.118
27.27 92.101
27.267 92.093
27.255 92.08
27.236 92.069
27.206 92.057
27.201 92.055
27.193 92.055
27.181 92.05
27.174 92.043
27.168 92.032
27.158 92.029
27.137 92.027
27.121 92.028
27.102 92.025
27.089 92.026
27.075 92.03
27.068 92.037
27.035 92.08
27.025 92.087
26.995 92.095
26.989 92.1
26.961 92.115
26.948 92.12
26.934 92.122
26.922 92.12
26.91 92.108
26.893 92.102
26.879 92.099
26.873 92.095
26.867 92.091
26.854 92.07
26.852 92.043
26.849 92.036
26.85 92.009
26.853 92
26.859 91.984
26.869 91.971
26.871 91.97
26.881 91.962
26.894 91.948
26.9 91.94
26.899 91.933
26.895 91.928
26.887 91.926
26.878 91.929
26.868 91.936
26.861 91.934
26.856 91.931
26.854 91.924
26.856 91.917
26.855 91.909
26.85 91.904
26.846 91.908
26.837 91.916
26.832 91.916
26.823 91.911
26.809 91.915
26.804 91.913
26.805 91.907
26.81 91.901
26.813 91.892
26.819 91.888
26.833 91.89
26.852 91.889
26.858 91.883
26.862 91.872
26.863 91.867
26.864 91.851
26.862 91.839
26.841 91.807
26.833 91.792
26.827 91.774
26.824 91.774
26.82 91.758
26.816 91.748
26.813 91.742
26.808 91.736
26.796 91.715
26.795 91.708
26.808 91.701
26.802 91.676
26.802 91.668
26.811 91.646
26.813 91.635
26.812 91.626
26.81 91.615
26.8 91.583
26.799 91.574
26.803 91.55
26.809 91.541
26.818 91.533
26.829 91.528
26.85 91.522
26.858 91.52
26.868 91.511
26.873 91.5
26.873 91.473
26.869 91.46
26.874 91.445
26.873 91.435
26.871 91.428
26.861 91.418
26.848 91.411
26.838 91.406
26.803 91.381
26.786 91.357
26.777 91.335
26.778 91.32
26.781 91.308
26.783 91.302
26.788 91.291
26.794 91.284
26.807 91.263
26.813 91.215
26.812 91.177
26.81 91.142
26.814 91.128
26.816 91.088
26.813 91.082
26.789 91.053
26.788 91.049
26.787 91.045
26.788 90.994
26.79 90.983
26.788 90.909
26.785 90.836
26.782 90.778
26.782 90.744
26.773 90.709
26.772 90.697
26.774 90.688
26.781 90.677
26.784 90.67
26.778 90.657
26.779 90.65
26.784 90.639
26.785 90.638
26.797 90.622
26.804 90.605
26.807 90.576
26.814 90.554
26.821 90.537
26.838 90.515
26.859 90.486
26.879 90.449
26.886 90.442
26.904 90.417
26.904 90.411
26.903 90.4
26.903 90.381
26.901 90.372
26.902 90.368
26.9 90.358
26.896 90.348
26.89 90.34
26.866 90.323
26.859 90.312
26.854 90.3
26.854 90.283
26.855 90.281
26.86 90.252
26.861 90.237
26.861 90.232
26.857 90.222
26.844 90.206
26.835 90.198
26.825 90.19
26.815 90.185
26.805 90.186
26.797 90.188
26.783 90.191
26.776 90.189
26.769 90.18
26.765 90.17
26.75 90.109
26.745 90.079
26.744 90.074
26.741 90.065
26.737 90
26.736 89.994
26.73 89.944
26.73 89.94
26.729 89.917
26.73 89.913
26.73 89.903
26.734 89.888
26.744 89.874
26.748 89.865
26.747 89.856
26.742 89.854
26.735 89.855
26.721 89.863
26.715 89.864
26.711 89.863
26.708 89.859
26.708 89.857
26.708 89.852
26.714 89.837
26.715 89.828
26.715 89.81
26.71 89.792
26.71 89.781
26.712 89.771
26.726 89.757
26.73 89.75
26.732 89.727
26.733 89.713
26.738 89.697
26.736 89.679
26.74 89.666
26.728 89.661
26.721 89.652
26.721 89.647
26.725 89.644
26.726 89.639
26.724 89.625
26.729 89.617
26.738 89.623
26.746 89.635
26.761 89.643
26.775 89.644
26.779 89.641
26.782 89.636
26.789 89.597
26.794 89.579
26.807 89.564
26.809 89.561
26.815 89.54
26.813 89.529
26.814 89.518
26.809 89.498
26.808 89.482
26.813 89.466
26.819 89.458
26.833 89.452
26.839 89.445
26.838 89.442
26.838 89.43
26.843 89.409
26.838 89.396
26.855 89.382
26.86 89.376
26.861 89.371
26.847 89.336
26.848 89.318
26.848 89.315
26.845 89.306
26.839 89.295
26.833 89.289
26.822 89.265
26.822 89.258
26.816 89.212
26.816 89.192
26.817 89.187
26.819 89.181
26.818 89.172
26.811 89.15
26.81 89.137
26.823 89.122
26.827 89.112
26.838 89.106
26.869 89.096
26.876 89.095
26.889 89.093
26.895 89.089
26.899 89.08
26.9 89.066
26.906 89.056
26.917 89.051
26.925 89.035
26.938 89.022
26.938 89.014
26.931 89.002
26.932 89
26.931 88.999
26.921 88.979
26.935 88.948
26.937 88.948
26.948 88.948
26.961 88.95
26.968 88.947
26.986 88.93
26.989 88.924
26.99 88.917
26.981 88.903
26.956 88.885
26.947 88.879
26.949 88.877
26.981 88.876
26.986 88.875
26.992 88.875
27.025 88.889
27.041 88.883
27.057 88.882
27.068 88.879
27.073 88.872
27.074 88.87
27.079 88.849
27.084 88.837
27.092 88.826
27.102 88.805
27.103 88.775
27.108 88.763
27.114 88.76
27.122 88.766
27.125 88.768
27.138 88.773
27.141 88.781
27.148 88.793
27.159 88.8
27.183 88.807
27.205 88.809
27.211 88.814
27.216 88.823
27.22 88.84
27.22 88.841
27.227 88.86
27.227 88.868
27.224 88.882
27.233 88.909
27.24 88.916
27.261 88.919
27.282 88.928
27.287 88.929
27.29 88.927
27.293 88.937
27.293 88.944
27.287 88.957
27.278 88.968
27.274 88.972
27.275 88.98
27.279 88.988
27.293 88.997
27.308 88.998
27.327 88.985
27.346 88.979
27.361 88.969
27.374 88.962
27.375 88.962
27.388 88.962
27.423 88.969
27.438 88.976
27.448 88.984
27.455 88.985
27.473 88.981
27.482 88.986
27.493 88.995
27.497 88.998
27.5 89
