segment Mongolia
46.893 119.818
46.877 119.831
46.861 119.844
46.853 119.864
46.845 119.873
46.817 119.874
46.794 119.89
46.785 119.904
46.779 119.909
46.764 119.924
46.752 119.924
46.743 119.921
46.739 119.907
46.73 119.883
46.727 119.875
46.713 119.852
46.705 119.838
46.691 119.823
46.677 119.812
46.666 119.804
46.643 119.793
46.622 119.774
46.619 119.765
46.616 119.753
46.613 119.733
46.607 119.723
46.593 119.712
46.578 119.68
46.572 119.659
46.566 119.635
46.556 119.605
46.551 119.598
46.535 119.587
46.516 119.58
46.503 119.572
46.497 119.573
46.493 119.569
46.484 119.545
46.478 119.542
46.47 119.526
46.461 119.511
46.448 119.508
46.441 119.51
46.437 119.514
46.431 119.517
46.428 119.517
46.419 119.513
46.419 119.497
46.421 119.485
46.436 119.468
46.441 119.448
46.445 119.44
46.45 119.421
46.455 119.403
46.475 119.39
46.481 119.397
46.495 119.4
46.504 119.408
46.524 119.403
46.537 119.406
46.541 119.422
46.549 119.443
46.552 119.455
46.56 119.459
46.573 119.454
46.581 119.441
46.595 119.44
46.601 119.436
46.612 119.427
46.623 119.416
46.634 119.404
46.641 119.383
46.652 119.362
46.661 119.352
46.666 119.335
46.674 119.323
46.682 119.31
46.69 119.289
46.698 119.277
46.708 119.268
46.719 119.255
46.724 119.239
46.726 119.225
46.734 119.212
46.734 119.196
46.731 119.18
46.723 119.168
46.721 119.15
46.721 119.126
46.731 119.109
46.737 119.093
46.743 119.088
46.754 119.092
46.762 119.091
46.78 119.094
46.78 119.078
46.785 119.061
46.778 119.03
46.786 119.013
46.791 118.998
46.785 118.987
46.785 118.973
46.793 118.97
46.802 118.977
46.811 118.983
46.818 118.978
46.817 118.956
46.82 118.936
46.813 118.918
46.809 118.907
46.805 118.891
46.797 118.865
46.792 118.849
46.786 118.836
46.781 118.801
46.788 118.774
46.794 118.736
46.8 118.708
46.804 118.67
46.784 118.661
46.768 118.641
46.763 118.595
46.769 118.563
46.78 118.548
46.792 118.528
46.801 118.517
46.808 118.514
46.807 118.5
46.796 118.482
46.788 118.475
46.78 118.451
46.782 118.411
46.781 118.378
46.782 118.33
46.785 118.292
46.788 118.27
46.774 118.26
46.756 118.262
46.743 118.258
46.737 118.258
46.737 118.245
46.736 118.226
46.733 118.207
46.725 118.197
46.721 118.173
46.713 118.155
46.699 118.143
46.691 118.127
46.685 118.109
46.675 118.086
46.667 118.073
46.653 118.061
46.642 118.051
46.63 118.041
46.628 118.036
46.619 118.004
46.613 117.989
46.612 117.967
46.603 117.942
46.591 117.928
46.581 117.907
46.577 117.88
46.565 117.87
46.544 117.859
46.532 117.852
46.526 117.842
46.519 117.817
46.518 117.787
46.516 117.762
46.512 117.737
46.509 117.724
46.508 117.701
46.514 117.673
46.521 117.655
46.533 117.635
46.549 117.625
46.569 117.619
46.58 117.616
46.586 117.6
46.585 117.592
46.584 117.558
46.583 117.543
46.585 117.515
46.583 117.487
46.581 117.462
46.58 117.439
46.575 117.433
46.562 117.434
46.538 117.436
46.518 117.438
46.5 117.432
46.483 117.41
46.451 117.383
46.431 117.375
46.405 117.373
46.374 117.37
46.355 117.371
46.349 117.366
46.347 117.353
46.349 117.336
46.353 117.304
46.356 117.272
46.358 117.233
46.356 117.193
46.354 117.144
46.35 117.113
46.349 117.073
46.347 117.033
46.347 116.982
46.349 116.96
46.351 116.939
46.366 116.912
46.373 116.886
46.376 116.875
46.381 116.861
46.378 116.851
46.368 116.841
46.36 116.83
46.354 116.824
46.34 116.806
46.327 116.784
46.316 116.764
46.311 116.731
46.309 116.697
46.307 116.661
46.305 116.636
46.297 116.605
46.287 116.585
46.278 116.573
46.258 116.561
46.236 116.555
46.218 116.533
46.206 116.518
46.19 116.494
46.174 116.483
46.163 116.466
46.147 116.45
46.124 116.428
46.121 116.415
46.109 116.394
46.098 116.376
46.084 116.367
46.068 116.364
46.049 116.348
46.035 116.336
46.024 116.325
46.009 116.308
45.984 116.29
45.969 116.277
45.95 116.262
45.934 116.255
45.912 116.26
45.897 116.253
45.882 116.255
45.868 116.263
45.846 116.274
45.828 116.285
45.81 116.278
45.779 116.276
45.761 116.273
45.748 116.252
45.739 116.238
45.721 116.232
45.704 116.223
45.686 116.198
45.679 116.168
45.677 116.147
45.681 116.106
45.683 116.089
45.675 116.065
45.659 116.033
45.639 115.996
45.63 115.974
45.612 115.934
45.584 115.889
45.561 115.865
45.543 115.842
45.533 115.816
45.517 115.787
45.503 115.765
45.485 115.755
45.468 115.751
45.446 115.733
45.438 115.721
45.434 115.694
45.436 115.654
45.436 115.621
45.431 115.58
45.424 115.533
45.413 115.488
45.404 115.433
45.393 115.396
45.383 115.339
45.383 115.27
45.39 115.217
45.389 115.19
45.389 115.177
45.386 115.144
45.381 115.111
45.379 115.095
45.372 115.069
45.373 115.039
45.37 115.019
45.367 115.005
45.365 115
45.4 115
45.402 115
45.401 114.971
45.406 114.93
45.408 114.914
45.417 114.871
45.418 114.866
45.429 114.826
45.442 114.792
45.448 114.772
45.453 114.752
45.453 114.747
45.446 114.704
45.446 114.703
45.431 114.643
45.398 114.549
45.395 114.542
45.385 114.527
45.374 114.513
45.364 114.506
45.327 114.5
45.318 114.502
45.302 114.498
45.286 114.489
45.281 114.484
45.226 114.439
45.206 114.418
45.175 114.39
45.174 114.389
45.165 114.379
45.129 114.317
45.124 114.306
45.108 114.28
45.103 114.274
45.097 114.264
45.092 114.256
45.061 114.211
45.037 114.169
45.006 114.127
45 114.119
44.98 114.092
44.952 114.049
44.933 114.007
44.928 113.991
44.927 113.988
44.925 113.97
44.918 113.957
44.9 113.938
44.886 113.911
44.879 113.889
44.864 113.858
44.862 113.845
44.86 113.831
44.851 113.797
44.835 113.758
44.824 113.736
44.803 113.708
44.795 113.7
44.79 113.696
44.776 113.675
44.771 113.665
44.765 113.647
44.758 113.616
44.756 113.601
44.755 113.576
44.76 113.561
44.769 113.547
44.782 113.527
44.789 113.51
44.793 113.496
44.79 113.381
44.79 113.363
44.791 113.287
44.79 113.28
44.789 113.243
44.791 113.205
44.791 113.198
44.8 113.121
44.81 113.081
44.828 113.04
44.828 113.039
44.835 113.014
44.838 112.967
44.852 112.934
44.865 112.9
44.866 112.878
44.865 112.874
44.86 112.854
44.861 112.838
44.871 112.812
44.873 112.803
44.873 112.789
44.87 112.772
44.87 112.758
44.875 112.742
44.89 112.711
44.9 112.692
44.905 112.666
44.913 112.646
44.936 112.614
44.94 112.596
44.955 112.569
44.957 112.565
44.966 112.555
45 112.525
45.015 112.512
45.034 112.486
45.048 112.461
45.051 112.451
45.062 112.416
45.064 112.392
45.064 112.383
45.066 112.346
45.064 112.34
45.064 112.289
45.065 112.278
45.068 112.199
45.071 112.188
45.077 112.132
45.078 112.102
45.079 112.08
45.09 111.976
45.088 111.933
45.086 111.926
45.075 111.888
45.065 111.864
45.048 111.833
45.038 111.817
45.016 111.792
45.011 111.787
45 111.778
44.975 111.755
44.962 111.74
44.933 111.72
44.902 111.7
44.896 111.697
44.854 111.667
44.793 111.618
44.791 111.617
44.767 111.593
44.723 111.56
44.678 111.544
44.645 111.533
44.623 111.529
44.589 111.517
44.557 111.499
44.499 111.465
44.447 111.414
44.418 111.396
44.393 111.388
44.347 111.387
44.326 111.393
44.322 111.394
44.302 111.409
44.295 111.418
