segment Iran
26.631 55.56
26.628 55.542
26.624 55.535
26.621 55.526
26.611 55.519
26.61 55.518
26.605 55.512
26.593 55.484
26.592 55.478
26.596 55.471
26.599 55.449
26.596 55.441
26.581 55.411
26.575 55.395
26.575 55.392
26.568 55.358
26.569 55.354
26.575 55.346
26.577 55.34
26.577 55.333
26.575 55.327
26.563 55.316
26.559 55.314
26.548 55.315
26.548 55.312
26.555 55.301
26.555 55.294
26.552 55.288
26.547 55.286
26.546 55.286
26.543 55.287
26.543 55.282
26.547 55.277
26.558 55.27
26.575 55.265
26.609 55.271
26.619 55.268
26.626 55.263
26.63 55.262
26.641 55.265
26.646 55.263
26.653 55.257
26.656 55.254
26.66 55.256
26.662 55.259
26.664 55.27
26.663 55.276
26.655 55.286
26.655 55.296
26.65 55.307
26.649 55.312
26.65 55.321
26.647 55.331
26.649 55.343
26.653 55.354
26.665 55.376
26.666 55.377
26.669 55.392
26.674 55.4
26.677 55.406
26.676 55.421
26.679 55.437
26.702 55.485
26.705 55.494
26.706 55.506
26.706 55.514
26.708 55.517
26.714 55.523
26.716 55.529
26.715 55.549
26.718 55.557
26.731 55.573
26.733 55.584
26.738 55.59
26.743 55.61
26.747 55.621
26.75 55.617
26.753 55.617
26.755 55.618
26.76 55.624
26.778 55.651
26.781 55.662
26.784 55.678
26.787 55.682
26.788 55.682
26.791 55.677
26.811 55.692
26.809 55.694
26.794 55.703
26.789 55.709
26.788 55.708
26.785 55.703
26.782 55.702
26.781 55.711
26.783 55.717
26.797 55.737
26.794 55.738
26.784 55.732
26.785 55.737
26.795 55.746
26.794 55.751
26.8 55.755
26.802 55.765
26.812 55.76
26.822 55.761
26.829 55.76
26.834 55.761
26.84 55.777
26.844 55.774
26.847 55.774
26.848 55.778
26.86 55.765
26.884 55.764
26.891 55.76
26.906 55.741
26.919 55.733
26.925 55.728
26.926 55.727
26.935 55.725
26.943 55.726
26.948 55.731
26.953 55.744
26.954 55.754
26.949 55.766
26.949 55.773
26.947 55.779
26.935 55.791
26.925 55.806
26.914 55.828
26.91 55.835
26.903 55.851
26.9 55.862
26.899 55.869
26.901 55.881
26.912 55.922
segment Iran
26.911 55.67
26.918 55.671
26.92 55.673
26.923 55.688
26.931 55.695
26.932 55.697
26.932 55.698
26.898 55.708
26.887 55.713
26.869 55.705
26.855 55.69
26.849 55.673
26.847 55.676
26.848 55.684
26.846 55.691
26.85 55.696
26.859 55.711
26.859 55.718
26.847 55.719
26.841 55.716
26.837 55.718
26.835 55.722
26.828 55.724
26.817 55.722
26.803 55.724
26.796 55.723
26.792 55.718
26.793 55.713
26.796 55.708
26.807 55.703
26.815 55.698
26.823 55.691
26.793 55.672
26.789 55.665
26.777 55.621
26.779 55.62
26.79 55.631
26.798 55.636
26.805 55.638
26.806 55.639
26.813 55.639
26.832 55.631
26.838 55.631
26.856 55.64
26.857 55.641
26.866 55.633
26.869 55.633
26.873 55.635
26.877 55.649
26.904 55.667
26.911 55.67
segment Iran
26.888 55.645
26.893 55.644
26.904 55.653
26.901 55.655
26.897 55.653
26.888 55.645
segment Iran
26.824 56.322
26.825 56.319
26.831 56.312
26.837 56.308
26.847 56.306
26.857 56.307
26.864 56.31
26.871 56.316
26.88 56.33
26.889 56.34
26.892 56.345
26.887 56.368
26.887 56.38
26.887 56.393
26.882 56.398
26.88 56.403
26.877 56.405
26.868 56.402
26.854 56.393
26.84 56.374
26.832 56.359
26.827 56.345
26.826 56.336
26.827 56.324
26.824 56.322
segment Iran
26.839 55.764
26.84 55.76
26.855 55.748
26.859 55.75
26.862 55.754
26.861 55.756
26.843 55.767
26.839 55.764
segment Iran
26.835 55.749
26.837 55.741
26.841 55.736
26.847 55.735
26.852 55.737
26.84 55.749
26.837 55.75
26.835 55.749
segment Iran
26.806 55.751
26.81 55.745
26.802 55.743
26.801 55.738
26.803 55.734
26.807 55.732
26.812 55.733
26.815 55.738
26.819 55.74
26.831 55.731
26.834 55.732
26.835 55.735
26.833 55.738
26.819 55.753
26.813 55.754
26.806 55.751
segment Iran
26.755 55.603
26.757 55.6
26.758 55.6
26.762 55.606
26.763 55.611
26.762 55.613
26.759 55.61
26.755 55.603
segment Iran
26.617 55.851
26.619 55.844
26.625 55.839
26.63 55.837
26.635 55.838
26.64 55.844
26.654 55.851
26.682 55.869
26.687 55.872
26.69 55.884
26.687 55.888
26.68 55.896
26.662 55.906
26.649 55.898
26.63 55.891
26.625 55.886
26.622 55.88
26.617 55.851
segment Iran
26.362 57.061
26.348 57.068
26.325 57.077
26.32 57.077
26.32 57.075
26.329 57.071
26.349 57.063
26.362 57.061
segment Iran
26.25 55.313
26.25 55.298
26.252 55.292
26.262 55.282
26.268 55.281
26.275 55.284
26.28 55.288
26.282 55.295
26.286 55.302
26.286 55.308
26.283 55.311
26.261 55.317
26.254 55.316
26.25 55.313
segment Iran
26.237 55.141
26.239 55.136
26.247 55.132
26.249 55.133
26.25 55.136
26.249 55.141
26.245 55.146
26.241 55.148
26.237 55.145
26.237 55.141
segment Iran
25.674 57.795
25.676 57.79
25.681 57.787
25.686 57.789
25.688 57.797
25.698 57.8
25.701 57.803
25.7 57.807
25.697 57.809
25.688 57.803
25.678 57.801
25.675 57.799
25.674 57.795
segment Iran
25.595 58.499
25.598 58.496
25.6 58.497
25.601 58.501
25.611 58.519
25.612 58.543
25.61 58.544
25.601 58.539
25.602 58.529
25.595 58.499
segment Iran
25.595 58.345
25.597 58.342
25.6 58.348
25.605 58.365
25.606 58.377
25.603 58.379
25.596 58.355
25.595 58.345
segment Iran
25.586 58.31
25.586 58.302
25.591 58.302
25.594 58.306
25.599 58.319
25.6 58.332
25.597 58.333
25.594 58.332
25.59 58.327
25.588 58.321
25.586 58.31
segment Iran
25.586 58.472
25.587 58.468
25.591 58.466
25.594 58.467
25.596 58.47
25.595 58.475
25.598 58.488
25.594 58.49
25.586 58.472
segment Iran
25.579 58.245
25.582 58.245
25.589 58.269
25.59 58.28
25.588 58.288
25.586 58.29
25.579 58.245
segment Iran
25.564 58.195
25.566 58.194
25.569 58.199
25.573 58.218
25.577 58.228
25.578 58.234
25.576 58.236
25.57 58.223
25.565 58.207
25.564 58.195
segment Iran
25.56 58.172
25.561 58.164
25.563 58.165
25.565 58.181
25.563 58.182
25.56 58.172
segment Iran
25.556 58.137
25.558 58.135
25.56 58.137
25.559 58.144
25.561 58.157
25.559 58.158
25.557 58.153
25.556 58.137
segment Iran
25.469 59.228
25.47 59.226
25.474 59.229
25.474 59.239
25.472 59.241
25.47 59.24
25.469 59.228
segment Iran
30.5 49.128
30.495 49.129
30.494 49.126
30.495 49.118
30.5 49.118
30.503 49.122
30.5 49.128
segment Iran
30.489 49.048
30.488 49.05
30.487 49.057
30.489 49.061
30.468 49.065
30.465 49.064
30.467 49.043
30.476 49.042
30.473 49.039
30.467 49.038
30.464 49.036
30.46 49.031
30.462 49.028
30.464 49.015
30.467 49.01
30.484 49.01
30.493 49.013
30.496 49.011
30.5 49.016
30.502 49.055
30.499 49.063
30.492 49.062
30.491 49.058
30.491 49.052
30.489 49.048
segment Iran
30.488 48.994
30.487 48.992
30.479 48.989
30.477 48.98
30.479 48.978
30.491 48.981
30.497 48.986
30.5 48.991
30.501 49.005
30.5 49.008
30.486 49.004
30.488 48.994
segment Iran
30.499 49.157
30.498 49.159
30.492 49.159
30.487 49.156
30.484 49.151
30.478 49.153
30.474 49.15
30.47 49.151
30.468 49.15
30.468 49.148
30.473 49.144
30.477 49.144
30.497 49.154
30.499 49.157
segment Iran
30.485 49.109
30.489 49.117
30.493 49.119
30.494 49.122
30.49 49.139
30.487 49.14
30.482 49.14
30.479 49.137
30.482 49.129
30.474 49.134
30.469 49.133
30.467 49.131
30.467 49.126
30.472 49.124
30.472 49.122
30.471 49.12
30.467 49.121
30.462 49.113
30.464 49.11
30.468 49.109
30.48 49.111
30.485 49.109
segment Iran
30.479 48.955
30.483 48.954
30.486 48.957
30.491 48.968
30.491 48.976
30.488 48.977
30.482 48.975
30.481 48.969
30.477 48.965
30.474 48.96
30.479 48.955
segment Iran
30.478 48.994
30.481 48.994
30.482 48.997
30.481 49.004
30.471 49.005
30.466 48.999
30.464 48.993
30.467 48.988
30.471 48.986
30.478 48.994
segment Iran
30.464 48.973
30.465 48.965
30.469 48.96
30.477 48.97
30.474 48.972
30.472 48.98
30.465 48.983
30.463 48.976
30.464 48.973
segment Iran
30.462 49.217
30.464 49.213
30.468 49.211
30.472 49.212
30.475 49.219
30.473 49.22
30.468 49.218
30.466 49.22
30.463 49.219
30.462 49.217
segment Iran
30.462 49.192
30.46 49.197
30.457 49.2
30.453 49.199
30.451 49.196
30.451 49.19
30.452 49.187
30.456 49.185
30.454 49.182
30.451 49.182
30.451 49.179
30.454 49.177
30.456 49.179
30.462 49.192
segment Iran
30.46 49.042
30.458 49.058
30.453 49.059
30.441 49.055
30.441 49.049
30.442 49.045
30.448 49.038
30.455 49.037
30.458 49.039
30.46 49.042
segment Iran
30.441 49.185
30.445 49.181
30.447 49.181
30.448 49.19
30.449 49.197
30.451 49.201
30.459 49.205
30.457 49.218
30.446 49.218
30.442 49.22
30.432 49.217
30.43 49.215
30.43 49.209
30.428 49.205
30.427 49.193
30.428 49.191
30.431 49.193
30.432 49.201
30.437 49.208
30.439 49.207
30.44 49.205
30.436 49.2
30.433 49.192
30.441 49.185
segment Iran
30.458 49.066
30.458 49.072
30.456 49.074
30.443 49.072
30.437 49.065
30.437 49.059
30.439 49.058
30.452 49.061
30.458 49.066
segment Iran
30.452 49.246
30.448 49.237
30.448 49.234
30.452 49.235
30.453 49.233
30.455 49.234
30.456 49.238
30.452 49.246
segment Iran
30.439 49.087
30.439 49.098
30.44 49.11
30.441 49.116
30.442 49.119
30.437 49.121
30.432 49.12
30.428 49.115
30.424 49.106
30.422 49.095
30.419 49.083
30.42 49.075
30.423 49.071
30.424 49.07
30.427 49.065
30.433 49.068
30.433 49.073
30.434 49.079
30.439 49.087
segment Iran
30.426 49.05
30.424 49.046
30.424 49.042
30.432 49.036
30.433 49.032
30.436 49.032
30.44 49.035
30.439 49.04
30.437 49.042
30.431 49.052
30.429 49.054
30.426 49.05
segment Iran
30.427 49.22
30.43 49.224
30.435 49.222
30.436 49.223
30.424 49.231
30.421 49.228
30.419 49.223
30.424 49.216
30.427 49.22
segment Iran
30.435 49.233
30.426 49.249
30.423 49.249
30.422 49.238
30.424 49.236
30.425 49.241
30.427 49.241
30.429 49.231
30.434 49.23
30.435 49.233
segment Iran
30.415 49.095
30.404 49.112
30.402 49.114
30.404 49.098
30.408 49.091
30.411 49.087
30.415 49.095
segment Iran
30.407 49.061
30.404 49.068
30.401 49.07
30.399 49.069
30.395 49.066
30.392 49.054
30.398 49.046
30.403 49.049
30.406 49.056
30.407 49.061
segment Iran
30.392 49.098
30.391 49.123
30.389 49.127
30.386 49.127
30.381 49.117
30.374 49.108
30.374 49.102
30.38 49.089
30.379 49.079
30.39 49.074
30.396 49.073
30.399 49.078
30.392 49.098
segment Iran
30.387 49.07
30.383 49.07
30.379 49.062
30.381 49.06
30.386 49.056
30.389 49.057
30.389 49.062
30.387 49.07
segment Iran
30.353 49.104
30.349 49.097
30.35 49.093
30.354 49.09
30.356 49.091
30.357 49.096
30.359 49.098
30.369 49.097
30.37 49.103
30.367 49.109
30.377 49.117
30.379 49.124
30.367 49.128
30.357 49.126
30.356 49.113
30.353 49.104
segment Iran
30.378 49.072
30.374 49.076
30.369 49.08
30.369 49.083
30.364 49.085
30.364 49.083
30.37 49.07
30.373 49.067
30.376 49.068
30.378 49.072
segment Iran
30.357 49.134
30.363 49.132
30.366 49.133
30.367 49.138
30.364 49.141
30.362 49.141
30.359 49.139
30.357 49.134
segment Iran
30.359 49.082
30.356 49.086
30.354 49.084
30.356 49.08
30.363 49.074
30.364 49.075
30.365 49.077
30.359 49.082
segment Iran
30.319 48.933
30.321 48.93
30.329 48.925
30.352 48.918
30.356 48.92
30.358 48.936
30.355 48.938
30.354 48.935
30.342 48.931
30.334 48.931
30.323 48.936
30.319 48.933
segment Iran
30.247 49.04
30.245 49.044
30.241 49.046
30.236 49.053
30.234 49.052
30.234 49.047
30.243 49.041
30.247 49.04
segment Iran
30.221 49.205
30.218 49.211
30.211 49.211
30.208 49.208
30.206 49.203
30.212 49.2
30.221 49.205
segment Iran
30.134 49.158
30.138 49.162
30.143 49.172
30.142 49.18
30.146 49.196
30.15 49.212
30.153 49.216
30.151 49.217
30.149 49.215
30.143 49.196
30.141 49.188
30.14 49.176
30.134 49.158
segment Iran
36.849 53.65
36.847 53.647
36.849 53.634
36.854 53.624
36.854 53.62
36.851 53.617
36.854 53.612
36.853 53.607
36.858 53.605
36.86 53.608
36.86 53.616
36.857 53.632
36.857 53.647
36.849 53.65
segment Iran
38.869 46
38.82 46
38.822 46.011
38.826 46.013
38.837 46.011
38.847 46.013
38.86 46.02
38.867 46.02
38.865 46.036
38.865 46.043
38.866 46.046
38.866 46.05
38.871 46.055
38.881 46.057
38.881 46.063
38.868 46.075
38.862 46.085
38.857 46.104
38.853 46.111
38.84 46.123
38.835 46.138
38.831 46.178
38.831 46.183
38.842 46.197
38.844 46.209
38.856 46.224
38.858 46.233
38.858 46.237
38.866 46.251
38.878 46.264
38.879 46.264
38.885 46.272
38.893 46.287
38.894 46.291
38.892 46.298
38.895 46.309
38.893 46.32
38.906 46.346
38.907 46.359
38.899 46.379
38.897 46.39
38.888 46.405
38.878 46.421
38.878 46.426
38.885 46.434
38.889 46.445
38.891 46.454
38.89 46.459
38.883 46.47
38.879 46.483
38.882 46.504
38.884 46.512
38.884 46.518
38.881 46.522
38.867 46.524
38.865 46.534
38.873 46.547
38.89 46.57
38.915 46.609
38.937 46.627
38.949 46.646
38.962 46.659
38.971 46.665
38.979 46.673
38.988 46.678
38.998 46.694
39.007 46.703
39.008 46.723
39.008 46.73
39.024 46.755
39.034 46.76
39.054 46.764
39.069 46.779
39.078 46.789
39.088 46.799
39.102 46.818
39.11 46.827
39.119 46.84
39.14 46.853
39.147 46.87
39.152 46.888
39.155 46.908
39.156 46.925
39.145 46.937
39.133 46.955
39.145 46.982
39.152 46.996
39.162 46.998
39.163 47.013
39.176 47.033
39.194 47.047
39.209 47.053
39.225 47.06
39.243 47.065
39.259 47.083
39.271 47.099
39.283 47.118
39.298 47.144
39.304 47.169
39.311 47.211
39.331 47.227
39.343 47.251
39.355 47.277
39.372 47.311
39.384 47.325
39.404 47.338
39.426 47.36
39.441 47.373
39.458 47.385
39.463 47.404
39.464 47.426
39.474 47.457
39.481 47.478
39.488 47.506
39.5 47.542
39.513 47.568
39.534 47.599
39.546 47.621
39.555 47.641
39.568 47.67
39.578 47.695
39.598 47.742
39.618 47.767
39.636 47.789
39.65 47.808
39.659 47.836
39.658 47.86
39.655 47.9
39.66 47.912
39.663 47.929
39.67 47.947
39.686 47.976
39.694 47.985
39.696 47.991
39.691 47.995
39.686 47.999
39.684 48.001
39.681 48.005
39.678 48.01
39.674 48.014
39.671 48.019
39.667 48.025
39.663 48.03
39.659 48.035
39.656 48.04
39.652 48.046
39.649 48.049
39.645 48.053
39.642 48.059
39.638 48.063
39.634 48.066
39.627 48.072
39.623 48.076
39.619 48.078
39.615 48.081
39.611 48.084
39.606 48.09
39.602 48.094
39.596 48.1
39.592 48.106
39.589 48.111
39.585 48.116
39.581 48.12
39.577 48.125
39.574 48.13
39.572 48.133
39.569 48.138
39.566 48.144
39.564 48.148
39.558 48.151
39.552 48.156
39.547 48.159
39.541 48.163
39.536 48.166
39.532 48.169
39.521 48.176
39.518 48.178
39.513 48.183
39.507 48.188
39.502 48.193
39.498 48.199
39.485 48.216
39.478 48.224
39.47 48.234
39.459 48.25
39.453 48.258
39.449 48.262
39.445 48.267
39.439 48.276
39.433 48.284
39.428 48.289
39.424 48.295
39.421 48.298
39.418 48.303
39.415 48.309
39.411 48.315
39.409 48.319
39.406 48.323
39.401 48.328
39.397 48.335
39.391 48.342
39.386 48.349
39.383 48.353
39.38 48.357
39.377 48.362
39.375 48.367
39.371 48.375
39.364 48.337
39.357 48.326
39.358 48.315
39.352 48.308
39.347 48.291
39.339 48.274
39.338 48.27
39.339 48.265
39.334 48.265
39.33 48.259
39.326 48.244
39.327 48.233
39.321 48.218
39.323 48.213
39.322 48.208
39.315 48.197
39.312 48.194
39.307 48.192
39.304 48.18
39.298 48.172
39.298 48.165
39.287 48.153
39.28 48.15
39.276 48.144
39.27 48.143
39.269 48.135
39.265 48.132
39.259 48.131
39.254 48.133
39.24 48.13
39.224 48.136
39.219 48.14
39.21 48.137
39.207 48.14
39.204 48.14
39.2 48.144
39.195 48.153
39.188 48.164
39.174 48.192
39.171 48.203
39.161 48.218
39.156 48.218
39.147 48.224
39.139 48.225
39.135 48.229
39.127 48.238
39.126 48.246
39.121 48.256
39.118 48.278
39.113 48.286
39.112 48.298
39.109 48.301
39.089 48.306
39.08 48.319
39.064 48.336
39.06 48.34
39.056 48.343
39.052 48.347
39.048 48.35
39.045 48.353
39.041 48.358
39.036 48.361
39.03 48.365
39.025 48.367
39.02 48.368
39.015 48.369
39.011 48.369
39.006 48.367
39.001 48.364
38.998 48.36
38.993 48.353
38.981 48.324
38.974 48.31
38.969 48.301
38.965 48.292
38.963 48.283
38.963 48.276
38.963 48.265
38.962 48.257
38.961 48.247
38.96 48.238
38.958 48.229
38.956 48.219
38.954 48.211
38.953 48.201
38.953 48.188
38.953 48.179
38.952 48.169
38.952 48.162
38.949 48.152
38.946 48.145
38.944 48.141
38.943 48.13
38.943 48.124
38.943 48.117
38.943 48.109
38.942 48.105
38.94 48.098
38.938 48.091
38.936 48.087
38.931 48.083
38.927 48.082
38.922 48.081
38.919 48.081
38.914 48.08
38.91 48.079
38.907 48.075
38.905 48.07
38.904 48.063
38.904 48.055
38.904 48.048
38.904 48.043
38.903 48.036
38.904 48.032
38.905 48.028
38.908 48.024
38.909 48.02
38.908 48.017
38.905 48.014
38.897 48.012
38.889 48.011
38.879 48.009
38.871 48.01
38.864 48.012
38.856 48.013
38.85 48.016
38.845 48.018
38.841 48.021
38.837 48.024
38.833 48.029
38.83 48.032
38.826 48.037
38.822 48.039
38.818 48.042
38.813 48.046
38.809 48.05
38.802 48.062
38.794 48.079
38.79 48.086
38.787 48.091
38.786 48.097
38.784 48.101
38.782 48.104
38.78 48.106
38.777 48.109
38.773 48.112
38.769 48.112
38.768 48.116
38.768 48.122
38.767 48.13
38.765 48.134
38.762 48.14
38.76 48.145
38.759 48.15
38.757 48.154
38.756 48.159
38.755 48.165
38.755 48.172
38.753 48.18
38.752 48.187
38.749 48.194
38.748 48.197
38.745 48.201
38.742 48.205
38.739 48.21
38.735 48.214
38.734 48.218
38.732 48.221
38.73 48.227
38.729 48.232
38.727 48.236
38.726 48.24
38.725 48.244
38.724 48.246
38.722 48.25
38.719 48.251
38.717 48.252
38.715 48.252
38.713 48.253
38.711 48.253
38.709 48.254
38.707 48.256
38.704 48.258
38.702 48.258
38.698 48.257
38.695 48.255
38.693 48.253
38.687 48.251
38.682 48.252
38.678 48.252
38.674 48.253
38.67 48.254
38.665 48.254
38.661 48.255
38.658 48.257
38.656 48.26
38.653 48.263
38.651 48.268
38.648 48.276
38.647 48.281
38.645 48.286
38.643 48.291
38.641 48.294
38.637 48.297
38.634 48.298
38.63 48.301
38.626 48.302
38.621 48.302
38.616 48.303
38.612 48.306
38.608 48.309
38.604 48.312
38.601 48.316
38.598 48.329
38.596 48.337
38.594 48.346
38.593 48.353
38.593 48.359
38.595 48.367
38.598 48.374
38.6 48.383
38.601 48.39
38.601 48.397
38.602 48.401
38.601 48.404
38.603 48.41
38.607 48.417
38.61 48.423
38.611 48.427
38.611 48.433
38.611 48.437
38.61 48.443
38.608 48.449
38.606 48.453
38.603 48.457
38.6 48.461
38.597 48.461
38.593 48.462
38.588 48.461
38.584 48.46
38.581 48.46
38.577 48.46
38.571 48.461
38.567 48.463
38.563 48.465
38.56 48.467
38.557 48.469
38.555 48.471
38.553 48.475
38.551 48.481
38.551 48.487
38.551 48.493
38.549 48.499
38.548 48.504
38.545 48.506
38.54 48.509
38.533 48.509
38.529 48.511
38.523 48.513
38.519 48.516
38.515 48.52
38.513 48.525
38.51 48.531
38.507 48.535
38.503 48.539
38.499 48.543
38.494 48.548
38.489 48.553
38.485 48.558
38.482 48.562
38.478 48.567
38.475 48.57
38.471 48.574
38.464 48.58
38.456 48.585
38.449 48.589
38.442 48.592
38.436 48.594
38.43 48.598
38.425 48.6
38.42 48.602
38.416 48.606
38.412 48.611
38.409 48.616
38.407 48.622
38.405 48.627
38.402 48.632
38.4 48.64
38.398 48.647
38.398 48.654
38.398 48.661
38.397 48.668
38.397 48.678
38.398 48.686
38.4 48.697
38.405 48.715
38.407 48.733
38.409 48.74
38.41 48.742
38.419 48.752
