segment Cambodia
10.44 103.77
10.447 103.766
10.448 103.761
10.465 103.75
10.469 103.745
10.472 103.736
10.479 103.736
10.479 103.738
10.476 103.744
10.476 103.746
segment Cambodia
10.474 103.602
10.478 103.596
10.477 103.59
10.484 103.585
10.486 103.585
10.487 103.589
10.49 103.591
10.494 103.588
10.5 103.58
10.503 103.58
10.506 103.584
10.504 103.599
10.501 103.601
10.498 103.601
10.486 103.608
10.481 103.609
10.481 103.606
10.478 103.603
10.475 103.603
10.474 103.602
segment Cambodia
10.487 103.567
10.488 103.564
10.493 103.559
10.495 103.552
10.496 103.552
10.498 103.555
10.499 103.562
10.495 103.568
10.492 103.569
10.487 103.567
segment Cambodia
10.428 104.326
10.432 104.317
10.435 104.322
10.443 104.324
10.443 104.326
10.437 104.332
10.434 104.334
10.428 104.326
segment Cambodia
10.403 103.805
10.406 103.801
10.414 103.799
10.416 103.795
10.415 103.785
10.417 103.784
10.42 103.783
10.426 103.789
10.432 103.787
10.435 103.789
10.436 103.792
10.429 103.806
10.428 103.816
10.426 103.821
10.424 103.82
10.423 103.817
10.419 103.815
10.418 103.811
10.417 103.808
10.412 103.806
10.405 103.808
10.403 103.805
segment Cambodia
10.374 102.967
10.374 102.956
10.376 102.956
10.379 102.958
10.38 102.971
10.378 102.972
10.374 102.967
segment Cambodia
10.273 103.148
10.274 103.146
10.283 103.144
10.291 103.138
10.293 103.136
10.294 103.131
10.298 103.125
10.304 103.122
10.308 103.122
10.312 103.129
10.324 103.131
10.325 103.134
10.318 103.138
10.316 103.141
10.317 103.148
10.315 103.149
10.311 103.139
10.307 103.138
10.299 103.14
10.29 103.145
10.281 103.155
10.275 103.154
10.275 103.15
10.273 103.148
segment Cambodia
14.52 106.477
14.522 106.473
14.531 106.464
14.539 106.461
14.547 106.464
14.549 106.468
14.563 106.494
14.568 106.502
14.574 106.507
14.581 106.513
14.585 106.52
14.588 106.533
14.581 106.542
14.567 106.553
14.519 106.572
14.515 106.573
14.502 106.566
14.499 106.567
14.496 106.571
14.495 106.58
14.499 106.594
14.497 106.6
14.496 106.6
14.491 106.609
14.49 106.615
14.487 106.617
14.478 106.616
14.474 106.617
14.456 106.625
14.451 106.632
14.438 106.634
14.444 106.646
14.446 106.652
14.443 106.663
14.431 106.678
14.428 106.689
14.426 106.702
14.418 106.709
14.417 106.714
14.418 106.717
14.424 106.723
14.429 106.73
14.428 106.736
14.422 106.743
14.404 106.753
14.388 106.757
14.381 106.761
14.365 106.775
14.332 106.802
14.321 106.808
14.309 106.82
14.306 106.834
14.292 106.841
14.287 106.846
14.286 106.855
14.288 106.857
14.302 106.862
14.309 106.867
14.314 106.875
14.315 106.88
14.311 106.888
14.31 106.895
14.327 106.899
14.33 106.905
14.328 106.917
14.323 106.927
14.309 106.959
14.308 106.968
14.312 106.973
14.318 106.978
14.328 106.979
14.33 106.979
14.335 106.976
14.342 106.976
14.349 106.982
14.353 106.991
14.352 106.996
14.354 106.999
14.364 107.006
14.377 107.012
14.379 107.014
14.389 107.021
14.408 107.044
14.417 107.048
14.429 107.047
14.44 107.042
14.438 107.053
14.434 107.067
14.414 107.08
14.398 107.085
14.394 107.087
14.389 107.092
14.388 107.114
14.391 107.121
14.398 107.127
14.406 107.133
14.411 107.139
14.409 107.149
14.413 107.154
14.413 107.165
14.416 107.174
14.42 107.178
14.428 107.182
14.436 107.194
14.445 107.198
14.472 107.206
14.48 107.211
14.483 107.215
14.482 107.221
14.478 107.23
14.477 107.248
14.48 107.256
14.485 107.261
14.51 107.259
14.529 107.264
14.539 107.269
14.539 107.272
14.535 107.281
14.543 107.286
14.571 107.292
14.578 107.297
14.583 107.305
14.584 107.322
14.584 107.335
14.582 107.342
14.57 107.355
14.558 107.365
14.546 107.368
14.539 107.373
14.532 107.383
14.535 107.398
14.533 107.406
14.527 107.415
14.52 107.432
14.52 107.443
14.524 107.45
14.528 107.453
14.538 107.447
14.542 107.448
14.551 107.455
14.554 107.459
14.571 107.462
14.583 107.46
14.588 107.464
14.588 107.465
14.594 107.469
14.594 107.468
14.603 107.465
14.609 107.466
14.609 107.467
14.617 107.475
14.62 107.482
14.62 107.497
14.625 107.501
14.638 107.506
14.644 107.517
14.648 107.521
14.661 107.528
14.674 107.53
14.682 107.537
14.686 107.541
14.686 107.545
14.685 107.555
14.664 107.557
14.656 107.557
14.647 107.553
14.627 107.558
14.617 107.557
14.61 107.549
14.603 107.546
14.595 107.531
14.592 107.526
14.583 107.524
14.549 107.533
14.539 107.533
14.515 107.523
14.504 107.514
14.491 107.515
14.464 107.504
14.445 107.503
14.43 107.495
14.418 107.493
14.41 107.493
14.403 107.49
14.4 107.486
14.399 107.478
14.401 107.468
14.415 107.45
14.397 107.447
14.383 107.443
14.374 107.433
14.372 107.428
14.361 107.419
14.352 107.413
14.341 107.411
14.318 107.395
14.313 107.395
14.308 107.398
14.302 107.4
14.295 107.407
14.274 107.412
14.265 107.412
14.249 107.406
14.235 107.407
14.229 107.405
14.21 107.397
14.203 107.389
14.188 107.382
14.178 107.38
14.178 107.37
14.176 107.367
14.167 107.363
14.156 107.361
14.14 107.349
14.119 107.341
14.111 107.339
14.107 107.342
14.097 107.357
14.095 107.363
14.081 107.374
14.075 107.373
14.059 107.365
14.052 107.366
14.043 107.373
14.029 107.365
14.025 107.363
14.018 107.365
14.011 107.368
13.999 107.38
13.992 107.39
13.994 107.409
13.992 107.415
13.992 107.419
13.996 107.431
13.996 107.448
13.989 107.45
13.982 107.453
13.979 107.458
13.976 107.459
13.968 107.46
13.937 107.456
13.931 107.457
13.922 107.463
13.918 107.47
13.916 107.474
13.913 107.475
13.906 107.475
13.892 107.474
13.886 107.472
13.881 107.47
13.874 107.463
13.868 107.46
13.863 107.461
13.859 107.466
13.853 107.475
13.85 107.477
13.842 107.473
13.834 107.465
13.833 107.465
13.827 107.462
13.818 107.459
13.807 107.464
13.791 107.455
13.788 107.456
13.783 107.461
13.776 107.473
13.772 107.494
13.754 107.522
13.748 107.529
13.737 107.536
13.717 107.544
13.688 107.554
13.66 107.57
13.643 107.579
13.627 107.58
13.614 107.583
13.598 107.59
13.582 107.594
13.562 107.602
13.543 107.609
13.516 107.618
13.482 107.622
13.409 107.625
13.385 107.627
13.366 107.628
13.357 107.626
13.317 107.61
13.305 107.606
13.288 107.599
13.27 107.592
13.222 107.573
13.194 107.56
13.173 107.551
13.147 107.541
13.118 107.532
13.057 107.509
13.028 107.496
13.013 107.494
13.009 107.493
13.001 107.495
12.986 107.503
12.975 107.506
12.969 107.505
12.967 107.503
12.965 107.492
12.954 107.491
12.954 107.489
12.948 107.489
12.939 107.492
12.928 107.498
12.922 107.497
12.911 107.503
12.905 107.499
12.891 107.497
12.873 107.506
12.867 107.511
12.865 107.516
12.852 107.52
12.848 107.526
12.844 107.528
12.835 107.534
12.831 107.542
12.82 107.553
12.81 107.557
12.789 107.565
12.778 107.561
12.771 107.564
12.762 107.562
12.746 107.563
12.739 107.567
12.733 107.566
12.732 107.566
12.726 107.568
12.715 107.563
12.71 107.563
12.692 107.572
12.682 107.579
12.671 107.581
12.666 107.58
12.661 107.575
12.651 107.571
12.643 107.574
12.635 107.574
12.627 107.578
12.62 107.579
12.618 107.58
12.611 107.585
12.587 107.589
12.564 107.585
12.556 107.591
12.553 107.592
12.541 107.582
12.535 107.579
12.528 107.578
12.517 107.568
12.513 107.567
12.505 107.573
12.503 107.574
12.498 107.576
12.489 107.583
12.485 107.583
12.476 107.58
12.463 107.569
12.447 107.567
12.439 107.565
12.432 107.561
12.418 107.558
12.408 107.549
12.391 107.551
12.378 107.553
12.369 107.557
12.363 107.551
12.345 107.546
12.335 107.532
12.331 107.528
12.329 107.522
12.326 107.52
12.32 107.511
12.311 107.494
12.31 107.487
12.306 107.481
12.302 107.473
12.296 107.466
12.293 107.454
12.29 107.449
12.279 107.446
12.26 107.445
12.249 107.44
12.246 107.434
12.244 107.422
12.247 107.413
12.25 107.408
12.263 107.401
12.277 107.396
12.283 107.39
12.289 107.384
12.303 107.377
12.326 107.35
12.325 107.345
12.321 107.338
12.315 107.288
12.317 107.274
12.306 107.263
12.301 107.25
12.294 107.238
12.294 107.232
12.292 107.213
12.289 107.199
12.285 107.19
12.277 107.182
12.275 107.177
12.274 107.164
12.271 107.157
12.267 107.153
12.244 107.148
12.236 107.141
12.232 107.141
12.23 107.144
12.227 107.144
12.225 107.14
12.221 107.129
12.206 107.109
12.201 107.104
12.177 107.094
12.177 107.09
12.181 107.084
12.181 107.081
12.177 107.078
12.171 107.076
12.166 107.078
12.165 107.081
12.161 107.082
12.158 107.08
12.157 107.072
12.157 107.065
12.154 107.063
12.146 107.059
12.144 107.057
12.136 107.055
12.131 107.049
12.121 107.035
12.116 107.031
12.119 107.023
12.112 107.022
12.113 107.014
12.11 107.011
12.105 107.015
12.104 107.014
12.104 107.007
12.098 107.006
12.096 107
12.092 107
12.089 106.999
12.089 106.998
12.077 106.968
12.069 106.948
12.062 106.938
12.06 106.919
12.06 106.915
12.062 106.907
12.061 106.896
12.067 106.88
12.067 106.877
12.067 106.874
12.067 106.868
12.062 106.859
12.063 106.852
12.068 106.844
12.068 106.837
12.075 106.825
12.075 106.795
12.071 106.792
12.071 106.787
12.067 106.784
12.057 106.781
12.052 106.775
12.044 106.772
12.038 106.769
12.031 106.763
12.02 106.759
12.015 106.752
12.013 106.75
12.006 106.752
12.001 106.749
11.989 106.74
11.983 106.731
11.969 106.722
11.964 106.708
11.965 106.701
11.964 106.698
11.964 106.691
11.965 106.69
11.983 106.658
11.976 106.652
11.969 106.658
11.965 106.661
11.961 106.659
11.963 106.654
11.968 106.648
11.969 106.644
11.96 106.641
11.96 106.636
11.965 106.633
11.971 106.635
11.972 106.629
11.972 106.617
11.971 106.603
11.97 106.59
11.97 106.555
11.968 106.537
11.975 106.53
11.976 106.521
11.973 106.514
11.969 106.511
11.956 106.505
11.952 106.499
11.952 106.49
11.955 106.484
11.96 106.48
11.972 106.475
11.979 106.47
11.982 106.463
11.982 106.448
11.98 106.441
11.979 106.441
11.971 106.438
11.97 106.433
11.972 106.418
11.935 106.436
11.892 106.459
11.882 106.463
11.867 106.467
11.863 106.463
11.864 106.458
11.863 106.45
11.859 106.449
11.856 106.446
11.845 106.443
11.825 106.45
11.811 106.443
11.807 106.439
11.791 106.434
11.777 106.423
11.771 106.42
11.769 106.419
11.762 106.42
11.753 106.423
11.742 106.424
11.728 106.43
11.708 106.443
11.693 106.453
11.681 106.455
11.67 106.454
11.667 106.449
11.667 106.442
11.673 106.428
11.7 106.388
11.698 106.382
11.698 106.378
11.683 106.345
11.672 106.307
11.722 106.266
11.73 106.242
11.732 106.227
11.73 106.218
11.737 106.203
11.753 106.193
11.751 106.186
11.74 106.162
11.748 106.11
11.754 106.103
11.772 106.086
11.775 106.062
11.775 106.037
11.77 106.029
11.76 106.02
11.747 106.015
11.723 106.012
11.703 106.003
11.69 105.987
11.663 105.981
11.651 105.972
11.642 105.959
11.641 105.951
11.647 105.939
11.666 105.907
11.674 105.894
11.675 105.889
11.673 105.876
11.664 105.862
11.658 105.851
11.646 105.841
11.627 105.836
11.622 105.834
11.62 105.831
11.619 105.824
11.617 105.816
11.609 105.816
11.598 105.811
11.583 105.815
11.578 105.819
11.571 105.819
11.569 105.821
11.561 105.842
11.561 105.862
11.549 105.877
11.535 105.883
11.522 105.884
11.52 105.884
11.499 105.88
11.484 105.885
11.475 105.881
11.464 105.879
11.456 105.879
11.452 105.882
11.448 105.886
11.444 105.897
11.436 105.901
11.424 105.897
11.4 105.882
11.383 105.88
11.376 105.879
11.371 105.88
11.368 105.883
11.365 105.887
11.358 105.887
11.341 105.881
11.329 105.877
11.316 105.872
11.294 105.872
11.291 105.874
11.288 105.88
11.288 105.9
11.283 105.908
11.274 105.913
11.264 105.914
11.246 105.913
11.237 105.915
11.225 105.921
11.205 105.941
11.197 105.955
11.195 105.963
11.196 105.978
11.192 105.987
11.19 105.995
11.19 105.999
11.191 106.007
11.187 106.013
11.182 106.015
11.178 106.018
11.165 106.02
11.149 106.022
11.14 106.03
11.128 106.051
11.118 106.062
11.1 106.073
11.098 106.079
11.097 106.091
11.088 106.1
11.073 106.107
11.071 106.11
11.071 106.115
11.074 106.118
11.085 106.127
11.091 106.136
11.098 106.149
11.098 106.156
11.093 106.163
11.089 106.167
11.077 106.177
11.062 106.183
11.058 106.186
11.044 106.191
11.031 106.193
11.029 106.193
11.008 106.199
10.999 106.202
10.984 106.208
10.978 106.207
10.974 106.203
10.97 106.187
10.971 106.178
10.976 106.166
10.979 106.16
10.976 106.15
10.968 106.146
10.948 106.15
10.934 106.153
10.912 106.146
10.906 106.148
10.871 106.175
10.846 106.189
10.834 106.191
10.829 106.193
10.808 106.192
10.795 106.193
10.79 106.192
10.805 106.173
10.808 106.166
10.807 106.125
10.806 106.095
10.806 106.088
10.812 106.073
10.823 106.053
10.832 106.038
10.863 106.002
10.866 105.999
10.874 105.991
10.897 105.971
10.903 105.954
10.899 105.953
10.884 105.958
10.878 105.954
10.876 105.949
10.871 105.947
10.869 105.94
10.86 105.932
10.851 105.933
10.844 105.939
10.837 105.934
10.835 105.929
10.841 105.905
10.849 105.886
10.851 105.878
10.86 105.86
10.865 105.858
10.872 105.86
10.886 105.868
10.891 105.869
10.906 105.864
10.923 105.852
10.934 105.844
10.956 105.821
10.976 105.807
10.998 105.794
11.011 105.787
11.021 105.781
11.026 105.778
11.026 105.772
11.023 105.77
11.021 105.764
11.022 105.738
11.02 105.724
11.013 105.711
10.995 105.693
10.981 105.659
10.968 105.614
10.966 105.606
10.956 105.555
10.95 105.545
10.948 105.521
10.945 105.508
10.95 105.501
10.945 105.496
10.944 105.491
10.955 105.48
10.959 105.473
10.958 105.47
10.958 105.468
10.952 105.456
10.953 105.451
10.962 105.441
10.966 105.434
10.966 105.43
10.963 105.426
10.957 105.423
10.937 105.416
10.923 105.405
10.914 105.391
10.91 105.385
10.904 105.382
10.898 105.379
10.898 105.374
10.896 105.372
10.887 105.369
10.883 105.362
10.877 105.361
10.872 105.357
10.865 105.361
10.855 105.36
10.85 105.357
10.853 105.345
10.862 105.332
10.872 105.315
10.873 105.31
10.878 105.297
10.886 105.286
10.888 105.278
10.893 105.269
10.892 105.255
10.892 105.242
10.901 105.216
10.906 105.205
10.913 105.184
10.919 105.163
10.919 105.147
10.917 105.123
10.917 105.112
10.92 105.109
10.926 105.109
10.932 105.118
10.943 105.124
10.949 105.123
10.955 105.119
10.956 105.11
10.951 105.09
10.949 105.087
10.937 105.084
10.934 105.081
10.931 105.067
10.928 105.061
10.914 105.057
10.911 105.049
10.906 105.048
10.896 105.045
10.892 105.038
10.879 105.034
10.867 105.04
10.841 105.055
10.827 105.063
10.817 105.065
10.8 105.062
10.789 105.063
10.777 105.069
10.77 105.081
10.763 105.089
10.753 105.094
10.727 105.099
10.718 105.098
10.711 105.093
10.707 105.087
10.677 105.028
10.67 105.018
10.661 105
10.65 104.979
10.628 104.95
10.615 104.938
10.56 104.907
10.546 104.899
10.531 104.884
10.525 104.876
10.522 104.863
10.52 104.771
10.521 104.754
10.532 104.713
10.535 104.697
10.539 104.655
10.527 104.642
10.526 104.611
10.529 104.607
10.528 104.599
10.531 104.597
10.53 104.593
10.523 104.586
10.516 104.584
10.507 104.583
10.503 104.579
10.503 104.576
10.5 104.573
10.495 104.566
10.463 104.552
10.463 104.553
10.453 104.544
10.448 104.535
10.447 104.529
10.442 104.522
10.434 104.516
10.423 104.512
10.41 104.503
10.409 104.499
10.416 104.494
10.426 104.489
10.428 104.485
10.426 104.464
10.424 104.454
10.421 104.445
10.426 104.441
10.432 104.431
10.442 104.429
10.444 104.426
10.451 104.424
10.447 104.419
10.448 104.407
10.45 104.395
10.454 104.387
10.458 104.382
10.462 104.38
10.483 104.367
10.495 104.354
10.496 104.349
10.495 104.342
10.491 104.334
10.484 104.325
10.474 104.304
10.478 104.291
10.481 104.289
10.494 104.289
10.503 104.288
10.521 104.285
10.543 104.273
10.545 104.27
10.55 104.267
10.555 104.259
10.566 104.249
10.57 104.248
10.571 104.242
10.565 104.235
10.564 104.227
10.567 104.214
10.56 104.215
10.556 104.214
10.558 104.202
10.556 104.198
10.546 104.185
10.54 104.183
10.543 104.176
10.542 104.176
10.543 104.173
10.562 104.168
10.579 104.174
10.59 104.175
10.591 104.172
10.576 104.169
10.567 104.165
10.561 104.157
10.561 104.152
10.563 104.143
10.562 104.134
10.557 104.12
10.549 104.109
10.547 104.102
10.547 104.091
10.55 104.084
10.547 104.075
10.548 104.069
10.548 104.05
10.555 104.036
10.56 104.03
10.562 104.02
10.567 104.013
10.568 104.004
10.587 103.961
10.587 103.951
10.587 103.944
10.589 103.938
10.601 103.922
10.615 103.915
10.63 103.91
10.64 103.903
10.645 103.904
10.651 103.903
10.651 103.9
10.655 103.896
10.656 103.889
10.661 103.883
10.66 103.881
10.656 103.879
10.653 103.871
10.652 103.868
10.654 103.865
10.654 103.856
10.648 103.856
10.619 103.866
10.614 103.864
10.602 103.854
10.59 103.846
10.543 103.818
10.541 103.817
10.537 103.812
10.539 103.8
10.536 103.789
10.536 103.776
10.531 103.768
10.533 103.752
10.539 103.742
10.541 103.736
10.543 103.733
10.546 103.733
10.553 103.733
10.556 103.732
10.557 103.728
10.557 103.721
10.559 103.714
10.568 103.703
10.57 103.698
10.576 103.692
10.577 103.686
10.579 103.68
10.582 103.679
10.586 103.677
10.591 103.674
10.586 103.673
10.583 103.673
10.579 103.675
10.574 103.68
10.574 103.684
10.573 103.688
10.572 103.691
10.568 103.693
10.567 103.698
10.564 103.702
10.558 103.706
10.551 103.712
10.543 103.723
10.536 103.729
10.532 103.734
10.528 103.738
10.523 103.74
10.518 103.74
10.508 103.738
10.499 103.733
10.496 103.73
10.497 103.726
10.505 103.71
10.505 103.695
10.507 103.689
10.506 103.678
10.499 103.675
10.499 103.66
10.496 103.658
10.495 103.652
10.493 103.646
10.488 103.643
10.488 103.635
10.49 103.63
10.496 103.625
10.497 103.616
10.501 103.614
10.515 103.612
10.531 103.617
10.548 103.609
10.558 103.598
10.559 103.594
10.556 103.588
10.553 103.585
10.549 103.581
10.54 103.573
10.539 103.569
10.542 103.567
10.551 103.566
10.573 103.554
10.598 103.533
10.602 103.529
10.604 103.522
10.609 103.516
10.608 103.512
10.602 103.507
10.602 103.505
10.601 103.504
10.608 103.504
10.611 103.502
10.618 103.494
10.623 103.492
10.633 103.501
10.641 103.504
10.643 103.514
10.646 103.517
10.655 103.522
10.665 103.524
10.668 103.529
10.678 103.535
10.679 103.54
10.684 103.544
10.698 103.546
10.705 103.548
10.715 103.546
10.717 103.548
10.717 103.552
10.719 103.559
10.723 103.561
10.723 103.568
10.73 103.573
10.739 103.582
10.739 103.587
10.732 103.594
10.734 103.615
10.735 103.616
10.743 103.621
10.742 103.628
10.736 103.638
10.741 103.651
10.741 103.655
10.739 103.66
10.743 103.683
10.747 103.677
10.75 103.667
10.752 103.664
10.758 103.662
10.761 103.659
10.765 103.659
10.768 103.663
10.767 103.666
10.773 103.67
10.798 103.672
10.806 103.676
10.811 103.684
10.817 103.686
10.822 103.702
10.824 103.705
10.84 103.714
10.855 103.72
10.864 103.716
10.877 103.715
10.892 103.709
10.902 103.708
10.916 103.704
10.934 103.695
10.942 103.695
10.943 103.69
10.946 103.687
10.955 103.685
10.967 103.679
10.993 103.661
10.997 103.66
11.021 103.665
11.027 103.664
11.046 103.655
11.051 103.656
11.052 103.658
11.055 103.662
11.056 103.667
11.062 103.667
11.062 103.666
11.065 103.661
11.074 103.66
11.077 103.658
11.078 103.651
11.083 103.644
11.086 103.634
11.087 103.632
11.084 103.616
11.087 103.609
11.086 103.601
11.089 103.594
11.099 103.591
11.114 103.581
11.132 103.572
11.143 103.566
11.152 103.555
11.163 103.552
11.166 103.54
11.166 103.534
11.164 103.529
11.165 103.515
11.174 103.504
11.177 103.497
11.168 103.502
11.163 103.503
11.157 103.501
11.149 103.49
11.143 103.485
11.142 103.483
11.143 103.481
11.155 103.484
11.158 103.481
11.158 103.478
11.154 103.462
11.151 103.465
11.151 103.475
11.149 103.477
11.123 103.471
11.118 103.467
11.113 103.457
11.1 103.446
