lon,lat,az,bound,slab,depth
147.4293,14.8722,199.7028,PA/PS,izu,8.365
147.46200000000005,14.966,198.6455,PA/PS,izu,7.871
147.5032,15.0936,198.319,PA/PS,izu,7.422
147.5444,15.2211,197.9925,PA/PS,izu,7.647
147.5856,15.3487,197.666,PA/PS,izu,7.152
147.6269,15.4763,197.3396,PA/PS,izu,7.499
147.64700000000005,15.5693,195.9517,PA/PS,izu,7.502
147.6671,15.6622,194.5637,PA/PS,izu,7.502
147.6873,15.7551,193.1758,PA/PS,izu,7.061
147.7074,15.848,191.7879,PA/PS,izu,6.721
147.7273,16.0168,190.4592,PA/PS,izu,6.078
147.7472,16.1855,189.1306,PA/PS,izu,5.429
147.7671,16.3543,187.8019,PA/PS,izu,6.418
147.787,16.523,186.4733,PA/PS,izu,8.344
147.7934,16.6171,186.1312,PA/PS,izu,8.482
147.7998,16.7112,185.7891,PA/PS,izu,8.019
147.8063,16.8054,185.447,PA/PS,izu,8.155
147.8127,16.8995,185.1048,PA/PS,izu,8.743
147.8191,16.9937,184.7627,PA/PS,izu,8.422
147.8255,17.0878,184.4206,PA/PS,izu,8.34
147.8319,17.182000000000002,184.0785,PA/PS,izu,8.305
147.8383,17.2761,183.7364,PA/PS,izu,8.565
147.8349,17.3741,183.0314,PA/PS,izu,8.565
147.8315,17.4721,182.3263,PA/PS,izu,8.731
147.8281,17.5701,181.6213,PA/PS,izu,8.519
147.8247,17.6681,180.9162,PA/PS,izu,8.528
147.8213,17.766,180.2112,PA/PS,izu,8.603
147.8179,17.864,179.5061,PA/PS,izu,8.416
147.8145,17.962,178.801,PA/PS,izu,5.228
147.811,18.06,178.0959,PA/PS,izu,7.16
147.797,18.2062,177.2707,PA/PS,izu,7.456
147.783,18.3523,176.4455,PA/PS,izu,6.912
147.769,18.4984,175.6203,PA/PS,izu,4.286
147.755,18.6446,174.7951,PA/PS,izu,6.178
147.721,18.7765,172.6637,PA/PS,izu,6.842
147.687,18.9083,170.5323,PA/PS,izu,6.971
147.653,19.0402,168.4009,PA/PS,izu,7.046
147.619,19.172,166.2695,PA/PS,izu,6.171
147.5793,19.3152,166.0301,PA/PS,izu,6.411
147.5395,19.4585,165.7906,PA/PS,izu,4.471
147.4998,19.6018,165.5512,PA/PS,izu,6.37
147.46,19.745,165.3117,PA/PS,izu,6.885
147.3967,19.8845,163.2043,PA/PS,izu,7.148
147.3335,20.024,161.0969,PA/PS,izu,6.553
147.2702,20.1635,158.9896,PA/PS,izu,6.212
147.207,20.303,156.8822,PA/PS,izu,6.237
147.16,20.4285,157.8224,PA/PS,izu,4.698
147.113,20.554,158.7625,PA/PS,izu,6.478
147.066,20.6795,159.7027,PA/PS,izu,6.559
147.019,20.805,160.6428,PA/PS,izu,6.299
146.9698,20.9365,160.6574,PA/PS,izu,6.616
146.9205,21.068,160.6721,PA/PS,izu,6.873
146.8713,21.1995,160.6867,PA/PS,izu,6.547
146.822,21.331,160.7013,PA/PS,izu,6.845
146.7527,21.4307,157.2996,PA/PS,izu,6.87
146.6835,21.5305,153.8978,PA/PS,izu,7.137
146.6142,21.6303,150.496,PA/PS,izu,7.187
146.545,21.73,147.0942,PA/PS,izu,7.272
146.4243,21.8477,144.4074,PA/PS,izu,7.349
146.3035,21.9655,141.7206,PA/PS,izu,7.17
146.1827,22.0832,139.0337,PA/PS,izu,6.847
146.062,22.201,136.3469,PA/PS,izu,6.988
145.9658,22.2649,134.9954,PA/PS,izu,7.417
145.8695,22.3287,133.6438,PA/PS,izu,7.765
145.7732,22.3926,132.2922,PA/PS,izu,8.002
145.67700000000005,22.4565,130.9407,PA/PS,izu,7.769
145.5807,22.5204,129.5891,PA/PS,izu,8.114
145.4845,22.5842,128.2376,PA/PS,izu,7.689
145.3882,22.6481,126.886,PA/PS,izu,7.844
145.292,22.712,125.5345,PA/PS,izu,8.455
145.2188,22.7792,126.6933,PA/PS,izu,8.037
145.1455,22.8465,127.8522,PA/PS,izu,8.224
145.0722,22.9138,129.0111,PA/PS,izu,7.454
144.999,22.981,130.1699,PA/PS,izu,7.5015
144.9257,23.0483,131.3288,PA/PS,izu,7.4945
144.8525,23.1155,132.4876,PA/PS,izu,7.2225
144.7792,23.1827,133.6464,PA/PS,izu,7.2225
144.70600000000005,23.25,134.8053,PA/PS,izu,6.5905
144.6215,23.3177,134.3311,PA/PS,izu,6.2825
144.537,23.3854,133.8569,PA/PS,izu,6.2445
144.4526,23.4531,133.3827,PA/PS,izu,6.6468
144.3681,23.5207,132.9084,PA/PS,izu,6.6468
144.2836,23.5884,132.4341,PA/PS,izu,6.9818
144.1992,23.6561,131.9599,PA/PS,izu,7.7668
144.1147,23.7237,131.4857,PA/PS,izu,8.5128
144.0302,23.7914,131.0115,PA/PS,izu,8.5128
143.9667,23.8663,132.4055,PA/PS,izu,8.6708
143.9032,23.9413,133.7995,PA/PS,izu,8.4808
143.8397,24.0162,135.1934,PA/PS,izu,8.2778
143.7761,24.0912,136.5874,PA/PS,izu,8.2778
143.7126,24.1662,137.9814,PA/PS,izu,8.1848
143.649,24.2411,139.3753,PA/PS,izu,8.7928
143.5855,24.316,140.7692,PA/PS,izu,8.8808
143.52200000000005,24.391,142.1632,PA/PS,izu,8.3198
143.428,24.5315,145.4045,PA/PS,izu,8.4365
143.3341,24.672,148.6458,PA/PS,izu,8.4675
143.2746,24.8,152.8651,PA/PS,izu,7.4985
143.2151,24.9279,157.0845,PA/PS,izu,7.0245
143.2002,25.1005,161.6958,PA/PS,izu,6.1425
143.1853,25.273000000000003,166.3071,PA/PS,izu,6.4175
143.1705,25.4455,170.9185,PA/PS,izu,5.7215
143.1556,25.6181,175.5298,PA/PS,izu,4.7783
143.1744,25.7958,178.0139,PA/PS,izu,5.4213
143.1933,25.9735,180.498,PA/PS,izu,4.6073
143.2122,26.1513,182.9821,PA/PS,izu,3.5493
143.231,26.329,185.4663,PA/PS,izu,3.9693
143.2382,26.431,185.0108,PA/PS,izu,4.5413
143.2455,26.533,184.5552,PA/PS,izu,5.5483
143.2527,26.635,184.0996,PA/PS,izu,6.144
143.26,26.737,183.6441,PA/PS,izu,8.065
143.2619,26.8281,183.3206,PA/PS,izu,8.339
143.2638,26.9192,182.997,PA/PS,izu,8.71
143.2656,27.0103,182.6735,PA/PS,izu,8.831
143.2675,27.1014,182.3499,PA/PS,izu,9.086
143.2694,27.1926,182.0263,PA/PS,izu,9.098
143.2713,27.2837,181.7027,PA/PS,izu,9.409
143.2731,27.3748,181.3791,PA/PS,izu,9.44
143.275,27.4659,181.0556,PA/PS,izu,8.998
143.2744,27.5925,180.7326,PA/PS,izu,9.0213
143.2738,27.7191,180.4096,PA/PS,izu,8.9943
143.2732,27.8457,180.0867,PA/PS,izu,8.7633
143.2727,27.9723,179.7637,PA/PS,izu,8.4243
143.2355,28.0994,176.192,PA/PS,izu,8.7963
143.1982,28.2264,172.6204,PA/PS,izu,8.5793
143.161,28.3534,169.0487,PA/PS,izu,8.9533
143.1237,28.4804,165.4771,PA/PS,izu,8.9593
143.0489,28.605,162.1484,PA/PS,izu,9.3439
142.974,28.7297,158.8198,PA/PS,izu,9.8279
142.8991,28.8544,155.4912,PA/PS,izu,9.4629
142.8242,28.9791,152.1625,PA/PS,izu,9.4829
142.7634,29.1263,154.1545,PA/PS,izu,9.4159
142.7026,29.2736,156.1465,PA/PS,izu,9.8119
142.6418,29.4209,158.1385,PA/PS,izu,9.2959
142.58100000000005,29.5682,160.1304,PA/PS,izu,9.0085
142.554,29.7081,162.7168,PA/PS,izu,9.4405
142.52700000000004,29.8481,165.3032,PA/PS,izu,9.8535
142.5,29.9881,167.8897,PA/PS,izu,9.086
142.47299999999996,30.128,170.4761,PA/PS,izu,9.961
142.4324,30.2173,167.4916,PA/PS,izu,9.851
142.3918,30.3066,164.507,PA/PS,izu,10.041
142.3512,30.3959,161.5225,PA/PS,izu,9.509
142.3106,30.4853,158.53799999999995,PA/PS,izu,9.397
142.2842,30.5864,160.7261,PA/PS,izu,9.769
142.2577,30.6876,162.9142,PA/PS,izu,9.439
142.2312,30.7888,165.1023,PA/PS,izu,9.439
142.2047,30.89,167.2904,PA/PS,izu,10.13
142.1933,30.9962,169.1486,PA/PS,izu,9.685
142.1818,31.1025,171.0068,PA/PS,izu,9.903
142.1704,31.2088,172.865,PA/PS,izu,9.804
142.159,31.315,174.7233,PA/PS,izu,9.778
142.144,31.482,174.9454,PA/PS,izu,10.074
142.129,31.649,175.1676,PA/PS,izu,9.968
142.114,31.816,175.3898,PA/PS,izu,9.715
142.099,31.983,175.612,PA/PS,izu,9.916
142.0805,32.1262,175.1467,PA/PS,izu,10.159
142.062,32.2694,174.6815,PA/PS,izu,10.09
142.0435,32.4126,174.2163,PA/PS,izu,10.129
142.025,32.5559,173.75099999999995,PA/PS,izu,10.189
142.0265,32.6675,175.4742,PA/PS,izu,9.466
142.028,32.779,177.1975,PA/PS,izu,8.622
142.0295,32.8906,178.9207,PA/PS,izu,10.037
142.031,33.0022,180.6439,PA/PS,izu,10.065
142.0221,33.136,178.7219,PA/PS,izu,10.072
142.0131,33.2699,176.7999,PA/PS,izu,10.022
141.9655,33.4068,170.2912,PA/PS,izu,10.075
141.9179,33.5437,163.7826,PA/PS,izu,10.057
141.8941,33.6805,167.7674,PA/PS,izu,10.099
141.8703,33.8174,171.7521,PA/PS,izu,10.047
141.8734,33.9163,171.7521,PA/PS,izu,10.065
141.8766,34.0152,171.7521,PA/PS,izu,10.065
141.8798,34.1141,171.7521,PA/PS,izu,10.043
141.88299999999995,34.213,171.7521,PA/PS,izu,10.045
